Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Assets Held-for-Sale,Deferred Tax Assets,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Prepaid Pension Costs,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Discontinued Operations,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Deferred Tax Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
03/25/2011,18080,1239,1239,0.0,2495,2495,0.0,1912,324,573,937,78,1097,4.0,,2547.0,804.0,6743,3129,,,0.0,8208,4272,3602,670,,1385,11337,,3432,1558,,,1874.0,185,0.0,,,,185.0,133,,6.0,,0,3750,2559,2559.0,,,,4435,,1387.0,285.0,2757,6994,10744,0,8325,599.0,7726.0,-851,-596.0,447,7325,11,7336,18080,
06/24/2011,18032,1212,1212,0.0,2614,2614,0.0,1996,321,586,988,101,1038,9.0,,2447.0,754.0,6860,3147,,,0.0,8025,4273,3600,673,,1296,11172,,3582,1612,,,1970.0,1,0.0,,,,1.0,108,,14.0,,0,3691,2654,2654.0,,,,4101,,1205.0,290.0,2592,6755,10446,0,8200,593.0,7607.0,-959,-242.0,576,7575,11,7586,18032,
09/30/2011,17723,1218,1218,0.0,2341,2341,0.0,1878,301,541,973,63,1544,21.0,508.0,2364.0,622.0,6981,3140,9033.0,-5893.0,0.0,7602,3919,3288,631,,1298,10742,,3144,1454,0.0,0.0,1690.0,0,0.0,0.0,0.0,,0.0,266,0.0,0.0,80.0,0,3410,2667,2667.0,0.0,0.0,,4162,0.0,1202.0,333.0,2627,6829,10239,0,8197,593.0,7604.0,-1235,84.0,428,7474,10,7484,17723,
12/30/2011,17523,1390,1390,0.0,2241,2241,0.0,1918,315,564,952,87,1028,21.0,,2322.0,613.0,6577,3090,,,0.0,7856,4207,3569,638,,1306,10946,,2756,1393,,,1363.0,896,0.0,,,,896.0,168,,3.0,,0,3820,1950,1950.0,,,,4163,,1174.0,333.0,2653,6113,9933,0,8171,593.0,7578.0,-1184,344.0,250,7581,9,7590,17523,
03/30/2012,19029,2866,2866,0.0,2288,2288,0.0,1833,298,532,935,68,1324,17.0,469.0,2290.0,437.0,8311,3107,,,0.0,7611,3889,3283,606,,1415,10718,,2910,1367,,,1543.0,1285,0.0,,,,1285.0,176,,,66.0,0,4371,2687,2687.0,,,,4288,,1173.0,333.0,2782,6975,11346,0,7796,204.0,7592.0,-1112,601.0,389,7674,9,7683,19029,
06/29/2012,18942,1302,1302,0.0,2393,2393,0.0,1868,308,602,905,53,869,5.0,,2232.0,438.0,6432,3136,,,0.0,9374,5682,4290,1392,,1455,12510,,2878,1383,,,1495.0,1066,0.0,,,,1066.0,126,,2.0,,0,4070,2693,2693.0,,,,4439,,1169.0,509.0,2759,7132,11202,0,7013,193.0,6820.0,-305,800.0,226,7734,6,7740,18942,
09/28/2012,19306,1589,1589,0.0,2343,2343,0.0,1808,282,573,896,57,763,30.0,,2460.0,455.0,6503,3213,9301.0,-6088.0,0.0,9590,5660,4308,1352,,1440,12803,,2864,1292,0.0,0.0,1572.0,1015,0.0,0.0,0.0,,1015.0,125,0.0,0.0,,0,4004,2696,2696.0,0.0,0.0,,4629,0.0,1353.0,448.0,2828,7325,11329,0,7030,193.0,6837.0,-484,1196.0,229,7971,6,7977,19306,
12/28/2012,18136,972,972,0.0,2211,2211,0.0,1808,279,581,908,40,762,,,2317.0,444.0,5753,3187,,,0.0,9196,5649,4324,1325,,1230,12383,,2648,1264,,,1384.0,351,0.0,,,,351.0,112,,,,0,3111,2687,2687.0,,,,4204,,1348.0,448.0,2408,6891,10002,0,7005,193.0,6812.0,-605,1473.0,256,8129,5,8134,18136,
03/29/2013,18140,1073,1073,0.0,2214,2214,0.0,1803,268,586,899,50,774,,,2339.0,453.0,5864,3114,,,0.0,9162,5570,4279,1291,,1253,12276,,3080,1348,,,1732.0,715,0.0,,,,715.0,106,,,,0,3901,2315,2315.0,,,,4191,,1312.0,448.0,2431,6506,10407,0,6609,193.0,6416.0,-766,1750.0,134,7727,6,7733,18140,
06/28/2013,18090,1262,1262,0.0,2257,2257,0.0,1762,262,605,870,25,737,,,2198.0,436.0,6018,3071,,,0.0,9001,5548,4285,1263,,1255,12072,,3199,1357,,,1842.0,711,0.0,,,,711.0,93,,,,0,4003,2307,2307.0,,,,3892,,1293.0,304.0,2295,6199,10202,0,6281,189.0,6092.0,-556,2085.0,72,7882,6,7888,18090,
09/27/2013,18461,1403,1403,0.0,2323,2323,0.0,1762,258,597,870,37,821,0.0,,2146.0,467.0,6309,3166,9519.0,-6353.0,0.0,8986,5570,4326,1244,,1270,12152,,3145,1383,0.0,0.0,1762.0,711,0.0,0.0,0.0,,711.0,68,0.0,0.0,,0,3924,2303,2303.0,0.0,0.0,,3848,0.0,1155.0,321.0,2372,6151,10075,0,6325,189.0,6136.0,-720,2472.0,303,8380,6,8386,18461,
12/27/2013,18443,1397,1397,0.0,2284,2284,0.0,1836,271,624,914,27,841,,,2056.0,504.0,6358,3164,,,0.0,8921,5565,4346,1219,,1300,12085,,2950,1361,,,1589.0,383,0.0,,,,383.0,76,,,,0,3409,2615,2615.0,,,,3797,,1150.0,321.0,2326,6412,9821,0,6289,189.0,6100.0,-825,2825.0,327,8616,6,8622,18443,
03/28/2014,18628,1429,1429,0.0,2402,2402,0.0,1850,260,635,933,22,885,,,2009.0,543.0,6566,3181,,,0.0,8881,5552,4355,1197,,1320,12062,,3404,1421,,,1983.0,625,0.0,,,,625.0,58,,,,0,4087,2370,2370.0,,,,3772,,1140.0,321.0,2311,6142,10229,0,5812,189.0,5623.0,-924,3187.0,318,8393,6,8399,18628,
06/27/2014,18871,1613,1613,0.0,2503,2503,0.0,1810,257,627,909,17,947,,,1997.0,605.0,6873,3154,,,0.0,8844,5527,4354,1173,,1320,11998,,3116,1433,,,1683.0,625,0.0,,,,625.0,119,,,,0,3860,2375,2375.0,,,,3788,,1125.0,321.0,2342,6163,10023,0,5408,184.0,5224.0,-513,3590.0,357,8842,6,8848,18871,
09/26/2014,20152,2457,2457,0.0,2057,2057,0.0,1509,211,562,736,0,2856,,2013.0,2047.0,519.0,8879,2920,8766.0,-5846.0,0.0,8353,4813,3726,1087,,1493,11273,,2824,1230,158.0,50.0,1386.0,577,0.0,0.0,0.0,,577.0,592,0.0,,416.0,0,3993,3281,3281.0,0.0,0.0,,3865,0.0,1280.0,229.0,2356,7146,11139,0,5415,184.0,5231.0,-644,4253.0,-17,9007,6,9013,20152,
12/26/2014,20153,868,868,0.0,2349,2349,0.0,1942,314,654,974,0,886,,,2092.0,551.0,6045,3118,,,0.0,10990,7468,5638,1830,,1430,14108,,2818,1382,,,1436.0,937,0.0,,,,937.0,121,,,,0,3876,3286,3286.0,,,,3821,,1257.0,304.0,2260,7107,10983,0,5365,184.0,5181.0,-703,4725.0,-223,9164,6,9170,20153,
03/27/2015,20243,697,697,0.0,2094,2094,0.0,1684,272,600,812,0,3137,,1861.0,2018.0,659.0,7612,2878,,,0.0,9753,6462,4832,1630,,1273,12631,,2948,1233,,,1715.0,736,0.0,,,,736.0,457,,,361.0,0,4141,3390,3390.0,,,,3717,,1199.0,300.0,2218,7107,11248,0,4809,184.0,4625.0,-728,5324.0,-416,8989,6,8995,20243,
06/26/2015,20441,701,701,0.0,2185,2185,0.0,1717,277,628,812,0,3133,,1897.0,2054.0,617.0,7736,2925,,,0.0,9780,6438,4841,1597,,1288,12705,,2866,1206,,,1660.0,631,0.0,,,,631.0,544,,,365.0,0,4041,3395,3395.0,,,,3870,,1192.0,299.0,2379,7265,11306,0,4520,182.0,4338.0,-651,5633.0,-373,9129,6,9135,20441,
09/25/2015,20589,3329,3329,0.0,2120,2120,0.0,1615,261,535,773,46,821,,,2144.0,476.0,7885,2920,8637.0,-5717.0,0.0,9784,6379,4824,1555,,1261,12704,,2892,1143,198.0,53.0,1498.0,498,0.0,0.0,0.0,,498.0,185,0.0,0.0,0.0,0,3575,3386,3386.0,0.0,0.0,,4043,0.0,1327.0,329.0,2387,7429,11004,0,4541,182.0,4359.0,-1256,6673.0,-373,9585,0,9585,20589,
12/25/2015,19223,2223,2223,0.0,1878,1878,0.0,1700,257,635,808,0,704,,,2454.0,704.0,6505,2866,,,0.0,9852,6119,4651,1468,,1279,12718,,2653,1108,,,1545.0,500,0.0,,,,500.0,113,,,,0,3266,3370,3370.0,,,,4010,,1307.0,291.0,2412,7380,10646,0,4466,182.0,4284.0,-2452,7026.0,-463,8577,0,8577,19223,
03/25/2016,17841,1150,1150,0.0,2095,2095,0.0,1635,240,611,784,0,534,,,2458.0,534.0,5414,2899,,,0.0,9528,6108,4673,1435,,962,12427,,2835,1116,,,1719.0,152,0.0,,,,152.0,110,,,,0,3097,3732,3732.0,,,,3606,,1315.0,291.0,2000,7338,10435,0,3947,182.0,3765.0,-3498,7406.0,-449,7406,0,7406,17841,
06/24/2016,17500,694,694,0.0,2158,2158,0.0,1610,247,610,753,0,467,,,2208.0,467.0,4929,2976,,,0.0,9595,7043,5251,1792,,344,12571,,2849,1157,,,1692.0,302,0.0,,,,302.0,160,,,,0,3311,3734,3734.0,,,,2190,,1334.0,326.0,530,5924,9235,0,1954,168.0,1786.0,-1559,8245.0,-375,8265,0,8265,17500,
09/30/2016,17608,647,647,0.0,2046,2046,0.0,1596,241,504,669,182,486,,0.0,2111.0,486.0,4775,3052,8888.0,-5836.0,0.0,9781,7371,5492,1879,0.0,299,12833,,2527,1090,149.0,319.0,969.0,331,0.0,0.0,0.0,,331.0,208,0.0,,,0,3066,3739,3739.0,0.0,0.0,,2318,0.0,1502.0,207.0,609,6057,9123,0,1969,168.0,1801.0,-1624,8682.0,-542,8485,0,8485,17608,
12/30/2016,17615,665,665,0.0,2034,2034,0.0,1636,260,498,723,155,474,,,2290.0,474.0,4809,2956,,,0.0,9850,7163,5363,1800,,397,12806,,2312,1123,,,1189.0,1052,0.0,,,,1052.0,149,,,,0,3513,2976,2976.0,,,,2289,,1474.0,194.0,621,5265,8778,0,1897,168.0,1729.0,-1618,9256.0,-698,8837,0,8837,17615,
03/31/2017,18056,773,773,0.0,2244,2244,0.0,1660,265,524,738,133,469,,,2280.0,469.0,5146,3046,,,0.0,9864,7150,5382,1768,,434,12910,,2927,1226,,,1701.0,879,0.0,,,,879.0,129,,,,0,3935,3073,3073.0,,,,2295,,1474.0,197.0,624,5368,9303,0,1315,168.0,1147.0,-1639,9661.0,-584,8753,0,8753,18056,
06/30/2017,18520,755,755,0.0,2271,2271,0.0,1787,281,563,791,152,541,,,2287.0,541.0,5354,3165,,,0.0,10001,7306,5516,1790,,408,13166,,2932,1309,,,1623.0,878,0.0,,,,878.0,62,,,,0,3872,3113,3113.0,,,,2394,,1494.0,197.0,703,5507,9379,0,157,157.0,0.0,-257,9747.0,-506,9141,0,9141,18520,
09/29/2017,19403,1218,1218,0.0,2138,2138,0.0,1647,271,570,806,0,923,0.0,345.0,2141.0,578.0,5926,3159,8938.0,-5779.0,0.0,10318,7492,5651,1841,50.0,635,13477,,2059,1387,121.0,339.0,212.0,710,0.0,0.0,0.0,,710.0,1078,0.0,96.0,,1051,3847,3634,3634.0,0.0,0.0,,2171,0.0,1158.0,236.0,681,5805,9652,0,157,157.0,0.0,-421,10175.0,-160,9751,0,9751,19403,
12/29/2017,18811,704,704,0.0,2378,2378,0.0,1984,345,637,882,120,667,,0.0,1615.0,667.0,5733,3527,,,0.0,9551,7478,5672,1806,,458,13078,,2820,1556,,,1264.0,688,0.0,,,,688.0,127,,,,0,3635,3317,3317.0,,,,2228,,1150.0,238.0,840,5545,9180,0,157,157.0,0.0,-489,10047.0,-84,9631,0,9631,18811,
03/30/2018,19247,559,559,0.0,2643,2643,0.0,2045,342,662,910,131,713,,,1631.0,713.0,5960,3676,,,0.0,9611,7516,5730,1786,,464,13287,,3342,1613,,,1729.0,675,0.0,,,,675.0,147,,,,0,4164,3335,3335.0,,,,2268,,1149.0,238.0,881,5603,9767,0,157,157.0,0.0,-585,9957.0,-49,9480,0,9480,19247,
06/29/2018,19013,770,770,0.0,2591,2591,0.0,1961,337,668,877,79,619,,,1672.0,619.0,5941,3633,,,0.0,9439,7314,5616,1698,,453,13072,,3208,1583,,,1625.0,714,0.0,,,,714.0,124,,,,0,4046,3294,3294.0,,,,2181,,1119.0,227.0,835,5475,9521,0,157,157.0,0.0,-798,10432.0,-299,9492,0,9492,19013,
09/28/2018,20386,848,848,0.0,2361,2361,0.0,1857,276,656,925,0,1133,0.0,472.0,2144.0,661.0,6199,3497,9398.0,-5901.0,0.0,10690,7388,5684,1704,107.0,1051,14187,,2196,1548,109.0,337.0,202.0,963,0.0,0.0,0.0,,963.0,1251,0.0,100.0,,1224,4410,3037,3037.0,0.0,0.0,,2108,0.0,1102.0,207.0,699,5145,9555,0,157,157.0,0.0,-1134,12114.0,-306,10831,0,10831,20386,
12/28/2018,19188,505,505,0.0,2380,2380,0.0,1986,306,735,945,0,507,,0.0,2580.0,507.0,5378,3550,,,0.0,10260,7296,5648,1648,,384,13810,,2886,1538,,,1348.0,585,0.0,,,,585.0,0,,,,0,3471,3382,3382.0,,,,2099,,1101.0,207.0,791,5481,8952,0,157,157.0,0.0,-1550,11886.0,-257,10236,0,10236,19188,
03/29/2019,19262,565,565,0.0,2463,2463,0.0,1970,282,777,911,0,448,,0.0,2607.0,448.0,5446,3596,,,0.0,10220,7222,5626,1596,,391,13816,,3255,1485,,,1770.0,612,0.0,,,,612.0,0,,,,0,3867,3370,3370.0,,,,2031,,1081.0,196.0,754,5401,9268,0,157,157.0,0.0,-1713,11710.0,-160,9994,0,9994,19262,
06/28/2019,19748,546,546,0.0,2463,2463,0.0,1961,285,785,891,0,452,,0.0,2845.0,452.0,5422,3636,,,0.0,10690,7464,5800,1664,,381,14326,,3092,1438,,,1654.0,602,0.0,,,,602.0,0,,,,0,3694,3434,3434.0,,,,1998,,1094.0,203.0,701,5432,9126,0,154,154.0,0.0,-1224,11893.0,-201,10622,0,10622,19748,
09/27/2019,19694,927,927,0.0,2320,2320,0.0,1836,260,739,837,0,471,0.0,0.0,2776.0,471.0,5554,3574,9480.0,-5906.0,0.0,10566,7336,5740,1596,128.0,326,14140,,2102,1357,94.0,339.0,312.0,570,0.0,0.0,0.0,,570.0,868,0.0,19.0,,832,3540,3395,3395.0,0.0,0.0,,2189,0.0,1367.0,156.0,647,5584,9124,0,154,154.0,0.0,-1337,12256.0,-503,10570,0,10570,19694,
12/27/2019,19976,742,742,0.0,2338,2338,0.0,2003,282,817,904,0,483,,,2360.0,483.0,5566,4165,,,0.0,10245,7448,5846,1602,,437,14410,,2721,1433,,,1288.0,683,0.0,122.0,,122.0,561.0,0,,,,0,3404,3809,3412.0,397.0,,397.0,2206,,1365.0,142.0,699,6015,9419,0,154,154.0,0.0,-1389,12206.0,-414,10557,0,10557,19976,
03/27/2020,19367,796,796,0.0,2461,2461,0.0,2001,277,838,886,0,457,,,2382.0,457.0,5715,4012,,,0.0,9640,6782,5235,1547,,476,13652,,3241,1390,,,1851.0,718,0.0,115.0,,115.0,603.0,0,,,,0,3959,4103,3752.0,351.0,,351.0,2134,,1359.0,126.0,649,6237,10196,0,154,154.0,0.0,-1639,11122.0,-571,9066,105,9171,19367,
06/28/2020,18840,474,474,0.0,2146,2146,0.0,2227,281,934,1012,0,472,25.0,,2286.0,456.0,5319,4049,,,0.0,9472,6755,5143,1612,,406,13521,,2918,1271,,,1647.0,806,691.0,115.0,,115.0,,3,,68.0,,0,3727,3741,3395.0,346.0,,346.0,2228,,1366.0,161.0,633,5969,9696,0,149,149.0,0.0,-729,10125.0,-509,9036,108,9144,18840,
