Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Prepaid Expenses,Derivative & Hedging Assets,Deferred Tax Assets,Taxes Receivable,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Investments,LT Marketable Securities,LT Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Prepaid Expense,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Deferred Tax Liabilities,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Pensions,Other Post-Ret Benefits,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
12/29/2007,352.458,198.112,49.897,148.215,49.957,49.957,,52.528,30.933,16.385,2.424,3.396,19.955,,,,,,320.552,8.285,13.252,-4.967,0.0,,,,23.621,22.732,0.0,22.732,,0.889,31.906,,47.78,47.78,,,,0.0,,,,,21.572,,,,21.572,69.352,0.0,,,,6.988,,,,,6.988,6.988,76.34,0.0,440.754,,,0.0,-164.625,-0.011,276.118,0.0,276.118,352.458,
03/29/2008,323.457,198.22,155.215,43.005,34.664,34.664,,36.234,26.381,6.147,3.706,0.0,12.877,,,,,,281.995,8.03,13.849,-5.819,8.729,,,,24.703,21.854,,,,2.849,41.462,,22.397,22.397,,,,0.0,,,,,17.415,,,,17.415,39.812,0.0,,,,6.738,,,,,6.738,6.738,46.55,0.0,444.817,,,0.0,-167.517,-0.393,276.907,0.0,276.907,323.457,
06/28/2008,336.435,197.446,190.778,6.668,51.487,51.487,,48.937,34.315,11.056,3.566,0.0,13.41,,,,,,311.28,6.705,13.636,-6.931,8.729,,0.0,,9.721,4.965,0.0,4.965,,4.756,25.155,,55.327,55.327,,,,0.0,,,,,18.437,,,,18.437,73.764,0.0,,,,7.972,,,,,7.972,7.972,81.736,0.0,448.475,,,0.0,-193.321,-0.455,254.699,0.0,254.699,336.435,
09/27/2008,322.593994,175.897006,173.865005,2.032,44.896999,44.896999,,65.542999,44.362,17.246,3.935,0.0,15.18,,,,,,301.516998,6.907,14.988,-8.081,8.694,,,,5.476,3.709,0.0,3.709,,1.767,21.077,,45.271999,45.271999,,,,0.0,,,,,20.745998,,,,20.745998,66.017998,0.0,,,,5.032,,,,,5.032,5.032,71.049998,0.0,451.338013,,,0.0,-199.311005,-0.483002,251.544006,0.0,251.544006,322.594004,
01/03/2009,285.493,171.954,171.954,0.0,27.782,27.782,,50.051,37.842,0.771,11.438,0.0,15.824,,,,,,265.611,6.941,15.343,-8.402,8.664,,,,4.277,3.487,0.0,3.487,,0.79,19.882,,21.639,21.639,,,,0.0,,,,,27.657,,,,27.657,49.296,0.0,,,,4.708,,,,,4.708,4.708,54.004,0.0,450.619,,,0.0,-218.853,-0.277,231.489,0.0,231.489,285.493,
04/04/2009,251.204,173.846,173.846,0.0,14.974,14.974,0.0,38.161,33.123,2.521,2.517,0.0,6.397,6.392,,,,0.005,233.378,6.281,15.364,-9.083,7.386,7.386,,,4.159,3.487,,3.487,,0.672,17.826,,24.215,12.633,,,11.582,0.0,0.0,,,,5.181,2.061,,0.828,0.0,29.396,0.0,0.0,,,4.11,,,,,1.221,4.11,33.506,0.0,452.625,0.03,452.595,-1.022,-232.25,-1.655,217.698,0.0,217.698,251.204,
06/26/2009,441.636,128.714,128.714,0.0,72.344,64.81,7.534,117.79,40.1,21.347,56.343,0.0,24.847,13.053,,,2.659,6.624,343.695,33.124,43.631,-10.507,7.416,7.416,,,57.401,21.521,,21.521,,35.88,97.941,,73.473,52.618,,,20.855,0.0,0.0,,,,101.535,14.635,,2.966,31.88,175.008,0.0,0.0,,,48.529,10.898,,,,20.03,48.529,223.537,0.0,453.76,0.03,453.73,-1.022,-233.064,-1.575,218.099,0.0,218.099,441.636,
09/25/2009,461.615,112.697,112.697,0.0,85.487,85.487,0.0,126.426,38.725,15.542,72.159,0.0,33.615,4.985,,,3.604,22.515,358.225,32.295,45.216,-12.921,8.287,7.453,,0.834,62.808,20.079,,20.079,0.816,41.913,103.39,,75.721,54.162,2.233,,19.326,0.0,0.0,,,,121.735,26.123,,20.592,27.753,197.456,0.0,0.0,,,62.513,2.235,,,,13.563,62.513,259.969,0.0,454.886,0.03,454.856,-1.022,-250.686,-1.532,201.646,0.0,201.646,461.615,
12/25/2009,485.679,142.798,142.798,0.0,77.152,77.152,0.0,85.363,30.209,12.698,42.456,0.0,53.057,9.686,,,4.998,35.862,358.37,30.174,46.227,-16.053,8.116,7.437,,0.679,89.019,17.833,,17.833,0.864,70.322,127.309,,53.398,31.258,1.287,,20.853,0.0,0.0,,,,149.11,67.28,,20.745,30.725,202.508,0.0,0.0,,,103.365,5.447,,,,9.893,103.365,305.873,0.0,456.203,0.03,456.173,-1.022,-273.729,-1.646,179.806,0.0,179.806,485.679,
03/26/2010,498.27,143.248,143.248,0.0,81.843,81.843,0.0,76.215,30.081,11.023,35.111,0.0,59.939,6.561,,,7.288,43.579,361.245,30.045,49.072,-19.027,7.913,7.391,,0.522,99.067,17.985,,17.985,0.8,80.282,137.025,,59.652,39.943,1.066,,18.643,0.0,0.0,,,,160.075,79.737,,21.714,30.824,219.727,0.0,0.0,,,116.665,3.744,,,,11.47,116.665,336.392,0.0,458.296,0.03,458.266,-1.022,-293.91,-1.486,161.878,0.0,161.878,498.27,
06/25/2010,497.212,129.343,129.343,0.0,79.464,79.464,0.0,89.929,38.529,13.875,37.525,0.0,62.052,2.128,0.0,,5.272,54.189,360.788,28.172,44.707,-16.535,7.475,7.475,,,100.777,16.223,0.0,16.223,,84.554,136.424,,72.303,49.204,1.214,0.0,21.885,0.0,0.0,0.0,0.0,,163.99,91.989,0.0,21.715,26.394,236.293,0.0,0.0,0.0,0.0,125.99,4.17,0.0,0.0,0.0,8.116,125.99,362.283,0.0,459.37,0.031,459.339,-1.022,-321.516,-1.903,134.929,0.0,134.929,497.212,
09/24/2010,499.339,88.207,88.207,0.0,96.32,96.32,0.0,105.358,42.671,15.095,47.592,0.0,73.054,1.334,,,6.97,64.287,362.939,26.47,45.969,-19.499,7.386,7.386,,,102.544,15.203,,15.203,,87.341,136.4,,67.877,47.974,1.243,,18.66,0.0,0.0,,,,178.256,92.471,,22.333,25.41,246.133,0.0,0.0,,,127.354,1.14,7.7,,,3.71,127.354,373.487,0.0,461.465,0.031,461.434,-2.362,-332.703,-0.548,125.852,0.0,125.852,499.339,
12/24/2010,496.453,100.941,100.941,0.0,103.538,103.538,0.0,79.074,40.28,17.15,21.644,0.0,78.355,1.605,,,12.001,64.286,361.908,26.204,46.746,-20.542,6.207,6.207,,,102.134,12.608,,12.608,,89.526,134.545,,63.524,41.452,1.055,,21.017,0.0,0.0,,,,170.594,98.346,,23.4,32.575,234.118,0.0,0.0,,,134.136,1.218,7.621,,,3.551,134.136,368.254,0.0,462.638,0.031,462.607,-4.912,-328.979,-0.548,128.199,0.0,128.199,496.453,
03/25/2011,524.818,128.727,128.727,0.0,101.648,101.648,0.0,82.722,42.308,13.428,26.986,0.0,74.696,0.945,,,7.506,65.784,387.793,29.16,52.197,-23.037,0.0,,,,107.865,18.068,,18.068,,89.797,137.025,,70.159,44.065,1.238,,24.856,8.157,8.157,,,,170.935,96.077,,24.285,31.978,249.251,1.483,1.483,,,141.443,1.438,15.819,,,3.824,142.926,392.177,0.0,468.26,0.031,468.229,-4.912,-330.651,-0.056,132.641,0.0,132.641,524.818,
06/24/2011,538.009,139.868,139.868,0.0,108.675,108.675,0.0,80.965,48.286,16.891,15.788,0.0,78.191,1.542,0.0,8.673,7.433,67.401,407.699,29.573,55.786,-26.213,0.0,,,,100.737,13.289,0.0,13.289,,78.775,130.31,,108.693,71.299,7.917,0.0,29.477,0.0,0.0,0.0,0.0,,165.036,93.146,0.0,24.104,32.05,273.729,0.0,0.0,0.0,0.0,140.994,2.773,15.569,,,5.402,140.994,414.723,0.0,470.374,0.031,470.343,-4.912,-342.749,0.573,123.286,0.0,123.286,538.009,
09/30/2011,522.565,112.49,112.49,0.0,101.296,101.296,0.0,110.726,48.95,25.806,35.97,0.0,75.309,1.504,,8.566,7.346,64.781,399.821,29.687,57.811,-28.124,0.0,,,,93.057,12.296,,12.296,,72.195,122.744,,91.266,65.25,1.969,,24.047,0.0,0.0,,,,175.24,84.085,,21.886,33.947,266.506,0.0,0.0,,,129.533,3.032,15.247,,,5.283,129.533,396.039,0.0,475.272,0.031,475.241,-4.912,-345.406,1.572,126.526,0.0,126.526,522.565,
12/30/2011,519.862,92.174,92.174,0.0,120.711,120.711,0.0,117.64,55.981,27.625,34.034,0.0,74.069,1.146,,8.528,7.461,63.784,404.594,29.516,59.96,-30.444,0.0,,,,85.752,10.993,,10.993,,66.231,115.268,,111.59,85.3,1.236,,25.054,0.0,0.0,,,,162.447,77.47,,21.724,33.013,274.037,0.0,0.0,,,120.139,3.2,10.101,,,7.644,120.139,394.176,0.0,477.221,0.031,477.19,-4.912,-347.662,1.039,125.686,0.0,125.686,519.862,
03/30/2012,515.517,88.872,88.872,0.0,138.179,138.179,0.0,107.517,53.162,28.196,26.159,0.0,74.134,0.832,,8.574,9.934,61.685,408.702,28.713,61.308,-32.595,0.0,,,,78.102,9.675,,9.675,,59.853,106.815,,91.433,65.407,1.031,,24.995,15.199,15.199,,,,164.227,73.811,,22.567,33.803,270.859,0.0,0.0,,,116.582,3.403,9.965,,,6.836,116.582,387.441,0.0,482.365,0.031,482.334,-4.912,-348.824,-0.553,128.076,0.0,128.076,515.517,
06/29/2012,496.88,104.851,104.851,0.0,98.293,98.293,0.0,123.391,52.997,22.666,47.728,0.0,68.83,1.555,0.0,15.438,9.831,42.006,395.365,27.404,62.194,-34.79,0.0,,,,74.111,8.675,0.0,8.675,,49.998,101.515,,95.434,69.448,1.74,0.0,24.246,15.2,15.2,0.0,0.0,,171.771,64.717,0.0,20.568,31.689,282.405,0.0,0.0,0.0,0.0,103.583,3.248,11.484,,,3.566,103.583,385.988,0.0,484.494,0.033,484.461,-4.912,-367.21,-1.48,110.892,0.0,110.892,496.88,
09/28/2012,509.629,107.214,107.214,0.0,89.613,89.613,0.0,145.721,50.682,39.843,55.196,0.0,70.742,1.305,,15.438,8.191,61.14,413.29,27.892,,,0.0,,,,68.447,7.289,,7.289,,45.72,96.339,,113.392,88.078,0.93,,24.384,10.3,10.3,,,,180.238,58.743,,21.904,29.834,303.93,0.0,0.0,,,98.639,3.127,11.779,,,3.086,98.639,402.569,0.0,489.088,0.033,489.055,-4.912,-375.89,-1.226,107.06,0.0,107.06,509.629,
12/28/2012,504.487,124.145,124.145,0.0,88.636,88.636,0.0,146.897,33.046,24.895,88.956,0.0,51.819,1.348,,15.438,6.422,43.943,411.497,27.217,,,0.0,,,,65.773,6.344,,6.344,,43.991,92.99,,82.316,58.398,0.428,,23.49,0.0,0.0,,,,223.37,53.508,,17.734,37.396,305.686,0.0,0.0,,,88.504,2.79,11.815,,,2.657,88.504,394.19,0.0,491.607,0.033,491.574,-4.912,-374.789,-1.609,110.297,0.0,110.297,504.487,
03/29/2013,466.268,149.394,149.394,0.0,98.577,98.577,0.0,76.338,42.861,17.776,15.701,0.0,53.253,3.743,,15.438,11.721,37.683,377.562,26.027,,,0.0,,,,62.679,5.534,,5.534,,41.707,88.706,,82.161,55.305,0.371,,26.485,0.0,0.0,,,,166.637,55.496,,11.602,39.014,248.798,0.0,0.0,,,83.055,2.653,11.353,,,1.951,83.055,331.853,0.0,507.389,0.034,507.355,-5.352,-365.565,-2.057,134.415,0.0,134.415,466.268,
06/28/2013,407.853,175.181,175.181,0.0,59.842,59.842,0.0,61.77,29.722,20.716,11.332,0.0,35.829,1.229,0.0,5.764,5.626,28.693,332.622,26.17,65.433,-39.263,0.0,,,,49.061,4.643,0.0,4.643,,38.654,75.231,,80.526,51.531,0.491,0.0,28.504,0.0,0.0,0.0,0.0,,121.23,50.362,0.0,10.149,29.581,201.756,0.0,0.0,0.0,0.0,75.843,2.319,11.542,,,1.471,75.843,277.599,0.0,510.127,0.035,510.092,-7.692,-370.03,-2.151,130.254,0.0,130.254,407.853,
09/27/2013,406.707,160.058,160.058,0.0,82.455,82.455,0.0,55.971,25.639,16.664,13.668,0.0,31.016,1.344,,5.764,5.664,22.855,329.5,28.76,,,0.0,,,,48.447,5.325,1.531,3.794,,37.358,77.207,,80.456,58.325,0.528,,21.603,0.0,0.0,,,,124.351,49.802,,10.425,27.691,204.807,0.0,0.0,,,75.609,2.26,11.875,,,1.247,75.609,280.416,0.0,517.112,0.035,517.077,-10.748,-376.853,-3.22,126.291,0.0,126.291,406.707,
12/27/2013,380.302,113.441,113.441,0.0,71.716,71.716,0.0,71.494,25.689,18.088,27.717,0.0,37.133,1.39,,5.764,6.587,27.532,293.784,27.698,,,0.0,,,,58.82,16.411,8.781,7.63,,36.645,86.518,,78.774,56.789,0.787,,21.198,0.0,0.0,,,,118.397,46.957,,10.36,26.705,197.171,0.0,0.0,,,72.843,2.344,11.898,,,1.284,72.843,270.014,0.0,520.416,0.035,520.381,-15.497,-390.537,-4.094,110.288,0.0,110.288,380.302,
03/28/2014,369.859,76.105,76.105,0.0,102.96,102.96,0.0,71.731,22.272,13.88,35.579,0.0,30.854,1.172,,,4.287,23.947,281.65,28.618,,,0.0,,,,59.591,17.119,8.584,8.535,,42.472,88.209,,70.389,48.631,1.102,,20.656,0.0,0.0,,,,128.21,46.884,,9.997,26.144,198.599,0.0,0.0,,,77.508,3.797,12.006,,,4.824,77.508,276.107,0.0,525.865,0.036,525.829,-15.736,-412.395,-3.982,93.752,0.0,93.752,369.859,
06/27/2014,364.938,109.297,109.297,0.0,72.076,72.076,0.0,47.354,22.859,10.795,13.7,0.0,34.255,1.011,0.0,,9.611,22.415,262.982,34.584,73.657,-39.073,0.0,,,,67.372,13.207,8.584,4.623,,54.165,101.956,,73.556,53.128,0.379,0.0,20.049,0.0,0.0,0.0,0.0,,131.956,45.422,0.0,10.114,36.278,205.512,0.0,0.0,0.0,0.0,77.274,1.828,12.931,,,6.979,77.274,282.786,0.0,527.561,0.036,527.525,-18.677,-422.844,-3.888,82.152,0.0,82.152,364.938,
09/26/2014,356.029,89.492,89.492,0.0,76.691,76.691,0.0,65.391,21.745,21.105,22.541,0.0,24.21,0.89,,16.663,3.394,18.028,255.784,34.563,,,0.0,,,,65.682,12.981,8.584,4.397,,36.038,100.245,,81.161,62.741,,,18.42,0.0,0.0,,,,125.499,43.833,,,24.539,206.66,0.0,0.0,,,74.372,3.986,12.176,,,14.377,74.372,281.032,0.0,532.408,0.036,532.372,-19.778,-433.177,-4.456,74.997,0.0,74.997,356.029,
12/26/2014,347.81,79.294,79.294,0.0,64.75,64.75,0.0,76.59,22.59,35.355,18.645,0.0,23.814,0.3,,16.663,2.75,17.111,244.448,37.386,,,0.0,,,,65.976,11.656,8.584,3.072,,37.657,103.362,,74.477,57.679,,,16.798,1.75,1.75,,,,120.423,44.872,,,26.24,196.65,13.25,13.25,,,73.885,5.133,11.474,,,12.406,87.135,283.785,0.0,536.022,0.037,535.985,-22.899,-443.615,-5.483,64.025,0.0,64.025,347.81,
03/27/2015,395.141,79.922,79.922,0.0,83.307,83.307,0.0,100.351,20.185,35.733,44.433,0.0,28.299,0.269,,16.663,2.321,17.98,291.879,37.711,,,0.0,,,,65.551,11.536,8.584,2.951,,37.352,103.262,,63.484,45.652,,,17.832,4.258,2.458,,,1.8,125.453,45.693,,,23.322,193.195,68.25,68.25,,,72.748,1.163,10.336,,,15.556,140.998,334.193,0.0,541.049,0.037,541.012,-22.899,-452.377,-4.825,60.948,0.0,60.948,395.141,
06/26/2015,387.584,67.191,67.191,0.0,118.219,118.219,0.0,82.832,20.498,25.562,36.772,0.0,31.764,0.178,0.0,0.532,5.179,19.94,300.006,38.48,85.11,-46.63,0.0,,,,49.098,11.303,8.584,2.719,,37.263,87.578,,66.474,48.677,0.0,0.0,17.797,3.096,3.096,0.0,0.0,,129.653,43.781,0.0,0.0,27.692,199.223,65.581,65.581,0.0,0.0,69.402,1.374,9.33,,,14.917,134.983,334.206,0.0,543.535,0.037,543.498,-22.899,-461.989,-5.269,53.378,0.0,53.378,387.584,
09/25/2015,358.936,94.911,94.911,0.0,55.658,55.658,0.0,92.168,22.401,13.407,56.36,0.0,26.432,0.393,,0.758,6.435,19.02,269.169,39.869,,,0.0,,,,49.898,11.202,8.584,2.618,,37.938,89.767,,64.997,49.126,,,15.871,4.004,4.004,,,,108.918,42.311,,,23.718,177.919,66.243,66.243,,,67.2,1.365,9.273,,,14.251,133.443,311.362,0.0,548.665,0.038,548.627,-22.899,-473.561,-4.631,47.574,0.0,47.574,358.936,
12/25/2015,356.239,68.41,68.41,0.0,103.758,103.758,0.0,66.026,20.156,8.238,37.632,0.0,25.146,0.322,,0.758,2.876,21.184,263.34,41.108,,,0.0,,,,51.791,11.001,8.584,2.417,,40.032,92.899,,63.941,46.122,,1.641,16.178,3.978,3.978,,,,102.231,45.267,,,18.957,170.15,66.067,66.067,,,69.965,1.647,9.057,,,13.994,136.032,306.182,0.0,551.476,0.038,551.438,-22.899,-474.04,-4.48,50.057,0.0,50.057,356.239,
03/25/2016,352.644,98.959,98.959,0.0,80.723,80.723,0.0,51.791,21.677,16.161,13.953,0.0,28.973,3.839,,0.758,3.313,21.217,260.446,40.769,,,0.0,,,,51.429,10.801,8.584,2.217,,39.87,92.198,,70.126,46.471,6.423,1.508,15.724,3.98,3.98,,,,91.123,42.997,,,15.381,165.229,64.366,64.366,,,68.418,1.721,9.31,,,14.39,132.784,298.013,0.0,555.746,0.039,555.707,-22.899,-473.301,-4.915,54.631,0.0,54.631,352.644,
06/24/2016,356.129,92.946,92.946,0.0,85.834,85.834,0.0,55.911,22.257,29.753,3.901,0.0,29.26,0.179,,1.017,5.603,23.08,263.951,40.526,88.825,-48.299,0.0,,,,51.652,10.61,8.584,2.026,,40.025,92.178,,71.61,55.761,,,15.849,3.776,3.776,0.0,0.0,,91.997,46.619,0.0,0.0,23.129,167.383,60.722,60.722,0.0,0.0,72.834,1.684,10.868,,,13.663,133.556,300.939,0.0,557.493,0.039,557.454,-22.899,-473.167,-6.237,55.19,0.0,55.19,356.129,
