Date,Revenue,Other Revenue,Other Operating Income,Operating Expenses,"Selling, General & Admin",Depreciation & Amortization,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
06/30/2008,197.16,,,-64.375,,,,132.785,-1.146,1.116,4.041,-2.925,,0.03,131.639,-46.775,84.864,,,,84.864,,84.864,,,84.864,84.864,,352.98,0.24,0.24,0.24,357.015,0.238,0.238,0.238,
09/30/2008,201.444,,,-82.302,,,,119.142,-0.86,1.141,4.438,-3.297,0.0,-0.281,118.282,-43.319,74.963,0.0,,,74.963,0.0,74.963,0.0,0.0,74.963,74.963,,357.415,0.21,0.21,0.21,362.12,0.208,0.208,0.208,
12/31/2008,207.26,,,-109.933,20.157,,89.776,97.327,-16.171,3.564,5.958,-2.394,0.0,12.607,81.156,-32.301,48.855,0.0,,,48.855,,48.855,0.0,0.0,48.855,48.855,,361.4,0.136,0.136,0.166,367.325,0.134,0.134,0.164,
03/31/2009,231.553,231.553,0.0,-117.754,22.906,27.303,67.545,113.799,-4.723,4.644,5.254,-0.61,,0.079,109.076,-36.854,72.222,0.0,0.0,0.0,72.222,0.0,72.222,0.0,0.0,72.222,75.862,3.64,363.355,0.198,0.198,0.208782,368.03,0.196,0.196,0.20589,
06/30/2009,250.417,250.417,0.0,-115.456,22.938,27.579,64.939,134.961,-17.139,6.562,6.906,-0.344,,10.577,117.822,-45.764,72.058,0.0,0.0,0.0,72.058,0.0,72.058,0.0,0.0,72.058,72.40185,0.34385,364.46,0.198,0.198,0.198655,370.37,0.194,0.194,0.194928,
09/30/2009,256.264,256.264,0.0,-116.275,22.613,27.868,65.794,139.989,-2.583,4.076,4.374,-0.298,,-1.493,137.406,-50.524,86.882,0.0,0.0,0.0,86.882,0.572,87.454,0.0,0.0,87.454,87.454,0.0,365.685,0.24,0.24,0.24,371.02,0.236,0.236,0.236,
12/31/2009,256.554,256.554,0.0,-132.684,24.982,28.607,79.095,123.87,5.531,5.679,6.387,-0.708,,-11.21,129.401,-46.409,82.992,0.0,0.0,0.0,82.992,1.262,84.254,0.0,0.0,84.254,86.7799,2.5259,366.375,0.23,0.23,0.236861,372.55,0.226,0.226,0.23278,
03/31/2010,281.62,281.62,0.0,-117.805,22.257,28.214,67.334,163.815,-7.08,6.384,7.11,-0.726,,0.696,156.735,-53.217,103.518,0.0,0.0,0.0,103.518,-2.355,101.163,0.0,0.0,101.163,101.498,0.335,368.38,0.274,0.274,0.275525,372.635,0.272,0.272,0.272899,
06/30/2010,296.155,296.155,0.0,-117.86,21.549,27.914,68.397,178.295,-22.479,7.162,7.502,-0.34,,15.317,155.816,-53.289,102.527,0.0,0.0,0.0,102.527,-0.839,101.688,0.0,0.0,101.688,102.6617,0.9737,369.8,0.274,0.274,0.277614,373.815,0.272,0.272,0.274605,
09/30/2010,287.146,287.146,0.0,-135.588,25.982,31.739,77.867,151.558,-4.317,7.033,7.511,-0.478,,-2.716,147.241,-47.328,99.913,0.0,0.0,0.0,99.913,-3.598,96.315,0.0,0.0,96.315,100.87735,4.56235,368.295,0.262,0.262,0.273904,372.215,0.258,0.258,0.270257,
12/31/2010,285.023,285.023,0.0,-126.442,11.457,33.342,81.643,158.581,-8.231,6.872,7.641,-0.769,,1.359,150.35,-48.541,101.809,0.0,0.0,0.0,101.809,-2.677,99.132,0.0,0.0,99.132,99.90095,0.76895,366.025,0.27,0.27,0.272935,370.885,0.268,0.268,0.270073,
03/31/2011,334.28,334.28,0.0,-130.957,9.062,33.131,88.764,203.323,-7.031,6.755,7.743,-0.988,,0.276,196.292,-66.138,130.154,0.0,0.0,0.0,130.154,-1.25,128.904,0.0,0.0,128.904,131.13805,2.23405,367.165,0.352,0.352,0.357164,371.005,0.348,0.348,0.354022,
06/30/2011,325.218,325.218,0.0,-134.336,8.517,32.837,92.982,190.882,-7.194,6.909,7.752,-0.843,,0.285,183.688,-59.316,124.372,0.0,0.0,0.0,124.372,-3.007,121.365,0.0,0.0,121.365,125.18505,3.82005,367.185,0.33,0.33,0.340932,370.69,0.328,0.328,0.338305,
09/30/2011,340.778,340.778,0.0,-136.729,25.308,33.095,78.326,204.049,-7.594,7.336,8.244,-0.908,,0.258,196.455,-59.507,136.948,0.0,0.0,0.0,136.948,-4.317,132.631,0.0,0.0,132.631,138.982,6.351,365.695,0.362,0.362,0.380049,369.18,0.36,0.36,0.377203,
12/31/2011,327.215,327.215,0.0,-132.407,8.716,33.189,90.502,194.808,-10.83,10.64,10.91,-0.27,,0.19,183.978,-53.711,130.267,0.0,0.0,0.0,130.267,-3.494,126.773,0.0,0.0,126.773,127.3346,0.5616,362.91,0.35,0.35,0.350871,367.07,0.346,0.346,0.34753,
03/31/2012,365.194,365.194,0.0,-140.012,10.924,31.983,97.105,225.182,-10.107,9.828,10.068,-0.24,,0.279,215.075,-65.296,149.779,0.0,0.0,0.0,149.779,-1.914,147.865,0.0,0.0,147.865,150.11595,2.25095,363.205,0.408,0.408,0.413309,366.26,0.404,0.404,0.410146,
06/30/2012,351.213,351.213,0.0,-135.797,9.542,32.108,94.147,215.416,-8.852,9.157,9.599,-0.442,,-0.305,206.564,-61.266,145.298,0.0,0.0,0.0,145.298,-2.141,143.157,0.0,0.0,143.157,146.5669,3.4099,363.775,0.394,0.394,0.402905,366.715,0.39,0.39,0.399299,
09/30/2012,323.187,323.187,0.0,-129.136,8.114,32.864,88.158,194.051,-9.392,9.113,9.445,-0.332,,0.279,184.659,-50.552,134.107,0.0,0.0,0.0,134.107,-3.025,131.082,0.0,0.0,131.082,134.12725,3.04525,363.945,0.36,0.36,0.368537,367.055,0.358,0.358,0.366296,
12/31/2012,324.0,324.0,0.0,-131.0,8.0,34.0,89.0,193.0,-9.0,9.0,10.0,-1.0,,0.0,184.0,-51.0,133.0,0.0,0.0,0.0,133.0,-3.0,130.0,0.0,0.0,130.0,139.01225,9.01225,365.0,0.356,0.356,0.380855,365.0,0.352,0.352,0.376691,
03/31/2013,352.0,352.0,0.0,-152.0,9.0,32.0,111.0,200.0,-9.0,,10.0,,,-1.0,191.0,-54.0,137.0,0.0,0.0,0.0,137.0,-2.0,135.0,0.0,0.0,135.0,146.0,11.0,365.0,0.372,0.372,0.4,365.0,0.37,0.37,0.4,
06/30/2013,372.0,372.0,0.0,-147.0,9.0,33.0,105.0,225.0,-8.0,,10.0,,,-2.0,217.0,-59.0,158.0,0.0,0.0,0.0,158.0,-4.0,154.0,0.0,0.0,154.0,160.3791,6.3791,365.0,0.422,0.422,0.439395,365.0,0.418,0.418,0.435477,
09/30/2013,338.0,338.0,0.0,-136.0,10.0,35.0,91.0,202.0,-9.0,8.0,9.0,-1.0,,1.0,193.0,-48.0,145.0,0.0,0.0,0.0,145.0,-4.0,141.0,0.0,0.0,141.0,145.55,4.55,365.0,0.388,0.388,0.398767,370.0,0.384,0.384,0.396297,
12/31/2013,536.0,536.0,0.0,-373.0,23.0,56.0,294.0,163.0,-260.0,26.0,27.0,-1.0,,234.0,-97.0,-23.0,-120.0,50.0,50.0,0.0,-170.0,-6.0,-176.0,0.0,0.0,-176.0,206.15,332.15,475.0,-0.37,-0.264,0.434,480.0,-0.37,-0.264,0.427979,
03/31/2014,797.0,797.0,0.0,-406.0,26.0,80.0,300.0,391.0,-29.0,26.0,27.0,-1.0,,3.0,362.0,-101.0,261.0,-13.0,-13.0,0.0,274.0,-13.0,261.0,0.0,0.0,261.0,264.785711,16.785711,575.0,0.456,0.432,0.460497,580.0,0.454,0.43,0.458941,
06/30/2014,750.0,750.0,0.0,-423.0,41.0,81.0,301.0,327.0,-7.0,,23.0,,,-16.0,320.0,-93.0,227.0,-8.0,-8.0,0.0,235.0,-9.0,226.0,0.0,0.0,226.0,243.352956,25.352956,575.0,0.392,0.378,0.423223,580.0,0.39,0.376,0.419712,
09/30/2014,745.0,745.0,0.0,-415.0,37.0,83.0,295.0,330.0,-17.0,18.0,22.0,-4.0,,-1.0,313.0,-90.0,223.0,10.0,10.0,0.0,213.0,-7.0,206.0,0.0,0.0,206.0,243.919718,27.919718,570.0,0.362,0.38,0.427929,570.0,0.36,0.378,0.426982,
12/31/2014,800.0,800.0,0.0,-400.0,39.0,89.0,272.0,400.0,12.0,16.0,23.0,-7.0,,-28.0,412.0,-118.0,294.0,0.0,0.0,0.0,294.0,-6.0,288.0,0.0,0.0,288.0,305.95,17.95,560.0,0.512,0.512,0.546339,565.0,0.508,0.508,0.53977,
03/31/2015,850.0,850.0,0.0,-388.0,29.0,89.0,270.0,462.0,-21.0,,23.0,,,-2.0,441.0,-118.0,323.0,0.0,0.0,0.0,323.0,-8.0,315.0,0.0,0.0,315.0,327.057692,12.057692,560.0,0.562,0.562,0.584032,560.0,0.56,0.56,0.581532,
06/30/2015,797.0,797.0,0.0,-367.0,29.0,93.0,245.0,430.0,-32.0,,23.0,,,9.0,398.0,-109.0,289.0,0.0,0.0,0.0,289.0,-6.0,283.0,0.0,0.0,283.0,302.534483,19.534483,555.0,0.51,0.51,0.545107,560.0,0.508,0.508,0.542883,
09/30/2015,816.0,816.0,0.0,-376.0,24.0,94.0,258.0,440.0,-17.0,,21.0,,,-4.0,423.0,-113.0,310.0,0.0,0.0,0.0,310.0,-4.0,306.0,0.0,0.0,306.0,306.630772,0.630772,550.0,0.554,0.554,0.55751,555.0,0.552,0.552,0.553137,
12/31/2015,875.0,875.0,0.0,-457.0,34.0,98.0,325.0,418.0,-27.0,,30.0,,,-3.0,391.0,-18.0,373.0,0.0,0.0,0.0,373.0,-3.0,370.0,0.0,0.0,370.0,408.969361,38.969361,558.0,0.66,0.66,0.73292,562.0,0.66,0.66,0.729341,
03/31/2016,1154.0,1154.0,0.0,-570.0,22.0,143.0,405.0,584.0,-44.0,,46.0,,,-2.0,540.0,-163.0,377.0,0.0,0.0,0.0,377.0,-8.0,369.0,0.0,0.0,369.0,379.670213,10.670213,595.0,0.62,0.62,0.638101,600.0,0.616,0.616,0.633784,
06/30/2016,1129.0,1129.0,0.0,-578.0,30.0,146.0,402.0,551.0,-35.0,43.0,44.0,-1.0,,-8.0,516.0,-153.0,363.0,0.0,0.0,0.0,363.0,-6.0,357.0,0.0,0.0,357.0,381.5,24.5,595.0,0.6,0.6,0.641176,600.0,0.596,0.596,0.636833,
09/30/2016,1078.0,1078.0,0.0,-604.0,31.0,181.0,392.0,474.0,-31.0,42.0,44.0,-2.0,,-11.0,443.0,-93.0,350.0,0.0,0.0,0.0,350.0,-6.0,344.0,0.0,0.0,344.0,337.5,-6.5,595.0,0.576,0.576,0.567227,600.0,0.572,0.572,0.561167,
12/31/2016,1138.0,1138.0,0.0,-580.0,33.0,140.0,407.0,558.0,-28.0,28.0,44.0,-16.0,,0.0,530.0,-171.0,359.0,0.0,0.0,0.0,359.0,-7.0,352.0,0.0,0.0,352.0,361.48276,9.48276,595.0,0.59,0.59,0.607534,600.0,0.59,0.59,0.605805,
03/31/2017,1166.0,1166.0,0.0,-584.0,41.0,134.0,409.0,582.0,143.0,,45.0,,,-188.0,725.0,-214.0,511.0,0.0,0.0,0.0,511.0,-8.0,503.0,0.0,0.0,503.0,397.449438,-105.550562,594.0,0.85,0.85,0.669107,599.0,0.84,0.84,0.663789,
06/30/2017,1180.0,1180.0,0.0,-571.0,38.0,142.0,391.0,609.0,-42.0,,45.0,,,-3.0,567.0,-140.0,427.0,0.0,0.0,0.0,427.0,-8.0,419.0,0.0,0.0,419.0,423.666667,4.666667,591.0,0.71,0.71,0.716864,595.0,0.71,0.71,0.716864,
09/30/2017,1146.0,1146.0,0.0,-550.0,38.0,128.0,384.0,596.0,-33.0,47.0,47.0,0.0,,-14.0,563.0,-186.0,377.0,0.0,0.0,0.0,377.0,-6.0,371.0,0.0,0.0,371.0,376.14458,5.14458,588.0,0.63,0.63,0.639702,592.0,0.63,0.63,0.63869,
12/31/2017,1146.0,1146.0,0.0,-554.0,38.0,131.0,385.0,592.0,79.0,47.0,50.0,-3.0,,-126.0,671.0,568.0,1239.0,0.0,0.0,0.0,1239.0,-6.0,1233.0,0.0,0.0,1233.0,402.7,-830.3,584.0,2.11,2.11,0.689555,589.0,2.09,2.09,0.680323,
03/31/2018,1225.0,1225.0,0.0,-575.0,33.0,138.0,404.0,650.0,-33.0,,52.0,,,-19.0,617.0,-143.0,474.0,0.0,0.0,0.0,474.0,-10.0,464.0,0.0,0.0,464.0,473.670732,9.670732,582.0,0.8,0.8,0.813867,586.0,0.79,0.79,0.806503,
06/30/2018,1246.0,1246.0,0.0,-591.0,39.0,143.0,409.0,655.0,-44.0,50.0,55.0,-5.0,,-6.0,611.0,-149.0,462.0,0.0,0.0,0.0,462.0,-7.0,455.0,0.0,0.0,455.0,475.053763,20.053763,578.0,0.79,0.79,0.821892,581.0,0.78,0.78,0.814516,
09/30/2018,1200.0,1200.0,0.0,-598.0,37.0,148.0,413.0,602.0,-48.0,60.0,66.0,-6.0,,-12.0,554.0,-89.0,465.0,0.0,0.0,0.0,465.0,-7.0,458.0,0.0,0.0,458.0,462.766234,4.766234,572.0,0.8,0.8,0.809032,576.0,0.79,0.79,0.798275,
12/31/2018,1308.0,1308.0,0.0,-632.0,42.0,157.0,433.0,676.0,62.0,64.0,71.0,-7.0,,-126.0,738.0,-119.0,619.0,0.0,0.0,0.0,619.0,-8.0,611.0,0.0,0.0,611.0,525.89,-85.11,569.0,1.07,1.07,0.924236,573.0,1.07,1.07,0.921466,
03/31/2019,1270.0,1270.0,0.0,-605.0,42.0,158.0,405.0,665.0,-39.0,62.0,71.0,-9.0,,-23.0,626.0,-134.0,492.0,0.0,0.0,0.0,492.0,-8.0,484.0,0.0,0.0,484.0,484.0,0.0,568.0,0.85,0.85,0.85,570.0,0.85,0.85,0.85,
06/30/2019,1298.0,1298.0,0.0,-618.0,41.0,157.0,420.0,680.0,-52.0,61.0,71.0,-10.0,,-9.0,628.0,-150.0,478.0,0.0,0.0,0.0,478.0,-6.0,472.0,0.0,0.0,472.0,476.79,4.79,563.0,0.84,0.84,0.846874,566.0,0.84,0.84,0.846874,
09/30/2019,1336.0,1336.0,0.0,-630.0,33.0,158.0,439.0,706.0,-66.0,64.0,72.0,-8.0,,2.0,640.0,-103.0,537.0,0.0,0.0,0.0,537.0,-8.0,529.0,0.0,0.0,529.0,540.789474,11.789474,559.0,0.95,0.95,0.967423,563.0,0.94,0.94,0.96094,
12/31/2019,1298.0,1298.0,0.0,-676.0,45.0,189.0,442.0,622.0,-35.0,64.0,71.0,-7.0,,-29.0,587.0,-134.0,453.0,0.0,0.0,0.0,453.0,-5.0,448.0,0.0,0.0,448.0,472.478679,24.478679,556.0,0.81,0.81,0.849782,560.0,0.8,0.8,0.843712,
03/31/2020,1559.0,1559.0,0.0,-677.0,49.0,157.0,471.0,882.0,-46.0,66.0,72.0,-6.0,,-20.0,836.0,-178.0,658.0,0.0,0.0,0.0,658.0,-8.0,650.0,0.0,0.0,650.0,657.375,7.375,552.0,1.18,1.18,1.190897,555.0,1.17,1.17,1.183288,
06/30/2020,1395.0,1395.0,0.0,-651.0,40.0,157.0,454.0,744.0,-71.0,82.0,84.0,-2.0,,-11.0,673.0,-145.0,528.0,0.0,0.0,0.0,528.0,-5.0,523.0,0.0,0.0,523.0,531.817113,8.817113,546.0,0.96,0.96,0.974024,549.0,0.95,0.95,0.96606,
09/30/2020,1332.867,,,,,,,744.714,,,,,,,722.4,,497.4,,,,,,497.4,,,497.4,541.636,,,0.892,0.892,0.994,,0.892,0.892,0.994,
12/31/2020,1369.214,,,,,,,795.286,,,,,,,745.2,,516.909,,,,,,516.909,,,516.909,571.182,,,0.961,0.961,1.051,,0.961,0.961,1.051,
