Date,Cash from Operating Activities,Net Income,Depreciation & Amortization,Non-Cash Items,Gain on Sale of Secs & Loans,Stock-Based Compensation,Other Non - Cash Adjusted,Net Ch in Operating Capital,Net Ch of Investments,Other Op Assets/Liab,Net Cash From Disc Ops,Cash from Investing Activities,Net Change in Fixed Assets,Disposal of Fixed Assets,Capital Expenditures/Prop Add,Net Change in Investments,Decrease in Investments,Increase in Investments,Net Ch in Loans & Interbank,Net Ch in Customer Loans,Net Ch in Interbank Assets,Net Ch in Loans,Net Cash from Acq & Div,Cash from Divestitures,Cash for Acq of Subs,Cash for JVs,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Cash From (Repayment) Debt,Cash From (Repay) ST Debt,Net Ch in Interbank Trans,Cash From LT Debt,Repayments of LT Debt,Cash (Repurchase) of Equity,Increase in Capital Stock,Decrease in Capital Stock,Net Change In Deposits,Other Financing Activities,Effect of Foreign Exchange Rates,Net Changes in Cash,Cash Paid for Interest,Source: Bloomberg
09/30/1998,86.490997,42.973999,8.386,9.088,,,9.088,26.042999,,,,,-11.42,,-11.42,,,,,,,,,,,,11.42,,,,,,,,,,,,,,,,
12/31/1998,32.150002,45.007,8.329,-6.901,,,-6.901,-14.285,,,,,-15.311,,-15.311,,,,,,,,,,,,15.311,,,,,,,,,,,,,,,,
03/31/1999,91.686996,53.411999,7.6,-5.398,,,-5.398,36.073002,,,,,-15.209,,-15.209,,,,,,,,,,,,15.209,,,,,,,,,,,,,,,,
06/30/1999,39.953999,53.689999,7.821,16.061001,,,16.061001,-37.618,,,,,-16.291,,-16.291,,,,,,,,,,,,16.291,,,,,,,,,,,,,,,,
09/30/1999,110.397003,62.221001,8.127,5.625,,,5.625,34.424,,,,,-15.509,,-15.509,,,,,,,,,,,,15.509,,,,,,,,,,,,,,,,
12/31/1999,54.898998,70.081001,9.08,2.776,,,2.776,-27.038,,,,,-30.408001,,-30.408001,,,,,,,,,,,,30.408001,,,,,,,,,,,,,,,,
03/31/2000,104.695,75.033997,9.474,6.553,,,6.553,13.634,,,,,-18.040001,,-18.040001,,,,,,,,,,,,18.040001,,,,,,,,,,,,,,,,
06/30/2000,61.949001,69.338997,10.177,5.568,,,5.568,-23.135,,,,,-22.638,,-22.638,,,,,,,,,,,,22.638,,,,,,,,,,,,,,,,
09/30/2000,126.438004,69.182999,14.964,5.414,,,5.414,36.876999,,,,,-25.865999,,-25.865999,,,,,,,,,,,,25.865999,,,,,,,,,,,,,,,,
12/31/2000,29.653,55.473,19.077,-12.849,,,-12.849,-32.048,,,,,-19.068,,-19.068,,,,,,,,,,,,19.068,,,,,,,,,,,,,,,,
03/31/2001,108.850998,49.307999,19.386,40.157001,,,40.157001,0.0,,,,,-23.093,,-23.093,,,,,,,,,,,,23.093,,,,,,,,,,,,,,,,
06/30/2001,69.94,51.156,20.524,-1.74,,,-1.74,0.0,,,,,-9.465,,-9.465,,,,,,,,,,,,9.465,,,,,,,,,,,,,,,,
09/30/2001,133.537,50.398,20.22,62.919,,,62.919,0.0,,,,,-4.59,,-4.59,,,,,,,,,,,,4.59,,,,,,,,,,,,,,,,
12/31/2001,-21.974,45.006,20.358,-87.338,,,-87.338,0.0,,,,,-4.227,,-4.227,,,,,,,,,,,,4.227,,,,,,,,,,,,,,,,
03/31/2002,87.79199,53.02399,12.751,22.017,,,22.017,0.0,,,,,-5.500999,,-5.500999,,,,,,,,,,,,5.500999,,,,,,,,,,,,,,,,
06/30/2002,98.70099,51.85397,12.991,33.85599,,,33.85599,0.0,,,,,-7.009998,,-7.009998,,,,,,,,,,,,7.009998,,,,,,,,,,,,,,,,
09/30/2002,69.476997,43.209999,12.712,13.555,,,13.555,0.0,,,,,-7.008,,-7.008,,,,,,,,,,,,7.008,,,,,,,,,,,,,,,,
12/31/2002,13.328,46.166,12.124,-44.962,,,-44.962,0.0,,,,-6.528,-6.528,,-6.528,,,,,,,,,,,,0.0,,,,,,,,,,,,,,6.8,,
03/31/2003,78.386,38.774,11.851,,,,,27.761,,,,-11.423,-5.287,,-5.287,-6.336,0.0,-6.336,,,,,,,,,0.2,-45.509,-20.845,-11.0,,,,,-18.603,1.36,-19.963,4.939,0.0,,21.454,,
06/30/2003,51.829,53.776,11.705,,,,,-13.652,,,,-2.398,-8.257,,-8.257,6.059,37.386,-31.327,,,,,,,,,-0.2,-38.16,-20.764,-27.531,,,,,7.749,7.749,,2.386,0.0,,11.271,,
09/30/2003,105.808,66.29,11.287,,,,,28.231,,,,-15.397,-8.087,,-8.087,-7.31,28.86,-36.17,,,,,,,,,0.0,-8.048,-20.912,-5.0,,,,,11.424,11.424,,6.44,0.0,,82.363,,
12/31/2003,60.932,68.646,10.446,-18.16,,,-18.16,0.0,,,,-24.441,-10.111,0.0,-10.111,-19.536,2.644,-22.18,,,,,,,,,5.206,-26.464,-21.151,-13.168,,,,,6.636,6.636,0.0,1.219,0.0,,10.027,,
03/31/2004,90.723,77.339,10.128,3.256,,,3.256,0.0,,,,-6.768,-8.714,0.0,-8.714,0.0,0.0,0.0,0.0,,,,,,,,1.946,-13.569,-23.724,0.0,,,,,10.353,10.353,0.0,-0.198,0.0,,70.386,,
06/30/2004,120.128998,80.264,9.843,30.021999,,,30.021999,0.0,,,,-20.9,-12.875,0.0,-12.875,0.0,0.0,0.0,0.0,,,,,,,,-8.025,-10.905999,-23.997,0.0,,,,,18.009001,18.009001,0.0,-4.918,0.0,,88.322998,,
09/30/2004,132.746002,82.525002,10.083,40.138,,,40.138,0.0,,,,-17.964001,-13.289,0.0,-13.289,0.0,0.0,0.0,0.0,,,,,,,,-4.675001,-19.963001,-24.172001,0.0,,,,,-1.489,16.844999,-18.334,5.698,0.0,,94.819,,
12/31/2004,30.682,97.132,9.964,-76.414,,,-76.414,0.0,,,,-30.233,-8.191,0.0,-8.191,-36.176,43.587,-79.763,0.0,,,,,,,,14.134,9.24,-24.271,0.0,,,,,29.942,29.942,0.0,3.569,0.0,,9.689,0.0,
03/31/2005,149.481003,94.296997,9.772,45.411999,,,45.411999,0.0,,,,-20.673,-13.738,0.0,-13.738,-2.327,0.0,-2.327,0.0,,,,,,,,-4.608001,-46.066997,-29.799999,0.0,,,,,-18.503998,18.200001,-36.703999,2.237,0.0,,82.740997,,
06/30/2005,141.272003,102.749001,10.502,28.021,,,28.021,0.0,,,,-32.292999,-10.956,0.0,-10.956,-25.945,0.916,-26.861,0.0,,,,,,,,4.608001,-67.435998,-29.952,0.0,,,,,-33.961998,5.187,-39.148998,-3.522,0.0,,41.542999,,
09/30/2005,185.207001,116.334999,10.795,58.077,,,58.077,0.0,,,,-13.798,-13.689,0.0,-13.689,28.476999,28.476999,0.0,0.0,,,,,,,,-28.585999,-23.069001,-29.825001,0.0,,,,,5.451,5.451,0.0,1.305,0.0,,148.339996,,
12/31/2005,63.522,117.548,11.203,-65.229,,,-65.229,0.0,,,,-24.867,-13.419,0.0,-13.419,-39.737,2.393,-42.13,0.0,,,,,,,,28.289,-7.44,-29.957,0.0,,,,,19.135,19.135,0.0,3.382,0.0,,31.215,,
03/31/2006,181.169,116.694,11.114,53.361,,14.835,38.526,,,,,-49.758,-21.649,,-21.649,-27.391,,-27.391,,,,,,,,,-0.718,-1.709,-36.87,,,,,,33.561,33.561,,1.6,,,129.702,,
06/30/2006,174.903,135.711,10.962,28.23,,,28.23,0.0,,,,-150.125,-23.38,0.0,-23.38,-124.613,0.0,-124.613,0.0,,,,,,,,-2.132,-143.624,-37.064,0.0,,,,,-108.516,16.491,-125.007,1.956,0.0,,-118.846,,
09/30/2006,168.245,128.19,11.293,28.762,,,28.762,0.0,,,,-54.885,-24.078,0.0,-24.078,-30.302,14.154,-44.456,0.0,,,,,,,,-0.505,-51.597,-36.833,0.0,,,,,-18.553,27.408,-45.961,3.789,0.0,,61.763,,
12/31/2006,68.883,148.9,13.4,93.417,,,93.417,0.0,,,,-166.432,-25.293,0.0,-25.293,-115.34,0.0,-115.34,0.0,,,,,,,,-25.799,-5.67,-36.833,0.0,,,,,27.608,27.64,-0.032,3.555,0.0,,-103.219,,
03/31/2007,241.7,142.9,13.8,85.0,,16.8,68.2,,,,,-60.8,-26.9,,-26.9,-29.5,,-29.5,,,,,,,,,-4.4,-42.8,-45.1,,,,,,3.6,26.8,-23.2,-1.3,,,138.1,,
06/30/2007,180.1,162.2,14.2,3.7,,,3.7,0.0,,,,-81.2,-31.9,0.0,-31.9,-52.2,0.0,-52.2,0.0,,,,,,,,2.9,-114.8,-45.2,0.0,,,,,-64.2,11.8,-76.0,-5.4,0.0,,-15.9,,
09/30/2007,265.4,174.8,12.2,78.4,,,78.4,0.0,,,,-111.7,-44.0,0.0,-44.0,-80.3,0.0,-80.3,0.0,,,,,,,,12.6,-180.4,-45.1,0.0,,,,,-136.2,20.6,-156.8,0.9,0.0,,-26.7,,
12/31/2007,70.8,190.7,13.8,-114.9,,,-114.9,-18.8,,,,-91.0,-42.8,0.0,-42.8,-14.7,41.4,-56.1,0.0,,,,,,,,-33.5,-63.2,-44.9,0.0,,,,,-23.7,32.4,-56.1,5.4,0.0,,-83.4,,
03/31/2008,258.6,151.5,15.2,91.9,,18.4,73.5,,,,,-34.1,-29.9,,-29.9,-2.2,,-2.2,,,,,,,,,-2.0,-399.4,-126.1,,,,,,-276.6,18.3,-294.9,3.3,,,-174.9,,
06/30/2008,194.6,162.2,15.7,16.7,,,16.7,0.0,,,,-9.1,-23.6,0.0,-23.6,-6.3,0.0,-6.3,0.0,,,,,,,,20.8,-114.5,-62.3,0.0,,,,,-47.6,27.2,-74.8,-4.6,0.0,,71.0,,
09/30/2008,283.2,152.8,15.5,114.9,,,114.9,0.0,,,,-13.2,-43.0,0.0,-43.0,-1.3,0.0,-1.3,0.0,,,,,,,,31.1,-98.5,-62.2,0.0,,,,,-50.9,38.9,-89.8,14.6,0.0,,171.5,,
12/31/2008,5.4,24.3,15.9,-78.6,,,-78.6,43.8,,,,-68.6,-47.6,0.0,-47.6,38.5,199.6,-161.1,0.0,,,,,,,,-59.5,-170.4,-61.9,0.0,,,,,-138.7,16.0,-154.7,30.2,0.0,,-233.6,,
03/31/2009,139.4,48.2,16.8,56.2,,20.6,35.6,18.2,,18.2,0.0,-47.3,-30.8,0.0,-30.8,-14.5,15.9,-30.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,-89.4,-63.9,0.0,0.0,0.0,0.0,0.0,-43.2,7.7,-50.9,17.7,0.0,0.0,2.7,,
06/30/2009,130.4,100.0,16.7,23.9,,23.4,0.5,-10.2,,-10.2,0.0,-17.2,-34.5,0.0,-34.5,17.6,51.6,-34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3,-67.6,-64.1,0.0,0.0,0.0,0.0,0.0,3.2,11.2,-8.0,-6.7,0.0,0.0,45.6,,
09/30/2009,196.8,132.9,16.5,24.0,,24.0,0.0,23.4,,23.4,0.0,-77.6,-37.7,0.0,-37.7,-37.3,26.9,-64.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.6,-47.3,-64.3,0.0,0.0,0.0,0.0,0.0,21.7,21.7,0.0,-4.7,0.0,0.0,71.9,,
12/31/2009,69.0,152.5,15.7,21.1,,21.1,0.0,-120.3,,-120.3,0.0,-24.6,-30.9,0.0,-30.9,1.4,16.5,-15.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.9,-40.4,-64.6,0.0,0.0,0.0,0.0,0.0,27.0,39.1,-12.1,-2.8,0.0,0.0,4.0,,
03/31/2010,256.7,153.0,15.5,20.1,,20.1,0.0,68.1,,68.1,0.0,-174.4,-25.0,0.0,-25.0,-148.0,15.3,-163.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.4,-61.5,-70.0,0.0,0.0,0.0,0.0,0.0,9.6,42.3,-32.7,-1.1,0.0,0.0,20.8,,
06/30/2010,195.5,158.5,15.6,23.0,,23.0,0.0,-1.6,,-1.6,0.0,-48.6,-43.0,0.0,-43.0,-2.1,13.5,-15.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.5,-175.9,-69.8,0.0,0.0,0.0,0.0,0.0,-108.8,13.0,-121.8,2.7,0.0,0.0,-29.0,,
09/30/2010,259.3,169.1,16.0,23.2,,23.2,0.0,51.0,,51.0,0.0,-42.1,-33.4,0.0,-33.4,-8.0,25.0,-33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7,-141.9,-69.1,0.0,0.0,0.0,0.0,0.0,-73.6,11.9,-85.5,0.8,0.0,0.0,75.3,,
12/31/2010,21.3,191.6,15.9,15.6,-7.6,23.2,0.0,-201.8,,-201.8,0.0,-11.8,-16.6,0.0,-16.6,-144.4,24.2,-168.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,149.2,-6.8,-70.0,0.0,0.0,0.0,0.0,0.0,66.5,66.5,0.0,-3.3,0.0,0.0,2.7,,
03/31/2011,336.0,194.6,16.7,21.4,,21.4,0.0,103.3,,103.3,0.0,-17.0,-11.7,0.0,-11.7,-4.6,16.2,-20.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7,-67.2,-80.7,0.0,0.0,0.0,0.0,0.0,9.1,40.4,-31.3,4.4,0.0,0.0,251.8,,
06/30/2011,274.5,204.7,18.0,25.0,,25.0,0.0,26.8,,26.8,0.0,-49.4,-21.3,0.0,-21.3,-25.4,12.6,-38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.7,-267.3,-80.0,0.0,0.0,0.0,0.0,0.0,-189.4,14.6,-204.0,2.1,0.0,0.0,-42.2,,
09/30/2011,330.0,185.5,18.6,27.4,,27.4,0.0,98.5,,98.5,0.0,-65.5,-16.5,0.0,-16.5,-46.5,9.4,-55.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.5,-285.8,-78.6,0.0,0.0,0.0,0.0,0.0,-213.3,13.0,-226.3,6.1,0.0,0.0,-21.3,,
12/31/2011,7.9,188.4,19.1,24.9,,24.9,0.0,-224.5,,-224.5,0.0,-33.1,-32.8,0.0,-32.8,-6.2,15.7,-21.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.9,-78.3,-78.6,0.0,0.0,0.0,0.0,0.0,-0.2,17.9,-18.1,0.5,0.0,0.0,-103.5,,
03/31/2012,265.8,197.5,19.2,24.1,0.0,24.1,0.0,25.0,-79.0,104.0,0.0,-9.3,-18.6,0.0,-18.6,13.7,30.8,-17.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.4,-50.9,-86.8,0.0,0.0,0.0,0.0,0.0,38.0,38.0,0.0,-2.1,0.0,0.0,205.6,,
06/30/2012,228.7,206.8,20.0,25.9,,25.9,0.0,-24.0,,-24.0,0.0,-165.4,-18.0,0.0,-18.0,-144.1,25.5,-169.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.3,-194.5,-86.3,0.0,0.0,0.0,0.0,0.0,-102.3,26.9,-129.2,-5.9,0.0,0.0,-131.2,,
09/30/2012,366.5,247.3,20.7,27.3,,27.3,0.0,71.2,,71.2,0.0,-27.5,-19.1,0.0,-19.1,-7.1,179.5,-186.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.3,-76.3,-86.6,0.0,0.0,0.0,0.0,0.0,15.1,21.1,-6.0,-4.8,0.0,0.0,262.7,,
12/31/2012,41.8,232.0,21.4,-8.3,-35.1,26.8,0.0,-203.3,-1.6,-201.7,0.0,-107.9,-21.2,0.0,-21.2,-95.7,79.1,-174.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,-289.8,-343.7,0.0,0.0,0.0,0.0,0.0,59.9,59.9,0.0,-6.0,0.0,0.0,-355.9,,
03/31/2013,459.4,241.9,21.5,7.8,-15.9,23.7,0.0,188.2,,188.2,0.0,-31.6,-22.8,0.0,-22.8,-8.7,35.5,-44.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,-21.0,-98.7,0.0,0.0,0.0,0.0,0.0,82.9,82.9,0.0,-5.2,0.0,0.0,406.8,,
06/30/2013,268.5,247.8,21.8,29.4,1.5,27.9,0.0,-30.5,-24.7,-5.8,0.0,-25.6,-18.7,0.0,-18.7,-9.7,25.2,-34.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8,-72.9,-99.0,0.0,0.0,0.0,0.0,0.0,31.0,31.0,0.0,-4.9,0.0,0.0,170.0,,
09/30/2013,430.4,270.3,22.1,27.0,-2.7,29.7,0.0,111.0,0.0,111.0,0.0,-81.4,-33.1,0.0,-33.1,-47.9,12.3,-60.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4,-111.6,-99.4,0.0,0.0,0.0,0.0,0.0,-0.5,13.6,-14.1,-11.7,0.0,0.0,237.4,,
12/31/2013,74.9,287.7,25.5,32.4,-0.9,33.3,0.0,-270.7,-12.9,-257.8,0.0,-298.9,-31.2,0.0,-31.2,-253.9,12.7,-266.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-13.8,-71.3,-99.6,0.0,0.0,0.0,0.0,0.0,36.2,36.2,0.0,-7.9,0.0,0.0,-295.3,,
03/31/2014,487.1,304.3,27.1,-9.1,-38.3,29.2,0.0,164.8,,164.8,0.0,-29.8,-25.4,0.0,-25.4,-1.0,97.9,-98.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.4,-116.0,-115.8,0.0,0.0,0.0,0.0,0.0,-0.2,31.1,-31.3,0.0,0.0,0.0,341.3,,
06/30/2014,238.5,305.8,28.0,15.8,-16.8,32.6,0.0,-111.1,,-111.1,0.0,-158.0,-34.3,0.0,-34.3,-119.2,23.9,-143.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.5,-115.5,-115.9,0.0,0.0,0.0,0.0,0.0,0.4,26.0,-25.6,0.0,0.0,0.0,-35.0,,
09/30/2014,490.5,303.6,28.3,35.6,1.5,34.1,0.0,123.0,-12.9,135.9,0.0,-227.9,-22.9,0.0,-22.9,-201.8,2.0,-203.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.2,-322.4,-115.5,0.0,0.0,0.0,0.0,0.0,-206.9,19.9,-226.8,0.0,0.0,0.0,-59.8,,
12/31/2014,127.8,315.9,28.3,30.7,-6.8,37.5,0.0,-247.1,3.9,-251.0,0.0,-27.7,-43.6,0.0,-43.6,16.7,42.8,-26.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8,-238.5,-114.9,0.0,0.0,0.0,0.0,0.0,-123.6,8.2,-131.8,0.0,0.0,0.0,-138.4,,
03/31/2015,543.8,309.5,29.1,7.6,-23.4,31.0,0.0,197.6,,197.6,0.0,-34.1,-41.3,0.0,-41.3,11.2,50.7,-39.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.0,-205.4,-135.4,0.0,0.0,0.0,0.0,0.0,-70.0,43.6,-113.6,0.0,0.0,0.0,304.3,,
06/30/2015,342.9,333.2,32.2,13.5,-22.1,35.6,0.0,-36.0,,-36.0,0.0,0.2,-38.6,0.0,-38.6,38.0,144.9,-106.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,-884.3,-659.1,0.0,0.0,0.0,0.0,0.0,-225.2,15.0,-240.2,0.0,0.0,0.0,-541.2,,
09/30/2015,484.8,277.1,33.1,41.7,0.9,40.8,0.0,132.9,-5.0,137.9,0.0,-14.7,-34.7,0.0,-34.7,23.2,32.1,-8.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.2,-574.9,-132.7,0.0,0.0,0.0,0.0,0.0,-442.2,24.7,-466.9,0.0,0.0,0.0,-104.8,,
12/31/2015,159.0,303.2,31.9,23.8,-17.8,41.6,0.0,-199.9,2.5,-202.4,0.0,157.6,-36.7,0.0,-36.7,197.3,206.8,-9.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,-308.7,-131.8,0.0,0.0,0.0,0.0,0.0,-176.9,,,0.0,0.0,0.0,7.9,,
03/31/2016,72.5,304.1,32.2,-13.2,-59.2,36.8,9.2,-250.6,-458.7,208.1,0.0,207.8,-35.2,0.0,-35.2,173.9,176.2,-2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.1,-50.8,-135.9,0.0,0.0,0.0,0.0,0.0,-185.7,21.0,-206.7,0.0,270.8,-1.4,228.1,,
06/30/2016,-95.1,195.3,33.8,36.7,-10.0,38.8,7.9,-360.9,-258.5,-102.4,0.0,-45.8,-44.0,0.0,-44.0,0.0,,0.0,,,,,0.0,0.0,0.0,0.0,-1.8,143.0,-135.7,0.0,0.0,0.0,0.0,0.0,9.5,46.8,-37.3,0.0,269.2,-19.9,-17.8,,
09/30/2016,299.7,327.8,34.0,82.9,-11.2,42.3,51.8,-145.0,-366.9,221.9,0.0,-51.7,-33.3,0.0,-33.3,-14.1,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.3,-146.4,-135.0,0.0,0.0,0.0,0.0,0.0,-269.6,12.1,-281.7,0.0,258.2,3.1,104.7,,
12/31/2016,-97.7,379.8,33.4,27.1,-3.6,43.7,-13.0,-538.0,-213.8,-324.2,0.0,-4.1,-35.8,0.0,-35.8,31.6,31.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,-131.1,-134.2,0.0,0.0,0.0,0.0,0.0,-113.7,37.5,-151.2,0.0,116.8,16.1,-216.8,,
