Date,Revenue,Sales & Services Revenue,Other Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,Depreciation & Amortization,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
06/30/1994,939.466003,,,-652.265991,,287.200012,,-164.546005,,,122.653999,-36.508999,,0.569,,0.0,35.939999,86.145,-33.030998,53.113998,-1377.075012,,,1430.189014,-0.457,1429.732056,0.0,,1429.732056,1429.732056,,1403.92004,1.01875,0.0375,,1403.92004,1.01875,0.0375,0.0375,
09/30/1994,956.833984,,,-675.650024,,281.18396,,-149.720001,,,131.464005,-0.413,,0.413,,0.0,0.0,131.051005,-49.810001,81.240997,0.0,,,81.241004,-0.399,80.842003,0.0,,80.842003,80.842003,,1408.303952,0.0575,0.0575,,1408.303952,0.0575,0.0575,0.0575,
12/31/1994,969.027,,,-685.613,,283.414,,-146.193,,,137.221,-0.613,,0.613,,0.0,0.0,136.608,-51.914,84.694,0.0,,,84.694,-0.451,84.243,0.0,,84.243,84.243,,1412.584,0.06,0.06,0.06,1412.584,0.06,0.06,0.06,
03/31/1995,1103.835015,,,-783.500977,,320.334038,,-177.242996,,,143.091042,-0.18,,0.18,,0.0,0.0,142.911042,-52.877998,90.033044,0.0,,,90.033044,-0.601,89.432044,0.0,,89.432044,89.432044,,1411.224,0.06375,0.06375,,1411.224,0.06375,0.06375,0.06375,
06/30/1995,1157.944946,,,-824.161011,,333.783935,,-189.903,,,143.880997,-0.906,,0.378,,0.0,0.528,142.974997,-53.096001,89.878998,0.0,,,89.878996,0.0,89.878998,0.0,,89.878998,89.878998,,1410.432008,0.06375,0.06375,0.06375,1410.432008,0.06375,0.06375,0.06375,
09/30/1995,1215.536011,,,-872.357971,,343.17804,,-192.610001,,,150.567993,-0.146,,0.146,,0.0,0.0,150.421993,-55.654999,94.766998,0.0,,,94.766994,-1.097,93.669998,0.0,,93.669998,93.669998,,1416.560056,0.06625,0.06625,0.06625,1416.560056,0.06625,0.06625,0.06625,
12/31/1995,2193.562,,,-1450.913,,742.649,,-719.404,,,23.245,-0.067,,0.067,,0.0,0.0,23.178,-8.576,14.602,0.0,,,14.602,-1.619,12.983,-7.188,,5.795,5.795,,1435.824,0.00375,0.00375,0.00375,1435.824,0.00375,0.00375,0.00375,
03/31/1996,2318.11,,,-1585.369019,,732.740981,,-539.13501,,,193.606,-0.251,,0.251,,0.0,0.0,193.355,-73.474998,119.879997,0.0,,,119.880002,-0.934,118.945999,-7.188,,111.757999,111.757999,,1396.975952,0.08,0.08,0.08,1443.760008,0.0775,0.0775,0.0775,
06/30/1996,2492.183105,,,-1820.948975,,671.23413,,-573.758972,,,97.474998,-15.227,,0.259,,0.0,14.968,82.247998,-32.077,50.171001,0.0,,,50.170998,0.149,50.32,-7.188,,43.132,43.132,,1437.73596,0.03,0.03,0.055,1493.255984,0.02875,0.02875,0.05375,
09/30/1996,2587.35791,,,-1856.364014,,730.993896,,-581.594971,,,149.399002,-0.083,,0.083,,0.0,0.0,149.316002,-58.234001,91.082001,0.0,,,91.082001,0.145,91.226997,-7.188,,84.038997,84.038997,,1461.543944,0.0575,0.0575,0.0575,1497.04004,0.05625,0.05625,0.05625,
12/31/1996,2676.0,,,-1917.0,,759.0,,-603.0,,,156.0,0.0,,0.0,,0.0,0.0,156.0,-61.0,95.0,0.0,,,95.0,0.0,95.0,-7.0,,88.0,88.0,,1504.0,0.05875,0.05875,0.05875,1504.0,0.05875,0.05875,0.05875,
03/31/1997,2851.111,,,-2064.02,,787.091,,-608.681,,,178.41,-0.123,,0.123,,0.0,0.0,178.287,-69.531998,108.754997,0.0,,,108.755002,0.124,108.878998,-7.188,,101.690998,101.690998,,1479.14404,0.06875,0.06875,0.06875,1514.640016,0.0675,0.0675,0.0675,
06/30/1997,2930.5,,,-2118.6,,811.9,,-627.2,,,184.7,0.0,,0.0,,0.0,0.0,184.7,-69.0,115.7,0.0,,,115.7,0.0,115.7,-7.2,,108.5,108.5,,1496.0,0.0725,0.0725,0.0725,1528.0,0.07125,0.07125,0.07125,
09/30/1997,2958.9,,,-2144.1,,814.8,,-627.8,,,187.0,0.0,,0.0,,0.0,0.0,187.0,-70.9,116.1,0.0,,,116.1,0.0,116.1,-13.0,,103.1,103.1,,1504.0,0.0725,0.0725,0.0725,1536.0,0.07125,0.07125,0.07125,
12/31/1997,3054.0,,,-2216.0,,838.0,,-646.0,,,192.0,0.0,,0.0,,0.0,0.0,192.0,-73.0,119.0,0.0,,,119.0,0.0,119.0,-7.0,,112.0,112.0,,1536.0,0.0725,0.0725,0.0725,1536.0,0.0725,0.0725,0.0725,
03/31/1998,4115.0,,,-3152.0,,963.0,,-754.0,,,147.0,0.0,,0.0,,0.0,0.0,147.0,-77.0,132.0,0.0,,,70.0,0.0,132.0,-7.0,,125.0,125.0,,1544.0,0.08125,0.08125,0.08125,1592.0,0.07875,0.07875,0.07875,
06/30/1998,4235.0,,,-3435.0,,800.0,,-1479.0,,,-679.0,0.0,,0.0,,0.0,0.0,-679.0,114.0,-565.0,0.0,,,-565.0,0.0,-565.0,-7.0,,-572.0,-572.0,,1544.0,-0.37,-0.37,0.0825,1544.0,-0.37,-0.37,0.0825,
09/30/1998,4360.0,,,-3354.0,,1006.0,,-792.0,,,214.0,0.0,,0.0,,0.0,0.0,214.0,-79.0,135.0,0.0,,,135.0,0.0,135.0,-7.0,,128.0,128.0,,1536.0,0.08375,0.08375,0.08375,1552.0,0.0825,0.0825,0.0825,
12/31/1998,4645.0,,,-3582.0,,1063.0,,-849.0,,,214.0,-4.0,,4.0,,0.0,0.0,210.0,-78.0,132.0,0.0,,,132.0,0.0,132.0,-7.0,,125.0,125.0,,1496.0,0.07125,0.07125,0.08375,1496.0,0.07125,0.06875,0.08375,
03/31/1999,4809.0,,,-3720.0,,1089.0,,-868.0,,,221.0,-11.0,11.0,11.0,,,0.0,210.0,-78.0,132.0,,,,132.0,,132.0,,,132.0,132.0,,1440.0,0.09125,0.09125,0.09125,1464.0,0.09,0.09,0.09,
06/30/1999,4858.0,,,-3746.0,,1112.0,,-887.0,,,225.0,-11.0,11.0,11.0,,0.0,0.0,214.0,-79.0,135.0,0.0,,,135.0,0.0,135.0,0.0,0.0,135.0,135.0,,1392.0,0.0975,0.0975,0.0975,1424.0,0.095,0.095,0.095,
09/30/1999,4903.0,,,-3769.0,,1134.0,,-895.0,,,239.0,-10.0,10.0,10.0,,0.0,0.0,229.0,-85.0,144.0,0.0,,,144.0,0.0,144.0,0.0,0.0,144.0,144.0,,1392.0,0.10375,0.10375,0.10375,1424.0,0.10125,0.10125,0.10125,
12/31/1999,4992.0,,,-3808.0,,1184.0,,-926.0,,,258.0,-17.0,,17.0,,0.0,0.0,241.0,-84.0,157.0,0.0,,,157.0,0.0,157.0,0.0,,157.0,157.0,,1344.0,0.11625,0.11625,0.1125,1372.800048,0.11375,0.11375,0.11,
03/31/2000,5099.0,,,-3903.0,,1196.0,,-923.0,,,273.0,-17.0,17.0,17.0,,,0.0,256.0,-82.0,174.0,,,,174.0,,174.0,,,174.0,174.0,,1316.0,0.1325,0.1325,0.1325,1348.8,0.12875,0.12875,0.12875,
06/30/2000,5220.0,,,-3992.0,,1228.0,,-940.0,,,288.0,-16.0,16.0,16.0,,0.0,0.0,272.0,-102.0,170.0,0.0,,,170.0,0.0,170.0,0.0,0.0,170.0,170.0,,1301.6,0.13,0.13,0.13,1348.8,0.12625,0.12625,0.12625,
09/30/2000,5369.0,,,-4105.0,,1264.0,,-955.0,,,309.0,-18.0,18.0,18.0,,0.0,0.0,291.0,-109.0,182.0,0.0,,,182.0,0.0,182.0,0.0,0.0,182.0,182.0,,1287.2,0.14125,0.14125,0.14125,1342.4,0.135,0.135,0.135,
12/31/2000,5434.0,,,-4155.0,,1279.0,,-949.0,,,330.0,6.0,,21.0,,0.0,-27.0,336.0,-126.0,210.0,0.0,,,210.0,0.0,210.0,0.0,,210.0,210.0,,1332.0,0.165,0.165,0.1525,1332.0,0.1575,0.1575,0.145,
03/31/2001,5680.0,,,-4306.0,,1374.0,,-1009.0,,,365.0,-23.0,23.0,23.0,,0.0,0.0,342.0,-130.0,212.0,0.0,,,212.0,0.0,212.0,0.0,0.0,212.0,212.0,,1270.8,0.1675,0.1675,0.1675,1328.0,0.16,0.16,0.16,
06/30/2001,5813.0,,,-4394.0,,1419.0,,-1035.0,,,384.0,-24.0,24.0,24.0,,0.0,0.0,360.0,-137.0,223.0,0.0,,,223.0,0.0,223.0,0.0,0.0,223.0,223.0,,1251.6,0.1775,0.1775,0.1775,1308.4,0.17,0.17,0.17,
09/30/2001,5941.0,,,-4465.0,,1476.0,,-1080.0,,,396.0,-23.0,23.0,23.0,,0.0,0.0,373.0,-142.0,231.0,0.0,,,231.0,0.0,231.0,0.0,0.0,231.0,231.0,,1236.4,0.1875,0.1875,0.1875,1295.6,0.1775,0.1775,0.1775,
12/31/2001,6020.0,,,-4479.0,,1541.0,,-1120.0,,,421.0,-24.0,,24.0,,0.0,0.0,397.0,-150.0,247.0,0.0,,,247.0,0.0,247.0,0.0,0.0,247.0,247.0,,1250.63196,0.1975,0.1975,0.1975,1293.199952,0.19,0.19,0.19,
03/31/2002,6013.0,,,-4435.0,,1578.0,,-1096.0,,,482.0,-24.0,24.0,24.0,,,0.0,458.0,-163.0,295.0,,,,295.0,,295.0,,,295.0,295.0,,1229.6,0.24,0.24,0.24,1286.0,0.23,0.23,0.23,
06/30/2002,6078.0,,,-4418.0,,1660.0,,-1137.0,,,523.0,-20.0,20.0,20.0,,0.0,0.0,503.0,-178.0,325.0,0.0,,,325.0,0.0,325.0,0.0,0.0,325.0,325.0,,1219.6,0.2675,0.2675,0.2675,1281.2,0.2525,0.2525,0.2525,
09/30/2002,6247.0,,,-4509.0,,1738.0,,-1166.0,,,572.0,-24.0,24.0,24.0,,0.0,0.0,548.0,-195.0,353.0,0.0,,,353.0,0.0,353.0,0.0,0.0,353.0,353.0,,1200.4,0.2925,0.2925,0.2925,1260.8,0.28,0.28,0.28,
12/31/2002,6682.0,,,-4830.0,,1852.0,0.0,-1243.0,,,609.0,-22.0,,22.0,,0.0,0.0,587.0,-208.0,379.0,0.0,,,379.0,0.0,379.0,0.0,0.0,379.0,379.0,,1203.199952,0.315,0.315,0.315,1260.400024,0.3,0.3,0.3,
03/31/2003,6975.0,,,-5050.0,,1925.0,,-1272.0,,,653.0,-23.0,23.0,23.0,,,0.0,630.0,-227.0,403.0,,,,403.0,,403.0,,,403.0,403.0,,1193.2,0.3375,0.3375,0.3375,1246.4,0.3225,0.3225,0.3225,
06/30/2003,7087.0,,,-5109.0,,1978.0,,-1269.0,,,709.0,-24.0,24.0,24.0,,,0.0,685.0,-246.0,439.0,,,,439.0,,439.0,,,439.0,439.0,,1180.0,0.37,0.37,0.37,1236.0,0.355,0.355,0.355,
09/30/2003,7238.0,,,-5174.0,,2064.0,,-1301.0,,,763.0,-24.0,24.0,24.0,,,0.0,739.0,-263.0,476.0,,,,476.0,,476.0,,,476.0,476.0,,1178.0,0.405,0.405,0.405,1234.0,0.385,0.385,0.385,
12/31/2003,7523.0,,,-5381.0,,2142.0,0.0,-1332.0,,,810.0,-24.0,,24.0,,0.0,0.0,786.0,-279.0,507.0,0.0,,,507.0,0.0,507.0,0.0,0.0,507.0,507.0,,1165.517944,0.435,0.435,0.435,1218.0,0.415,0.415,0.415,
03/31/2004,8144.0,,,-5869.0,,2275.0,,-1399.0,,,876.0,-24.0,24.0,24.0,,,0.0,852.0,-298.0,554.0,,,,554.0,,554.0,,,554.0,554.0,,1202.0,0.46,0.46,0.46,1260.0,0.44,0.44,0.44,
06/30/2004,8704.0,,,-6326.0,,2378.0,,-1433.0,,,945.0,-28.0,28.0,28.0,,,0.0,917.0,-321.0,596.0,,,,596.0,,596.0,,,596.0,596.0,,1220.0,0.49,0.49,0.49,1278.0,0.465,0.465,0.465,
09/30/2004,9859.0,,,-7180.0,,2679.0,,-1587.0,,,1092.0,-34.0,34.0,34.0,,,0.0,1058.0,-360.0,698.0,,,,698.0,,698.0,,,698.0,698.0,,1282.0,0.545,0.545,0.545,1340.0,0.52,0.52,0.52,
12/31/2004,10511.0,,,-7625.0,,2886.0,,-1698.0,,,1466.0,-42.0,128.0,42.0,,0.0,-86.0,1424.0,-407.0,739.0,0.0,,,1017.0,0.0,739.0,0.0,0.0,739.0,739.0,,,0.57,0.57,0.57,,0.545,0.545,0.545,
03/31/2005,11164.0,,,-8155.0,,3009.0,,-1809.0,,,1200.0,-49.0,49.0,49.0,,,0.0,1151.0,-408.0,743.0,0.0,,,743.0,0.0,743.0,0.0,0.0,743.0,743.0,,1278.0,0.58,0.87,0.58,1340.0,0.55,0.825,0.55,
06/30/2005,11379.0,,,-8304.0,,3075.0,,-1813.0,,,1262.0,-55.0,55.0,55.0,0.0,,0.0,1207.0,-438.0,769.0,0.0,,,769.0,0.0,769.0,0.0,0.0,769.0,769.0,,1258.0,0.61,0.61,0.61,1324.0,0.58,0.58,0.58,
09/30/2005,11613.0,,,-8396.0,,3217.0,,-1894.0,,,1323.0,-62.0,62.0,62.0,,,0.0,1261.0,-461.0,800.0,0.0,,,800.0,0.0,800.0,0.0,0.0,800.0,800.0,,1255.0,0.64,0.64,0.64,1322.0,0.61,0.61,0.61,
12/31/2005,12165.0,,,-8928.0,,3237.0,,-2061.0,,,1176.0,46.0,,75.0,0.0,0.0,-121.0,1222.0,-444.0,778.0,0.0,,,778.0,0.0,778.0,0.0,0.0,778.0,778.0,,1275.4098,0.61,0.61,0.61,1341.3793,0.58,0.58,0.58,
03/31/2006,17581.0,,,-13420.0,,4161.0,,-2688.0,,,1473.0,-82.0,,82.0,,0.0,0.0,1391.0,-500.0,891.0,0.0,,,891.0,0.0,891.0,0.0,0.0,891.0,891.0,,1353.0,0.66,0.66,0.71,1419.0,0.63,0.63,0.68,
06/30/2006,17863.0,,,-13553.0,,4310.0,,-2643.0,,,1667.0,-116.0,116.0,116.0,,,0.0,1551.0,-570.0,981.0,0.0,,,981.0,0.0,981.0,0.0,0.0,981.0,981.0,,1339.0,0.73,0.73,0.73,1395.0,0.7,0.7,0.7,
09/30/2006,17970.0,,,-13520.0,,4450.0,,-2587.0,,,1863.0,-129.0,129.0,129.0,,,0.0,1734.0,-622.0,1112.0,0.0,,,1112.0,0.0,1112.0,0.0,0.0,1112.0,1112.0,,1341.0,0.83,0.83,0.83,1397.0,0.8,0.8,0.8,
12/31/2006,18157.0,,,-13253.0,,4904.0,,-2900.0,,,2004.0,-129.0,129.0,129.0,0.0,0.0,0.0,1875.0,-675.0,1200.0,0.0,,,1200.0,0.0,1200.0,0.0,0.0,1200.0,1200.0,,1350.574713,1.758511,2.628511,0.87,1398.809524,1.697872,2.537872,0.84,
03/31/2007,19047.0,,,-14610.0,,4437.0,0.0,-2855.0,,,1582.0,-116.0,,116.0,,0.0,0.0,1466.0,-539.0,927.0,0.0,,,927.0,0.0,927.0,0.0,0.0,927.0,927.0,,1343.0,0.69,0.69,0.77,1399.0,0.66,0.66,0.74,
06/30/2007,19000.0,,,-14125.0,,4875.0,,-2801.0,,,2074.0,-133.0,,133.0,,0.0,0.0,1941.0,-713.0,1228.0,0.0,,,1228.0,0.0,1228.0,0.0,0.0,1228.0,1228.0,,1326.0,0.93,0.93,0.93,1377.0,0.89,0.89,0.89,
09/30/2007,18679.0,,,-13706.0,,4973.0,0.0,-2818.0,,,2155.0,-142.0,,142.0,,0.0,0.0,2013.0,-730.0,1283.0,0.0,,,1283.0,0.0,1283.0,0.0,0.0,1283.0,1283.0,,1304.0,0.98,0.98,0.98,1348.0,0.95,0.95,0.95,
12/31/2007,18705.0,,,-13762.0,,4943.0,,-2905.0,,,2038.0,-153.0,153.0,153.0,,0.0,0.0,1885.0,-669.0,1216.0,0.0,,,1216.0,0.0,1216.0,0.0,0.0,1216.0,1216.0,,1318.0,0.95,0.95,0.95,1318.0,0.92,0.92,0.92,
03/31/2008,20304.0,,,-15469.0,,4835.0,0.0,-3122.0,,,1713.0,-154.0,,154.0,,0.0,0.0,1559.0,-565.0,994.0,0.0,,,994.0,0.0,994.0,0.0,0.0,994.0,994.0,,1240.0,0.8,0.8,0.8,1278.0,0.78,0.78,0.78,
06/30/2008,20272.0,,,-15610.0,,4662.0,,-3989.0,,,673.0,-164.0,,164.0,,0.0,0.0,509.0,-172.0,337.0,0.0,,,337.0,0.0,337.0,0.0,0.0,337.0,337.0,493.0,1216.0,0.28,0.28,0.69,1245.0,0.27,0.27,0.67,
09/30/2008,20156.0,,,-15330.0,,4826.0,0.0,-3228.0,,,1598.0,-166.0,,166.0,,0.0,0.0,1432.0,-512.0,920.0,0.0,,,920.0,0.0,920.0,0.0,0.0,920.0,920.0,-25.0,1204.0,0.76,0.76,0.74,1227.0,0.75,0.75,0.73,
12/31/2008,20454.0,,,-15430.0,,5024.0,,-3745.0,,,1279.0,-155.0,,155.0,,0.0,0.0,1124.0,-398.0,726.0,0.0,,,726.0,0.0,726.0,0.0,0.0,726.0,726.0,215.0,1213.0,0.6,0.6,0.78,1213.0,0.6,0.6,0.78,
03/31/2009,22004.0,1735.0,20269.0,-16974.0,16974.0,5030.0,0.0,-3362.0,234.0,3128.0,1668.0,-131.0,,131.0,,,0.0,1537.0,-553.0,984.0,0.0,0.0,0.0,984.0,0.0,984.0,0.0,0.0,984.0,982.05,-1.95,1198.0,0.82,0.82,0.819741,1210.0,0.81,0.81,0.808388,
06/30/2009,21655.0,1756.0,19899.0,-16929.0,16929.0,4726.0,0.0,-3286.0,249.0,3037.0,1440.0,-139.0,,139.0,,,0.0,1301.0,-442.0,859.0,0.0,0.0,0.0,859.0,0.0,859.0,0.0,0.0,859.0,857.05,-1.95,1170.0,0.73,0.73,0.732521,1180.0,0.73,0.73,0.728347,
09/30/2009,21695.0,1826.0,19869.0,-16613.0,16613.0,5082.0,0.0,-3406.0,250.0,3156.0,1676.0,-137.0,,137.0,,,0.0,1539.0,-504.0,1035.0,0.0,0.0,0.0,1035.0,0.0,1035.0,0.0,0.0,1035.0,1035.0,0.0,1153.0,0.9,0.9,0.9,1164.0,0.89,0.89,0.89,
12/31/2009,21784.0,1914.0,19870.0,-16538.0,16538.0,5246.0,0.0,-3671.0,258.0,3413.0,1575.0,-144.0,,144.0,,,0.0,1431.0,-487.0,944.0,0.0,0.0,0.0,944.0,0.0,944.0,0.0,0.0,944.0,944.0,0.0,1161.0,0.81,0.81,0.81,1161.0,0.81,0.81,0.81,
03/31/2010,23193.0,1892.0,21301.0,-17653.0,17653.0,5540.0,0.0,-3524.0,248.0,3276.0,2016.0,-125.0,,125.0,,,0.0,1891.0,-700.0,1191.0,0.0,0.0,0.0,1191.0,0.0,1191.0,0.0,0.0,1191.0,1166.3,-24.7,1145.0,1.04,1.04,1.018603,1156.0,1.03,1.03,1.008633,
06/30/2010,23264.0,1990.0,21274.0,-17755.0,17755.0,5509.0,0.0,-3608.0,249.0,3359.0,1901.0,-119.0,,119.0,,,0.0,1782.0,-659.0,1123.0,0.0,0.0,0.0,1123.0,0.0,1123.0,0.0,0.0,1123.0,1112.6,-10.4,1127.0,1.0,1.0,0.987223,1135.0,0.99,0.99,0.980837,
09/30/2010,23668.0,2065.0,21603.0,-17728.0,17728.0,5940.0,0.0,-3795.0,247.0,3548.0,2145.0,-119.0,,119.0,,,0.0,2026.0,-749.0,1277.0,0.0,0.0,0.0,1277.0,0.0,1277.0,0.0,0.0,1277.0,1276.35,-0.65,1115.0,1.15,1.15,1.144709,1124.0,1.14,1.14,1.139422,
12/31/2010,24030.0,2194.0,21836.0,-17821.0,17821.0,6209.0,0.0,-4407.0,320.0,4087.0,1802.0,-118.0,,118.0,,,0.0,1684.0,-641.0,1043.0,0.0,0.0,0.0,1043.0,0.0,1043.0,0.0,0.0,1043.0,1222.8,179.8,1106.0,0.94,0.94,1.105606,1106.0,0.94,0.94,1.102568,
03/31/2011,25432.0,2247.0,23185.0,-19324.0,19324.0,6108.0,0.0,-3887.0,270.0,3617.0,2221.0,-118.0,,118.0,,,0.0,2103.0,-757.0,1346.0,0.0,0.0,0.0,1346.0,0.0,1346.0,0.0,0.0,1346.0,1314.8,-31.2,1086.0,1.24,1.24,1.210681,1099.0,1.22,1.22,1.191611,
06/30/2011,25234.0,2261.0,22973.0,-19132.0,19132.0,6102.0,0.0,-4003.0,270.0,3733.0,2099.0,-119.0,,119.0,,,0.0,1980.0,-713.0,1267.0,0.0,0.0,0.0,1267.0,0.0,1267.0,0.0,0.0,1267.0,1284.55,17.55,1075.0,1.18,1.18,1.19493,1094.0,1.16,1.16,1.176042,
09/30/2011,25280.0,2304.0,22976.0,-19017.0,19017.0,6263.0,0.0,-4193.0,294.0,3899.0,2070.0,-129.0,,129.0,,,0.0,1941.0,-670.0,1271.0,0.0,0.0,0.0,1271.0,0.0,1271.0,0.0,0.0,1271.0,1249.55,-21.45,1065.0,1.19,1.19,1.173286,1083.0,1.17,1.17,1.150194,
