Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Prepaid Expenses,Derivative & Hedging Assets,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Investments in Affiliates,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Deferred Tax Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
12/29/2001,7857,277,277,0.0,823,823,,331,117.0,0.0,214,0.0,117,,,,1548,2543,5345,-2802,0.0,,3766,3684,1116.0,2568.0,,82,6309,,1004,1004,,,,77,76.0,1.0,1.0,,0,,,0,1081,3285,3285.0,0.0,0.0,1571,,,,1571,4856,5937,0.0,1742,,,-420.0,649.0,-370,1601,319,1920,7857,
03/23/2002,7955,213,213,0.0,850,850,,346,117.0,0.0,229,0.0,119,,,,1528,2641,5489,-2848,0.0,,3786,3688,1046.0,2642.0,,98,6427,,946,946,,,,109,109.0,0.0,0.0,,0,,,0,1055,3331,3331.0,0.0,0.0,1611,,,,1611,4942,5997,0.0,1743,,,-451.0,700.0,-361,1631,327,1958,7955,
06/15/2002,8365,202,202,0.0,1081,1081,,398,137.0,0.0,261,0.0,129,,,,1810,2739,5713,-2974,0.0,,3816,3726,1059.0,2667.0,,90,6555,,1086,1086,,,,73,73.0,0.0,0.0,,0,,,0,1159,3311,3311.0,0.0,0.0,1666,,,,1666,4977,6136,0.0,1756,,,-382.0,835.0,-327,1882,347,2229,8365,
09/07/2002,8537,287,287,0.0,1135,1135,,376,139.0,0.0,237,0.0,117,,,,1915,2783,5830,-3047,0.0,,3839,3739,1057.0,2682.0,,100,6622,,1095,1095,,,,55,55.0,0.0,0.0,,0,,,0,1150,3350,3350.0,0.0,0.0,1717,,,,1717,5067,6217,0.0,1758,,,-475.0,1011.0,-339,1955,365,2320,8537,
12/28/2002,10027,222,222,0.0,922,922,,378,162.0,0.0,216,0.0,215,,,,1737,3308,6284,-2976,0.0,,4982,4687,,,,295,8290,,394,394,,,,69,66.0,3.0,3.0,,785,,,785,1248,4523,4523.0,0.0,0.0,2084,,,,2084,6607,7855,0.0,1753,,,-527.0,1066.0,-468,1824,348,2172,10027,
03/22/2003,9918,114,114,0.0,882,882,,397,153.0,0.0,244,0.0,207,,,,1600,3300,6363,-3063,0.0,,5018,4727,1214.0,3513.0,,291,8318,,997,997,,,,1186,1186.0,0.0,0.0,,0,,,0,2183,3519,3519.0,0.0,0.0,2121,,,,2121,5640,7823,0.0,1753,,,-621.0,1096.0,-485,1743,352,2095,9918,
06/14/2003,10750,193,193,0.0,1216,1216,,452,170.0,0.0,282,0.0,435,,,,2296,3411,6586,-3175,0.0,,5043,4888,1241.0,3647.0,,155,8454,,1275,1275,,,,1334,1334.0,0.0,0.0,,0,,,0,2609,3630,3630.0,0.0,0.0,2199,,,,2199,5829,8438,0.0,1748,,,-721.0,1224.0,-318,1933,379,2312,10750,
09/06/2003,10661,256,256,0.0,1264,1264,,428,169.0,0.0,259,0.0,374,,,,2322,3371,6582,-3211,0.0,,4968,4820,1227.0,3593.0,,148,8339,,1295,1295,,,,776,776.0,0.0,0.0,,0,,,0,2071,4103,4103.0,0.0,0.0,2216,,,,2216,6319,8390,0.0,1751,,,-843.0,1404.0,-433,1879,392,2271,10661,
12/27/2003,11544,1235,1235,0.0,994,994,,374,140.0,0.0,234,0.0,436,,,,3039,3423,6761,-3338,0.0,,5082,4948,1386.0,3562.0,,134,8505,,392,392,,,,1247,1241.0,6.0,6.0,,839,,,839,2478,4493,4488.0,5.0,5.0,2296,,,,2296,6789,9267,0.0,1746,,,-952.0,1471.0,-384,1881,396,2277,11544,
03/20/2004,10617,269,269,0.0,968,968,,441,163.0,0.0,278,0.0,443,,,,2121,3399,6807,-3408,0.0,,5097,4949,1391.0,3558.0,,148,8496,,1175,1175,,,,344,344.0,0.0,0.0,,0,,,0,1519,4510,4510.0,0.0,0.0,2319,,,,2319,6829,8348,0.0,1745,,,-1015.0,1519.0,-382,1867,402,2269,10617,
06/12/2004,10641,245,245,0.0,1202,1202,,497,178.0,0.0,319,0.0,254,,,,2198,3399,6843,-3444,0.0,,5044,4914,1389.0,3525.0,,130,8443,,1346,1346,,,,293,293.0,0.0,0.0,,0,,,0,1639,4467,4467.0,0.0,0.0,2326,,,,2326,6793,8432,0.0,1738,,,-1146.0,1648.0,-444,1796,413,2209,10641,
09/04/2004,10761,257,257,0.0,1295,1295,,464,177.0,0.0,287,0.0,261,,,,2277,3424,6931,-3507,0.0,,5060,4939,1396.0,3543.0,,121,8484,,1431,1431,,,,237,237.0,0.0,0.0,,0,,,0,1668,4483,4483.0,0.0,0.0,2312,,,,2312,6795,8463,0.0,1733,,,-1287.0,1826.0,-410,1862,436,2298,10761,
12/25/2004,10793,305,305,0.0,1054,1054,,427,159.0,0.0,268,0.0,253,,,,2039,3581,7223,-3642,0.0,,5173,5055,1416.0,3639.0,,118,8754,,493,493,,,,208,204.0,4.0,4.0,,880,,,880,1581,4489,4489.0,0.0,0.0,2329,,,,2329,6818,8399,0.0,1722,,,-1344.0,1887.0,-316,1949,445,2394,10793,
03/19/2005,10796,250,250,0.0,1054,1054,,476,175.0,,301,,293,,,,2073,3543,7266,-3723,0.0,,5180,5067,1422.0,3645.0,,113,8723,,1255,1255,,,,378,,,,,0,,,0,1633,4470,,,,2354,,,,2354,6824,8457,0.0,1719,,,-1442.0,1914.0,-304,1887,452,2339,10796,
06/11/2005,11079,208,208,,1323,1323,,515,193.0,,322,,313,,,,2359,3550,7320,-3770,,,5170,5061,1424.0,3637.0,,109,8720,,1457,1457,,,,418,,,,,0,,,0,1875,4479,,,,2361,,,,2361,6840,8715,,1717,,,-1544.0,2043.0,-320,1896,468,2364,11079,
09/03/2005,11251,267,267,,1422,1422,,510,194.0,,316,,256,,,,2455,3576,7436,-3860,,,5220,5099,1440.0,3659.0,,121,8796,,1644,1644,,,,176,,,,,0,,,0,1820,4479,,,,2370,,,,2370,6849,8669,,1704,,,-1566.0,2228.0,-279,2087,495,2582,11251,
12/31/2005,11524,502,502,0.0,1186,1186,,458,173.0,0.0,285,0.0,266,,,,2412,3649,7512,-3863,0.0,,5463,5330,1516.0,3814.0,,133,9112,,501,501,,,,1015,1014.0,1.0,1.0,,1082,,,1082,2598,3939,3935.0,4.0,4.0,2448,,,,2448,6387,8985,0.0,1712,,,-1676.0,2283.0,-276,2043,496,2539,11524,
03/25/2006,11521,336,336,0.0,1196,1196,,555,209.0,,346,,294,,,,2381,3667,7611,-3944,0.0,,5473,5341,1519.0,3822.0,,132,9140,,515,515,,,,1067,,,,,1009,,,1009,2591,3939,,,,2487,,,,2487,6426,9017,0.0,1708,,,-1776.0,2298.0,-230,2000,504,2504,11521,
06/17/2006,12329,725,725,,1312,1551,,647,247.0,,400,,517,,,,3201,3691,7745,-4054,,,5437,5293,1513.0,3780.0,,144,9128,,592,592,,,,749,,,,,1199,,,1199,2540,4732,,,,2497,,,,2497,7229,9769,,1719,,,-1821.0,2420.0,-277,2041,519,2560,12329,
09/09/2006,12742,862,862,,1736,1736,,638,261.0,,377,,262,,,,3498,3747,7905,-4158,,,5497,5351,1547.0,3804.0,,146,9244,,578,578,,,,677,,,,,1370,,,1370,2625,4741,,,,2504,,,,2504,7245,9870,,1736,,,-1804.0,2601.0,-224,2309,563,2872,12742,
12/30/2006,11927,629,629,,1332,1332,,533,201.0,,332,,255,,,,2749,3785,8057,-4272,,,5393,5258,1490.0,3768.0,,135,9178,,1677,1677,,,,374,368.0,6.0,6.0,,0,,,0,2051,4754,4727.0,27.0,27.0,2498,,,,2498,7252,9303,,1754,,,-2017.0,2708.0,-361,2084,540,2624,11927,
03/24/2007,12066,540,540,0.0,1353,1353,,657,254.0,0.0,403,0.0,299,,,,2849,3768,8098,-4330,0.0,,5449,5278,1485.0,3793.0,,171,9217,,1637,1637,,,,634,634.0,0.0,0.0,,0,,,0,2271,4757,4757.0,0.0,0.0,2530,,,,2530,7287,9558,0.0,1767,,,-2139.0,2717.0,-381,1964,544,2508,12066,
06/16/2007,13033,499,499,0.0,1792,1792,,738,274.0,0.0,464,0.0,278,,,,3307,3883,8134,-4251,0.0,,5843,5666,1517.0,4149.0,,177,9726,,1891,1891,,,,703,703.0,0.0,0.0,,0,,,0,2594,4754,4754.0,0.0,0.0,2571,,,,2571,7325,9919,0.0,1777,,,-2150.0,2847.0,-251,2223,891,3114,13033,
09/08/2007,13213,709,709,0.0,1892,1892,,641,237.0,0.0,404,0.0,253,,,,3495,3900,8234,-4334,0.0,,5818,5641,1503.0,4138.0,,177,9718,,606,606,,,,509,509.0,0.0,0.0,,1541,,,1541,2656,4762,4762.0,0.0,0.0,2486,,,,2486,7248,9904,0.0,1790,,,-2239.0,3076.0,-256,2371,938,3309,13213,
12/29/2007,13115,647,647,0.0,1520,1520,,577,195.0,0.0,382,0.0,342,,,,3086,4080,8484,-4404,0.0,,5949,5714,1533.0,4181.0,,235,10029,,1968,1968,,,,247,243.0,4.0,4.0,,0,,,0,2215,4770,4765.0,5.0,5.0,2542,,,,2542,7312,9527,0.0,1808,,,-2269.0,3124.0,-48,2615,973,3588,13115,
03/22/2008,13192,590,590,0.0,1536,1536,,666,221.0,0.0,445,0.0,377,,,,3169,4072,8538,-4466,0.0,,5951,5720,1542.0,4178.0,,231,10023,,1857,1857,,,,1882,1882.0,0.0,0.0,,0,,,0,3739,3479,3479.0,0.0,0.0,2541,,,,2541,6020,9759,0.0,1820,,,-2439.0,3105.0,-42,2444,989,3433,13192,
06/14/2008,13818,517,517,0.0,1956,1956,,773,0.000253,0.0,520,0.0,395,,,,3641,4181,8712,-4531,0.0,,5996,5762,1536.0,4226.0,,234,10177,,2078,2078,,,,2169,2169.0,0.0,0.0,,0,,,0,4247,3476,3476.0,0.0,0.0,2580,,,,2580,6056,10303,0.0,1833,,,-2619.0,3243.0,6,2463,1052,3515,13818,
09/06/2008,14393,497,497,0.0,1989,1989,,680,239.0,0.0,441,0.0,486,,,,3652,4160,8720,-4560,0.0,,6581,5734,1526.0,4208.0,,847,10741,,2150,2150,,,,2286,2286.0,0.0,0.0,,0,,,0,4436,3474,3474.0,0.0,0.0,2592,,,,2592,6066,10502,0.0,1844,,,-2715.0,3438.0,-60,2507,1384,3891,14393,
12/27/2008,12982,966,966,0.0,1371,1371,,528,185.0,0.0,343,0.0,276,,,,3141,3882,8249,-4380,0.0,,5959,5185,1434.0,3751.0,,774,9841,,1675,1675,,,,1408,1404.0,4.0,4.0,,0,,,0,3083,4784,4779.0,5.0,5.0,2624,,,,2624,7408,10491,0.0,1854,,,-2703.0,3130.0,-938,1343,1148,2491,12982,
03/21/2009,12393,483,483,0.0,1417,1417,0.0,619,215.0,0.0,404,0.0,284,257.0,4.0,19.0,2803,3711,8053,-4342,0.0,,5879,5175,1417.0,3758.0,511.0,189,9590,,1145,687,98.0,62.0,298.0,312,305.0,,,7.0,523,,19.0,466,1980,5521,5521.0,,,2595,,,1010.0,1566,8116,10096,0.0,1833,3.0,1830.0,-2664.0,3152.0,-1132,1189,1108,2297,12393,
06/13/2009,13455,510,510,0.0,1836,1836,0.0,732,234.0,0.0,498,0.0,345,293.0,10.0,15.0,3423,3879,8422,-4543,0.0,,6153,5362,1471.0,3891.0,593.0,188,10032,,1353,915,124.0,79.0,235.0,395,385.0,,,10.0,736,,94.0,701,2484,5451,5451.0,,,2600,,,1054.0,1452,8051,10535,0.0,1833,3.0,1830.0,-2603.0,3322.0,-842,1710,1210,2920,13455,
09/05/2009,13711,706,706,0.0,1989,1989,0.0,667,227.0,0.0,440,0.0,310,248.0,,7.0,3672,3854,8437,-4583,79.0,79.0,6106,5403,1480.0,3923.0,597.0,106,10039,,1389,913,130.0,92.0,254.0,234,223.0,,,11.0,821,,51.0,797,2444,5472,5472.0,,,2503,,,1074.0,1378,7975,10419,0.0,1845,3.0,1842.0,-2543.0,3537.0,-812,2027,1265,3292,13711,
12/26/2009,13570,907,907,0.0,1491,1491,0.0,600,220.0,0.0,380,0.0,414,317.0,0.0,3.0,3412,3899,8593,-4694,73.0,73.0,6186,5447,1506.0,3941.0,627.0,112,10158,,1158,695,121.0,86.0,256.0,203,181.0,7.0,7.0,15.0,604,0.0,69.0,598,1965,5449,5431.0,18.0,18.0,2447,0.0,329.0,1285.0,764,7896,9861,0.0,1864,3.0,1861.0,-2436.0,3585.0,-596,2417,1292,3709,13570,
