Date,Revenue,Sales & Services Revenue,Other Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Depreciation & Amortization,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,(Income) Loss from Affiliates,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
09/30/2015,7975.0,7975.0,,-3743.0,3743.0,4232.0,0.0,-4234.0,2224.0,1743.0,267.0,-2.0,-537.0,541.0,542.0,-1.0,,-4.0,-539.0,-46.0,-585.0,0.0,0.0,0.0,-585.0,0.0,-585.0,0.0,0.0,-585.0,-412.1,172.9,3969.0,-0.15,-0.15,-0.10383,3969.0,-0.15,-0.15,-0.106437,
12/31/2015,8107.0,8107.0,,-3937.0,3937.0,4170.0,0.0,-4367.0,2129.0,1865.0,373.0,-197.0,-542.0,543.0,546.0,-3.0,,-1.0,-739.0,-97.0,-836.0,0.0,0.0,0.0,-836.0,0.0,-836.0,0.0,0.0,-836.0,-538.3,297.7,3970.0,-0.21,-0.21,-0.135592,3970.0,-0.21,-0.21,-0.135592,
03/31/2016,8071.0,8071.0,,-3796.0,3796.0,4275.0,0.0,-4267.0,1939.0,1892.0,436.0,8.0,-547.0,548.0,552.0,-4.0,,-1.0,-539.0,-15.0,-554.0,0.0,0.0,0.0,-554.0,0.0,-554.0,0.0,0.0,-554.0,-270.6,283.4,3972.0,-0.14,-0.14,-0.068127,3972.0,-0.14,-0.14,-0.068651,
06/30/2016,8012.0,8012.0,,-3518.0,3518.0,4494.0,0.0,-4133.0,1917.0,1967.0,249.0,361.0,-607.0,605.0,615.0,-10.0,,2.0,-246.0,-56.0,-302.0,0.0,0.0,0.0,-302.0,0.0,-302.0,0.0,0.0,-302.0,-140.15,161.85,3975.0,-0.08,-0.08,-0.035258,3975.0,-0.08,-0.08,-0.039283,
09/30/2016,8247.0,8247.0,,-3794.0,3794.0,4453.0,0.0,-3831.0,1995.0,1981.0,-145.0,622.0,-645.0,615.0,630.0,-15.0,,30.0,-23.0,-119.0,-142.0,0.0,0.0,0.0,-142.0,0.0,-142.0,0.0,0.0,-142.0,-236.25,-94.25,3979.0,-0.04,-0.04,-0.059374,3979.0,-0.04,-0.04,-0.063687,
12/31/2016,8549.0,8549.0,,-3910.0,3910.0,4639.0,0.0,-4328.0,2080.0,2092.0,156.0,311.0,-679.0,607.0,619.0,-12.0,,72.0,-368.0,-111.0,-479.0,0.0,0.0,0.0,-479.0,0.0,-479.0,0.0,0.0,-479.0,-377.6,101.4,3983.0,-0.12,-0.12,-0.094803,3983.0,-0.12,-0.12,-0.094803,
03/31/2017,8539.0,8539.0,,-3716.0,3716.0,4823.0,0.0,-4353.0,2002.0,2110.0,241.0,470.0,-604.0,608.0,631.0,-23.0,,-4.0,-134.0,-149.0,-283.0,0.0,0.0,0.0,-283.0,0.0,-283.0,0.0,0.0,-283.0,-126.35,156.65,3988.0,-0.07,-0.07,-0.031683,3988.0,-0.07,-0.07,-0.031683,
06/30/2017,8157.0,8157.0,,-3254.0,3254.0,4903.0,0.0,-3740.0,1938.0,2054.0,-252.0,1163.0,-665.0,594.0,613.0,-19.0,,71.0,498.0,-292.0,206.0,0.0,0.0,0.0,206.0,0.0,206.0,0.0,0.0,206.0,12.3,-193.7,3993.0,0.05,0.05,0.00308,4076.0,0.05,0.05,0.002478,
09/30/2017,7927.0,7927.0,,-3102.0,3102.0,4825.0,0.0,-4224.0,2013.0,2094.0,117.0,601.0,-551.0,562.0,595.0,-33.0,,-11.0,50.0,-98.0,-48.0,0.0,0.0,0.0,-48.0,0.0,-48.0,0.0,0.0,-48.0,126.2,174.2,3998.0,-0.01,-0.01,0.031566,3998.0,-0.01,-0.01,0.031566,
12/31/2017,8239.0,8239.0,,-3406.0,3406.0,4833.0,0.0,-4106.0,2108.0,2173.0,-175.0,727.0,-623.0,567.0,581.0,-14.0,,56.0,104.0,7052.0,7156.0,0.0,0.0,0.0,7156.0,6.0,7162.0,0.0,0.0,7162.0,24.3,-7137.7,4001.0,1.79,1.79,0.006073,4061.0,1.76,1.76,0.002379,
03/31/2018,8083.0,5866.0,2217.0,-3294.0,3294.0,4789.0,0.0,-4553.0,2028.0,2259.0,266.0,236.0,-585.0,557.0,576.0,-19.0,,28.0,-349.0,412.0,63.0,0.0,0.0,0.0,63.0,6.0,69.0,0.0,0.0,69.0,549.32,480.32,4004.0,0.02,0.02,0.137193,4055.0,0.02,0.02,0.137193,
06/30/2018,8125.0,5740.0,2385.0,-3071.0,3071.0,5054.0,0.0,-4239.0,1867.0,2330.0,42.0,815.0,-595.0,595.0,637.0,-42.0,,0.0,220.0,-47.0,173.0,0.0,0.0,0.0,173.0,3.0,176.0,0.0,0.0,176.0,380.61,204.61,4010.0,0.04,0.04,0.094915,4061.0,0.04,0.04,0.090384,
09/30/2018,8433.0,8433.0,,-3362.0,3362.0,5071.0,0.0,-4293.0,1861.0,2361.0,71.0,778.0,-554.0,584.0,633.0,-49.0,,-30.0,224.0,-17.0,207.0,0.0,0.0,0.0,207.0,-11.0,196.0,0.0,0.0,196.0,461.44,265.44,4061.0,0.05,0.05,0.113627,4124.0,0.05,0.05,0.113627,
12/31/2018,8601.0,5699.0,2902.0,-3564.0,3564.0,5037.0,0.0,-4558.0,2003.0,2370.0,185.0,479.0,-632.0,626.0,664.0,-38.0,,6.0,-153.0,8.0,-145.0,0.0,0.0,0.0,-145.0,4.0,-141.0,0.0,0.0,-141.0,294.29,435.29,4078.0,-0.03,-0.03,0.072165,4078.0,-0.03,-0.03,0.072165,
03/31/2019,8441.0,5656.0,2785.0,-3392.0,3392.0,5049.0,0.0,-6723.0,2043.0,2330.0,2350.0,-1674.0,-595.0,460.0,629.0,-169.0,,135.0,-2269.0,91.0,-2178.0,0.0,0.0,0.0,-2178.0,4.0,-2174.0,0.0,0.0,-2174.0,594.67,2768.67,4080.0,-0.53,-0.53,0.145752,4080.0,-0.53,-0.53,0.145752,
06/30/2019,8142.0,5563.0,2579.0,-3276.0,3276.0,4866.0,0.0,-4411.0,1907.0,2267.0,237.0,455.0,-591.0,589.0,619.0,-30.0,,2.0,-136.0,22.0,-114.0,0.0,0.0,0.0,-114.0,3.0,-111.0,0.0,0.0,-111.0,319.55,430.55,4087.0,-0.03,-0.03,0.078187,4087.0,-0.03,-0.03,0.075346,
09/30/2019,7795.0,7795.0,,-3374.0,3374.0,4421.0,0.0,-4184.0,1936.0,2227.0,21.0,237.0,-580.0,578.0,594.0,-16.0,,2.0,-343.0,64.0,-279.0,0.0,0.0,0.0,-279.0,5.0,-274.0,0.0,0.0,-274.0,-13.3,260.7,4098.0,-0.07,-0.07,-0.003245,4098.0,-0.07,-0.07,-0.006384,
12/31/2019,8080.0,8080.0,,-3565.0,3565.0,4515.0,0.0,-4449.0,2045.0,2556.0,-152.0,66.0,-595.0,572.0,589.0,-17.0,,23.0,-529.0,408.0,-121.0,0.0,0.0,0.0,-121.0,1.0,-120.0,0.0,0.0,-120.0,-178.46,-58.46,4109.0,-0.03,-0.03,-0.043431,4109.0,-0.03,-0.03,-0.044227,
03/31/2020,7971.143,,,,,4513.10174374,,,,,,264.4,,,,,,,-243.62,,-195.857,,,,,,-195.857,,,-195.857,-195.857,,,-0.061,-0.061,-0.061,,-0.061,-0.061,-0.061,
06/30/2020,7680.5,,,,,4461.29523,,,,,,475.667,,,,,,,-92.01,,-49.757,,,,,,-49.757,,,-49.757,-49.757,,,-0.014,-0.014,-0.014,,-0.014,-0.014,-0.014,
