Date,Revenue,Net Premiums Earned,Net Premiums Earned (NL),Other Premiums Earned (NL & L),Investment Income,Other Operating Income,Policy Charges & Fees,Other Income,Claims & Losses,Claims & Losses (NL),Underwriting Expense & Acq Cost,Underwriting & Acq Cost (NL),Underwriting Cost (NL),Other Operating Expense,Operating Income (Loss),Interest Expense,Other Non-Op (Income) Loss,"Pretax Income (Loss), GAAP",Income Tax Expense (Benefit),Current Income Tax,Deferred Income Tax,Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
09/30/2015,87.69,71.535,71.535,0.0,29.02,-12.865,0.0,-12.865,133.213,-133.213,-25.006,25.006,25.006,,-358.294,-29.899,0.0,-388.193,-2.838,,,-391.031,0.0,0.0,0.0,-391.031,0.044,-390.987,0.0,0.0,-390.987,145.45375,536.44075,45.174521,-8.66,-8.66,3.219818,45.174521,-8.66,-8.66,3.214852,
12/31/2015,170.725,114.463,114.463,0.0,60.879,-4.617,0.0,-4.617,337.065,-337.065,-27.3,27.3,27.3,,426.133,-30.557,0.0,395.576,-8.9,,,386.676,0.0,0.0,0.0,386.676,0.308,386.984,0.0,0.0,386.984,399.84535,12.86135,45.173159,8.57,8.57,8.851392,45.19107,8.56,8.56,8.844599,
03/31/2016,16.902,52.8,52.8,0.0,-17.969,-17.929,0.0,-17.929,105.281,-105.281,-28.009,28.009,28.009,,43.284,-30.43,0.0,12.854,-3.439,,,9.415,0.0,0.0,0.0,9.415,0.0,9.415,0.0,0.0,9.415,2.27805,-7.13695,45.176978,0.21,0.21,0.050425,45.243997,0.21,0.21,0.050425,
06/30/2016,103.146,41.402,41.402,0.0,45.838,15.906,0.0,15.906,52.496,-52.496,-27.995,27.995,27.995,,92.22,-30.709,0.0,61.511,-3.156,,,58.355,0.0,0.0,0.0,58.355,0.292,58.647,0.0,0.0,58.647,74.2041,15.5571,45.212484,1.3,1.3,1.64123,45.375088,1.29,1.29,1.632856,
09/30/2016,145.004,53.218,53.218,0.0,87.036,4.75,0.0,4.75,69.204,-69.204,-21.466,21.466,21.466,,148.213,-31.493,0.0,116.72,-15.282,,,101.438,0.0,0.0,0.0,101.438,0.036,101.474,0.0,0.0,101.474,93.376,-8.098,45.22957,2.24,2.24,2.06449,45.792083,2.22,2.22,2.043157,
12/31/2016,237.487,49.867,49.867,0.0,185.76,1.86,0.0,1.86,-215.492,215.492,-36.19,36.19,36.19,,-54.347,-31.712,0.0,-86.059,-8.832,,,-94.891,0.0,0.0,0.0,-94.891,0.198,-94.693,0.0,0.0,-94.693,-106.84225,-12.14925,45.230242,-2.09,-2.09,-2.362186,45.230242,-2.09,-2.09,-2.362186,
03/31/2017,126.372,47.613,47.613,0.0,76.201,2.558,0.0,2.558,-135.011,135.011,-28.124,28.124,28.124,-37.525,-74.288,-31.572,0.0,-105.86,-19.581,19.581,,-125.441,0.0,0.0,0.0,-125.441,0.0,-125.441,0.0,0.0,-125.441,-132.27795,-6.83695,45.292253,-2.77,-2.77,-2.920543,45.292253,-2.77,-2.77,-2.920952,
06/30/2017,173.101,43.152,43.152,0.0,128.269,1.68,0.0,1.68,-66.1,66.1,-31.304,31.304,31.304,-33.471,42.226,-28.234,0.0,13.992,-6.882,6.882,0.0,7.11,0.0,0.0,0.0,7.11,,7.11,0.0,0.0,7.11,-42.6774,-49.7874,45.369213,0.16,0.16,-0.940669,45.773509,0.16,0.16,-0.940669,
09/30/2017,137.298,52.989,52.989,0.0,83.98,0.329,0.0,0.329,-209.806,209.806,-34.074,34.074,34.074,-49.739,-156.321,-29.145,0.0,-185.466,-5.439,5.439,0.0,-190.905,0.0,0.0,0.0,-190.905,0.0,-190.905,0.0,0.0,-190.905,-190.721,0.184,45.404315,-4.2,-4.2,-4.200504,45.404315,-4.2,-4.2,-4.200504,
12/31/2017,189.204,31.523,31.523,0.0,137.577,20.104,0.0,20.104,-102.269,102.269,-28.694,28.694,28.694,-34.168,24.073,-30.99,0.0,-6.917,-12.562,-18.857,31.419,-19.479,0.0,0.0,0.0,-19.479,,-19.479,0.0,0.0,-19.479,-22.7474,-3.2684,45.404315,-0.43,-0.43,-0.500996,45.404315,-0.43,-0.43,-0.501984,
03/31/2018,174.057,30.883,30.883,0.0,140.293,2.881,0.0,2.881,247.395,-247.395,-36.434,36.434,36.434,-28.636,356.382,-48.073,0.0,308.309,-2.605,0.998,1.607,305.704,0.0,0.0,0.0,305.704,0.0,305.704,0.0,0.0,305.704,301.40638,-4.29762,45.471083,6.72,6.72,6.628529,45.653471,6.7,6.7,6.605864,
06/30/2018,150.638,25.836,25.836,0.0,121.728,3.074,0.0,3.074,-32.579,32.579,-26.063,26.063,26.063,-23.242,68.754,-62.446,0.0,6.308,-1.995,3.189,-1.194,4.313,0.0,0.0,0.0,4.313,,4.313,0.0,0.0,4.313,-22.4426,-26.7556,45.683058,0.09,0.09,-0.491267,46.472375,0.09,0.09,-0.491267,
09/30/2018,134.015,25.64,25.64,0.0,105.85,2.525,0.0,2.525,-33.501,33.501,-28.368,28.368,28.368,-26.421,45.725,-65.673,0.0,-19.948,-2.211,6.588,-4.377,-22.159,0.0,0.0,0.0,-22.159,-81.686,-103.845,0.0,0.0,-103.845,-121.43265,-17.58765,45.749252,-2.27,-2.27,-2.654309,45.749252,-2.27,-2.27,-2.654436,
12/31/2018,51.951,28.73,28.73,0.0,20.521,2.7,0.0,2.7,42.298,-42.298,-21.339,21.339,21.339,-28.982,43.928,-66.064,0.0,-22.136,1.677,,,-20.459,0.0,0.0,0.0,-20.459,,-20.459,0.0,0.0,-20.459,-40.08466,-19.62566,45.75609,-0.45,-0.45,-0.876051,45.75609,-0.45,-0.45,-0.878919,
03/31/2019,100.368,27.758,27.758,0.0,55.887,16.723,0.0,16.723,-12.407,12.407,-24.915,24.915,24.915,-36.278,26.768,-67.978,0.0,-41.21,-1.991,2.94,-0.949,-43.201,0.0,0.0,0.0,-43.201,0.0,-43.201,0.0,0.0,-43.201,-59.09216,-15.89116,45.832297,-0.94,-0.94,-1.289313,45.832297,-0.94,-0.94,-1.289313,
06/30/2019,98.034,7.833,7.833,0.0,86.907,3.294,0.0,3.294,133.48,-133.48,-29.09,29.09,29.09,-235.15,-32.726,-67.381,0.0,-100.107,-28.322,28.157,0.165,-128.429,0.0,0.0,0.0,-128.429,,-128.429,0.0,0.0,-128.429,-168.1584,-39.7294,45.986043,-2.79,-2.79,-3.656727,45.986043,-2.79,-2.79,-3.656727,
09/30/2019,216.162,10.466,10.466,0.0,53.076,152.62,0.0,152.62,-37.139,37.139,-25.622,25.622,25.622,-17.421,135.98,-66.925,0.0,69.055,-2.939,4.309,-1.37,66.116,0.0,0.0,0.0,66.116,,66.116,0.0,0.0,66.116,44.85709,-21.25891,45.997694,1.44,1.44,0.975203,47.020058,1.41,1.41,0.957876,
12/31/2019,90.0,20.0,20.0,0.0,63.0,7.0,0.0,7.0,-97.0,97.0,-23.0,23.0,23.0,-15.0,-45.0,-66.0,0.0,-111.0,1.0,,,-110.0,0.0,0.0,0.0,-110.0,0.0,-110.0,0.0,0.0,-110.0,-119.59,-9.59,46.00127,-2.4,-2.4,-2.599711,46.00127,-2.4,-2.4,-2.608473,
03/31/2020,-70.0,10.0,10.0,0.0,-83.0,3.0,0.0,3.0,-117.0,117.0,-24.0,24.0,24.0,-13.0,-224.0,-63.0,0.0,-287.0,7.0,-2.0,-5.0,-280.0,0.0,0.0,0.0,-280.0,,-280.0,0.0,0.0,-280.0,-284.32,-4.32,46.060324,-6.07,-6.07,-6.172775,46.060324,-6.07,-6.07,-6.172775,
06/30/2020,75.0,11.0,11.0,0.0,64.0,0.0,0.0,0.0,-16.0,16.0,-20.0,20.0,20.0,-14.0,25.0,-58.0,0.0,-33.0,-2.0,3.0,-1.0,-35.0,0.0,0.0,0.0,-35.0,,-35.0,0.0,0.0,-35.0,-45.9,-10.9,46.166666,-0.77,-0.77,-0.994224,46.166666,-0.77,-0.77,-1.006101,
09/30/2020,52.1,,,,,,,,,,,,,,,,,-55.5,,,,-44.4,,,,,,-44.4,,,-44.4,-30.9,,,-0.96,-0.96,-0.67,,-0.96,-0.96,-0.67,
12/31/2020,54.4,,,,,,,,,,,,,,,,,-52.5,,,,-44.1,,,,,,-44.1,,,-44.1,-30.6,,,-0.95,-0.95,-0.66,,-0.95,-0.95,-0.66,
