Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Assets Held-for-Sale,Deferred Tax Assets,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Investments,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Prepaid Pension Costs,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Discontinued Operations,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Deferred Tax Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
03/31/1992,23841,1720,1720,0.0,3183,,,3656,,,,,1117,,,,,9676,9087,14502.0,-5415.0,0.0,,5078,,,,,5078,14165,,5358,5358,,,,2817,,,,,,0,,,,0,8175,4773,,,,,2020,,,,2020,6793,14968,1988.0,1022.0,,,,,5863,8873,0.0,8873,23841,
06/30/1992,24025,1776,1776,0.0,3341,,,3311,,,,,938,,,,,9366,9696,15184.0,-5488.0,0.0,,4963,,,,,4963,14659,,2323,2323,,,,2002,,,,,,3317,,,,3317,7642,5223,,,,,2089,,,,2089,7312,14954,1986.0,1045.0,,,,,6040,9071,0.0,9071,24025,
09/30/1992,24642,1620,1620,,3487,,,3571,,,,,1053,,,,,9731,9881,15648.0,-5767.0,,,5030,,,,,5030,14911,,5889,5889,,,,2189,,,,,,0,,,,0,8078,5050,,,,,2179,,,,2179,7229,15307,1982.0,1069.0,,,,,6284,9335,,9335,24642,
12/31/1992,23881,2195,2195,,3279,,,3181,,,,,1082,,,,,9737,9199,14590.0,-5391.0,,,4945,,,,,4945,14144,,4998,4998,,,,2536,,,,,,0,,,,0,7534,4900,,,,,1898,,,,1898,6798,14332,1980.0,1126.0,,,,,6443,9549,,9549,23881,
03/31/1993,24405,2742,2742,,3086,,,3001,,,,,963,,,,,9792,9227,14545.0,-5318.0,,,5386,,,,,5386,14613,,5298,5298,,,,2249,,,,,,0,,,,0,7547,5087,,,,,1865,,,,1865,6952,14499,1976.0,1141.0,,,,,6789,9906,,9906,24405,
06/30/1993,24935,2322,2322,0.0,3111,,,2903,,,,,1639,,,,,9975,9485,14877.0,-5392.0,0.0,,5475,,,,,5475,14960,,2269,2269,,,,1812,,,,,,4206,,,,4206,8287,5174,,,,,4033,,,,4033,9207,17494,1969.0,1159.0,,,,,4313,7441,0.0,7441,24935,
09/30/1993,25422,2215,2215,0.0,3452,,,3013,,,,,1842,,,,,10522,9547,15066.0,-5519.0,0.0,,5353,,,,,5353,14900,,6284,6284,,,,1984,,,,,,0,,,,0,8268,5181,,,,,4068,,,,4068,9249,17517,1963.0,1180.0,,,,,4762,7905,0.0,7905,25422,
12/31/1993,25543,2412,2412,0.0,3335,,,2914,,,,,1943,,,,,10604,9489,15089.0,-5600.0,0.0,,5450,,,,,5450,14939,,6237,6237,,,,1851,,,,,,0,,,,0,8088,5293,,,,,3895,,,,3895,9188,17276,1959.0,1200.0,,,,,5108,8267,0.0,8267,25543,
03/31/1994,25718,2424,2424,0.0,3238,,,2955,,,,,1895,,,,,10512,9706,15517.0,-5811.0,0.0,,5500,,,,,5500,15206,,6274,6274,,,,1812,,,,,,0,,,,0,8086,5139,,,,,3912,,,,3912,9051,17137,1949.0,1225.0,,,,,5407,8581,0.0,8581,25718,
06/30/1994,25535,2656,2373,283.0,3115,,,2877,,,,,1340,,,,,9988,10024,15896.0,-5872.0,0.0,,5523,,,,,5523,15547,,2604,2604,,,,1375,,,,,,4061,,,,4061,8040,4980,,,,,3683,,,,3683,8663,16703,1942.0,1244.0,,,,,5646,8832,0.0,8832,25535,
09/30/1994,27132,2575,2429,146.0,3590,,,3058,,,,,1592,,,,,10815,10214,16408.0,-6194.0,0.0,,6103,,,,,6103,16317,,7142,7142,,,,1635,,,,,,0,,,,0,8777,5080,,,,,3810,,,,3810,8890,17667,1932.0,1275.0,,,,,6258,9465,0.0,9465,27132,
12/31/1994,27337,2361,2184,177.0,3743,,,3116,,,,,1686,,,,,10906,10418,16645.0,-6227.0,0.0,,6013,,,,,6013,16431,,7114,7114,,,,1691,,,,,,0,,,,0,8805,5061,,,,,3666,,,,3666,8727,17532,1926.0,1308.0,,,,,6571,9805,0.0,9805,27337,
03/31/1995,27799,2367,2258,109.0,3479,,,3351,,,,,1898,,,,,11095,10608,16995.0,-6387.0,0.0,,6096,,,,,6096,16704,,7430,7430,,,,1061,,,,,,0,,,,0,8491,5157,,,,,3832,,,,3832,8989,17480,1919.0,1350.0,,,,,7050,10319,0.0,10319,27799,
06/30/1995,28125,2178,2028,150.0,3562,,,3453,,,,,1649,,,,,10842,11026,17739.0,-6713.0,0.0,,6257,,,,,6257,17283,,2891,2891,,,,970,,,,,,4787,,,,4787,8648,5161,,,,,3727,,,,3727,8888,17536,1913.0,1380.0,,,,,7296,10589,0.0,10589,28125,
09/30/1995,28367,1993,1589,404.0,3977,,,3584,,,,,1832,,,,,11386,10846,17661.0,-6815.0,0.0,,6135,,,,,6135,16981,,7496,7496,,,,1197,,,,,,0,,,,0,8693,5018,,,,,3632,,,,3632,8650,17343,1906.0,1421.0,,,,,7697,11024,0.0,11024,28367,
12/31/1995,28215,2116,1668,448.0,3899,,,3545,,,,,1883,,,,,11443,10960,17913.0,-6953.0,0.0,,5812,,,,,5812,16772,,6860,6860,,,,1418,,,,,,0,,,,0,8278,4978,,,,,3575,,,,3575,8553,16831,1901.0,1449.0,,,,,8034,11384,0.0,11384,28215,
03/31/1996,28097,2468,2022,446.0,3465,,,3437,,,,,1833,,,,,11203,11009,18076.0,-7067.0,0.0,,5885,,,,,5885,16894,,6658,6658,,,,991,,,,,,0,,,,0,7649,5169,,,,,3550,,,,3550,8719,16368,1891.0,1523.0,,,,,8315,11729,0.0,11729,28097,
06/30/1996,27730,2520,2074,446.0,2841,,,3130,,,,,2316,,,,,10807,11118,18112.0,-6994.0,0.0,,5805,,,,,5805,16923,,2236,2236,,,,1116,,,,,,4473,,,,4473,7825,4670,,,,,3513,,,,3513,8183,16008,1886.0,1548.0,,,,,8288,11722,0.0,11722,27730,
09/30/1996,28164,3057,2595,462.0,2848,,,3233,1247.0,247.0,1739.0,,2122,,,,,11260,11176,18392.0,-7216.0,0.0,,5728,4231.0,,,,1497,16904,,6867,6867,,,,1101,,,,,,0,,,,0,7968,4629,,,,,3555,,,,3555,8184,16152,1879.0,1600.0,,,,,8533,12012,0.0,12012,28164,
12/31/1996,28120,2721,2189,532.0,2928,,,3227,1257.0,279.0,1691.0,,2245,,,,,11121,11270,18641.0,-7371.0,0.0,,5729,4203.0,,,,1526,16999,,6846,6846,,,,1118,,,,,,0,,,,0,7964,4283,,,,,3562,,,,3562,7845,15809,1874.0,1648.0,,,,,8789,12311,0.0,12311,28120,
03/31/1997,27465,2983,2421,562.0,2728,,,3088,1158.0,281.0,1649.0,,2070,,,,,10869,11074,18377.0,-7303.0,0.0,,5522,4032.0,,,,1490,16596,,6392,6392,,,,1232,,,,,,0,,,,0,7624,4001,,,,,3488,,,,3488,7489,15113,1866.0,1753.0,,,,,8733,12352,0.0,12352,27465,
06/30/1997,27544,3110,2350,760.0,2738,,,3087,1131.0,228.0,1728.0,,1851,,,,,10786,11376,18625.0,-7249.0,0.0,,5382,3949.0,,,,1433,16758,,2203,2203,,,,849,,,,,,4746,,,,4746,7798,4143,,,,,3557,,,,3557,7700,15498,1859.0,1910.0,,,,,8277,12046,0.0,12046,27544,
09/30/1997,29632,2658,2059,599.0,2917,,,3333,1188.0,291.0,1854.0,,1999,,,,,10907,11421,19102.0,-7681.0,0.0,,7304,5777.0,,,,1527,18725,,7193,7193,,,,2629,,,,,,0,,,,0,9822,4143,,,,,3558,,,,3558,7701,17523,1848.0,1965.0,,,,,8296,12109,0.0,12109,29632,
12/31/1997,29715,2512,1305,1207.0,3009,,,3239,1200.0,302.0,1737.0,,2093,,,,,10853,11504,19337.0,-7833.0,0.0,,7358,6213.0,,,,1145,18862,,6522,6522,,,,2918,,,,,,0,,,,0,9440,4587,,,,,3570,,,,3570,8157,17597,1842.0,2009.0,,,,,8267,12118,0.0,12118,29715,
03/31/1998,30696,2306,1464,842.0,2758,,,3470,1253.0,332.0,1885.0,,2284,,,,,10818,11799,19816.0,-8017.0,0.0,,8079,6967.0,,,,1112,19878,,6879,6879,,,,2249,,,,,,0,,,,0,9128,5438,,,,,3744,,,,3744,9182,18310,1831.0,2105.0,,,,,8450,12386,0.0,12386,30696,
06/30/1998,30966,2406,1549,857.0,2781,,,3284,1225.0,343.0,1716.0,,2106,,,,,10577,12180,20152.0,-7972.0,0.0,,8209,7011.0,,,,1198,20389,,2051,2051,,,,2281,,,,,,4918,,,,4918,9250,5765,,,,,3715,,,,3715,9480,18730,1821.0,2244.0,,,,,8171,12236,0.0,12236,30966,
09/30/1998,32869,3318,2540,778.0,2950,2950.0,,3517,1210.0,373.0,1934.0,,2531,,,,,12316,12344,20661.0,-8317.0,0.0,,8209,7038.0,,,,1171,20553,,7194,7194,,,,3277,,,,,,0,,,,0,10471,6354,,,,,3970,,,,3970,10324,20795,1810.0,2306.0,,,,10839.0,-2881,12074,0.0,12074,32869,
12/31/1998,33151,2796,2094,702.0,3284,3284.0,,3427,1237.0,391.0,1799.0,,2479,,,,,11986,12839,21544.0,-8705.0,0.0,,8326,7123.0,,,,1203,21165,,7371,7371,,,,2965,,,,,,0,,,,0,10336,6408,,,,,3582,,,,3582,9990,20326,1803.0,2387.0,,,,11363.0,-2728,12825,0.0,12825,33151,
03/31/1999,32873,3087,2255,832.0,2822,2822.0,,3436,1200.0,399.0,1837.0,,2410,,,,,11755,12944,21589.0,-8645.0,0.0,,8174,6964.0,,,,1210,21118,,7043,7043,,,,3082,,,,,,0,,,,0,10125,6403,,,,,3420,,,,3420,9823,19948,1793.0,2513.0,,,,11685.0,-3066,12925,0.0,12925,32873,
06/30/1999,32113,2800,2294,506.0,2940,2940.0,,3338,1176.0,375.0,1787.0,0.0,2280,,,,,11358,12626,21400.0,-8774.0,0.0,,8129,6822.0,7062.0,-240.0,,1307,20755,,2300,2300,,,,3150,,,,,,5311,,,,5311,10761,6231,,,,,3063,,,,3063,9294,20055,1781.0,2657.0,,,,10778.0,-3158,12058,0.0,12058,32113,
09/30/1999,35324,2471,2123,348.0,3221,3221.0,,3649,1278.0,418.0,1953.0,0.0,2485,,,,,11826,13279,22734.0,-9455.0,0.0,,10219,8837.0,,,,1382,23498,,7759,7759,,,,4916,,,,,,0,,,,0,12675,7212,,,,,3085,,,,3085,10297,22972,1768.0,2748.0,,,,10880.0,-3044,12352,0.0,12352,35324,
12/31/1999,36001,2274,2044,230.0,3576,3576.0,,3759,1374.0,416.0,1969.0,0.0,2465,,,,,12074,13389,22958.0,-9569.0,0.0,,10538,9015.0,,,,1523,23927,,6862,6862,,,,4779,,,,,,0,,,,0,11641,8703,,,,,2956,,,,2956,11659,23300,1758.0,2845.0,,,,11284.0,-3186,12701,0.0,12701,36001,
03/31/2000,35249,2157,1964,193.0,2983,2983.0,,3800,1326.0,399.0,2075.0,0.0,2280,,,,,11220,13603,23211.0,-9608.0,0.0,,10426,8907.0,,,,1519,24029,,6527,6527,,,,4066,,,,,,0,,,,0,10593,9394,,,,,2934,,,,2934,12328,22921,1745.0,2936.0,,,,10809.0,-3162,12328,0.0,12328,35249,
06/30/2000,34194,1600,1415,185.0,2910,2910.0,,3490,1254.0,394.0,1842.0,0.0,2069,,,,,10069,13692,23221.0,-9529.0,0.0,,10433,8786.0,9080.0,-294.0,,1647,24125,,2209,2209,,,,3210,,,,,,4646,,,,4646,10065,8916,,,,,2926,,,,2926,11842,21907,1737.0,3100.0,,,,10710.0,-3260,12287,0.0,12287,34194,
09/30/2000,35113,2174,2001,173.0,3376,3376.0,,3592,1173.0,410.0,2009.0,0.0,2127,,,,,11269,13669,23364.0,-9695.0,0.0,,10175,8639.0,,,,1536,23844,,6936,6936,,,,2910,,,,,,0,,,,0,9846,9751,,,,,2806,,,,2806,12557,22403,1728.0,3146.0,,,,11185.0,-3349,12710,0.0,12710,35113,
12/31/2000,36825,3556,3407,149.0,3639,3639.0,,3523,,399.0,1958.0,1166.0,2158,,,,,12876,13594,23471.0,-9877.0,,,10355,8505.0,,,,1850,23949,,6780,6780,,,,4279,,,,,,0,,,,0,11059,10061,,,,,2689,,,,2689,12750,23809,1721.0,3219.0,,,,11445.0,-3369,13016,,13016,36825,
03/31/2001,35840,2843,2681,162.0,2985,2985.0,,3532,,417.0,1995.0,1120.0,2280,,,,,11640,13602,23370.0,-9768.0,,,10598,8546.0,,,,2052,24200,,6610,6610,,,,3428,,,,,,0,,,,0,10038,9889,,,,,2941,,,,2941,12830,22868,1710.0,3319.0,,,,11302.0,-3359,12972,,12972,35840,
06/30/2001,34387,2518,2306,212.0,2931,2931.0,,3384,1096.0,373.0,1915.0,0.0,2056,,,,,10889,13095,22821.0,-9726.0,0.0,,10403,8300.0,7210.0,1090.0,,2103,23498,,2075,2075,,,,2233,,,,,,5538,,,,5538,9846,9792,,,,,2739,,,,2739,12531,22377,1701.0,3353.0,,,0.0,10451.0,-3495,12010,0.0,12010,34387,
09/30/2001,35611,3104,2893,211.0,3054,3054.0,,3724,,412.0,2190.0,1122.0,2086,,,,,11968,13209,23003.0,-9794.0,,,10434,8379.0,7523.0,856.0,,2055,23643,,7952,7952,,,,2534,,,,,,0,,,,0,10486,10111,,,,,2577,,,,2577,12688,23174,1687.0,3432.0,,,0.0,10858.0,-3540,12437,,12437,35611,
12/31/2001,41372,3396,3193,203.0,3551,3551.0,,3738,,401.0,2214.0,1123.0,2466,,,,,13151,13225,23124.0,-9899.0,,,14996,13240.0,11491.0,1749.0,,1756,28221,,9107,9107,,,,6763,,,,,,0,,,,0,15870,9886,,,,,2537,,,,2537,12423,28293,1673.0,3526.0,,,0.0,11453.0,-3573,13079,,13079,41372,
03/31/2002,40808,3531,3061,470.0,3113,3113.0,,3772,,379.0,2292.0,1101.0,2168,,,,,12584,13233,23215.0,-9982.0,,,14991,13395.0,11666.0,1729.0,,1596,28224,,9137,9137,,,,5993,,,,,,0,,,,0,15130,9804,,,,,2485,,,,2485,12289,27419,1653.0,3662.0,,,0.0,11878.0,-3804,13389,,13389,40808,
06/30/2002,40776,3623,3427,196.0,3090,3090.0,,3456,1031.0,323.0,2102.0,0.0,1997,,,,,12166,13349,23070.0,-9721.0,0.0,,15261,13430.0,10966.0,2464.0,,1831,28610,,2205,2205,,,,3731,,,,,,6768,,,,6768,12704,11201,,,,,3165,,,,3165,14366,27070,1634.0,3791.0,,,,11980.0,-3699,13706,0.0,13706,40776,
09/30/2002,41850,4889,4703,186.0,3110,3110.0,,3559,1085.0,338.0,2136.0,0.0,2005,,,,,13563,13049,22990.0,-9941.0,0.0,,15238,13395.0,10958.0,2437.0,,1843,28287,,2015,2015,,,,4199,,,,,,6857,,,,6857,13071,11263,,,,,3277,,,,3277,14540,27611,1613.0,3885.0,,,0.0,12527.0,-3786,14239,0.0,14239,41850,
12/31/2002,42442,5324,5106,218.0,3240,3240.0,,3610,1098.0,336.0,2176.0,0.0,2017,,,,,14191,13125,23362.0,-10237.0,0.0,,15126,13446.0,11038.0,2408.0,,1680,28251,,2021,2021,,,,3491,,,,,,7191,,,,7191,12703,11534,,,,,3369,,,,3369,14903,27606,1602.0,3944.0,,,0.0,12789.0,-3499,14836,0.0,14836,42442,
03/31/2003,42683,5825,5513,312.0,2960,2960.0,,3763,1054.0,379.0,2330.0,0.0,1917,,,,,14465,13078,23572.0,-10494.0,0.0,,15140,13465.0,11075.0,2390.0,,1675,28218,,2064,2064,,,,2794,,,,,,7472,,,,7472,12330,11333,,,,,3495,,,,3495,14828,27158,1591.0,4095.0,,,0.0,13294.0,-3455,15525,0.0,15525,42683,
06/30/2003,43706,6212,5912,300.0,3038,3038.0,,3640,1095.0,291.0,2254.0,0.0,2330,,,,,15220,13104,23542.0,-10438.0,0.0,,15382,13507.0,11132.0,2375.0,,1875,28486,,2795,2795,,,,2172,,,,,,7391,,,,7391,12358,11475,,,,,3687,,,,3687,15162,27520,1580.0,4228.0,,,,13692.0,-3314,16186,0.0,16186,43706,
09/30/2003,50496,4379,4049,330.0,4134,4134.0,,4536,1275.0,358.0,2903.0,0.0,2624,,,,,15673,13654,24318.0,-10664.0,0.0,,21169,19288.0,15222.0,4066.0,,1881,34823,,2957,2957,,,,5286,,,,,,8569,,,,8569,16812,11993,,,,,4320,,,,4320,16313,33125,1567.0,4367.0,,,,14560.0,-3123,17371,0.0,17371,50496,
12/31/2003,53862,5294,4943,351.0,4447,4447.0,,4621,1322.0,375.0,2924.0,0.0,2803,,,,,17165,14043,25063.0,-11020.0,0.0,,22654,20710.0,16528.0,4182.0,,1944,36697,,2822,2822,,,,5885,,,,,,8900,,,,8900,17607,12636,,,,,5047,,,,5047,17683,35290,1554.0,4542.0,,,,14991.0,-2515,18572,0.0,18572,53862,
03/31/2004,53868,5750,5365,385.0,4093,4093.0,,4621,1285.0,349.0,2987.0,0.0,2740,,,,,17204,14070,25272.0,-11202.0,0.0,,22594,20502.0,16551.0,3951.0,,2092,36664,,3048,3048,,,,5065,,,,,,8910,,,,8910,17023,13349,,,,,5204,,,,5204,18553,35576,1536.0,4777.0,,,0.0,14631.0,-2652,18292,0.0,18292,53868,
06/30/2004,57048,5892,5469,423.0,4062,4062.0,,4400,1191.0,340.0,2869.0,0.0,2761,,,,,17115,14108,25304.0,-11196.0,0.0,,25825,23900.0,19610.0,4290.0,,1925,39933,,3617,3617,,,,8287,,,,,,10243,,,,10243,22147,12554,,,,,5069,,,,5069,17623,39770,1526.0,4969.0,,,,13611.0,-2828,17278,0.0,17278,57048,
09/30/2004,61527,8133,6389,1744.0,4185,4185.0,,5006,1424.0,350.0,3232.0,0.0,3005,,,,,20329,14332,26325.0,-11993.0,0.0,,26866,24163.0,19816.0,4347.0,,2703,41198,,3802,3802,,,,11441,,,,,,9796,,,,9796,25039,12887,,,,,5126,,,,5126,18013,43052,1483.0,6007.0,,,-17194.0,31004.0,-2825,18475,0.0,18475,61527,
12/31/2004,63032,8170,7676,494.0,4689,4689.0,,5176,1476.0,380.0,3320.0,0.0,2961,,,,,20996,14502,26495.0,-11993.0,0.0,,27534,25306.0,20651.0,4655.0,,2228,42036,,3264,3264,,,,9861,,,,,,10778,,,,10778,23903,13385,,,,,5860,,,,5860,19245,43148,1505.0,5302.0,,,,14714.0,-1637,19884,0.0,19884,63032,
03/31/2005,63076,8778,7072,1706.0,4396,4396.0,,5270,1541.0,361.0,3368.0,0.0,3147,,,,,21591,14281,26389.0,-12108.0,0.0,,27204,24902.0,20286.0,4616.0,,2302,41485,,3407,3407,,,,11216,,,,,,10699,,,,10699,25322,12936,,,,,6088,,,,6088,19024,44346,1493.0,5469.0,,,,13861.0,-2093,18730,0.0,18730,63076,
06/30/2005,61527,8133,6389,1744.0,4185,4185.0,,5006,1424.0,350.0,3232.0,0.0,3005,,,,,20329,14332,26325.0,-11993.0,0.0,,26866,29220.0,19816.0,9404.0,,-2354,41198,,3802,3802,,,,11441,,,,,,9796,,,,9796,25039,12887,,,,,5126,,,,5126,18013,43052,1483.0,6007.0,,,-17194.0,31004.0,-2825,18475,0.0,18475,61527,
09/30/2005,61906,8059,6310,1749.0,4690,4690.0,,5161,1371.0,384.0,3406.0,0.0,2654,,,,,20564,14256,26574.0,-12318.0,0.0,,27086,24228.0,19793.0,4435.0,,2858,41342,,3423,3423,,,,8749,,,,,,8882,,,,8882,21054,21046,,,,,5273,,,,5273,26319,47373,1477.0,6117.0,,,-22558.0,32251.0,-2754,14533,0.0,14533,61906,
12/31/2005,136522,9812,7816,1996.0,6056,6056.0,,6437,1598.0,652.0,4187.0,0.0,4120,,,,,26425,18225,30755.0,-12530.0,0.0,,91872,88493.0,52792.0,35701.0,,3379,110097,,3904,3904,,,,4608,,,,,,11993,,,,11993,20505,31394,,,,,18209,,,,18209,49603,70108,1469.0,61028.0,,,-27002.0,33749.0,-2830,66414,0.0,66414,136522,
03/31/2006,136222,10199,8675,1524.0,5404,5404.0,,6732,1675.0,656.0,4401.0,0.0,4280,,,,,26615,18473,31486.0,-13013.0,0.0,,91134,87857.0,54693.0,33164.0,,3277,109607,,4063,4063,,,,3837,,,,,,12143,,,,12143,20043,33916,,,,,17239,,,,17239,51155,71198,1460.0,61531.0,,,-30302.0,34853.0,-2518,65024,0.0,65024,136222,
06/30/2006,135695,7826,6693,1133.0,5725,5725.0,,6291,1537.0,623.0,4131.0,0.0,4487,,,,,24329,18770,31881.0,-13111.0,0.0,,92596,89027.0,55306.0,33721.0,,3569,111366,,4910,4910,,,,2128,2128.0,0.0,0.0,,,12947,,,,12947,19985,35976,35976.0,0.0,0.0,,16826,,,,16826,52802,72787,1451.0,61832.0,,,-34235.0,35666.0,-1806,62908,0.0,62908,135695,
09/30/2006,137049,7758,6718,1040.0,6640,6640.0,,6790,1603.0,477.0,4710.0,0.0,4318,,,,,25506,18738,32474.0,-13736.0,0.0,,92805,89291.0,55708.0,33583.0,,3514,111543,,4507,4507,,,,1986,,,,,,14097,,,,14097,20590,35727,,,,,16919,,,,16919,52646,73236,1440.0,62266.0,,,-35329.0,37284.0,-1848,63813,0.0,63813,137049,
12/31/2006,137300,5508,4987,521.0,7523,7523.0,,6883,1713.0,480.0,4690.0,0.0,4775,,,,,24689,19096,33395.0,-14299.0,0.0,,93515,89805.0,56224.0,33581.0,,3710,112611,,4490,4490,,,,12533,,,,,,14271,,,,14271,31294,23650,,,,,16992,,,,16992,40642,71936,1432.0,62538.0,,,-36488.0,39083.0,-1201,65364,0.0,65364,137300,
03/31/2007,135695,4230,3994,236.0,6757,6757.0,,7091,1668.0,460.0,4963.0,0.0,4636,,,,,22714,19178,34132.0,-14954.0,0.0,,93803,89934.0,56471.0,33463.0,,3869,112981,,4371,4371,,,,12168,,,,,,14382,,,,14382,30921,21257,,,,,17051,,,,17051,38308,69229,1413.0,62899.0,,,-37405.0,40477.0,-918,66466,0.0,66466,135695,
06/30/2007,138014,5556,5354,202.0,6629,6629.0,,6819,1590.0,444.0,4785.0,0.0,5027,,,,,24031,19540,34721.0,-15181.0,0.0,,94443,90178.0,56552.0,33626.0,,4265,113983,,5710,5710,,,,12039,,,,,,12968,,,,12968,30717,23375,,,,,17162,,,,17162,40537,71254,1406.0,63020.0,,,-38772.0,41797.0,-691,66760,0.0,66760,138014,
