Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Prepaid Expenses,Derivative & Hedging Assets,Deferred Tax Assets,Taxes Receivable,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Investments,LT Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Investments in Affiliates,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Deferred Tax Liabilities,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
12/31/2011,22839,1065,1065,0.0,3582,3582,0.0,5499,1688.0,267.0,3544.0,0.0,1289,,0.0,20.0,,1289.0,11435,7333,8444.0,-1111.0,1631,1627.0,4.0,2440,1762,585.0,1177.0,412,246,11404,,3772,2562,0.0,0.0,1210.0,52,48.0,0.0,0.0,,4.0,1194,0.0,0.0,917.0,852,5018,3980,3980.0,0.0,0.0,,3194,0.0,540.0,1737,7174.0,12192.0,0.0,10303.0,31.0,10272.0,-124.0,841.0,-427.0,10593,54.0,10647,22839.0,
03/31/2012,23609,1670,1670,0.0,3973,3973,0.0,5208,1631.0,271.0,3306.0,0.0,1247,,,,,1244.0,12098,7426,8757.0,-1331.0,1681,1677.0,4.0,2404,1744,595.0,1149.0,415,245,11511,,3683,2638,,,1045.0,42,0.0,,,,42.0,1221,,,1035.0,907,4946,3984,3984.0,,,,3316,,,2281,7300.0,12246.0,0.0,10350.0,31.0,10319.0,-120.0,1298.0,-218.0,11310,53.0,11363,23609.0,
06/30/2012,23545,1950,1950,0.0,3667,3667,0.0,5759,1924.0,283.0,3552.0,0.0,990,,,,,961.0,12366,7237,8726.0,-1489.0,1591,1591.0,,2351,1679,576.0,1103.0,411,261,11179,,3034,2169,,,865.0,48,0.0,,,,48.0,1162,,,1245.0,835,4244,4305,4305.0,,,,3453,,,2208,7758.0,12002.0,0.0,10354.0,31.0,10323.0,-111.0,1838.0,-589.0,11492,51.0,11543,23545.0,
09/30/2012,25104,3527,3527,0.0,3814,3814,0.0,5234,1739.0,300.0,3195.0,0.0,820,,,,,815.0,13395,7412,9110.0,-1698.0,1942,1942.0,,2355,1658,585.0,1073.0,405,292,11709,,3671,2496,,,1175.0,47,47.0,,,,,1107,,51.0,1460.0,801,4825,4305,4305.0,,,,3613,,,2102,7918.0,12743.0,0.0,10359.0,31.0,10328.0,-100.0,2454.0,-401.0,12312,49.0,12361,25104.0,
12/31/2012,24220,2732,2732,0.0,3720,3720,,5075,1615.0,266.0,3194.0,0.0,759,,,44.0,,740.0,12286,7696,9626.0,-1930.0,1966,1966.0,,2272,1629,591.0,1038.0,397,202,11934,,3589,2440,,,1149.0,96,95.0,0.0,0.0,,1.0,1411,,,1314.0,845,5096,4304,4304.0,0.0,0.0,,3641,,458.0,1869,7945.0,13041.0,,10382.0,31.0,10351.0,-106.0,1274.0,-411.0,11139,40.0,11179,24220.0,
03/31/2013,24677,2879,2879,0.0,3685,3685,,5270,1756.0,272.0,3242.0,0.0,821,,,,,813.0,12655,7779,9866.0,-2087.0,2028,2028.0,,2215,1581,582.0,999.0,401,233,12022,,3670,2481,,,1189.0,116,115.0,,,,1.0,1321,,,1277.0,736,5107,4307,4307.0,,,,3583,,,2306,7890.0,12997.0,0.0,10398.0,31.0,10367.0,-104.0,1946.0,-599.0,11641,39.0,11680,24677.0,
06/30/2013,25048,3233,3233,0.0,3787,3787,0.0,5197,1764.0,265.0,3168.0,0.0,815,,,,,782.0,13032,7979,10268.0,-2289.0,1853,1853.0,,2184,1554,588.0,966.0,409,221,12016,,3552,2531,,,1021.0,115,114.0,,,,1.0,1369,,,1312.0,793,5036,4306,4306.0,,,,3637,,,2325,7943.0,12979.0,0.0,10401.0,31.0,10370.0,-451.0,2587.0,-505.0,12032,37.0,12069,25048.0,
09/30/2013,26811,4414,4414,0.0,3766,3766,,5382,1774.0,299.0,3309.0,0.0,1063,,,,,1037.0,14625,8223,10764.0,-2541.0,1779,1779.0,,2184,1532,598.0,934.0,423,229,12186,,4011,2486,,,1525.0,115,114.0,,,,1.0,1252,,,1472.0,755,5378,5774,5774.0,,,,3750,,,2278,9524.0,14902.0,0.0,10411.0,31.0,10380.0,-1398.0,3160.0,-299.0,11874,35.0,11909,26811.0,
12/31/2013,27298,4450,4450,0.0,3828,3828,0.0,5279,1729.0,253.0,3297.0,0.0,1042,,0.0,357.0,,1038.0,14599,8457,11151.0,-2694.0,1693,1693.0,,2549,1509,605.0,904.0,421,262,12699,,4116,2822,0.0,0.0,1294.0,59,58.0,0.0,0.0,,1.0,1335,0.0,0.0,1659.0,750,5510,5776,5776.0,0.0,0.0,,3498,0.0,310.0,1529,9274.0,14784.0,0.0,10413.0,31.0,10382.0,-2035.0,4004.0,96.0,12478,36.0,12514,27298.0,
03/31/2014,27827,4104,2702,1402.0,3893,3893,,5589,1767.0,278.0,3544.0,0.0,1407,,,,,1405.0,14993,8556,11453.0,-2897.0,2117,2117.0,,2161,1475,605.0,870.0,62,624,12834,,4290,2816,,,1474.0,61,58.0,,,,3.0,1369,,,1677.0,826,5720,6766,6766.0,,,,3515,,,1838,10281.0,16001.0,0.0,10416.0,31.0,10385.0,-3345.0,4622.0,98.0,11791,35.0,11826,27827.0,
06/30/2014,26656,3329,2030,1299.0,3993,3993,,5326,1647.0,289.0,3390.0,0.0,1057,,3.0,,,1056.0,13705,8740,11835.0,-3095.0,1760,1760.0,,2451,1440,602.0,838.0,418,590,12951,,4080,2776,,,1304.0,58,55.0,,,,3.0,1490,,,1623.0,914,5628,6766,6766.0,,,,3474,,,1851,10240.0,15868.0,0.0,10410.0,31.0,10379.0,-5130.0,5430.0,43.0,10753,35.0,10788,26656.0,
09/30/2014,25631,2729,1185,1544.0,3898,3898,,5359,1727.0,349.0,3283.0,0.0,946,,,,,940.0,12932,8600,11784.0,-3184.0,1744,1744.0,,2355,1375,576.0,799.0,397,583,12699,,4067,2611,,,1456.0,58,56.0,,,,2.0,1509,,,1574.0,820,5634,6753,6753.0,,,,3369,,,1795,10122.0,15756.0,0.0,10416.0,31.0,10385.0,-6393.0,6330.0,-510.0,9843,32.0,9875,25631.0,
12/31/2014,24221,2624,1031,1593.0,3226,3226,0.0,4517,1294.0,212.0,3011.0,0.0,1278,,40.0,271.0,,1195.0,11645,8758,12050.0,-3292.0,1680,1680.0,,2138,1335,566.0,769.0,384,108,12576,,3779,2239,0.0,0.0,1540.0,350,346.0,0.0,0.0,,4.0,1308,0.0,0.0,1623.0,825,5437,6695,6695.0,0.0,0.0,,3745,0.0,941.0,1181,10440.0,15877.0,0.0,10418.0,31.0,10387.0,-7853.0,6775.0,-1026.0,8314,30.0,8344,24221.0,
03/31/2015,24006,3094,1616,1478.0,2903,2903,0.0,4267,1275.0,192.0,2800.0,0.0,1383,,327.0,,,1341.0,11647,8430,11769.0,-3339.0,1954,1954.0,,1975,1228,533.0,695.0,38,382,12359,,3424,1986,,,1438.0,518,514.0,,,,4.0,1118,0.0,38.0,1653.0,645,5060,7749,7749.0,,,,3691,,,2000,11440.0,16500.0,0.0,10292.0,31.0,10261.0,-8855.0,7607.0,-1566.0,7478,28.0,7506,24006.0,
06/30/2015,24605,3314,1325,1989.0,3179,3179,,4179,1268.0,167.0,2744.0,0.0,1318,,313.0,,,1272.0,11990,8636,12236.0,-3600.0,1738,1738.0,,2241,1214,543.0,671.0,357,357,12615,,3459,2031,,,1428.0,585,582.0,,,,3.0,1185,,13.0,1635.0,724,5229,7728,7728.0,,,,3698,,,2050,11426.0,16655.0,0.0,10263.0,31.0,10232.0,-9598.0,8569.0,-1307.0,7927,23.0,7950,24605.0,
09/30/2015,23935,3076,1474,1602.0,2724,2724,0.0,4138,1321.0,168.0,2649.0,0.0,1260,,307.0,,,1214.0,11198,8793,12602.0,-3809.0,1727,1727.0,,2217,1187,543.0,644.0,357,366,12737,,3555,1797,,,1758.0,576,573.0,,,,3.0,1062,,,1604.0,653,5193,7742,7742.0,,,,3648,,,2044,11390.0,16583.0,0.0,10234.0,31.0,10203.0,-10918.0,9393.0,-1381.0,7328,24.0,7352,23935.0,
12/31/2015,22757,1988,924,1064.0,2363,2363,0.0,4051,1235.0,148.0,2668.0,0.0,1387,87.0,326.0,205.0,,1262.0,9789,8991,12910.0,-3919.0,1730,1730.0,,2247,1176,536.0,640.0,397,143,12968,,3247,1627,319.0,132.0,1169.0,357,353.0,0.0,0.0,,4.0,745,0.0,23.0,2127.0,636,4349,7671,7671.0,0.0,0.0,,4163,0.0,863.0,1150,11834.0,16183.0,0.0,10233.0,31.0,10202.0,-12086.0,9841.0,-1438.0,6550,24.0,6574,22757.0,
03/31/2016,23572,2650,1318,1332.0,2508,2508,0.0,3978,1087.0,138.0,2753.0,0.0,1188,,238.0,,,1148.0,10324,9373,13558.0,-4185.0,1752,1752.0,,2123,1166,548.0,618.0,398,321,13248,,3242,1673,,,1569.0,598,594.0,,,,4.0,601,,114.0,2134.0,570,4441,8504,8504.0,,,,4259,,,2011,12763.0,17204.0,0.0,10223.0,31.0,10192.0,-13017.0,10535.0,-1397.0,6344,24.0,6368,23572.0,
06/30/2016,23435,2083,1060,1023.0,2633,2633,0.0,4009,1122.0,158.0,2729.0,0.0,1258,,307.0,,,1231.0,9983,9681,14047.0,-4366.0,1628,1628.0,,2143,1130,542.0,588.0,390,316,13452,,3237,1895,,,1342.0,620,616.0,,,,4.0,494,,168.0,2149.0,462,4351,8485,8485.0,,,,4292,,,1975,12777.0,17128.0,0.0,10223.0,31.0,10192.0,-13732.0,11264.0,-1472.0,6283,24.0,6307,23435.0,
09/30/2016,23419,1830,740,1090.0,2702,2702,0.0,4015,1124.0,166.0,2725.0,0.0,1006,,248.0,,,975.0,9553,10057,14563.0,-4506.0,1698,1698.0,,2111,1105,543.0,562.0,399,359,13866,,3193,1884,,,1309.0,624,621.0,,,,3.0,493,,197.0,2387.0,445,4310,8464,8464.0,,,,4538,,,1954,13002.0,17312.0,0.0,10226.0,31.0,10195.0,-14517.0,11865.0,-1492.0,6082,25.0,6107,23419.0,
12/31/2016,23442,2022,875,1147.0,2716,2716,0.0,3809,1080.0,154.0,2575.0,0.0,1052,65.0,296.0,192.0,,945.0,9599,10137,14635.0,-4498.0,1595,1595.0,,2111,1078,528.0,550.0,415,130,13843,,3287,2028,311.0,142.0,806.0,596,594.0,0.0,0.0,,2.0,657,0.0,42.0,2331.0,604,4540,8385,8385.0,0.0,0.0,,4444,0.0,937.0,1134,12829.0,17369.0,0.0,10222.0,31.0,10191.0,-14945.0,12282.0,-1511.0,6048,25.0,6073,23442.0,
03/31/2017,23768,1661,485,1176.0,3117,3117,0.0,3875,1152.0,207.0,2516.0,0.0,1028,,276.0,,,990.0,9681,10361,15118.0,-4757.0,1692,1692.0,,2034,1048,531.0,517.0,409,301,14087,,3216,2083,,,1133.0,613,611.0,,,,2.0,550,,36.0,2353.0,544,4379,8419,8419.0,,,,4483,,,2094,12902.0,17281.0,0.0,10226.0,31.0,10195.0,-15062.0,12736.0,-1438.0,6462,25.0,6487,23768.0,
06/30/2017,24118,2012,734,1278.0,2904,2904,0.0,4007,1161.0,180.0,2666.0,0.0,1152,,166.0,,,1127.0,10075,10551,15548.0,-4997.0,1613,1613.0,,1879,1058,559.0,499.0,423,232,14043,,2994,1792,,,1202.0,563,561.0,,,,2.0,574,,135.0,2370.0,525,4131,8496,8496.0,,,,4623,,,2118,13119.0,17250.0,0.0,10229.0,31.0,10198.0,-15494.0,13506.0,-1375.0,6866,2.0,6868,24118.0,
09/30/2017,25243,2499,1204,1295.0,3097,3097,0.0,4177,1284.0,188.0,2705.0,0.0,1289,,121.0,,,1104.0,11062,10737,16039.0,-5302.0,1663,1663.0,,1781,1050,570.0,480.0,428,182,14181,,2581,2138,,,443.0,384,381.0,,,,3.0,1647,,190.0,2447.0,597,4612,8531,8531.0,,,,4773,,,2136,13304.0,17916.0,0.0,10232.0,31.0,10201.0,-15754.0,14207.0,-1359.0,7326,1.0,7327,25243.0,
12/31/2017,26206,2830,1523,1307.0,3359,3359,0.0,4217,1143.0,142.0,2932.0,0.0,1332,60.0,26.0,90.0,29.0,1177.0,11738,10997,16570.0,-5573.0,1652,1652.0,,1819,1138,570.0,568.0,420,145,14468,,3688,2258,386.0,151.0,893.0,70,68.0,0.0,0.0,,2.0,1019,0.0,225.0,1655.0,853,4777,8549,8549.0,0.0,0.0,,3930,0.0,323.0,1727,12479.0,17256.0,0.0,10237.0,31.0,10206.0,-15749.0,15746.0,-1285.0,8949,1.0,8950,26206.0,
03/31/2018,26896,2882,1840,1042.0,3642,3642,0.0,4257,1218.0,190.0,2849.0,0.0,1287,,13.0,,,1200.0,12068,11249,17057.0,-5808.0,1789,1789.0,,1790,1145,578.0,567.0,424,208,14828,,3808,2379,,,1429.0,82,77.0,,,,5.0,708,,304.0,1688.0,631,4598,8531,8531.0,,,,4038,,,2046,12569.0,17167.0,0.0,10217.0,31.0,10186.0,-15865.0,16677.0,-1301.0,9728,1.0,9729,26896.0,
06/30/2018,27023,3317,2384,933.0,3699,3699,0.0,4096,1208.0,164.0,2724.0,0.0,1237,,56.0,,,1156.0,12349,11310,17164.0,-5854.0,1621,1621.0,,1743,1090,562.0,528.0,429,168,14674,,3752,2489,,,1263.0,1050,76.0,,,,974.0,649,,175.0,1674.0,606,5451,7490,7490.0,,,,3479,,,1630,10969.0,16420.0,0.0,10221.0,31.0,10190.0,-16200.0,17939.0,-1358.0,10602,1.0,10603,27023.0,
09/30/2018,28696,1465,521,944.0,3883,3883,0.0,4596,1356.0,184.0,3056.0,0.0,1439,,83.0,,,1269.0,11383,12022,18116.0,-6094.0,1708,1708.0,,3583,2801,1819.0,982.0,440,259,17313,,4369,2928,,,1441.0,1198,214.0,,,,984.0,675,,187.0,1774.0,627,6242,7471,7471.0,,,,3791,,,1830,11262.0,17504.0,0.0,7055.0,22.0,7033.0,-1155.0,6453.0,-1309.0,11044,148.0,11192,28696.0,
12/31/2018,28278,1224,332,892.0,3355,3355,0.0,4515,1311.0,138.0,3066.0,0.0,1472,82.0,118.0,31.0,169.0,1141.0,10566,12477,18701.0,-6224.0,1634,1634.0,,3601,2779,1814.0,965.0,469,204,17712,,3760,2560,16.0,154.0,1030.0,890,885.0,0.0,0.0,,5.0,863,0.0,120.0,1975.0,780,5513,8497,8497.0,0.0,0.0,0.0,3872,0.0,1004.0,773,12369.0,17882.0,0.0,7063.0,22.0,7041.0,-2206.0,6763.0,-1363.0,10257,139.0,10396,28278.0,
03/31/2019,29889,762,339,423.0,3508,3508,0.0,4496,1271.0,215.0,3010.0,0.0,1520,,172.0,,,1428.0,10286,14331,20778.0,-6447.0,1673,1673.0,,3599,2748,1803.0,945.0,464,215,19603,,3694,2610,,,1084.0,2655,2377.0,273.0,,273.0,5.0,663,,105.0,1967.0,577,7012,8804,7522.0,1282.0,,1282.0,3797,,,1725,12601.0,19613.0,0.0,7018.0,22.0,6996.0,-2668.0,7206.0,-1418.0,10138,138.0,10276,29889.0,
06/30/2019,31171,1331,1279,52.0,3576,3576,0.0,4685,1352.0,193.0,3140.0,0.0,1496,,205.0,,,1444.0,11088,14845,21549.0,-6704.0,1623,1623.0,,3615,2740,1848.0,892.0,489,181,20083,,4029,2584,,,1445.0,3094,2812.0,278.0,,278.0,4.0,415,,135.0,2008.0,253,7538,8890,7586.0,1304.0,,1304.0,3884,,,1741,12774.0,20312.0,0.0,7028.0,22.0,7006.0,-2663.0,7818.0,-1462.0,10721,138.0,10859,31171.0,
09/30/2019,30114,529,476,53.0,3331,3331,0.0,4446,1261.0,177.0,3008.0,0.0,1324,,323.0,,,1242.0,9630,15179,22038.0,-6859.0,1633,1633.0,,3672,2689,1848.0,841.0,486,174,20484,,3875,2687,,,1188.0,2716,2438.0,274.0,,274.0,4.0,797,,145.0,2018.0,514,7388,10885,9628.0,1257.0,,1257.0,3819,,,1656,14704.0,22092.0,0.0,7039.0,22.0,7017.0,-5898.0,8430.0,-1683.0,7888,134.0,8022,30114.0,
12/31/2019,30435,1054,858,196.0,2981,2981,0.0,4588,1375.0,130.0,3083.0,0.0,887,80.0,255.0,38.0,175.0,578.0,9510,15598,22728.0,-7130.0,1624,1624.0,,3703,2760,1891.0,869.0,504,146,20925,,3599,2516,66.0,161.0,856.0,721,445.0,273.0,0.0,273.0,3.0,878,0.0,130.0,2015.0,673,5198,12830,11614.0,1216.0,0.0,1216.0,4228,0.0,1281.0,802,17058.0,22256.0,0.0,5973.0,19.0,5954.0,-580.0,4435.0,-1784.0,8044,135.0,8179,30435.0,
03/31/2020,31100,1795,1596,199.0,2885,2885,0.0,3973,1158.0,124.0,2691.0,0.0,1039,,351.0,,,805.0,9692,15840,23117.0,-7277.0,1561,1561.0,,4007,2608,1800.0,808.0,497,551,21408,,2817,2217,,,600.0,1496,1493.0,,,,3.0,1208,,90.0,1961.0,421,5521,13351,12159.0,1192.0,,1192.0,4769,,,2718,18120.0,23641.0,0.0,5969.0,19.0,5950.0,-559.0,4227.0,-2313.0,7324,135.0,7459,31100.0,
06/30/2020,31541,3203,2552,651.0,2454,2454,0.0,3768,1261.0,139.0,2368.0,0.0,1052,,15.0,,,970.0,10477,15951,23444.0,-7493.0,1582,1582.0,,3531,2586,1830.0,756.0,523,407,21064,,2588,1790,,,798.0,662,659.0,,,,3.0,1185,,126.0,1811.0,404,4435,14834,13674.0,1160.0,,1160.0,4779,,,2842,19613.0,24048.0,0.0,5977.0,19.0,5958.0,-548.0,4188.0,-2259.0,7358,135.0,7493,31541.0,
