Date,Revenue,Sales & Services Revenue,Other Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Selling & Marketing,General & Administrative,Research & Development,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Current Income Tax,Deferred Income Tax,Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
09/30/2012,1262.0,1086.0,176.0,-322.0,322.0,940.0,0.0,-563.0,319.0,168.0,151.0,244.0,0.0,377.0,-5.0,,11.0,-6.0,372.0,-431.0,,,-59.0,0.0,0.0,0.0,-59.0,0.0,-59.0,0.0,0.0,-59.0,-59.0,0.0,2420.0,-0.02,-0.02,-0.02,2420.0,-0.02,-0.02,-0.02,
12/31/2012,1585.0,1329.0,256.0,-398.0,398.0,1187.0,0.0,-664.0,367.0,193.0,174.0,297.0,0.0,523.0,-18.0,,16.0,2.0,505.0,-441.0,441.0,,64.0,0.0,0.0,0.0,64.0,0.0,64.0,0.0,0.0,64.0,64.0,0.0,2368.0,0.03,0.03,0.03,2506.0,0.03,0.03,0.03,
03/31/2013,1458.0,1245.0,213.0,-413.0,413.0,1045.0,0.0,-672.0,379.0,203.0,176.0,293.0,0.0,373.0,-20.0,,,20.0,353.0,-134.0,134.0,0.0,219.0,0.0,0.0,0.0,219.0,-2.0,217.0,0.0,0.0,217.0,217.0,0.0,2386.0,0.09,0.09,0.09,2499.0,0.09,0.09,0.09,
06/30/2013,1813.0,1599.0,214.0,-465.0,465.0,1348.0,0.0,-786.0,442.0,269.0,173.0,344.0,0.0,562.0,-17.0,,,17.0,545.0,-212.0,212.0,0.0,333.0,0.0,0.0,0.0,333.0,-2.0,331.0,0.0,0.0,331.0,331.0,0.0,2407.0,0.14,0.14,0.14,2502.0,0.13,0.13,0.13,
09/30/2013,2016.0,1798.0,218.0,-507.0,507.0,1509.0,0.0,-773.0,404.0,233.0,171.0,369.0,0.0,736.0,-10.0,,,10.0,726.0,-301.0,301.0,,425.0,0.0,0.0,0.0,425.0,-3.0,422.0,0.0,0.0,422.0,422.0,0.0,2430.0,0.17,0.17,0.17,2528.0,0.17,0.17,0.17,
12/31/2013,2585.0,2344.0,241.0,-491.0,491.0,2094.0,0.0,-961.0,553.0,292.0,261.0,408.0,0.0,1133.0,-3.0,,7.0,-4.0,1130.0,-607.0,,,523.0,0.0,0.0,0.0,523.0,-3.0,520.0,0.0,0.0,520.0,520.0,0.0,2458.0,0.21,0.21,0.21,2558.0,0.2,0.2,0.2,
03/31/2014,2502.0,2265.0,237.0,-462.0,462.0,2040.0,0.0,-965.0,510.0,323.0,187.0,455.0,0.0,1075.0,0.0,,,0.0,1075.0,-433.0,,,642.0,0.0,0.0,0.0,642.0,-3.0,639.0,0.0,0.0,639.0,639.0,0.0,2545.0,0.25,0.25,0.25,2609.0,0.25,0.25,0.25,
06/30/2014,2910.0,2676.0,234.0,-473.0,473.0,2437.0,0.0,-1047.0,555.0,358.0,197.0,492.0,0.0,1390.0,-4.0,,,4.0,1386.0,-595.0,,,791.0,0.0,0.0,0.0,791.0,-3.0,788.0,0.0,0.0,788.0,788.0,0.0,2560.0,0.31,0.31,0.31,2615.0,0.3,0.3,0.3,
09/30/2014,3203.0,2957.0,246.0,-565.0,565.0,2638.0,0.0,-1241.0,633.0,374.0,259.0,608.0,0.0,1397.0,-61.0,,,61.0,1336.0,-530.0,,,806.0,0.0,0.0,0.0,806.0,-4.0,802.0,0.0,0.0,802.0,802.0,0.0,2587.0,0.31,0.31,0.31,2644.0,0.3,0.3,0.3,
12/31/2014,3851.0,3594.0,257.0,-653.0,653.0,3198.0,0.0,-2065.0,954.0,624.0,330.0,1111.0,0.0,1133.0,-19.0,,,19.0,1114.0,-413.0,413.0,,701.0,0.0,0.0,0.0,701.0,-5.0,696.0,0.0,0.0,696.0,696.0,0.0,2761.0,0.25,0.25,0.25,2816.0,0.25,0.25,0.25,
03/31/2015,3543.0,3317.0,226.0,-654.0,654.0,2889.0,0.0,-1956.0,894.0,620.0,274.0,1062.0,0.0,933.0,-1.0,-2.0,,3.0,932.0,-420.0,,,512.0,0.0,0.0,0.0,512.0,-3.0,509.0,0.0,0.0,509.0,509.0,0.0,2784.0,0.18,0.18,0.18,2836.0,0.18,0.18,0.18,
06/30/2015,4042.0,3827.0,215.0,-668.0,668.0,3374.0,0.0,-2101.0,931.0,626.0,305.0,1170.0,0.0,1273.0,0.0,-5.0,,5.0,1273.0,-554.0,,,719.0,0.0,0.0,0.0,719.0,-4.0,715.0,0.0,0.0,715.0,715.0,0.0,2796.0,0.26,0.26,0.26,2850.0,0.25,0.25,0.25,
09/30/2015,4501.0,4299.0,202.0,-720.0,720.0,3781.0,0.0,-2322.0,1051.0,706.0,345.0,1271.0,0.0,1459.0,-27.0,,,27.0,1432.0,-536.0,,,896.0,0.0,0.0,0.0,896.0,-5.0,891.0,0.0,0.0,891.0,891.0,0.0,2808.0,0.32,0.32,0.32,2863.0,0.31,0.31,0.31,
12/31/2015,5841.0,5637.0,204.0,-824.0,824.0,5017.0,0.0,-2457.0,1143.0,772.0,371.0,1314.0,0.0,2560.0,-3.0,,,3.0,2557.0,-995.0,,,1562.0,0.0,0.0,0.0,1562.0,-7.0,1555.0,0.0,0.0,1555.0,1555.0,0.0,2825.0,0.55,0.55,0.55,2878.0,0.54,0.54,0.54,
03/31/2016,5382.0,5201.0,181.0,-838.0,838.0,4544.0,0.0,-2534.0,1191.0,826.0,365.0,1343.0,0.0,2010.0,56.0,-27.0,,-29.0,2066.0,-328.0,,,1738.0,0.0,0.0,0.0,1738.0,-6.0,1732.0,0.0,0.0,1732.0,1732.0,0.0,2843.0,0.61,0.61,0.61,2905.0,0.6,0.6,0.6,
06/30/2016,6436.0,6239.0,197.0,-917.0,917.0,5519.0,0.0,-2785.0,1314.0,901.0,413.0,1471.0,0.0,2734.0,20.0,-32.0,,12.0,2754.0,-471.0,,,2283.0,0.0,0.0,0.0,2283.0,-7.0,2276.0,0.0,0.0,2276.0,2276.0,0.0,2856.0,0.8,0.8,0.8,2921.0,0.78,0.78,0.78,
09/30/2016,7011.0,6816.0,195.0,-987.0,987.0,6024.0,0.0,-2907.0,1365.0,926.0,439.0,1542.0,0.0,3117.0,47.0,-50.0,,3.0,3164.0,-537.0,,,2627.0,0.0,0.0,0.0,2627.0,-7.0,2620.0,0.0,0.0,2620.0,2620.0,0.0,2871.0,0.91,0.91,0.91,2931.0,0.9,0.9,0.9,
12/31/2016,8809.0,8629.0,180.0,-1047.0,1047.0,7762.0,0.0,-3196.0,1633.0,1118.0,515.0,1563.0,0.0,4566.0,-33.0,-56.0,,89.0,4533.0,-965.0,,,3568.0,0.0,0.0,0.0,3568.0,-7.0,3561.0,0.0,0.0,3561.0,3561.0,0.0,2882.0,1.24,1.24,1.24,2938.0,1.21,1.21,1.21,
03/31/2017,8032.0,7857.0,175.0,-1159.0,1159.0,6873.0,0.0,-3546.0,1712.0,1057.0,655.0,1834.0,0.0,3327.0,81.0,-67.0,,-14.0,3408.0,-344.0,,,3064.0,0.0,0.0,0.0,3064.0,-5.0,3059.0,0.0,0.0,3059.0,3059.0,0.0,2891.0,1.06,1.06,1.06,2944.0,1.04,1.04,1.04,
06/30/2017,9321.0,9164.0,157.0,-1237.0,1237.0,8084.0,0.0,-3683.0,1764.0,1124.0,640.0,1919.0,0.0,4401.0,87.0,-91.0,,4.0,4488.0,-594.0,,,3894.0,0.0,0.0,0.0,3894.0,-4.0,3890.0,0.0,0.0,3890.0,3890.0,0.0,2900.0,1.34,1.34,1.34,2951.0,1.32,1.32,1.32,
09/30/2017,10328.0,10142.0,186.0,-1448.0,1448.0,8880.0,0.0,-3758.0,1706.0,1170.0,536.0,2052.0,0.0,5122.0,114.0,-108.0,,-6.0,5236.0,-529.0,,,4707.0,0.0,0.0,0.0,4707.0,-3.0,4704.0,0.0,0.0,4704.0,4704.0,0.0,2904.0,1.62,1.62,1.62,2956.0,1.59,1.59,1.59,
12/31/2017,12972.0,12779.0,193.0,-1611.0,1611.0,11361.0,0.0,-4009.0,2060.0,1374.0,686.0,1949.0,0.0,7352.0,110.0,-126.0,,16.0,7462.0,-3194.0,,,4268.0,0.0,0.0,0.0,4268.0,-2.0,4266.0,0.0,0.0,4266.0,6536.0,2270.0,2907.0,1.47,1.47,2.248366,2954.0,1.44,1.44,2.20845,
03/31/2018,11966.0,11795.0,171.0,-1927.0,1927.0,10039.0,0.0,-4590.0,2352.0,1595.0,757.0,2238.0,0.0,5449.0,161.0,-145.0,,-16.0,5610.0,-622.0,,,4988.0,0.0,0.0,0.0,4988.0,-1.0,4987.0,0.0,0.0,4987.0,4987.0,0.0,2906.0,1.72,1.72,1.72,2945.0,1.69,1.69,1.69,
06/30/2018,13231.0,13038.0,193.0,-2214.0,2214.0,11017.0,0.0,-5154.0,2631.0,1855.0,776.0,2523.0,0.0,5863.0,5.0,-143.0,,138.0,5868.0,-762.0,,,5106.0,0.0,0.0,0.0,5106.0,0.0,5106.0,0.0,0.0,5106.0,5106.0,0.0,2895.0,1.76,1.76,1.76,2930.0,1.74,1.74,1.74,
09/30/2018,13727.0,13539.0,188.0,-2418.0,2418.0,11309.0,0.0,-5528.0,2871.0,1928.0,943.0,2657.0,0.0,5781.0,131.0,-176.0,,45.0,5912.0,-775.0,,,5137.0,0.0,0.0,0.0,5137.0,0.0,5137.0,0.0,0.0,5137.0,5137.0,0.0,2885.0,1.78,1.78,1.78,2913.0,1.76,1.76,1.76,
12/31/2018,16914.0,16640.0,274.0,-2796.0,2796.0,14118.0,0.0,-6298.0,3443.0,2467.0,976.0,2855.0,0.0,7820.0,151.0,-187.0,,36.0,7971.0,-1089.0,,,6882.0,0.0,0.0,0.0,6882.0,0.0,6882.0,0.0,0.0,6882.0,6882.0,0.0,2872.0,2.4,2.4,2.4,2886.0,2.38,2.38,2.38,
03/31/2019,15077.0,14912.0,165.0,-2816.0,2816.0,12261.0,0.0,-8944.0,6084.0,2020.0,4064.0,2860.0,0.0,3317.0,165.0,-198.0,,33.0,3482.0,-1053.0,,,2429.0,0.0,0.0,0.0,2429.0,0.0,2429.0,0.0,0.0,2429.0,4799.0,2370.0,2856.0,0.85,0.85,1.680322,2869.0,0.85,0.85,1.676072,
06/30/2019,16886.0,16624.0,262.0,-3307.0,3307.0,13579.0,0.0,-8953.0,5638.0,2414.0,3224.0,3315.0,0.0,4626.0,206.0,-219.0,,13.0,4832.0,-2216.0,,,2616.0,0.0,0.0,0.0,2616.0,0.0,2616.0,0.0,0.0,2616.0,5296.0,2680.0,2855.0,0.92,0.92,1.854991,2875.0,0.91,0.91,1.842174,
09/30/2019,17652.0,17383.0,269.0,-3155.0,3155.0,14497.0,0.0,-7312.0,3764.0,2416.0,1348.0,3548.0,0.0,7185.0,144.0,-258.0,,114.0,7329.0,-1238.0,,,6091.0,0.0,0.0,0.0,6091.0,0.0,6091.0,0.0,0.0,6091.0,6091.0,0.0,2854.0,2.13,2.13,2.13,2874.0,2.12,2.12,2.12,
12/31/2019,21082.0,20736.0,346.0,-3492.0,3492.0,17590.0,0.0,-8732.0,4855.0,3026.0,1829.0,3877.0,0.0,8858.0,311.0,-229.0,,-82.0,9169.0,-1820.0,,,7349.0,0.0,0.0,0.0,7349.0,0.0,7349.0,0.0,0.0,7349.0,7349.0,0.0,2853.0,2.58,2.58,2.58,2871.0,2.56,2.56,2.56,
03/31/2020,17737.0,17440.0,297.0,-3459.0,3459.0,14278.0,0.0,-8385.0,4370.0,2787.0,1583.0,4015.0,0.0,5893.0,-32.0,-228.0,,260.0,5861.0,-959.0,,,4902.0,0.0,0.0,0.0,4902.0,0.0,4902.0,0.0,0.0,4902.0,4902.0,0.0,2851.0,1.72,1.72,1.72,2868.0,1.71,1.71,1.71,
06/30/2020,18687.0,18321.0,366.0,-3829.0,3829.0,14858.0,0.0,-8895.0,4433.0,2840.0,1593.0,4462.0,0.0,5963.0,168.0,-162.0,,-6.0,6131.0,-953.0,,,5178.0,0.0,0.0,0.0,5178.0,0.0,5178.0,0.0,0.0,5178.0,5178.0,0.0,2850.0,1.82,1.82,1.82,2879.0,1.8,1.8,1.8,
09/30/2020,19688.351,,,,,15824.70899976,,,,,,,,6380.939,,,,,6517.633,,,,5461.424,,,,,,5461.424,,,5461.424,6352.8,,,1.896,1.896,2.266,,1.896,1.896,2.266,
12/31/2020,24073.861,,,,,19676.77028835,,,,,,,,8940.438,,,,,9152.567,,,,7623.094,,,,,,7623.094,,,7623.094,8529.222,,,2.651,2.651,2.955,,2.651,2.651,2.955,
