Date,Revenue,Sales & Services Revenue,Other Revenue,Cost of Revenue,Cost of Goods & Services,Depreciation & Amortization,Gross Profit,Other Operating Income,Operating Expenses,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,(Income) Loss from Affiliates,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
09/30/2009,933.0,895.0,38.0,-581.0,432.0,149.0,352.0,0.0,1.0,-1.0,353.0,-88.0,,160.0,,,-60.0,-12.0,265,-54.0,211,-1.0,-1.0,0.0,212.0,-21.0,191,,0.0,191,192.6,2.6,646.0,0.3,0.3,0.298142,647.0,0.3,0.3,0.298142,
12/31/2009,1298.0,1257.0,41.0,-918.0,763.0,155.0,380.0,0.0,0.0,0.0,380.0,-50.0,,154.0,,,-102.0,-2.0,330,-92.0,238,-2.0,-2.0,0.0,240.0,-20.0,220,,0.0,220,266.1,48.1,647.0,0.34,0.33,0.411283,650.0,0.34,0.33,0.404,
03/31/2010,1480.0,1440.0,40.0,-988.0,827.0,161.0,492.0,0.0,0.0,0.0,492.0,-33.0,,159.0,,,-122.0,-4.0,459,-97.0,362,-16.0,-16.0,0.0,378.0,-20.0,358,,0.0,358,342.0,0.0,648.0,0.55,0.53,0.53,649.0,0.55,0.53,0.53,
06/30/2010,1063.0,1017.0,46.0,-721.0,565.0,156.0,342.0,0.0,0.0,0.0,342.0,-75.0,,158.0,,,-77.0,-6.0,267,-76.0,191,0.0,0.0,0.0,191.0,-17.0,174,,0.0,174,174.0,0.0,648.0,0.27,0.27,0.27,650.0,0.27,0.27,0.27,
09/30/2010,1019.0,982.0,37.0,-678.0,513.0,165.0,341.0,0.0,0.0,0.0,341.0,-54.0,,159.0,,,-98.0,-7.0,287,-69.0,218,-1.0,-1.0,0.0,219.0,-22.0,197,,0.0,197,187.35,-8.65,648.0,0.3,0.3,0.28912,650.0,0.3,0.3,0.286692,
12/31/2010,1383.0,1340.0,43.0,-894.0,726.0,168.0,489.0,0.0,10.0,-10.0,499.0,-6.0,,154.0,,,-133.0,-15.0,493,-141.0,352,11.0,11.0,0.0,341.0,-21.0,320,,0.0,320,296.5,-34.5,648.0,0.49,0.510802,0.457562,650.0,0.49,0.506923,0.453846,
03/31/2011,1612.0,1575.0,37.0,-1059.0,884.0,175.0,553.0,0.0,4.0,-4.0,557.0,-43.0,,155.0,,,-106.0,-6.0,514,-139.0,375,-7.0,-7.0,0.0,382.0,-25.0,357,,0.0,357,347.4,-2.6,649.0,0.55,0.54,0.535285,651.0,0.55,0.54,0.535285,
06/30/2011,1188.0,1152.0,36.0,-786.0,609.0,177.0,402.0,0.0,0.0,0.0,402.0,21.0,,159.0,,,-162.0,-18.0,423,-125.0,298,-9.0,-9.0,0.0,307.0,-23.0,284,,0.0,284,275.0,0.0,650.0,0.44,0.42,0.42,652.0,0.44,0.42,0.42,
09/30/2011,1123.0,1085.0,38.0,-765.0,583.0,182.0,358.0,0.0,3.0,-3.0,361.0,21.0,,157.0,,,-160.0,-18.0,382,-108.0,274,-7.0,-7.0,0.0,281.0,-27.0,254,,0.0,254,245.05,-1.95,650.0,0.39,0.38,0.377,652.0,0.39,0.38,0.377,
12/31/2011,1428.0,1372.0,56.0,-986.0,811.0,175.0,442.0,0.0,1.0,-1.0,443.0,-18.0,,154.0,,,-121.0,-15.0,425,-115.0,310,-2.0,-2.0,0.0,312.0,-23.0,289,,0.0,289,286.35,-0.65,651.0,0.44,0.44,0.439862,653.0,0.44,0.44,0.439005,
03/31/2012,1544.0,1485.0,59.0,-1026.0,842.0,184.0,518.0,0.0,1.0,-1.0,519.0,-23.0,,157.0,,,-118.0,-16.0,496,-137.0,359,-2.0,-2.0,0.0,361.0,-28.0,333,,0.0,333,330.35,-0.65,652.0,0.51,0.51,0.506672,655.0,0.51,0.51,0.506672,
06/30/2012,1112.0,1080.0,32.0,-746.0,561.0,185.0,366.0,0.0,1.0,-1.0,367.0,-46.0,,155.0,,,-91.0,-18.0,321,-80.0,241,0.0,0.0,0.0,241.0,-26.0,215,,0.0,215,214.35,-0.65,653.0,0.33,0.33,0.328254,655.0,0.33,0.33,0.328254,
09/30/2012,1072.0,1045.0,27.0,-744.0,556.0,188.0,328.0,0.0,0.0,0.0,328.0,-52.0,,159.0,,,-88.0,-19.0,276,-72.0,204,0.0,0.0,0.0,204.0,-25.0,179,,0.0,179,179.0,0.0,653.0,0.27,0.27,0.27,655.0,0.27,0.27,0.27,
12/31/2012,1347.0,1347.0,,-986.0,797.0,189.0,361.0,0.0,0.0,0.0,361.0,-39.0,,154.0,,,,-115.0,322,-81.0,241,0.0,0.0,0.0,241.0,-28.0,213,,0.0,213,213.0,0.0,656.0,0.32,0.32,0.32,658.0,0.32,0.32,0.32,
03/31/2013,1589.0,1537.0,52.0,-1083.0,897.0,186.0,506.0,0.0,0.0,0.0,506.0,-6.0,,149.0,,,-110.0,-33.0,500,-130.0,370,0.0,0.0,0.0,370.0,-30.0,340,,0.0,340,340.0,0.0,669.0,0.51,0.51,0.51,670.0,0.51,0.51,0.51,
06/30/2013,1220.0,1114.0,106.0,-866.0,670.0,196.0,354.0,0.0,0.0,0.0,354.0,-66.0,,160.0,,,-72.0,-22.0,288,-62.0,226,0.0,0.0,0.0,226.0,-27.0,199,,0.0,199,199.0,0.0,669.0,0.3,0.3,0.3,671.0,0.3,0.3,0.3,
09/30/2013,1144.0,1042.0,102.0,-811.0,616.0,195.0,333.0,0.0,0.0,0.0,333.0,44.0,,167.0,,,-163.0,-48.0,377,-85.0,292,0.0,0.0,0.0,292.0,-29.0,263,,0.0,263,283.0,20.0,670.0,0.39,0.39,0.422388,672.0,0.39,0.39,0.419762,
12/31/2013,1565.0,1452.0,113.0,-1092.0,897.0,195.0,473.0,0.0,0.0,0.0,473.0,-60.0,,181.0,,,-100.0,-21.0,413,-142.0,271,0.0,0.0,0.0,271.0,-35.0,236,,0.0,236,278.0,42.0,670.0,0.35,0.35,0.414925,672.0,0.35,0.35,0.4125,
03/31/2014,1843.0,1700.0,143.0,-1204.0,1004.0,200.0,639.0,0.0,0.0,0.0,639.0,-8.0,,178.0,,,-161.0,-9.0,631,-164.0,467,0.0,0.0,0.0,467.0,-48.0,419,,0.0,419,419.0,0.0,670.0,0.63,0.63,0.63,672.0,0.62,0.62,0.62,
06/30/2014,1253.0,1129.0,124.0,-915.0,716.0,199.0,338.0,0.0,0.0,0.0,338.0,-85.0,,176.0,,,-85.0,-6.0,253,-65.0,188,0.0,0.0,0.0,188.0,-42.0,146,,0.0,146,146.0,0.0,671.0,0.22,0.22,0.22,673.0,0.22,0.22,0.22,
09/30/2014,1207.0,1075.0,132.0,-825.0,624.0,201.0,382.0,0.0,0.0,0.0,382.0,-52.0,,167.0,,,-91.0,-24.0,330,-76.0,254,0.0,0.0,0.0,254.0,-53.0,201,,0.0,201,208.15,7.15,671.0,0.3,0.3,0.310209,673.0,0.3,0.3,0.310209,
12/31/2014,1600.0,1467.0,133.0,-1035.0,839.0,196.0,565.0,0.0,0.0,0.0,565.0,-114.0,,158.0,,5.0,-24.0,-25.0,451,-77.0,374,0.0,0.0,0.0,374.0,-58.0,316,,0.0,316,316.0,0.0,671.0,0.47,0.47,0.47,672.0,0.47,0.47,0.47,
03/31/2015,1623.0,1515.0,108.0,-1082.0,889.0,193.0,541.0,0.0,0.0,0.0,541.0,-115.0,,159.0,,,-24.0,-20.0,426,-101.0,325,0.0,0.0,0.0,325.0,-58.0,267,0.0,0.0,267,274.8,7.8,671.0,0.4,0.4,0.409538,673.0,0.4,0.4,0.409538,
06/30/2015,1192.0,1071.0,121.0,-786.0,593.0,193.0,406.0,0.0,0.0,0.0,406.0,-333.0,165.0,166.0,-1.0,-4.0,189.0,-17.0,73,7.0,80,0.0,0.0,0.0,80.0,-62.0,18,0.0,0.0,18,154.95,136.95,671.0,0.03,0.03,0.230924,672.0,0.03,0.03,0.230924,
09/30/2015,1103.0,982.0,121.0,-714.0,526.0,188.0,389.0,0.0,0.0,0.0,389.0,-76.0,,155.0,,-4.0,-48.0,-27.0,313,-70.0,243,0.0,0.0,0.0,243.0,-69.0,174,,0.0,174,156.0,-18.0,671.0,0.26,0.26,0.232489,672.0,0.26,0.26,0.232489,
12/31/2015,1316.0,1186.0,130.0,-870.0,680.0,190.0,446.0,0.0,-349.0,349.0,97.0,-288.0,155.0,156.0,-1.0,-1.0,173.0,-39.0,-191,3.0,-188,0.0,0.0,0.0,-188.0,-75.0,-263,,0.0,-263,189.0,452.0,671.0,-0.39,-0.39,0.281669,673.0,-0.39,-0.39,0.28162,
03/31/2016,1384.0,1276.0,108.0,-890.0,697.0,193.0,494.0,0.0,0.0,0.0,494.0,-86.0,,151.0,,,-33.0,-32.0,408,-98.0,310,0.0,0.0,0.0,310.0,-76.0,234,,0.0,234,238.0,4.0,674.0,0.35,0.35,0.353116,675.0,0.35,0.35,0.353116,
06/30/2016,1159.0,1050.0,109.0,-788.0,592.0,196.0,371.0,0.0,0.0,0.0,371.0,-98.0,151.0,153.0,-2.0,-2.0,-16.0,-35.0,273,-52.0,221,0.0,0.0,0.0,221.0,-72.0,149,,0.0,149,169.0,20.0,699.0,0.21,0.21,0.241774,701.0,0.21,0.21,0.238531,
09/30/2016,1075.0,960.0,115.0,-754.0,561.0,193.0,321.0,0.0,0.0,0.0,321.0,-30.0,132.0,133.0,-1.0,,-51.0,-51.0,291,-10.0,281,0.0,0.0,0.0,281.0,-86.0,195,,0.0,195,220.0,25.0,701.0,0.28,0.28,0.313837,703.0,0.28,0.28,0.313837,
12/31/2016,1298.0,1177.0,121.0,-899.0,707.0,192.0,399.0,0.0,-26.0,26.0,373.0,-109.0,,157.0,,1.0,3.0,-52.0,264,-56.0,208,0.0,0.0,0.0,208.0,-93.0,115,,0.0,115,195.0,80.0,702.0,0.16,0.16,0.277778,704.0,0.16,0.16,0.273636,
06/30/2017,695.0,695.0,,-352.0,352.0,,343.0,0.0,0.0,0.0,343.0,29.0,,60.0,,,,-89.0,372,-5.0,367,0.0,0.0,0.0,367.0,-39.0,328,,0.0,328,328.0,0.0,390.47619,0.84,0.84,0.84,390.47619,0.84,0.84,0.84,
09/30/2017,,,,,,,,,,,,,,,,,,,377,,201,,,,,,201,,,201,201.0,,,0.313,0.313,0.313,,0.313,0.313,0.313,
12/31/2017,,,,,,,,,,,,,,,,,,,449,,248,,,,,,248,,,248,248.0,,,0.393,0.393,0.393,,0.393,0.393,0.393,
