Date,Last Price,Period-over-Period % Change,Open Price,High Price,Low Price,Market Capitalization,Current Shares Outstanding,Equity Float,Source: Bloomberg
09/30/2008,49.14,-3.722571,50.58,60.66,45.0,1380.309873,27.498199,26.8837,
12/31/2008,37.16,-24.379324,48.2,49.56,23.63,1048.830149,28.1912,27.569,
03/31/2009,30.83,-17.034446,37.24,37.48,22.22,870.06123,28.2262,27.6037,
06/30/2009,36.71,19.072332,29.92,39.85,29.34,1036.112952,28.2206,27.5889,
09/30/2009,45.13,22.93653,37.0,50.58,34.77,1301.358887,28.2236,27.5921,
12/31/2009,48.28,6.979836,44.82,49.82,41.95,1404.718718,28.857901,28.2748,
03/31/2010,51.79,7.270091,48.92,55.03,45.14,1537.350052,29.094999,28.7502,
06/30/2010,51.47,-0.61788,52.13,57.34,49.74,1662.454905,30.107201,29.7532,
09/30/2010,58.28,13.231008,51.6,60.88,49.71,1975.57713,32.7981,32.4448,
12/31/2010,63.49,8.939602,58.77,64.48,57.96,2213.985123,34.1847,33.8322,
03/31/2011,64.2,1.118286,63.93,65.0,60.41,2346.197346,35.713699,35.3525,
06/30/2011,67.47,5.093458,64.31,68.62,62.12,2506.002923,36.697701,36.3838,
09/30/2011,60.22,-10.745517,67.57,73.36,57.04,2277.759594,37.1418,36.8277,
12/31/2011,62.55,3.869146,59.9,63.62,55.1,2436.906592,37.824001,37.5125,
03/31/2012,67.03,7.16227,63.61,67.11,57.96,2744.232331,40.923302,40.5998,
06/30/2012,68.24,1.805162,67.02,70.22,64.67,2804.761378,40.937099,40.6025,
09/30/2012,65.31,-4.293669,68.7,70.21,64.81,2738.140559,41.1035,40.7687,
12/31/2012,64.75,-0.857449,65.25,66.68,60.38,2739.986771,42.267502,41.9322,
03/31/2013,69.06,6.656371,65.02,70.84,64.54,2947.710217,42.351898,42.0024,
06/30/2013,67.77,-1.867941,69.06,74.94,60.88,2896.227801,42.351887,41.99835,
09/30/2013,62.5,-7.776302,67.86,69.99,60.19,2671.561125,42.735722,42.38077,
12/31/2013,60.74,-2.816,62.56,67.63,59.23,4545.218297,74.77623,73.08047,
03/31/2014,68.27,12.397102,60.74,69.32,60.472,5120.885116,74.969788,74.01292,
06/30/2014,73.05,7.001611,68.35,73.49,67.1,5492.980651,75.009071,74.29321,
09/30/2014,65.65,-10.130048,72.93,75.09,65.05,4939.654763,75.194824,74.47249,
12/31/2014,74.68,13.75476,65.63,76.83,65.54,5620.989969,75.25425,74.53406,
03/31/2015,77.27,3.468131,74.47,83.495,70.67,5821.909927,75.297356,74.66638,
06/30/2015,72.81,-5.771968,77.29,78.99,72.72,5488.055716,75.346687,74.71294,
09/30/2015,81.87,12.443346,73.49,84.42,72.51,6171.309922,75.37487,74.74208,
12/31/2015,90.81,10.919751,82.09,92.8,81.72,6847.852333,75.379379,74.74711,
03/31/2016,102.21,12.553684,90.41,102.42,82.91,7717.368605,75.431786,74.73732,
06/30/2016,106.4,4.099403,101.73,106.68,94.57,8035.76275,75.50975,75.01782,
09/30/2016,93.99,-11.663534,106.98,110.01,91.77,7100.247376,75.534088,75.04205,
12/31/2016,97.92,4.181296,93.77,98.35,85.04,11115.703319,113.53315,112.8687,
03/31/2017,101.74,3.901144,98.29,103.64,92.5,11555.099949,113.545235,112.8646,
06/30/2017,105.38,3.577747,101.7,110.95,96.200812,11971.983009,113.575534,112.925087,
09/30/2017,106.88,1.42342,105.88,109.25,99.06,12144.455256,113.607733,112.966759,
12/31/2017,100.56,-5.913174,107.09,110.24,98.54,11415.391399,113.627014,112.979706,
03/31/2018,91.24,-9.268099,100.6,100.6,85.16,10378.112687,113.688972,113.040855,
06/30/2018,100.67,10.335379,91.34,101.73,87.47,11457.080756,113.791411,113.092293,
09/30/2018,100.18,-0.486739,100.56,104.98,96.95,11404.304765,113.809954,113.117767,
12/31/2018,95.7,-4.47195,100.23,103.88,91.21,10894.896352,113.837767,113.14608,
03/31/2019,109.33,14.242424,94.93,109.72,92.19,12454.459021,113.88834,113.219658,
06/30/2019,117.76,7.710601,109.48,120.39,103.55,13429.714161,113.995608,113.268982,
09/30/2019,130.01,10.402514,118.52,131.06,116.16,14829.702329,114.044489,113.317085,
12/31/2019,131.86,1.422967,129.83,140.15,127.76,15050.36854,118.314,117.598,
03/31/2020,103.03,-21.864098,132.35,148.88,82.0001,11774.233576,114.271414,113.552269,
06/30/2020,114.67,11.29768,98.2,127.74,92.115,13114.257828,114.35114,113.594452,
09/12/2020,115.91,,116.45,116.45,114.96,13256.07067973,114.3652,113.6085,
