Date,Cash from Operating Activities,Net Income,Depreciation & Amortization,Provision for Loan Losses,Non-Cash Items,Gain on Sale of Secs & Loans,Deferred Income Taxes,Stock-Based Compensation,Other Non-Cash Adjustments,Net Ch in Operating Capital,Trading Assets & Liab,Net Ch in Operating Loans,Accrued Interest Receivable,Accrued Interest Payable,Other Op Assets/Liab,Net Cash From Disc Ops,Cash from Investing Activities,Net Change in Fixed Assets,Disposal of Fixed Assets,Capital Expenditures/Prop Add,Net Change in Investments,Decrease in Investments,Dec in HTM Investments,Dec in AFS Investments,Dec in Other Investments,Increase in Investments,Inc in HTM Investments,Inc in AFS Investments,Inc in Other Investments,Net Ch in Loans & Interbank,Net Ch in Customer Loans,Net Ch in Interbank Assets,Net Ch in Loans,Net Cash from Acq & Div,Cash from Divestitures,Cash for Acq of Subs,Cash for JVs,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Cash From (Repayment) Debt,Cash From (Repay) ST Debt,Net Ch in Interbank Trans,Cash From LT Debt,Repayments of LT Debt,Cash (Repurchase) of Equity,Increase in Capital Stock,Decrease in Capital Stock,Net Change In Deposits,Other Financing Activities,Effect of Foreign Exchange Rates,Net Changes in Cash,Cash Paid for Taxes,Cash Paid for Interest,Source: Bloomberg
09/30/2004,216.565002,109.008003,5.713,,76.252998,,,,76.252998,25.591,,,,,,,-805.112,-65.693002,0.457,-66.150002,23.768005,215.102005,,,,-191.334,,,,-746.271973,,,,,,,,-16.915031,589.392986,-53.541,356.243988,,,,,3.617,3.617,0.0,283.072998,0.0,,0.846,32.900002,73.199997,
12/31/2004,269.598999,118.722,121.468002,,19.24,,,,19.24,10.169,,,,,,,-773.336975,20.212999,20.212999,0.0,-110.789993,166.070999,,,,-276.860992,,,,-594.562988,,,,,,,,-88.196993,429.392992,-52.91,-327.266993,,,,,6.486,6.49,-0.004,803.083984,0.0,,-74.345001,70.300003,86.300003,
03/31/2005,28.492,116.734,63.01,,-74.387,,,,-74.387,-76.865,,,,,,,-743.041,-22.221,1.79,-24.011,-63.738,320.85,,,,-384.588,,,,-588.08,,,,,,,,-69.002,753.82,-53.699,257.059,,,,,13.656,13.656,0.0,536.804,0.0,,39.271,36.2,104.2,
06/30/2005,110.779,128.46,72.102,,-92.041,,,,-92.041,2.258,,,,,,,-685.978,-28.065,0.009,-28.074,-6.954,170.975,,,,-177.929,,,,-630.962,,,,,,,,-19.997,664.674,-56.761,-285.133,,,,,14.362,14.362,0.0,992.206,0.0,,89.475,107.4,111.9,
09/30/2005,249.377,133.992,66.126,,50.165,,,,50.165,-0.906,,,,,,,-392.45,-25.2,1.452,-26.652,-84.75,105.896,,,,-190.646,,,,-275.276,,,,,,,,-7.224,211.13,-56.853,81.769,,,,,15.87,15.87,0.0,172.732,-2.388,,68.057,81.6,131.5,
12/31/2005,231.068,137.26,74.425,,-26.313,,,,-26.313,45.696,,,,,,,-627.941,-29.48,0.0,-29.48,-154.01,112.412,,,,-266.422,,,,-428.734,,,,,,,,-15.717,397.921,-56.99,-47.617,,,,,-0.763,,-0.763,505.155,-1.864,,1.048,97.8,153.4,
03/31/2006,110.495,134.506,67.617,,31.379,,,,31.379,-123.007,,,,,,,-893.738,-29.515,0.12,-29.635,-57.284,151.222,,,,-208.506,,,,-804.022,,,,,,,,-2.917,683.144,-57.059,190.824,,,,,22.727,22.727,0.0,526.621,0.031,,-100.099,43.8,161.2,
06/30/2006,178.333,152.798,68.436,,-17.401,,,,-17.401,-25.5,,,,,,,-918.96,-34.498,0.228,-34.726,-40.55,195.664,,,,-236.214,,,,-825.854,,,,,,,,-18.058,846.994,-124.258,24.861,,,,,15.42,15.42,0.0,929.207,1.764,,106.367,146.6,199.2,
09/30/2006,294.477,154.066,71.346,18.39,-60.464,,,,-60.464,111.139,,,,,,,-855.443,-32.113,0.0,-32.113,-72.197,286.629,,,,-358.826,,,,-654.263,,,,,,,,-96.87,464.414,-0.001,-461.914,,,,,20.781,20.781,0.0,909.349,-3.801,,-96.552,123.8,211.7,
12/31/2006,206.156,175.548,80.647,,-93.875,,,,-93.875,43.836,,,,,,,-357.561,-42.816,0.853,-43.669,-74.753,173.434,,,,-248.187,,,,-225.311,,,,,,,,-14.681,250.778,-63.336,-26.104,,,,,17.042,17.042,0.0,321.599,1.577,,99.373,-313.8086,-571.2936,
03/31/2007,124.851,146.753,48.027,20.515,46.996,,,7.339,39.657,-137.44,,,,,,,-888.754,-40.879,0.11,-40.989,-165.713,224.918,,,,-390.631,,,,-675.113,,,,,,,,-7.049,702.844,-63.476,191.213,,,,,27.747,27.747,,547.931,-0.571,,-61.059,53.6,256.2,
06/30/2007,109.187,162.749,61.66,143.868,-242.855,,,,-242.855,-16.238,,,,,,,-508.507,-33.302,1.804,-35.106,-78.661,173.237,,,,-251.898,,,,-385.608,,,,,,,,-10.936,452.748,-67.006,349.633,,,,,13.201,13.201,0.0,155.508,1.412,,53.428,137.4,274.1,
09/30/2007,402.174,444.446,145.461,99.566,-263.841,,-17.152,11.517,-258.206,-23.458,,,,,,,-1631.15,-117.732,0.642,-118.374,-261.541,561.277,,,,-822.818,,,,-1231.542,,,,,,,,-20.335,1283.216,-197.598,1401.995,,,,,52.206,52.206,,30.597,-3.984,,54.24,352.0,808.1,
12/31/2007,433.799,81.859,233.017,70.642,304.984,,-10.905,10.926,304.963,-256.703,,,,,,,-1048.927,-50.162,0.79,-50.952,-6.601,185.884,,,,-192.485,,,,-806.69,,,,,,,,-185.474,734.222,-67.332,129.162,,,,,25.71,25.71,,639.15,7.532,,119.094,88.7,260.8,
03/31/2008,204.111,80.994,26.65,91.049,18.711,,1.159,3.423,14.129,-13.293,,,,,,,-812.292,-32.545,0.865,-33.41,-31.001,413.453,,,,-444.454,,,,-787.288,,,,,,,,38.542,515.238,-67.626,-121.935,,,,,1.428,1.428,,703.371,,,-92.943,96.0,218.8,
06/30/2008,144.076,12.099,94.681,93.616,-39.231,,,,-39.231,-17.089,,,,,,,-691.068,-28.352,1.25,-29.602,-114.199,259.142,,,,-373.341,,,,-564.703,,,,,,,,16.186,632.186,-56.118,322.692,,,,,0.447,0.578,-0.131,365.165,0.0,,85.194,-39.6,154.1,
09/30/2008,244.145,-40.121,166.107,,102.483,,,,102.483,15.676,,,,,,,-570.242,-27.932,0.0,-27.932,-7.015,197.853,,,,-204.868,,,,-535.295,,,,,,,,0.0,148.682,-56.172,-1617.39,,,,,1.733,1.775,-0.042,1820.511,0.0,,-177.415,0.5,194.9,
12/31/2008,242.42,-635.41,-216.823,608.834,182.71,,-108.76,9.423,282.047,303.109,,,,,,,-1933.584,-21.869,0.273,-22.142,64.294,331.543,,,,-267.249,,,,-1976.126,,,,,,,,0.117,1718.072,-19.806,1.601,,,,,967.961,967.961,0.0,768.316,0.0,,26.908,8.7,189.2,
03/31/2009,115.846,-136.672,10.639,290.437,1.28,-1.998,0.587,2.748,-0.057,-49.838,9.5,-89.314,10.981,10.019,8.976,0.0,875.993,-11.693,1.7,-13.393,114.693,198.115,0.0,198.115,0.0,-83.422,0.0,-83.422,0.0,-71.137,-218.833,147.696,0.0,0.0,0.0,0.0,0.0,844.13,-1078.378,-27.351,-382.095,0.0,-148.6,0.0,-233.495,0.261,0.261,0.0,-669.193,0.0,,-86.539,20.0,130.9,
06/30/2009,53.826,-586.929,19.389,631.526,321.69,-6.841,134.452,2.374,191.705,-331.85,-5.674,-85.581,14.991,-20.984,-234.602,0.0,-513.794,-7.473,0.971,-8.444,514.508,708.128,0.0,272.18,435.948,-193.62,0.0,-193.62,0.0,-349.543,-555.004,73.213,132.248,0.0,0.0,0.0,0.0,-671.286,464.882,-15.407,1004.498,0.0,1002.99,525.0,-523.492,-0.037,0.0,-0.037,-524.172,0.0,,4.914,36.4,125.1,
09/30/2009,370.665,-439.546,4.086,496.522,104.819,-17.111,20.616,1.733,99.581,204.784,7.284,207.173,12.095,-23.428,1.66,0.0,-1147.28,-5.553,0.0,-5.553,-1765.436,129.766,0.0,565.714,-435.948,-1895.202,0.0,-278.793,-1616.409,527.87,409.228,-14.872,133.514,0.0,0.0,0.0,0.0,95.839,735.691,-15.411,-450.239,0.0,-549.739,218.0,-118.5,570.964,570.965,-0.001,630.377,0.0,,-40.924,30.9,96.2,
12/31/2009,-107.153,-249.904,3.236,387.114,-33.866,-3.834,19.538,1.494,-51.064,-213.733,-0.967,-23.548,5.973,-30.072,-165.119,,1633.533,-8.022,0.0,-8.022,1765.195,1765.195,0.0,83.0,1682.195,0.0,0.0,0.0,0.0,-260.17,251.95,-719.207,207.087,0.0,0.0,0.0,0.0,136.53,-1363.676,-15.399,-727.631,0.0,-555.458,0.0,-172.173,0.012,0.012,0.0,-620.658,0.0,,162.704,-174.9,73.5,
03/31/2010,474.086,-215.473,11.178,340.948,-41.037,-2.315,-8.527,2.335,-32.53,378.47,0.765,27.858,7.527,-4.212,346.532,,-282.895,-3.783,1.31,-5.093,-47.395,271.453,0.0,271.453,0.0,-318.848,0.0,-318.848,0.0,545.031,495.633,37.284,12.114,69.466,69.466,0.0,0.0,-846.214,-176.053,-16.999,94.43,0.0,-24.083,165.0,-46.487,0.001,0.001,0.0,-253.485,0.0,,15.138,-328.4,87.4,
06/30/2010,123.562,-228.194,10.594,298.903,40.87,-1.999,2.212,1.961,38.696,1.389,-6.404,-26.202,8.979,-2.451,27.467,,-244.627,-5.78,0.32,-6.1,-53.244,217.403,0.0,217.403,0.0,-270.647,0.0,-270.647,0.0,581.878,389.133,8.608,184.137,0.0,0.0,0.0,0.0,-767.481,130.603,-17.001,35.595,0.0,25.619,55.355,-45.379,1034.494,1034.513,-0.019,-922.485,0.0,,9.538,3.4,83.1,
09/30/2010,71.268,-181.444,11.01,239.021,43.703,-3.918,5.37,1.684,40.567,-41.022,4.948,-91.301,5.713,-8.839,48.457,0.0,964.356,-4.55,1.09,-5.64,-1221.646,295.217,0.0,295.217,0.0,-1516.863,0.0,-305.275,-1211.588,394.289,299.633,-29.02,123.676,0.0,0.0,0.0,0.0,1796.263,-1239.095,-19.943,-197.976,0.0,-66.245,150.0,-281.731,0.162,0.164,-0.002,-1021.338,0.0,,-203.471,325.0,-170.5,
12/31/2010,241.844,-165.567,13.639,252.402,19.882,2.032,10.16,1.178,6.512,121.488,-7.233,5.383,8.029,-8.375,123.684,0.0,363.682,-4.501,0.0,-4.501,-133.81,409.395,0.0,409.395,0.0,-543.205,0.0,-552.744,9.539,433.433,155.089,22.673,255.671,0.0,0.0,0.0,0.0,68.56,-602.192,-19.953,153.682,0.0,88.873,370.0,-305.191,0.0,0.0,0.0,-735.921,0.0,0.0,3.334,,,
03/31/2011,232.973,-79.188,11.433,141.746,15.793,-3.35,-0.36,0.833,18.67,143.189,4.653,124.201,4.912,-6.133,15.556,0.0,1067.074,-3.086,0.043,-3.129,81.237,323.529,0.0,323.529,0.0,-242.292,0.0,-242.292,0.0,387.907,232.37,24.793,130.744,0.0,0.0,0.0,0.0,601.016,-1281.867,-19.949,32.507,0.0,-74.017,165.0,-58.476,0.0,0.0,0.0,-1294.425,0.0,,18.18,0.285,53.3,
06/30/2011,194.489,-39.0,11.979,120.159,49.659,-0.158,-4.944,1.53,53.231,51.692,1.511,25.757,6.038,-4.115,22.501,0.0,342.018,-3.914,1.971,-5.885,378.461,525.893,0.0,267.274,258.619,-147.432,0.0,-147.432,0.0,479.992,193.549,0.442,286.001,0.0,0.0,0.0,0.0,-512.521,-339.788,-19.953,11.027,0.0,27.257,0.0,-16.23,0.0,0.0,0.0,-330.862,0.0,,196.719,-0.06,51.46,
09/30/2011,115.262,30.208,11.499,102.325,-32.317,-69.045,4.963,1.97,29.795,3.547,-1.337,-38.678,6.0,-2.428,39.99,0.0,415.838,2.749,4.4,-1.651,-12.803,2042.168,0.0,1947.844,94.324,-2054.971,0.0,-2054.971,0.0,385.108,158.063,-59.151,286.196,0.0,0.0,0.0,0.0,40.784,-280.034,-19.952,-494.492,0.0,-123.66,0.0,-370.832,0.0,0.0,0.0,234.41,0.0,,251.066,2.596,49.696,
12/31/2011,102.983,27.356,12.715,54.565,16.468,-11.146,-0.016,1.696,25.934,-8.121,0.601,-35.974,-1.321,-4.004,32.577,0.0,441.007,-6.805,0.0,-6.805,882.237,1747.147,0.0,563.2,1183.947,-864.91,0.0,-864.91,0.0,-484.101,-349.672,38.358,-172.787,0.0,0.0,0.0,0.0,49.676,-888.553,-19.952,-170.926,0.0,-15.049,0.0,-155.877,0.0,0.0,0.0,-697.675,0.0,,-344.563,-7.934,41.133,
