Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Assets Held-for-Sale,Deferred Tax Assets,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Pensions,Other Post-Ret Benefits,Deferred Tax Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
09/28/2014,6527,598,598,0,1057,1057,0,1388,282,277,829,0,310,,,55,200,3353,1313,2456.0,-1143.0,0,1861,1739,982,757,67,3174,,546,259,86,0.0,201,10,10.0,,,,,442,,,438,998,3642,3642,,,,498,,,,,265,233,4140,5138,0,943.0,5.0,938.0,0.0,661.0,-240,1364,25,1389,6527,
12/31/2014,6588,882,882,0,980,980,0,1289,261,340,688,0,314,0.0,0.0,54,196,3465,1318,2463.0,-1145.0,0,1805,1703,976,727,48,3123,,1071,290,26,42.0,713,7,7.0,0.0,0.0,,0.0,8,0.0,0.0,4,1086,3624,3624,0.0,0.0,,541,0.0,66.0,66.0,0.0,277,198,4165,5251,0,963.0,5.0,958.0,0.0,709.0,-361,1311,26,1337,6588,
03/29/2015,6430,559,559,0,905,905,0,1346,0,354,715,277,300,,,57,197,3110,1301,2456.0,-1155.0,0,2019,1904,1169,735,58,3320,,938,256,41,42.0,599,402,2.0,,,,400.0,30,,,24,1370,3243,3243,,,,512,,,,,256,256,3755,5125,0,974.0,5.0,969.0,-49.0,832.0,-479,1278,27,1305,6430,
06/28/2015,6598,544,544,0,993,993,0,1417,0,424,715,278,362,,,65,224,3316,1295,2474.0,-1179.0,0,1987,1864,1167,697,58,3282,,1129,278,59,0.0,792,404,4.0,,,,400.0,39,,,27,1572,3243,3243,,,,581,,,,,234,347,3824,5396,0,985.0,5.0,980.0,-100.0,795.0,-504,1176,26,1202,6598,
09/27/2015,6686,592,592,0,1038,1038,0,1403,361,360,682,0,417,,26.0,58,246,3450,1293,2494.0,-1201.0,0,1943,1842,1163,679,43,3236,,1193,306,91,0.0,796,408,8.0,,,,400.0,57,,,42,1658,3226,3226,,,,548,,,,,227,321,3774,5432,0,998.0,5.0,993.0,-150.0,943.0,-562,1229,25,1254,6686,
12/31/2015,7913,1154,1154,0,937,937,0,1467,0,384,758,325,272,0.0,71.0,82,193,3830,1307,2515.0,-1208.0,0,2776,2645,1455,1190,49,4083,,1313,293,63,47.0,910,405,5.0,0.0,0.0,,400.0,63,0.0,0.0,53,1781,4463,4463,0.0,0.0,,578,0.0,55.0,55.0,0.0,264,259,5041,6822,0,1017.0,5.0,1012.0,-203.0,876.0,-622,1068,23,1091,7913,
04/03/2016,7453,675,675,0,908,908,0,1461,0,482,765,214,263,,27.0,112,229,3307,1317,2565.0,-1248.0,0,2829,2669,1459,1210,48,4146,,1095,210,118,49.0,718,4,4.0,,,,0.0,64,,,52,1163,4464,4464,,,,639,,,,,270,369,5103,6266,0,1012.0,5.0,1007.0,-245.0,1016.0,-618,1165,22,1187,7453,
07/03/2016,7518,658,658,0,888,888,0,1525,0,527,756,242,257,,0.0,91,250,3328,1341,2638.0,-1297.0,0,2849,2692,1475,1217,66,4190,,998,224,51,47.0,676,4,4.0,,,,0.0,37,,,27,1039,4465,4465,,,,643,,,,,292,351,5108,6147,0,1015.0,5.0,1010.0,-294.0,1190.0,-554,1357,14,1371,7518,
10/02/2016,7715,651,651,0,915,915,0,1563,227,562,774,0,235,,0.0,119,231,3364,1382,2723.0,-1341.0,0,2969,2779,1497,1282,71,4351,,997,241,95,0.0,661,0,0.0,,,,0.0,42,,,20,1039,4467,4467,,,,611,,,,,266,345,5078,6117,0,1019.0,5.0,1014.0,-351.0,1423.0,-506,1585,13,1598,7715,
12/31/2016,7649,727,727,0,913,913,0,1502,204,499,799,0,248,0.0,0.0,96,219,3390,1381,2739.0,-1358.0,0,2878,2709,1481,1228,73,4259,,1076,265,71,52.0,688,0,0.0,0.0,0.0,,0.0,41,0.0,0.0,33,1117,4468,4468,0.0,0.0,,565,0.0,62.0,62.0,0.0,244,259,5033,6150,0,1029.0,5.0,1024.0,-421.0,1477.0,-598,1487,12,1499,7649,
04/02/2017,7649,629,629,0,954,954,0,1535,204,531,800,0,265,,,97,243,3383,1368,2803.0,-1435.0,0,2898,2729,1497,1232,72,4266,,949,231,100,52.0,566,750,0.0,,,,750.0,31,,,16,1730,3718,3718,,,,566,,,,,272,294,4284,6014,0,1020.0,5.0,1015.0,-510.0,1651.0,-552,1609,26,1635,7649,
07/02/2017,7802,705,705,0,975,975,0,1498,0,534,784,180,406,,53.0,93,333,3584,1355,2752.0,-1397.0,0,2863,2705,1495,1210,65,4218,,902,199,82,52.0,569,850,100.0,,,,750.0,32,,,24,1784,3719,3719,,,,553,,,,,261,292,4272,6056,0,1029.0,5.0,1024.0,-615.0,1843.0,-542,1715,31,1746,7802,
10/01/2017,9288,1981,1981,0,1009,1009,0,1490,174,522,794,0,414,,57.0,94,353,4894,1388,2835.0,-1447.0,0,3006,2848,1530,1318,64,4394,,956,213,128,0.0,615,750,0.0,,,,750.0,40,,,28,1746,4952,4952,,,,571,,,,,269,302,5523,7269,0,1037.0,5.0,1032.0,-733.0,2140.0,-455,1989,30,2019,9288,
12/31/2017,8586,1564,1564,0,998,998,0,1427,155,484,788,0,228,0.0,0.0,80,218,4217,1435,2906.0,-1471.0,0,2934,2779,1510,1269,75,4369,,1050,261,60,61.0,668,0,0.0,0.0,0.0,,0.0,44,0.0,0.0,35,1094,4953,4953,0.0,0.0,,753,0.0,60.0,60.0,0.0,380,313,5706,6800,0,1018.0,5.0,1013.0,-852.0,2109.0,-505,1770,16,1786,8586,
03/31/2018,8690,1654,1654,0,943,943,0,1441,130,541,770,0,229,,,80,218,4267,1453,2972.0,-1519.0,0,2970,2812,1532,1280,78,4423,,971,217,92,61.0,601,0,,,,,,29,,,18,1000,4954,4954,,,,761,,,,,246,515,5715,6715,0,995.0,5.0,990.0,-1005.0,2399.0,-429,1960,15,1975,8690,
06/30/2018,8603,1558,1558,0,973,973,0,1420,160,768,492,0,288,1.0,,80,268,4239,1470,2992.0,-1522.0,0,2894,2739,1514,1225,74,4364,,938,230,53,61.0,594,0,0.0,,,,,29,,,21,967,4955,4955,,,,699,,,,,229,470,5654,6621,0,1006.0,5.0,1001.0,-1215.0,2722.0,-543,1970,12,1982,8603,
09/30/2018,10459,1391,1286,105,929,929,0,1441,164,785,492,0,315,1.0,,73,293,4076,1556,3115.0,-1559.0,0,4827,4657,2537,2120,96,6383,,964,238,75,0.0,651,0,0.0,,,,,39,,,33,1003,6441,6441,,,,897,,,,,446,451,7338,8341,0,1015.0,5.0,1010.0,-1345.0,3067.0,-619,2118,0,2118,10459,
12/31/2018,10777,1701,1602,99,1036,1036,0,1391,166,744,481,0,271,8.0,,61,262,4399,1658,3257.0,-1599.0,0,4720,4565,2519,2046,86,6378,,1180,313,35,79.0,753,9,9.0,0.0,0.0,,,34,0.0,0.0,27,1223,6443,6443,0.0,0.0,,926,0.0,58.0,58.0,0.0,474,394,7369,8592,0,1031.0,5.0,1026.0,-1487.0,3270.0,-629,2185,0,2185,10777,
03/31/2019,10883,1793,1728,65,970,970,0,1361,183,655,523,0,255,,,65,233,4379,1841,3483.0,-1642.0,0,4663,4511,2522,1989,87,6504,,1027,235,65,79.0,648,33,0.0,33.0,,33.0,,22,,,22,1082,6578,6444,134.0,,134.0,906,,,,,464,442,7484,8566,0,1013.0,5.0,1008.0,-1593.0,3495.0,-598,2317,0,2317,10883,
06/30/2019,10986,1780,1755,25,994,994,0,1404,193,527,684,0,306,14.0,,60,294,4484,1934,3619.0,-1685.0,0,4568,4421,2505,1916,73,6502,,1020,290,31,78.0,621,36,0.0,36.0,,36.0,,19,,,11,1075,6615,6446,169.0,,169.0,885,,,,,446,439,7500,8575,0,1024.0,5.0,1019.0,-1732.0,3788.0,-669,2411,0,2411,10986,
09/30/2019,11272,1827,1815,12,1030,1030,0,1439,202,524,713,0,322,28.0,,72,300,4618,2006,3731.0,-1725.0,0,4648,4485,2550,1935,63,6654,,1004,284,52,0.0,668,34,0.0,34.0,,34.0,,14,,,2,1052,6616,6447,169.0,,169.0,926,,,,,473,453,7542,8594,0,1036.0,5.0,1031.0,-1876.0,4217.0,-699,2678,0,2678,11272,
12/31/2019,11545,1934,1934,0,1086,1086,0,1410,198,701,511,0,318,25.0,,88,307,4748,2129,3866.0,-1737.0,0,4668,4482,2592,1890,73,6797,,1251,301,36,95.0,819,535,0.0,35.0,0.0,35.0,500.0,20,0.0,3.0,12,1806,6111,5947,164.0,0.0,164.0,920,0.0,72.0,72.0,0.0,434,411,7031,8837,0,1049.0,5.0,1044.0,-2042.0,4427.0,-726,2708,0,2708,11545,
03/31/2020,11528,1951,1951,0,965,965,0,1481,207,731,543,0,375,36.0,,88,349,4772,2159,3928.0,-1769.0,0,4597,4404,2583,1821,69,6756,,1171,265,123,95.0,688,533,0.0,33.0,,33.0,500.0,17,,44.0,9,1721,6122,5963,159.0,,159.0,932,,,,,421,467,7054,8775,0,1022.0,5.0,1017.0,-2252.0,4764.0,-781,2753,0,2753,11528,
06/30/2020,13069,3353,3353,0,984,984,0,1584,224,790,570,0,364,38.0,,88,332,6285,2192,4010.0,-1818.0,0,4592,4412,2629,1783,54,6784,,1245,335,170,95.0,645,501,1.0,,,,500.0,65,,32.0,46,1811,7349,7194,155.0,,155.0,922,,,,,395,495,8271,10082,0,1035.0,5.0,1030.0,-2245.0,5048.0,-856,2982,5,2987,13069,
