Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Deferred Tax Assets,Taxes Receivable,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Prepaid Pension Costs,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Deferred Tax Liabilities,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
03/31/2005,33129,5229,679,4550,5535,5042.0,,0.0,0.0,0.0,0.0,0.0,1835,,,,,12599,14058,27802,-13744,0.0,,6472,1942.0,1273.0,669.0,,4530,20530,,2192,2192,,,,840,,,,,,3413,,,,3413,6445,3211,,,,,7119,,,7119,10330,16775,0.0,11,,,-159,16520.0,-18,16354,0.0,16354,33129,
06/30/2005,33166,5504,1260,4244,5359,4887.0,,0.0,0.0,0.0,0.0,0.0,1611,,,,,12474,14154,28059,-13905,0.0,,6538,1965.0,1311.0,654.0,,4573,20692,,2131,2131,,,,865,,,,,,3247,,,,3247,6243,3258,,,,,7216,,,7216,10474,16717,0.0,11,,,-160,16604.0,-6,16449,0.0,16449,33166,
09/30/2005,35079,3906,1708,2198,5946,5446.0,,0.0,0.0,0.0,0.0,0.0,1581,,,,,11433,14889,28995,-14106,0.0,,8757,3129.0,2483.0,646.0,,5628,23646,,2374,2374,,,,1850,,,,,,3645,,,,3645,7869,3182,,,,,7411,,,7411,10593,18462,0.0,11,,,-161,16734.0,33,16617,0.0,16617,35079,
12/31/2005,34947,3041,1369,1672,6154,5743.0,,0.0,0.0,0.0,0.0,0.0,1533,,,,,10728,15289,29557,-14268,471.0,,8459,3233.0,2549.0,684.0,,5226,24219,,1806,1806,,,,821,767.0,54.0,54.0,,,3891,,,,3891,6518,3159,2935.0,224.0,224.0,,8386,,,8386,11545,18063,0.0,11,,,-161,17037.0,-3,16884,0.0,16884,34947,
03/31/2006,34791,3131,1124,2007,6178,5738.0,,0.0,0.0,0.0,0.0,0.0,1534,,,,,10843,15450,29985,-14535,0.0,,8498,3257.0,2501.0,756.0,,5241,23948,,2227,2227,,,,693,,,,,,4086,,,,4086,7006,3046,,,,,8023,,,8023,11069,18075,0.0,11,,,-145,16861.0,-11,16716,0.0,16716,34791,
06/30/2006,34874,2850,945,1905,6187,5711.0,,0.0,0.0,0.0,0.0,0.0,1488,,,,,10525,15903,30676,-14773,0.0,,8446,3276.0,2539.0,737.0,,5170,24349,,2360,2360,,,,545,,,,,,3708,,,,3708,6613,3077,,,,,8169,,,8169,11246,17859,0.0,11,,,-146,17122.0,28,17015,0.0,17015,34874,
09/30/2006,36172,2241,1139,1102,6360,5892.0,,0.0,0.0,0.0,0.0,0.0,1540,,,,,10141,16353,31442,-15089,0.0,,9678,3196.0,2484.0,712.0,,6482,26031,,2371,2371,,,,1650,,,,,,3798,,,,3798,7819,3113,,,,,8063,,,8063,11176,18995,0.0,11,,,-147,17278.0,35,17177,0.0,17177,36172,
12/31/2006,33210,1983,794,1189,6220,5794.0,,0.0,0.0,0.0,0.0,0.0,1174,,,,,9377,16779,32081,-15302,374.0,,6680,3221.0,2533.0,688.0,,3459,23833,,1841,1841,,,,983,918.0,65.0,65.0,,,3895,,,,3895,6719,3133,2968.0,165.0,165.0,,7876,,,7876,11009,17728,0.0,11,,,-147,17676.0,-2058,15482,0.0,15482,33210,
03/31/2007,33375,2398,871,1527,5899,5490.0,,0.0,0.0,0.0,0.0,0.0,1225,,,,,9522,16738,32353,-15615,394.0,,6721,3246.0,2543.0,703.0,,3475,23853,,1797,1797,,,,976,,,,,,4244,,,,4244,7017,3139,,,,,7911,,,7911,11050,18067,0.0,11,,,-135,17476.0,-2044,15308,0.0,15308,33375,
06/30/2007,33513,2121,856,1265,5967,5544.0,,0.0,0.0,0.0,0.0,0.0,1374,,,,,9462,16987,32885,-15898,431.0,,6633,3225.0,2553.0,672.0,,3408,24051,,1664,1664,,,,1487,,,,,,4059,,,,4059,7210,3101,,,,,7958,,,7958,11059,18269,0.0,11,,,-136,17431.0,-2062,15244,0.0,15244,33513,
09/30/2007,34496,1999,1245,754,6146,5674.0,,0.0,0.0,0.0,0.0,0.0,1397,,,,,9542,17327,33458,-16131,474.0,,7153,3268.0,2580.0,688.0,,3885,24954,,1620,1620,,,,1374,,,,,,4855,,,,4855,7849,3287,,,,,7791,,,7791,11078,18927,0.0,10,,,-137,17733.0,-2037,15569,0.0,15569,34496,
12/31/2007,39042,2604,2027,577,6552,6084.0,,0.0,0.0,0.0,0.0,0.0,2604,,,,,11760,17663,33611,-15948,431.0,,9188,3205.0,2577.0,628.0,,5983,27282,,1819,1819,,,,3512,3426.0,86.0,86.0,,,4509,,,,4509,9840,7506,7113.0,393.0,393.0,,9513,,,9513,17019,26859,0.0,10,,,-137,14186.0,-1876,12183,0.0,12183,39042,
03/31/2008,37470,1484,1009,475,6469,5956.0,,0.0,0.0,0.0,0.0,0.0,1649,,,,,9602,17921,34268,-16347,450.0,,9497,3219.0,2607.0,612.0,,6278,27868,,1946,1946,,,,2508,,,,,,4523,,,,4523,8977,7294,,,,,9606,,,9606,16900,25877,0.0,10,,,-118,13517.0,-1816,11593,0.0,11593,37470,
06/30/2008,38056,1689,1178,511,6470,5946.0,,0.0,0.0,0.0,0.0,0.0,1765,,,,,9924,18213,34837,-16624,465.0,,9454,3220.0,2616.0,604.0,,6234,28132,,2284,2284,,,,3621,,,,,,4062,,,,4062,9967,7233,,,,,9836,,,9836,17069,27036,0.0,10,,,-119,12841.0,-1712,11020,0.0,11020,38056,
09/30/2008,38165,1762,1239,523,6483,5894.0,,0.0,0.0,0.0,0.0,0.0,1827,,,,,10072,18361,35137,-16776,490.0,,9242,3151.0,2576.0,575.0,,6091,28093,,2010,2010,,,,2895,,,,,,4067,,,,4067,8972,8064,,,,,10027,,,10027,18091,27063,0.0,10,,,-120,12711.0,-1499,11102,0.0,11102,38165,
12/31/2008,31879,1049,507,542,6027,5547.0,,0.0,0.0,0.0,0.0,0.0,1769,,,,,8845,18265,35098,-16833,476.0,,4293,2497.0,1986.0,511.0,,1796,23034,,1855,1855,,,,2074,2009.0,65.0,65.0,,,3888,,,,3888,7817,7797,7437.0,360.0,360.0,,9485,,,9485,17282,25099,0.0,10,,,-121,12412.0,-5521,6780,0.0,6780,31879,
03/31/2009,33773,4346,3738,608,5088,4680.0,408.0,0.0,0.0,0.0,0.0,0.0,1934,51.0,,,1225.0,11368,18000,34003,-16003,429.0,429.0,3976,2473.0,1964.0,509.0,,1452,22405,,3265,1677,,,1588.0,3346,0.0,,,,3346.0,2183,,9.0,583.0,2171,8794,8737,8737.0,,,,9462,,6449.0,2421,18199,26993,0.0,56,10.0,46.0,-106,12363.0,-5533,6780,0.0,6780,33773,
06/30/2009,32540,3347,2818,529,4894,4569.0,325.0,0.0,0.0,0.0,0.0,0.0,1941,30.0,,,1212.0,10182,17974,34266,-16292,379.0,379.0,4005,2488.0,1991.0,497.0,,1487,22358,,3205,1517,,,1688.0,2017,0.0,,,,2017.0,1935,,13.0,824.0,1925,7157,8866,8866.0,,,,9724,,6465.0,2422,18590,25747,0.0,69,10.0,59.0,-107,12352.0,-5521,6793,0.0,6793,32540,
09/30/2009,32211,2788,2242,546,5156,4851.0,305.0,0.0,0.0,0.0,0.0,0.0,1622,96.0,,,878.0,9566,18092,34708,-16616,362.0,362.0,4191,2620.0,2111.0,509.0,,1475,22645,,3273,1486,,,1787.0,1397,0.0,,,,1397.0,2104,,122.0,927.0,2099,6774,8908,8908.0,,,,9483,,6048.0,2386,18391,25165,0.0,59,10.0,49.0,-108,12453.0,-5423,6981,65.0,7046,32211,
12/31/2009,31883,2100,1542,558,5656,5369.0,287.0,0.0,0.0,0.0,0.0,0.0,1519,74.0,54.0,266.0,605.0,9275,17979,34807,-16828,337.0,337.0,4292,2685.0,2089.0,596.0,15.0,1464,22608,,3182,1766,0.0,0.0,1416.0,959,0.0,106.0,106.0,,853.0,2098,0.0,66.0,1293.0,2098,6239,8668,8405.0,263.0,263.0,,9280,0.0,5457.0,2464,17948,24187,0.0,12,10.0,2.0,-108,12745.0,-5019,7630,66.0,7696,31883,
03/31/2010,32504,3115,2544,571,5354,5077.0,277.0,0.0,0.0,0.0,0.0,0.0,1591,109.0,,245.0,701.0,10060,17758,34808,-17050,337.0,337.0,4349,2698.0,2070.0,628.0,,1542,22444,,3924,1788,348.0,,1788.0,1406,0.0,,,,1406.0,2036,,85.0,1494.0,2035,7366,8548,8548.0,,,,8977,,4954.0,2444,17525,24891,0.0,10,10.0,0.0,-99,12692.0,-5056,7547,66.0,7613,32504,
06/30/2010,33269,4007,3252,755,5376,5110.0,266.0,0.0,0.0,0.0,0.0,0.0,1641,211.0,,284.0,668.0,11024,17615,34881,-17266,312.0,312.0,4318,2678.0,2050.0,628.0,,1429,22245,,3908,1708,291.0,,1909.0,1637,0.0,,,,1637.0,2142,,172.0,1429.0,2142,7687,8614,8614.0,,,,9038,,4947.0,2490,17652,25339,0.0,15,10.0,5.0,-101,13067.0,-5116,7865,65.0,7930,33269,
09/30/2010,32907,3752,3020,732,5509,5250.0,259.0,0.0,0.0,0.0,0.0,0.0,1495,265.0,,120.0,689.0,10756,17471,35040,-17569,313.0,313.0,4367,2694.0,2085.0,609.0,,1408,22151,,3768,1840,129.0,,1799.0,994,0.0,,,,994.0,2039,,165.0,1497.0,2018,6801,8648,8648.0,,,,8932,,4850.0,2420,17580,24381,0.0,10,10.0,0.0,-101,13603.0,-5052,8460,66.0,8526,32907,
12/31/2010,33597,4081,3370,711,5627,5627.0,0.0,0.0,0.0,0.0,0.0,0.0,1861,182.0,97.0,,1166.0,11569,17387,35220,-17833,0.0,,4641,2680.0,2081.0,599.0,43.0,1639,22028,,3479,1974,0.0,0.0,1505.0,355,0.0,10.0,10.0,,345.0,2068,0.0,129.0,1870.0,2056,5902,10491,10341.0,150.0,150.0,,9157,0.0,4663.0,2495,19648,25550,0.0,10,10.0,0.0,-103,10604.0,-2532,7979,68.0,8047,33597,
03/31/2011,34594,5444,4657,787,5658,5462.0,196.0,0.0,0.0,0.0,0.0,0.0,1516,167.0,,123.0,695.0,12618,17407,35645,-18238,275.0,275.0,4294,2706.0,2107.0,599.0,,1421,21976,,3984,2017,307.0,,1660.0,1554,0.0,,,,1554.0,2067,,117.0,2024.0,2010,7605,10504,10504.0,,,,8251,,3648.0,2462,18755,26360,0.0,10,10.0,0.0,-85,14206.0,-5967,8164,70.0,8234,34594,
06/30/2011,35152,5637,4691,946,5794,5602.0,192.0,0.0,0.0,0.0,0.0,0.0,1519,310.0,,157.0,697.0,12950,17489,35970,-18481,248.0,248.0,4465,2694.0,2101.0,593.0,,1461,22202,,3766,2078,,,1688.0,1374,0.0,,,,1374.0,2478,,120.0,2175.0,2419,7618,10787,10787.0,,,,8418,,3712.0,2411,19205,26823,0.0,13,10.0,3.0,-86,14218.0,-5891,8254,75.0,8329,35152,
09/30/2011,35238,5453,4133,1320,5584,5418.0,166.0,0.0,0.0,0.0,0.0,0.0,1591,564.0,,,864.0,12628,17581,36278,-18697,231.0,231.0,4798,2688.0,2066.0,622.0,,1546,22610,,3847,1974,,,1873.0,1310,0.0,,,,1310.0,2354,,247.0,2394.0,2339,7511,11092,11092.0,,,,8766,,3744.0,2381,19858,27369,0.0,10,10.0,0.0,-87,13828.0,-5953,7798,71.0,7869,35238,
12/31/2011,34701,4275,3034,1241,6246,6246.0,0.0,0.0,0.0,0.0,0.0,0.0,1763,483.0,118.0,,986.0,12284,17621,36541,-18920,0.0,,4796,2686.0,2101.0,585.0,1.0,1508,22417,,4143,2300,0.0,0.0,1843.0,33,0.0,33.0,33.0,,0.0,2338,0.0,208.0,1900.0,2338,6514,11095,10659.0,436.0,436.0,,9984,0.0,5505.0,2371,21079,27593,0.0,10,10.0,0.0,-88,10128.0,-3015,7035,73.0,7108,34701,
03/31/2012,35963,6080,5133,947,5637,5637.0,0.0,0.0,0.0,0.0,0.0,0.0,1756,458.0,,,1036.0,13473,17614,36885,-19271,0.0,,4876,2811.0,2177.0,634.0,,1607,22490,,4448,2000,567.0,,1881.0,919,0.0,,,,919.0,2176,,157.0,1870.0,2167,7543,11079,11079.0,,,,9842,,5465.0,2350,20921,28464,0.0,10,10.0,0.0,-76,10433.0,-2944,7423,76.0,7499,35963,
06/30/2012,37177,7322,6718,604,5541,5541.0,0.0,0.0,0.0,0.0,0.0,0.0,1839,566.0,,,1099.0,14702,17597,37102,-19505,0.0,,4878,2767.0,2147.0,620.0,,1545,22475,,4216,2046,390.0,,1780.0,1911,0.0,,,,1911.0,2273,,362.0,1778.0,2259,8400,11112,11112.0,,,,9940,,5425.0,2375,21052,29452,0.0,10,10.0,0.0,-76,10827.0,-3116,7645,80.0,7725,37177,
09/30/2012,39064,9016,8430,586,5545,5545.0,0.0,0.0,0.0,0.0,0.0,0.0,1783,571.0,,,1069.0,16344,17829,37688,-19859,0.0,,4891,2784.0,2170.0,614.0,,1536,22720,,4093,1863,391.0,,1839.0,3859,0.0,,,,3859.0,2337,,231.0,1332.0,2275,10289,11148,11148.0,,,,10013,,5213.0,3237,21161,31450,0.0,10,9.54,0.46,-77,10448.0,-2852,7529,85.0,7614,39064,
12/31/2012,38863,7924,7327,597,6111,6111.0,0.0,0.0,0.0,0.0,0.0,0.0,1556,535.0,684.0,,942.0,15591,17894,38041,-20147,0.0,,5378,2776.0,2173.0,603.0,26.0,1357,23272,,4205,2278,0.0,0.0,1927.0,1812,0.0,31.0,31.0,,1781.0,2373,0.0,159.0,48.0,2337,8390,11089,10680.0,409.0,409.0,,14651,0.0,11068.0,3376,25740,34130,0.0,10,9.54,0.46,-78,7997.0,-3276,4653,80.0,4733,38863,
