Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Investments in Affiliates,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Deferred Tax Liabilities,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
12/31/2012,27223,4860,4860,0,4610,4610,0,3449,0.0,0.0,1761.0,1688.0,110,0.0,61,13029,12643,19409.0,-6766.0,0,1551,930,930,0,321,300,14194,,7383,6785,598.0,0.0,0.0,19,0,,,,19,801,,0.0,2050,713,8203,3342,3342,,,,3573,0.0,1266,257,6915,15118,0,9531.0,4.0,9527.0,-1253,3880.0,-464,11694,411,12105,27223,
03/31/2013,30773,4737,4737,0,5509,5509,0,4879,0.0,0.0,2416.0,2463.0,172,,94,15297,13850,20890.0,-7040.0,0,1626,930,930,0,327,369,15476,,9837,8872,965.0,,,22,0,,,,22,869,931.0,,2094,753,10728,3394,3394,,,,4239,,1214,0,7633,18361,0,9680.0,4.0,9676.0,-1787,4489.0,-382,12000,412,12412,30773,
06/30/2013,29695,3069,3069,0,6163,6163,0,4830,0.0,0.0,2471.0,2359.0,190,,132,14252,13799,21106.0,-7307.0,0,1644,938,938,0,328,378,15443,,9213,8601,612.0,,,23,0,,,,23,1005,,,2187,975,10241,3387,3387,,,,3870,,929,754,7257,17498,0,9741.0,4.0,9737.0,-2672,4969.0,-254,11784,413,12197,29695,
09/30/2013,29003,2018,2018,0,5593,5593,0,5714,0.0,0.0,2651.0,3063.0,206,,118,13531,13795,21375.0,-7580.0,0,1677,938,938,0,417,322,15472,,9570,8961,609.0,,,23,0,,,,23,808,,,2228,746,10401,3380,3380,,,,3958,,895,835,7338,17739,0,9752.0,4.0,9748.0,-3703,5007.0,-205,10851,413,11264,29003,
12/31/2013,28385,2292,2292,0,5559,5559,0,4689,0.0,0.0,2367.0,2322.0,197,0.0,176,12737,13921,21793.0,-7872.0,0,1727,938,938,0,463,326,15648,,8747,8234,513.0,0.0,0.0,23,0,,,,23,1054,,0.0,2304,1001,9824,3373,3373,,,,3856,0.0,771,781,7229,17053,0,9772.0,4.0,9768.0,-4155,5507.0,-204,10920,412,11332,28385,
03/31/2014,29159,2166,2166,0,5420,5420,0,5689,0.0,0.0,2540.0,3149.0,173,,132,13448,13854,21987.0,-8133.0,0,1857,938,938,0,602,317,15711,,9927,9313,614.0,,,24,0,,,,24,895,,,2290,814,10846,3635,3635,,,,3920,,855,775,7555,18401,0,9807.0,4.0,9803.0,-4849,5591.0,-205,10344,414,10758,29159,
06/30/2014,29376,2125,2125,0,5725,5725,0,5621,0.0,0.0,2367.0,3254.0,125,,81,13596,13850,22277.0,-8427.0,0,1930,937,937,0,690,303,15780,,9843,8934,909.0,,,26,0,,,,26,1186,,,2170,1095,11055,3612,3612,,,,3672,,906,596,7284,18339,0,9826.0,4.0,9822.0,-5313,6325.0,-218,10620,417,11037,29376,
09/30/2014,31705,1854,1854,0,5271,5271,0,5608,0.0,0.0,2731.0,2877.0,154,,67,12887,15999,24712.0,-8713.0,0,2819,1537,1537,0,862,420,18818,,9312,8726,586.0,,,26,0,,,,26,1034,,,2165,979,10372,6238,6238,,,,3829,,937,727,10067,20439,0,9837.0,4.0,9833.0,-5616,6856.0,-228,10849,417,11266,31705,
12/31/2014,30425,1494,1494,0,4058,4058,0,5642,0.0,0.0,2955.0,2687.0,145,,145,11339,16261,25302.0,-9041.0,0,2825,1566,1566,0,865,394,19086,,7308,6661,647.0,0.0,0.0,27,0,,,,27,1244,,0.0,2014,1064,8579,6575,6575,,,,3881,0.0,1099,768,10456,19035,0,9848.0,7.0,9841.0,-6299,7515.0,-313,10751,639,11390,30425,
03/31/2015,30182,2078,2078,0,3364,3364,0,5437,0.0,0.0,2862.0,2575.0,174,,80,11053,16241,25621.0,-9380.0,0,2888,1566,1566,0,902,420,19129,,6320,5387,933.0,,,776,0,,,,776,1250,,,2019,1171,8346,5967,5967,,,,3889,,1123,747,9856,18202,0,9894.0,4.0,9890.0,-6512,8269.0,-313,11338,642,11980,30182,
06/30/2015,30653,1881,1881,0,3876,3876,0,5540,0.0,0.0,2880.0,2660.0,134,,73,11431,16283,26007.0,-9724.0,0,2939,1566,1566,0,994,379,19222,,6742,6225,517.0,,,780,0,,,,780,1203,,,2011,1148,8725,5918,5918,,,,3720,,1143,566,9638,18363,0,9919.0,7.0,9912.0,-6926,8959.0,-309,11643,647,12290,30653,
09/30/2015,30161,2044,2044,0,3124,3124,0,5556,0.0,0.0,2769.0,2787.0,137,,69,10861,16294,26361.0,-10067.0,0,3006,1565,1565,0,1073,368,19300,,5838,4993,845.0,,,780,0,,,,780,1068,,,1942,1005,7686,5912,5912,,,,3638,,1139,557,9550,17236,0,9936.0,7.0,9929.0,-7083,9736.0,-312,12277,648,12925,30161,
12/31/2015,43115,1127,1127,0,2927,2927,0,5225,0.0,0.0,2804.0,2421.0,192,0.0,79,9471,25164,35604.0,-10440.0,0,8480,4019,4019,0,3622,839,33644,,4927,4743,184.0,0.0,0.0,29,0,,,,29,1389,,27.0,3285,1345,6345,11896,11548,348.0,348.0,,5199,0.0,1179,708,17095,23440,0,11078.0,7.0,11071.0,-7275,9752.0,-318,13237,6438,19675,43115,
03/31/2016,41758,308,308,0,2602,2602,0,4983,0.0,0.0,2761.0,2222.0,204,,135,8097,25319,36215.0,-10896.0,0,8342,3649,3649,0,3807,886,33661,,4228,4083,145.0,,,215,0,,,,215,1152,,28.0,3356,1038,5595,11351,11011,340.0,340.0,,5318,,1216,718,16669,22264,0,10989.0,7.0,10982.0,-7353,9584.0,-318,12902,6592,19494,41758,
06/30/2016,44133,1754,1754,0,3199,3199,0,5209,0.0,0.0,2633.0,2576.0,142,,142,10304,25512,36877.0,-11365.0,0,8317,3648,3648,0,3793,876,33829,,5550,5214,336.0,,,27,0,,,,27,1205,,36.0,3520,1038,6782,11032,10699,333.0,333.0,,5391,,1242,593,16423,23205,0,11003.0,7.0,10996.0,-7407,10215.0,-321,13490,7438,20928,44133,
09/30/2016,43293,709,709,0,3136,3136,0,5524,0.0,0.0,2689.0,2835.0,176,,176,9545,25697,37526.0,-11829.0,0,8051,3648,3648,0,3554,849,33748,,5218,5055,163.0,,,28,0,,,,28,1094,,38.0,3682,772,6340,10538,10211,327.0,327.0,,5458,,1174,564,15996,22336,0,11012.0,7.0,11005.0,-7459,10169.0,-327,13395,7562,20957,43293,
12/31/2016,44413,887,887,0,2929,2929,0,5656,0.0,0.0,2810.0,2846.0,929,0.0,241,10401,25765,38006.0,-12241.0,0,8247,3587,3587,0,3827,833,34012,,5746,5593,153.0,0.0,0.0,28,0,,,,28,1372,0.0,47.0,3861,647,7146,10544,10225,319.0,319.0,,5520,0.0,1055,557,16064,23210,0,11067.0,7.0,11060.0,-7482,10206.0,-234,13557,7646,21203,44413,
03/31/2017,45821,2167,2167,0,2892,2892,0,5392,0.0,0.0,2674.0,2718.0,591,,199,11042,25669,38406.0,-12737.0,0,9110,3586,3586,0,4704,820,34779,,5478,5343,135.0,,,28,0,,,,28,1360,,38.0,3888,936,6866,12570,12258,312.0,312.0,,5588,,1085,577,18158,25024,0,11166.0,7.0,11159.0,-7905,10046.0,-237,13070,7727,20797,45821,
06/30/2017,45447,1450,1450,0,2722,2722,0,5548,0.0,0.0,2663.0,2885.0,723,,186,10443,25786,39002.0,-13216.0,0,9218,3586,3586,0,4823,809,35004,,5484,5307,177.0,,,29,0,,,,29,1245,,37.0,3923,692,6758,12577,12271,306.0,306.0,,5548,,998,590,18125,24883,0,11192.0,7.0,11185.0,-8664,10344.0,-236,12636,7928,20564,45447,
09/30/2017,46806,2088,2088,0,3643,3643,0,5493,0.0,0.0,2706.0,2787.0,407,,150,11631,26036,39718.0,-13682.0,0,9139,3586,3586,0,4769,784,35175,,6520,6159,361.0,,,29,0,,,,29,1098,,42.0,3935,787,7647,12753,12454,299.0,299.0,,5604,,1029,598,18357,26004,0,11243.0,7.0,11236.0,-9118,11044.0,-239,12930,7872,20802,46806,
12/31/2017,49047,3011,3011,0,4568,4568,0,5550,0.0,0.0,2839.0,2711.0,272,0.0,145,13401,26443,40538.0,-14095.0,0,9203,3586,3586,0,4787,830,35646,,8466,8297,169.0,0.0,0.0,624,0,,,,624,1388,0.0,52.0,2654,1248,10478,12322,11958,364.0,364.0,,4419,0.0,1099,614,16741,27219,0,11269.0,7.0,11262.0,-9869,12864.0,-231,14033,7795,21828,49047,
03/31/2018,50364,4653,4653,0,4613,4613,0,5111,0.0,0.0,2746.0,2365.0,148,,127,14525,26618,41176.0,-14558.0,0,9221,3586,3586,0,4817,818,35839,,7705,7066,639.0,,,26,0,,,,26,641,,48.0,3120,569,8372,17232,16882,350.0,350.0,,4897,,1126,603,22129,30501,0,13676.0,7.0,13669.0,-11200,12745.0,-233,14988,4875,19863,50364,
06/30/2018,51736,4999,4999,0,4785,4785,0,5485,0.0,0.0,2811.0,2674.0,279,,145,15548,26931,41985.0,-15054.0,0,9257,3586,3586,0,4838,833,36188,,8826,8113,713.0,,,26,0,,,,26,863,,54.0,3144,678,9715,17241,16897,344.0,344.0,,4959,,1156,605,22200,31915,0,13695.0,7.0,13688.0,-12093,13589.0,-233,14958,4863,19821,51736,
09/30/2018,53031,4992,4992,0,5346,5346,0,5339,0.0,0.0,3005.0,2334.0,196,,134,15873,27717,43276.0,-15559.0,0,9441,3713,3713,0,4910,818,37158,,8673,8016,657.0,,,26,0,,,,26,935,,67.0,3206,819,9634,18423,17912,511.0,511.0,,4940,,1045,622,23363,32997,0,13710.0,7.0,13703.0,-12495,14119.0,-168,15166,4868,20034,53031,
12/31/2018,92940,1687,1687,0,5453,5453,0,9837,0.0,0.0,5234.0,4603.0,1046,0.0,646,18023,45058,61213.0,-16155.0,0,29859,20184,20184,0,5898,3777,74917,,10812,9366,1446.0,0.0,0.0,544,0,,,,544,1860,0.0,54.0,4864,1561,13216,26980,26331,649.0,649.0,,7691,0.0,1509,1264,34671,47887,0,33739.0,10.0,33729.0,-13175,14755.0,-144,35175,9878,45053,92940,
03/31/2019,96436,877,877,0,6893,6893,0,9833,0.0,0.0,5186.0,4647.0,548,,409,18151,47771,64562.0,-16791.0,0,30514,20229,20229,0,6558,3727,78285,,12097,10568,1529.0,,,1163,0,658.0,45.0,613.0,505,1887,,57.0,5011,1713,15147,29718,26953,2765.0,612.0,2153.0,7709,,1567,1074,37427,52574,0,33774.0,10.0,33764.0,-14063,14391.0,-151,33951,9911,43862,96436,
06/30/2019,96896,1247,1247,0,7603,7603,0,9088,0.0,0.0,4601.0,4487.0,458,,221,18396,47923,65490.0,-17567.0,0,30577,20277,20277,0,6729,3571,78500,,12128,10905,1223.0,,,1169,0,666.0,51.0,615.0,503,1593,,58.0,5235,1381,14890,29921,27249,2672.0,604.0,2068.0,8019,,1610,1116,37940,52830,0,33795.0,10.0,33785.0,-14573,15146.0,-161,34207,9859,44066,96896,
09/30/2019,98139,1525,1525,0,7277,7277,0,9696,0.0,0.0,5152.0,4544.0,641,,457,19139,47556,65812.0,-18256.0,0,31444,21277,21277,0,6725,3442,79000,,12395,11380,1015.0,,,1143,0,641.0,55.0,586.0,502,1801,,49.0,6180,1619,15339,30244,27628,2616.0,654.0,1962.0,8932,,1487,1216,39176,54515,0,33135.0,10.0,33125.0,-15076,15891.0,-212,33738,9886,43624,98139,
12/31/2019,98556,1527,1527,0,7809,7809,0,10243,0.0,0.0,5548.0,4695.0,591,0.0,528,20170,48074,67082.0,-19008.0,0,30312,20040,20040,0,6898,3374,78386,,12809,11623,1186.0,0.0,0.0,1315,0,666.0,62.0,604.0,649,2023,0.0,55.0,6392,1912,16147,30002,27491,2511.0,636.0,1875.0,9300,0.0,1643,1210,39302,55449,0,33167.0,10.0,33157.0,-15143,15990.0,-320,33694,9413,43107,98556,
03/31/2020,86317,1690,1690,0,4797,4797,0,7445,0.0,0.0,5700.0,1745.0,1761,,975,15693,47895,68032.0,-20137.0,0,22729,12710,12710,0,5656,4363,70624,,9204,8106,1098.0,,,2340,0,630.0,,630.0,1710,2025,,43.0,5772,1394,13569,31848,29899,1949.0,,1949.0,8704,,1703,1186,40552,54121,0,33179.0,10.0,33169.0,-15145,6380.0,-326,24088,8108,32196,86317,
06/30/2020,84593,1091,1091,0,4361,4361,0,8086,0.0,0.0,5397.0,2689.0,1105,,842,14643,47479,68458.0,-20979.0,0,22471,12710,12710,0,5740,4021,69950,,7382,6110,1272.0,,,2340,0,625.0,,625.0,1715,1782,,48.0,5914,1421,11504,32301,30451,1850.0,,1850.0,8971,,1772,1237,41272,52776,0,33218.0,10.0,33208.0,-15149,6008.0,-336,23741,8076,31817,84593,
