Date,Basic Shares Outstanding,Diluted Weighted Avg Shares,Basic Weighted Avg Shares,Per Share Data Items,Revenue,EBITDA,Operating Income,Net Income to Common - Basic,Net Income before XO - Basic,Normalized Net Income - Basic,Net Income to Common - Diluted,Net Income before XO - Diluted,Normalized Net Income - Diluted,Dividends,Cash Flow,Free Cash Flow,Cash & Equivalents,Book Value,Net Utility Plant,Source: Bloomberg
12/31/1995,214.947998,214.889008,214.889008,,7.359558,2.3506,1.256407,0.16,0.25,0.25,0.16,0.25,0.25,0.4,2.255802,-0.030416,0.239016,26.842013,80.12334,
03/31/1996,215.278,215.248001,215.248001,,7.823204,3.020753,1.900241,0.64,0.64,0.64,0.64,0.64,0.64,0.4,2.14356,0.301239,0.189741,27.020411,80.207999,
06/30/1996,215.509003,215.438004,215.438004,,7.184972,2.638949,1.531721,0.47,0.47,0.47,0.47,0.47,0.47,0.4,1.938957,0.307768,0.250407,27.084066,80.535598,
09/30/1996,215.647995,215.567993,215.567993,,9.592801,4.349282,3.137312,1.55,1.55,1.55,1.55,1.55,1.55,0.4,2.994744,1.760734,0.496026,28.236214,80.242004,
12/31/1996,215.955002,215.0,215.0,,7.615246,2.576498,1.414684,0.43,0.43,0.43,0.43,0.43,0.43,0.4,2.312181,0.767995,0.280373,28.266908,79.767838,
03/31/1997,216.212997,216.052994,216.052994,,7.733343,2.461294,1.260408,1.21,0.304171,0.304171,1.21,0.304171,0.304171,0.4,2.485626,0.845737,0.213558,28.362993,79.540949,
06/30/1997,216.406998,216.367996,216.367996,,7.794716,2.041286,0.852427,0.03,0.03,0.03,0.03,0.03,0.03,0.4,1.602561,0.405282,0.481006,27.872365,78.725215,
09/30/1997,216.412003,216.408997,216.408997,,9.570184,3.916977,2.661507,1.110379,1.110379,1.110379,1.110379,1.110379,1.110379,0.4,3.421309,2.083453,0.498267,28.702377,78.257279,
12/31/1997,216.658997,216.488998,216.488998,,7.642924,1.964197,0.766242,-6.286975,-2.543898,0.43,-6.286975,-2.543898,0.43,0.4,1.729344,-0.110491,0.559501,22.702436,77.440972,
03/31/1998,216.841003,216.707001,216.707001,,7.901152,2.292566,1.083514,0.248,0.248,0.248,0.248,0.248,0.248,0.4,1.785074,0.352647,0.584474,22.541355,75.893156,
06/30/1998,216.929001,216.897003,216.897003,,8.202723,2.435741,1.298022,0.371,0.371,0.371,0.371,0.371,0.371,0.4,1.395667,0.0609,0.268484,22.513704,62.037786,
09/30/1998,217.100998,217.0,217.0,,9.657599,3.807212,2.669816,1.22,1.22,1.22,1.22,1.22,1.22,0.4,1.470636,0.424189,0.589878,23.34102,62.347471,
12/31/1998,217.095001,217.0,217.0,,7.20817,2.200751,1.098134,0.512392,0.512392,0.512392,0.512392,0.512392,0.512392,0.4,1.709309,-0.101009,0.256468,23.489458,61.917175,
03/31/1999,217.156006,217.779999,217.080994,,7.08401,2.5728,1.438145,0.32,0.45,0.43,0.32,0.45,0.43,0.4,2.52275,1.065344,0.405897,23.326405,61.846963,
06/30/1999,217.022995,218.330002,217.235001,,7.759864,2.605786,1.29167,0.55,0.55,0.49,0.55,0.55,0.49,0.4,1.274564,-0.168481,0.312833,23.505845,61.924935,
09/30/1999,217.442993,218.264999,217.375,,9.495163,3.792639,2.833021,1.29,1.29,1.37,1.28,1.28,1.36,0.4,2.893603,1.186125,0.374944,24.356214,62.617323,
12/31/1999,217.835999,218.0,218.0,,7.064105,2.245051,1.481463,0.46,0.46,0.92,0.46,0.46,0.92,0.4,0.250193,-2.636844,5.761215,24.344002,55.055179,
03/31/2000,177.64679,191.841995,191.033997,,8.677963,3.547201,1.413481,1.01,1.02,1.02,1.0,1.01,1.01,0.4,-1.880372,-3.954081,3.673953,22.134586,68.106221,
06/30/2000,176.64267,178.240005,177.181,,10.201974,3.495635,2.029851,0.83,0.84,0.84,0.82,0.83,0.83,0.4,2.918778,1.032825,3.621679,22.440818,69.573708,
09/30/2000,183.746002,210.968994,208.723999,,9.971009,3.12896,1.767147,0.94,0.96,1.06,0.93,0.95,1.05,0.4,2.672917,0.527726,1.644515,24.555554,67.681851,
12/31/2000,,,,,,,,,,,,,,0.092,,,,,,
