Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Assets Held-for-Sale,Deferred Tax Assets,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Investments,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Deferred Tax Liabilities,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Pensions,Other Post-Ret Benefits,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
03/31/2014,8637.0,58.0,58.0,0.0,664.0,664.0,0.0,68.0,0.0,0.0,12.0,56.0,171,17.0,,46.0,100,961.0,7398.0,13052.0,-5654.0,148.0,148.0,130.0,,,,113,7676.0,,905.0,758.0,,,147.0,0.0,0.0,,,,,140.0,,7.0,807.0,12.0,1045.0,2039.0,2039.0,,,,1320,,,,,506,3359.0,4404.0,0.0,5522.0,2.0,5520.0,0.0,-1390.0,-1.0,4131.0,102.0,4233.0,8637.0,
06/30/2014,8018.0,105.0,105.0,0.0,502.0,502.0,0.0,81.0,0.0,3.0,0.0,78.0,189,13.0,,58.0,84,877.0,6938.0,11808.0,-4870.0,151.0,151.0,52.0,,,,39,7141.0,,862.0,684.0,,,178.0,0.0,0.0,,,,,151.0,,8.0,718.0,7.0,1013.0,1794.0,1794.0,,,,1087,,,,,361,2881.0,3894.0,0.0,5546.0,2.0,5544.0,0.0,-1525.0,-1.0,4020.0,104.0,4124.0,8018.0,
09/30/2014,8244.0,65.0,65.0,0.0,465.0,465.0,0.0,70.0,0.0,0.0,3.0,67.0,405,22.0,184.0,31.0,83,1005.0,7037.0,11993.0,-4956.0,135.0,135.0,67.0,,,,45,7239.0,,874.0,699.0,,,175.0,0.0,0.0,,,,,137.0,,15.0,713.0,64.0,1011.0,2047.0,2047.0,,,,984,,,,,256,3031.0,4042.0,0.0,5558.0,2.0,5556.0,0.0,-1463.0,-1.0,4094.0,108.0,4202.0,8244.0,
12/31/2014,8798.0,41.0,41.0,0.0,459.0,459.0,0.0,45.0,,,,,1324,38.0,773.0,,53,1869.0,6842.0,11753.0,-4911.0,0.0,,87.0,0.0,0.0,0.0,49,6929.0,,889.0,712.0,,,177.0,0.0,0.0,0.0,0.0,,,320.0,0.0,5.0,621.0,132.0,1209.0,2280.0,2280.0,0.0,0.0,,881,0.0,0.0,0.0,0.0,255,3161.0,4370.0,0.0,5564.0,2.0,5562.0,0.0,-1244.0,-1.0,4319.0,109.0,4428.0,8798.0,
03/31/2015,8103.0,82.0,82.0,0.0,347.0,347.0,0.0,49.0,0.0,0.0,1.0,48.0,609,58.0,132.0,,46,1087.0,6911.0,12041.0,-5130.0,0.0,,105.0,,,,47,7016.0,,603.0,464.0,,,139.0,0.0,0.0,,,,,233.0,,2.0,614.0,47.0,836.0,2000.0,2000.0,,,,878,,,,,262,2878.0,3714.0,0.0,5566.0,2.0,5564.0,0.0,-1177.0,0.0,4389.0,0.0,4389.0,8103.0,
06/30/2015,7962.0,317.0,317.0,0.0,280.0,280.0,0.0,48.0,,,,,422,32.0,127.0,,35,1067.0,6818.0,12158.0,-5340.0,0.0,,77.0,,,,45,6895.0,,508.0,339.0,,,169.0,0.0,0.0,,,,,222.0,,5.0,611.0,47.0,730.0,2000.0,2000.0,,,,865,,,,,249,2865.0,3595.0,0.0,5574.0,2.0,5572.0,0.0,-1207.0,0.0,4367.0,0.0,4367.0,7962.0,
09/30/2015,10907.0,99.0,99.0,0.0,298.0,298.0,0.0,71.0,0.0,3.0,0.0,68.0,469,85.0,70.0,0.0,30,937.0,9815.0,15382.0,-5567.0,0.0,,155.0,,,,70,9970.0,,696.0,413.0,,,283.0,0.0,,,,,,76.0,,2.0,1255.0,1.0,772.0,3400.0,3400.0,,,,1663,,,,,406,5063.0,5835.0,350.0,6159.0,3.0,6156.0,0.0,-1437.0,0.0,5072.0,0.0,5072.0,10907.0,
12/31/2015,8393.0,38.0,38.0,0.0,300.0,300.0,0.0,46.0,0.0,2.0,0.0,44.0,509,51.0,178.0,,23,893.0,6522.0,8415.0,-1893.0,0.0,,978.0,0.0,0.0,0.0,927,7500.0,,580.0,278.0,,,302.0,0.0,0.0,0.0,0.0,,,153.0,0.0,2.0,465.0,140.0,733.0,3189.0,3189.0,0.0,0.0,,936,0.0,0.0,0.0,0.0,469,4125.0,4858.0,339.0,6167.0,3.0,6164.0,0.0,-2971.0,0.0,3535.0,0.0,3535.0,8393.0,
03/31/2016,8140.0,11.0,11.0,0.0,190.0,190.0,0.0,42.0,0.0,1.0,0.0,41.0,1320,41.0,1056.0,,24,1563.0,6504.0,8551.0,-2047.0,0.0,,73.0,,,,32,6577.0,,443.0,220.0,,,223.0,304.0,0.0,,,,304.0,282.0,,18.0,505.0,275.0,1029.0,2746.0,2746.0,,,,850,,,,,327,3596.0,4625.0,350.0,6148.0,3.0,6145.0,0.0,-2983.0,0.0,3515.0,0.0,3515.0,8140.0,
06/30/2016,7862.0,1031.0,1031.0,0.0,192.0,192.0,0.0,37.0,0.0,1.0,0.0,36.0,135,21.0,8.0,,26,1395.0,6418.0,8602.0,-2184.0,0.0,,49.0,,,,28,6467.0,,490.0,226.0,,,264.0,160.0,0.0,,,,160.0,47.0,,44.0,390.0,2.0,697.0,2572.0,2572.0,,,,735,,,,,301,3307.0,4004.0,350.0,6689.0,3.0,6686.0,0.0,-3181.0,0.0,3858.0,0.0,3858.0,7862.0,
09/30/2016,7446.0,623.0,623.0,0.0,147.0,147.0,0.0,33.0,0.0,2.0,0.0,31.0,106,31.0,7.0,,20,909.0,6482.0,8796.0,-2314.0,0.0,,55.0,,,,24,6537.0,,444.0,185.0,,,259.0,125.0,0.0,,,,125.0,55.0,,44.0,323.0,2.0,624.0,2574.0,2574.0,,,,614,,,,,247,3188.0,3812.0,240.0,6794.0,3.0,6791.0,0.0,-3400.0,0.0,3634.0,0.0,3634.0,7446.0,
12/31/2016,7264.0,496.0,496.0,0.0,168.0,168.0,0.0,32.0,0.0,2.0,0.0,30.0,58,12.0,12.0,,20,754.0,6157.0,7986.0,-1829.0,0.0,0.0,353.0,0.0,0.0,0.0,341,6510.0,,457.0,222.0,0.0,0.0,235.0,0.0,0.0,0.0,0.0,,,220.0,0.0,63.0,251.0,2.0,677.0,2575.0,2575.0,0.0,0.0,,546,0.0,0.0,0.0,0.0,232,3121.0,3798.0,240.0,6798.0,3.0,6795.0,0.0,-3572.0,0.0,3466.0,0.0,3466.0,7264.0,
03/31/2017,7910.0,142.0,142.0,0.0,170.0,170.0,0.0,35.0,0.0,2.0,0.0,33.0,81,65.0,0.0,,22,428.0,7395.0,9976.0,-2581.0,0.0,,87.0,,,,22,7482.0,,511.0,294.0,,,217.0,0.0,0.0,,,,,77.0,,17.0,281.0,0.0,588.0,2575.0,2575.0,,,,525,,,,,227,3100.0,3688.0,232.0,7470.0,4.0,7466.0,0.0,-3480.0,0.0,4222.0,0.0,4222.0,7910.0,
06/30/2017,7962.0,8.0,8.0,0.0,205.0,205.0,0.0,41.0,0.0,2.0,0.0,39.0,139,58.0,,,29,393.0,7485.0,10244.0,-2759.0,0.0,,84.0,,,,26,7569.0,,592.0,348.0,,,244.0,0.0,0.0,,,,,27.0,,8.0,226.0,0.0,619.0,2601.0,2601.0,,,,438,,,,,204,3039.0,3658.0,240.0,7468.0,4.0,7464.0,0.0,-3404.0,0.0,4304.0,0.0,4304.0,7962.0,
09/30/2017,8095.0,10.0,10.0,0.0,268.0,268.0,0.0,42.0,0.0,3.0,0.0,39.0,328,34.0,237.0,,30,648.0,7384.0,9675.0,-2291.0,0.0,,63.0,,,,29,7447.0,,519.0,369.0,,,150.0,0.0,0.0,,,,,118.0,,26.0,276.0,62.0,637.0,2859.0,2859.0,,,,437,,,,,135,3296.0,3933.0,240.0,7472.0,4.0,7468.0,0.0,-3550.0,0.0,4162.0,0.0,4162.0,8095.0,
12/31/2017,8207.0,189.0,189.0,0.0,307.0,307.0,0.0,30.0,0.0,1.0,0.0,29.0,875,23.0,811.0,,28,1401.0,6691.0,8674.0,-1983.0,70.0,70.0,45.0,0.0,0.0,0.0,22,6806.0,,655.0,446.0,0.0,0.0,209.0,0.0,0.0,0.0,0.0,,,191.0,0.0,65.0,117.0,20.0,846.0,2575.0,2575.0,0.0,0.0,,659,0.0,0.0,0.0,0.0,477,3234.0,4080.0,232.0,7483.0,4.0,7479.0,0.0,-3588.0,0.0,4127.0,0.0,4127.0,8207.0,
03/31/2018,8127.0,681.0,681.0,0.0,337.0,337.0,0.0,31.0,0.0,1.0,0.0,30.0,112,43.0,0.0,,30,1161.0,6816.0,8964.0,-2148.0,85.0,85.0,65.0,,,,22,6966.0,,683.0,522.0,,,161.0,0.0,0.0,,,,,242.0,,74.0,74.0,0.0,925.0,2576.0,2576.0,,,,620,,,,,472,3196.0,4121.0,232.0,7477.0,4.0,7473.0,0.0,-3703.0,0.0,4006.0,0.0,4006.0,8127.0,
06/30/2018,7770.0,103.0,103.0,0.0,323.0,323.0,0.0,40.0,0.0,1.0,0.0,39.0,162,49.0,0.0,,26,628.0,6974.0,9314.0,-2340.0,92.0,92.0,76.0,,,,27,7142.0,,711.0,563.0,,,148.0,0.0,0.0,,,,,363.0,,89.0,42.0,0.0,1074.0,2154.0,2154.0,,,,607,,,,,476,2761.0,3835.0,232.0,7487.0,4.0,7483.0,0.0,-3784.0,,3935.0,0.0,3935.0,7770.0,
09/30/2018,7918.0,36.0,36.0,0.0,368.0,368.0,0.0,49.0,0.0,6.0,0.0,43.0,125,22.0,0.0,,27,578.0,7152.0,9663.0,-2511.0,139.0,139.0,49.0,,,,27,7340.0,,762.0,607.0,,,155.0,0.0,,,,,,369.0,,73.0,33.0,0.0,1131.0,2243.0,2243.0,,,,605,,,,,499,2848.0,3979.0,0.0,7730.0,4.0,7726.0,0.0,-3791.0,,3939.0,0.0,3939.0,7918.0,
12/31/2018,8203.0,3.0,3.0,0.0,405.0,405.0,0.0,48.0,0.0,2.0,0.0,46.0,283,4.0,79.0,,30,739.0,7266.0,9949.0,-2683.0,167.0,167.0,31.0,0.0,0.0,0.0,27,7464.0,,692.0,514.0,0.0,0.0,178.0,0.0,0.0,0.0,0.0,,0.0,23.0,0.0,14.0,201.0,0.0,715.0,2485.0,2485.0,0.0,0.0,,702,0.0,0.0,0.0,0.0,487,3187.0,3902.0,0.0,7738.0,4.0,7734.0,0.0,-3437.0,0.0,4301.0,0.0,4301.0,8203.0,
03/31/2019,8471.0,6.0,6.0,0.0,538.0,538.0,0.0,52.0,0.0,6.0,0.0,46.0,107,23.0,0.0,,38,703.0,7552.0,10469.0,-2917.0,168.0,168.0,48.0,,,,25,7768.0,,820.0,683.0,,,137.0,53.0,0.0,53.0,,53.0,,137.0,,29.0,188.0,0.0,1010.0,2516.0,2470.0,46.0,,46.0,697,,,,,480,3213.0,4223.0,0.0,7733.0,4.0,7729.0,0.0,-3485.0,0.0,4248.0,0.0,4248.0,8471.0,
06/30/2019,8553.0,109.0,109.0,0.0,505.0,505.0,0.0,45.0,0.0,4.0,0.0,41.0,115,42.0,0.0,,34,774.0,7649.0,10807.0,-3158.0,55.0,55.0,75.0,,,,33,7779.0,,892.0,721.0,,,171.0,54.0,0.0,54.0,,54.0,,80.0,,29.0,270.0,0.0,1026.0,2197.0,2157.0,40.0,,40.0,769,,,,,470,2966.0,3992.0,0.0,7741.0,4.0,7737.0,0.0,-3180.0,0.0,4561.0,0.0,4561.0,8553.0,
09/30/2019,8620.0,13.0,13.0,0.0,553.0,553.0,0.0,46.0,0.0,4.0,0.0,42.0,204,56.0,0.0,,35,816.0,7665.0,11076.0,-3411.0,51.0,51.0,88.0,,,,32,7804.0,,835.0,686.0,,,149.0,60.0,0.0,60.0,,60.0,,35.0,,7.0,307.0,0.0,930.0,2232.0,2201.0,31.0,,31.0,815,,,,,501,3047.0,3977.0,0.0,7702.0,4.0,7698.0,0.0,-3059.0,0.0,4643.0,0.0,4643.0,8620.0,
12/31/2019,8413.0,60.0,60.0,0.0,450.0,450.0,0.0,41.0,0.0,5.0,0.0,36.0,96,10.0,0.0,,39,647.0,7666.0,11320.0,-3654.0,48.0,48.0,52.0,0.0,0.0,0.0,42,7766.0,,747.0,556.0,0.0,0.0,191.0,60.0,0.0,60.0,,60.0,0.0,91.0,0.0,0.0,290.0,0.0,898.0,2218.0,2202.0,16.0,,16.0,782,0.0,0.0,0.0,0.0,492,3000.0,3898.0,0.0,7696.0,4.0,7692.0,0.0,-3181.0,0.0,4515.0,0.0,4515.0,8413.0,
03/31/2020,10096.0,61.0,61.0,0.0,447.0,447.0,0.0,30.0,0.0,8.0,0.0,22.0,907,8.0,0.0,,39,1445.0,8476.0,10064.0,-1588.0,45.0,45.0,130.0,,,,122,8651.0,,838.0,618.0,,,220.0,0.0,0.0,,,,,24.0,,3.0,243.0,0.0,862.0,3200.0,3200.0,,,,943,,,,,697,4143.0,5005.0,11.0,8649.0,6.0,8643.0,0.0,-3569.0,0.0,5091.0,,5091.0,10096.0,
06/30/2020,9858.0,407.0,407.0,0.0,424.0,424.0,0.0,27.0,0.0,5.0,0.0,22.0,387,34.0,0.0,,42,1245.0,8421.0,10261.0,-1840.0,41.0,41.0,151.0,,,,117,8613.0,,651.0,412.0,,,239.0,369.0,0.0,,,,369.0,90.0,,51.0,137.0,0.0,1110.0,3210.0,3210.0,,,,846,,,,,658,4056.0,5166.0,11.0,8659.0,6.0,8653.0,0.0,-3978.0,0.0,4692.0,,4692.0,9858.0,
