Date,Net Revenue,Net Interest Income,Total Interest Income,Interest Income,Investment Income,Total Interest Expense,Total Non-Interest Income,Trading Securities G/L,Trading Account Profits/Losses,Investments & Loans Income (Loss),Other Income (Loss),Commissions & Fees Earned,Other Operating Income (Losses),Provision for Loan Losses,Net Revenue after Provisions,Total Non-Interest Expense,Commissions & Fees Paid,Other Operating Expenses,Operating Income (Loss),Non-Operating (Income) Loss,(Income) Loss from Affiliates,Other Non-Operating (Income) Loss,"Pretax Income (Loss), GAAP",Income Tax Expense (Benefit),Current Income Tax,Deferred Income Tax,Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,Extraordinary & Accounting Items,Income (Loss) incl. Minority Interest,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
09/30/2000,-24.789,13.873,15.98,15.98,0.0,-2.107,-38.662,-39.638,,,,0.976,0.0,0.0,-24.789,-1.209,0,1.209,-25.998,-2.616,1.308,1.308,-27.306,0.0,,,-27.306,0.0,,,-27.306,0,-27.306,0,0.0,-27.306,-27.306,,32.453691,-0.841384,-0.841384,-0.840646,33.137165,-0.841384,-0.841384,-0.840646,
12/31/2000,66.227,,,,,,66.227,,,,,,66.227,0.0,66.227,-67.184,0,67.184,-0.957,0.326,,-0.326,-0.631,3.282,,,2.651,0.0,,,2.651,0,2.651,0,0.0,2.651,2.651,,13.586877,0.19515,0.19515,0.19515,13.586877,0.19515,0.19515,0.19515,
03/31/2001,-5.785,17.242,20.766,20.766,0.0,-3.524,-23.027,-24.954,,,,1.927,0.0,0.0,-5.785,-4.117,0,4.117,-9.902,0.0,,0.0,-9.902,0.0,,,-9.902,0.0,,,-9.902,0,-9.902,0,0.0,-9.902,-9.902,,37.112772,-0.270208,-0.270208,-0.270208,37.675006,-0.270208,-0.270208,-0.270208,
06/30/2001,18.159001,17.602001,20.537001,20.537001,0.0,-2.935,0.557,-4.782,,,,5.339,0.0,0.0,18.159001,-6.908,0,6.908,11.251,0.0,,0.0,11.251,0.0,,,11.251,0.0,,,11.251,0,11.251,0,0.0,11.251,11.251,,37.745617,0.300231,0.300231,0.427829,38.481051,0.292725,0.292725,0.420323,
09/30/2001,2.65,20.804001,22.849001,22.849001,0.0,-2.045,-18.154001,-20.745001,,,,2.591,0.0,0.0,2.65,-4.282,0,4.282,-1.632,0.0,,0.0,-1.632,0.0,,,-1.632,0.0,,,-1.632,0,-1.632,0,0.0,-1.632,-1.632,,45.251841,-0.037529,-0.037529,0.420323,45.996599,-0.037529,-0.037529,0.412817,
12/31/2001,24.108001,22.295001,24.134001,24.134001,0.0,-1.839,1.813,-4.281,,,,6.094,0.0,0.0,24.108001,-5.22,0,5.22,18.888,0.0,,0.0,18.888,0.0,,,18.888,0.0,,,18.888,0,18.888,0,0.0,18.888,18.888,,47.542076,0.397806,0.397806,0.450346,48.301496,0.3903,0.3903,0.442841,
03/31/2002,10.770999,26.032,28.268,28.268,0.0,-2.236,-15.261001,-19.634001,,,,4.373,0.0,0.0,10.770999,-7.154,0,7.154,3.617,0.0,,0.0,3.617,0.0,,,3.617,0.0,,,3.617,0,3.617,0,0.0,3.617,3.617,,49.930909,0.075058,0.075058,0.465358,51.125988,0.067552,0.067552,0.457852,
06/30/2002,18.632,26.575,29.725,29.725,0.0,-3.15,-7.943,-12.396,,,,4.453,0.0,0.0,18.632,-6.38,0,6.38,12.252,0.0,,0.0,12.252,0.0,,,12.252,0.0,,,12.252,0,12.252,0,0.0,12.252,12.252,,50.363907,0.240185,0.240185,0.487875,51.576307,0.240185,0.240185,0.480369,
09/30/2002,-2.738999,27.629001,31.422001,31.422001,0.0,-3.793,-30.368,-38.222,,,,7.854,0.0,0.0,-2.738999,-8.785,0,8.785,-11.524,0.0,,0.0,-11.524,0.0,,,-11.524,0.0,,,-11.524,0,-11.524,0,0.0,-11.524,-11.524,,53.650712,-0.217667,-0.217667,0.495381,54.16898,-0.217667,-0.217667,0.495381,
12/31/2002,23.549,27.511,32.653,32.653,0.0,-5.142,-3.962,-12.236,,,,8.274,0.0,0.0,23.549,-7.833,0,7.833,15.716,0.0,,0.0,15.716,0.0,,,15.716,0.0,,,15.716,0,15.716,0,0.0,15.716,15.716,,55.810381,0.285219,0.285219,0.502887,55.927627,0.277714,0.277714,0.502887,
03/31/2003,7.315,30.694,34.705,34.705,0.0,-4.011,-23.379,-31.738,,,,8.359,,0.0,7.315,-8.29,0,8.29,-0.975,,,,-0.975,0.0,,,-0.975,0.0,,,-0.975,0,-0.975,0,0.0,-0.975,-0.975,,63.142073,-0.015012,-0.015012,0.487875,63.38855,-0.015012,-0.015012,0.487875,
06/30/2003,35.223,32.937,36.67,36.67,0.0,-3.733,2.286,-4.249,,,,6.535,0.0,0.0,35.223,-8.914,0,8.914,26.309,0.0,,0.0,26.309,0.0,,,26.309,0.0,,,26.309,0,26.309,0,0.0,26.309,26.309,,73.042454,0.360277,0.360277,0.420323,73.320906,0.360277,0.360277,0.420323,
09/30/2003,38.799,36.105,40.517,40.517,0.0,-4.412,2.694,-10.107,,,,12.801,0.0,0.0,38.799,-12.292,0,12.292,26.507,0.0,,0.0,26.507,0.0,,,26.507,0.0,,,26.507,0,26.507,0,0.0,26.507,26.507,,73.169023,0.360277,0.360277,0.502887,73.612682,0.360277,0.360277,0.495381,
12/31/2003,83.71,40.808,47.166,47.166,0.0,-6.358,42.902,23.375,,,,19.527,0.0,0.0,83.71,-17.566999,0,17.566999,66.142998,0.0,,0.0,66.142998,0.0,,,66.142998,0.0,,,66.142998,0,66.142998,0,0.0,66.142998,66.142998,,81.57855,0.810623,0.810623,0.525404,82.461873,0.803118,0.803118,0.517898,
03/31/2004,47.594,43.566,49.611,49.611,0.0,-6.045,4.028,-6.946,,,,10.974,0.0,0.0,47.594,-12.991,0,12.991,34.603,0.0,,0.0,34.603,0.0,,,34.603,0.0,,,34.603,0,34.603,0,0.0,34.603,34.603,,89.432507,0.3903,0.3903,0.3903,90.955335,0.382794,0.382794,0.382794,
06/30/2004,104.95,53.263,59.791,59.791,0.0,-6.528,51.687,35.9,,,,15.787,0.0,0.0,104.95,-16.051,0,16.051,88.899,0.0,,0.0,88.899,0.0,,,88.899,0.0,,,88.899,0,88.899,0,0.0,88.899,88.899,,95.871551,0.930716,0.930716,0.555427,96.702912,0.915704,0.915704,0.547921,
09/30/2004,77.803999,57.907,68.25,68.25,0.0,-10.343,19.897,5.881,,,,14.016,0.0,0.0,77.803999,-15.891,0,15.891,61.912998,0.0,,0.0,61.912998,-1.314,,,60.598999,0.0,,,60.598998,0,60.598999,0,0.0,60.598999,60.598999,,107.557229,0.562933,0.562933,0.510392,108.84956,0.555427,0.555427,0.502887,
12/31/2004,130.227,73.701,87.636,87.636,0.0,-13.935,56.526,32.454,,,,24.072,0.0,0.0,130.227,-32.122,0,32.122,98.105,0.0,,0.0,98.105,-0.761,,,97.344,0.0,,,97.344,0,97.344,0,0.0,97.344,97.344,,113.892349,0.855658,0.855658,0.570439,116.97531,0.833141,0.833141,0.555427,
03/31/2005,131.302,69.072,86.418,86.418,0.0,-17.346,62.23,47.793,,,,14.437,0.0,0.0,131.302,-18.597,0,18.597,112.705,0.0,,0.0,112.705,-1.025,,,111.68,0.0,,,111.68,0,111.68,0,0.0,111.68,111.68,,119.286864,0.938221,0.938221,0.53291,121.774284,0.915704,0.915704,0.525404,
06/30/2005,115.617,75.92,97.91,97.91,0.0,-21.99,39.697,5.875,,,,33.822,0.0,0.0,115.617,-31.509,0,31.509,84.108,0.0,,0.0,84.108,-4.759,,,79.349,0.0,,,79.349,0,79.349,0,0.0,79.349,79.349,,125.123706,0.630485,0.630485,0.58545,128.875485,0.615473,0.615473,0.570439,
09/30/2005,128.994,86.516,114.405,114.405,0.0,-27.889,42.478,8.131,,,,34.347,0.0,0.0,128.994,-33.053,0,33.053,95.941,0.0,,0.0,95.941,-1.884,,,94.057,0.0,,,94.057,0,94.057,0,0.0,94.057,94.057,,136.383041,0.690531,0.690531,0.630485,139.224854,0.675519,0.675519,0.615473,
12/31/2005,128.933,93.632,127.122,127.122,0.0,-33.49,35.301,-10.738,,,,46.039,0.0,0.0,128.933,-44.274,0,44.274,84.659,0.0,,0.0,84.659,-4.836,,,79.823,0.0,,,79.823,0,79.823,0,0.0,79.823,79.823,,147.879526,0.540416,0.540416,0.615473,150.021878,0.53291,0.53291,0.600462,
03/31/2006,205.328,95.143,131.125,131.125,0.0,-35.982,110.185,68.132,,,,42.053,0.0,0.0,205.328,-38.632,0,38.632,166.696,0.0,,0.0,166.696,-5.668,,,161.028,-1.026,,,162.054,0,162.054,0,0.0,162.054,162.054,,159.698431,1.013279,1.005773,0.577944,161.323846,1.005773,0.998268,0.577944,
06/30/2006,352.362,115.761,156.539,156.539,0.0,-40.778,236.601,181.105,,,,55.496,0.0,0.0,352.362,-55.31,0,55.31,297.052,0.0,,0.0,297.052,-6.708,,,290.344,0.0,,,290.344,0,290.344,0,0.0,290.344,290.344,,177.578004,1.636258,1.636258,0.615473,178.781078,1.621247,1.621247,0.607968,
09/30/2006,196.766,124.02,179.645,179.645,0.0,-55.625,72.746,21.564,,,,51.182,0.0,0.0,196.766,-59.604,0,59.604,137.162,0.0,,0.0,137.162,-5.6,,,131.562,0.0,,,131.562,0,131.562,0,0.0,131.562,131.562,,188.640157,0.698037,0.698037,0.58545,190.885096,0.690531,0.690531,0.577944,
12/31/2006,386.0,145.0,202.0,202.0,0.0,-57.0,241.0,199.0,,,,42.0,0.0,0.0,386.0,-81.0,0,81.0,305.0,0.0,,0.0,305.0,7.0,,,312.0,0.0,,,312.0,0,312.0,0,0.0,312.0,312.0,,193.451122,1.613741,1.613741,0.58545,197.714507,1.576212,1.576212,0.570439,
03/31/2007,208.0,144.0,206.0,206.0,0.0,-62.0,64.0,20.0,,,,44.0,0.0,0.0,208.0,-76.0,0,76.0,132.0,0.0,,0.0,132.0,2.0,,,134.0,0.0,,,134.0,0,134.0,0,0.0,134.0,134.0,,203.443432,0.660508,0.660508,0.562933,207.973279,0.645496,0.645496,0.547921,
06/30/2007,888.0,176.0,249.0,249.0,0.0,-73.0,712.0,635.0,,,,77.0,0.0,0.0,888.0,-89.0,0,89.0,799.0,0.0,,0.0,799.0,-11.0,,,788.0,0.0,,,788.0,0,788.0,0,0.0,788.0,788.0,,219.964051,3.580253,3.580253,0.698037,224.493898,3.512701,3.512701,0.683025,
09/30/2007,99.0,189.0,268.0,268.0,0.0,-79.0,-90.0,-132.0,,,,42.0,0.0,0.0,99.0,-84.0,0,84.0,15.0,0.0,,0.0,15.0,6.0,,,21.0,0.0,,,21.0,0,21.0,0,0.0,21.0,21.0,,248.875134,0.082563,0.082563,0.615473,252.205904,0.082563,0.082563,0.607968,
12/31/2007,-136.0,210.0,283.0,283.0,0.0,-73.0,-346.0,-417.0,,,,71.0,0.0,0.0,-136.0,-104.0,0,104.0,-240.0,0.0,,0.0,-240.0,-3.0,,,-243.0,0.0,,,-243.0,0,-243.0,0,0.0,-243.0,-243.0,,253.937905,-0.953233,-0.953233,0.683025,257.135444,-0.953233,-0.953233,0.675519,
03/31/2008,-735.0,195.0,258.0,258.0,0.0,-63.0,-930.0,-964.0,,,,34.0,0.0,0.0,-735.0,-79.0,0,79.0,-814.0,0.0,,0.0,-814.0,1.0,,,-813.0,0.0,,,-813.0,0,-813.0,0,0.0,-813.0,-813.0,,260.066522,-3.122401,-3.122401,0.577944,260.066522,-3.122401,-3.122401,0.577944,
06/30/2008,0.0,191.0,239.0,239.0,0.0,-48.0,-191.0,-215.0,,,,24.0,0.0,0.0,0.0,-77.0,0,77.0,-77.0,0.0,,0.0,-77.0,7.0,,,-70.0,0.0,,,-70.0,0,-70.0,0,0.0,-70.0,-70.0,,272.323755,-0.255196,-0.255196,0.53291,272.323755,-0.255196,-0.255196,0.53291,
09/30/2008,-473.0,201.0,251.0,251.0,0.0,-50.0,-674.0,-701.0,,,,27.0,0.0,0.0,-473.0,-73.0,0,73.0,-546.0,0.0,,0.0,-546.0,-2.0,,,-548.0,0.0,,,-548.0,0,-548.0,0,0.0,-548.0,-548.0,,277.253295,-1.974018,-1.974018,0.555427,277.253295,-1.974018,-1.974018,0.555427,
12/31/2008,159.0,145.0,204.0,204.0,,-59.0,14.0,,,,,14.0,0.0,0.0,159.0,-72.0,0,72.0,87.0,-1728.0,,1728.0,-1641.0,-43.0,,,-1684.0,0.0,,,-1684.0,0,-1684.0,0,0.0,-1684.0,-1684.0,,275.920987,-6.102193,-6.102193,-6.102193,275.920987,-6.102193,-6.102193,-6.102193,
03/31/2009,143.0,127.0,179.0,179.0,,-52.0,16.0,0.0,0.0,0.0,0.0,16.0,0.0,,143.0,-690.0,0,690.0,-547.0,0.0,,0.0,-547.0,0.0,0.0,0.0,-547.0,0.0,0.0,0.0,-547.0,0,-547.0,0,0.0,-547.0,-547.0,613.6,275.254833,-1.98903,-1.98903,0.241958,275.254833,-1.98903,-1.98903,0.240177,
06/30/2009,80.0,67.0,127.0,127.0,,-60.0,13.0,0.0,0.0,0.0,0.0,13.0,0.0,,80.0,-638.0,0,638.0,-558.0,0.0,,0.0,-558.0,11.0,,,-547.0,0.0,0.0,0.0,-547.0,0,-547.0,0,0.0,-547.0,-547.0,156.65,217.0,-2.52,-2.52,-1.798848,217.0,-2.52,-2.52,-1.798848,
09/30/2009,108.0,91.0,176.0,176.0,,-85.0,17.0,0.0,0.0,0.0,0.0,17.0,0.0,,108.0,-30.0,0,30.0,78.0,0.0,,0.0,78.0,-1.0,,,77.0,0.0,0.0,0.0,77.0,0,77.0,0,0.0,77.0,77.0,-41.75,256.5,0.3,0.3,0.137427,284.3,0.27,0.27,0.123148,
12/31/2009,110.0,97.0,156.0,156.0,,-59.0,13.0,0.0,0.0,0.0,0.0,13.0,0.0,,110.0,-13.0,0,13.0,97.0,0.0,,0.0,97.0,10.0,,,107.0,0.0,0.0,0.0,107.0,0,107.0,0,0.0,107.0,107.0,-77.6,283.2,0.38,0.38,0.103814,284.3,0.38,0.38,0.103814,
03/31/2010,107.0,93.0,150.0,150.0,,-57.0,14.0,0.0,0.0,0.0,0.0,14.0,0.0,,107.0,80.0,0,-80.0,187.0,0.0,,0.0,187.0,0.0,0.0,0.0,187.0,0.0,0.0,0.0,187.0,0,187.0,0,0.0,187.0,187.0,-135.4,283.7,0.66,0.66,0.181882,286.0,0.65,0.65,0.176573,
06/30/2010,95.0,82.0,138.0,138.0,,-56.0,13.0,0.0,0.0,0.0,0.0,13.0,0.0,,95.0,186.0,0,-186.0,281.0,0.0,,0.0,281.0,0.0,0.0,0.0,281.0,0.0,0.0,0.0,281.0,0,281.0,0,0.0,281.0,281.0,-252.0,330.9,0.85,0.85,0.08764,335.7,0.84,0.84,0.08764,
09/30/2010,106.0,89.0,125.0,125.0,,-36.0,17.0,0.0,0.0,0.0,0.0,17.0,0.0,,106.0,43.0,0,-43.0,149.0,0.0,,0.0,149.0,0.0,0.0,0.0,149.0,0.0,0.0,0.0,149.0,0,149.0,0,0.0,149.0,149.0,-89.35,343.5,0.43,0.43,0.173654,348.0,0.43,0.43,0.173247,
12/31/2010,115.0,105.0,133.0,133.0,,-28.0,10.0,0.0,0.0,0.0,0.0,10.0,0.0,,115.0,266.0,0,-266.0,381.0,0.0,,0.0,381.0,0.0,0.0,0.0,381.0,0.0,0.0,0.0,381.0,0,381.0,0,0.0,381.0,381.0,-313.35,344.6,1.11,1.11,0.196315,353.1,1.08,1.08,0.192574,
03/31/2011,130.0,117.0,146.0,146.0,,-29.0,13.0,0.0,0.0,0.0,0.0,13.0,0.0,,130.0,304.0,0,-304.0,434.0,0.0,,0.0,434.0,0.0,0.0,0.0,434.0,0.0,0.0,0.0,434.0,0,434.0,0,0.0,434.0,434.0,-351.0,346.1,1.25,1.25,0.239815,358.4,1.21,1.21,0.230647,
06/30/2011,122.0,111.0,131.0,131.0,,-20.0,11.0,0.0,0.0,0.0,0.0,11.0,0.0,,122.0,288.0,0,-288.0,410.0,0.0,,0.0,410.0,0.0,0.0,0.0,410.0,0.0,0.0,0.0,410.0,0,410.0,0,0.0,410.0,410.0,-339.0,347.3,1.18,1.18,0.204434,361.6,1.13,1.13,0.1925,
09/30/2011,110.0,97.0,117.0,117.0,,-20.0,13.0,0.0,0.0,0.0,0.0,13.0,0.0,,110.0,-574.0,0,574.0,-464.0,0.0,,0.0,-464.0,0.0,0.0,0.0,-464.0,0.0,0.0,0.0,-464.0,0,-464.0,0,0.0,-464.0,-464.0,529.0,345.3,-1.34,-1.34,0.188242,345.3,-1.34,-1.34,0.188242,
12/31/2011,139.0,128.0,149.0,149.0,,-21.0,11.0,0.0,0.0,0.0,0.0,11.0,0.0,,139.0,310.0,0,-310.0,449.0,0.0,,0.0,449.0,145.0,,,594.0,0.0,0.0,0.0,594.0,0,594.0,0,0.0,594.0,594.0,-365.0,337.1,1.76,1.76,0.679324,343.9,1.73,1.73,0.668645,
03/31/2012,133.0,120.0,136.0,136.0,,-16.0,13.0,0.0,0.0,0.0,0.0,13.0,0.0,,133.0,479.0,0,-479.0,612.0,0.0,,0.0,612.0,-32.0,,,580.0,0.0,0.0,0.0,580.0,0,580.0,0,0.0,580.0,580.0,-531.0,330.9,1.75,1.75,0.148081,339.6,1.71,1.71,0.146396,
06/30/2012,147.0,135.0,151.0,151.0,,-16.0,12.0,0.0,0.0,0.0,0.0,12.0,0.0,,147.0,-7.0,0,7.0,140.0,0.0,,0.0,140.0,97.0,,,237.0,0.0,0.0,0.0,237.0,0,237.0,0,0.0,237.0,237.0,-43.0,324.5,0.73,0.73,0.597843,333.9,0.71,0.71,0.581219,
09/30/2012,139.0,127.0,142.0,142.0,,-15.0,12.0,0.0,0.0,0.0,0.0,12.0,0.0,,139.0,76.0,0,-76.0,215.0,0.0,,0.0,215.0,-19.0,,,196.0,0.0,0.0,0.0,196.0,0,196.0,0,0.0,196.0,196.0,-125.0,316.4,0.62,0.62,0.224399,327.3,0.6,0.6,0.218087,
12/31/2012,168.0,145.0,157.0,157.0,,-12.0,23.0,0.0,0.0,0.0,0.0,23.0,0.0,,168.0,-13.0,0,13.0,155.0,0.0,,0.0,155.0,-32.0,,,123.0,0.0,0.0,0.0,123.0,0,123.0,0,0.0,123.0,123.0,-40.0,309.7,0.4,0.4,0.268001,320.7,0.38,0.38,0.255273,
03/31/2013,122.0,111.0,122.0,122.0,,-11.0,11.0,0.0,0.0,0.0,0.0,11.0,0.0,,122.0,246.0,0,-246.0,368.0,0.0,,0.0,368.0,-22.0,,,346.0,0.0,0.0,0.0,346.0,0,346.0,0,0.0,346.0,346.0,-300.0,305.4,1.13,1.13,0.15,317.9,1.09,1.09,0.14,
06/30/2013,119.0,107.0,118.0,118.0,,-11.0,12.0,0.0,0.0,0.0,0.0,12.0,0.0,,119.0,-82.0,0,82.0,37.0,0.0,,0.0,37.0,-16.0,,,21.0,0.0,0.0,0.0,21.0,0,21.0,0,0.0,21.0,21.0,28.0,297.5,0.07,0.07,0.16,309.7,0.07,0.07,0.16,
09/30/2013,96.0,81.0,91.0,91.0,,-10.0,15.0,0.0,0.0,0.0,0.0,15.0,0.0,,96.0,-73.0,0,73.0,23.0,0.0,,0.0,23.0,-24.0,,,-1.0,0.0,0.0,0.0,-1.0,0,-1.0,0,0.0,-1.0,-1.0,24.0,286.5,0.0,0.0,0.08,286.5,0.0,0.0,0.08,
12/31/2013,106.0,80.0,92.0,92.0,,-12.0,26.0,0.0,0.0,0.0,0.0,26.0,0.0,,106.0,-274.0,0,274.0,-168.0,0.0,,0.0,-168.0,-14.0,,,-182.0,0.0,0.0,0.0,-182.0,0,-182.0,0,0.0,-182.0,-182.0,220.0,277.5,-0.66,-0.66,0.136937,277.5,-0.66,-0.66,0.132793,
03/31/2014,72.0,59.0,71.0,71.0,,-12.0,13.0,0.0,0.0,0.0,0.0,13.0,0.0,,72.0,9.0,0,-9.0,81.0,0.0,,0.0,81.0,-11.0,,,70.0,0.0,0.0,0.0,70.0,0,70.0,0,0.0,70.0,70.0,-65.0,270.7,0.26,0.26,0.02,283.4,0.25,0.25,0.02,
06/30/2014,89.0,72.0,83.0,83.0,,-11.0,17.0,0.0,0.0,0.0,0.0,17.0,0.0,,89.0,138.0,0,-138.0,227.0,0.0,,0.0,227.0,-15.0,,,212.0,0.0,0.0,0.0,212.0,0,212.0,0,0.0,212.0,212.0,-186.0,266.2,0.8,0.8,0.1,278.5,0.76,0.76,0.09,
09/30/2014,115.0,101.0,115.0,115.0,,-14.0,14.0,0.0,0.0,0.0,0.0,14.0,0.0,,115.0,14.0,0,-14.0,129.0,0.0,,0.0,129.0,-15.0,,,114.0,0.0,0.0,0.0,114.0,0,114.0,0,0.0,114.0,114.0,-63.0,267.1,0.43,0.43,0.19,279.9,0.41,0.41,0.18,
12/31/2014,141.0,127.0,144.0,144.0,,-17.0,14.0,0.0,0.0,0.0,0.0,14.0,0.0,,141.0,-78.0,0,78.0,63.0,0.0,,0.0,63.0,-25.0,,,38.0,0.0,0.0,0.0,38.0,0,38.0,0,0.0,38.0,38.0,9.35,269.0,0.14,0.14,0.176022,281.1,0.14,0.14,0.173262,
03/31/2015,137.0,121.0,138.0,138.0,,-17.0,16.0,0.0,0.0,0.0,0.0,16.0,0.0,,137.0,-94.0,0,94.0,43.0,0.0,,0.0,43.0,-28.0,,,15.0,0.0,0.0,0.0,15.0,0,15.0,0,0.0,15.0,15.0,41.5,271.1,0.06,0.06,0.20841,282.9,0.05,0.05,0.196695,
06/30/2015,148.0,131.0,151.0,151.0,,-20.0,17.0,0.0,0.0,0.0,0.0,17.0,0.0,,148.0,-56.0,0,56.0,92.0,0.0,,0.0,92.0,-30.0,,,62.0,0.0,0.0,0.0,62.0,0,62.0,0,0.0,62.0,62.0,7.6,272.4,0.23,0.23,0.255507,283.4,0.22,0.22,0.246817,
09/30/2015,155.0,144.0,165.0,165.0,,-21.0,11.0,0.0,0.0,0.0,0.0,11.0,0.0,,155.0,-159.0,0,159.0,-4.0,0.0,,0.0,-4.0,-33.0,,,-37.0,0.0,0.0,0.0,-37.0,0,-37.0,0,0.0,-37.0,-37.0,112.0,267.7,-0.14,-0.14,0.28,267.7,-0.14,-0.14,0.28,
12/31/2015,152.0,132.0,153.0,153.0,,-21.0,20.0,0.0,0.0,0.0,0.0,20.0,0.0,,152.0,-345.0,0,345.0,-193.0,0.0,,0.0,-193.0,-34.0,,,-227.0,0.0,0.0,0.0,-227.0,0,-227.0,0,0.0,-227.0,-227.0,289.3,257.6,-0.88,-0.88,0.241848,257.6,-0.88,-0.88,0.241848,
