Date,Revenue,Rental Income,Real Estate Sales,Com & Fee Earn/Inc from REO,Mortgage Income,Other Operating Income,Operating Expenses,Property Operating Expenses,General & Administrative,Depreciation & Amortization,Provision for Loan Losses,Cost of Real Estate Sold,Other Operating Expenses,Operating Income (Loss),Non-Operating (Income) Loss,Interest Expense,(Income) Loss from Affiliates,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",FFO Reconciliation,D&A of Con Real Estate,D&A of Uncon Real Estate,D&A of Non-Real Estate Assets,D&A from Disc Ops,Impairment of Assets,Disposal of Con Assets,Disposal of Uncon Assets,Disposal of Assets from Disc Ops,Abnormal Losses/(Gains),Income Taxes,Income Taxes from Sale of Assets,Deficit/Distributions to Partners,Other FFO Adjustments,Funds from Operations,Other Abnormal Gains/(Losses),Adjusted Funds from Operations,Straight-Line Rent,Recurring Capital Expenditure,Funds Available For Distribution,AFFO Per Diluted Share,FAD Per Diluted Share,Dividend Per Share,AFFO Payout Ratio,FAD Payout Ratio,FFO Payout Ratio,Source: Bloomberg
09/30/2003,360.658,340.408,0.0,12.937,0.0,7.313,-249.74,157.329,10.926,81.508,-0.023,,0.0,110.918,-86.347,86.029,1.767,-1.449,24.571,0.0,,-29.1,,,53.671,,40.635,,,13.705,13.705,,126.630437,0.109972,-0.117304,-0.117304,126.630437,0.109972,-0.117304,-0.117304,,,,,,,,,,,,,,,77.047,,77.047,,,77.047,0.60844,0.60844,0.43989,72.297948,72.297948,72.297948,
12/31/2003,339.436,311.174,0.0,20.795,0.0,7.474,-243.899,156.474,9.277,75.467,0.695,,1.986,95.54,-94.027,90.234,0.111,3.682,1.513,0.0,,-27.327,,,28.84,,37.169,,,15.481,15.481,,126.64544,0.117304,-0.095309,-0.095309,126.80639,0.117304,-0.095309,-0.095309,,,,,,,,,,,,,,,51.067,,51.067,,,51.067,0.402716,0.402716,0.43989,109.230619,109.230619,109.103726,
03/31/2004,383.902,359.902,0.0,16.524,0.0,7.476,-279.829,170.406,18.632,90.87,-0.079,,0.0,105.214,-96.013,94.71,1.303,0.0,9.201,0.0,,-7.979,,,17.18,,14.028,,,-5.839,-5.839,,126.592245,-0.043989,-0.109972,-0.109972,126.592245,-0.043989,-0.109972,-0.109972,,,,,,,,,,,,,,,62.548,,62.548,,,62.548,0.49409,0.49409,0.43989,89.030185,89.030185,89.030824,
06/30/2004,387.725,361.001,0.0,19.191,0.0,7.533,-287.212,174.409,18.407,93.216,1.18,,0.0,101.102,-99.844,96.372,1.038,2.434,1.258,0.0,,-8.886,,,10.144,,13.986,,,-7.787,-7.787,,126.938696,-0.058652,-0.131967,-0.131967,126.938696,-0.058652,-0.131967,-0.131967,,,,,,,,,,,,,,,59.655,,59.655,,,59.655,0.469951,0.469951,0.43989,93.603219,93.603219,93.603219,
09/30/2004,357.679,341.116,0.0,14.698,0.0,1.865,-278.922,174.909,18.434,84.907,0.672,,0.0,78.757,-44.519,92.043,1.197,-48.721,34.238,0.0,,-137.23,,,171.468,,163.208,,,138.541,138.541,,127.18694,1.092392,0.007331,0.014663,127.387445,1.085061,0.007331,0.014663,,,,,,,,,,,,,,,73.755,,73.755,,,73.755,0.578982,0.578982,0.43989,75.976408,75.976408,75.856823,
12/31/2004,310.355,286.298,0.0,16.849,,7.208,-245.429,144.579,23.394,80.994,-3.538,,,60.767,-46.196,70.834,-3.782,-20.856,14.571,0.0,,-48.863,,,63.434,,72.275,,,49.778,49.778,,127.323338,0.388569,0.014663,0.036657,127.774815,0.388569,0.014663,0.036657,,,,,,,,,,,,,,,67.631,,67.631,,,67.631,0.529298,0.529298,0.43989,83.108042,83.108042,82.815573,
03/31/2005,352.545,337.864,0.0,14.681,0.0,0.0,-280.806,168.27,20.851,93.277,-1.592,,0.0,71.739,-75.467,84.351,0.902,-9.786,-3.728,0.0,,-3.067,,,-0.661,,2.032,,,-20.837,-20.837,,127.4611,-0.161293,-0.190619,-0.190619,127.4611,-0.161293,-0.190619,-0.190619,,,,,,,,,,,,,,,59.476,,59.476,,,59.476,0.466621,0.466621,0.43989,94.271303,94.271303,94.271303,
06/30/2005,357.265,344.659,0.0,12.606,0.0,0.0,-282.521,164.841,21.723,95.923,0.034,,0.0,74.744,-75.524,86.328,0.418,-11.222,-0.78,0.0,,-28.32,,,27.54,,27.566,,,5.873,5.873,,127.950768,0.043989,-0.175956,-0.175956,127.950768,0.043989,-0.175956,-0.175956,,,,,,,,,,,,,,,62.826,,62.826,,,62.826,0.491017,0.491017,0.43989,89.587432,89.587432,89.587432,
09/30/2005,368.374,354.262,0.0,14.112,0.0,0.0,-301.235,173.887,23.095,103.717,0.206,,0.33,67.139,-76.764,90.7,0.552,-14.488,-9.625,0.0,,-33.509,,,23.884,,26.352,,,4.659,4.659,,128.269939,0.036657,-0.227276,-0.219945,128.269939,0.036657,-0.227276,-0.219945,,,,,,,,,,,,,,,55.169,0.0,55.169,,0.0,55.169,0.430101,0.430101,0.43989,102.275916,102.275916,102.275916,
12/31/2005,339.243,309.802,0.0,20.478,0.0,8.963,-264.781,144.975,27.157,83.314,-0.013,,9.348,74.462,-82.211,81.956,1.267,-1.012,-7.749,0.0,,-29.209,,,21.46,,15.032,,,-6.661,-6.661,,128.59593,-0.05132,-0.278597,-0.241939,128.59593,-0.05132,-0.278597,-0.241939,,,,,,,,,,,,,,,57.344,,57.344,,,57.344,0.445924,0.445924,0.879779,197.293527,197.293527,196.889648,
03/31/2006,402.88,390.311,0.0,12.569,0.0,0.0,-318.984,188.787,20.237,105.709,0.262,,3.989,83.896,-81.491,97.276,1.863,-17.648,2.405,0.0,,-78.276,,,80.681,,84.071,,,60.017,60.017,,129.827603,0.461884,-0.139298,-0.139298,129.827603,0.461884,-0.139298,-0.139298,,,,,,,,,,,,,,,,5.7,,,-16.22,,,,0.0,,,,
06/30/2006,408.224,392.499,0.0,15.725,0.0,0.0,-318.199,180.603,23.207,112.272,0.502,,1.615,90.025,-92.25,98.157,0.574,-6.481,-2.225,0.0,16.058,-39.277,,,37.052,-6.055,35.092,0.061,,16.058,16.058,,131.038816,0.124635,-0.175956,-0.175956,131.038816,0.124635,-0.175956,-0.175956,,112.272,-9.552,-7.682,6.724,,0.671,-1.059,-43.112,0.0,0.0,1.044,2.039,0.0,71.409,0.671,72.08,,-21.305,50.775,0.541637,0.381543,0.43989,81.214761,115.292171,80.721758,
09/30/2006,405.844,392.607,0.0,13.237,0.0,0.0,-323.287,182.114,23.292,117.927,-0.046,,,82.557,-84.676,100.193,0.169,-15.686,-2.119,0.0,-46.531,-11.084,,,8.965,-12.626,-24.875,0.019,,-46.531,-46.531,,131.025177,-0.351912,-0.43989,-0.43989,131.025177,-0.351912,-0.43989,-0.43989,,117.927,17.732,-4.928,4.921,,2.887,-8.759,-10.434,0.0,0.0,2.211,11.878,0.0,74.297,0.0,74.297,,-22.609,51.688,0.544795,0.379011,0.43989,80.744041,116.062529,77.575945,
12/31/2006,450.92,418.947,0.0,19.642,0.0,12.331,-235.423,207.321,26.035,127.374,2.067,,-0.035,88.158,-94.892,108.075,-0.536,-12.647,-6.734,0.0,66.111,-90.677,,,83.943,-2.395,82.499,0.06,,66.111,66.111,,130.55324,0.527867,-0.168624,-0.168624,130.55324,0.527867,-0.168624,-0.168624,,121.532,3.01,-5.046,10.373,,2.265,-7.329,-106.6,0.0,0.0,0.0,3.332,0.0,88.034,2.266,90.3,,-16.466,73.834,0.632859,0.517459,,,,0.0,
03/31/2007,408.074,394.348,0.0,13.726,0.0,0.0,-336.042,190.927,22.077,118.525,1.543,,2.97,72.032,-73.918,101.548,2.986,-30.616,-1.886,0.0,8.86,-31.253,,,29.367,-6.732,25.208,-16.348,,8.86,8.86,,137.071695,0.065983,-0.161293,-0.300591,137.071695,0.065983,-0.161293,-0.300591,,118.525,-13.045,-6.595,-11.706,,19.373,-20.462,-15.595,0.0,0.0,0.164,1.329,0.0,74.116,0.0,74.116,,-18.685,55.431,0.519132,0.388256,0.0,0.0,0.0,0.0,
06/30/2007,391.866,372.289,0.0,16.449,0.0,3.128,-312.467,176.965,24.024,110.743,0.735,,,79.399,-83.939,95.578,-0.93,-10.709,-4.54,0.0,2.983,-25.05,,,20.51,-8.525,19.329,0.058,,2.983,2.983,,137.071695,0.021994,-0.161293,-0.161293,137.071695,0.021994,-0.161293,-0.161293,,110.743,-1.808,-4.795,9.52,,0.0,-0.602,-24.311,0.0,0.0,2.597,1.473,0.0,87.333,0.0,87.333,,-25.968,61.365,0.616568,0.433235,0.417895,67.77761,96.459252,65.589846,
09/30/2007,359.768,345.197,0.0,14.571,0.0,0.0,-301.43,169.974,20.663,110.946,-0.153,,0.0,58.338,-70.792,92.699,-0.348,-21.559,-12.454,0.0,-9.523,-19.074,,,6.62,-25.615,-2.341,0.116,,-21.361,-21.361,,144.865471,-0.14663,-0.278597,-0.278597,144.865471,-0.14663,-0.278597,-0.278597,,318.691,-17.353,-14.782,32.595,,25.373,-26.919,-57.296,0.0,0.0,1.61,14.724,0.0,241.621,0.0,241.621,,-29.324,212.297,1.609919,1.414534,0.395901,24.591331,27.988064,23.73648,
12/31/2007,206.958,184.308,0.0,35.932,0.0,-13.282,-189.077,86.228,23.903,63.572,1.826,,13.548,17.881,-45.603,65.615,-1.431,-18.581,-27.722,19.84,-26.587,-7.718,,,-0.164,-11.188,-12.285,1.759,,-26.587,-26.587,,137.071695,-0.087978,-0.029326,0.124635,137.071695,-0.087978,-0.029326,0.124635,,147.608,-11.067,-6.377,-23.288,,17.687,-4.872,-8.383,0.0,0.0,0.525,24.036,0.0,83.785,0.0,83.785,,-28.634,55.151,0.432094,0.284423,2.280094,527.6848,801.654929,428.934893,
