Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Unbilled Revenues,Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Prepaid Expenses,Derivative & Hedging Assets,Deferred Tax Assets,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Investments,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Pensions,Other Post-Ret Benefits,Deferred Tax Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
09/30/2012,12661,3364,2909,455,200,200,0.0,,291,111.0,0.0,180.0,0.0,847,,,,347.0,4702,148,,,19,19.0,7792,7780,7107,673,12,7959,,708,253,,,455.0,0,0.0,,,,,847,,,0,1555,0,0.0,,,,223,,,,,60.0,163,223,1778,0,9418,,,0,1539,-74,10883,0,10883,12661,
12/31/2012,14200,4375,3959,416,707,707,0.0,,209,38.0,0.0,171.0,0.0,983,,0.0,,496.0,6274,141,513.0,-372.0,8,8.0,7777,7736,7106,630,41,7926,,995,343,0.0,0.0,652.0,0,0.0,0.0,0.0,,0.0,1657,0.0,0.0,0,2652,0,0.0,0.0,0.0,,231,0.0,0.0,0.0,0.0,25.0,206,231,2883,0,9450,0.001112,9449.998888,0,1893,-26,11317,0,11317,14200,
03/31/2013,13725,4618,4299,319,237,237,0.0,,159,40.0,0.0,119.0,0.0,789,,,,380.0,5803,133,,,9,9.0,7780,7760,7103,657,20,7922,,774,186,,,588.0,0,0.0,,,,,1125,,,0,1899,0,0.0,,,,291,,,,,83.0,208,291,2190,0,9498,,,0,2132,-95,11535,0,11535,13725,
06/30/2013,13411,4546,4341,205,117,117,0.0,,131,41.0,0.0,90.0,0.0,835,,,,500.0,5629,132,,,9,9.0,7641,7631,7102,529,10,7782,,528,139,,,389.0,0,0.0,,,,,665,,,0,1193,0,0.0,,,,283,,,,,77.0,206,283,1476,0,9541,,,0,2456,-62,11935,0,11935,13411,
09/30/2013,16060,4539,4444,95,205,205,0.0,,313,112.0,0.0,201.0,0.0,3194,,,,2853.0,8251,139,,,9,9.0,7661,7643,7098,545,18,7809,,792,286,,,506.0,0,0.0,,,,,641,,,0,1433,2211,2211.0,,,,277,,,,,71.0,206,2488,3921,0,9608,,,0,2513,18,12139,0,12139,16060,
12/31/2013,14012,4443,4410,33,510,510,0.0,,171,22.0,0.0,149.0,0.0,1117,,0.0,,796.0,6241,138,586.0,-448.0,9,9.0,7624,7589,7092,497,35,7771,,991,355,0.0,0.0,636.0,25,0.0,0.0,0.0,,25.0,1389,0.0,0.0,0,2405,4668,4668.0,0.0,0.0,,317,0.0,0.0,0.0,0.0,66.0,251,4985,7390,0,9682,,,-5814,2686,68,6622,0,6622,14012,
03/31/2014,13528,4287,4279,8,219,219,0.0,,158,19.0,0.0,139.0,0.0,1030,,,,694.0,5694,152,,,9,9.0,7673,7607,7089,518,66,7834,,801,166,,,635.0,0,0.0,,,,0.0,1092,,,0,1893,4320,4320.0,,,,391,,,,,86.0,305,4711,6604,0,9812,,,-5783,2832,63,6924,0,6924,13528,
06/30/2014,13360,4204,4199,5,107,107,0.0,,151,19.0,0.0,132.0,0.0,1012,,,,653.0,5474,162,,,9,9.0,7715,7629,7089,540,86,7886,,674,167,,,507.0,0,0.0,,,,0.0,769,,,0,1443,4321,4321.0,,,,425,,,,,82.0,343,4746,6189,0,9853,,,-5762,3036,44,7171,0,7171,13360,
09/30/2014,13855,3828,3805,23,689,689,0.0,,222,16.0,0.0,206.0,0.0,1218,,,,824.0,5957,162,,,9,9.0,7727,7637,7088,549,90,7898,,807,266,,,541.0,0,0.0,,,,0.0,1305,,,0,2112,4322,4322.0,,,,429,,,,,82.0,347,4751,6863,0,9900,,,-5764,3013,-157,6992,0,6992,13855,
12/31/2014,14642,4858,4848,10,659,659,0.0,,123,11.0,0.0,112.0,0.0,901,,0.0,264.0,901.0,6541,157,501.0,-344.0,9,9.0,7935,7586,7086,500,85,8101,,917,325,0.0,0.0,592.0,0,0.0,0.0,0.0,,0.0,1797,0.0,,0,2714,4324,4324.0,0.0,0.0,,371,0.0,0.0,0.0,0.0,10.0,361,4695,7409,0,9924,,,-5762,3374,-303,7233,0,7233,14642,
03/31/2015,13777,4470,4465,5,208,208,0.0,,102,12.0,0.0,90.0,0.0,1083,,,,718.0,5863,158,,,9,9.0,7747,7609,7084,525,138,7914,,738,123,,,615.0,0,0.0,,,,0.0,1161,,,0,1899,4075,4075.0,,,,565,,,,,124.0,441,4640,6539,0,9968,,,-5709,3598,-619,7238,0,7238,13777,
06/30/2015,14015,4521,4416,105,201,201,0.0,,117,45.0,0.0,72.0,0.0,1212,,,,860.0,6051,179,,,9,9.0,7776,7623,7084,539,153,7964,,708,198,,,510.0,0,0.0,,,,,837,,,0,1545,4077,4077.0,,,,592,,,,,126.0,466,4669,6214,0,10163,,,-5627,3810,-545,7801,0,7801,14015,
09/30/2015,14302,4519,4365,154,503,503,0.0,,238,64.0,0.0,174.0,0.0,1049,,,,676.0,6309,200,,,9,9.0,7784,7613,7083,530,171,7993,,703,309,,,394.0,0,0.0,,,,,907,,,0,1610,4078,4078.0,,,,625,,,,,110.0,515,4703,6313,0,10209,,,-5613,3937,-544,7989,0,7989,14302,
12/31/2015,15246,1823,1823,0,679,679,0.0,,128,27.0,0.0,101.0,0.0,757,,,275.0,757.0,3387,189,597.0,-408.0,0,,11670,7657,7095,562,3738,11859,,909,284,0.0,0.0,625.0,0,0.0,0.0,0.0,,0.0,1702,0.0,,0,2611,4074,4074.0,0.0,0.0,,493,0.0,0.0,0.0,0.0,10.0,483,4567,7178,0,10242,,,-5637,4096,-633,8068,0,8068,15246,
03/31/2016,17302,2872,2872,0,383,383,0.0,,103,28.0,0.0,75.0,0.0,650,,,362.0,650.0,4008,246,,,0,,13048,12370,9772,2598,316,13294,,1051,150,,,901.0,64,0.0,,,,64.0,1207,,,0,2322,5777,5777.0,,,,855,,,,,57.0,798,6632,8954,0,10343,0.001167,10342.998833,-5591,4239,-643,8348,0,8348,17302,
06/30/2016,16607,2271,2271,0,462,462,0.0,,94,25.0,0.0,69.0,0.0,593,,,405.0,582.0,3420,260,,,0,,12927,12202,9771,2431,320,13187,,893,176,,,717.0,56,0.0,,,,56.0,1242,,,0,2191,4977,4977.0,,,,885,,,,,50.0,835,5862,8053,0,10425,,,-5588,4366,-649,8554,0,8554,16607,
09/30/2016,18380,4029,4029,0,446,446,0.0,,131,28.0,0.0,103.0,0.0,728,,,485.0,723.0,5334,258,,,0,,12788,11921,9787,2134,382,13046,,895,211,,,684.0,1481,0.0,,,,1481.0,1325,,,0,3701,4881,4881.0,,,,980,,,,,43.0,937,5861,9562,0,10427,,,-5572,4616,-653,8818,0,8818,18380,
12/31/2016,17452,3245,3245,0,732,732,0.0,,49,9.0,0.0,40.0,0.0,804,,0.0,283.0,804.0,4830,258,805.0,-547.0,0,,12364,11680,9768,1912,401,12622,,1028,222,0.0,0.0,806.0,0,0.0,0.0,0.0,,,1628,0.0,0.0,0,2656,4887,4887.0,0.0,0.0,,790,0.0,0.0,0.0,0.0,44.0,746,5677,8333,0,10442,,,-5563,4869,-629,9119,0,9119,17452,
03/31/2017,16921,3248,3248,0,344,344,0.0,,48,4.0,0.0,44.0,0.0,716,,,371.0,704.0,4356,245,,,0,,12320,11510,9763,1747,439,12565,,1085,150,,,935.0,0,0.0,,,,,1154,,,0,2239,4393,4393.0,,,,853,,,,,41.0,812,5246,7485,0,10555,0.001182,10554.998818,-5563,5069,-625,9436,0,9436,16921,
06/30/2017,16808,3278,3278,0,360,360,0.0,,51,9.0,0.0,42.0,0.0,663,,,398.0,663.0,4352,246,,,0,,12210,11346,9763,1583,466,12456,,816,163,,,653.0,0,0.0,,,,,949,,,0,1765,4387,4387.0,,,,941,,,,,38.0,903,5328,7093,0,10606,,,-5563,5312,-640,9715,0,9715,16808,
09/30/2017,17718,3576,3576,0,888,888,0.0,,94,14.0,0.0,80.0,0.0,828,,,439.0,828.0,5386,254,,,0,,12078,11170,9764,1406,469,12332,,1006,313,,,693.0,0,0.0,,,,,1383,,,0,2389,4388,4388.0,,,,974,,,,,40.0,934,5362,7751,0,10671,,,-5563,5501,-642,9967,0,9967,17718,
12/31/2017,18668,4713,4713,0,918,918,0.0,,46,1.0,0.0,45.0,0.0,843,,0.0,459.0,838.0,6520,294,979.0,-685.0,0,,11854,10955,9763,1192,440,12148,,1734,323,0.0,0.0,1411.0,0,0.0,0.0,0.0,,,1929,0.0,0.0,0,3663,4390,4390.0,0.0,0.0,,1153,0.0,0.0,0.0,0.0,21.0,1132,5543,9206,0,10747,,,-5563,4916,-638,9462,0,9462,18668,
03/31/2018,18397,5217,5217,0,431,431,0.0,,42,1.0,0.0,41.0,0.0,720,,,400.0,717.0,6410,286,,,0,,11701,10843,9764,1079,458,11987,,1701,172,,,1529.0,0,0.0,,,,,1226,,,0,2927,4392,4392.0,,,,1259,,,,,16.0,1243,5651,8578,0,10786,,,-5563,5245,-649,9819,0,9819,18397,
06/30/2018,17958,4857,4857,0,418,418,0.0,,36,3.0,0.0,33.0,0.0,823,,,324.0,823.0,6134,281,,,0,,11543,10804,9763,1041,415,11824,,1207,167,,,1040.0,0,0.0,,,,,853,,,0,2060,4394,4394.0,,,,1158,,,,,13.0,1145,5552,7612,0,10867,,,-5563,5647,-605,10346,0,10346,17958,
09/30/2018,16713,3308,3308,0,641,641,0.0,,174,13.0,0.0,161.0,0.0,849,,,243.0,849.0,4972,281,,,0,,11460,10763,9763,1000,454,11741,,1356,312,,,1044.0,0,0.0,,,,,1026,,,0,2382,2670,2670.0,,,,1002,,,,,11.0,991,3672,6054,0,10928,,,-5563,5907,-613,10659,0,10659,16713,
12/31/2018,17890,4225,4225,0,1035,1035,0.0,,43,3.0,0.0,40.0,0.0,803,,0.0,458.0,789.0,6106,282,1052.0,-770.0,0,,11502,10562,9762,800,482,11784,,1148,253,0.0,0.0,895.0,0,0.0,0.0,0.0,,,1494,0.0,0.0,0,2642,2671,2671.0,0.0,0.0,,1185,0.0,0.0,0.0,0.0,18.0,1167,3856,6498,0,10963,0.001192,10962.998808,-5563,6593,-601,11392,0,11392,17890,
03/31/2019,17948,4696,4696,0,594,594,0.0,,45,1.0,0.0,44.0,0.0,702,,,373.0,701.0,6037,264,,,0,,11647,10523,9763,760,751,11911,,1299,166,,,1133.0,62,0.0,62.0,,62.0,,934,,,0,2295,2893,2672.0,221.0,,221.0,1164,,,,,22.0,1142,4057,6352,0,11004,0.001195,11003.998805,-5563,6757,-602,11596,0,11596,17948,
06/30/2019,17495,4592,4592,0,455,455,0.0,,46,1.0,0.0,45.0,0.0,570,,,366.0,564.0,5663,259,,,0,,11573,10486,9763,723,721,11832,,846,180,,,666.0,60,0.0,60.0,,60.0,,733,,,0,1639,2902,2673.0,229.0,,229.0,977,,,,,20.0,957,3879,5518,0,11063,0.001196,11062.998804,-5563,7085,-608,11977,0,11977,17495,
09/30/2019,17805,4939,4939,0,386,386,0.0,,102,20.0,0.0,82.0,0.0,585,,,357.0,577.0,6012,249,,,0,,11544,10456,9764,692,731,11793,,991,274,,,717.0,61,0.0,61.0,,61.0,,699,,,0,1751,2889,2674.0,215.0,,215.0,930,,,,,23.0,907,3819,5570,0,11116,0.001197,11115.998803,-5563,7289,-607,12235,0,12235,17805,
12/31/2019,19845,5794,5794,0,848,848,0.0,,32,,,,,618,,0.0,1293.0,618.0,7292,253,1002.0,-749.0,0,,12300,10349,9764,585,658,12553,,1473,292,0.0,0.0,1181.0,63,0.0,63.0,0.0,63.0,,1379,0.0,0.0,0,2915,2885,2675.0,210.0,0.0,210.0,1240,0.0,0.0,0.0,0.0,505.0,735,4125,7040,0,11174,0.001197,11173.998803,-5563,7813,-619,12805,0,12805,19845,
03/31/2020,19604,5906,5906,0,590,590,0.0,,0,0.0,0.0,0.0,0.0,623,,,1234.0,616.0,7119,236,,,0,,12249,10351,9763,588,664,12485,,1495,158,,,1337.0,0,0.0,,,,,1065,,,0,2560,2675,2675.0,,,,1348,,,,,458.0,890,4023,6583,0,11213,0.001199,11212.998801,-5563,7999,-628,13021,0,13021,19604,
06/30/2020,20220,6338,6338,0,614,614,0.0,0.0,0,0.0,0.0,0.0,0.0,767,0.0,,1221.0,764.0,7719,222,,,0,,12279,10381,9763,618,677,12501,,1331,177,,,1154.0,0,0.0,,,,,1226,,,0,2557,2676,2676.0,,,,1305,,,,,436.0,869,3981,6538,0,11300,0.0012,11299.9988,-5563,8579,-634,13682,0,13682,20220,
