Date,Revenue,Sales & Services Revenue,Other Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Selling & Marketing,General & Administrative,Research & Development,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Other Investment (Inc) Loss,Foreign Exch (Gain) Loss,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
04/30/2005,297.050995,,,-117.341003,,179.709991,,-180.270996,,,,,,-0.561,1.614,,0.0,,,0.0,-1.614,1.053,-16.68,-15.627,0.0,,,-15.627,0.0,-15.627,0.0,0.0,-15.627,-15.627,,378.218994,-0.04,-0.04,0.0,434.602997,-0.04,-0.04,0.0,
07/31/2005,252.382,,,-84.646,,167.736,,-159.214,,,,,,8.522,-1.093,,,,,0.0,1.093,7.429,-6.869,0.56,-1.58,,,2.14,0.0,2.14,0.0,0.0,2.14,2.14,,380.242,0.01,0.01,0.03,385.377,0.0,0.0,0.02,
10/31/2005,287.618,,,-89.053,,198.565,,-141.867,,,,,,56.698,-58.693,,,,,0.0,58.693,-1.995,-3.672,-5.667,-0.715,,,-4.952,0.0,-4.952,-0.341,0.0,-5.293,-5.293,,382.279,-0.01,-0.02,0.2,443.061,-0.01,-0.02,0.09,
01/31/2006,242.294,,,-81.323,,160.971,,-160.718,,,,,,0.253,13.978,,,,,0.0,-13.978,14.231,-10.001,4.23,2.365,,,1.865,0.0,1.865,0.0,0.0,1.865,1.865,,385.787,0.01,0.01,0.009,394.534,0.01,0.01,0.009,
04/30/2006,233.149,,,-77.322,,155.827,0.0,-161.262,114.143,89.453,,,47.119,-5.435,12.997,2.434,,,,0.0,-15.431,7.562,-5.607,1.955,-1.387,,,3.342,,3.342,0.0,0.0,3.342,3.342,,378.403,0.01,0.01,0.01,385.32,0.01,0.0064,0.0,
07/31/2006,236.271,,,-76.658,,159.613,,-194.71,,,,,,-35.097,6.286,2.192,,,,0.0,-8.478,-28.811,11.683,-17.128,-10.707,,,-6.421,0.0,-6.421,0.0,0.0,-6.421,-6.421,,340.127,-0.02,-0.05,0.02,340.127,-0.02,-0.05,0.02,
10/31/2006,207.617,,,-45.709,,161.908,,-144.364,,,,,,17.544,16.654,,,,,0.0,-16.654,34.198,-18.717,15.481,-4.389,,,19.87,0.0,19.87,0.0,0.0,19.87,19.87,,340.379,0.06,0.06,0.03,342.655,0.06,0.06,0.03,
01/31/2007,218.386,,,-64.447,,153.939,,-167.211,,,,,,-13.272,10.689,,,,,0.0,-10.689,-2.583,-9.586,-12.169,7.776,,,-19.945,0.0,-19.945,0.0,0.0,-19.945,-19.945,,345.522,-0.06,-0.04,-0.03,345.522,-0.06,-0.04,-0.03,
04/30/2007,232.387,,,-64.57,,167.817,,-175.04,,,,,,-7.223,9.237,6.906,,,,0.0,-16.143,2.014,-3.326,-1.312,1.576,,,-2.888,0.0,-2.888,0.0,0.0,-2.888,-2.888,,346.492,-0.01,0.0,0.01,346.492,-0.01,-0.005452,0.01,
07/31/2007,236.79,,,-66.523,,170.267,,-170.507,,,,,,-0.24,5.578,,,,,0.0,-5.578,5.338,-8.97,-3.632,0.047,,,-3.679,0.0,-3.679,0.0,0.0,-3.679,-3.679,,348.177,-0.01,-0.01,0.01,348.177,-0.01,-0.01,0.01,
10/31/2007,244.936,,,-64.714,,180.222,,-193.513,,,,,,-13.291,16.937,,,,,0.0,-16.937,3.646,-12.809,-9.163,8.785,,,-17.948,0.0,-17.948,0.0,0.0,-17.948,-17.948,,350.017,-0.05,-0.02,0.02,350.017,-0.05,-0.02,0.02,
01/31/2008,230.926,,,-57.941,,172.985,0.0,-160.137,115.402,88.005,,,44.735,12.848,12.789,5.75,,,,,-18.539,25.637,-10.953,14.684,-2.121,,,16.805,0.0,16.805,0.0,0.0,16.805,16.805,,351.129,0.05,0.04,0.05,353.047,0.05,0.04,0.05,
04/30/2008,235.666,,,-60.467,,175.199,0.0,-170.44,124.165,93.906,,,46.275,4.759,14.76,7.019,,,,0.0,-21.779,19.519,-13.653,5.866,0.0,,,5.866,0.0,5.866,0.0,0.0,5.866,5.866,,352.785,0.02,0.02,0.03,354.287,0.02,0.02,0.03,
07/31/2008,245.185,,,-59.588,,185.597,0.0,-184.626,124.163,95.95,,,60.463,0.971,-8.776,5.705,,,,0.0,0.0,-7.805,-7.32,-15.125,0.0,,,-15.125,0.0,-15.125,0.0,0.0,-15.125,-15.125,,351.878,-0.04,-0.04,0.02,351.878,-0.04,-0.04,0.02,
10/31/2008,244.736,,,-57.243,,187.493,0.0,-193.836,117.872,90.858,,,75.964,-6.343,-8.13,-7.416,,,,0.0,15.546,-14.473,-3.291,-17.764,-1.473,,,-16.291,0.0,-16.291,0.0,0.0,-16.291,-16.291,,345.038,-0.05,-0.05,0.05,345.038,-0.05,-0.05,0.05,
01/31/2009,214.871,186.604,28.267,-46.897,46.897,167.974,0.0,-154.33,101.089,76.894,24.195,45.392,7.849,13.644,2.364,,,,-7.176,,4.812,16.008,-6.367,9.641,-1.036,-1.036,0.0,10.677,0.0,10.677,0.0,0.0,10.677,15.833311,6.192311,343.978,0.03,0.03,0.04603,344.281,0.03,0.03,0.04603,
04/30/2009,215.595,185.345,30.25,-45.282,45.282,170.313,0.0,-152.689,100.729,75.697,25.032,44.552,7.408,17.624,0.204,,,,-5.39,,5.186,17.828,-2.777,15.051,-0.566,-0.566,0.0,15.617,0.0,15.617,0.0,0.0,15.617,20.944534,5.893534,344.881,0.05,0.04,0.06073,345.839,0.05,0.04,0.057041,
07/31/2009,216.084,189.064,27.02,-46.983,46.983,169.101,0.0,-147.727,100.817,74.647,26.17,45.683,1.227,21.374,-0.866,,,,-6.084,,6.95,20.508,-4.151,16.357,-0.302,-0.302,0.0,16.659,0.0,16.659,0.0,0.0,16.659,18.723515,2.366515,346.07,0.05,0.05,0.054103,346.66,0.05,0.05,0.054103,
10/31/2009,215.635,184.253,31.382,-47.669,47.669,167.966,0.0,-427.1,95.708,68.76,26.948,45.756,285.636,-259.134,0.816,-3.208,,,,,2.392,-258.318,2.629,-255.689,0.0,0.0,0.0,-255.689,0.0,-255.689,0.0,0.0,-255.689,-72.45344,183.23556,347.043,-0.74,-0.74,-0.208774,347.043,-0.74,-0.74,-0.212009,
01/31/2010,202.366,181.173,21.193,-43.718,43.718,158.648,0.0,-137.219,94.743,68.916,25.827,39.702,2.774,21.429,6.666,,,,-3.268,,-3.398,28.095,-7.906,20.189,0.0,0.0,0.0,20.189,0.0,20.189,0.0,0.0,20.189,18.029492,-2.159508,347.691,0.06,0.06,0.051855,349.144,0.06,0.06,0.051855,
04/30/2010,204.014,176.323,27.691,-41.312,41.312,162.702,0.0,-142.799,103.431,74.853,28.578,39.368,0.0,19.903,5.186,,,,-3.262,,-1.924,25.089,-5.177,19.912,0.0,0.0,0.0,19.912,0.0,19.912,0.0,0.0,19.912,18.143891,-1.768109,349.204,0.06,0.06,0.051958,352.008,0.06,0.06,0.051958,
07/31/2010,198.98,174.012,24.968,-43.507,43.507,155.473,0.0,-134.375,94.975,70.792,24.183,39.4,0.0,21.098,2.857,,,,-3.049,,0.192,23.955,-8.278,15.677,0.0,0.0,0.0,15.677,0.0,15.677,0.0,0.0,15.677,15.27075,-0.40625,350.617,0.04,0.04,0.043554,354.826,0.04,0.04,0.038855,
10/31/2010,206.511,175.255,31.256,-45.068,45.068,161.443,0.0,-139.436,91.493,67.841,23.652,41.718,6.225,22.007,2.941,-2.588,,,,,-0.353,24.948,296.64,321.588,-0.61,-0.61,0.0,322.198,0.0,322.198,0.0,0.0,322.198,13.673739,-307.914261,356.01,0.91,0.9,0.038408,356.01,0.91,0.9,0.035097,
01/31/2011,190.714,170.327,20.387,-41.549,41.549,149.165,0.0,-137.612,99.247,67.256,31.991,38.365,0.0,11.553,3.956,,,,-5.701,,1.745,15.509,-33.451,-17.942,0.0,0.0,0.0,-17.942,0.0,-17.942,0.0,0.0,-17.942,-17.49025,0.45175,352.001,-0.05,-0.05,-0.049688,352.001,-0.05,-0.05,-0.049688,
04/30/2011,192.0,,,,,,,,,,,,,,,,,,,,,33.8,,,,,,,,,,,,24.3,,,,,0.07,,,,0.07,
07/31/2011,190.0,,,,,,,,,,,,,,,,,,,,,30.9,,,,,,,,,,,,22.2,,,,,0.06,,,,0.06,
