Date,Assets,Cash & Near Cash Items,Short-Term Investments,Accounts & Notes Receivable,Inventories,Other Current Assets,Total Current Assets,LT Investments & LT Receivables,Net Fixed Assets,Gross Fixed Assets,Accumulated Depreciation,Other Long-Term Assets,Total Long-Term Assets,Total Assets,Liabilities & Shareholders' Equity,Accounts Payable,Short-Term Borrowings,Other Short-Term Liabilities,Total Current Liabilities,Long-Term Borrowings,Other Long-Term Liabilities,Total Long-Term Liabilities,Total Liabilities,Total Preferred Equity,Minority Interest,Share Capital & APIC,Retained Earnings & Other Equity,Total Equity,Total Liabilities & Equity,Source: Bloomberg
12/31/1993,,26.224001,1.9,63.66,26.0,17.111,134.895004,8.103,152.386002,305.041992,-152.656006,61.067001,221.556003,356.450989,,8.69,4.0,31.289,43.979,111.542,17.256001,128.798001,172.777001,0.0,0.0,42.132,141.542007,183.674007,356.451008,
03/31/1994,,11.349,,62.334999,25.483,23.832001,122.999001,10.106,151.089996,308.811005,-157.720993,104.494003,265.69,388.688995,,10.334,4.0,56.102001,70.435997,111.379997,16.830999,128.210997,198.646994,0.0,0.0,41.955002,148.087006,190.042007,388.689001,
06/30/1994,,15.149,,54.882,25.566999,20.809,116.406998,9.159,157.811996,321.704987,-163.893005,101.254997,268.225994,384.632996,,9.705,10.0,41.722,61.426998,111.353996,16.552999,127.906996,189.333994,0.0,0.0,41.755001,153.544006,195.299007,384.633001,
09/30/1994,,11.534,0.0,58.007,24.257,20.771,114.569,11.557,160.688995,330.05899,-169.369995,126.279999,298.525994,413.095001,,12.323,19.0,52.912998,84.236,111.334,16.667,128.000999,212.237,0.0,0.0,41.471001,159.386993,200.857994,413.094994,
12/31/1994,,12.049,3.25,59.403,25.427999,17.093,117.223,11.606,161.800995,335.667999,-173.867004,123.742996,297.149991,414.372986,,11.235,14.0,54.084999,79.32,115.225998,16.413,131.638998,210.958998,0.0,0.0,41.296001,162.117996,203.413997,414.372995,
03/31/1995,,18.66,0.0,58.756001,24.375999,22.570999,124.362999,11.387,161.171997,341.509003,-180.337006,120.816002,293.374999,417.738007,,13.993,0.0,63.317001,77.309998,115.153,15.786,130.939,208.248998,0.0,0.0,40.882999,168.606003,209.489002,417.738,
06/30/1995,,19.822001,4.3,64.321999,28.636,27.250999,144.330994,11.056,160.063995,345.645996,-185.582001,120.723,291.842995,436.174011,,13.799,20.0,56.838001,90.637001,114.773003,15.749,130.522003,221.159004,0.0,0.0,40.735001,174.279999,215.015,436.174004,
09/30/1995,,7.009,0.1,66.097,34.084,26.705999,133.996002,10.927,162.712997,355.246002,-192.533005,139.417999,313.057997,447.053986,,15.708,24.0,55.943001,95.651001,114.718002,17.392,132.110003,227.761003,0.0,0.0,40.487,178.806,219.292999,447.054003,
12/31/1995,,12.862,0.4,67.660004,39.243999,24.065001,144.231003,8.188,165.108994,364.0,-198.891006,157.121994,330.418988,474.649994,,26.311001,35.0,59.758999,121.07,114.573997,16.858999,131.432996,252.502996,0.0,0.0,40.282001,181.865005,222.147006,474.650002,
03/31/1996,,24.186001,0.0,69.223999,39.091,22.106001,154.606995,8.257,162.201004,366.503998,-204.302994,149.891998,320.350002,474.957001,,23.362,31.0,65.652,120.014,114.533997,16.681,131.214996,251.228996,0.0,0.0,40.051998,183.675995,223.727993,474.956989,
06/30/1996,,22.548,0.14,69.814003,35.408001,23.084,150.994003,8.358,93.959999,209.488007,-115.528,208.184006,310.502005,461.496002,,21.941,66.75,71.278999,159.970001,115.086998,20.424,135.510998,295.480999,0.0,0.0,39.877998,126.137001,166.014999,461.495998,
09/30/1996,,25.902,0.14,80.126999,32.169998,22.73,161.069,8.292,97.233002,218.436005,-121.203003,208.707993,314.232994,475.302002,,20.966999,69.25,75.390999,165.608002,115.287003,20.621,135.908003,301.516005,0.0,0.0,39.755001,134.031006,173.786007,475.302011,
12/31/1996,,22.667,0.152,69.596001,33.464001,22.524,148.403,6.178,96.394997,215.139999,-118.745003,203.755005,306.328002,454.730988,,27.056999,43.089001,74.565002,144.710999,114.074997,13.542,127.616997,272.327996,0.0,0.0,39.938999,142.464005,182.403004,454.731,
03/31/1997,,10.633,0.0,69.188004,28.297001,20.965,129.082993,6.161,98.156998,217.955994,-119.799004,202.182007,306.500004,435.583008,,28.768999,27.541,68.586998,124.897003,110.029999,13.906,123.935999,248.833002,0.0,0.0,39.868,146.882004,186.750004,435.583006,
06/30/1997,,8.533,0.0,66.276001,24.861,25.594,125.264,5.975,99.598999,222.274002,-122.675003,186.759003,292.333002,417.596985,,27.084,15.041,61.974998,104.099998,109.379997,14.078,123.457997,227.557996,0.0,0.0,39.709,150.330002,190.039001,417.596997,
09/30/1997,,9.459,0.0,66.623001,25.225,22.379999,123.686996,5.187,103.494003,229.904999,-126.411003,172.360001,281.041004,404.727997,,27.782,0.0,59.924999,87.707001,109.389999,14.171,123.560999,211.268,0.0,0.0,39.535,153.925003,193.460003,404.728003,
12/31/1997,,9.829,3.188,73.129997,26.441999,35.797001,148.386002,5.185,117.943001,249.350006,-131.406998,154.671997,277.799998,426.186005,,33.816002,0.0,75.950996,109.766998,109.358002,14.235,123.593001,233.36,0.0,0.0,39.365002,153.460907,192.825909,426.185908,
04/03/1998,,15.953,0.0,69.262001,26.719,27.527,139.460999,4.989,118.959999,248.035004,-129.074997,151.024994,274.973993,414.434998,,26.888,0.0,68.949997,95.837997,107.041,14.32,121.361,217.198997,0.0,0.0,38.686001,158.550003,197.236004,414.435001,
07/03/1998,,6.813,0.0,68.957001,26.686001,31.746,134.201996,4.369,121.584,254.479004,-132.895004,156.376999,282.329998,416.532013,,26.990999,0.0,68.348,95.338997,107.056999,14.632,121.688999,217.027996,0.0,0.0,38.268002,161.235992,199.503994,416.53199,
10/02/1998,,22.820999,0.0,72.264999,24.091999,24.444,143.621994,4.52,122.400002,258.665009,-136.264999,145.802002,272.722003,416.343994,,24.436001,0.0,70.398003,94.834,107.068001,15.785,122.853001,217.687,0.0,0.0,37.907001,160.75,198.657001,416.344002,
12/31/1998,,42.541,0.0,68.925003,24.892,22.997,159.354996,4.276,120.894997,259.221985,-138.326996,107.244003,232.415,391.769989,,29.441,0.0,76.941002,106.382004,107.070999,16.003,123.073999,229.456003,0.0,0.0,37.907001,124.406998,162.313999,391.770002,
04/02/1999,,51.228001,0.0,68.269997,23.846001,21.254999,164.598999,39.251999,118.574997,261.294006,-142.718994,91.117996,248.944992,413.544006,,24.737,0.0,74.373001,99.110001,106.584999,16.238001,122.823,221.933001,0.0,0.0,37.907001,153.703995,191.610996,413.543997,
07/02/1999,,61.080002,0.0,66.325996,23.259001,22.556,173.220993,31.249001,117.203102,265.920013,-148.714996,88.271004,236.723106,409.946014,,28.541,0.0,66.122002,94.663002,106.587997,16.441,123.028997,217.691999,0.0,0.0,37.907001,154.347,192.254002,409.946001,
