Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Prepaid Expenses,Derivative & Hedging Assets,Deferred Tax Assets,Taxes Receivable,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Investments,LT Marketable Securities,LT Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Prepaid Expense,Investments in Affiliates,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Pensions,Other Post-Ret Benefits,Deferred Tax Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
12/31/1997,245.466995,134.925003,20.888,114.037003,19.351999,,,15.648,,,,,18.466,,,,,,188.391006,15.892,29.225,-13.333,40.284,,,,0.9,,,,,,0.9,57.076,,14.111,14.111,,,,0.0,,,,,39.981999,,,39.981999,54.092999,0.0,,,,0.0,,,,,,0.0,0.0,54.092999,0.0,181.921005,,,0.0,,9.453,191.374005,0.0,191.374005,245.467004,
03/31/1998,242.121994,127.504,10.642,116.862,18.566999,,,20.436001,,,,,17.941999,,,,,,184.449005,16.365999,,,40.284,,,,1.023,,,,,,1.023,57.672999,,5.318,5.318,,,,0.0,,,,,39.481999,,,39.481999,44.799999,0.0,,,,0.0,,,,,,0.0,0.0,44.799999,0.0,183.041,,,0.0,,14.281,197.322,0.0,197.322,242.121999,
06/30/1998,244.686005,131.670003,13.467,118.203003,16.117001,,,21.568001,4.416,11.643,5.509,,18.315001,,,,,,187.669998,15.591,,,0.0,,,,41.424999,,,,,,41.424999,57.015999,,10.914,10.914,,,,0.0,,,,,35.305002,,,35.305002,46.219002,0.0,,,,0.0,,,,,,0.0,0.0,46.219002,0.0,183.113998,,,0.0,,15.353,198.466998,0.0,198.466998,244.686,
09/30/1998,249.378006,126.852,13.88,112.972,17.738001,,,18.205,2.919,10.493,4.793,,18.215,,,,,,181.009995,16.018,,,0.0,,,,52.349998,,,,,,52.349998,68.367998,,5.994,5.994,,,,0.0,,,,,41.111999,,,41.111999,47.105999,0.0,,,,0.0,,,,,,0.0,0.0,47.105999,0.0,184.210007,,,0.0,,18.062,202.272007,0.0,202.272007,249.378006,
12/31/1998,255.740997,134.457997,15.384,119.073997,20.4,,,8.922,,,,,22.594,,,,,,186.373993,17.542,36.714001,-19.172001,0.0,,,,51.825001,,,,,,51.825001,69.367001,,6.938,6.938,,,,0.0,,,,,40.965,,,40.965,47.903,0.0,,,,0.0,,,,,,0.0,0.0,47.903,0.0,186.119995,,,0.0,,21.718,207.837995,0.0,207.837995,255.740995,
06/30/1999,285.505005,144.948007,12.766,132.182007,29.212999,,,17.332001,2.646,9.866,4.82,0.0,19.6,,,,,,211.093002,22.41,,,0.0,,,,52.001999,,,,,,52.001999,74.411999,,18.563,18.563,,,,0.0,0.0,0.0,0.0,,47.071003,,,47.071003,65.634003,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,65.634003,0.0,188.938004,,,0.0,,30.933001,219.871005,0.0,219.871005,285.505008,
12/31/1999,657.723999,457.219009,146.169998,311.049011,52.433998,,,35.679001,10.387,20.708,4.584,0.0,23.058001,,,,,,568.390015,31.788,58.105,-26.316999,0.0,,,,57.546001,,,,,,57.546001,89.334001,,30.733999,30.733999,,,,0.0,0.0,0.0,0.0,,54.863001,,,54.863001,85.597,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,85.597,0.0,524.130981,,,0.0,,47.995998,572.126979,0.0,572.126979,657.723979,
03/31/2000,1033.911011,460.702988,107.557999,353.144989,78.884003,,,35.230999,10.04,15.489,9.702,0.0,220.026001,,,,,,794.843994,31.919001,,,0.0,,,,207.147995,,,,,,207.147995,239.066996,,31.347,31.347,,,,0.0,0.0,0.0,0.0,,126.968994,,,126.968994,158.315994,0.0,0.0,0.0,0.0,68.317001,,,,,,68.317001,68.317001,226.632995,0.0,530.203979,,,0.0,,277.074005,807.277984,0.0,807.277984,1033.910979,
06/30/2000,1091.63501,697.75502,175.828995,521.926025,83.657997,,,46.759998,20.173,16.851999,9.735,0.0,5.993,,,,,,834.166016,34.792999,,,197.688004,,,,24.988001,,,,,,24.988001,257.469004,,42.647999,42.647999,,,,0.0,0.0,0.0,0.0,,145.938,,,145.938,188.585999,0.0,0.0,0.0,0.0,68.317001,,,,,,68.317001,68.317001,256.903,0.0,532.343018,,,0.0,,302.389008,834.732026,0.0,834.732026,1091.635026,
09/30/2000,1107.019043,598.004013,172.261002,425.743011,133.561005,,,67.322998,17.784,43.688999,5.85,0.0,5.985,,,,,,804.872986,38.264999,,,0.0,,,,263.881012,,,,,,263.881012,302.146011,,65.120003,65.120003,,,,0.0,0.0,0.0,0.0,,138.290001,,,138.290001,203.410004,0.0,0.0,0.0,0.0,70.176003,,,,,,70.176003,70.176003,273.586007,0.0,535.044983,,,0.0,,298.388,833.432983,0.0,833.432983,1107.01899,
12/31/2000,1100.907,366.739,106.277,260.462,96.405,96.405,,96.6,33.092,53.921,9.587,0.0,130.563,,,,,,690.307,41.095,77.69,-36.595,134.73,,,,234.775,,,,,197.688,37.087,410.6,,59.179,59.179,,,,0.0,0.0,0.0,0.0,,105.178,,,105.178,164.357,0.0,0.0,0.0,0.0,73.492,,,,,,73.492,73.492,237.849,,567.001,,,0.0,346.469,-50.412,863.058,,863.058,1100.907,
03/31/2001,941.87,450.292,77.487,372.805,71.059,71.059,,83.682,44.824,11.95,26.908,0.0,22.961,,,,,,627.994,43.794,,,95.265,,,,174.817,,,,,150.334,24.483,313.876,,71.07,71.07,,,,0.0,,,,,68.785,,,68.785,139.855,,,,,26.925,,,,,,26.925,26.925,166.78,,571.155,,,0.0,203.367,0.568,775.09,,775.09,941.87,
06/30/2001,902.856,424.68,84.909,339.771,60.935,60.935,,55.887,11.545,11.976,32.366,0.0,42.24,,,,,,583.742,38.429,,,71.925,,,,208.76,,,,,179.768,28.992,319.114,,60.767,60.767,,,,0.0,,,,,61.258,,,61.258,122.025,,,,,30.091,,,,,,30.091,30.091,152.116,,572.509,,,0.0,193.372,-15.141,750.74,,750.74,902.856,
09/30/2001,724.834,364.907,45.876,319.031,41.892,41.892,,39.846,6.26,21.147,12.439,0.0,26.305,,,,,,472.95,36.596,,,177.759,,,,37.529,,,,,29.763,7.766,251.884,,48.35,48.35,,,,0.0,0.0,0.0,0.0,,75.16,,,75.16,123.51,0.0,,,,2.506,,,,,,2.506,2.506,126.016,,575.115,,,0.0,22.897,0.806,598.818,,598.818,724.834,
12/31/2001,934.261,295.0,189.499,105.501,45.223,45.223,,57.881,6.325,18.85,32.706,0.0,145.966,,,,,,544.07,33.73,79.44,-45.71,153.168,,,,203.293,,,,,41.38,161.913,390.191,,19.938,19.938,,,,0.0,0.0,0.0,0.0,,109.751,,,109.751,129.689,125.0,125.0,0.0,0.0,4.193,,,,,,4.193,129.193,258.882,,580.431,,,0.0,48.525,46.423,675.379,,675.379,934.261,
03/31/2002,978.070984,423.631012,164.397003,259.234009,52.825001,,,54.428001,9.16,22.063,23.205,,192.817993,,,,,,723.702026,36.577,,,0.0,,,,217.792007,0.0,,,,,217.792007,254.369007,,47.771,47.771,,,,0.0,,,,,88.902996,,,88.902996,136.673996,150.0,,,,10.132,,,,,,10.132,160.132,296.805996,0.0,582.401001,,,0.0,,98.863998,681.264999,0.0,681.264999,978.070995,
06/30/2002,968.166992,554.893005,255.813995,299.07901,70.345001,,,61.283001,6.328,28.052,26.903,0.0,35.970001,,,,,,722.491028,33.629002,,,0.0,,,,212.046997,,,,,,212.046997,245.675999,,50.034,50.034,,,,0.0,0.0,0.0,0.0,,108.861004,,,108.861004,158.895004,150.0,150.0,0.0,0.0,8.171,,,,,,8.171,158.171,317.066004,0.0,582.708008,,,0.0,,68.392998,651.101006,0.0,651.101006,968.16701,
09/30/2002,963.192,432.539,311.287,121.252,67.087,67.087,,79.097,11.859,22.233,45.005,0.0,158.713,,,,,,737.436,32.356,,,,,,,193.4,,,,,167.506,25.894,225.756,,33.666,33.666,,,,,,,,,142.954,,,142.954,176.62,150.0,,,,28.771,,,,,,28.771,178.771,355.391,,584.68,,,0.0,65.155,-42.034,607.801,,607.801,963.192,
12/31/2002,973.579,456.491,220.785,235.706,81.086,81.086,,88.595,7.916,25.408,55.271,0.0,128.558,,,,,,754.73,30.307,87.144,-56.837,0.0,,,,188.542,0.0,0.0,0.0,,167.022,21.52,218.849,,28.294,28.294,,,,0.0,0.0,0.0,0.0,,141.986,,,141.986,170.28,150.0,150.0,0.0,0.0,25.579,,,,,,25.579,175.579,345.859,0.0,585.968,,,0.0,84.765,-43.013,627.72,0.0,627.72,973.579,
09/28/2003,1239.667,632.963,257.487,375.476,139.946,139.946,,94.759,12.201,34.291,48.267,0.0,125.608,,,,,,993.276,51.223,,,0.0,,,,195.168,0.0,0.0,0.0,,142.645,52.523,246.391,,78.493,78.493,,,,0.0,0.0,0.0,0.0,,190.887,,,190.887,269.38,150.0,150.0,0.0,0.0,23.949,,,,,,23.949,173.949,443.329,0.0,621.734,,,0.0,165.786,8.818,796.338,0.0,796.338,1239.667,
12/28/2003,2023.514,1262.596,734.479,528.117,184.236,184.236,,116.896,12.265,40.246,64.385,0.0,161.176,,,,,,1724.904,59.47,136.413,-76.943,0.0,,,,239.14,0.0,0.0,0.0,,185.062,54.078,298.61,,88.737,88.737,,,,0.0,0.0,0.0,0.0,,258.097,,,258.097,346.834,150.0,150.0,0.0,0.0,25.992,,,,,,25.992,175.992,522.826,0.0,1207.958,,,0.0,253.624,39.106,1500.688,0.0,1500.688,2023.514,
03/28/2004,2062.639893,1313.129028,736.361023,576.768005,135.434998,,,159.710007,18.983,50.416,90.310997,0.0,135.619003,,,,,,1743.890015,62.062,,,0.0,,,,256.688995,,,,,,256.688995,318.750995,,129.009995,129.009995,,,,0.0,0.0,0.0,0.0,,189.155014,,,189.155014,318.165009,150.0,150.0,0.0,0.0,24.43,,,,,,24.43,174.43,492.595009,0.0,1213.969971,,,0.0,317.191986,38.884003,1570.04596,0.0,1570.04596,2062.640969,
06/27/2004,2149.75,1300.562988,613.963989,686.598999,198.817001,,,163.487,47.509998,23.729,92.248001,0.0,161.320007,,,,,,1824.189941,69.327003,,,0.0,,,,256.237,,,,,,256.237,325.564003,,129.912994,129.912994,,,,0.0,0.0,0.0,0.0,,213.126007,,,213.126007,343.039001,150.0,150.0,0.0,0.0,24.316999,,,,,,24.316999,174.316999,517.356,0.0,1216.829956,,,0.0,387.803009,27.760986,1632.393951,0.0,1632.393951,2149.749951,
09/26/2004,2192.129883,1351.013,602.182983,748.830017,136.156006,,,181.328995,49.306999,18.799999,113.222,0.0,148.177002,,,,,,1816.675049,137.662994,,,0.0,,,,237.792007,,,,,,237.792007,375.455001,,113.948997,113.948997,,,,0.0,0.0,0.0,0.0,,231.169014,,,231.169014,345.118011,150.0,150.0,0.0,0.0,25.808001,,,,,,25.808001,175.808001,520.926012,0.0,1230.98999,,,0.0,441.904999,-1.69101,1671.203979,0.0,1671.203979,2192.129991,
01/02/2005,2320.18,1322.97,463.795,859.175,194.535,194.535,,196.422,53.681,23.508,119.233,0.0,166.201,,,,,,1880.128,147.231,254.011,-106.78,35.413,,,,257.408,,,,,,257.408,440.052,,82.974,82.974,,,,0.0,0.0,0.0,0.0,,270.48,,,270.48,353.454,0.0,0.0,0.0,0.0,26.576,,,,,,26.576,26.576,380.03,0.0,1406.553,,,0.0,520.24,13.357,1940.15,0.0,1940.15,2320.18,
04/03/2005,2450.064,1413.9,571.805,842.095,208.81,208.81,,223.783,80.444,25.03,118.309,0.0,135.033,,,,,,1981.526,166.079,,,55.504,,,,246.955,,,,,207.322,39.633,468.538,,94.482,94.482,,,,0.0,0.0,0.0,0.0,,305.6,,,305.6,400.082,0.0,0.0,0.0,0.0,24.348,,,,,,24.348,24.348,424.43,0.0,1423.255,,,0.0,594.756,7.623,2025.634,0.0,2025.634,2450.064,
07/03/2005,2586.661,1451.62,581.089,870.531,242.498,242.498,,229.593,91.844,27.279,110.47,0.0,191.752,,,,,,2115.463,177.341,,,53.277,,,,240.58,,,,,198.176,42.404,471.198,,113.105,113.105,,,,0.0,0.0,0.0,0.0,,348.295,,,348.295,461.4,0.0,0.0,0.0,0.0,22.232,,,,,,22.232,22.232,483.632,0.0,1431.64,,,0.0,665.252,6.137,2103.029,0.0,2103.029,2586.661,
10/02/2005,2779.524,1655.55,764.612,890.938,211.219,211.219,,286.878,104.971,41.115,140.792,0.0,133.682,,,,,,2287.329,179.822,,,64.442,,,,247.931,,,,,196.113,51.818,492.195,,146.317,146.317,,,,0.0,0.0,0.0,0.0,,354.742,,,354.742,501.059,0.0,0.0,0.0,0.0,19.662,,,,,,19.662,19.662,520.721,0.0,1484.927,,,0.0,772.71,1.166,2258.803,0.0,2258.803,2779.524,
01/01/2006,3120.187,1697.697,762.058,935.639,329.014,329.014,,331.584,99.006,61.9,170.678,0.0,217.44,,,,,,2575.735,211.092,364.889,-153.797,61.927,,,,271.433,,,,,,271.433,544.452,,231.208,231.208,,,,0.0,0.0,0.0,0.0,,339.929,,,339.929,571.137,0.0,0.0,0.0,0.0,25.259,,,,,,25.259,25.259,596.396,0.0,1622.007,,,0.0,906.624,-4.84,2523.791,0.0,2523.791,3120.187,
04/02/2006,3450.733,1751.765,850.565,901.2,245.95,245.95,,413.555,131.165,62.532,219.858,0.0,171.977,,,,,,2583.247,243.432,,,62.138,,,,561.916,269.406,167.242,102.164,,259.814,32.696,867.486,,177.238,177.238,,,,0.0,0.0,0.0,0.0,,306.067,,,306.067,483.305,0.0,0.0,0.0,0.0,36.036,,,,,,36.036,36.036,519.341,0.0,1984.669,,,0.0,941.739,4.984,2931.392,0.0,2931.392,3450.733,
07/02/2006,4840.609,2279.474,1318.479,960.995,311.921,311.921,,378.196,117.638,72.02,188.538,0.0,247.437,,,,,,3217.028,254.695,,,904.738,,,,464.148,264.48,167.248,97.232,,,199.668,1623.581,,110.864,110.864,,,,0.0,0.0,0.0,0.0,,369.778,,,369.778,480.642,1150.0,1150.0,0.0,0.0,40.85,,,,,,40.85,1190.85,1671.492,0.0,2120.763,,,0.0,1037.38,10.974,3169.117,0.0,3169.117,4840.609,
10/01/2006,5050.755,2551.412,1474.155,1077.257,304.934,304.934,,396.22,158.776,87.067,150.377,0.0,180.424,,,,,,3432.99,256.437,,,900.784,,,,460.544,252.98,160.681,92.299,,,207.564,1617.765,,147.009,147.009,,,,0.0,0.0,0.0,0.0,,403.645,,,403.645,550.654,1150.0,1150.0,0.0,0.0,36.729,,,,,,36.729,1186.729,1737.383,0.0,2166.506,,,0.0,1140.661,6.205,3313.372,0.0,3313.372,5050.755,
12/31/2006,6967.783,2809.473,1580.7,1228.773,611.74,611.74,,495.984,157.163,64.009,274.812,0.0,324.664,,,,,,4241.861,317.965,584.451,-266.486,919.491,,,,1488.466,1299.332,910.254,389.078,,,189.134,2725.922,,261.87,261.87,,,,0.0,0.0,0.0,0.0,,634.577,,,634.577,896.447,1225.0,1225.0,0.0,0.0,72.226,,,,,,72.226,1297.226,2193.673,0.0,3657.121,,,0.0,1105.52,5.493,4768.134,5.976,4774.11,6967.783,
04/01/2007,6750.21,2955.947,1811.109,1144.838,144.228,144.228,,594.156,200.834,59.201,334.121,0.0,363.149,,,,,,4057.48,328.645,,,970.247,,,,1393.838,1229.689,852.862,376.827,,,164.149,2692.73,,188.68,188.68,,,,0.0,0.0,0.0,0.0,,421.67,,,421.67,610.35,1225.0,1225.0,0.0,0.0,115.269,,,,,,115.269,1340.269,1950.619,0.0,3686.562,,,0.0,1099.58,9.798,4795.94,3.651,4799.591,6750.21,
07/01/2007,6828.699,2911.235,1124.213,1787.022,311.705,311.705,,601.372,253.322,97.302,250.747,0.0,423.225,,,,,,4247.537,341.829,,,861.704,,,,1377.629,1203.986,849.907,354.079,,,173.643,2581.162,,190.24,190.24,,,,0.0,0.0,0.0,0.0,,473.758,,,473.758,663.998,1225.0,1225.0,0.0,0.0,130.552,,,,,,130.552,1355.552,2019.55,0.0,3722.4,,,0.0,1091.752,-6.21,4807.942,1.207,4809.149,6828.699,
09/30/2007,7180.706,2305.597,970.92,1334.677,438.016,438.016,,545.199,192.825,84.53,267.844,0.0,316.848,,,,,,3605.66,383.943,,,1824.347,,,,1366.756,1446.371,847.977,598.394,,,-79.615,3575.046,,223.343,223.343,,,,0.0,0.0,0.0,0.0,,594.932,,,594.932,818.275,1225.0,1225.0,0.0,0.0,128.004,,,,,,128.004,1353.004,2171.279,0.0,3836.109,,,0.0,1151.915,20.336,5008.36,1.067,5009.427,7180.706,
12/30/2007,7234.819,1835.39,833.749,1001.641,462.983,462.983,,555.077,197.077,94.283,263.717,0.0,446.207,,,,,,3299.657,422.895,797.784,-374.889,2169.298,,,,1342.969,1162.893,840.87,322.023,,,180.076,3935.162,,285.711,285.711,,,,0.0,0.0,0.0,0.0,,628.172,,,628.172,913.883,1225.0,1225.0,0.0,0.0,135.252,,,,,,135.252,1360.252,2274.135,0.0,3797.073,,,0.0,1130.069,32.475,4959.617,1.067,4960.684,7234.819,
03/30/2008,7286.932,1853.701,1225.285,628.416,180.273,180.273,,694.823,294.928,108.535,291.36,0.0,308.409,,,,,,3037.206,457.666,,,2469.218,,,,1322.842,1142.061,840.853,301.208,,,180.781,4249.726,,232.697,232.697,,,,0.0,,,,,598.223,,,598.223,830.92,1225.0,,,,179.894,,,,,,179.894,1404.894,2235.814,0.0,7651.503,,,0.0,1147.949,-3748.485,5050.967,0.151,5051.118,7286.932,
06/29/2008,7110.567,1309.21,689.578,619.632,204.03,204.03,,795.606,310.553,126.931,358.122,0.0,529.788,,,,,,2838.634,414.387,,,2515.179,,,,1342.367,1130.788,844.048,286.74,,,211.579,4271.933,,237.822,237.822,,,,0.0,,,,,493.531,,,493.531,731.353,1225.0,,,,191.299,,,,,,191.299,1416.299,2147.652,0.0,7711.562,,,0.0,1080.072,-3828.87,4962.764,0.151,4962.915,7110.567,
09/28/2008,7013.035,1574.218,721.107,853.111,118.563,118.563,,712.406,350.53,47.043,314.833,0.0,496.234,,,,,,2901.421,409.281,,,2364.694,,,,1337.639,1109.584,844.101,265.483,,,228.055,4111.614,,242.175,242.175,,,,0.0,,,,,510.122,,,510.122,752.297,1225.0,,,,184.344,,,,,,184.344,1409.344,2161.641,0.0,3888.15,,,0.0,924.878,38.215,4851.243,0.151,4851.394,7013.035,
12/28/2008,5932.14,1439.357,962.061,477.296,122.092,122.092,,598.251,309.436,90.544,198.271,0.0,553.984,,,,,,2713.684,396.987,865.792,-468.805,2699.593,,1097.302,,121.876,63.182,0.0,63.182,,,58.694,3218.456,,240.985,240.985,,,,0.0,,,,,1022.024,,,1022.024,1263.009,954.094,,,,274.316,,,,,,274.316,1228.41,2491.419,0.0,8308.784,,,0.0,-902.799,-3965.415,3440.57,0.151,3440.721,5932.14,
03/29/2009,5267.8,1485.167,1090.079,395.088,109.095,109.095,0.0,552.17,264.33,137.217,150.623,0.0,241.194,16.828,,46.019,126.401,34.3,2387.626,373.147,,,2365.039,897.427,,1467.612,141.988,58.721,,58.721,,,37.248,2880.174,,427.758,128.524,,,299.234,75.0,75.0,,,,486.155,,,299.851,988.913,892.314,892.314,,,209.481,10.578,,,,16.723,182.18,1101.795,2090.708,0.0,4174.443,0.227,4174.216,0.0,-1110.794,113.786,3177.435,-0.343,3177.092,5267.8,
06/28/2009,5245.982,1362.149,884.527,477.622,150.83,150.83,0.0,527.071,183.995,100.347,242.729,0.0,253.088,19.906,,14.64,96.328,76.665,2293.138,350.812,,,2487.609,975.864,,1511.745,114.423,61.472,0.0,61.472,,,38.311,2952.844,,316.936,116.298,,,200.638,75.0,75.0,,,,423.24,,6.79,246.743,815.176,905.766,905.766,,,259.588,10.103,,,,52.991,189.704,1165.354,1980.53,0.0,4198.674,0.227,4198.447,0.0,-1058.287,125.924,3266.311,-0.859,3265.452,5245.982,
09/27/2009,5749.284,1452.06,752.483,699.577,279.676,279.676,0.0,620.976,374.715,64.839,181.422,0.0,160.222,17.462,,14.941,43.974,7.699,2512.934,322.428,,,2733.175,1132.365,,1600.81,180.747,63.663,0.0,63.663,,,102.143,3236.35,,329.237,123.454,,,205.783,75.0,75.0,,,,549.55,,22.701,292.737,953.787,919.47,919.47,,,317.824,9.722,,,,96.572,188.829,1237.294,2191.081,0.0,4225.645,0.228,4225.417,0.0,-826.994,160.962,3559.613,-1.41,3558.203,5749.284,
01/03/2010,6001.719,1919.366,1100.364,819.002,234.407,234.407,0.0,596.493,329.966,63.767,202.76,0.0,164.508,14.309,0.725,21.21,25.758,53.864,2914.774,300.997,887.745,-586.748,2604.645,,1097.095,1507.55,181.303,58.076,0.0,58.076,,,101.292,3086.945,,360.712,134.427,7.136,0.0,219.149,75.0,75.0,0.0,0.0,,435.398,0.0,15.453,182.091,871.11,934.722,934.722,0.0,0.0,287.478,9.228,0.0,0.0,0.0,35.47,227.327,1222.2,2093.31,0.0,4269.074,0.229,4268.845,0.0,-487.489,128.713,3910.298,-1.889,3908.409,6001.719,
04/04/2010,6133.605,1944.48,1022.511,921.969,234.458,234.458,0.0,567.633,344.761,52.913,169.959,0.0,95.797,13.966,,31.119,30.792,4.331,2842.368,275.935,,,2827.911,,1350.85,1477.061,187.391,52.703,,52.703,,,103.569,3291.237,,358.272,95.237,,,263.035,0.0,0.0,,,,382.021,,10.341,143.048,740.293,948.937,948.937,,,289.648,8.945,,,,20.449,249.913,1238.585,1978.878,0.0,4302.63,0.23,4302.4,0.0,-252.798,107.297,4157.129,-2.402,4154.727,6133.605,
