Date,Cash from Operating Activities,Net Income,Depreciation & Amortization,Provision for Loan Losses,Non-Cash Items,Deferred Income Taxes,Stock-Based Compensation,Other Non - Cash Adjusted,Net Ch in Operating Capital,Trading Assets & Liab,Net Ch of Investments,Other Op Assets/Liab,Net Cash From Disc Ops,Cash from Investing Activities,Net Change in Fixed Assets,Disposal of Fixed Assets,Capital Expenditures/Prop Add,Net Change in Investments,Decrease in Investments,Increase in Investments,Inc in HTM Investments,Inc in AFS Investments,Inc in Other Investments,Net Ch in Loans & Interbank,Net Ch in Customer Loans,Net Ch in Interbank Assets,Net Ch in Loans,Net Cash from Acq & Div,Cash from Divestitures,Cash for Acq of Subs,Cash for JVs,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Cash From (Repayment) Debt,Cash From (Repay) ST Debt,Net Ch in Interbank Trans,Cash From LT Debt,Repayments of LT Debt,Cash (Repurchase) of Equity,Increase in Capital Stock,Decrease in Capital Stock,Net Change In Deposits,Other Financing Activities,Effect of Foreign Exchange Rates,Net Changes in Cash,Cash Paid for Taxes,Cash Paid for Interest,Source: Bloomberg
08/31/2001,10039,468,226,,339,,,339,9006,,,,,-850.0,-291,,-291,,,,,,,,,,,,,,,-559,7519.0,-174.0,8845.0,,,,,-1152.0,,-1152.0,,,,16708.0,406.0,3699.0,
11/30/2001,-10113,497,242,,1046,,,1046,-11898,,,,,-111.0,-234,0.0,-234,,,,,,,,,0.0,0.0,,,,,123,-8041.0,,-8879.0,,,,,721.0,721.0,,,117.0,,-18265.0,70.0,,
02/22/2002,-5405,524,168,,-2038,,,-2038,-4059,,,,,-183.0,-206,0.0,-206,0.0,0.0,0.0,,,,0.0,,,,,,,,23,5656.0,-57.0,5995.0,,,,,-282.0,1.0,-283.0,0.0,0.0,,68.0,328.0,,
05/31/2002,1205,563,185,,630,,,630,-173,,,,,-177.0,-101,0.0,-101,0.0,0.0,0.0,,,,0.0,,,,,,,,-76,-1703.0,-56.0,-1299.0,,,,,-348.0,1.0,-349.0,0.0,0.0,,-675.0,461.0,,
08/30/2002,-6094,522,192,,467,,,467,-7275,,,,,-584.0,-523,0.0,-523,0.0,0.0,0.0,,,,0.0,,,,,,,,-61,4065.0,-58.0,4487.0,,,,,-364.0,36.0,-400.0,0.0,0.0,,-2613.0,221.0,,
11/29/2002,9047,505,199,,212,,,212,8131,,,,,-129.0,-178,0.0,-178,,,,,,,,,,,,,,,49,-14387.0,,-15032.0,,,,,532.0,532.0,,,113.0,,-5469.0,210.0,2212.0,
02/28/2003,-8130,662,189,,-880,,,-880,-8101,,,,,-1515.0,-113,0.0,-113,0.0,0.0,0.0,,,,0.0,,,,,,,,-1402,9411.0,-57.0,9723.0,,,,,-255.0,15.0,-270.0,0.0,0.0,,-234.0,146.0,,
05/30/2003,-5818,695,185,,978,,,978,-7676,,,,,734.0,-143,0.0,-143,-525.0,0.0,-525.0,,,,0.0,,,,,,,,1402,7704.0,-56.0,8017.0,,,,,-257.0,17.0,-274.0,0.0,0.0,,2620.0,342.0,3780.0,
08/29/2003,-4439,677,170,,120,,,120,-5406,,,,,-50.0,-116,0.0,-116,0.0,0.0,0.0,,,,0.0,,,,,,,,66,3922.0,-118.0,4099.0,,,,,-204.0,73.0,-277.0,0.0,145.0,,-567.0,228.0,1870.0,
11/28/2003,1210,971,337,,918,,,918,0,,,,,-308.0,-220,,-220,,,,,,,,,,,,,,,-88,,,,,,,,,,,,,,902.0,130.0,,
02/27/2004,-14832,1293,167,,-1163,,,-1163,-15129,,,,,-455.0,-157,0.0,-157,0.0,0.0,0.0,,,,0.0,,,,,,,,-298,15150.0,-125.0,15524.0,,,,,-306.0,159.0,-465.0,0.0,57.0,,-137.0,212.0,2010.0,
05/28/2004,2460,1187,152,,2602,,,2602,-1481,,,,,133.0,-71,0.0,-71,0.0,0.0,0.0,,,,0.0,,,,,,,,204,-1502.0,-123.0,-1281.0,,,,,-279.0,91.0,-370.0,0.0,181.0,,1926.0,427.0,1710.0,
08/27/2004,-13543,879,148,,1093,,,1093,-15663,,,,,90.0,0,0.0,0,0.0,0.0,0.0,,,,0.0,,,,,,,,90,13162.0,-124.0,13482.0,,,,,-303.0,127.0,-430.0,0.0,107.0,,-1789.0,283.0,2350.0,
11/26/2004,-7697,1194,157,,1174,,,1174,-10222,,,,,-631.0,-380,0.0,-380,0.0,0.0,0.0,,,,0.0,,,,,,,,-251,4943.0,-125.0,5261.0,,,,,-396.0,144.0,-540.0,0.0,203.0,,-2722.0,98.0,2480.0,
02/25/2005,-5710,1512,198,,-2117,,,-2117,-5303,,,,,-1024.0,-507,0.0,-507,0.0,0.0,0.0,,,,0.0,,,,,,,,-517,7900.0,-128.0,8670.0,,,,,-816.0,409.0,-1225.0,0.0,174.0,,1166.0,216.0,3630.0,
05/27/2005,-1753,865,230,,840,,,840,-3688,,,,,-25.0,-104,28.0,-132,0.0,0.0,0.0,,,,0.0,,,,,,,,79,4289.0,-126.0,4571.0,,,,,-677.0,1004.0,-1681.0,0.0,521.0,,2511.0,1144.0,3680.0,
08/26/2005,-5501,1617,210,,4707,,,4707,-12035,,,,,122.0,207,593.0,-386,0.0,0.0,0.0,,,,0.0,,,,,,,,-85,4232.0,-131.0,5794.0,,,,,-1559.0,181.0,-1740.0,0.0,128.0,,-1147.0,330.0,5170.0,
11/25/2005,551,1632,216,,-2939,,,-2939,1642,,,,,-137.0,-378,18.0,-396,274.0,274.0,0.0,,,,0.0,,,,,,,,-33,2952.0,-126.0,4035.0,,,,,-1194.0,1268.0,-2462.0,0.0,237.0,,3366.0,780.0,5010.0,
02/24/2006,-19643,2479,219,,30,,343.0,-313,-22371,,,,,-920.0,-650,24.0,-674,0.0,0.0,0.0,,,,0.0,,,,,,,,-270,16873.0,-148.0,18166.0,,,,,-1752.0,825.0,-2577.0,0.0,607.0,,-3690.0,659.0,7110.0,
05/26/2006,-14632,2312,259,,6390,,,6390,-23593,,,,,514.0,-384,125.0,-509,1191.0,1191.0,0.0,,,,0.0,,,,,,,,-293,15269.0,-192.0,13378.0,,,,,440.0,1455.0,-1015.0,0.0,1643.0,,1151.0,971.0,6920.0,
08/25/2006,-15115,1594,251,,2334,,,2334,-19294,,,,,-2957.0,-576,26.0,-602,-2164.0,4199.0,-6363.0,,,,0.0,,,,,,,,-217,20413.0,-203.0,11803.0,,,,,45.0,618.0,-573.0,7950.0,818.0,,2341.0,1220.0,8530.0,
02/23/2007,-16235,3197,272,,-3073,,362.0,-3435,-16631,,,,,-408.0,-568,12.0,-580,215.0,304.0,-89.0,,,,0.0,,,,,,,,-55,17237.0,-212.0,15575.0,,,,,-1818.0,867.0,-2685.0,2197.0,1495.0,,594.0,1510.0,9510.0,
05/25/2007,-28936,2333,281,,5880,,,5880,-37430,,,,,-978.0,-446,3.0,-449,44.0,405.0,-361.0,,,,0.0,,,,,,,,-576,31036.0,-207.0,31474.0,,,,,-917.0,218.0,-1135.0,36.0,650.0,,1122.0,2120.0,9370.0,
08/31/2007,-19058,2854,283,,5160,,,5160,-27355,,,,,1309.0,-414,40.0,-454,2477.0,2702.0,-225.0,,,,0.0,,,,,,,,-754,22395.0,-205.0,22033.0,,,,,-2330.0,119.0,-2449.0,1156.0,1741.0,,4646.0,820.0,11590.0,
11/30/2007,-5218,3215,331,,4589,,,4589,-13353,,,,,473.0,-609,38.0,-647,1597.0,1794.0,-197.0,,,,0.0,,,,,,,,-515,2722.0,-207.0,3001.0,,,,,-2283.0,404.0,-2687.0,1284.0,927.0,,-2023.0,1330.0,10270.0,
02/29/2008,-22649,1511,343,,-4945,,480.0,-5425,-19558,,,,,-2953.0,-361,42.0,-403,-436.0,673.0,-1109.0,,,,0.0,,,,,,,,-2156,26435.0,-201.0,16410.0,,,,,-945.0,616.0,-1561.0,11591.0,-420.0,,833.0,670.0,10640.0,
05/30/2008,9432,2087,311,,5874,,,5874,1160,,,,,-610.0,-617,13.0,-630,50.0,1497.0,-1447.0,,,,0.0,,,,,,,,-43,-7756.0,-192.0,-10632.0,,,,,-64.0,136.0,-200.0,2557.0,575.0,,1066.0,720.0,8040.0,
08/29/2008,2613,845,392,,-8030,,,-8030,9406,,,,,-444.0,-481,15.0,-496,355.0,1039.0,-684.0,,,,0.0,,,,,,,,-318,-3790.0,-194.0,-2904.0,,,,,-143.0,128.0,-271.0,-467.0,-82.0,,-1621.0,1070.0,7450.0,
11/28/2008,12498,-2121,579,,-14037,,,-14037,28077,,,,,-330.0,-447,51.0,-498,213.0,824.0,-611.0,,,,0.0,,,,,,,,-96,-6988.0,-263.0,-26861.0,,,,,20836.0,20838.0,-2.0,-1408.0,708.0,,5180.0,1010.0,6240.0,
03/27/2009,3197,1814,649,,468,,468.0,0,266,141753.0,-27552.0,-113935.0,0.0,-913.0,-250,28.0,-278,-473.0,967.0,-1440.0,,,,0.0,0.0,0.0,0.0,-190.0,0.0,-190.0,0.0,0,19328.0,-545.0,6793.0,542.0,0.0,17011.0,-10760.0,36.0,38.0,-2.0,12374.0,670.0,0.0,21612.0,256.0,3420.0,
06/26/2009,12823,3435,527,,439,,439.0,0,8422,-8095.0,11062.0,5455.0,0.0,141.0,-353,22.0,-375,512.0,976.0,-464.0,,,,0.0,0.0,0.0,0.0,-18.0,0.0,-18.0,0.0,0,-26204.0,-950.0,-19669.0,-18038.0,0.0,7264.0,-8895.0,-3681.0,5893.0,-9574.0,-3047.0,1143.0,0.0,-13240.0,1554.0,1160.0,
09/25/2009,7332,3188,373,,438,,438.0,0,3333,7988.0,-5995.0,1340.0,0.0,-528.0,-422,2.0,-424,-104.0,397.0,-501.0,,,,0.0,0.0,0.0,0.0,-2.0,0.0,-2.0,0.0,0,-5966.0,-355.0,-6043.0,-3376.0,0.0,3417.0,-6084.0,-857.0,243.0,-1100.0,974.0,315.0,0.0,838.0,1790.0,1470.0,
12/31/2009,25523,4948,394,,233,-431.0,664.0,0,19948,-12361.0,29518.0,2791.0,0.0,-261.0,-449,30.0,-479,199.0,516.0,-317.0,,,,0.0,0.0,0.0,0.0,-11.0,0.0,-11.0,0.0,0,-9986.0,-355.0,-6877.0,631.0,0.0,2438.0,-9946.0,221.0,221.0,0.0,-3013.0,38.0,0.0,15276.0,1180.0,1270.0,
03/31/2010,-7504,3456,375,,2160,,2160.0,0,-13495,18042.0,-13269.0,-18268.0,0.0,-966.0,-250,28.0,-278,-17.0,847.0,-864.0,,,,0.0,0.0,0.0,0.0,-699.0,0.0,-699.0,0.0,0,-2757.0,-363.0,371.0,213.0,0.0,7622.0,-7464.0,-1888.0,381.0,-2269.0,-987.0,110.0,0.0,-11227.0,778.0,2010.0,
06/30/2010,9953,613,440,,434,,434.0,0,8466,16926.0,8973.0,-17433.0,0.0,276.0,-153,21.0,-174,483.0,867.0,-384.0,,,,0.0,0.0,0.0,0.0,-54.0,0.0,-54.0,0.0,0,-4692.0,-359.0,-3491.0,1383.0,0.0,3648.0,-8522.0,140.0,140.0,0.0,-1407.0,425.0,0.0,5537.0,1992.0,1740.0,
09/30/2010,676,1898,358,,945,,945.0,0,-2525,-5350.0,7000.0,-4175.0,0.0,-87.0,-433,14.0,-447,372.0,872.0,-500.0,,,,0.0,0.0,0.0,0.0,-26.0,0.0,-26.0,0.0,0,2939.0,-361.0,2237.0,1361.0,0.0,6887.0,-6011.0,-686.0,133.0,-819.0,1420.0,329.0,0.0,3528.0,320.0,1600.0,
12/31/2010,-9282,2387,731,,1835,,496.0,1339,-14235,-27247.0,16934.0,-3922.0,0.0,592.0,-319,9.0,-328,936.0,1073.0,-137.0,,,,0.0,,,,-25.0,0.0,-25.0,0.0,0,12349.0,-360.0,13043.0,10928.0,0.0,7574.0,-5459.0,-816.0,279.0,-1095.0,125.0,357.0,0.0,3659.0,1390.0,1390.0,
03/31/2011,1900,2735,594,,1512,,1512.0,0,-2941,-4423.0,-16901.0,18383.0,0.0,112.0,-268,9.0,-277,385.0,1146.0,-761.0,,,,0.0,0.0,0.0,0.0,-5.0,0.0,-5.0,0.0,0,883.0,-358.0,1993.0,2841.0,0.0,10096.0,-10944.0,-1085.0,396.0,-1481.0,158.0,175.0,0.0,2895.0,296.0,2710.0,
06/30/2011,10755,1087,372,,473,,473.0,0,8823,3376.0,10997.0,-5550.0,0.0,337.0,-219,24.0,-243,798.0,1159.0,-361.0,,,,0.0,0.0,0.0,0.0,-242.0,0.0,-242.0,0.0,0,-8342.0,-1968.0,-1401.0,-3004.0,0.0,9708.0,-8105.0,-5283.0,73.0,-5356.0,277.0,33.0,0.0,2750.0,1494.0,1310.0,
09/30/2011,-10225,-393,389,,446,,446.0,0,-10667,29273.0,2943.0,-42883.0,0.0,539.0,-439,20.0,-459,996.0,2226.0,-1230.0,,,,0.0,0.0,0.0,0.0,-18.0,0.0,-18.0,0.0,0,8456.0,-223.0,7565.0,2630.0,0.0,13609.0,-8674.0,-2094.0,66.0,-2160.0,2795.0,413.0,0.0,-1230.0,-150.0,2090.0,
12/31/2011,20071,1013,514,,1144,,418.0,726,17400,-15043.0,8046.0,24397.0,0.0,-359.0,-180,25.0,-205,843.0,1243.0,-400.0,,,,-856.0,-856.0,0.0,0.0,-166.0,0.0,-166.0,0.0,0,-7907.0,-222.0,-12219.0,-7442.0,0.0,5565.0,-10342.0,-717.0,191.0,-908.0,4310.0,941.0,0.0,11805.0,140.0,1940.0,
03/31/2012,3776,2109,433,,643,,643.0,0,591,-15719.0,-14813.0,31123.0,0.0,-478.0,-377,13.0,-390,176.0,829.0,-653.0,,,,-238.0,-238.0,0.0,0.0,-39.0,0.0,-39.0,0.0,0,-2168.0,-220.0,-6664.0,-1352.0,0.0,10156.0,-15468.0,-256.0,109.0,-365.0,4765.0,207.0,0.0,1130.0,-29.0,4040.0,
06/30/2012,6463,962,409,,247,,247.0,0,4845,-2239.0,2904.0,4180.0,0.0,-2037.0,-137,15.0,-152,-488.0,847.0,-1335.0,,,,-1096.0,-1096.0,0.0,0.0,-316.0,0.0,-316.0,0.0,0,-2651.0,-273.0,-9842.0,-5180.0,0.0,7428.0,-12090.0,262.0,1763.0,-1501.0,6446.0,756.0,0.0,1775.0,700.0,1680.0,
09/30/2012,1790,1512,396,,198,,198.0,0,-316,-30660.0,6458.0,23886.0,0.0,-1113.0,-155,10.0,-165,-97.0,1586.0,-1683.0,,,,-777.0,-777.0,0.0,0.0,-84.0,0.0,-84.0,0.0,0,4049.0,-286.0,588.0,2796.0,0.0,8440.0,-10648.0,-640.0,610.0,-1250.0,4206.0,181.0,0.0,4726.0,419.0,2150.0,
12/31/2012,850,2892,500,,-619,,231.0,-850,-1923,-19032.0,28482.0,-11373.0,0.0,-106.0,-243,11.0,-254,921.0,2470.0,-1549.0,,,,-630.0,-630.0,0.0,0.0,-154.0,0.0,-154.0,0.0,0,8286.0,-307.0,-84.0,3324.0,0.0,6397.0,-9805.0,-472.0,1052.0,-1524.0,8598.0,551.0,0.0,9030.0,790.0,1380.0,
03/31/2013,-5698,2260,302,,1509,,1509.0,0,-9769,47255.0,-28245.0,-28779.0,0.0,-953.0,-154,17.0,-171,734.0,1235.0,-501.0,,,,-1373.0,-1373.0,,,-160.0,0.0,-160.0,0.0,0,-2685.0,-319.0,-3860.0,-5259.0,0.0,14898.0,-13499.0,-1448.0,77.0,-1525.0,2562.0,380.0,,-9336.0,464.0,1960.0,
06/30/2013,11332,1931,266,,160,,160.0,0,8975,7608.0,-3108.0,4475.0,0.0,-707.0,-142,16.0,-158,866.0,1103.0,-237.0,,,,-1145.0,-1145.0,0.0,0.0,-286.0,0.0,-286.0,0.0,0,-1560.0,-312.0,2243.0,2117.0,0.0,6245.0,-6119.0,-581.0,1019.0,-1600.0,-3291.0,381.0,0.0,9065.0,2146.0,1370.0,
09/30/2013,-3371,1517,280,,152,,152.0,0,-5320,15668.0,-1585.0,-19403.0,0.0,-4155.0,-145,24.0,-169,319.0,319.0,0.0,,,,-3509.0,-3509.0,0.0,0.0,-820.0,0.0,-820.0,0.0,0,606.0,-325.0,305.0,-3138.0,0.0,10318.0,-6875.0,-1616.0,34.0,-1650.0,2175.0,67.0,0.0,-6920.0,1200.0,1350.0,
12/31/2013,2280,2332,474,,12,,194.0,-182,-538,-18519.0,10240.0,7741.0,0.0,-2913.0,-203,5.0,-208,663.0,663.0,0.0,,,,-2365.0,-2365.0,0.0,0.0,-1008.0,0.0,-1008.0,0.0,0,-3712.0,-346.0,-1272.0,344.0,0.0,5994.0,-7610.0,-1376.0,24.0,-1400.0,-763.0,45.0,0.0,-4345.0,260.0,1010.0,
03/31/2014,-4221,2033,390,,1611,,1611.0,0,-8255,9691.0,,-17946.0,0.0,-3203.0,-159,5.0,-164,306.0,306.0,0.0,0.0,0.0,0.0,-3041.0,-3041.0,0.0,0.0,-309.0,0.0,-309.0,0.0,0,5149.0,-348.0,5974.0,1344.0,0.0,16531.0,-11901.0,-1145.0,574.0,-1719.0,650.0,18.0,0.0,-2275.0,1400.0,2260.0,
06/30/2014,529,2037,294,,164,,164.0,0,-1966,-17501.0,,15535.0,0.0,-3610.0,-184,5.0,-189,163.0,163.0,0.0,,,,-3449.0,-3449.0,,,-140.0,0.0,-140.0,0.0,0,1206.0,-343.0,-699.0,874.0,0.0,6686.0,-8259.0,-600.0,2012.0,-2612.0,2293.0,555.0,,-1875.0,660.0,1000.0,
09/30/2014,-8899,2241,301,,-114,,156.0,-270,-11327,25618.0,,-36945.0,0.0,-3778.0,-148,7.0,-155,658.0,658.0,0.0,0.0,0.0,0.0,-4111.0,-4111.0,0.0,0.0,-177.0,0.0,-177.0,0.0,0,9844.0,-354.0,7159.0,-384.0,0.0,12885.0,-5342.0,-1138.0,179.0,-1317.0,4201.0,-24.0,0.0,-2833.0,450.0,2190.0,
12/31/2014,4659,2166,352,,630,,154.0,476,1511,12715.0,,-11204.0,0.0,-4318.0,-157,13.0,-170,387.0,387.0,0.0,,,,-3442.0,-3442.0,,,-1106.0,0.0,-1106.0,0.0,0,2800.0,-409.0,-629.0,-1012.0,0.0,10655.0,-10272.0,-1312.0,120.0,-1432.0,5057.0,93.0,0.0,3141.0,540.0,980.0,
03/31/2015,6736,2844,219,,1775,,1809.0,-34,1898,-12540.0,,14438.0,0.0,-4263.0,-289,13.0,-302,184.0,184.0,0.0,0.0,0.0,0.0,-3681.0,-3681.0,0.0,0.0,-477.0,0.0,-477.0,0.0,0,3056.0,-373.0,1334.0,-947.0,0.0,16166.0,-13885.0,-905.0,346.0,-1251.0,3046.0,-46.0,0.0,5529.0,451.0,1770.0,
06/30/2015,-7840,1048,265,,163,,163.0,0,-9316,11901.0,,-21217.0,0.0,-7153.0,-360,36.0,-396,91.0,91.0,0.0,0.0,0.0,0.0,-5778.0,-5778.0,0.0,0.0,-1106.0,0.0,-1106.0,0.0,0,12709.0,-431.0,8219.0,-1446.0,0.0,18283.0,-8618.0,1986.0,2231.0,-245.0,2986.0,-51.0,0.0,-2284.0,1459.0,740.0,
09/30/2015,1270,1426,222,,135,,135.0,0,-513,12252.0,,-12765.0,0.0,-3331.0,-436,71.0,-507,439.0,439.0,0.0,,,,-3233.0,-3233.0,0.0,0.0,-101.0,0.0,-101.0,0.0,0,6791.0,-393.0,5657.0,673.0,0.0,12354.0,-7370.0,-1026.0,24.0,-1050.0,2546.0,7.0,0.0,4730.0,290.0,1580.0,
12/31/2015,5704,765,285,,-1382,,-1807.0,425,6036,-12370.0,,18406.0,0.0,-3827.0,-520,108.0,-628,305.0,305.0,0.0,0.0,0.0,0.0,-3488.0,-3488.0,0.0,0.0,-124.0,0.0,-124.0,0.0,0,6590.0,-484.0,2480.0,484.0,0.0,8145.0,-6149.0,-1532.0,58.0,-1590.0,6085.0,41.0,0.0,8467.0,450.0,730.0,
03/31/2016,-2542,1135,239,,1665,,1665.0,0,-5581,23177.0,,-28758.0,0.0,-3140.0,-363,210.0,-573,322.0,322.0,0.0,0.0,0.0,0.0,-2537.0,-2537.0,0.0,0.0,-562.0,0.0,-562.0,0.0,0,10194.0,-387.0,5511.0,2745.0,0.0,15685.0,-12919.0,-1405.0,656.0,-2061.0,7347.0,-872.0,0.0,4512.0,266.0,2.25,
06/30/2016,10084,1822,245,,149,,149.0,0,7868,1863.0,,6005.0,0.0,15955.0,-597,72.0,-669,496.0,496.0,0.0,0.0,0.0,0.0,-388.0,-388.0,0.0,0.0,16444.0,0.0,16444.0,0.0,0,-1474.0,-473.0,-1723.0,-456.0,0.0,12275.0,-13542.0,-1865.0,0.0,-1865.0,2590.0,-3.0,0.0,24565.0,134.0,3467.75,
09/30/2016,-4577,2094,247,,129,,129.0,0,-7047,-19307.0,,12260.0,0.0,-1513.0,-771,50.0,-821,391.0,391.0,0.0,0.0,0.0,0.0,-1005.0,-1005.0,0.0,0.0,-128.0,0.0,-128.0,0.0,0,1577.0,-378.0,2574.0,-1754.0,0.0,13551.0,-9223.0,-1187.0,648.0,-1835.0,573.0,-5.0,0.0,-4513.0,367.0,1930.0,
12/31/2016,3935,2347,267,,722,,168.0,554,599,11480.0,,-10881.0,0.0,-2032.0,-764,49.0,-813,303.0,303.0,0.0,,,,-739.0,-739.0,,,-832.0,0.0,-832.0,0.0,0,1805.0,-468.0,2341.0,-2849.0,0.0,13438.0,-8248.0,-1483.0,5.0,-1488.0,-452.0,1867.0,0.0,3708.0,293.0,1740.0,
03/31/2017,-3389,2255,257,,1272,,1272.0,0,-7173,-14873.0,,7700.0,0.0,-1547.0,-761,77.0,-838,542.0,542.0,0.0,0.0,0.0,0.0,-816.0,-816.0,0.0,0.0,-512.0,0.0,-512.0,0.0,0,6260.0,-366.0,4881.0,-2778.0,0.0,22124.0,-14465.0,-1497.0,6.0,-1503.0,3831.0,-589.0,0.0,1324.0,257.0,2310.0,
06/30/2017,-10708,1831,265,,72,,180.0,-108,-12876,-16519.0,,3643.0,0.0,-5159.0,-557,125.0,-682,-382.0,346.0,-728.0,,,,-3646.0,-3646.0,0.0,0.0,-574.0,0.0,-574.0,0.0,0,3720.0,-510.0,8061.0,1869.0,0.0,14213.0,-8021.0,-1527.0,1.0,-1528.0,-2385.0,81.0,0.0,-12147.0,207.0,3970.0,
09/30/2017,2713,2128,280,,158,,158.0,0,147,-6299.0,,6446.0,0.0,-11123.0,-455,234.0,-689,-2143.0,400.0,-2543.0,,,,-7763.0,-7763.0,0.0,0.0,-762.0,0.0,-762.0,0.0,0,14132.0,-395.0,8853.0,59.0,0.0,15012.0,-6218.0,-2174.0,0.0,-2174.0,7218.0,630.0,0.0,5722.0,207.0,5830.0,
12/31/2017,-7108,-1928,350,,6268,,159.0,6109,-11798,20295.0,,-32093.0,0.0,-10553.0,-836,138.0,-974,-4957.0,1625.0,-6582.0,,,,-4225.0,-4225.0,0.0,0.0,-535.0,0.0,-535.0,0.0,0,11102.0,-498.0,7581.0,-56.0,0.0,14399.0,-6762.0,-309.0,1495.0,-1804.0,5842.0,-1514.0,0.0,-6559.0,749.0,,
03/31/2018,-964,2832,299,,1329,,1329.0,0,-5424,-7543.0,,2119.0,0.0,-9213.0,-556,1007.0,-1563,-3005.0,183.0,-3188.0,,,,-5584.0,-5584.0,0.0,0.0,-68.0,0.0,-68.0,0.0,0,20629.0,-376.0,10970.0,5603.0,0.0,17291.0,-11924.0,-800.0,0.0,-800.0,12336.0,-1501.0,0.0,10452.0,326.0,3550.0,
06/30/2018,8598,2565,335,278.0,176,,176.0,0,5244,-23542.0,,28786.0,0.0,-3590.0,-1249,939.0,-2188,108.0,120.0,-12.0,,,,-2368.0,-2368.0,,,-81.0,0.0,-81.0,0.0,0,5906.0,-531.0,3422.0,-26.0,0.0,16295.0,-12847.0,10.0,10.0,0.0,2501.0,504.0,0.0,10914.0,221.0,4068.0,
