Date,Revenue,Revenue From Electric,Revenue from Gas,Revenue from Water,Other Revenue,Cost of Revenue,Fuel & Purchased Power Cost,Fuel Cost,Purchased Power Cost,Purchased Gas & Water Cost,Gross Profit,Operating Expenses,Maintenance Expenses,Depreciation Expenses,Taxes Other Than Income,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Total Interest Income,AFUDC - Equity,Interest Income,Interest Expense,Interest Expenses on Bonds,AFUDC - Debts,Other Interest Expenses,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
06/30/2010,634.91,,,634.91,,,,,,,,-446.626,,81.695,50.889,314.042,188.284,-73.693,74.945,-2.305,2.305,,77.25,78.444,-1.194,,-1.252,114.591,-46.57,68.021,-4.73,-4.73,0.0,72.751,0.0,72.751,,0.0,72.751,68.0379,0.0169,174.774,0.42,0.39,0.389291,174.85,0.42,0.39,0.389291,
09/30/2010,748.953,,,748.953,,,,,,,,-482.425,,84.005,52.029,346.391,266.528,-71.409,70.639,-2.482,2.482,,73.121,74.568,-1.447,,0.77,195.119,-75.762,119.357,-4.757,-4.757,0.0,124.114,0.0,124.114,,0.0,124.114,119.49415,0.13715,174.859,0.71,0.68,0.683374,175.062,0.71,0.68,0.680783,
12/31/2010,625.773,,,625.773,,,,,,,,-476.329,,83.809,50.384,342.136,149.444,-77.487,78.33,-2.748,2.748,,81.078,82.309,-1.231,,-0.843,71.957,-33.611,38.346,-1.808,-1.808,0.0,40.154,0.0,40.154,,0.0,40.154,38.285,-0.061,174.978,0.23,0.22,0.218799,175.57,0.23,0.22,0.218799,
03/31/2011,596.715,,,596.715,,,,,,,,-453.465,,86.878,55.498,311.089,143.25,-74.606,72.159,-2.828,2.828,,74.987,76.191,-1.204,,2.447,68.644,-27.945,40.699,14.466,14.466,0.0,26.233,0.0,26.233,,0.0,26.233,40.967,0.268,175.259,0.15,0.23,0.233751,176.048,0.15,0.23,0.231522,
06/30/2011,668.873,,,668.873,,,,,,,,-467.478,,87.342,52.951,327.185,201.395,-75.311,74.736,-2.535,2.535,,77.271,78.469,-1.198,,0.575,126.084,-51.267,74.817,-6.293,-6.293,0.0,81.11,0.0,81.11,,0.0,81.11,74.8352,0.0182,175.469,0.46,0.43,0.426487,176.419,0.46,0.42,0.420103,
09/30/2011,760.869,,,760.869,,,,,,,,-479.46,,88.323,52.433,338.704,281.409,-74.519,73.28,-3.696,3.696,,76.976,78.562,-1.586,,1.239,206.89,-78.395,128.495,-8.927,-8.927,0.0,137.422,0.0,137.422,,0.0,137.422,127.43225,-1.06275,175.547,0.78,0.73,0.725915,176.593,0.78,0.73,0.723982,
12/31/2011,639.779,,,639.779,,,,,,,,-462.697,,89.278,49.596,323.823,177.082,-75.02,73.186,-4.072,4.072,,77.258,79.193,-1.935,,1.834,102.062,-41.144,60.918,-3.93,-3.93,0.0,64.848,0.0,64.848,0.0,0.0,64.848,61.264,0.346,175.656,0.37,0.35,0.348773,176.838,0.37,0.34,0.341957,
03/31/2012,618.554,,,618.554,,,,,,,,-458.816,,92.104,57.121,309.591,159.738,-75.093,73.211,-4.362,4.362,,77.573,79.654,-2.081,,1.882,84.645,-35.393,49.252,7.498,7.498,0.0,41.754,0.0,41.754,,0.0,41.754,50.239,0.987,175.914,0.24,0.28,0.285588,177.028,0.24,0.28,0.285575,
06/30/2012,745.607,,,745.607,,,,,,,,-474.975,,92.329,55.282,327.364,270.632,-73.367,72.341,-5.076,5.076,,77.417,79.73,-2.313,,1.026,197.265,-80.602,116.663,9.637,9.637,0.0,107.026,,107.026,,0.0,107.026,116.52455,-0.13845,176.331,0.61,0.66,0.660828,177.491,0.6,0.66,0.65922,
09/30/2012,831.815,,,831.815,,,,,,,,-504.175,,96.219,52.861,355.095,327.64,-72.616,71.333,-3.735,3.735,,75.068,76.616,-1.548,,1.283,255.024,-100.913,154.111,0.299,0.299,0.0,153.812,,153.812,,0.0,153.812,154.09085,-0.02015,176.621,0.87,0.87,0.872438,177.841,0.86,0.87,0.869887,
12/31/2012,680.913,,,680.913,,,,,,,,-513.95,,100.851,55.948,357.151,166.963,-72.639,70.546,-2.419,2.419,,72.965,74.794,-1.829,,2.093,94.324,-40.1,54.224,-1.254,-1.254,0.0,55.478,0.0,55.478,0.0,0.0,55.478,54.042,-0.182,176.907,0.31,0.31,0.305483,178.113,0.31,0.3,0.298978,
03/31/2013,636.137,,,636.137,,,,,,,,-471.904,,99.649,60.146,312.109,164.233,-75.422,70.23,-6.231,3.396,2.835,76.461,78.114,-1.653,,5.192,88.811,-31.168,57.643,0.0,0.0,0.0,57.643,0.0,57.643,0.0,0.0,57.643,59.949,2.306,177.327,0.32,0.32,0.33807,178.465,0.32,0.32,0.332921,
06/30/2013,724.265,,,724.265,,,,,,,,-482.378,,101.366,57.806,323.206,241.887,-74.168,69.443,-6.544,3.699,2.845,75.987,77.757,-1.77,,4.725,167.719,-66.456,101.263,0.0,0.0,0.0,101.263,,101.263,0.0,0.0,101.263,101.1889,-0.0741,177.716,0.57,0.57,0.569385,178.91,0.57,0.57,0.569385,
09/30/2013,822.19,,,822.19,,,,,,,,-499.024,,102.495,58.087,338.442,323.166,-74.883,69.975,-5.735,2.8,2.935,75.71,77.389,-1.679,,4.908,248.283,-98.374,149.909,-0.756,-0.756,0.0,150.665,0.0,150.665,0.0,0.0,150.665,150.4082,0.4992,177.965,0.85,0.84,0.845156,179.154,0.84,0.84,0.842786,
12/31/2013,706.242,,,706.242,,,,,,,,-488.447,,103.715,58.409,326.323,217.795,-115.906,67.747,-5.882,2.744,3.138,73.629,74.904,-1.275,,48.159,101.889,-40.768,61.121,1.428,1.428,0.0,59.693,0.0,59.693,0.0,0.0,59.693,85.972,24.851,178.237,0.33,0.34,0.482347,179.469,0.33,0.34,0.47847,
03/31/2014,681.946,,,681.946,,,,,,,,-495.85,,106.078,60.767,329.005,186.096,-73.09,66.499,-5.578,2.201,3.377,72.077,73.56,-1.483,,6.591,113.006,-44.883,68.123,0.0,0.0,0.0,68.123,0.0,68.123,0.0,0.0,68.123,71.394,3.271,178.539,0.38,0.38,0.399879,179.457,0.38,0.38,0.398227,
06/30/2014,754.778,,,754.778,,,,,,,,-499.991,,105.685,56.802,337.504,254.787,-72.284,70.339,-2.058,2.058,,72.397,73.668,-1.271,,1.945,182.503,-72.329,110.174,0.875,0.875,0.0,109.299,0.0,109.299,0.0,0.0,109.299,113.54361,3.36961,178.863,0.61,0.62,0.634808,179.693,0.61,0.61,0.628752,
09/30/2014,846.169,,,846.169,,,,,,,,-508.884,,106.789,60.807,341.288,337.285,-73.472,67.543,-6.332,2.805,3.527,73.875,75.445,-1.57,,5.929,263.813,-107.205,156.608,4.423,4.423,0.0,152.185,,152.185,0.0,0.0,152.185,156.859,0.251,178.992,0.85,0.87,0.876346,179.948,0.85,0.87,0.871395,
12/31/2014,731.0,,,731.0,,,,,,,,-508.0,,105.0,58.0,345.0,223.0,-74.0,75.0,,,,75.0,75.0,,,-1.0,149.0,-55.0,94.0,0.0,0.0,0.0,94.0,0.0,94.0,0.0,0.0,94.0,93.0,-1.0,179.0,0.52,0.52,0.519553,180.0,0.52,0.52,0.514444,
03/31/2015,698.078,,,698.078,,,,,,,,-493.777,,107.377,63.696,322.704,204.301,-70.799,70.791,-2.36,2.36,,73.151,75.673,-2.522,,0.008,133.502,-53.459,80.043,0.0,0.0,0.0,80.043,0.0,80.043,0.0,0.0,80.043,78.915,-1.128,179.458,0.45,0.45,0.439741,180.295,0.44,0.44,0.433744,
06/30/2015,782.121,,,782.121,,,,,,,,-504.56,,108.923,60.222,335.415,277.561,-73.934,71.044,-2.835,2.835,,73.879,75.421,-1.542,,2.89,203.627,-80.552,123.075,0.0,0.0,0.0,123.075,0.0,123.075,0.0,0.0,123.075,122.28915,-0.78585,179.564,0.69,0.69,0.681034,180.371,0.68,0.68,0.675643,
09/30/2015,896.0,,,896.0,,,,,,,,-535.0,,111.0,60.0,364.0,361.0,-74.0,77.0,,,,77.0,77.0,,,-3.0,287.0,-113.0,174.0,0.0,0.0,0.0,174.0,0.0,174.0,0.0,0.0,174.0,174.0,0.0,179.0,0.97,0.97,0.97,180.0,0.96,0.96,0.96,
12/31/2015,783.0,,,783.0,0.0,,,,,,,-551.0,,112.0,59.0,380.0,232.0,-74.0,79.0,,,,79.0,79.0,,,-5.0,158.0,-59.0,99.0,0.0,0.0,0.0,99.0,0.0,99.0,0.0,0.0,99.0,99.0,0.0,179.0,0.55,0.55,0.55,180.0,0.55,0.55,0.55,
03/31/2016,743.0,,,743.0,,,,,,,,-529.0,,116.0,66.0,347.0,214.0,-78.0,80.0,,,,80.0,80.0,,,-2.0,136.0,-54.0,82.0,0.0,0.0,0.0,82.0,0.0,82.0,0.0,0.0,82.0,81.35,-0.65,178.0,0.46,0.46,0.457022,179.0,0.46,0.46,0.456369,
06/30/2016,827.0,,,827.0,,,,,,,,-528.0,,115.0,64.0,349.0,299.0,-74.0,81.0,,,,81.0,81.0,,,-7.0,225.0,-88.0,137.0,0.0,0.0,0.0,137.0,0.0,137.0,0.0,0.0,137.0,135.7,-1.3,178.0,0.77,0.77,0.76236,178.0,0.77,0.77,0.76236,
09/30/2016,930.0,,,930.0,,,,,,,,-611.0,,119.0,65.0,427.0,319.0,-76.0,81.0,,,,81.0,81.0,,,-5.0,243.0,-95.0,148.0,0.0,0.0,0.0,148.0,0.0,148.0,0.0,0.0,148.0,183.91,35.91,178.0,0.83,0.83,1.033202,178.0,0.83,0.83,1.031742,
12/31/2016,802.0,,,802.0,,,,,,,,-549.0,,120.0,63.0,366.0,253.0,-87.0,69.0,,,,83.0,83.0,,,18.0,166.0,-65.0,101.0,0.0,0.0,0.0,101.0,0.0,101.0,0.0,0.0,101.0,99.7,-1.3,178.0,0.567416,0.567416,0.560112,179.0,0.564246,0.564246,0.556983,
03/31/2017,756.0,,,756.0,0.0,,,,,,,-526.0,,124.0,68.0,334.0,230.0,-85.0,85.0,,,,85.0,85.0,,,0.0,145.0,-52.0,93.0,0.0,0.0,0.0,93.0,0.0,93.0,0.0,0.0,93.0,93.0,0.0,178.0,0.52,0.52,0.52,179.0,0.52,0.52,0.52,
06/30/2017,844.0,,,844.0,0.0,,,,,,,-534.0,,126.0,63.0,345.0,310.0,-84.0,85.0,,,,85.0,85.0,,,-1.0,226.0,-95.0,131.0,0.0,0.0,0.0,131.0,0.0,131.0,0.0,0.0,131.0,129.7,-1.3,178.0,0.74,0.74,0.728652,179.0,0.73,0.73,0.722737,
09/30/2017,936.0,,,936.0,0.0,,,,,,,-504.0,,128.0,61.0,315.0,432.0,-92.0,89.0,,,,89.0,89.0,,,3.0,340.0,-137.0,203.0,0.0,0.0,0.0,203.0,0.0,203.0,0.0,0.0,203.0,189.03,-13.97,178.0,1.14,1.14,1.061966,179.0,1.13,1.13,1.051955,
12/31/2017,821.0,,,821.0,0.0,,,,,,,-542.0,,114.0,67.0,361.0,279.0,-80.0,83.0,,,,83.0,83.0,,,-3.0,199.0,-202.0,-3.0,0.0,0.0,0.0,-3.0,0.0,-3.0,0.0,0.0,-3.0,118.1,121.1,178.0,0.0,0.0,0.663483,179.0,-0.01,-0.01,0.663483,
03/31/2018,761.0,,,761.0,0.0,,,,,,,-544.0,,129.0,70.0,345.0,217.0,-77.0,84.0,,,,84.0,84.0,,,-7.0,140.0,-34.0,106.0,0.0,0.0,0.0,106.0,0.0,106.0,0.0,0.0,106.0,104.42,-1.58,178.0,0.6,0.6,0.586629,179.0,0.59,0.59,0.581173,
06/30/2018,853.0,,,853.0,0.0,,,,,,,-551.0,,134.0,69.0,348.0,302.0,-80.0,86.0,,,,86.0,86.0,,,-6.0,222.0,-60.0,162.0,0.0,0.0,0.0,162.0,0.0,162.0,0.0,0.0,162.0,147.0,-15.0,179.0,0.9,0.9,0.821229,179.0,0.9,0.9,0.816201,
09/30/2018,976.0,,,976.0,0.0,,,,,,,-641.0,,141.0,71.0,429.0,335.0,-80.0,89.0,,,,89.0,89.0,,,-9.0,255.0,-70.0,185.0,0.0,0.0,0.0,185.0,2.0,187.0,0.0,0.0,187.0,206.36,19.36,181.0,1.04,1.04,1.14011,181.0,1.04,1.04,1.14011,
12/31/2018,850.0,,,850.0,0.0,,,,,,,-602.0,,141.0,67.0,394.0,248.0,-78.0,91.0,,,,91.0,91.0,,,-13.0,170.0,-58.0,112.0,0.0,0.0,0.0,112.0,0.0,112.0,0.0,0.0,112.0,126.25,14.25,181.0,0.62,0.62,0.697514,181.0,0.62,0.62,0.697514,
03/31/2019,813.0,,,813.0,,,,,,,,-575.0,,144.0,69.0,362.0,238.0,-86.0,93.0,,,,93.0,93.0,,,-7.0,152.0,-39.0,113.0,0.0,0.0,0.0,113.0,0.0,113.0,0.0,0.0,113.0,107.63,-5.37,181.0,0.62,0.62,0.594641,181.0,0.62,0.62,0.590331,
06/30/2019,882.0,,,882.0,0.0,,,,,,,-580.0,,142.0,72.0,366.0,302.0,-75.0,94.0,,,,94.0,94.0,,,-19.0,227.0,-57.0,170.0,0.0,0.0,0.0,170.0,0.0,170.0,0.0,0.0,170.0,165.26,-4.74,181.0,0.94,0.94,0.913039,181.0,0.94,0.94,0.913039,
09/30/2019,1013.0,,,1013.0,0.0,,,,,,,-607.0,,144.0,68.0,395.0,406.0,-88.0,97.0,,,,97.0,97.0,,,-9.0,318.0,-78.0,240.0,0.0,0.0,0.0,240.0,0.0,240.0,0.0,0.0,240.0,240.0,0.0,181.0,1.33,1.33,1.33,181.0,1.33,1.33,1.33,
12/31/2019,902.0,,,902.0,0.0,,,,,,,-678.0,,152.0,71.0,455.0,224.0,-88.0,98.0,,,,98.0,98.0,,,-10.0,136.0,-38.0,98.0,0.0,0.0,0.0,98.0,0.0,98.0,0.0,0.0,98.0,170.13,72.13,181.0,0.54,0.54,0.939945,181.0,0.54,0.54,0.938508,
03/31/2020,844.0,,,844.0,0.0,,,,,,,-605.0,,145.0,77.0,383.0,239.0,-80.0,96.0,,,,96.0,96.0,,,-16.0,159.0,-35.0,124.0,0.0,0.0,0.0,124.0,0.0,124.0,0.0,0.0,124.0,124.0,0.0,181.0,0.69,0.69,0.69,181.0,0.68,0.68,0.68,
06/30/2020,931.0,,,931.0,0.0,,,,,,,-618.0,,152.0,75.0,391.0,313.0,-81.0,101.0,,,,101.0,101.0,,,-20.0,232.0,-56.0,176.0,0.0,0.0,0.0,176.0,0.0,176.0,0.0,0.0,176.0,176.0,0.0,181.0,0.97,0.97,0.97,181.0,0.97,0.97,0.97,
09/30/2020,1073.8,,,,,,,,,,602.99239,,,,,,415.5,,,,,,,,,,,323.0,,240.333,,,,,,240.333,,,240.333,240.333,,,1.365,1.365,1.365,,1.365,1.365,1.365,
12/31/2020,950.0,,,,,,,,,,535.211,,,,,,331.0,,,,,,,,,,,212.0,,155.333,,,,,,155.333,,,155.333,155.333,,,0.825,0.825,0.825,,0.825,0.825,0.825,
