Date,Revenue,Sales & Services Revenue,Other Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Selling & Marketing,General & Administrative,Research & Development,Depreciation & Amortization,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
09/30/2000,165.542,,,-37.06,,128.482,,-48.986,,,,,,,79.496,-81.472,6.579,9.684,-3.105,0.0,74.893,-1.976,-7.181,-9.157,11.914,,,-21.071,0.0,-21.071,0.0,0.0,-21.071,-21.071,,220.979945,-0.1275,-0.075,0.1725,220.979945,-0.12,-0.0675,0.165,
12/31/2000,176.063995,,,-35.528999,,140.534996,,-54.047001,,,,,,,86.487999,-0.206,,3.134,,0.0,-2.928,86.281999,-31.410999,54.870998,5.522,,,49.349,0.0,49.348999,0.0,0.0,49.348999,49.348999,,225.234604,0.2925,0.315,0.315,229.179935,0.2925,0.315,0.315,
03/31/2001,181.317,,,-37.416,,143.901,,-70.649,,,,,,,73.252,-1.929,0.358,2.867,-2.509,0.0,1.571,71.323,-26.604,44.719,0.545,,,44.174,0.0,44.174,0.0,0.0,44.174,44.174,,228.055943,0.1875,0.1875,0.1875,230.665276,0.1875,0.1875,0.1875,
06/30/2001,206.509,,,-44.344,,162.165,,-76.36,,,,,,,85.805,4.861,-0.346,2.724,-3.07,0.0,-4.515,90.666,-33.818,56.848,0.0,,,56.848,0.0,56.848,0.0,0.0,56.848,56.848,,228.717276,0.2475,0.2475,0.2475,231.087942,0.2475,0.2475,0.2475,
09/30/2001,230.089,,,-47.348,,182.741,,-81.727,,,,,,,101.014,-2.974,1.194,3.358,-2.164,0.0,1.78,98.04,-36.569,61.471,0.0,,,61.471,0.0,61.471,0.0,0.0,61.471,61.471,,229.303,0.27,0.27,0.28,231.712,0.27,0.27,0.28,
12/31/2001,254.347,,,-39.634,,214.713,,-96.447,,,,,,,118.266,-7.425,0.503,3.735,-3.232,0.0,6.922,110.841,-41.015,69.826,23.228,,,46.598,0.0,55.443,0.0,0.0,55.443,55.443,,240.095,0.23,0.29,0.31,242.161,0.23,0.29,0.31,
03/31/2002,258.065,,,-48.108,,209.957,,-97.696,,,,,,,112.261,1.125,-1.908,2.75,-4.658,0.0,0.783,113.386,-42.066,71.32,0.0,,,71.32,0.0,71.32,0.0,0.0,71.32,71.32,,247.832,0.29,0.29,0.29,249.734,0.29,0.29,0.29,
06/30/2002,282.533,,,-55.228,,227.305,,-109.881,,,,,,,117.424,-24.559,-3.665,3.135,-6.8,0.0,28.224,92.865,-34.467,58.398,0.0,,,58.398,0.0,58.398,0.0,0.0,58.398,58.398,,246.931,0.24,0.24,0.31,248.413,0.24,0.24,0.31,
09/30/2002,315.705,,,-62.356,,253.349,,-122.176,,,,,,,131.173,2.238,-2.809,3.143,-5.952,0.0,0.571,133.411,-49.166,84.245,0.0,,,84.245,0.0,84.245,0.0,0.0,84.245,84.245,,241.84,0.35,0.35,0.35,242.873,0.35,0.35,0.35,
12/31/2002,272.032,,,-131.111,,140.921,,-136.6509,,,,,,,4.269997,-76.268989,-1.593998,3.390999,-4.984997,0.0,77.862987,-71.998992,40.556,-31.44299,0.0,,,-31.442992,0.0,-31.44299,0.0,0.0,-31.44299,-31.44299,,240.9009,-0.13,-0.13,0.33,241.7759,-0.13,-0.13,0.33,
03/31/2003,338.421,,,-75.18,,263.241,,-133.088,,,,,,,130.153,-125.887,0.54,3.034,-2.494,0.0,125.347,4.266,-8.676,-4.41,2.783,,,-7.193,0.0,-7.193,0.0,0.0,-7.193,-7.193,,240.777,-0.03,-0.02,0.31,240.777,-0.03,-0.02,0.31,
06/30/2003,367.015,,,-90.108,,276.907,,-145.624,,,,,,,131.283,-184.436,1.236,3.435,-2.199,0.0,183.2,-53.153,16.653,-36.5,-1.485,,,-35.015,0.0,-35.015,0.0,0.0,-35.015,-35.015,,240.954,-0.15,-0.15,0.34,240.954,-0.15,-0.15,0.34,
09/30/2003,424.813,,,-89.99,,334.823,,-179.257,,,,,,,155.566,16.982,2.632,3.669,-1.037,0.0,-19.614,172.548,-63.07,109.478,3.113,,,106.365,0.0,106.365,0.0,0.0,106.365,106.365,,241.066,0.44,0.44,0.45,241.583,0.44,0.44,0.45,
12/31/2003,382.631,,,-92.235,,290.396,,-170.417,,,,,,,119.979,-59.036,2.139,3.259,-1.12,0.0,56.897,60.943,-18.966,41.977,0.0,,,41.977,0.0,41.977,0.0,0.0,41.977,41.977,,241.154,0.17,0.17,0.32,241.608,0.17,0.17,0.32,
03/31/2004,290.644,,,-83.538,,207.106,,-163.755,,,,,,,43.351,-46.749,2.051,3.105,-1.054,0.0,44.698,-3.398,1.048,-2.35,108.71,,,-111.06,0.0,-111.06,0.0,0.0,-111.06,-111.06,,241.3,-0.46,-0.01,0.11,241.3,-0.46,-0.01,0.11,
06/30/2004,275.14,,,-80.825,,194.315,,-175.899,,,,,,,18.416,-83.892,2.185,3.266,-1.081,0.0,81.707,-65.476,-0.152,-65.628,-2.089,,,-63.539,0.0,-63.539,0.0,0.0,-63.539,-63.539,,241.383,-0.26,-0.27,0.05,241.383,-0.26,-0.27,0.05,
09/30/2004,394.684,,,-97.422,,297.262,,-284.309,,,,,,,12.953,-33.789,2.023,3.147,-1.124,0.0,31.766,-20.836,17.197,-3.639,4.375,,,-8.014,0.0,-8.014,0.0,0.0,-8.014,-8.014,,241.551,-0.03,-0.01,0.066,241.759,-0.03,-0.01,0.066,
12/31/2004,343.09,,,-91.15,,251.94,,27.494,,,,,,,279.434,-255.297,0.355,3.07,-2.715,0.0,254.942,24.137,-7.794,16.343,1.002,,,15.341,0.0,14.727,0.0,0.0,14.727,14.727,,241.67,0.06,0.06,0.14,241.67,0.06,0.06,0.14,
03/31/2005,368.625,,,-72.216,,296.409,,-176.751,,,,,,,119.658,-15.631,0.424,2.701,-2.277,0.0,15.207,104.027,-36.922,67.105,-2.95,,,70.055,0.0,70.055,0.0,0.0,70.055,70.055,,241.724,0.29,0.28,0.32,241.803,0.29,0.28,0.32,
06/30/2005,462.939,,,-91.204,,371.735,,-215.839,,,,,,,155.896,-127.583,-0.894,3.039,-3.933,0.0,128.477,28.313,-7.271,21.042,0.545,,,20.497,0.0,20.497,0.0,0.0,20.497,20.497,,241.732,0.08,0.08,0.44,241.783,0.08,0.08,0.44,
09/30/2005,518.031982,,,-92.257004,,425.774979,,-232.979004,,,,,,,192.796005,-3.043,-2.117,3.136,-5.253,0.0,5.16,189.753005,-67.109001,122.643997,0.787,,,121.857004,0.0,121.857002,0.0,0.0,121.857002,121.857002,,241.755005,0.5,0.5,0.51,241.906998,0.5,0.5,0.51,
12/31/2005,423.285,,,-75.887,,347.398,,-228.08,,,,,,,119.318,-263.296,-3.657,3.055,-6.712,0.0,266.953,-143.978,49.817,-94.161,0.415,,,-94.576,0.0,-94.567,0.0,0.0,-94.567,-94.567,,241.79,-0.39,-0.39,0.38,241.79,-0.39,-0.39,0.38,
03/31/2006,484.235,,,-92.404,,391.831,,-234.59,,,,,,,157.241,-81.512,-2.976,2.984,-5.96,0.0,84.488,75.729,-24.894,50.835,0.158,,,50.677,0.0,50.677,0.0,0.0,50.677,50.677,,242.022443,0.21,0.21,0.44,242.581316,0.21,0.21,0.44,
06/30/2006,499.645,,,-107.048,,392.597,,-227.335,,,,,,,165.262,4.558,-5.346,3.047,-8.393,0.0,0.788,169.82,-59.017,110.803,-0.1,,,110.903,0.0,110.903,0.0,0.0,110.903,110.903,,242.208955,0.46,0.46,0.46,242.754697,0.46,0.46,0.46,
09/30/2006,491.706,,,-106.473,,385.233,,-233.846,,,,,,,151.387,-21.517,-6.595,1.894,-8.489,0.0,28.112,129.87,-40.02,89.85,-0.555,,,90.405,0.0,90.405,0.0,0.0,90.405,90.405,,242.256408,0.37,0.37,0.44,242.79763,0.37,0.37,0.44,
12/31/2006,512.914,,,-113.883,,399.031,,-261.583,,,,,,,137.448,-88.555,-7.378,1.932,-9.31,0.0,95.933,48.893,-11.799,37.094,0.13,,,36.964,0.0,36.964,0.0,0.0,36.964,36.964,,242.298,0.15,0.15,0.41,243.062,0.15,0.15,0.41,
03/31/2007,516.03,,,-111.454,,404.576,,-236.261,,,,,,,168.315,6.238,-7.241,2.025,-9.266,0.0,1.003,174.553,-58.499,116.054,0.141,,,115.913,0.0,115.913,0.0,0.0,115.913,115.913,,242.390241,0.48,0.48,0.49,243.670573,0.48,0.48,0.49,
06/30/2007,542.726,,,-125.53,,417.196,,-250.975,,,,,,,166.221,-70.968,-6.664,1.853,-8.517,0.0,77.632,95.253,-30.394,64.859,0.074,,,64.785,0.0,64.785,0.0,0.0,64.785,64.785,,242.745937,0.27,0.27,0.5,244.550367,0.26,0.26,0.48,
09/30/2007,544.854,,,-197.761,,347.093,,-256.908,,,,,,,90.185,-170.295,-8.886,1.792,-10.678,0.0,179.181,-80.11,39.583,-40.527,0.011,,,-40.538,0.0,-40.538,0.0,0.0,-40.538,-40.538,,243.119415,-0.17,-0.17,0.52,243.119415,-0.17,-0.17,0.52,
12/31/2007,533.272,,,-131.789,,401.483,,-270.178,,,,,,,131.305,-70.183,,2.148,-14.03,,82.065,61.122,-18.29,42.832,0.011,,,42.821,0.0,42.821,0.0,0.0,42.821,42.821,,243.162,0.18,0.18,0.46,244.091,0.18,0.18,0.46,
03/31/2008,432.033,,,-91.461,,340.572,0.0,-218.232,111.901,17.957,,,,106.331,122.34,6.886,-8.649,4.98,-13.629,0.0,1.763,129.226,-43.67,85.556,0.0,,,85.556,0.0,85.556,0.0,0.0,85.556,85.556,,243.290375,0.35,0.35,0.36,244.688538,0.35,0.35,0.36,
06/30/2008,396.851,,,-102.185,,294.666,0.0,-192.624,101.91,10.063,,,,90.714,102.042,-40.54,-3.97,5.291,-9.261,0.0,44.51,61.502,-20.741,40.761,0.0,,,40.761,0.0,40.761,0.0,0.0,40.761,40.761,28.85155,243.439861,0.17,0.17,0.288516,245.028993,0.17,0.17,0.287747,
09/30/2008,388.445,,,-101.465,,286.98,0.0,-163.027,93.291,5.987,,,,69.736,123.953,0.633,-2.81,5.3,-8.11,0.0,2.177,124.586,-42.114,82.472,0.0,,,82.472,0.0,82.472,0.0,0.0,82.472,82.472,,243.695777,0.34,0.34,0.39,245.833996,0.34,0.34,0.39,
12/31/2008,347.732,,,-99.714,,248.018,0.0,-168.521,101.587,3.058,,,,66.934,79.497,-610.967,0.09,6.06,-5.97,0.0,610.877,-531.47,-19.355,-550.825,0.0,,,-550.825,0.0,-550.825,0.0,0.0,-550.825,-550.825,391.0673,243.539157,-2.26,-2.26,-0.655496,243.539157,-2.26,-2.26,-0.655496,
03/31/2009,429.057,414.299,14.758,-150.939,150.939,278.118,0.0,-270.978,138.534,,,27.256,53.349,51.839,7.14,-23.917,20.315,23.103,-2.788,,3.602,-16.777,6.055,-10.722,0.0,0.0,0.0,-10.722,0.0,-10.722,0.0,0.0,-10.722,38.13135,48.85335,243.888839,-0.04,-0.04,0.156347,243.888839,-0.04,-0.04,0.156347,
06/30/2009,444.988,430.299,14.689,-156.093,156.093,288.895,0.0,-199.114,120.631,,,21.202,52.862,4.419,89.781,-22.498,26.086,27.592,-1.506,,-3.588,67.283,-29.348,37.935,0.0,0.0,0.0,37.935,0.0,37.935,0.0,0.0,37.935,51.915428,13.980428,244.693041,0.16,0.16,0.212166,247.206549,0.15,0.15,0.206554,
09/30/2009,463.349,451.417,11.932,-162.797,162.797,300.552,0.0,-213.384,135.742,,,22.64,53.349,1.653,87.168,-19.144,21.191,22.218,-1.027,,-2.047,68.024,-25.536,42.488,0.0,0.0,0.0,42.488,0.0,42.488,0.0,0.0,42.488,44.8917,2.4037,244.963911,0.17,0.17,0.183258,248.265552,0.17,0.17,0.179682,
12/31/2009,439.106,439.106,,-152.935,152.935,286.171,0.0,-233.906,146.92,1.204,145.716,27.554,55.236,4.196,52.265,-20.206,10.113,10.718,-0.605,,10.093,32.059,-9.807,22.252,0.0,0.0,0.0,22.252,0.0,22.252,0.0,0.0,22.252,29.293281,7.041281,245.033,0.09,0.09,0.119548,249.178,0.09,0.09,0.118258,
03/31/2010,380.855,373.065,7.79,-127.054,127.054,253.801,0.0,-226.336,140.475,,,28.324,57.275,0.262,27.465,-9.402,8.327,8.736,-0.409,,1.075,18.063,-13.594,4.469,0.0,0.0,0.0,4.469,0.0,4.469,0.0,0.0,4.469,6.246025,1.777025,245.20556,0.02,0.02,0.025473,249.866787,0.02,0.02,0.025473,
06/30/2010,370.903,332.853,38.05,-119.027,119.027,251.876,0.0,-223.758,131.829,,,33.174,53.903,4.852,28.118,1.752,6.992,7.479,-0.487,,-8.744,29.87,-11.882,17.988,0.0,0.0,0.0,17.988,0.0,17.988,0.0,0.0,17.988,15.560169,-2.427831,245.786855,0.07,0.07,0.063308,249.37491,0.07,0.07,0.060264,
09/30/2010,374.546,340.22,34.326,-132.651,132.651,241.895,0.0,-173.171,114.341,,,25.666,32.679,0.485,68.724,-7.13,6.893,7.293,-0.4,,0.237,61.594,-22.374,39.22,0.0,0.0,0.0,39.22,0.0,39.22,0.0,0.0,39.22,41.14465,1.92465,245.982811,0.16,0.16,0.167266,249.766652,0.16,0.16,0.167266,
12/31/2010,361.8,,,,,244.9386,,,,,,,,,74.7,,,,,,,73.2,,41.9,,,,,,41.9,,,41.9,46.533,,,0.11,0.11,0.19,,0.11,0.11,0.19,
03/31/2011,324.0,,,,,,,,,,,,,,,,,,,,,,,28.3,,,,,,28.3,,,28.3,28.3,,,0.06,0.06,0.1,,0.06,0.06,0.1,
