Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Assets Held-for-Sale,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Investments,LT Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Pensions,Other Post-Ret Benefits,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
05/04/2018,123217.0,17726.0,15324.0,2402.0,14523.0,10561.0,3962.0,2933.0,1136.0,611.0,1186.0,0.0,6049,14.0,,5921.0,41231.0,5303.0,,,7742.0,3943.0,3799.0,68941.0,66393.0,39656.0,26737.0,2534.0,81986.0,,25429.0,18534.0,6895.0,7133.0,0,,,,7133.0,11552,9464.0,2.0,0,44114.0,44770.0,44770.0,,,,16509,,,,,7043.0,61279.0,105393.0,0.0,19521.0,7.93,19513.07,-1477.0,-7438.0,723.0,11329.0,6495.0,17824.0,123217.0,
08/03/2018,123381.0,17816.0,15312.0,2504.0,15341.0,11201.0,4140.0,3642.0,1502.0,782.0,1358.0,0.0,6326,9.0,0.0,6024.0,43125.0,5240.0,,,7679.0,3649.0,4030.0,67337.0,64712.0,39504.0,25208.0,2616.0,80256.0,,28029.0,20853.0,7176.0,9144.0,0,,,,9144.0,12005,9735.0,2.0,0,49178.0,40414.0,40414.0,,,,16522,,,,,6785.0,56936.0,106114.0,0.0,18321.0,7.94,18313.06,-1487.0,-7937.0,1722.0,10619.0,6648.0,17267.0,123381.0,
11/02/2018,121241.0,17474.0,15152.0,2322.0,15247.0,11113.0,4134.0,3793.0,1727.0,764.0,1302.0,0.0,6445,9.0,,6201.0,42959.0,5228.0,,,6918.0,2972.0,3946.0,66136.0,63438.0,39651.0,23787.0,2689.0,78282.0,,27341.0,19748.0,7593.0,8150.0,0,,,,8150.0,12092,10064.0,5.0,0,47583.0,40507.0,40507.0,,,,16631,,,,,6562.0,57138.0,104721.0,0.0,18348.0,18348.0,,-1487.0,-8813.0,1639.0,9687.0,6833.0,16520.0,121241.0,
02/01/2019,111820.0,9676.0,9676.0,0.0,16769.0,12371.0,4398.0,3649.0,1794.0,702.0,1153.0,0.0,6044,3.0,,5950.0,36138.0,5259.0,13607.0,-8348.0,5229.0,1005.0,4224.0,65194.0,62359.0,40089.0,22270.0,2832.0,75682.0,,27659.0,19213.0,8446.0,4320.0,0,0.0,0.0,,4320.0,12993,11066.0,11.0,0,44972.0,49201.0,49201.0,0.0,0.0,,17393,0.0,0.0,0.0,0.0,6316.0,66594.0,111566.0,0.0,16114.0,7.21,16106.79,-63.0,-21349.0,729.0,-4569.0,4823.0,254.0,111820.0,
05/03/2019,109892.0,9040.0,9040.0,0.0,14794.0,10517.0,4277.0,3360.0,1561.0,722.0,1077.0,0.0,6461,2.0,,6295.0,33655.0,7032.0,,,4913.0,782.0,4131.0,64292.0,60963.0,40015.0,20948.0,3327.0,76237.0,,25125.0,18097.0,7028.0,5300.0,0,416.0,,416.0,4884.0,13054,11135.0,17.0,0,43479.0,49778.0,48640.0,1138.0,,1138.0,16522,,,,,5370.0,66300.0,109779.0,0.0,15179.0,7.21,15171.79,-65.0,-21053.0,1249.0,-4690.0,4803.0,113.0,109892.0,
08/02/2019,115520.0,9193.0,9193.0,0.0,16059.0,11586.0,4473.0,3135.0,1441.0,623.0,1071.0,0.0,6929,10.0,,6688.0,35316.0,7198.0,,,5118.0,768.0,4350.0,67888.0,59717.0,39998.0,19719.0,8161.0,80204.0,,27104.0,19411.0,7693.0,6361.0,0,412.0,,412.0,5949.0,13555,11780.0,23.0,0,47020.0,47207.0,45973.0,1234.0,,1234.0,17174,,,,,5371.0,64381.0,111401.0,0.0,15956.0,7.26,15948.74,-65.0,-17775.0,459.0,-1425.0,5544.0,4119.0,115520.0,
11/01/2019,116814.0,8555.0,8555.0,0.0,16036.0,11447.0,4589.0,3257.0,1491.0,615.0,1151.0,0.0,6924,1.0,,6806.0,34772.0,7539.0,,,5303.0,838.0,4465.0,69200.0,60862.0,41688.0,19174.0,8337.0,82042.0,,27136.0,19443.0,7693.0,8092.0,0,428.0,,428.0,7664.0,13827,12116.0,27.0,0,49055.0,46063.0,44727.0,1336.0,,1336.0,16885,,,,,4742.0,62948.0,112003.0,0.0,16192.0,7.31,16184.69,-65.0,-17299.0,302.0,-870.0,5681.0,4811.0,116814.0,
01/31/2020,118861.0,9302.0,9302.0,0.0,17379.0,12484.0,4895.0,3281.0,1590.0,563.0,1128.0,0.0,6906,1.0,,6826.0,36868.0,7835.0,16407.0,-8572.0,5712.0,864.0,4848.0,68446.0,59798.0,41691.0,18107.0,8647.0,81993.0,,29376.0,20065.0,9311.0,8169.0,0,432.0,0.0,432.0,7737.0,14911,12919.0,38.0,0,52456.0,45679.0,44319.0,1360.0,0.0,1360.0,16942,0.0,0.0,0.0,0.0,3985.0,62621.0,115077.0,0.0,16091.0,7.45,16083.55,-65.0,-16891.0,-80.0,-945.0,4729.0,3784.0,118861.0,
05/01/2020,120236.0,12229.0,12229.0,0.0,15549.0,10797.0,4752.0,3616.0,1982.0,563.0,1071.0,0.0,9537,3.0,2100.0,7088.0,40931.0,7845.0,,,5684.0,974.0,4710.0,65776.0,57075.0,40248.0,16827.0,8698.0,79305.0,,26050.0,18432.0,7618.0,8778.0,0,403.0,,403.0,8375.0,15183,12851.0,62.0,365,50011.0,49703.0,48353.0,1350.0,,1350.0,16841,,,,,3928.0,66544.0,116555.0,0.0,16339.0,7.42,16331.58,-305.0,-16858.0,-349.0,-1173.0,4854.0,3681.0,120236.0,
07/31/2020,121276.0,11221.0,11221.0,0.0,16498.0,11643.0,4855.0,3602.0,,,,,9769,,2058.0,7711.0,41090.0,6380.0,,,6451.0,1073.0,5378.0,67355.0,56708.0,40644.0,16064.0,10647.0,80186.0,,28258.0,19500.0,8758.0,10345.0,10345,,,,,15685,13450.0,,344,54288.0,43608.0,43608.0,,,,18212,,,,,4762.0,61820.0,116108.0,0.0,,,,,,191.0,191.0,4977.0,5168.0,121276.0,
