Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Unbilled Revenues,Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Prepaid Expenses,Derivative & Hedging Assets,Assets Held-for-Sale,Deferred Tax Assets,Discontinued Operations,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Investments,LT Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Prepaid Pension Costs,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Deferred Tax Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
07/31/1992,13005,1367,949,418.0,3101,,,,2458,,,,,444,,,,,,,7370,3526,6381.0,-2855.0,0.0,,,2109.0,,,,,2109.0,5635,,1902,1902,,,,1139,,,,,,1280,,,1280,4321,424,,,,,474,,,,474,898,5219,0.0,887.0,,,,,6899,7786,0.0,7786,13005,
10/31/1992,13700,1035,641,394.0,3497,,,,2605,,,,,542,,,,,,,7679,3649,6592.0,-2943.0,0.0,,,2372.0,,,,,2372.0,6021,,925,925,,,,1384,,,,,,2785,,,2785,5094,425,,,,,682,,,,682,1107,6201,0.0,874.0,,,0.0,,6625,7499,0.0,7499,13700,
01/31/1993,14308,1549,1024,525.0,3408,,,,2852,,,,,526,,,,,,,8335,3703,6756.0,-3053.0,0.0,,,2270.0,,,,,2270.0,5973,,2255,2255,,,,1747,,,,,,1516,,,1516,5518,422,,,,,650,,,,650,1072,6590,0.0,933.0,,,,,6785,7718,0.0,7718,14308,
04/30/1993,14863,1582,1104,478.0,3530,,,,3022,,,,,613,,,,,,,8747,3768,6915.0,-3147.0,2348.0,,,0.0,,,,,0.0,6116,,2342,2342,,,,1618,,,,,,1725,,,1725,5685,427,,,,,651,,,,651,1078,6763,0.0,968.0,,,,,7132,8100,0.0,8100,14863,
07/31/1993,15506,1648,946,702.0,3532,,,,3451,,,,,614,,,,,,,9245,3953,7184.0,-3231.0,2308.0,,,0.0,,,,,0.0,6261,,2437,2437,,,,1882,,,,,,1741,,,1741,6060,627,,,,,527,,,,527,1154,7214,0.0,1016.0,,,,,7276,8292,0.0,8292,15506,
10/31/1993,16736,1644,889,755.0,4208,,,,3691,,,,,693,,,,,,,10236,4180,7527.0,-3347.0,0.0,,,2320.0,,,,,2320.0,6500,,1223,1223,,,,2190,,,,,,3455,,,3455,6868,667,,,,,690,,,,690,1357,8225,0.0,937.0,,,0.0,,7574,8511,0.0,8511,16736,
01/31/1994,17201,2064,1295,769.0,3905,,,,4062,,,,,727,,,,,,,10758,4179,7492.0,-3313.0,0.0,,,2264.0,,,,,2264.0,6443,,2801,2801,,,,2301,,,,,,1974,,,1974,7076,671,,,,,710,,,,710,1381,8457,0.0,928.0,,,0.0,,7816,8744,0.0,8744,17201,
04/30/1994,17950,2414,1551,863.0,4295,,,,4022,,,,,702,,,,,,,11433,4168,7568.0,-3400.0,0.0,,,2349.0,,,,,2349.0,6517,,2902,2902,,,,2234,,,,,,2114,,,2114,7250,661,,,,,782,,,,782,1443,8693,0.0,1034.0,,,0.0,,8223,9257,0.0,9257,17950,
07/31/1994,18503,2475,1616,859.0,4471,,,,4301,,,,,662,,,,,,,11909,4186,7707.0,-3521.0,0.0,,,2408.0,,,,,2408.0,6594,,1272,1272,,,,2547,,,,,,3850,,,3850,7669,572,,,,,841,,,,841,1413,9082,0.0,1004.0,,,0.0,,8417,9421,0.0,9421,18503,
10/31/1994,19567,2478,1357,1121.0,5028,,,,4273,,,,,730,,,,,,,12509,4328,7938.0,-3610.0,0.0,,,2730.0,,,,,2730.0,7058,,1466,1466,,,,2469,,,,,,4295,,,4295,8230,547,,,,,864,,,,864,1411,9641,0.0,1033.0,,,0.0,,8893,9926,0.0,9926,19567,
01/31/1995,20187,2837,1666,1171.0,4998,,,,4401,,,,,735,,,,,,,12971,4383,8105.0,-3722.0,0.0,,,2833.0,,,,,2833.0,7216,,1470,1470,,,,2041,,,,,,4593,,,4593,8104,833,,,,,897,,,,897,1730,9834,0.0,1010.0,,,0.0,,9343,10353,0.0,10353,20187,
04/30/1995,21312,2996,1936,1060.0,5449,,,,4616,,,,,794,,,,,,,13855,4418,8265.0,-3847.0,0.0,,,3039.0,,,,,3039.0,7457,,1782,1782,,,,2151,,,,,,4820,,,4820,8753,665,,,,,938,,,,938,1603,10356,0.0,1037.0,,,0.0,,9919,10956,0.0,10956,21312,
07/31/1995,22626,2825,2079,746.0,5698,,,,5488,,,,,861,,,,,,,14872,4495,8439.0,-3944.0,0.0,,,3259.0,,,,,3259.0,7754,,1941,1941,,,,2735,,,,,,5002,,,5002,9678,665,,,,,980,,,,980,1645,11323,0.0,1013.0,,,0.0,,10290,11303,0.0,11303,22626,
10/31/1995,24427,2616,1973,643.0,6735,,,,6013,,,,,875,,,,,,,16239,4711,8747.0,-4036.0,0.0,,,3477.0,,,,,3477.0,8188,,2422,2422,,,,3214,,,,,,5308,,,5308,10944,663,,,,,981,,,,981,1644,12588,0.0,871.0,,,0.0,,10968,11839,0.0,11839,24427,
01/31/1996,25753,3296,2458,838.0,6479,,,,6788,,,,,933,,,,,,,17496,4791,9023.0,-4232.0,0.0,,,3466.0,,,,,3466.0,8257,,2160,2160,,,,3437,,,,,,5827,,,5827,11424,1094,,,,,993,,,,993,2087,13511,0.0,850.0,,,0.0,,11392,12242,0.0,12242,25753,
04/30/1996,26918,3288,1901,1387.0,7025,,,,6735,,,,,1056,,,,,,,18104,5017,9405.0,-4388.0,,,,3797.0,,,,,3797.0,8814,,2181,2181,,,,3500,,,,,,6030,,,6030,11711,1193,,,,,1012,,,,1012,2205,13916,0.0,888.0,,,0.0,,12114,13002,0.0,13002,26918,
07/31/1996,27324,3714,1857,1857.0,6546,,,,6893,,,,,1100,,,,,,,18253,5213,9769.0,-4556.0,0.0,,,3858.0,,,,,3858.0,9071,,2109,2109,,,,3303,,,,,,6005,,,6005,11417,1971,,,,,1047,,,,1047,3018,14435,0.0,1105.0,,,0.0,,11784,12889,0.0,12889,27324,
10/31/1996,27699,3327,2885,442.0,7126,,,,6401,,,,,1137,,,,,,,17991,5536,10198.0,-4662.0,,,,4172.0,,,,,4172.0,9708,,2375,2375,,,,2125,,,,,,6123,,,6123,10623,2579,,,,,1059,,,,1059,3638,14261,0.0,1014.0,,,0.0,,12424,13438,0.0,13438,27699,
01/31/1997,27156,2859,2789,70.0,6841,,,,6232,,,,,1254,,,,,,,17186,5634,10465.0,-4831.0,,,,4336.0,,,,,4336.0,9970,,2223,2223,,,,380,,,,,,6795,,,6795,9398,2584,,,,,1062,,,,1062,3646,13044,0.0,1020.0,,,0.0,,13092,14112,0.0,14112,27156,
04/30/1997,27845,3248,3099,149.0,6875,,,,6255,,,,,1270,,,,,,,17648,5826,10861.0,-5035.0,,,,4371.0,,,,,4371.0,10197,,2473,2473,,,,270,,,,,,6774,,,6774,9517,2495,,,,,1048,,,,1048,3543,13060,0.0,1015.0,,,0.0,,13770,14785,0.0,14785,27845,
07/31/1997,28482,2795,2680,115.0,7217,,,,6447,,,,,1399,,,,,,,17858,6027,11369.0,-5342.0,,,,4597.0,,,,,4597.0,10624,,2579,2579,,,,340,,,,,,6770,,,6770,9689,2495,,,,,1071,,,,1071,3566,13255,0.0,1061.0,,,0.0,,14166,15227,0.0,15227,28482,
10/31/1997,31749,4569,3072,1497.0,8173,,,,6763,,2627.0,436.0,,1442,,,,,,,20947,6312,11776.0,-5464.0,,,,4490.0,,,,,4490.0,10802,,3185,3185,,,,1226,,,,,,6808,,,6808,11219,3158,,,,,1217,,,,1217,4375,15594,0.0,1187.0,,,0.0,,14968,16155,0.0,16155,31749,
01/31/1998,32707,4910,2733,2177.0,8401,,,,7093,,2592.0,4501.0,,1448,,,,,,,21852,6275,11804.0,-5529.0,,,,4580.0,,,,,4580.0,10855,,2992,2992,,,,1959,,,,,,7554,,,7554,12505,2581,,,,,1237,,,,1237,3818,16323,0.0,1034.0,,,0.0,,15350,16384,0.0,16384,32707,
04/30/1998,32787,5037,4387,650.0,8366,,,,6700,,2471.0,4229.0,,1558,,,,,,,21661,6396,12163.0,-5767.0,,,,4730.0,,,,,4730.0,11126,,3084,3084,,,,1154,,,,,,7606,,,7606,11844,2448,,,,,1276,,,,1276,3724,15568,0.0,1184.0,,,0.0,,16035,17219,0.0,17219,32787,
07/31/1998,33295,5487,5311,176.0,8030,,,,6770,,2333.0,4437.0,,1640,,,,,,,21927,6471,12454.0,-5983.0,,,,4897.0,,,,,4897.0,11368,,2824,2824,,,,2093,,,,,,7620,,,7620,12537,2189,,,,,1253,,,,1253,3442,15979,0.0,993.0,,,0.0,,16323,17316,0.0,17316,33295,
10/31/1998,31708,4067,4046,21.0,6598,5104.0,,,4699,,1146.0,3553.0,1146.0,3143,,,,,,,18507,4877,9038.0,-4161.0,5240.0,,,3084.0,0.0,,,,3084.0,13201,,2768,2768,,,,1245,,,,,,7861,,,7861,11874,2063,,,,,852,,,,852,2915,14789,0.0,10.0,,,0.0,16909.0,0,16919,0.0,16919,31708,
01/31/1999,32868,3698,3694,4.0,7570,,,,6302,,1975.0,4327.0,,3370,,,,,,,20940,6139,12522.0,-6383.0,,,,5789.0,,,,,5789.0,11928,,2835,2835,,,,1288,,,,,,8336,,,8336,12459,1708,,,,,1191,,,,1191,2899,15358,0.0,64.0,,,0.0,,17446,17510,0.0,17510,32868,
04/30/1999,34019,4995,4894,101.0,7737,,,,6310,,2124.0,4186.0,,3187,,,,,,,22229,5990,12612.0,-6622.0,,,,5800.0,0.0,,,,5800.0,11790,,3124,3124,,,,1380,,,,,,8371,,,8371,12875,1730,,,,,1216,,,,1216,2946,15821,0.0,10.0,,,0.0,,18188,18198,0.0,18198,34019,
07/31/1999,34070,6106,6052,54.0,6766,4880.0,,,5040,1325.0,,3715.0,,2773,,,,,,,20685,4497,,,5466.0,,,3422.0,,,,,3422.0,13385,,2986,2986,,,,2366,,,,,,6997,,,6997,12349,1824,,,,,888,,,,888,2712,15061,,294.0,,,,18715.0,0,19009,,19009,34070,
10/31/1999,35297,5590,5411,179.0,7847,5958.0,,,4863,,,3581.0,1282.0,3342,,,,,,,21642,4333,8920.0,-4587.0,5789.0,,,3533.0,0.0,,,,3533.0,13655,,3517,3517,,,,3105,,,,,,7699,,,7699,14321,1764,,,,,917,,,,917,2681,17002,,10.0,,,0.0,18285.0,0,18295,,18295,35297,
01/31/2000,33911,3240,2985,255.0,5435,,,,5100,,1439.0,3661.0,0.0,5556,,,,,,,19331,4336,9050.0,-4714.0,,,,10244.0,0.0,,,,10244.0,14580,,3850,3850,,,,515,,,,,,7925,,,7925,12290,1535,,,,,780,,,,780,2315,14605,0.0,891.0,,,0.0,,18415,19306,0.0,19306,33911,
04/30/2000,34108,3903,3678,225.0,5509,,,,4985,,1342.0,3643.0,0.0,5605,,,,,,,20002,4347,9157.0,-4810.0,0.0,,,9759.0,0.0,,,,9759.0,14106,,3873,3873,,,,647,,,,,,7510,,,7510,12030,1855,,,,,774,,,,774,2629,14659,0.0,796.0,,,0.0,,18653,19449,0.0,19449,34108,
07/31/2000,32457,5052,4842,210.0,5640,,,,5563,,1623.0,3940.0,0.0,5658,,,,,,,21913,4398,9302.0,-4904.0,0.0,,,6146.0,0.0,,,,6146.0,10544,,4404,4404,,,,1625,,,,,,7577,,,7577,13606,3390,,,,,850,,,,850,4240,17846,0.0,425.0,,,0.0,,14186,14611,0.0,14611,32457,
10/31/2000,34009,4007,3415,592.0,8568,6394.0,,,5699,,,4251.0,1448.0,4970,,,,,,,23244,4500,9505.0,-5005.0,6265.0,,,,,,,,,10765,,5049,5049,,,,1555,,,,,,8593,,,8593,15197,3402,,,,,1201,,,,1201,4603,19800,,19.0,,,0.0,14097.0,93,14209,,14209,34009,
01/31/2001,33379,2852,2297,555.0,8193,6001.0,,,6095,,1643.0,4452.0,,5499,,,,,,,22639,4563,,,6177.0,,,,,,,,,10740,,4094,4094,,,,2321,,,,,,8810,,,8810,15225,3037,,,,,981,,,,981,4018,19243,0.0,19.0,,,,14100.0,17,14136,0.0,14136,33379,
04/30/2001,33585,4169,3606,563.0,7882,5686.0,,,5704,,,4113.0,1591.0,4989,,,,,,,22744,4572,,,6269.0,,,,,,,,,10841,,3888,3888,,,,3221,3221.0,0.0,0.0,,,8557,,,8557,15666,2843,2843.0,0.0,0.0,,979,,,,979,3822,19488,0.0,19.0,,,0.0,13993.0,85,14097,0.0,14097,33585,
07/31/2001,32374,3240,2727,513.0,7053,,,,5489,,1536.0,3953.0,0.0,5180,,,,,,,20962,4613,9953.0,-5340.0,0.0,,,6799.0,0.0,0.0,0.0,,6799.0,11412,,3238,3238,,,,2012,2012.0,0.0,0.0,,,8700,,,8700,13950,3511,3511.0,0.0,0.0,,1044,,,,1044,4555,18505,0.0,37.0,,,0.0,,13832,13869,0.0,13869,32374,
10/31/2001,32584,4336,4197,139.0,6671,4488.0,,,5204,,,,,5094,,,,,,,21305,4397,,,6126.0,,,756.0,756.0,,,,0.0,11279,,3791,3791,,,,1722,,,,,,8451,,,8451,13964,3729,,,,,938,,,,938,4667,18631,,,,,0.0,,13953,13953,,13953,32584,
01/31/2002,33588,7141,6983,158.0,6365,4134.0,,,4458,,3245.0,1213.0,,5272,,,,,,,23236,4388,,,5964.0,,,,,,,,,10352,,3602,3602,,,,1462,,,,,,8817,,,8817,13881,4528,,,,,967,,,,967,5495,19376,0.0,223.0,,,,13850.0,139,14212,0.0,14212,33588,
04/30/2002,34280,8888,8741,147.0,3936,3936.0,,,4017,,1057.0,2960.0,0.0,7014,,,,,,,23855,4305,9844.0,-5539.0,0.0,,,6120.0,,,,,6120.0,10425,,3584,3584,,,,1618,1618.0,0.0,0.0,,,8630,,,8630,13832,4442,4442.0,0.0,0.0,,1045,,,,1045,5487,19319,0.0,865.0,,,0.0,14101.0,-5,14961,0.0,14961,34280,
07/31/2002,70912,11229,11092,137.0,11443,8171.0,,,5568,,,3967.0,1601.0,8118,,,,,,,36358,7109,,,7183.0,,,20262.0,20262.0,15120.0,5142.0,,0.0,34554,,6699,6699,,,,2003,,,,,,16210,,,16210,24912,6388,,,,,3271,,,,3271,9659,34571,0.0,24798.0,,,0.0,11584.0,-41,36341,0.0,36341,70912,
01/31/2003,72093,12864,12641,223.0,11431,7866.0,,,6091,,1987.0,4104.0,,7277,,,,,,,37663,6865,,,7692.0,,,19873.0,19873.0,15112.0,4761.0,,0.0,34430,,6334,6334,,,,3033,,,,,,15830,,,15830,25197,6187,,,,,4240,,,,4240,10427,35624,0.0,24738.0,,,,12205.0,-474,36469,0.0,36469,72093,
04/30/2003,72839,13730,13476,254.0,11278,7900.0,,,5743,,,4015.0,1728.0,7688,,,,,,,38439,6692,,,8245.0,,,19463.0,19463.0,14846.0,4617.0,,0.0,34400,,7052,7052,,,,1745,,,,,,16382,,,16382,25179,6726,,,,,4042,,,,4042,10768,35947,,24503.0,,,,12863.0,-474,36892,,36892,72839,
07/31/2003,71539,13163,12911,252.0,10854,,,,6142,,1821.0,4321.0,0.0,7089,,,,,,,37248,6563,13429.0,-6866.0,8480.0,,,19248.0,19248.0,14768.0,4480.0,,0.0,34291,,7557,7557,,,,1278,,,,,,15262,,,15262,24097,6508,,,,,4068,,,,4068,10576,34673,0.0,24547.0,,,0.0,12673.0,-354,36866,0.0,36866,71539,
10/31/2003,74716,14591,14188,403.0,11947,8921.0,,,6065,,1412.0,4653.0,0.0,8351,,,,,,,40954,6482,13299.0,-6817.0,8030.0,,,19250.0,19250.0,14894.0,4356.0,,0.0,33762,,9285,9285,,,,1080,,,,,,15104,,,15104,25469,6494,,,,,5007,,,,5007,11501,36970,0.0,24617.0,,,0.0,13332.0,-203,37746,0.0,37746,74716,
07/31/2004,74381,14296,13985,311.0,11388,8465.0,,,6745,,1735.0,5010.0,0.0,8283,,,,,,,40712,6245,,,7678.0,,,19746.0,19746.0,15603.0,4143.0,,0.0,33669,,8483,8483,,,,2212,2212.0,0.0,0.0,,,16083,,,16083,26778,4907,4907.0,0.0,0.0,,3985,,,,3985,8892,35670,0.0,24287.0,,,0.0,14569.0,-145,38711,0.0,38711,74381,
10/31/2004,76138,12974,12663,311.0,10226,,,,7071,,1749.0,5322.0,0.0,12630,,,,,,,42901,6649,13836.0,-7187.0,6657.0,,,19931.0,19931.0,15828.0,4103.0,,0.0,33237,,9377,9377,,,,2511,2511.0,0.0,0.0,,,16700,,,16700,28588,4623,4623.0,0.0,0.0,,5363,,,,5363,9986,38574,0.0,22158.0,,,0.0,15649.0,-243,37564,0.0,37564,76138,
01/31/2005,75143,13600,13302,298.0,11475,8665.0,,,7120,,1884.0,5236.0,,9520,,,,,,,41715,6690,,,6949.0,,,19789.0,19789.0,15850.0,3939.0,,0.0,33428,,8234,8234,,,,2803,,,,,,16536,,,16536,27573,4408,,,,,5436,,,,5436,9844,37417,0.0,21878.0,,,0.0,16011.0,-163,37726,0.0,37726,75143,
04/30/2005,76348,14483,14362,121.0,11986,9266.0,,,6464,,1700.0,4764.0,0.0,9543,,,,,,,42476,6669,,,7306.0,,,19897.0,19897.0,16067.0,3830.0,,0.0,33872,,8583,8583,,,,2754,,,,,,17078,,,17078,28415,4397,,,,,5363,,,,5363,9760,38175,0.0,21398.0,,,0.0,16950.0,-175,38173,0.0,38173,76348,
07/31/2005,75416,14544,14445,99.0,11342,8764.0,,,6644,0.0,1833.0,4811.0,0.0,9172,,,,,,,41702,6430,,,7431.0,,,19853.0,19853.0,16190.0,3663.0,,0.0,33714,,9070,9070,,,,2375,,,,,,17730,,,17730,29175,3397,,,,,5458,,,,5458,8855,38030,0.0,21145.0,,,0.0,16407.0,-166,37386,0.0,37386,75416,
10/31/2005,77317,13929,13911,18.0,12454,9903.0,,,6877,1937.0,0.0,4940.0,0.0,10074,,,,,,,43334,6451,13880.0,-7429.0,2246.0,,,25286.0,20030.0,16441.0,3589.0,,5256.0,33983,,10223,10223,,,,1831,1831.0,0.0,0.0,,,19406,,,19406,31460,3392,3392.0,0.0,0.0,,5289,,,,5289,8681,40141,0.0,20518.0,,,0.0,16679.0,-21,37176,0.0,37176,77317,
01/31/2006,74413,11946,11934,12.0,11221,8679.0,,,6731,2006.0,0.0,4725.0,0.0,9280,,,,,,,39178,6346,,,8316.0,,,20573.0,20573.0,16839.0,3734.0,,0.0,35235,,8932,8932,,,,2632,,,,,,19113,,,19113,30677,2416,,,,,5514,,,,5514,7930,38607,0.0,18700.0,,,0.0,17111.0,-5,35806,0.0,35806,74413,
04/30/2006,77183,14044,14032,12.0,12323,9783.0,,,6768,0.0,2023.0,4745.0,0.0,9073,,,,,,,42208,6351,,,8194.0,,,20430.0,20430.0,16809.0,3621.0,,0.0,34975,,10077,10077,,,,2609,,,,,,19771,,,19771,32457,2406,,,,,5266,,,,5266,7672,40129,0.0,19779.0,,,0.0,18793.0,-1518,37054,0.0,37054,77183,
07/31/2006,79192,15995,15981,14.0,12192,9631.0,,,7464,,2239.0,5225.0,0.0,8674,,,,,,,44325,6369,,,8154.0,,,20344.0,20344.0,16850.0,3494.0,,0.0,34867,,10695,10695,,,,4316,,,,,,19971,,,19971,34982,2451,,,,,5411,,,,5411,7862,42844,0.0,17857.0,,,0.0,19522.0,-1031,36348,0.0,36348,79192,
10/31/2006,81981,16422,16400,22.0,13313,10873.0,,,7750,,,5424.0,2326.0,10779,,,,,,,48264,6863,15024.0,-8161.0,2340.0,,,24514.0,20205.0,16853.0,3352.0,,4309.0,33717,,12102,12102,,,,2705,,,,,,21043,,,21043,35850,2490,,,,,5497,,,,5497,7987,43837,,17993.0,,,0.0,20729.0,-578,38144,,38144,81981,
01/31/2007,81314,10363,10057,306.0,12914,10403.0,,,8380,2671.0,0.0,5709.0,0.0,10862,,,,,,,42519,7045,,,7392.0,,,24358.0,24358.0,20074.0,4284.0,,0.0,38795,,11360,11360,,,,3337,,,,,,20347,,,20347,35044,2438,,,,,5789,,,,5789,8227,43271,0.0,17431.0,,,0.0,20604.0,8,38043,0.0,38043,81314,
04/30/2007,83413,12310,12236,74.0,14109,11577.0,,,7278,2093.0,0.0,5185.0,0.0,10177,,,,,,,43874,7339,,,7751.0,,,24449.0,24449.0,20322.0,4127.0,,0.0,39539,,11505,11505,,,,4360,,,,,,21048,,,21048,36913,3977,,,,,6037,,,,6037,10014,46927,0.0,15883.0,,,0.0,20629.0,-26,36486,0.0,36486,83413,
07/31/2007,85141,12490,12450,40.0,14321,11845.0,,,8006,2738.0,0.0,5268.0,0.0,10544,,,,,,,45361,7479,,,7992.0,,,24309.0,24309.0,20364.0,3945.0,,0.0,39780,,11673,11673,,,,3667,,,,,,21965,,,21965,37305,4945,,,,,5954,,,,5954,10899,48204,0.0,16352.0,,,0.0,20506.0,79,36937,0.0,36937,85141,
10/31/2007,88699,11445,11293,152.0,15927,13420.0,,,8033,,0.0,5404.0,2629.0,11997,,,,,,,47402,7798,16411.0,-8613.0,2778.0,,,30721.0,25852.0,21773.0,4079.0,,4869.0,41297,,11787,11787,,,,3186,,,,,,24287,,,24287,39260,4997,,,,,5916,,,,5916,10913,50173,0.0,16407.0,,,0.0,21560.0,559,38526,0.0,38526,88699,
01/31/2008,88572,9976,9903,73.0,14945,12384.0,,,7938,2603.0,0.0,5335.0,0.0,11767,,,,,,,44626,7804,,,10325.0,,,25817.0,25817.0,21854.0,3963.0,,0.0,43946,,11162,11162,,,,2212,,,,,,0,,,0,36658,5099,,,,,8871,,,,8871,13970,50628,0.0,15198.0,,,0.0,22132.0,614,37944,,37944,88572,
04/30/2008,91804,11647,11591,56.0,16147,13558.0,,,7678,2651.0,,5027.0,,11577,,,,,,,47049,7906,,,10318.0,,,26531.0,26531.0,22451.0,4080.0,,0.0,44755,,12425,12425,,,,711,,,,,,24010,,,24010,37146,7688,,,,,8817,,,,8817,16505,53651,,14521.0,,,0.0,23049.0,583,38153,,38153,91804,
07/31/2008,95894,14847,14783,64.0,16348,13754.0,,,8160,2865.0,,5295.0,,11681,,,,,,,51036,7971,,,10306.0,,,26581.0,26581.0,22599.0,3982.0,,0.0,44858,,14021,14021,,,,3591,,,,,,24288,,,24288,41900,6628,,,,,8871,,,,8871,15499,57399,0.0,14172.0,,,0.0,23727.0,596,38495,0.0,38495,95894,
