Date,Revenue,Sales & Services Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
09/30/1996,7028.0,,,,,,-6353.0,,675.0,-165.0,,226.0,,0.0,-61.0,510.0,-199.0,311.0,0.0,,,311.0,0.0,311.0,-15.0,,296.0,296.0,,382.399994,0.775,0.775,0.775,422.858002,0.7,0.7,0.7,
12/31/1996,7662.0,,,,,,-7221.0,,441.0,146.0,,214.0,,0.0,-360.0,587.0,-122.0,465.0,0.0,,,465.0,0.0,465.0,-15.0,,450.0,450.0,,370.399994,1.2,1.2,0.815,420.559998,1.07,1.07,0.73,
03/31/1997,6674.0,,,,,,-6018.0,,656.0,-180.0,,201.0,,0.0,-21.0,476.0,-186.0,290.0,0.0,,,290.0,0.0,290.0,-15.0,,275.0,275.0,,369.0,0.745,0.745,0.745,429.630004,0.675,0.675,0.675,
06/30/1997,6898.0,,,,,,-6261.0,,637.0,-149.0,,201.0,,0.0,-52.0,488.0,-180.0,308.0,0.0,,,308.0,0.0,308.0,-15.0,,293.0,293.0,,369.399994,0.795,0.795,0.795,432.399994,0.71,0.71,0.71,
09/30/1997,6619.0,,,,,,-5942.0,,677.0,-143.0,,213.0,,0.0,-70.0,534.0,-203.0,331.0,0.0,,,331.0,0.0,331.0,-15.0,,316.0,316.0,,371.799988,0.85,0.85,0.85,435.200012,0.755,0.755,0.755,
12/31/1997,7878.0,,,,,,-7551.0,,327.0,112.0,,227.0,,0.0,-339.0,439.0,-68.0,371.0,0.0,,,371.0,0.0,371.0,,,371.0,371.0,,373.0,0.995,0.995,0.975,406.399994,0.915,0.915,0.895,
03/31/1998,6217.0,,,,,,-5599.0,,618.0,-184.0,,213.0,,0.0,-29.0,434.0,-165.0,269.0,0.0,,,269.0,0.0,269.0,0.0,,269.0,269.0,,373.899994,0.72,0.72,0.72,379.399994,0.71,0.71,0.71,
06/30/1998,6520.0,,,,,,-5882.0,,638.0,-180.0,,221.0,,0.0,-41.0,458.0,-169.0,289.0,0.0,,,289.0,0.0,289.0,0.0,,289.0,289.0,,375.799988,0.77,0.77,0.74,381.0,0.76,0.76,0.73,
09/30/1998,6349.0,,,,,,-5653.0,,696.0,-187.0,,221.0,,0.0,-34.0,509.0,-191.0,318.0,0.0,,,318.0,0.0,318.0,0.0,,318.0,318.0,,377.200012,0.845,0.845,0.815,381.200012,0.83,0.83,0.8,
12/31/1998,7180.0,,,,,,-6780.0,,400.0,-140.0,,206.0,,0.0,-66.0,260.0,-135.0,125.0,0.0,,,125.0,0.0,125.0,0.0,,125.0,125.0,,378.799988,0.33,0.33,0.755,383.0,0.33,0.33,0.75,
03/31/1999,6188.0,,,,,,-5701.0,,487.0,-63.0,192.0,192.0,,0.0,-129.0,424.0,-156.0,268.0,355.0,,,-87.0,0.0,-87.0,0.0,,-87.0,-87.0,,380.299988,-0.23,0.7,0.51,382.600006,-0.23,0.7,0.51,
06/30/1999,6203.0,,,,,,-6072.0,,131.0,-188.0,191.0,191.0,,0.0,-3.0,-57.0,16.0,-41.0,0.0,,,-41.0,0.0,-41.0,0.0,,-41.0,-41.0,,381.399994,-0.11,-0.11,-0.08,381.399994,-0.11,-0.11,-0.08,
09/30/1999,6157.0,,,,,,-5669.0,,488.0,-130.0,200.0,200.0,,0.0,-70.0,358.0,-141.0,217.0,0.0,,,217.0,0.0,217.0,0.0,,217.0,217.0,,382.799988,0.57,0.57,0.48,384.700012,0.57,0.57,0.48,
12/31/1999,6982.0,,,,,,-6423.0,,559.0,-84.0,,226.0,,0.0,-142.0,475.0,-182.0,293.0,0.0,,,293.0,0.0,293.0,0.0,,293.0,293.0,,384.600006,0.76,0.76,0.59,385.200012,0.76,0.76,0.59,
03/31/2000,5562.0,,-5249.0,,313.0,0.0,,,313.0,-214.0,,227.0,,,-13.0,99.0,-45.0,54.0,,,,54.0,0.0,54.0,0.0,0.0,54.0,54.0,,387.1,0.14,0.14,0.14,387.5,0.14,0.14,0.14,
06/30/2000,6070.0,,,,,,-5639.0,,431.0,-324.0,220.0,220.0,,0.0,104.0,107.0,-63.0,44.0,2.0,,,42.0,0.0,42.0,0.0,0.0,42.0,42.0,,389.5,0.11,0.11,0.29,391.195007,0.11,0.11,0.29,
09/30/2000,5721.0,,,,,,-5308.0,,413.0,-663.0,229.0,229.0,,0.0,434.0,-250.0,-449.0,-699.0,5.0,,,-704.0,0.0,-704.0,0.0,0.0,-704.0,-704.0,,405.600006,-1.74,-1.73,0.29,405.600006,-1.74,-1.73,0.29,
12/31/2000,7315.0,,,,,,-6817.0,,498.0,-127.0,,243.0,,0.0,-116.0,371.0,-157.0,214.0,125.0,,,89.0,0.0,89.0,0.0,0.0,89.0,89.0,,421.0,0.21,0.5,0.44,425.200012,0.21,0.5,0.44,
03/31/2001,4747.0,,,,,,-4397.0,,350.0,-154.0,197.0,197.0,,0.0,-43.0,196.0,-70.0,126.0,21.0,,,105.0,0.0,105.0,0.0,0.0,105.0,105.0,,423.3,0.25,0.3,0.28,427.8,0.25,0.3,0.28,
06/30/2001,5688.0,,,,,,-5289.0,,399.0,-154.0,180.0,180.0,,0.0,-26.0,245.0,-95.0,150.0,6.0,,,144.0,0.0,144.0,0.0,0.0,144.0,144.0,,425.700012,0.34,0.35,0.35,430.100006,0.33,0.34,0.34,
09/30/2001,6221.0,,,,,,-5783.0,,438.0,-552.0,172.0,172.0,,0.0,380.0,-114.0,27.0,-87.0,-300.0,,,213.0,0.0,213.0,0.0,0.0,213.0,213.0,,428.0,0.5,-0.2,0.44,433.200012,0.49,-0.2,0.43,
12/31/2001,7334.0,,,,,,-6978.0,,356.0,-717.0,151.0,151.0,,0.0,566.0,-361.0,215.0,-146.0,1362.0,,,-1508.0,0.0,-1508.0,0.0,0.0,-1508.0,-1508.0,,432.4,-3.49,-0.34,0.55,432.4,-3.49,-0.34,0.55,
03/31/2002,5966.0,,,,,,-5528.0,,438.0,-112.0,148.0,148.0,,0.0,-36.0,326.0,-102.0,224.0,6.0,,,218.0,0.0,218.0,0.0,0.0,218.0,218.0,,437.4,0.5,0.51,0.51,444.7,0.49,0.5,0.5,
06/30/2002,6290.0,,,,,,-5807.0,,483.0,-102.0,145.0,145.0,,0.0,-43.0,381.0,-30.0,351.0,12.0,,,339.0,0.0,339.0,0.0,0.0,339.0,339.0,,444.5,0.76,0.79,0.59,452.5,0.75,0.78,0.58,
09/30/2002,6542.0,,,,,,-5989.0,,553.0,-124.0,147.0,147.0,,0.0,-23.0,429.0,-129.0,300.0,10.0,,,290.0,0.0,290.0,0.0,0.0,290.0,290.0,,448.5,0.65,0.67,0.67,455.700012,0.64,0.66,0.66,
12/31/2002,7780.0,,,,,,-7305.0,,475.0,-1034.0,141.0,141.0,,0.0,893.0,-559.0,217.0,-342.0,5.0,,,-347.0,0.0,-347.0,0.0,0.0,-347.0,-347.0,,449.8,-0.77,-0.76,0.83,449.8,-0.77,-0.76,0.83,
03/31/2003,7059.0,,,,,,-6587.0,,472.0,-107.0,140.0,140.0,,0.0,-33.0,365.0,-115.0,250.0,0.0,,,250.0,0.0,250.0,0.0,0.0,250.0,250.0,,448.799988,0.56,0.56,0.56,452.5,0.55,0.55,0.55,
06/30/2003,7709.0,,,,,,-7299.0,,410.0,-59.0,119.0,119.0,,0.0,-60.0,351.0,-109.0,242.0,0.0,,,242.0,0.0,242.0,0.0,0.0,242.0,242.0,,445.299988,0.54,0.54,0.6,448.700012,0.54,0.54,0.6,
09/30/2003,8078.0,,,,,,-7540.0,,538.0,-227.0,117.0,117.0,,0.0,110.0,311.0,-94.0,217.0,0.0,,,217.0,0.0,217.0,0.0,0.0,217.0,217.0,,446.600006,0.49,0.49,0.67,450.399994,0.48,0.48,0.66,
12/31/2003,8978.0,,,,,,-8422.0,,556.0,-51.0,111.0,111.0,,0.0,-60.0,505.0,-161.0,344.0,0.0,,,344.0,0.0,344.0,0.0,0.0,344.0,344.0,,445.2,0.77,0.77,0.75,448.4,0.77,0.77,0.75,
03/31/2004,8347.0,,,,,,-7879.0,,468.0,-40.0,108.0,108.0,,0.0,-68.0,428.0,-137.0,291.0,0.0,,,291.0,0.0,291.0,0.0,0.0,291.0,291.0,,444.3,0.66,0.66,0.66,447.5,0.65,0.65,0.65,
06/30/2004,8775.999023,,,,,,-8243.0,,533.0,-95.0,,106.0,,0.0,-11.0,438.0,-142.0,296.0,0.0,,,296.0,0.0,296.0,0.0,0.0,296.0,296.0,,443.899994,0.67,0.67,0.67,447.0,0.66,0.66,0.66,
09/30/2004,8438.0,,,,,,-7921.0,,517.0,-65.0,109.0,109.0,,0.0,-44.0,452.0,-145.0,307.0,0.0,,,307.0,0.0,307.0,0.0,0.0,307.0,307.0,,441.399994,0.69,0.69,0.69,445.899994,0.69,0.69,0.69,
12/31/2004,9965.0,,,,,,-9515.0,,450.0,-104.0,,102.0,,0.0,2.0,346.0,26.0,372.0,0.0,,,372.0,0.0,372.0,0.0,0.0,372.0,372.0,,442.9,0.84,0.84,0.86,448.2,0.83,0.83,0.85,
03/31/2005,8488.0,,-7946.0,,542.0,0.0,88.0,,630.0,-90.0,,90.0,,0.0,,540.0,-171.0,369.0,0.0,,,369.0,0.0,369.0,0.0,0.0,369.0,369.0,,441.3,0.84,0.84,0.81,446.5,0.83,0.83,0.8,
06/30/2005,9295.0,,-8637.0,,658.0,0.0,106.0,,764.0,-94.0,,94.0,,0.0,,670.0,-209.0,461.0,0.0,,,461.0,0.0,461.0,0.0,0.0,461.0,461.0,,445.3,1.03,1.03,0.97,451.3,1.02,1.02,0.96,
09/30/2005,9201.0,,-8495.0,,706.0,,,,706.0,-93.0,93.0,93.0,,0.0,0.0,613.0,-186.0,427.0,0.0,,,427.0,0.0,427.0,0.0,0.0,427.0,427.0,,440.5,0.97,0.97,0.97,445.8,0.96,0.96,0.96,
12/31/2005,10229.0,,-9343.0,,886.0,,,,886.0,-93.0,,93.0,,0.0,,793.0,-225.0,568.0,0.0,,,568.0,0.0,568.0,0.0,0.0,568.0,568.0,,434.2,1.31,1.31,1.14,439.0,1.29,1.29,1.12,
03/31/2006,9214.0,,-8454.0,,760.0,0.0,211.0,,971.0,-94.0,,94.0,,0.0,,877.0,-286.0,591.0,0.0,,,591.0,0.0,591.0,0.0,0.0,591.0,591.0,,436.0,1.36,1.36,1.28,441.3,1.34,1.34,1.26,
06/30/2006,9961.0,,-9121.0,,840.0,0.0,103.0,,943.0,-92.0,,92.0,,0.0,,851.0,-271.0,580.0,0.0,,,580.0,0.0,580.0,0.0,0.0,580.0,580.0,,428.8,1.35,1.35,1.32,433.7,1.34,1.34,1.31,
09/30/2006,9605.0,,-8700.0,,905.0,,,,905.0,-90.0,90.0,90.0,,0.0,0.0,815.0,-186.0,629.0,0.0,,,629.0,0.0,629.0,0.0,0.0,629.0,629.0,,424.3,1.48,1.48,1.32,431.9,1.46,1.46,1.3,
12/31/2006,10840.0,,-9706.0,,1134.0,,,,1134.0,-85.0,85.0,85.0,,0.0,0.0,1049.0,-320.0,729.0,0.0,,,729.0,0.0,729.0,0.0,0.0,729.0,729.0,,423.4,1.72,1.72,1.68,432.8,1.68,1.68,1.64,
03/31/2007,9275.0,,-8253.0,,1022.0,,,,1022.0,-93.0,93.0,93.0,,0.0,0.0,929.0,-239.0,690.0,0.0,,,690.0,0.0,690.0,0.0,0.0,690.0,690.0,,421.4,1.64,1.64,1.43,432.1,1.6,1.6,1.39,
06/30/2007,10651.0,,-9420.0,,1231.0,,,,1231.0,-93.0,93.0,93.0,,0.0,0.0,1138.0,-360.0,778.0,0.0,,,778.0,0.0,778.0,0.0,0.0,778.0,778.0,,416.7,1.87,1.87,1.83,426.5,1.82,1.82,1.78,
09/30/2007,11095.0,,-9932.0,,1163.0,,,,1163.0,-44.0,79.0,79.0,,0.0,-35.0,1119.0,-353.0,766.0,0.0,,,766.0,0.0,766.0,0.0,0.0,766.0,766.0,,413.5,1.85,1.85,1.85,424.5,1.8,1.8,1.8,
12/31/2007,10841.0,,-9626.0,,1215.0,,,,1215.0,-33.0,87.0,87.0,,0.0,-54.0,1182.0,-383.0,799.0,0.0,,,799.0,0.0,799.0,0.0,0.0,799.0,799.0,,412.3,1.94,1.94,1.94,423.4,1.89,1.89,1.89,
03/30/2008,9983.0,,-8805.0,,1178.0,,,,1178.0,-94.0,87.0,87.0,0.0,0.0,7.0,1084.0,-354.0,730.0,0.0,,,730.0,0.0,730.0,0.0,0.0,730.0,730.0,,406.6,1.8,1.8,1.78,416.8,1.75,1.75,1.73,
06/29/2008,11039.0,,-9848.0,,1191.0,0.0,172.0,,1363.0,-58.0,,92.0,,,-34.0,1305.0,-423.0,882.0,0.0,,,882.0,0.0,882.0,0.0,0.0,882.0,882.0,0.0,399.3,2.21,2.21,2.21,409.5,2.15,2.15,2.15,
09/28/2008,10577.0,,-9455.0,,1122.0,0.0,120.0,,1242.0,-98.0,,85.0,,,13.0,1144.0,-362.0,782.0,0.0,,,782.0,0.0,782.0,0.0,0.0,782.0,782.0,0.0,397.4,1.97,1.97,1.97,407.1,1.92,1.92,1.92,
12/31/2008,11132.0,,-9784.0,,1348.0,,,,1348.0,-179.0,77.0,77.0,,0.0,102.0,1169.0,-346.0,823.0,0.0,,,823.0,0.0,823.0,0.0,0.0,823.0,823.0,,395.8,2.08,2.08,2.0,400.7,2.05,2.05,1.97,
03/29/2009,10373.0,10373.0,-9368.0,9368.0,1005.0,,52.0,-52.0,1057.0,-79.0,,76.0,,,3.0,978.0,-312.0,666.0,0.0,0.0,0.0,666.0,0.0,666.0,0.0,0.0,666.0,666.0,0.0,393.4,1.69,1.69,1.69,397.5,1.68,1.68,1.68,
06/28/2009,11072.0,11072.0,-10060.0,10060.0,1012.0,,66.0,-66.0,1078.0,-28.0,,74.0,,,-46.0,1050.0,-319.0,731.0,-3.0,-3.0,0.0,734.0,0.0,734.0,0.0,0.0,734.0,731.0,0.0,386.9,1.9,1.89,1.89,390.9,1.88,1.87,1.87,
09/27/2009,10767.0,10767.0,-9781.0,9781.0,986.0,,82.0,-82.0,1068.0,-20.0,,74.0,,,-54.0,1048.0,-262.0,786.0,-11.0,-11.0,0.0,797.0,0.0,797.0,0.0,0.0,797.0,728.0,-58.0,381.4,2.09,2.06,1.908757,385.5,2.07,2.04,1.889546,
12/31/2009,12203.0,12203.0,-10987.0,10987.0,1216.0,,28.0,-28.0,1244.0,-60.0,,86.0,,,-26.0,1184.0,-348.0,836.0,9.0,9.0,0.0,827.0,0.0,827.0,0.0,0.0,827.0,765.85,-70.15,377.7,2.19,2.2,2.027667,381.9,2.17,2.19,2.006313,
03/28/2010,10337.0,10337.0,-9441.0,9441.0,896.0,,42.0,-42.0,938.0,-59.0,,87.0,,,-28.0,879.0,-360.0,519.0,-14.0,-14.0,0.0,533.0,0.0,533.0,0.0,0.0,533.0,615.0,96.0,373.5,1.43,1.4,1.646586,377.7,1.41,1.38,1.63417,
06/27/2010,11280.0,11280.0,-10238.0,10238.0,1042.0,,73.0,-73.0,1115.0,-105.0,,86.0,,,19.0,1010.0,-296.0,714.0,-110.0,-110.0,0.0,824.0,0.0,824.0,0.0,0.0,824.0,714.0,0.0,367.6,2.24,1.94,1.94,371.7,2.22,1.92,1.92,
09/26/2010,11343.0,11343.0,-10376.0,10376.0,967.0,,-90.0,90.0,877.0,-48.0,,85.0,,,-37.0,829.0,-272.0,557.0,-3.0,-3.0,0.0,560.0,0.0,560.0,0.0,0.0,560.0,673.0,116.0,360.1,1.56,1.55,1.868925,363.9,1.54,1.53,1.848769,
12/31/2010,12761.0,12761.0,-11704.0,11704.0,1057.0,,58.0,-58.0,1115.0,-59.0,,87.0,,,-28.0,1056.0,-235.0,821.0,-140.0,-140.0,0.0,961.0,0.0,961.0,0.0,0.0,961.0,832.4,11.4,355.8,2.7,2.31,2.339517,359.7,2.67,2.28,2.311693,
03/27/2011,10626.0,10626.0,-9812.0,9812.0,814.0,,50.0,-50.0,864.0,-66.0,,85.0,,,-19.0,798.0,-242.0,556.0,26.0,26.0,0.0,530.0,0.0,530.0,0.0,0.0,530.0,556.0,0.0,348.5,1.52,1.59,1.59,352.6,1.5,1.57,1.57,
06/26/2011,11543.0,11543.0,-10540.0,10540.0,1003.0,,-10.0,10.0,993.0,-75.0,,84.0,,,-9.0,918.0,-170.0,748.0,6.0,6.0,0.0,742.0,0.0,742.0,0.0,0.0,742.0,722.0,-26.0,342.8,2.16,2.18,2.106184,346.6,2.14,2.16,2.084986,
09/25/2011,12119.0,12119.0,-11084.0,11084.0,1035.0,,6.0,-6.0,1041.0,-92.0,,89.0,,,3.0,949.0,-284.0,665.0,-35.0,-35.0,0.0,700.0,0.0,700.0,0.0,0.0,700.0,690.0,25.0,329.8,2.12,2.01,2.092177,333.6,2.1,1.99,2.06494,
12/31/2011,12211.0,12211.0,-11223.0,11223.0,988.0,,94.0,-94.0,1082.0,-116.0,,96.0,,,20.0,966.0,-268.0,698.0,15.0,15.0,0.0,683.0,0.0,683.0,0.0,0.0,683.0,698.0,0.0,322.5,2.12,2.16,2.16,326.7,2.09,2.14,2.14,
03/25/2012,11293.0,11293.0,-10284.0,10284.0,1009.0,0.0,35.0,-35.0,1044.0,-93.0,,96.0,,,-3.0,951.0,-283.0,668.0,0.0,0.0,0.0,668.0,0.0,668.0,0.0,0.0,668.0,668.0,0.0,324.1,2.06,2.06,2.06,328.6,2.03,2.03,2.03,
06/24/2012,11921.0,11921.0,-10749.0,10749.0,1172.0,0.0,20.0,-20.0,1192.0,-75.0,,96.0,,,-21.0,1117.0,-336.0,781.0,0.0,0.0,0.0,781.0,0.0,781.0,0.0,0.0,781.0,781.0,0.0,324.5,2.41,2.41,2.41,328.8,2.38,2.38,2.38,
09/30/2012,11869.0,11869.0,-10826.0,10826.0,1043.0,0.0,94.0,-94.0,1137.0,-91.0,,97.0,,,-6.0,1046.0,-319.0,727.0,0.0,0.0,0.0,727.0,0.0,727.0,0.0,0.0,727.0,742.0,15.0,323.5,2.25,2.25,2.293663,328.3,2.21,2.21,2.25569,
12/31/2012,12099.0,12099.0,-11104.0,11104.0,995.0,0.0,66.0,-66.0,1061.0,-103.0,,94.0,,,9.0,958.0,-389.0,569.0,0.0,0.0,0.0,569.0,0.0,569.0,0.0,0.0,569.0,582.4,13.4,322.7,1.76,1.76,1.804772,328.0,1.73,1.73,1.770854,
03/31/2013,11070.0,11070.0,-10029.0,10029.0,1041.0,0.0,78.0,-78.0,1119.0,-94.0,,92.0,,,2.0,1025.0,-264.0,761.0,0.0,0.0,0.0,761.0,0.0,761.0,0.0,0.0,761.0,780.0,19.0,321.7,2.37,2.37,2.424619,326.3,2.33,2.33,2.388229,
06/30/2013,11408.0,11408.0,-10184.0,10184.0,1224.0,0.0,74.0,-74.0,1298.0,-87.0,,88.0,,,-1.0,1211.0,-352.0,859.0,0.0,0.0,0.0,859.0,0.0,859.0,0.0,0.0,859.0,859.0,0.0,320.8,2.68,2.68,2.68,325.9,2.64,2.64,2.64,
09/29/2013,11347.0,11347.0,-10163.0,10163.0,1184.0,0.0,70.0,-70.0,1254.0,-81.0,,84.0,,,-3.0,1173.0,-331.0,842.0,-31.0,-31.0,0.0,873.0,0.0,873.0,0.0,0.0,873.0,842.0,0.0,321.3,2.72,2.62,2.62,327.5,2.66,2.57,2.57,
12/31/2013,11533.0,11533.0,-10795.0,10795.0,738.0,,96.0,-96.0,834.0,-88.0,,86.0,,,2.0,746.0,-258.0,488.0,0.0,0.0,0.0,488.0,0.0,488.0,0.0,0.0,488.0,775.0,287.0,319.9,1.53,1.53,2.422632,326.3,1.5,1.5,2.379559,
03/31/2014,10650.0,10650.0,-9279.0,9279.0,1371.0,0.0,61.0,-61.0,1432.0,-84.0,,86.0,,,-2.0,1348.0,-415.0,933.0,0.0,0.0,0.0,933.0,0.0,933.0,0.0,0.0,933.0,933.0,0.0,319.1,2.92,2.92,2.92,325.1,2.87,2.87,2.87,
06/29/2014,11306.0,11306.0,-9965.0,9965.0,1341.0,0.0,85.0,-85.0,1426.0,-85.0,,85.0,,,0.0,1341.0,-452.0,889.0,0.0,0.0,0.0,889.0,0.0,889.0,0.0,0.0,889.0,889.0,0.0,316.8,2.81,2.81,2.81,322.1,2.76,2.76,2.76,
09/28/2014,11114.0,11114.0,-9839.0,9839.0,1275.0,,117.0,-117.0,1392.0,-81.0,,82.0,,,-1.0,1311.0,-423.0,888.0,0.0,0.0,0.0,888.0,0.0,888.0,0.0,0.0,888.0,888.0,0.0,316.3,2.81,2.81,2.81,321.8,2.76,2.76,2.76,
12/31/2014,12530.0,12530.0,-11143.0,11143.0,1387.0,74.0,-119.0,119.0,1342.0,-84.0,,87.0,,,-3.0,1258.0,-354.0,904.0,0.0,0.0,0.0,904.0,0.0,904.0,0.0,0.0,904.0,1011.0,107.0,315.1,2.87,2.87,3.208505,320.6,2.82,2.82,3.153749,
03/29/2015,10111.0,10111.0,-8848.0,8848.0,1263.0,,93.0,-93.0,1356.0,-90.0,,93.0,,,-3.0,1266.0,-388.0,878.0,0.0,0.0,0.0,878.0,0.0,878.0,0.0,0.0,878.0,878.0,0.0,315.4,2.78,2.78,2.78,320.2,2.74,2.74,2.74,
06/28/2015,11643.0,11643.0,-10272.0,10272.0,1371.0,,74.0,-74.0,1445.0,-102.0,,104.0,,,-2.0,1343.0,-414.0,929.0,0.0,0.0,0.0,929.0,0.0,929.0,0.0,0.0,929.0,936.8,7.8,312.0,2.98,2.98,3.002564,316.1,2.94,2.94,2.964676,
09/27/2015,10060.0,10060.0,-8963.0,8963.0,1097.0,,95.0,-95.0,1192.0,-103.0,,104.0,,,-1.0,1089.0,-333.0,756.0,-109.0,-109.0,0.0,865.0,0.0,865.0,0.0,0.0,865.0,765.75,9.75,308.4,2.8,2.45,2.482977,312.7,2.77,2.42,2.45118,
12/31/2015,11520.0,11520.0,-10383.0,10383.0,1137.0,0.0,-37.0,37.0,1100.0,-118.0,142.0,142.0,0.0,0.0,-24.0,982.0,-165.0,817.0,-116.0,-116.0,0.0,933.0,0.0,933.0,0.0,0.0,933.0,895.25,78.25,305.9,3.05,2.67,2.92661,310.2,3.01,2.63,2.882257,
03/27/2016,10368.0,10368.0,-9273.0,9273.0,1095.0,0.0,63.0,-63.0,1158.0,-164.0,,165.0,,,-1.0,994.0,-188.0,806.0,-92.0,-92.0,0.0,898.0,0.0,898.0,0.0,0.0,898.0,858.0,52.0,304.5,2.95,2.65,2.817734,307.8,2.91,2.61,2.778941,
06/26/2016,11577.0,11577.0,-10347.0,10347.0,1230.0,0.0,145.0,-145.0,1375.0,-165.0,,165.0,,,0.0,1210.0,-311.0,899.0,-122.0,-122.0,0.0,1021.0,0.0,1021.0,0.0,0.0,1021.0,899.0,0.0,303.1,3.37,2.97,2.97,307.1,3.32,2.93,2.93,
09/25/2016,11551.0,11551.0,-10167.0,10167.0,1384.0,0.0,204.0,-204.0,1588.0,-161.0,,162.0,,,-1.0,1427.0,-338.0,1089.0,-1306.0,-1306.0,0.0,2395.0,,2395.0,0.0,0.0,2395.0,985.0,-104.0,298.5,8.02,3.64,3.299832,302.1,7.93,3.61,3.265743,
12/31/2016,13794.0,13794.0,-12102.0,12102.0,1692.0,,75.0,-75.0,1767.0,-644.0,,171.0,,,473.0,1123.0,-256.0,867.0,8.0,8.0,0.0,859.0,,859.0,0.0,0.0,859.0,919.0,52.0,291.2,2.949863,2.977335,3.155907,294.7,2.914829,2.941975,3.118426,
