Date,Revenue,Sales & Services Revenue,Other Revenue,Cost of Revenue,Cost of Goods & Services,Depreciation & Amortization,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Selling & Marketing,General & Administrative,Research & Development,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,(Income) Loss from Affiliates,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Current Income Tax,Deferred Income Tax,Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
12/31/1994,83.973,,,-53.146,,,30.827,,-45.862999,,,,,,-15.036,-2.625,,4.027,,0.0,,-1.402,-17.661,5.982,,,-11.679,0.0,,,-11.679,0.0,-11.679,0.0,,-11.679,-11.679,,200.016008,-0.0575,-0.0575,-0.0575,200.016008,-0.0575,-0.0575,-0.0575,
03/31/1995,90.875999,,,-72.665001,,,18.210999,,-13.923,,,,,,4.288,-3.577,,4.555,,0.0,,-0.978,0.711,-0.271,,,0.44,0.0,,,0.44,0.0,0.44,0.0,,0.44,0.44,,200.067993,0.0025,0.0025,,200.067993,0.0025,0.0025,0.0025,
06/30/1995,105.500999,,,-80.476997,,,25.024002,,-16.466999,,,,,,8.557,-3.131,,4.76,,0.0,,-1.629,5.426,-2.069,,,3.357,0.0,,,3.357,0.0,3.357,0.0,,3.357,3.357,,200.128006,0.0175,0.0175,,200.128006,0.0175,0.0175,0.0175,
09/30/1995,109.107002,,,-84.702003,,,24.404999,,-16.575001,,,,,,7.83,-3.421,,4.604,,0.0,,-1.183,4.409,-1.68,,,2.729,0.0,,,2.729,0.0,2.729,0.0,,2.729,2.729,,200.188004,0.0125,0.0125,,200.188004,0.0125,0.0125,0.0125,
12/31/1995,135.352005,,,-152.671997,,,-17.319992,,-22.795,,,,,,-40.115002,37.566998,,4.825,,0.0,,-42.391998,-2.548004,0.108,,,-2.44,0.0,,,-2.440004,0.0,-2.44,0.0,,-2.44,-2.44,,200.348008,-0.0125,-0.0125,-0.0125,200.348008,-0.0125,-0.0125,-0.0125,
03/31/1996,167.216003,,,-112.782997,,,54.433006,,-17.23,,,,,,37.202999,-1.576,,4.783,,0.0,,-3.207,35.626999,-12.948,,,22.679001,0.0,,,22.678999,0.0,22.679001,0.0,,22.679001,22.679001,,201.091995,0.1125,0.1125,0.1125,201.091995,0.1125,0.112499,0.1125,
06/30/1996,182.807999,,,-130.395996,,,52.412003,,-22.110001,,,,,,30.302,-4.252,,5.016,,0.0,,-0.764,26.05,-9.191,,,16.858999,0.0,,,16.859,0.0,16.858999,0.0,,16.858999,16.858999,,201.451996,0.0825,0.0825,0.0825,201.451996,0.0825,0.0825,0.0825,
09/30/1996,255.921005,,,-206.113007,,,49.807999,,-13.786,,,,,,36.021999,-11.006,,12.317,,0.0,,-1.311,25.015999,-9.71,,,15.306,0.0,,,15.305999,0.0,15.306,0.0,,15.306,15.306,,201.727997,0.0775,0.0775,0.0775,201.727997,0.0775,0.0775,0.0775,
12/31/1996,272.333008,,,-163.884995,,,108.448013,,-48.301998,,,,,,60.146,-10.55,,14.193,,0.0,,-3.643,49.596,-20.559999,,,29.035999,0.0,,,29.036,0.0,29.035999,0.0,,29.035999,29.035999,,218.356003,0.1325,0.1325,0.1325,218.356003,0.1325,0.1325,0.1325,
03/31/1997,319.432007,,,-215.753998,,,103.678009,,-31.783001,,,,,,71.894997,-10.841,,13.571,,0.0,,-2.73,61.053997,-22.691,,,38.362999,0.0,,,38.362997,0.0,38.362999,0.0,,38.362999,38.362999,,227.363998,0.1675,0.1675,0.1675,229.692001,0.1675,0.1675,0.1675,
06/30/1997,232.882004,,,-191.404999,,,41.477005,,-12.666,,,,,,28.811001,-8.062,,11.847,,0.0,,-3.785,20.749001,-7.597,,,13.152,0.0,,,13.152001,0.0,13.152,0.0,,13.152,13.152,,227.475998,0.0575,0.0575,0.0575,229.552002,0.0575,0.0575,0.0575,
09/30/1997,231.981995,,,-188.154999,,,43.826996,,-11.5,,,,,,32.327,-8.212,,10.579,,0.0,,-2.367,24.114999,-8.938,,,15.177,0.0,,,15.177,0.0,15.177,0.0,,15.177,15.177,,227.520004,0.0675,0.0675,0.0675,230.011993,0.065,0.065,0.065,
12/31/1997,306.71701,,,-179.612,,,127.105011,,-81.293999,,,,,,45.811001,5.956,,10.772,,0.0,,-16.728001,51.767001,-19.181,,,32.585999,0.0,,,32.586001,0.0,32.585999,0.0,,32.585999,32.585999,,227.587997,0.1425,0.1425,0.11,227.587997,0.1425,0.1425,0.11,
03/31/1998,246.535004,,,-186.296005,,,60.238998,,-29.676001,,,,,,30.563,-8.376999,,9.98,,0.0,,-1.603,22.186,-8.468,,,13.718,0.0,,,13.718,0.0,13.718,0.0,,13.718,13.718,,227.647995,0.06,0.06,0.06,229.567993,0.06,0.06,0.06,
06/30/1998,231.472,,,-179.145996,,,52.326004,,-36.916,,,,,,15.41,4.568955,,11.36,,0.0,,-15.928955,19.978955,-7.844,,,12.135,0.0,,,12.134955,0.0,12.135,0.0,,12.135,12.135,,227.832,0.0525,0.0525,0.0525,230.283996,0.0525,0.0525,0.0525,
09/30/1998,211.723999,,,-229.740997,,,-18.016998,,-12.626,,,,,,-30.642998,-10.406,,10.993,,0.0,,-0.587,-41.048998,15.899,,,-25.149998,0.0,,,-25.149998,0.0,-25.149998,0.0,,-25.149998,-25.149998,,227.880004,,-0.11,-0.11,229.08,-0.11,-0.11,-0.11,
12/31/1998,203.839996,,,-113.737,,,90.102997,,-103.177002,,,,,,-13.074,-234.749997,,11.425,,0.0,,223.324997,-247.823997,83.096001,,,-164.727997,0.0,,,-164.727997,0.0,-164.727997,0.0,,-164.727997,-164.727997,,227.916,-0.7225,-0.7225,-0.09,227.916,-0.7225,-0.7225,-0.09,
03/31/1999,175.865,,,-156.403,,,19.462,,-21.631,,,,,,-2.169,-9.866,11.912,11.912,,0.0,,-2.046,-12.035,3.134,,,-8.901,0.0,,,-8.901,0.0,-8.901,0.0,,-8.901,-8.901,,227.924,-0.04,-0.04,-0.04,227.924,-0.04,-0.04,-0.04,
06/30/1999,216.243,,,-176.363,,,39.88,,-18.586,,,,,,21.294,-8.769,11.118,11.118,,0.0,,-2.349,12.525,-3.346,,,9.179,0.0,,,9.179,0.0,9.179,0.0,,9.179,9.179,,228.672,0.04,0.04,0.04,229.852,0.04,0.04,0.04,
09/30/1999,241.971,,,-175.834,,,66.137,,-24.928,,,,,,41.209,3.109,10.392,10.392,,0.0,,-13.501,44.318,-16.664,,,27.654,0.0,,,27.654,0.0,27.654,0.0,,27.654,27.654,,228.012,0.1225,0.1225,0.075,230.012,0.12,0.12,0.075,
12/31/1999,252.698,,,-185.927,,,66.771,,-29.498,,,,,,37.273,-4.45,9.619,9.619,,0.0,,-5.169,32.823,-11.294,,,21.529,0.0,,,21.529,0.0,21.529,0.0,,21.529,21.529,,228.176,0.095,0.095,0.095,228.176,0.095,0.095,0.095,
03/31/2000,268.872,,,-191.906,,,76.966,,-27.962,,,,,,49.004,-5.652,8.541,8.541,,0.0,,-2.889,43.352,-16.472,,,26.88,0.0,,,26.88,0.0,26.88,0.0,0.0,26.88,26.88,,225.584,0.12,0.12,0.12,226.624,0.1175,0.1175,0.1175,
06/30/2000,301.777,,,-214.429,,,87.348,,-23.273,,,,,,64.075,-3.1,7.933,7.933,,0.0,,-4.833,60.975,-24.114,,,36.861,0.0,,,36.861,0.0,36.861,0.0,0.0,36.861,36.861,,223.024,0.165,0.165,0.165,226.72,0.1625,0.1625,0.1625,
09/30/2000,357.354,,,-233.858,,,123.496,,-28.255,,,,,,95.241,-4.261,7.839,7.839,,0.0,,-3.578,90.98,-33.763,,,57.217,0.0,,,57.217,0.0,57.217,0.0,0.0,57.217,57.217,,223.5,0.255,0.255,0.255,226.82,0.2525,0.2525,0.2525,
12/31/2000,453.284,,,-286.739,,,166.545,,-56.044,,,,,,110.501,-6.324,7.329,7.329,,0.0,,-1.005,104.177,-33.537,,,70.64,0.0,,,70.64,0.0,70.64,0.0,0.0,70.64,70.64,,223.888,0.315,0.315,0.315,227.916,0.31,0.31,0.31,
03/31/2001,559.967,,,-338.166,,,221.801,,-50.304,,,,,,171.497,-6.514,7.562,7.562,,0.0,,-1.048,164.983,-59.073,,,105.91,0.0,,,105.91,0.0,105.91,0.0,0.0,105.91,105.91,,225.28,0.47,0.47,0.47,229.988,0.46,0.46,0.46,
06/30/2001,413.992,,,-291.189,,,122.803,,-37.468,,,,,,85.335,-5.895,5.371,5.371,,0.0,,0.524,79.44,-28.106,,,51.334,0.0,,,51.334,0.0,51.334,0.0,0.0,51.334,51.334,,226.36,0.2275,0.2275,0.2275,229.648,0.2225,0.2225,0.2225,
09/30/2001,302.964,,,-231.323,,,71.641,,-58.588,,,,,,13.053,-5.527,7.399,7.399,,0.0,,-1.872,7.526,-3.718,,,3.808,0.0,,,3.808,0.0,3.808,0.0,0.0,3.808,3.808,,226.38,0.0175,0.0175,0.0175,228.68,0.0175,0.0175,0.0175,
12/31/2001,299.876,,,-265.18,,,34.696,,-49.485,,,,,,-14.789,-12.551,5.619,5.619,,0.0,,6.932,-27.34,-0.136,,,-27.476,0.0,,,-27.476,0.0,-27.476,0.0,0.0,-27.476,-27.476,,226.744,-0.12,-0.12,-0.12,226.744,-0.12,-0.12,-0.12,
03/31/2002,160.853,,,-125.735,,,35.118,,-47.728,,,,,,-12.61,-8.486,11.068,11.068,,0.0,,-2.582,-21.096,5.998,,,-15.098,0.0,,,-15.098,0.0,-15.098,0.0,0.0,-15.098,-15.098,,228.056,-0.065,-0.065,-0.065,228.056,-0.065,-0.065,-0.065,
06/30/2002,189.842,,,-113.638,,,76.204,,-32.316,,,,,,43.888,-15.577,11.962,11.962,,0.0,,3.615,28.311,-11.598,,,16.713,-0.406,,,17.119,0.0,17.119,0.0,0.0,17.119,17.119,,228.684,0.075,0.0725,0.0725,231.58,0.075,0.0725,0.0725,
09/30/2002,179.419,,,-113.708,,,65.711,,-65.463,,,,,,0.248,-7.047,10.33,10.33,,0.0,,-3.283,-6.799,3.096,,,-3.703,-2.513,,,-1.19,0.0,-1.19,0.0,0.0,-1.19,-1.19,,229.148,-0.005,-0.015,-0.015,229.148,-0.005,-0.015,-0.015,
12/31/2002,447.592,,,-351.222,,,96.37,,-52.858,,,,,,43.512,-5.821,14.349,14.349,,0.0,,-8.528,37.691,-20.87,,,16.821,0.0,,,16.821,0.0,16.821,0.0,0.0,16.821,16.821,,229.224,0.0725,0.0725,0.0725,229.224,0.0725,0.0725,0.0725,
03/31/2003,252.8,,,-142.574,,,110.226,,-51.364,,,,,,58.862,-0.626,13.527,13.527,,0.0,,-12.901,58.236,-25.524,,,32.712,-2.145,,,34.857,0.0,34.857,0.0,0.0,34.857,34.857,,229.504,0.1525,0.1425,0.1425,231.532,0.15,0.14,0.14,
06/30/2003,234.666,,,-144.409,,,90.257,,-51.902,,,,,,38.355,1.276,12.248,12.248,,0.0,,-13.524,39.631,-13.821,,,25.81,-3.26,,,29.07,0.0,29.07,0.0,0.0,29.07,29.07,,228.724,0.1275,0.1125,0.1125,230.68,0.125,0.1125,0.1125,
09/30/2003,232.827,,,-130.01,,,102.817,,-49.751,,,,,,53.066,-4.828,11.011,11.011,,,,-6.183,48.238,-16.671,,,31.567,-3.549,,,35.116,,35.116,,,35.116,35.116,,225.976,0.155,0.155,0.14,228.452,0.1525,0.1525,0.1375,
12/31/2003,245.031,,,-139.806,,,105.225,,-46.754,,,,,,58.471,-62.937,10.192,10.192,,0.0,,52.745,-4.466,4.27,,,-0.196,20.854,,,-21.05,0.0,-21.05,0.0,0.0,-21.05,-21.05,26.7,227.264,-0.0925,0.0,0.1165,227.264,-0.0925,0.0,0.1165,
03/31/2004,304.88,,,-135.612,,,169.268,,-42.261,,,,,,127.007,1.841,10.044,10.044,,0.0,,-11.885,128.848,-53.536,,,75.312,-10.234,,,85.546,0.0,85.546,0.0,0.0,85.546,85.546,,230.652,0.37,0.325,0.325,234.124,0.365,0.3225,0.3225,
06/30/2004,318.854,,,-145.001,,,173.853,,-62.793,,,,,,111.06,4.923,14.326,14.326,,0.0,,-19.249,115.983,-45.355,,,70.628,-1.399,,,72.027,0.0,72.027,0.0,0.0,72.027,72.027,,232.336,0.31,0.305,0.305,235.828,0.305,0.3,0.3,
09/30/2004,306.178,,,-131.0,,,175.178,,-48.556,,,,,,126.622,1.969,14.948,14.948,,0.0,,-16.917,128.591,-47.62,,,80.971,-2.721,,,83.692,0.0,83.692,0.0,0.0,83.692,83.692,,233.812,0.18,0.1725,0.1725,237.948,0.175,0.17,0.17,
12/31/2004,343.782,,,-152.763,,,191.019,,-57.507,,,,,,133.512,6.074,,14.142,,0.0,,-20.216,139.586,-52.647,,,86.939,-0.506,,,87.445,0.0,87.445,0.0,0.0,87.445,87.445,,471.12,0.185,0.185,0.185,471.12,0.1825,0.1825,0.1825,
03/31/2005,348.318,,,-127.286,,,221.032,,-47.062,,,,,,173.97,0.512,11.732,11.732,,0.0,,-12.244,174.482,-64.514,,,109.968,0.0,,,109.968,0.0,109.968,0.0,0.0,109.968,109.968,,236.332,0.465,0.465,0.465,240.556,0.46,0.46,0.46,
06/30/2005,466.899,,,-168.247,,,298.652,,-50.41,,,,,,248.242,-23.842,18.253,18.253,,0.0,,5.589,224.4,-87.523,,,136.877,0.0,,,136.877,0.0,136.877,0.0,0.0,136.877,136.877,,292.712,0.47,0.47,0.47,300.66,0.455,0.455,0.455,
09/30/2005,609.259,,,-140.756,,,468.503,,-170.032,,,,,,298.471,-57.335,29.045,,,0.0,-22.829,51.119,241.136,-64.18,,,176.956,0.0,,,176.956,0.0,176.956,0.0,0.0,176.956,176.956,,349.406,0.505,0.505,0.5,357.494,0.495,0.495,0.49,
12/31/2005,641.419,,,-218.596,,,422.823,,-89.879,,,,,,332.944,-8.321,32.554,32.554,,0.0,,-24.233,324.623,-102.704,,,221.919,0.0,,,221.919,0.0,221.919,0.0,0.0,221.919,221.919,,350.04,0.635,0.635,0.575,361.74,0.615,0.615,0.555,
03/31/2006,672.347,,,-228.207,,,444.14,,-72.922,,,,,,371.218,-21.865,33.168,33.168,,0.0,,-11.303,349.353,-123.266,,,226.087,0.0,,,226.087,0.0,226.087,0.0,0.0,226.087,226.087,,352.272,0.64,0.64,0.64,360.198,0.63,0.63,0.63,
06/30/2006,737.139,,,-284.218,,,452.921,,-67.061,,,,,,385.86,-430.725,33.918,33.918,,0.0,,396.807,-44.865,14.16,,,-30.705,0.0,,,-30.705,0.0,-30.705,0.0,0.0,-30.705,-30.705,,354.32,-0.085,-0.085,-0.085,354.32,-0.085,-0.085,-0.085,
09/30/2006,707.509,,,-277.921,,,429.588,,-71.561,,,,,,358.027,186.939,28.556,0.0,,0.0,,-215.495,544.966,-226.902,,,318.064,0.0,,,318.064,0.0,318.064,0.0,0.0,318.064,318.064,-88.1,352.436,0.9,0.9,0.655,362.154,0.875,0.875,0.63,
12/31/2006,683.725,,,-277.905,,,405.82,,-126.422,,,,,,279.398,-32.637,21.403,21.403,,0.0,,11.234,246.761,-81.78,,,164.981,0.0,,,164.981,0.0,164.981,0.0,0.0,164.981,164.981,,346.678,0.475,0.475,0.49,351.422,0.47,0.47,0.485,
03/31/2007,696.982,,,-279.036,,,417.946,,-90.33,,,,,,327.616,-23.764,26.872,26.872,,0.0,,-3.108,303.852,-92.04,,,211.812,0.0,,,211.812,0.0,211.812,0.0,0.0,211.812,211.812,,341.688,0.62,0.62,0.62,346.086,0.61,0.61,0.61,
06/30/2007,745.243,,,-308.59,,,436.653,,-101.522,,,,,,335.131,-42.03,30.986,30.986,,0.0,,11.044,293.101,-83.996,,,209.105,0.0,,,209.105,0.0,209.105,0.0,0.0,209.105,209.105,23.891,341.8,0.61,0.61,0.68,346.166,0.605,0.605,0.675,
09/30/2007,768.44,,,-317.045,,,451.395,,-95.312,,,,,,356.083,-12.806,29.247,29.247,,0.0,,-16.441,343.277,-120.602,,,222.675,0.0,,,222.675,0.0,222.675,0.0,0.0,222.675,222.675,1.09,342.246,0.65,0.65,0.655,346.7,0.64,0.64,0.645,
12/31/2007,850.437,,,-311.008,,,539.429,,-138.296,,,,,,401.133,26.204,25.852,25.852,,0.0,,-52.056,427.337,-127.059,,,300.278,0.0,,,300.278,0.0,300.278,0.0,0.0,300.278,300.278,,342.892,0.875,0.875,0.86,347.804,0.865,0.865,0.85,
03/31/2008,944.0,,,-341.0,,,603.0,,-121.0,,,,,,482.0,-166.0,27.0,27.0,,0.0,,139.0,316.0,-101.0,,,215.0,0.0,,,215.0,0.0,215.0,0.0,0.0,215.0,215.0,149.0,344.0,0.625,0.625,1.06,350.0,0.6,0.6,1.025,
06/30/2008,1037.0,,,-351.0,,,686.0,,-182.0,,,,,,504.0,-702.0,23.0,23.0,,0.0,,679.0,-198.0,54.0,,,-144.0,0.0,,,-144.0,0.0,-144.0,0.0,0.0,-144.0,-144.0,481.0,344.0,-0.42,-0.42,0.98,344.0,-0.42,-0.42,0.98,
09/30/2008,990.0,,,-353.0,,,637.0,,-199.0,,,,,,438.0,1016.0,26.0,26.0,,0.0,,-1042.0,1454.0,-480.0,,,974.0,0.0,,,974.0,0.0,974.0,0.0,0.0,974.0,974.0,-600.32,346.0,2.82,2.82,1.085,352.0,2.685,2.685,0.9795,
12/31/2008,674.0,,,-340.0,,,334.0,,-114.0,,,,,,220.0,268.0,17.0,17.0,,0.0,,-285.0,488.0,-183.0,,,305.0,0.0,,,305.0,0.0,305.0,0.0,0.0,305.0,305.0,-142.0,346.0,0.885,0.885,0.475,350.0,0.86,0.86,0.455,
03/31/2009,583.0,406.0,177.0,-330.0,130.0,200.0,253.0,0.0,-532.0,59.0,,59.0,,473.0,-279.0,-95.0,18.0,18.0,0.0,,-11.0,88.0,-374.0,186.0,115.0,-301.0,-188.0,0.0,0.0,0.0,-188.0,0.0,-188.0,0.0,0.0,-188.0,103.0,291.0,346.0,-0.545,-0.545,0.297688,346.0,-0.545,-0.545,0.29604,
06/30/2009,613.0,460.0,153.0,-325.0,129.0,196.0,288.0,0.0,-90.0,60.0,,60.0,,30.0,198.0,-288.0,23.0,23.0,0.0,,-16.0,281.0,-90.0,33.0,25.0,-58.0,-57.0,0.0,0.0,0.0,-57.0,0.0,-57.0,0.0,0.0,-57.0,117.65,174.65,346.0,-0.165,-0.165,0.340029,346.0,-0.165,-0.165,0.339769,
09/30/2009,717.0,573.0,144.0,-336.0,131.0,205.0,381.0,0.0,-114.0,53.0,,53.0,,61.0,267.0,-152.0,23.0,23.0,0.0,,-25.0,154.0,115.0,-8.0,92.0,-84.0,107.0,0.0,0.0,0.0,107.0,0.0,107.0,0.0,0.0,107.0,188.0,81.0,346.0,0.31,0.31,0.543353,350.0,0.305,0.305,0.536428,
12/31/2009,811.0,620.0,191.0,-350.0,135.0,215.0,461.0,0.0,-296.0,64.0,,64.0,,232.0,165.0,-80.0,,20.0,,,-32.0,92.0,85.0,-77.0,,,8.0,0.0,0.0,0.0,8.0,0.0,8.0,0.0,0.0,8.0,286.073313,278.073313,346.0,0.025,0.025,0.826801,352.0,0.025,0.025,0.814981,
03/31/2010,705.0,688.0,17.0,-355.0,139.0,216.0,350.0,0.0,-160.0,66.0,,66.0,,94.0,190.0,153.0,20.0,20.0,0.0,,-26.0,-147.0,343.0,-106.0,79.0,27.0,237.0,0.0,0.0,0.0,237.0,0.0,237.0,0.0,0.0,237.0,138.0,-99.0,348.0,0.68,0.68,0.396552,354.0,0.67,0.67,0.390339,
06/30/2010,760.0,710.0,50.0,-365.0,150.0,215.0,395.0,0.0,-156.0,63.0,,63.0,,93.0,239.0,81.0,19.0,19.0,0.0,,-24.0,-76.0,320.0,-116.0,59.0,57.0,204.0,0.0,0.0,0.0,204.0,0.0,204.0,0.0,0.0,204.0,198.0,-6.0,350.0,0.585,0.585,0.565715,356.0,0.55,0.55,0.533146,
09/30/2010,754.0,704.0,50.0,-372.0,141.0,231.0,382.0,0.0,-90.0,65.0,,65.0,,25.0,292.0,6.0,21.0,21.0,0.0,,-34.0,7.0,298.0,-66.0,42.0,24.0,232.0,0.0,0.0,0.0,232.0,0.0,232.0,0.0,0.0,232.0,224.176471,-7.823529,350.0,0.665,0.665,0.640504,354.0,0.655,0.655,0.632899,
12/31/2010,772.0,730.0,42.0,-361.0,140.0,221.0,411.0,0.0,-220.0,83.0,,83.0,,137.0,191.0,-122.0,11.0,11.0,0.0,,-33.0,144.0,69.0,-17.0,55.0,-38.0,52.0,0.0,0.0,0.0,52.0,0.0,52.0,0.0,0.0,52.0,184.264583,132.264583,350.0,0.145,0.145,0.52647,356.0,0.145,0.145,0.516529,
