Date,Revenue,Sales & Services Revenue,Financing Revenue,Other Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,(Income) Loss from Affiliates,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
12/31/2014,39617.0,38316.0,1301.0,,-34050.0,34050.0,5567.0,0.0,-4258.0,2953.0,1305.0,1309.0,979.0,48.0,104.0,-56.0,,-558.0,2288.0,-279.0,2009.0,0.0,0.0,0.0,2009.0,-22.0,1987.0,-912.0,30.0,1105.0,-905.7,-2010.7,1613.0,0.685059,0.685059,-0.5615,1678.0,0.658522,0.658522,-0.5615,
03/31/2015,35712.0,34364.0,1348.0,,-30674.0,30674.0,5038.0,0.0,-4285.0,3117.0,1168.0,753.0,684.0,61.0,110.0,-49.0,,-192.0,1437.0,-529.0,908.0,0.0,0.0,0.0,908.0,37.0,945.0,0.0,0.0,945.0,1300.55,355.55,1617.0,0.58,0.58,0.804298,1686.0,0.56,0.56,0.770884,
06/30/2015,38180.0,36670.0,1510.0,,-32597.0,32597.0,5583.0,0.0,-4295.0,2977.0,1318.0,1288.0,429.0,67.0,108.0,-41.0,,28.0,1717.0,-577.0,1140.0,0.0,0.0,0.0,1140.0,-23.0,1117.0,0.0,0.0,1117.0,1838.5,721.5,1596.0,0.7,0.7,1.151942,1660.0,0.67,0.67,1.104639,
09/30/2015,38843.0,37140.0,1703.0,,-32058.0,32058.0,6785.0,0.0,-5788.0,4282.0,1506.0,997.0,509.0,72.0,112.0,-40.0,,-79.0,1506.0,-165.0,1341.0,0.0,0.0,0.0,1341.0,18.0,1359.0,0.0,0.0,1359.0,2699.95,1340.95,1577.0,0.86,0.86,1.71208,1618.0,0.84,0.84,1.66877,
12/31/2015,39621.0,37748.0,1873.0,,-32992.0,32992.0,6629.0,0.0,-4770.0,3029.0,1741.0,1859.0,1199.0,74.0,113.0,-39.0,,-658.0,3058.0,3168.0,6226.0,0.0,0.0,0.0,6226.0,40.0,6266.0,0.0,0.0,6266.0,2921.12,-3381.88,1554.0,4.032175,4.032175,1.855933,1596.0,3.926065,3.926065,1.807093,
03/31/2016,37265.0,35195.0,2070.0,,-30589.0,30589.0,6676.0,0.0,-4704.0,2818.0,1886.0,1972.0,518.0,83.0,127.0,-44.0,,-41.0,2490.0,-559.0,1931.0,0.0,0.0,0.0,1931.0,22.0,1953.0,0.0,0.0,1953.0,2225.1,272.1,1546.0,1.26,1.26,1.439263,1580.0,1.24,1.24,1.412215,
06/30/2016,37383.0,35246.0,2137.0,,-29941.0,29941.0,7442.0,0.0,-4470.0,1962.0,2508.0,2972.0,649.0,94.0,144.0,-50.0,,-83.0,3621.0,-877.0,2744.0,-106.0,-106.0,0.0,2850.0,16.0,2866.0,0.0,0.0,2866.0,2893.0,133.0,1548.0,1.85,1.78,1.868863,1581.0,1.81,1.74,1.824124,
09/30/2016,38889.0,36530.0,2359.0,,-31139.0,31139.0,7750.0,0.0,-4602.0,2400.0,2202.0,3148.0,461.0,102.0,145.0,-43.0,,-66.0,3609.0,-902.0,2707.0,-5.0,-5.0,0.0,2712.0,61.0,2773.0,0.0,0.0,2773.0,2702.25,-65.75,1550.0,1.79,1.79,1.743387,1574.0,1.76,1.76,1.718227,
12/31/2016,35647.0,33230.0,2417.0,,-28830.0,28830.0,6817.0,0.0,-4947.0,3174.0,1773.0,1870.0,418.0,102.0,147.0,-45.0,,45.0,2288.0,-401.0,1887.0,112.0,112.0,0.0,1775.0,60.0,1835.0,0.0,0.0,1835.0,1880.1,-66.9,1516.0,1.210422,1.284301,1.240172,1545.0,1.187702,1.260194,1.216893,
03/31/2017,37266.0,34519.0,2747.0,,-29761.0,29761.0,7505.0,0.0,-4922.0,2356.0,2566.0,2583.0,890.0,90.0,147.0,-57.0,,-425.0,3473.0,-787.0,2686.0,69.0,69.0,0.0,2617.0,-9.0,2608.0,0.0,0.0,2608.0,2690.65,13.65,1505.0,1.73,1.78,1.787807,1532.0,1.7,1.75,1.75891,
06/30/2017,36984.0,33998.0,2986.0,,-29535.0,29535.0,7449.0,0.0,-5152.0,2477.0,2675.0,2297.0,670.0,64.0,132.0,-68.0,,-204.0,2967.0,-534.0,2433.0,770.0,770.0,0.0,1663.0,-3.0,1660.0,0.0,0.0,1660.0,3027.45,597.45,1497.0,1.11,1.62,2.022345,1519.0,1.09,1.6,1.993318,
09/30/2017,33623.0,30466.0,3157.0,,-26852.0,26852.0,6771.0,0.0,-5195.0,2303.0,2892.0,1576.0,854.0,92.0,151.0,-59.0,,-446.0,2430.0,-2316.0,114.0,3096.0,3096.0,0.0,-2982.0,1.0,-2981.0,0.0,0.0,-2981.0,1954.05,1839.05,1445.0,-2.06,0.08,1.352284,1472.0,-2.06,0.08,1.329355,
12/31/2017,37715.0,34466.0,3249.0,,-30081.0,30081.0,7634.0,0.0,-5429.0,2434.0,2995.0,2205.0,788.0,63.0,145.0,-82.0,,-304.0,2993.0,-7896.0,-4903.0,277.0,277.0,0.0,-5180.0,29.0,-5151.0,-16.0,0.0,-5167.0,2876.05,7766.05,1411.0,-3.661942,-3.465627,2.038306,1447.0,-3.661942,-3.465627,1.896489,
03/31/2018,36099.0,32691.0,3408.0,,-30184.0,30184.0,5915.0,0.0,-5386.0,2372.0,3014.0,529.0,1047.0,86.0,150.0,-64.0,,-485.0,1576.0,-466.0,1110.0,70.0,70.0,0.0,1040.0,6.0,1046.0,-14.0,0.0,1032.0,2426.36,1324.36,1408.0,0.73,0.78,1.723267,1430.0,0.72,0.77,1.696126,
06/30/2018,36760.0,33275.0,3485.0,,-30071.0,30071.0,6689.0,0.0,-5212.0,2216.0,2996.0,1477.0,1408.0,87.0,159.0,-72.0,,-858.0,2885.0,-519.0,2366.0,0.0,0.0,0.0,2366.0,24.0,2390.0,0.0,0.0,2390.0,2629.7,239.7,1410.0,1.68,1.68,1.865035,1431.0,1.66,1.66,1.827505,
09/30/2018,35791.0,32276.0,3515.0,,-28533.0,28533.0,7258.0,0.0,-5648.0,2584.0,3064.0,1610.0,1020.0,79.0,161.0,-82.0,,-569.0,2630.0,-100.0,2530.0,0.0,0.0,0.0,2530.0,4.0,2534.0,0.0,0.0,2534.0,2714.32,180.32,1412.0,1.77,1.77,1.922323,1431.0,1.75,1.75,1.87601,
12/31/2018,38399.0,34803.0,3596.0,,-31868.0,31868.0,6531.0,0.0,-5702.0,2478.0,3224.0,829.0,629.0,68.0,185.0,-117.0,,-349.0,1458.0,611.0,2069.0,0.0,0.0,0.0,2069.0,-25.0,2044.0,-98.0,0.0,1946.0,2006.95,60.95,1414.0,1.376238,1.376238,1.419342,1431.0,1.359888,1.359888,1.402481,
03/31/2019,34878.0,31261.0,3617.0,,-28229.0,28229.0,6649.0,0.0,-5405.0,2099.0,3306.0,1244.0,1038.0,83.0,181.0,-98.0,,-707.0,2282.0,-137.0,2145.0,0.0,0.0,0.0,2145.0,12.0,2157.0,-38.0,0.0,2119.0,2025.53,-93.47,1417.0,1.5,1.5,1.42945,1436.0,1.48,1.48,1.414909,
06/30/2019,36060.0,32425.0,3635.0,,-28327.0,28327.0,7733.0,0.0,-5246.0,2102.0,3144.0,2487.0,440.0,89.0,195.0,-106.0,,-258.0,2927.0,-524.0,2403.0,0.0,0.0,0.0,2403.0,15.0,2418.0,-37.0,0.0,2381.0,2361.69,-19.31,1420.0,1.68,1.68,1.663162,1438.0,1.66,1.66,1.646572,
09/30/2019,35473.0,31817.0,3656.0,,-28174.0,28174.0,7299.0,0.0,-4995.0,2008.0,2987.0,2304.0,278.0,77.0,206.0,-129.0,,-40.0,2582.0,-271.0,2311.0,0.0,0.0,0.0,2311.0,40.0,2351.0,-38.0,0.0,2313.0,2487.79,174.79,1428.0,1.62,1.62,1.74215,1442.0,1.6,1.6,1.721214,
12/31/2019,30826.0,27194.0,3632.0,,-25921.0,25921.0,4905.0,0.0,-5459.0,2282.0,3177.0,-554.0,199.0,104.0,200.0,-96.0,,-35.0,-355.0,163.0,-192.0,0.0,0.0,0.0,-192.0,-2.0,-194.0,-38.0,0.0,-232.0,74.37,306.37,1430.0,-0.162238,-0.162238,0.052007,1439.0,-0.162238,-0.162238,0.050667,
03/31/2020,32709.0,29150.0,3559.0,,-26726.0,26726.0,5983.0,0.0,-5326.0,1970.0,3356.0,657.0,-14.0,110.0,193.0,-83.0,,-228.0,643.0,-357.0,286.0,0.0,0.0,0.0,286.0,8.0,294.0,-47.0,0.0,247.0,985.9,738.9,1433.0,0.17,0.17,0.687997,1440.0,0.17,0.17,0.683125,
06/30/2020,16778.0,13363.0,3415.0,,-13444.0,13444.0,3334.0,0.0,-4548.0,3238.0,1310.0,-1214.0,322.0,242.0,303.0,-61.0,,-352.0,-892.0,112.0,-780.0,0.0,0.0,0.0,-780.0,22.0,-758.0,-48.0,0.0,-806.0,-703.47,102.53,1432.0,-0.56,-0.56,-0.49125,1432.0,-0.56,-0.56,-0.49125,
09/30/2020,34186.875,,,,,,3760.55625,,,,,2479.8,,,,,,,2109.6,,1690.4,,,,,,1690.4,,,1690.4,1790.125,,,1.25,1.25,1.263,,1.25,1.25,1.263,
12/31/2020,33634.0,,,,,,3834.276,,,,,1982.4,,,,,,,1762.0,,1473.4,,,,,,1473.4,,,1473.4,1493.0,,,1.027,1.027,1.058,,1.027,1.027,1.058,
