Date,Revenue,Cost of Revenue,Gross Profit,Operating Expenses,Operating Income or Losses,Foreign Exchange Losses (Gains),Net Non-Operating Losses (Gains),Pretax Income,Income Tax Expense (Benefit),Income Before XO Items,Extraordinary Loss Net of Tax,Minority/Non Controlling Interests (Credits),Net Income/Net Profit (Losses),Total Cash Preferred Dividends,Net Inc Avail to Common Shareholders,Abnormal Losses (Gains),Tax Effect on Abnormal Items,Normalized Income,Basic EPS Before Abnormal Items,Basic EPS Before XO Items,Basic Earnings per Share,Basic Weighted Avg Shares,Diluted EPS Before Abnormal Items,Diluted EPS Before XO Items,Diluted EPS,Diluted Weighted Avg Shares,Source: Bloomberg
06/30/1992,45.435001,-26.107,19.328001,-15.5,3.828,0.0,0.155,3.983,-1.354,2.629,0.0,0.0,2.629,0.0,2.629,,,2.629,,0.010625,0.010625,246.735992,0.010625,0.010625,0.010625,246.735992,
09/30/1992,50.668999,-27.945999,22.723,-16.959,5.764,0.0,-0.215,5.549,-1.887,3.662,0.0,0.0,3.662,0.0,3.662,,,3.662,,0.015,0.015,248.063995,0.015,0.015,0.015,248.063995,
12/31/1992,60.823002,-32.727001,28.096001,-19.924999,8.171,0.0,-0.034,8.137,-2.767,5.37,0.0,0.0,5.37,0.0,5.37,,,5.37,0.02125,0.02125,0.02125,250.208,0.02125,0.02125,0.02125,250.208,
03/31/1993,55.548,-50.729,4.819,,4.819,0.0,-0.162,4.657,-1.903,2.754,0.0,0.0,2.754,0.0,2.754,,,2.754,,0.01,0.01,265.743988,0.01,0.01,0.01,265.743988,
06/30/1993,60.316002,-53.931999,6.384003,,6.384,0.0,-0.166,6.218,-2.42,3.798,0.0,0.0,3.798,0.0,3.798,,,3.798,,0.015,0.015,256.559998,0.015,0.015,0.015,256.559998,
09/30/1993,65.43,-35.255001,30.174999,-20.780001,9.395,0.0,-0.312,9.083,-3.72,5.363,0.0,0.0,5.363,0.0,5.363,,,5.363,,0.02125,0.02125,258.880005,0.02125,0.02125,0.02125,258.880005,
12/31/1993,69.497002,-34.297001,35.200001,-23.632,11.568,0.0,-0.029,11.539,-4.635,6.904,0.0,0.0,6.904,0.0,6.904,,,6.904,0.02625,0.02625,0.02625,260.224,0.02625,0.02625,0.02625,260.224,
03/31/1994,72.803001,,,-64.260002,8.543,0.0,0.283,8.826,-3.53,5.296,0.0,0.0,5.296,0.0,5.296,,,5.296,,0.01875,0.01875,290.791992,0.01875,0.01875,0.01875,290.791992,
06/30/1994,84.740997,,,-71.501999,13.239,0.0,0.105,13.344,-5.338,8.006,0.0,0.0,8.006,0.0,8.006,,,8.006,,0.0275,0.0275,292.679993,0.0275,0.0275,0.0275,292.679993,
09/30/1994,91.565002,-48.317001,43.248001,-30.379,12.869,0.0,-0.326,12.543,-5.017,7.526,0.0,0.0,7.526,0.0,7.526,,,7.526,,0.025,0.025,294.056,0.025,0.025,0.025,294.056,
12/31/1994,108.327003,-54.41,53.917003,-35.526001,18.391001,0.0,-0.512,17.879001,-7.152,10.727,0.0,0.0,10.727,0.0,10.727,,,10.727001,0.03625,0.03625,0.03625,294.776,0.03625,0.03625,0.03625,294.776,
03/31/1995,126.261002,,,-104.535004,21.726,0.0,0.194,21.92,-8.551,13.369,0.0,0.0,13.369,0.0,13.369,,,13.369,0.04,0.04,0.04,331.608002,0.04,0.04,0.04,331.608002,
06/30/1995,136.518997,,,-113.528,22.990999,0.0,-125.624001,-102.633001,41.483002,-61.150002,0.0,0.0,-61.150002,0.0,-61.150002,125.519997,,64.369997,0.19875,-0.19,-0.19,323.944,0.19875,-0.19,-0.19,323.944,
09/30/1995,166.320007,,,-135.983002,30.337,0.0,-10.826,19.511,-7.352,12.159,0.0,0.0,12.159,0.0,12.159,10.961,,23.12,0.0625,0.0325,0.0325,367.944,0.0625,0.0325,0.0325,367.944,
12/31/1995,178.141998,,,-149.171997,28.969999,0.0,0.315,29.284999,-11.232,18.052999,0.0,0.0,18.052999,0.0,18.052999,,,18.052999,0.05,0.05,0.05,368.608,0.05,0.05,0.05,368.608,
03/31/1996,203.705994,,,-166.585999,37.119999,0.0,1.705,38.824999,-15.211,23.614,0.0,0.0,23.614,0.0,23.614,,,23.613999,0.06,0.06,0.06,401.35199,0.055,0.055,0.055,419.112,
06/30/1996,231.481003,,,-185.070007,46.410999,0.0,-7.137,39.273999,-15.488,23.785999,0.0,0.0,23.785999,0.0,23.785999,8.789,-4.177,28.397999,0.07,0.06,0.06,403.084015,0.065,0.055,0.055,422.76001,
09/30/1996,246.869003,,,-192.585999,54.283001,0.0,-24.624001,29.659,-11.889,17.77,0.0,0.0,17.77,0.0,17.77,26.214001,-7.086,36.898001,0.085,0.045,0.045,404.764008,0.08,0.04,0.04,422.735992,
12/31/1996,268.855011,,,-207.229996,61.625,0.0,-32.924999,28.700001,-11.537,17.163,0.0,0.0,17.163,0.0,17.163,35.200001,-7.444,44.919002,0.095,0.04,0.04,408.567992,0.09,0.04,0.04,425.575988,
03/31/1997,263.291992,,,-201.893997,61.397999,0.0,2.61,64.007999,-25.632,38.375999,0.0,0.0,38.375999,0.0,38.375999,,,38.375999,0.095,0.095,0.095,411.167999,0.09,0.09,0.09,427.019989,
06/30/1997,291.493988,-124.619003,166.874985,-92.344002,74.530998,0.0,-30.895,43.635998,-17.524,26.112,0.0,0.0,26.112,0.0,26.112,35.419998,-14.224,47.307996,0.11,0.06,0.06,415.884003,0.11,0.06,0.06,428.776001,
09/30/1997,307.175995,-130.447998,176.727997,-92.853996,83.874001,0.0,4.471,88.345001,-35.137001,53.208,0.0,0.0,53.208,0.0,53.208,,,53.208,0.125,0.125,0.125,419.082001,0.12,0.12,0.12,433.174011,
12/31/1997,341.242004,,,-242.987,98.254997,0.0,-55.054001,43.200996,-17.360001,25.841,0.0,0.0,25.841,0.0,25.841,59.830002,0.0,85.670998,0.145,0.075,0.075,421.864014,0.14,0.06,0.06,436.187988,
03/31/1998,342.834991,-147.768997,195.065994,-92.065002,103.000999,0.0,5.096,108.097,-43.237999,64.859001,0.0,0.0,64.859001,0.0,64.859001,,,64.859001,0.15,0.15,0.15,425.627991,0.15,0.15,0.15,437.764008,
06/30/1998,376.70401,-155.078995,221.625015,-102.613998,119.011002,0.0,7.015,126.026001,-50.410999,75.614998,0.0,0.0,75.614998,0.0,75.614998,-3.0,1.2,73.815002,0.18,0.18,0.18,429.950989,0.17,0.17,0.17,441.906006,
09/30/1998,399.631012,-161.319,238.312012,-105.150002,133.162003,0.0,6.317,139.479002,-55.792,83.686996,0.0,0.0,83.686996,0.0,83.686996,,,83.687003,0.19,0.19,0.19,431.140991,0.19,0.19,0.19,441.832001,
