Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Taxes Receivable,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Deferred Tax Assets,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Deferred Tax Liabilities,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Pensions,Other Post-Ret Benefits,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
04/01/2009,1785.571,177.347,177.347,0.0,70.225,70.225,0.0,659.519,,,,,40.712,,6.861,33.851,947.803,552.456,,,0,285.312,243.351,,,36.404,5.557,837.768,,502.36,324.87,,,177.49,11.266,0.0,11.266,11.266,126.817,,,47.502,79.315,640.443,26.593,0.133,26.46,26.46,251.286,,,,,251.286,277.879,918.322,0,787.671,0.054,787.617,71.671,7.907,867.249,0,867.249,1785.571,
06/24/2009,1815.049,182.823,182.823,0.0,73.466,73.466,0.0,665.481,,,,,32.571,0.0,,32.571,954.341,590.595,752.181,-161.586,0,270.113,226.849,0.0,226.849,37.987,5.277,860.708,,530.781,333.471,0.0,0.0,197.31,10.888,0.0,10.888,10.888,117.536,0.0,0.0,45.792,71.744,659.205,24.378,0.0,24.378,24.378,252.368,0.0,,,,252.368,276.746,935.951,0,791.621,0.054,791.567,81.066,6.411,879.098,0,879.098,1815.049,
09/16/2009,1761.136,157.405,157.405,0.0,63.546,63.546,0.0,640.242,,,,,37.659,,3.415,34.244,898.852,595.365,,,0,266.919,222.791,,,39.275,4.853,862.284,,483.697,288.652,,,195.045,10.944,0.0,10.944,10.944,120.972,,,47.033,73.939,615.613,21.799,0.0,21.799,21.799,249.442,,,,,249.442,271.241,886.854,0,794.959,0.055,794.904,73.008,6.315,874.282,0,874.282,1761.136,
01/06/2010,1807.345,154.274,154.274,0.0,78.024,78.024,0.0,653.503,,,,,37.566,,5.442,32.124,923.367,623.553,,,0,260.425,218.009,,,38.109,4.307,883.978,,527.788,348.363,,,179.425,10.873,0.0,10.873,10.873,121.722,,,45.926,75.796,660.383,24.143,0.356,23.787,23.787,240.366,,,,,240.366,264.509,924.892,0,801.163,0.055,801.108,75.103,6.187,882.453,0,882.453,1807.345,
03/31/2010,1837.259,183.829,183.829,0.0,65.427,65.427,0.0,671.312,,,,,18.552,,2.568,15.984,939.12,639.281,,,0,258.858,215.142,,,39.808,3.908,898.139,,532.528,354.804,,,177.724,10.263,0.0,10.263,10.263,127.588,,,47.67,79.918,670.379,21.958,0.0,21.958,21.958,237.629,,,,,237.629,259.587,929.966,0,805.218,0.055,805.163,95.984,6.091,907.293,0,907.293,1837.259,
06/30/2010,1838.067,152.327,152.327,0.0,63.356,63.356,0.0,658.04,,,,,28.096,0.0,,28.096,901.819,680.936,909.07,-228.134,0,255.312,211.281,0.0,211.281,40.697,3.334,936.248,,529.466,345.955,0.0,0.0,183.511,9.397,0.0,9.397,9.397,122.328,0.0,0.0,48.667,73.661,661.191,20.075,0.0,20.075,20.075,233.064,0.0,0.0,0.0,0.0,233.064,253.139,914.33,0,808.749,0.055,808.694,109.963,5.025,923.737,0,923.737,1838.067,
09/22/2010,1787.286,130.302,130.302,0.0,63.532,63.532,0.0,621.889,,,,,30.826,,,30.826,846.549,688.662,,,0,252.075,205.685,,,43.48,2.91,940.737,,530.592,339.374,,,191.218,8.556,0.0,8.556,8.556,124.681,,,51.497,73.184,663.829,19.719,0.0,19.719,19.719,254.293,,,,,254.293,274.012,937.841,0,811.369,0.056,811.313,33.172,4.904,849.445,0,849.445,1787.286,
01/12/2011,1725.509,108.562,108.562,0.0,65.429,65.429,0.0,598.986,,,,,27.428,,,27.428,800.405,671.598,,,0,253.506,210.753,,,40.407,2.346,925.104,,477.721,307.197,,,170.524,10.196,0.0,10.196,10.196,127.23,,,48.488,78.742,615.147,33.054,0.0,33.054,33.054,249.585,,,,,249.585,282.639,897.786,0,813.813,0.056,813.757,9.167,4.743,827.723,0,827.723,1725.509,
04/06/2011,1805.595,173.512,173.512,0.0,72.997,72.997,0.0,613.837,,,,,26.348,,,26.348,886.694,665.91,,,0,252.991,206.064,,,37.642,9.285,918.901,,537.243,365.258,,,171.985,11.141,0.0,11.141,11.141,125.476,,,45.77,79.706,673.86,33.333,0.013,33.32,33.32,244.871,,,,,244.871,278.204,952.064,0,816.377,0.056,816.321,32.532,4.622,853.531,0,853.531,1805.595,
06/29/2011,1799.79,207.764,207.764,0.0,71.082,71.082,0.0,580.089,,,,,28.994,0.0,,28.994,887.929,658.891,969.416,-310.525,0,252.97,207.216,0.0,207.216,36.646,9.108,911.861,,534.88,344.345,0.0,0.0,190.535,10.888,0.0,10.888,10.888,119.577,0.0,0.0,44.74,74.837,665.345,31.875,0.0,31.875,31.875,239.062,0.0,0.0,0.0,0.0,239.062,270.937,936.282,0,819.065,0.056,819.009,39.833,4.61,863.508,0,863.508,1799.79,
09/21/2011,1768.265,168.457,168.457,0.0,63.984,63.984,0.0,580.235,,,,,33.464,,,33.464,846.14,673.381,,,0,248.744,203.402,,,36.646,8.696,922.125,,511.716,332.921,,,178.795,15.119,0.0,15.119,15.119,119.843,,,44.74,75.103,646.678,45.753,0.012,45.741,45.741,233.853,,,,,233.853,279.606,926.284,0,821.679,0.056,821.623,15.731,4.571,841.981,0,841.981,1768.265,
01/11/2012,1749.184,129.694,129.694,0.0,71.159,71.159,0.0,581.05,,,,,31.644,,,31.644,813.547,691.079,,,0,244.558,199.77,,,36.646,8.142,935.637,,509.147,338.474,,,170.673,17.526,0.0,17.526,17.526,124.48,,,44.74,79.74,651.153,46.53,0.0,46.53,46.53,224.563,,,,,224.563,271.093,922.246,0,824.835,0.057,824.778,-2.255,4.358,826.938,0,826.938,1749.184,
