Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Deferred Tax Assets,Taxes Receivable,Discontinued Operations,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Investments,LT Marketable Securities,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Investments in Affiliates,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Deferred Tax Liabilities,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Pensions,Other Post-Ret Benefits,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
09/30/1992,1676,163,163,0,330,,,122,,,,,87,,,,,,702,798,1445,-647,0.0,,,176,,,,,176,974,,98,98,,,,2632.0,,,,,511,,,,511,3241,74.0,,,,164,,,,,164,238,3479,0.0,30,,,,,-1842,-1812,9.0,-1803,1676,
12/31/1992,1659,180,180,0,299,,,113,,,,,88,,,,,,680,800,1454,-654,0.0,,,179,,,,,179,979,,91,91,,,,2644.0,,,,,553,,,,553,3288,67.0,,,,175,,,,,175,242,3530,0.0,28,,,,,-1908,-1880,9.0,-1871,1659,
03/31/1993,1582,121,121,0,332,,,120,,,,,88,,,,,,661,793,1451,-658,0.0,,,128,,,,,128,921,,102,102,,,,578.0,,,,,216,,,,216,896,66.0,,,,2779,,,,,2779,2845,3741,0.0,28,,,,,-2187,-2159,,-2159,1582,
06/30/1993,2177,89,89,0,294,,,151,,,,,0,,,,,,534,760,771,-11,0.0,,,883,,,,,883,1643,,98,98,,,,13.0,,,,,195,,,,195,306,1445.0,,,,448,,,,,448,1893,2199,0.0,4,,,,,-26,-22,,-22,2177,
09/30/1993,2186,157,157,0,292,,,147,,,,,0,,,,,,596,754,776,-22,0.0,,,836,,,,,836,1590,,101,101,,,,14.0,,,,,225,,,,225,340,1439.0,,,,459,,,,,459,1898,2238,0.0,4,,,,,-56,-52,,-52,2186,
12/31/1993,2163,211,211,0,264,,,145,,,,,0,,,,,,620,754,790,-36,0.0,,,789,,,,,789,1543,,104,104,,,,167.0,,,,,228,,,,228,499,1309.0,,,,489,,,,,489,1798,2297,0.0,4,,,0.0,,-138,-134,,-134,2163,
03/31/1994,2387,334,334,0,289,,,165,,,,,0,,,,,,788,747,794,-47,0.0,,,852,,,,,852,1599,,120,120,,,,131.0,,,,,228,,,,228,479,1257.0,,,,600,,,,,600,1857,2336,0.0,228,,,,,-177,51,,51,2387,
06/30/1994,2279,242,242,0,299,,,179,,,,,0,,,,,,720,749,810,-61,0.0,,,810,,,,,810,1559,,134,134,,,,17.0,,,,,245,,,,245,396,1251.0,,,,598,,,,,598,1849,2245,0.0,226,,,,,-192,34,,34,2279,
09/30/1994,2266,259,259,0,308,,,175,,,,,0,,,,,,742,753,828,-75,0.0,,,771,,,,,771,1524,,125,125,,,,20.0,,,,,289,,,,289,434,1202.0,,,,597,,,,,597,1799,2233,0.0,226,,,,,-193,33,,33,2266,
12/31/1994,2124,197,197,0,274,,,173,,,,,0,,,,,,644,755,835,-80,0.0,,,725,,,,,725,1480,,122,122,,,,45.0,,,,,288,,,,288,455,1077.0,,,,600,,,,,600,1677,2132,0.0,226,,,0.0,,-234,-8,,-8,2124,
03/31/1995,2040,94,94,0,296,,,190,,,,,0,,,,,,580,770,860,-90,0.0,,,690,,,,,690,1460,,145,145,,,,8.0,,,,,268,,,,268,421,1018.0,,,,603,,,,,603,1621,2042,0.0,226,,,,,-228,-2,,-2,2040,
06/30/1995,2038,103,103,0,291,,,187,,,,,0,,,,,,581,789,892,-103,0.0,,,668,,,,,668,1457,,138,138,,,,12.0,,,,,216,,,,216,366,987.0,,,,687,,,,,687,1674,2040,0.0,226,,,,,-228,-2,,-2,2038,
09/30/1995,1996,64,64,0,288,,,183,,,,,0,,,,,,535,812,930,-118,0.0,,,649,,,,,649,1461,,150,150,,,,11.0,,,,,205,,,,205,366,923.0,,,,711,,,,,711,1634,2000,0.0,227,,,,,-231,-4,,-4,1996,
12/31/1995,1890,70,70,0,246,,,175,,,,,0,,,,,,491,842,979,-137,0.0,,,557,,,,,557,1399,,130,130,,,,42.0,,,,,211,,,,211,383,865.0,,,,679,,,,,679,1544,1927,0.0,228,,,0.0,,-265,-37,,-37,1890,
03/31/1996,1880,28,28,0,288,,,180,,,,,0,,,,,,496,866,1014,-148,0.0,,,518,,,,,518,1384,,161,161,,,,87.0,,,,,183,,,,183,431,799.0,,,,700,,,,,700,1499,1930,0.0,230,,,,,-280,-50,,-50,1880,
06/30/1996,1889,54,54,0,296,,,176,,,,,0,,,,,,526,871,1019,-148,0.0,,,492,,,,,492,1363,,142,142,,,,88.0,,,,,197,,,,197,427,759.0,,,,753,,,,,753,1512,1939,0.0,230,,,,,-280,-50,,-50,1889,
09/30/1996,1840,45,45,0,301,,,177,,,,,0,,,,,,523,878,1039,-161,0.0,,,439,,,,,439,1317,,151,151,,,,84.0,,,,,200,,,,200,435,694.0,,,,746,,,,,746,1440,1875,0.0,232,,,,,-267,-35,,-35,1840,
12/31/1996,1818,44,44,0,274,,,185,,,,,0,,,,,,503,887,1064,-177,0.0,,,428,,,,,428,1315,,141,141,,,,49.0,,,,,205,,,,205,395,706.0,,,,740,,,,,740,1446,1841,0.0,236,,,0.0,,-259,-23,,-23,1818,
03/31/1997,1823,45,45,0,301,,,194,,,,,0,,,,,,540,890,1081,-191,0.0,,,393,,,,,393,1283,,147,147,,,,8.0,,,,,193,,,,193,348,727.0,,,,761,,,,,761,1488,1836,0.0,239,,,,,-252,-13,,-13,1823,
06/30/1997,1818,42,42,0,322,,,205,,,,,0,,,,,,569,903,1107,-204,0.0,,,346,,,,,346,1249,,155,155,,,,3.0,,,,,199,,,,199,357,705.0,,,,742,,,,,742,1447,1804,0.0,240,,,,,-226,14,,14,1818,
09/30/1997,1810,86,86,0,335,,,196,,,,,49,,,,,,666,925,1133,-208,0.0,,,219,,,,,219,1144,,160,160,,,,3.0,,,,,209,,,,209,372,676.0,,,,692,,,,,692,1368,1740,0.0,253,,,,,-183,70,,70,1810,
12/31/1997,1926,72,72,0,297,,,208,,,,,63,,,,,,640,982,1218,-236,0.0,,,304,,,,,304,1286,,146,146,,,,10.0,,,,,220,,,,220,376,610.0,,,,793,,,,,793,1403,1779,0.0,263,,,0.0,,-116,147,,147,1926,
03/31/1998,1973,66,66,0,339,,,217,,,,,29,,,,,,651,1021,1270,-249,0.0,,,301,,,,,301,1322,,163,163,,,,16.0,,,,,186,,,,186,365,597.0,,,,788,,,,,788,1385,1750,0.0,275,,,0.0,,-52,223,,223,1973,
06/30/1998,2163,72,72,0,364,,,235,,,,,56,,,,,,727,1072,1332,-260,0.0,,,364,,,,,364,1436,,170,170,,,,21.0,,,,,214,,,,214,405,567.0,,,,849,,,,,849,1416,1821,0.0,315,,,0.0,,27,342,,342,2163,
09/30/1998,2265,102,102,0,372,,,241,,,,,50,,,,,,765,1138,1414,-276,0.0,,,362,,,,,362,1500,,176,176,,,,11.0,,,,,234,,,,234,421,566.0,,,,845,,,,,845,1411,1832,0.0,318,,,0.0,,115,433,,433,2265,
12/31/1998,2357,152,152,0,349,,,234,83.0,,151.0,,62,,,,,,797,1214,1512,-298,0.0,,,346,,,,,346,1560,,157,157,,,,35.0,,,,,237,,,,237,429,561.0,,,,849,,,,,849,1410,1839,0.0,322,,,-10.0,,206,518,,518,2357,
03/31/1999,2429,128,128,0,406,,,228,,,,,26,,,,,,788,1284,1600,-316,0.0,,,357,,,,,357,1641,,177,177,,,,26.0,,,,,204,,,,204,407,563.0,,,,870,,,,,870,1433,1840,0.0,316,,,-10.0,,283,589,,589,2429,
06/30/1999,2556,168,168,0,399,,,230,,,,,74,,,,,,871,1351,1683,-332,0.0,,,334,,,,,334,1685,,170,170,,,,13.0,,,,,232,,,,232,415,583.0,,,,877,,,,,877,1460,1875,0.0,310,,,-11.0,,382,681,,681,2556,
09/30/1999,2694,273,273,0,393,,,238,,,,,68,,,,,,972,1425,1778,-353,0.0,,,297,,,,,297,1722,,184,184,,,,11.0,,,,,281,,,,281,476,577.0,,,,863,,,,,863,1440,1916,0.0,311,,,-29.0,,496,778,,778,2694,
12/31/1999,2794,197,197,0,361,,,256,92.0,,164.0,0.0,137,,,,,,951,1568,1941,-373,0.0,,,275,,116.0,,,275,1843,,172,172,,,,16.0,16.0,0.0,0.0,,444,,,,444,632,577.0,577.0,0.0,0.0,718,,,,,718,1295,1927,0.0,321,,,-56.0,,602,867,,867,2794,
03/31/2000,2764,61,61,0,425,,,264,,,,0.0,26,,,,,,776,1657,2046,-389,0.0,,,331,,,,,331,1988,,187,187,,,,13.0,13.0,0.0,0.0,,249,,,,249,449,592.0,592.0,0.0,0.0,841,,,,,841,1433,1882,0.0,315,,,-130.0,,697,882,,882,2764,
06/30/2000,2850,18,18,0,395,,,279,,,,0.0,100,,,,,,792,1744,2147,-403,0.0,,,314,,,,,314,2058,,199,199,,,,15.0,15.0,0.0,0.0,,267,,,,267,481,686.0,686.0,0.0,0.0,816,,,,,816,1502,1983,0.0,314,,,-225.0,,778,867,,867,2850,
09/30/2000,2837,21,21,0,362,,,282,,,,0.0,76,,,,,,741,1796,2212,-416,0.0,,,300,,,,,300,2096,,211,211,,,,162.0,162.0,0.0,0.0,,276,,,,276,649,505.0,505.0,0.0,0.0,692,,,,,692,1197,1846,0.0,415,,,-257.0,,833,991,,991,2837,
12/31/2000,3214,70,70,0,305,,,271,96.0,,175.0,0.0,230,,,,,,876,1830,2300,-470,0.0,,,508,,120.0,,,508,2338,,200,200,,,,147.0,147.0,0.0,0.0,,549,,,,549,896,564.0,564.0,0.0,0.0,1290,,,,,1290,1854,2750,0.0,416,,,-256.0,,304,464,,464,3214,
03/31/2001,3252,35,35,0,350,,,267,,,,0.0,276,,,,,,928,1826,2315,-489,0.0,,,498,,,,,498,2324,,193,193,,,,139.0,139.0,0.0,0.0,,535,,,,535,867,647.0,647.0,0.0,0.0,1225,,,,,1225,1872,2739,0.0,416,,,-256.0,,353,513,,513,3252,
06/30/2001,3438,304,304,0,322,,,258,,,,0.0,195,,,,,,1079,1833,2344,-511,0.0,,,526,,,,,526,2359,,58,58,,,,60.0,60.0,0.0,0.0,,137,,,,137,255,3.0,3.0,0.0,0.0,2705,,,,,2705,2708,2963,0.0,413,,,-255.0,,317,475,,475,3438,
09/30/2001,3499,395,395,0,328,,,267,,,,0.0,196,,,,,,1186,1820,2360,-540,0.0,,,493,,,,,493,2313,,160,160,,,,0.0,0.0,0.0,0.0,,184,,,,184,344,3.0,3.0,0.0,0.0,2658,,,,,2658,2661,3005,0.0,414,,,-255.0,,335,494,,494,3499,
12/31/2001,3464,493,493,0,274,,,254,90.0,,164.0,0.0,176,,,,,,1197,1800,2392,-592,0.0,,,467,,,,,467,2267,,140,140,,,,0.0,0.0,0.0,0.0,,181,,,,181,321,2.0,2.0,0.0,0.0,2650,,,,,2650,2652,2973,0.0,413,,,-255.0,,333,491,,491,3464,
03/31/2002,3523,523,523,0,322,,,263,,,,0.0,185,,,,,,1293,1790,2406,-616,0.0,,,440,,,,,440,2230,,164,164,,,,0.0,0.0,0.0,0.0,,191,,,,191,355,2.0,2.0,0.0,0.0,2639,,,,,2639,2641,2996,0.0,415,,,-256.0,,368,527,,527,3523,
06/30/2002,3520,615,615,0,330,,,281,,,,0.0,162,,,,,,1388,1786,2427,-641,0.0,,,346,,,,,346,2132,,183,183,,,,0.0,0.0,0.0,0.0,,215,,,,215,398,2.0,2.0,0.0,0.0,2635,,,,,2635,2637,3035,0.0,416,,,-256.0,,325,485,,485,3520,
09/30/2002,3565,627,596,31,326,,,291,,,,0.0,96,,,,,,1340,1781,2433,-652,121.0,,,323,,,,,323,2225,,194,194,,,,0.0,0.0,0.0,0.0,,236,,,,236,430,2.0,2.0,0.0,0.0,2610,,,,,2610,2612,3042,0.0,416,,,-256.0,,363,523,,523,3565,
12/31/2002,3636,699,649,50,284,,,270,101.0,,169.0,,124,,,,,,1377,1788,2489,-701,131.0,,,340,30.0,30.0,0.0,,310,2259,,170,170,,,,0.0,0.0,0.0,0.0,,268,,,,268,438,2.0,2.0,0.0,0.0,2661,,,,,2661,2663,3101,0.0,417,,,-257.0,407.0,-32,535,,535,3636,
03/31/2003,3637,639,592,47,355,,,286,,,,,136,,,,,,1416,1789,2522,-733,129.0,,,303,,,,,303,2221,,199,199,,,,0.0,,,,,215,,,,215,414,2.0,,,,2669,,,,,2669,2671,3085,0.0,418,,,-258.0,444.0,-52,552,,552,3637,
06/30/2003,3675,595,529,66,369,,,287,,,,0.0,159,,,,,,1410,1794,2555,-761,172.0,,,299,,,,,299,2265,,200,200,,,,0.0,0.0,0.0,0.0,,216,,,,216,416,2.0,2.0,0.0,0.0,2661,,,,,2661,2663,3079,0.0,419,,,-258.0,444.0,-9,596,,596,3675,
09/30/2003,3753,724,660,64,370,370.0,,281,,,,0.0,140,,,,,,1515,1790,2574,-784,171.0,,,277,,,,,277,2238,,228,228,,,,0.0,0.0,0.0,0.0,,211,,,,211,439,2.0,2.0,0.0,0.0,2692,,,,,2692,2694,3133,0.0,419,,,-258.0,483.0,-24,620,,620,3753,
12/31/2003,3799,764,700,64,321,321.0,,280,101.0,,179.0,,133,,,,,,1498,1818,2634,-816,176.0,,,307,39.0,39.0,0.0,,268,2301,,202,202,,,,1.0,,,,,211,,,,211,414,1.0,,,,2695,,,,,2695,2696,3110,0.0,419,,,-258.0,529.0,-1,689,,689,3799,
03/31/2004,3898,670,629,41,451,451.0,,304,,,,,147,,,,,,1572,1804,2643,-839,236.0,,,286,41.0,41.0,0.0,,245,2326,,256,256,,,,1.0,,,,,192,,,,192,449,1.0,,,,2696,,,,,2696,2697,3146,0.0,419,,,-258.0,586.0,5,752,,752,3898,
06/30/2004,4034,729,664,65,488,488.0,,357,,,,,157,,,,,,1731,1800,2662,-862,211.0,,,292,41.0,41.0,0.0,,251,2303,,274,274,,,,1.0,,,,,230,,,,230,505,1.0,,,,2705,,,,,2705,2706,3211,0.0,419,,,-258.0,666.0,-4,823,,823,4034,
09/30/2004,4139,798,669,129,453,453.0,,364,,,,,153,,,,,,1768,1822,2714,-892,258.0,,,291,41.0,41.0,0.0,,250,2371,,248,248,,,,1.0,,,,,234,,,,234,483,1.0,,,,2717,,,,,2717,2718,3201,0.0,419,,,-258.0,756.0,21,938,,938,4139,
12/31/2004,4278,894,756,138,413,413.0,,338,150.0,,188.0,,145,,,,,,1790,1853,2731,-878,312.0,,,323,43.0,43.0,0.0,,280,2488,,270,270,,,,1.0,,,,,299,,,,299,570,0.0,,,,2684,,,,,2684,2684,3254,0.0,422,,,-256.0,841.0,17,1024,,1024,4278,
03/31/2005,4375,847,669,178,523,523.0,,346,,,,,166,,,,,,1882,1856,2759,-903,310.0,,310.0,327,43.0,43.0,0.0,,284,2493,,268,268,,,,1.0,,,,,288,,,,288,557,,,,,2684,,,,,2684,2684,3241,,423,,,-256.0,918.0,49,1134,,1134,4375,
06/30/2005,4611,882,682,200,513,513.0,,338,,,,,204,,,,,,1937,1869,2796,-927,333.0,,333.0,472,64.0,64.0,0.0,,408,2674,,278,278,,,,1.0,,,,,394,,,,394,673,,,,,2706,,,,,2706,2706,3379,,425,,,-253.0,1028.0,32,1232,,1232,4611,
09/30/2005,4924,1089,900,189,496,496.0,,333,,,,,298,,,,,,2216,1902,2863,-961,318.0,,,488,64.0,64.0,0.0,,424,2708,,299,299,,,,1.0,,,,,365,,,,365,665,0.0,,,,2725,,,,,2725,2725,3390,0.0,438,,,-223.0,1186.0,133,1534,,1534,4924,
12/31/2005,6142,1170,936,234,453,453.0,,315,120.0,,195.0,,241,,,,,,2179,1946,2928,-982,329.0,,,1688,64.0,64.0,0.0,,1624,3963,,281,281,,,,0.0,,,,,319,,,,319,600,0.0,,,,5844,,,,,5844,5844,6444,0.0,440,,,-219.0,-595.0,72,-302,,-302,6142,
03/31/2006,6522,1363,1083,280,639,639.0,,341,,,,,289,,,,,,2632,1966,2979,-1013,0.0,,,1924,105.0,105.0,0.0,,1819,3890,,321,321,,,,0.0,,,,,355,,,,355,676,0.0,,,,6342,,,,,6342,6342,7018,0.0,444,,,-213.0,-736.0,9,-496,,-496,6522,
06/30/2006,5657,656,587,69,579,579.0,,361,,,,,1739,,,,,,3335,2035,3089,-1054,,,,287,105.0,105.0,0.0,,182,2322,,368,368,,,,3809.0,,,,,921,,,,921,5098,239.0,,,,633,,,,,633,872,5970,,449,,,-209.0,-560.0,7,-313,,-313,5657,
09/30/2006,6363,1453,1453,0,548,548.0,,357,,,,,1597,,,,,,3955,2093,3175,-1082,0.0,,,315,105.0,105.0,0.0,,210,2408,,318,318,,,,3060.0,,,,,529,,,,529,3907,239.0,,,,666,,,,,666,905,4812,0.0,2175,,,-208.0,-407.0,-9,1551,,1551,6363,
12/31/2006,5365,565,565,0,448,448.0,,348,94.0,,231.0,23.0,1346,,,,,,2707,2210,3318,-1108,0.0,,,448,163.0,154.0,9.0,,285,2658,,303,303,,,,1065.0,,,,,396,,,,396,1764,1439.0,,,,628,,,,,628,2067,3831,0.0,2185,,,-208.0,-307.0,-136,1534,,1534,5365,
03/31/2007,4590,411,411,0,604,604.0,,380,,,,,229,,,,,,1624,2295,3436,-1141,0.0,,,671,357.0,357.0,0.0,,314,2966,,364,364,,,,0.0,,,,,288,,,,288,652,1239.0,,,,669,,,,,669,1908,2560,0.0,2618,,,-208.0,-268.0,-112,2030,,2030,4590,
06/30/2007,4666,380,380,0,611,611.0,,369,87.0,,282.0,,206,,,,,,1566,2386,3574,-1188,0.0,,,714,358.0,358.0,0.0,,356,3100,,364,364,,,,0.0,,,,,260,,,,260,624,1239.0,,,,699,,,,,699,1938,2562,0.0,2621,,,-207.0,-212.0,-98,2104,,2104,4666,
09/30/2007,4671,353,353,0,546,546.0,,379,82.0,,297.0,,156,,,,,,1434,2477,3686,-1209,0.0,,,760,379.0,228.0,151.0,,381,3237,,348,348,,,,0.0,,,,,263,,,,263,611,1238.0,,,,694,,,,,694,1932,2543,0.0,2615,,,-204.0,-205.0,-78,2128,,2128,4671,
12/31/2007,4654,297,297,0,430,430.0,,431,92.0,,339.0,,126,,,,,,1284,2596,3845,-1249,0.0,,,774,372.0,226.0,146.0,,402,3370,,328,328,,,,0.0,,,,,239,,,,239,567,1238.0,,,,623,,,,,623,1861,2428,0.0,2617,,,-204.0,-196.0,9,2226,0.0,2226,4654,
03/31/2008,4712,190,190,0,520,520.0,,390,79.0,,311.0,,151,,,,,,1251,2648,3932,-1284,0.0,,,813,229.0,229.0,0.0,,584,3461,,387,387,,,,45.0,,,,,226,,,,226,658,1238.0,,,,632,,,,,632,1870,2528,0.0,2630,,,-203.0,-274.0,31,2184,0.0,2184,4712,
06/30/2008,4840,181,181,0,553,553.0,,416,77.0,0.0,339.0,0.0,165,,,,,,1315,2665,3993,-1328,0.0,,,860,372.0,229.0,143.0,,488,3525,,386,386,,,,,,,,,250,,,,250,636,1385.0,,,,637,,,,,637,2022,2658,0.0,2634,,,-203.0,-314.0,65,2182,0.0,2182,4840,
09/30/2008,4768,159,159,0,531,531.0,,419,86.0,,333.0,,144,,,,,,1253,2643,4000,-1357,0.0,,,872,368.0,227.0,141.0,,504,3515,,333,333,,,,0.0,,,,,274,,,,274,607,1464.0,,,,647,,,,,647,2111,2718,0.0,2632,,,-200.0,-354.0,-28,2050,0.0,2050,4768,
12/31/2008,4719,471,471,0,467,467.0,,404,92.0,,312.0,,152,,,,,,1494,2562,3930,-1368,0.0,,,663,137.0,12.0,125.0,,526,3225,,220,220,,,,194.0,,,,,342,,,,342,756,1642.0,,,,771,,,,,771,2413,3169,0.0,2635,,,-199.0,-659.0,-227,1550,0.0,1550,4719,
03/31/2009,4446,223,223,0,487,487.0,0.0,375,72.0,0.0,303.0,0.0,182,,413.0,12.0,,100.0,1267,2485,3858,-1373,0.0,,,694,135.0,12.0,123.0,,146,3179,,518,227,6.0,,285.0,4.0,0.0,,,4.0,0,,,6.0,0,522,1641.0,1641.0,,,792,,,,,786,2433,2955,0.0,2643,10.0,2633.0,-197.0,-701.0,-254,1491,0.0,1491,4446,
06/30/2009,4415,302,302,0,442,442.0,0.0,330,66.0,0.0,264.0,0.0,165,,409.0,13.0,,86.0,1239,2480,3922,-1442,0.0,,,696,133.0,12.0,121.0,,154,3176,,481,214,6.0,,261.0,7.0,0.0,,,7.0,0,,,7.0,0,488,1663.0,1663.0,,,728,,,,,721,2391,2879,0.0,2647,10.0,2637.0,-197.0,-754.0,-160,1536,0.0,1536,4415,
09/30/2009,4654,621,621,0,409,409.0,0.0,319,61.0,0.0,258.0,0.0,149,,446.0,4.0,,90.0,1498,2454,3953,-1499,0.0,,,702,90.0,,90.0,,166,3156,,524,242,6.0,,276.0,7.0,0.0,,,7.0,0,,,7.0,0,531,1956.0,1956.0,,,690,,,,,683,2646,3177,0.0,2645,10.0,2635.0,-194.0,-848.0,-126,1477,0.0,1477,4654,
12/31/2009,4097,690,690,0,357,357.0,0.0,289,57.0,0.0,232.0,0.0,95,0.0,,20.0,,73.0,1431,2427,3985,-1558,0.0,,,239,86.0,0.0,86.0,,153,2666,,485,205,7.0,0.0,273.0,7.0,0.0,0.0,0.0,7.0,0,0.0,0.0,17.0,0,492,1955.0,1955.0,0.0,0.0,720,0.0,498.0,194.0,304.0,205,2675,3167,0.0,2650,10.0,2640.0,-194.0,-1446.0,-80,930,0.0,930,4097,
03/31/2010,4019,513,470,43,427,427.0,0.0,296,52.0,0.0,244.0,0.0,76,1.0,,3.0,,68.0,1312,2403,4005,-1602,72.0,,72.0,232,83.0,,83.0,,148,2707,,511,234,8.0,,269.0,7.0,0.0,,,7.0,0,,36.0,17.0,0,518,1954.0,1954.0,,,727,-21.0,,,,695,2681,3199,0.0,2654,10.0,2644.0,-186.0,-1556.0,-92,820,0.0,820,4019,
06/30/2010,3927,486,410,76,414,414.0,0.0,298,55.0,0.0,243.0,0.0,76,2.0,,2.0,,69.0,1274,2352,3973,-1621,69.0,,69.0,232,81.0,,81.0,,149,2653,,500,229,10.0,,261.0,7.0,0.0,,,7.0,0,,28.0,20.0,0,507,1953.0,1953.0,,,727,-17.0,,,,696,2680,3187,0.0,2657,10.0,2647.0,-185.0,-1630.0,-102,740,0.0,740,3927,
09/30/2010,3857,477,400,77,411,411.0,0.0,297,60.0,0.0,237.0,0.0,77,1.0,,5.0,,69.0,1262,2300,3868,-1568,67.0,,67.0,228,80.0,,80.0,,147,2595,,508,223,9.0,,276.0,7.0,0.0,,,7.0,0,,30.0,22.0,0,515,1952.0,1952.0,,,688,-21.0,,,,657,2640,3155,0.0,2572,10.0,2562.0,-55.0,-1730.0,-85,702,0.0,702,3857,
