Date,Cash from Operating Activities,Net Income,Depreciation & Amortization,Provision for Loan Losses,Non-Cash Items,Gain on Sale of Secs & Loans,Deferred Income Taxes,Other Non - Cash Adjusted,Net Ch in Operating Capital,Net Ch in Operating Loans,Other Op Assets/Liab,Net Cash From Disc Ops,Cash from Investing Activities,Net Change in Fixed Assets,Disposal of Fixed Assets,Capital Expenditures/Prop Add,Net Change in Investments,Decrease in Investments,Dec in HTM Investments,Dec in AFS Investments,Dec in Other Investments,Increase in Investments,Inc in HTM Investments,Inc in AFS Investments,Inc in Other Investments,Net Ch in Loans & Interbank,Net Ch in Customer Loans,Net Ch in Interbank Assets,Net Ch in Loans,Net Cash from Acq & Div,Cash from Divestitures,Cash for Acq of Subs,Cash for JVs,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Cash From (Repayment) Debt,Cash From (Repay) ST Debt,Net Ch in Interbank Trans,Cash From LT Debt,Repayments of LT Debt,Cash (Repurchase) of Equity,Increase in Capital Stock,Decrease in Capital Stock,Net Change In Deposits,Other Financing Activities,Effect of Foreign Exchange Rates,Net Changes in Cash,Cash Paid for Taxes,Cash Paid for Interest,Source: Bloomberg
03/31/1996,2492.0,301,80.0,,72.0,,,72.0,2039.0,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
06/30/1996,-4132.0,309,80.0,,92.0,,,92.0,-4613.0,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
09/30/1996,-753.0,312,80.0,,68.0,,,68.0,-1213.0,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
12/31/1996,603.0,321,80.0,,65.0,,,65.0,137.0,,,,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,603.0,,,
03/31/1997,3747.0,329,80.0,,1014.0,,,1014.0,2324.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/30/1997,-29.0,340,80.0,,1054.0,,,1054.0,-1503.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/1997,432.0,354,75.0,,1018.0,,,1018.0,-1015.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1997,1293.0,372,75.0,,1174.0,,,1174.0,-328.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1293.0,,,
03/31/1998,5127.0,393,60.0,,1346.0,,,1346.0,3328.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.0,3372.0,
06/30/1998,-6407.0,414,50.0,,2221.0,,,2221.0,-9092.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145.0,3238.0,
09/30/1998,-2968.0,425,40.0,,1705.0,,,1705.0,-5138.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,3876.0,
12/31/1998,-3236.0,468,40.0,,1920.0,,,1920.0,-5664.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118.0,4271.0,
03/31/1999,-3231.0,513,15.0,,3705.0,,,3705.0,-7464.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.0,4559.0,
06/30/1999,-203.0,552,15.0,,-1402.0,,,-1402.0,632.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,413.0,4163.0,
09/30/1999,-7356.0,564,15.0,,-10.0,,,-10.0,-7925.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,280.0,5498.0,
12/31/1999,-1613.0,594,15.0,,7072.0,,,7072.0,-9294.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,483.0,4973.0,
03/31/2000,2375.0,608,10.0,,2458.0,,,2458.0,-701.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,223.0,5779.0,
06/30/2000,1548.0,631,10.0,,3581.0,,,3581.0,-2674.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,173.0,5633.0,
09/30/2000,100.0,645,10.0,,3443.0,,,3443.0,-3998.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,148.0,7050.0,
12/31/2000,10546.0,663,10.0,,1699.0,,,1699.0,8174.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,433.0,4231.0,
03/31/2001,6414.0,-111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,232.0,8751.0,
06/30/2001,1752.0,721,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,142.0,6041.0,
09/30/2001,1068.0,2414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,8248.0,
12/31/2001,8540.0,134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,583.0,5465.0,
03/31/2002,-1895.0,947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/30/2002,-1310.0,1971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/2002,12988.0,5662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/2002,11981.0,1510,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/2006,,-364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/30/2007,2306.0,596,695.0,,3898.0,,,3898.0,-2883.0,,,,-6674.0,0.0,0.0,0.0,-4439.0,157325.0,,,,-161764.0,,,,-3198.0,,,,,,,,963.0,4817.0,-847.0,6242.0,,,,,987.0,1587.0,-600.0,0.0,-1565.0,,449.0,607.0,18502.0,
09/30/2007,-3020.0,-1238,1372.0,,1824.0,,,1824.0,-4978.0,,,,29469.0,0.0,0.0,0.0,33298.0,106344.0,,,,-73046.0,,,,-2887.0,,,,,,,,-942.0,-26030.0,-432.0,-26102.0,,,,,992.0,992.0,0.0,0.0,-488.0,,419.0,56.0,10319.0,
12/31/2007,-6822.0,-2452,787.0,,1615.0,,,1615.0,-6772.0,,,,-13070.0,0.0,0.0,0.0,-2586.0,65351.0,,,,-67937.0,,,,-9523.0,,,,,,,,-961.0,16239.0,-274.0,10924.0,,,,,4910.0,5910.0,-1000.0,0.0,679.0,,-3653.0,264.0,8652.0,
03/31/2008,-5973.0,-151,,1240.0,-155.0,,-882.0,727.0,-6907.0,,,,-13583.0,0.0,0.0,0.0,-9701.0,116211.0,,,,-125912.0,,,,-3351.0,,,,,,,,-531.0,19328.0,-436.0,19996.0,,,,,1.0,1.0,0.0,0.0,-233.0,,-228.0,646.0,10305.0,
06/30/2008,2014.0,-821,-1240.0,2537.0,326.0,,-746.0,1072.0,-28.0,,,,-43777.0,0.0,0.0,0.0,-40542.0,76092.0,,,,-116634.0,,,,-3724.0,,,,,,,,489.0,76970.0,-396.0,77614.0,,,,,0.0,0.0,0.0,0.0,-248.0,,35207.0,408.0,8160.0,
09/30/2008,-3687.0,-25295,-3777.0,9483.0,21633.0,,5959.0,15674.0,-5731.0,,,,60615.0,0.0,0.0,0.0,72699.0,100221.0,,,,-27522.0,,,,-4977.0,,,,,,,,-7107.0,-50301.0,0.0,-50082.0,,,,,0.0,0.0,0.0,0.0,-219.0,,6627.0,176.0,9403.0,
12/31/2008,-2872.0,-23852,-6953.0,,19793.0,,,19793.0,-5766.0,,,,-74283.0,0.0,0.0,0.0,-58167.0,50934.0,,,,-109101.0,,,,-6798.0,,,,,,,,-9318.0,72301.0,-173.0,58823.0,,,,,13799.0,13799.0,0.0,0.0,-148.0,,-4854.0,0.0,7796.0,
03/31/2009,-4709.0,-9975,,8915.0,2927.0,4027.0,-114.0,-986.0,-6576.0,-7836.0,1260.0,0.0,-84675.0,0.0,0.0,0.0,-75925.0,70115.0,0.0,0.0,70115.0,-146040.0,0.0,0.0,-146040.0,-7231.0,-7231.0,0.0,0.0,0.0,0.0,0.0,0.0,-1519.0,97812.0,-370.0,67479.0,0.0,0.0,440653.0,-373174.0,30801.0,30801.0,0.0,0.0,-98.0,,8428.0,-15.0,8690.0,
06/30/2009,2851.0,302,,5665.0,-1263.0,-1794.0,-372.0,903.0,-1853.0,443.0,-2296.0,0.0,56429.0,0.0,0.0,0.0,59184.0,101475.0,0.0,0.0,101475.0,-42291.0,0.0,0.0,-42291.0,-4430.0,-4430.0,0.0,0.0,0.0,0.0,0.0,0.0,1675.0,-68022.0,-1149.0,-72905.0,0.0,0.0,323494.0,-396399.0,6100.0,6100.0,0.0,0.0,-68.0,,-8742.0,,5798.0,
09/30/2009,3834.0,-5408,,7973.0,1840.0,1225.0,-97.0,712.0,-571.0,301.0,-872.0,0.0,41105.0,0.0,0.0,0.0,47940.0,101707.0,0.0,0.0,101707.0,-53767.0,0.0,0.0,-53767.0,-1813.0,-1813.0,0.0,0.0,0.0,0.0,0.0,0.0,-5022.0,-34931.0,-1294.0,-33560.0,0.0,0.0,304105.0,-337665.0,0.0,0.0,0.0,0.0,-77.0,,10008.0,,6487.0,
12/31/2009,-688.0,-6472,,6977.0,-74.0,-148.0,-87.0,161.0,-1119.0,-3740.0,2621.0,0.0,34704.0,0.0,0.0,0.0,37273.0,57782.0,0.0,0.0,57782.0,-20509.0,0.0,0.0,-20509.0,-3270.0,-3270.0,0.0,0.0,0.0,0.0,0.0,0.0,701.0,-24353.0,-1292.0,-22961.0,0.0,0.0,265607.0,-288568.0,0.0,0.0,0.0,0.0,-100.0,,9663.0,-457.0,4194.0,
03/31/2010,2062.0,-6688,,5396.0,4451.0,4147.0,-87.0,391.0,-1097.0,410.0,-1507.0,0.0,60593.0,0.0,0.0,0.0,-11109.0,18281.0,0.0,0.0,18281.0,-29390.0,0.0,0.0,-29390.0,67032.0,67032.0,0.0,0.0,0.0,0.0,0.0,0.0,4670.0,-71893.0,-1292.0,-70568.0,0.0,0.0,349069.0,-419637.0,1.0,1.0,0.0,0.0,-34.0,,-9238.0,-198.0,25405.0,
06/30/2010,4601.0,-4713,,5029.0,3229.0,3185.0,-181.0,225.0,1056.0,435.0,621.0,0.0,79371.0,0.0,0.0,0.0,10709.0,10709.0,0.0,0.0,10709.0,0.0,0.0,0.0,0.0,64633.0,64633.0,0.0,0.0,0.0,0.0,0.0,0.0,4029.0,-83649.0,-1293.0,-92907.0,0.0,0.0,291803.0,-384710.0,10600.0,10600.0,0.0,0.0,-49.0,,323.0,7.0,23333.0,
09/30/2010,3715.0,-2511,,3727.0,3081.0,1632.0,-326.0,1775.0,-582.0,-310.0,-272.0,0.0,136735.0,0.0,0.0,0.0,36582.0,53318.0,0.0,0.0,53318.0,-16736.0,0.0,0.0,-16736.0,97069.0,97069.0,0.0,0.0,0.0,0.0,0.0,0.0,3084.0,-136061.0,-1561.0,-136187.0,0.0,0.0,313216.0,-449403.0,1700.0,1800.0,-100.0,0.0,-13.0,,4389.0,,24724.0,
12/31/2010,442.0,-113,,3066.0,886.0,169.0,-76.0,793.0,-3397.0,-4116.0,719.0,0.0,108942.0,0.0,0.0,0.0,-25053.0,22895.0,0.0,0.0,22895.0,-47948.0,0.0,0.0,-47948.0,128384.0,128384.0,0.0,0.0,0.0,0.0,0.0,0.0,5611.0,-132529.0,-1603.0,-131007.0,0.0,0.0,257262.0,-388269.0,100.0,100.0,0.0,0.0,-19.0,,-23145.0,-657.0,22006.0,
03/31/2011,4214.0,676,,1989.0,1232.0,428.0,-65.0,869.0,317.0,1170.0,-853.0,0.0,96247.0,0.0,0.0,0.0,11525.0,27853.0,0.0,0.0,27853.0,-16328.0,0.0,0.0,-16328.0,79537.0,79537.0,0.0,0.0,0.0,0.0,0.0,0.0,5185.0,-103175.0,-1605.0,-102057.0,0.0,0.0,291596.0,-393653.0,501.0,501.0,0.0,0.0,-14.0,,-2714.0,-1.0,22479.0,
06/30/2011,4167.0,-2139,,2529.0,2713.0,2300.0,80.0,333.0,1064.0,1139.0,-75.0,0.0,92676.0,0.0,0.0,0.0,26368.0,39332.0,0.0,0.0,39332.0,-12964.0,0.0,0.0,-12964.0,61898.0,61898.0,0.0,0.0,0.0,0.0,0.0,0.0,4410.0,-105966.0,-1617.0,-104332.0,0.0,0.0,274180.0,-378512.0,0.0,0.0,0.0,0.0,-17.0,,-9123.0,1.0,20970.0,
09/30/2011,1017.0,-4422,,3606.0,4787.0,3926.0,-61.0,922.0,-2954.0,-1550.0,-1404.0,0.0,38749.0,0.0,0.0,0.0,-14875.0,1524.0,0.0,0.0,1524.0,-16399.0,0.0,0.0,-16399.0,76373.0,76373.0,0.0,0.0,0.0,0.0,0.0,0.0,-22749.0,-82695.0,-1618.0,-82550.0,0.0,0.0,301033.0,-383583.0,1479.0,1479.0,0.0,0.0,-6.0,,-42929.0,,21388.0,
12/31/2011,922.0,619,,2578.0,967.0,435.0,-71.0,603.0,-3242.0,-3228.0,-14.0,0.0,146016.0,0.0,0.0,0.0,36552.0,51009.0,0.0,0.0,51009.0,-14457.0,0.0,0.0,-14457.0,108044.0,108044.0,0.0,0.0,0.0,0.0,0.0,0.0,1420.0,-100742.0,-1655.0,-105066.0,0.0,0.0,253556.0,-358622.0,5992.0,5992.0,0.0,0.0,-13.0,,46196.0,,19533.0,
03/31/2012,1404.0,577,,1825.0,1576.0,654.0,-54.0,976.0,-2574.0,-1448.0,-1126.0,0.0,101961.0,0.0,0.0,0.0,-2687.0,15744.0,0.0,0.0,15744.0,-18431.0,0.0,0.0,-18431.0,101669.0,101669.0,0.0,0.0,0.0,0.0,0.0,0.0,2979.0,-123238.0,-1807.0,-121576.0,0.0,0.0,227559.0,-349135.0,146.0,146.0,0.0,0.0,-1.0,,-19873.0,-108.0,20285.0,
06/30/2012,5162.0,3020,,155.0,209.0,130.0,-47.0,126.0,1778.0,1463.0,315.0,0.0,130776.0,0.0,0.0,0.0,3700.0,26909.0,0.0,0.0,26909.0,-23209.0,0.0,0.0,-23209.0,106293.0,106293.0,0.0,0.0,0.0,0.0,0.0,0.0,20783.0,-125325.0,-1809.0,-123529.0,0.0,0.0,198311.0,-321840.0,20.0,20.0,0.0,0.0,-7.0,,10613.0,108.0,18820.0,
09/30/2012,-393.0,2928,,610.0,-690.0,-237.0,54.0,-507.0,-3241.0,-2299.0,-942.0,0.0,95500.0,0.0,0.0,0.0,-25706.0,0.0,0.0,0.0,0.0,-25706.0,0.0,0.0,-25706.0,117338.0,117338.0,0.0,0.0,0.0,0.0,0.0,0.0,3868.0,-135649.0,-1809.0,-133838.0,0.0,0.0,192297.0,-326135.0,0.0,0.0,0.0,0.0,-2.0,,-40542.0,,18857.0,
12/31/2012,2293.0,4457,,-700.0,1147.0,783.0,50.0,314.0,-2611.0,-1228.0,-1383.0,0.0,166160.0,0.0,0.0,0.0,51035.0,51035.0,0.0,0.0,51035.0,0.0,0.0,0.0,0.0,117450.0,117450.0,0.0,0.0,0.0,0.0,0.0,0.0,-2325.0,-138580.0,-1808.0,-136769.0,0.0,0.0,191629.0,-328398.0,0.0,0.0,0.0,0.0,-3.0,,29873.0,,17366.0,
03/31/2013,1108.0,4581,,-503.0,-1889.0,-970.0,-42.0,-877.0,-1081.0,93.0,-1174.0,0.0,140162.0,0.0,0.0,0.0,17959.0,22346.0,0.0,0.0,22346.0,-4387.0,0.0,0.0,-4387.0,106014.0,106014.0,0.0,0.0,0.0,0.0,0.0,0.0,16189.0,-122050.0,-5827.0,-116223.0,0.0,0.0,203552.0,-319775.0,0.0,0.0,0.0,0.0,0.0,,19220.0,,17448.0,
06/30/2013,4449.0,4988,,-623.0,-2285.0,-1191.0,-39.0,-1055.0,2369.0,1890.0,479.0,0.0,100700.0,0.0,0.0,0.0,-3029.0,27276.0,0.0,0.0,27276.0,-30305.0,0.0,0.0,-30305.0,97999.0,97999.0,0.0,0.0,0.0,0.0,0.0,0.0,5730.0,-119015.0,-6971.0,-112039.0,0.0,0.0,212050.0,-324089.0,0.0,0.0,0.0,0.0,-5.0,,-13866.0,,16960.0,
09/30/2013,2952.0,30486,,-1138.0,-26195.0,-1441.0,-23960.0,-794.0,-201.0,1335.0,-1536.0,0.0,84681.0,0.0,0.0,0.0,8910.0,29189.0,0.0,0.0,29189.0,-20279.0,0.0,0.0,-20279.0,76077.0,76077.0,0.0,0.0,0.0,0.0,0.0,0.0,-306.0,-88508.0,-4357.0,-84150.0,0.0,0.0,196146.0,-280296.0,0.0,0.0,0.0,0.0,-1.0,,-875.0,,16111.0,
12/31/2013,8043.0,8613,,-201.0,-1505.0,-950.0,619.0,-1174.0,1136.0,1869.0,-733.0,0.0,65716.0,0.0,0.0,0.0,16133.0,24596.0,0.0,0.0,24596.0,-8463.0,0.0,0.0,-8463.0,51337.0,51337.0,0.0,0.0,0.0,0.0,0.0,0.0,-1754.0,-75470.0,-30436.0,-45033.0,0.0,0.0,203435.0,-248468.0,0.0,0.0,0.0,0.0,-1.0,,-1711.0,,15095.0,
03/31/2014,4217.0,4020,,85.0,2102.0,1018.0,1748.0,-664.0,-1990.0,1669.0,-3659.0,0.0,84614.0,0.0,0.0,0.0,34712.0,47140.0,0.0,0.0,47140.0,-12428.0,0.0,0.0,-12428.0,40449.0,40449.0,0.0,0.0,0.0,0.0,0.0,0.0,9453.0,-89501.0,-10435.0,-79066.0,0.0,0.0,155190.0,-234256.0,0.0,0.0,0.0,0.0,0.0,,-670.0,,15807.0,
06/30/2014,6804.0,1362,,-618.0,1298.0,1077.0,674.0,-453.0,4762.0,1527.0,3235.0,0.0,35945.0,0.0,0.0,0.0,-8698.0,12644.0,0.0,0.0,12644.0,-21342.0,0.0,0.0,-21342.0,41640.0,41640.0,0.0,0.0,0.0,0.0,0.0,0.0,3003.0,-48698.0,-4499.0,-44195.0,0.0,0.0,175562.0,-219757.0,0.0,0.0,0.0,0.0,-4.0,,-5949.0,760.0,15209.0,
09/30/2014,293.0,2081,,574.0,338.0,90.0,891.0,-643.0,-2700.0,-1661.0,-1039.0,0.0,29427.0,0.0,0.0,0.0,-11656.0,9730.0,0.0,0.0,9730.0,-21386.0,0.0,0.0,-21386.0,42056.0,42056.0,0.0,0.0,0.0,0.0,0.0,0.0,-973.0,-50618.0,-1890.0,-48727.0,0.0,0.0,106028.0,-154755.0,0.0,0.0,0.0,0.0,-1.0,,-20898.0,,15681.0,
12/31/2014,-2429.0,227,,17.0,551.0,2180.0,-1029.0,-600.0,-3224.0,-4066.0,842.0,0.0,55282.0,0.0,0.0,0.0,16782.0,29393.0,0.0,0.0,29393.0,-12611.0,0.0,0.0,-12611.0,42109.0,42109.0,0.0,0.0,0.0,0.0,0.0,0.0,-3609.0,-25689.0,-2786.0,-22901.0,0.0,0.0,139961.0,-162862.0,0.0,0.0,0.0,0.0,-2.0,,27164.0,,15560.0,
03/31/2015,-3507.0,524,,-499.0,984.0,1688.0,17.0,-721.0,-4516.0,-4029.0,-487.0,0.0,50612.0,0.0,0.0,0.0,4982.0,16304.0,0.0,9027.0,7277.0,-11322.0,0.0,-2161.0,-9161.0,46814.0,46814.0,0.0,0.0,0.0,0.0,0.0,0.0,-1184.0,-47626.0,-851.0,-46775.0,0.0,0.0,133241.0,-180016.0,0.0,0.0,0.0,0.0,0.0,0.0,-521.0,458.0,15304.0,
06/30/2015,234.0,4169,,,-3935.0,,-17.0,-3918.0,,,,0.0,66703.0,0.0,0.0,0.0,26803.0,26803.0,0.0,12836.0,9383.0,,0.0,-1815.0,6399.0,50360.0,50360.0,0.0,0.0,0.0,0.0,0.0,0.0,-10460.0,-71883.0,-746.0,-71134.0,0.0,0.0,220065.0,-291199.0,0.0,0.0,0.0,0.0,-3.0,0.0,-4946.0,401.0,15173.0,
09/30/2015,-2170.0,-475,,-528.0,,,,,,,,0.0,46330.0,0.0,0.0,0.0,3267.0,17792.0,0.0,10600.0,7192.0,-14525.0,0.0,-1049.0,-13476.0,43877.0,43877.0,0.0,0.0,0.0,0.0,0.0,0.0,-814.0,-44621.0,-3913.0,-40708.0,0.0,0.0,213195.0,-253903.0,0.0,0.0,0.0,0.0,0.0,0.0,-461.0,51.0,15362.0,
12/31/2015,4509.0,2158,0.0,-1638.0,-579.0,646.0,1655.0,-2880.0,-517.0,-1515.0,998.0,0.0,15301.0,0.0,0.0,0.0,-23294.0,10032.0,0.0,7244.0,7372.0,-33326.0,0.0,-1793.0,-36117.0,39231.0,39231.0,0.0,0.0,0.0,0.0,0.0,0.0,-636.0,-19215.0,0.0,-19213.0,0.0,0.0,218151.0,-237364.0,0.0,0.0,0.0,0.0,-2.0,0.0,595.0,185.0,15281.0,
03/31/2016,-4086.0,-354,,-467.0,,,,,,,,0.0,57950.0,0.0,0.0,0.0,30571.0,41684.0,0.0,7212.0,34472.0,-11113.0,0.0,-3009.0,-8104.0,35766.0,35766.0,0.0,0.0,0.0,0.0,0.0,0.0,-8387.0,-53301.0,-1740.0,-51560.0,0.0,0.0,185725.0,-237285.0,0.0,0.0,0.0,0.0,-1.0,0.0,563.0,573.0,15438.0,
06/30/2016,8229.0,993,,-775.0,,,,,,,,0.0,21525.0,0.0,0.0,0.0,-13017.0,22094.0,0.0,10384.0,11710.0,-35111.0,0.0,-16715.0,-18396.0,41989.0,41989.0,0.0,0.0,0.0,0.0,0.0,0.0,-7447.0,-27772.0,0.0,-27769.0,0.0,0.0,240797.0,-268566.0,0.0,0.0,0.0,0.0,-3.0,0.0,1982.0,764.0,15396.0,
09/30/2016,910.0,2329,,2371.0,-3790.0,,,-3790.0,,,,0.0,25741.0,0.0,0.0,0.0,-9588.0,28895.0,0.0,10825.0,18070.0,-38483.0,0.0,-2264.0,-36219.0,46704.0,46704.0,0.0,0.0,0.0,0.0,0.0,0.0,-11375.0,-30851.0,-933.0,-29918.0,0.0,0.0,256652.0,-286570.0,0.0,0.0,0.0,0.0,0.0,0.0,-4200.0,497.0,15565.0,
12/31/2016,-658.0,4847,,-1932.0,-3573.0,,,-3573.0,,,,0.0,59330.0,0.0,0.0,0.0,9686.0,57330.0,0.0,8147.0,49183.0,-47644.0,0.0,-6318.0,-41326.0,50448.0,45941.0,0.0,4507.0,0.0,0.0,0.0,0.0,-804.0,-54925.0,-2310.0,-52613.0,0.0,0.0,230170.0,-282783.0,0.0,0.0,0.0,0.0,-2.0,0.0,3747.0,490.0,14463.0,
