Date,Cash from Operating Activities,Net Income,Depreciation & Amortization,Non-Cash Items,Stock-Based Compensation,Deferred Income Taxes,Other Non-Cash Adj,Chg in Non-Cash Work Cap,Inc (Dec) in Other,Net Cash From Disc Ops,Cash from Investing Activities,Change in Fixed & Intang,Disp in Fixed & Intang,Disp of Fixed Prod Assets,Disp of Intangible Assets,Acq of Fixed & Intang,Acq of Fixed Prod Assets,Acq of Intangible Assets,Net Change in LT Investment,Dec in LT Investment,Inc in LT Investment,Net Cash From Acq & Div,Cash from Divestitures,Cash for Acq of Subs,Cash for JVs,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Cash From (Repayment) Debt,Cash From (Repay) ST Debt,Cash From LT Debt,Repayments of LT Debt,Cash (Repurchase) of Equity,Increase in Capital Stock,Decrease in Capital Stock,Other Financing Activities,Effect of Foreign Exchange Rates,Net Changes in Cash,Cash Paid for Interest,Source: Bloomberg
12/31/1996,138.990005,58.108002,49.659,21.297001,,,21.297001,9.926,9.926,,,-30.775,,,,-30.775,,,,,,,,,,30.775,,,,,,,,,,,,,,
03/31/1997,70.321999,82.670998,51.401001,-7.729,,,-7.729,-56.021,-56.021,,,-31.851999,,,,-31.851999,,,,,,,,,,31.851999,,,,,,,,,,,,,,
06/30/1997,106.925003,70.148003,53.115002,14.067,,,14.067,-30.405001,-30.405001,,,-46.784,,,,-46.784,,,,,,,,,,46.784,,,,,,,,,,,,,,
09/30/1997,126.510002,89.147003,55.596001,-37.186001,,,-37.186001,18.952999,18.952999,,-60.938,-60.938,,,,-60.938,,,,,,,,,,0.0,,,,,,,,,,,,65.572002,,
12/31/1997,163.979004,64.320999,52.977001,12.638,,,12.638,34.042999,34.042999,,-89.0,-43.998001,0.0,,,-43.998001,,,0.0,0.0,0.0,,,,,-45.001999,-69.141,-0.687,-30.614001,,,,-36.757999,5.987,-42.744999,-1.082,,5.838,,
03/31/1998,77.763,92.334999,55.733002,4.607,,,4.607,-74.912003,-74.912003,,-101.167999,-45.946999,0.0,,,-45.946999,,,0.0,0.0,0.0,,,,,-55.221001,18.039,-36.356998,34.503,,,,21.360999,23.091999,-1.731,-1.468,,-5.366,,
06/30/1998,119.311996,-9.985,60.179001,102.963997,,,102.963997,-33.846001,-33.846001,,-523.413025,-48.823002,0.0,,,-48.823002,,,0.0,0.0,0.0,,,,,-474.590023,394.41199,-19.479,406.84999,,,,8.514,8.514,0.0,-1.473,,-9.689,,
09/30/1998,139.707993,89.897003,59.860001,-44.171001,,,-44.171001,34.122002,34.122002,,-56.187,-42.647999,0.0,,,-42.647999,,,7.784,26.709,-18.924999,,,,,-21.323002,-103.691991,-18.809,-95.248991,,,,8.42,8.42,0.0,1.946,,-20.171,,
12/31/1998,86.864998,76.157997,62.688,15.34,,,15.34,-67.320999,-67.320999,,-115.783997,-61.778,0.0,,,-61.778,,,0.0,0.0,0.0,,,,,-54.005997,74.245998,0.0,70.480998,,,,5.701,5.701,0.0,-1.936,,45.327,,
03/31/1999,38.192001,90.113998,65.795998,19.167999,,,19.167999,-136.886002,-136.886002,,-248.022995,-71.077003,0.0,,,-71.077003,,,0.0,0.0,0.0,,,,,-176.945992,155.107999,-43.162998,192.657997,,,,9.682,9.682,0.0,-4.069,,-54.723,,
06/30/1999,181.177002,33.124001,62.765999,50.095001,,,50.095001,35.192001,35.192001,,-107.978996,-79.242996,0.0,,,-79.242996,,,0.0,0.0,0.0,,,,,-28.736,-80.068997,-22.865999,-66.261997,,,,9.766,9.766,0.0,-0.707,,-6.871,,
09/30/1999,125.557991,76.322998,67.613007,46.081005,,,46.081005,-64.459,-64.459,,-344.062042,-99.448997,0.0,,,-99.448997,,,-25.065001,0.0,-25.065001,,,,,-219.548044,211.451997,-22.021006,229.097004,,,,1.653999,1.653999,0.0,2.722,,-7.052001,77.681,
12/31/1999,121.235001,75.293999,72.440002,-0.539,,,-0.539,-25.959999,-25.959999,,-94.845703,-66.696999,0.0,,,-66.696999,,,0.0,0.0,0.0,,,,,-28.148705,-15.385,-0.698,-21.766,,,,7.445,7.445,0.0,-0.366,,11.004,,
03/31/2000,146.014008,119.170998,69.028999,-43.196999,,,-43.196999,1.011,1.011,,-101.280998,-98.924004,0.0,,,-98.924004,,,0.0,0.0,0.0,,,,,-2.356995,-50.605,-46.498001,-15.421999,,,,11.893,11.893,0.0,-0.578,,-5.872,,
06/30/2000,171.880005,114.417999,73.286003,-23.739,,,-23.739,7.915,7.915,,-89.695,-105.675003,0.0,,,-105.675003,,,0.0,0.0,0.0,,,,,15.980003,-70.308999,-24.896999,-56.82,,,,12.498,12.498,0.0,-1.09,,11.876,,
09/30/2000,176.363998,84.014,73.5,22.042999,,,22.042999,-3.193,-3.193,,-117.577003,-105.075996,0.0,,,-105.075996,,,92.478,101.750999,-9.273,,,,,-104.979007,-86.531001,-23.656,-64.463001,,,,2.888,2.888,0.0,-1.3,,-27.743999,78.272003,
12/31/2000,95.19,36.948,75.318,49.712,,,49.712,-66.788,-66.788,,-109.352,-77.213,,,,-77.213,,,,,,,,,,-32.139,43.978,-0.652,23.806,,,,21.407,21.407,,-0.583,,29.816,,
03/31/2001,220.789001,114.165001,79.738998,17.566999,,,17.566999,9.318,9.318,,-166.546005,-102.876999,0.0,,,-102.876999,,,0.0,0.0,0.0,,,,,-63.669006,-53.328999,-49.464001,-41.303998,,,,39.313,39.313,0.0,-1.874,,0.914,,
06/30/2001,208.524002,118.128998,77.379997,8.815,,,8.815,4.2,4.2,,-120.775002,-85.797997,0.0,,,-85.797997,,,0.0,0.0,0.0,,,,,-34.977005,-93.997,-25.858,-76.292,,,,8.659,8.659,0.0,-0.506,,-8.635,,
09/30/2001,254.141998,132.410004,73.263,12.685,,,12.685,35.784,35.784,,-145.255997,-104.865997,0.0,,,-104.865997,,,-17.306,7.632,-24.938,,,,,-23.084,-98.047997,-25.355,-86.539997,,,,13.546,13.546,0.0,0.301,,10.838,63.759998,
12/31/2001,155.485,99.673,72.96,-90.897,,,-90.897,73.749,73.749,,-74.36,-49.505,,,,-49.505,,,,,,,,,,-24.855,-9.71,,38.744,,,,-47.874,4.983,-52.857,-0.58,,71.415,,
03/31/2002,136.647995,129.188004,72.723,13.252,,,13.252,-78.514999,-78.514999,,-96.458,-65.653999,0.0,,,-65.653999,,,0.0,0.0,0.0,,,,,-30.804001,-13.607002,-51.634998,70.541998,,,,-31.014002,19.150999,-50.165001,-1.5,,26.583,,
06/30/2002,240.268005,119.724998,78.803001,2.586,,,2.586,39.153999,39.153999,,-71.125,-47.882,0.0,,,-47.882,,,0.0,0.0,0.0,,,,,-23.243,-173.288995,-25.700001,-89.957997,,,,-60.881997,9.846,-70.727997,3.251,,-4.146,,
09/30/2002,303.631989,131.395996,80.378998,74.011002,,,74.011002,17.846001,17.846001,,-119.178001,-96.662003,0.0,,,-96.662003,,,0.0,0.0,0.0,,,,,-22.515998,-117.32,-25.124001,-44.717,,,,-46.121999,4.089,-50.210999,-1.357,,67.134003,39.153,
12/31/2002,113.623,113.638,82.081,-95.285,,,-95.285,13.189,13.189,,-77.251,-43.366,0.0,,,-43.366,,,0.0,0.0,0.0,,,,,-33.885,-53.06,-0.488,-2.757,,,,-52.24,4.383,-56.623,2.425,,-16.688,,
03/31/2003,179.210007,142.039993,86.050003,17.785999,,,17.785999,-66.666,-66.666,,-94.778999,-64.876999,0.0,,,-64.876999,,,0.0,0.0,0.0,,,,,-29.902,-25.386999,-52.544998,53.677999,,,,-28.268,21.599001,-49.867001,1.748,,59.043999,,
06/30/2003,216.132996,130.018005,91.500999,31.993999,,,31.993999,-37.380001,-37.380001,,-72.190002,-59.938,0.0,,,-59.938,,,0.0,0.0,0.0,,,,,-12.252002,25.803005,-25.806,87.795008,,,,-43.647003,55.499001,-99.146004,7.461,,169.746002,,
09/30/2003,396.734009,161.360001,84.823997,-21.27,,,-21.27,171.820007,171.820007,,-105.135002,-92.862,0.0,,,-92.862,,,-4.399,0.0,-4.399,,,,,-7.874002,-226.929999,-25.309,-62.852999,,,,-139.225,5.137,-144.362,0.457,,64.668999,32.648998,
12/31/2003,213.182999,125.402,90.316002,46.548,,,46.548,-49.083,-49.083,,-68.359001,-44.771,0.0,,,-44.771,,,0.0,0.0,0.0,,,,,-23.588001,-130.07,-0.028,-116.905003,,,,-16.394997,58.748001,-75.142998,3.258,,14.754,,
03/31/2004,314.519989,165.160004,95.693001,9.205,,,9.205,44.462002,44.462002,,-83.382004,-63.479,0.0,,,-63.479,,,0.0,0.0,0.0,,,,,-19.903004,-105.309,-76.290001,-3.983,,,,-24.487999,75.258003,-99.746002,-0.548,,125.829002,,
06/30/2004,293.93399,109.396004,87.714996,19.149,,,19.149,77.674004,77.674004,,-107.309998,-61.790001,0.0,,,-61.790001,,,0.0,0.0,0.0,,,,,-45.519997,-187.582007,-38.792,-0.722,,,,-145.422007,29.691,-175.113007,-2.646,,-0.958,,
09/30/2004,275.897003,67.444,83.5,86.782997,,,86.782997,38.169998,38.169998,,-136.182999,-95.678001,0.0,,,-95.678001,,,-10.149,0.0,-10.149,,,,,-30.355998,-79.847002,-37.265999,43.418998,,,,-87.553001,12.375,-99.928001,1.553,,59.867001,40.73,
12/31/2004,264.292,195.351,94.686,-40.432,11.59,,-52.022,14.687,14.687,,-79.461,-49.932,0.0,,,-49.932,,,0.0,0.0,0.0,,,,,-29.529,-82.172,-0.251,-45.31,,,,-53.817,58.643,-112.46,17.206,,102.659,,
03/31/2005,200.472,188.15,98.356,11.231,,,11.231,-97.265,-97.265,,-77.534,-58.246,0.0,,,-58.246,,,0.0,0.0,0.0,,,,,-19.288,-119.478,-92.075,32.562,,,,-61.506,50.968,-112.474,1.541,,3.46,,
06/30/2005,331.906,189.668,95.186,13.134,,-3.331,16.465,33.918,33.918,,-132.082,-67.15,0.0,,,-67.15,,,0.0,0.0,0.0,,,,,-64.932,-106.93,-45.201,103.459,,,,-164.243,20.052,-184.295,-0.945,,92.894,,
09/30/2005,419.125,149.094,99.268,60.673,,66.56,-5.887,110.09,110.09,,-92.934,-142.3,0.0,,,-142.3,,,-1.171,0.0,-1.171,,,,,50.537,-201.692,-44.709,-38.13,,,,-120.859,19.911,-140.77,2.006,,124.499,,
12/31/2005,165.727,217.86,99.161,-90.599,34.643,-11.139,-114.103,-60.695,-60.695,,-89.561,-64.059,0.0,,,-64.059,,,0.0,0.0,0.0,,,,,-25.502,49.917,0.0,99.385,,,,-49.463,51.084,-100.547,-0.005,,126.083,,
03/31/2006,200.828,154.068,97.869,104.97,,-3.998,108.968,-156.079,-156.079,,-341.034,-85.87,0.0,,,-85.87,,,0.0,0.0,0.0,,,,,-255.164,-252.233,-106.728,-100.351,,,,-45.307,79.141,-124.448,0.153,,-392.439,,
06/30/2006,293.566,206.373,99.177,-28.515,,-71.524,43.009,16.531,16.531,,-127.764,-107.64,0.0,,,-107.64,,,0.0,0.0,0.0,,,,,-20.124,-221.341,-52.854,2.391,,,,-178.337,29.632,-207.969,7.459,,-55.539,,
09/30/2006,416.55,173.979,106.125,103.1,,-21.624,124.724,33.346,33.346,,-228.438,-199.498,0.0,,,-199.498,,,-9.672,0.0,-9.672,,,,,-19.268,91.182,-52.849,119.31,,,,22.63,38.548,-15.918,2.091,,279.294,,
12/31/2006,285.559,142.879,101.081,65.178,34.611,-27.457,58.024,-23.579,-23.579,,-449.543,-110.579,0.0,,,-110.579,,,0.0,0.0,0.0,,,,,-338.964,-302.88,0.0,-222.194,,,,-83.774,28.555,-112.329,3.088,,-466.864,,
03/31/2007,236.917,242.533,109.947,15.821,26.05,-16.141,5.912,-131.384,-131.384,,-209.74,-124.658,0.0,,,-124.658,,,0.0,0.0,0.0,,,,,-85.082,-150.947,-120.14,2.158,,,,-34.251,78.255,-112.506,1.286,,-123.77,,
06/30/2007,366.26,244.809,112.537,46.583,24.559,-3.474,25.498,-37.669,-37.669,,-121.655,-130.702,0.0,,,-130.702,,,0.0,0.0,0.0,,,,,9.047,-210.096,-59.944,-3.164,,,,-150.494,37.108,-187.602,3.506,,34.509,,
09/30/2007,351.7,259.812,117.776,-42.71,,-68.417,25.707,16.822,16.822,,-237.317,-190.455,0.0,,,-190.455,,,-3.881,0.0,-3.881,,,,,-42.981,-47.065,-59.726,1.308,,,,4.192,41.879,-37.687,7.161,,67.318,,
12/31/2007,473.158,271.548,115.212,33.61,35.666,-1.473,-0.583,52.788,52.788,,-138.73,-121.176,0.0,,,-121.176,,,0.0,0.0,0.0,,,,,-17.554,-95.148,0.0,0.296,,,,-101.374,21.373,-122.747,5.93,,239.28,,
03/31/2008,212.747,276.184,116.847,30.764,,-9.388,40.152,-211.048,-211.048,,-198.562,-144.774,0.0,,,-144.774,,,0.0,0.0,0.0,,,,,-53.788,-203.948,-139.438,-0.401,,,,-72.887,80.721,-153.608,8.778,,-189.763,,
06/30/2008,544.256,297.089,120.877,52.772,,0.095,52.677,73.518,73.518,,-233.355,-152.175,0.0,,,-152.175,,,0.0,0.0,0.0,,,,,-81.18,-135.992,-69.558,-4.226,,,,-60.382,17.652,-78.034,-1.826,,174.909,,
09/30/2008,456.938,282.175,124.486,52.822,100.585,90.854,-138.617,-2.545,-2.545,,-212.377,-183.856,0.0,,,-183.856,,,-5.666,0.0,-5.666,,,,,-22.855,-149.992,-69.51,-2.721,,,,-65.627,29.985,-95.612,-12.134,,94.569,,
12/31/2008,265.504,312.068,116.459,-58.958,33.761,9.293,-102.012,-101.416,-101.416,2.297,-129.006,-120.434,0.0,,0.0,-120.434,-95.365,-25.069,,,,0.0,0.0,0.0,0.0,-8.572,-365.24,-82.102,0.835,0.928,,-0.093,-279.619,3.702,-283.321,-6.651,-4.116,-232.858,,
03/31/2009,260.25,261.288,117.337,50.717,22.709,-2.92,30.928,-171.781,-171.781,-4.093,-190.674,-154.009,0.0,,,-154.009,-127.825,-26.184,0.0,,,0.0,0.0,0.0,0.0,-36.665,-116.109,-76.604,-1.043,-0.944,,-0.099,-52.266,5.931,-58.197,17.897,-8.374,-54.907,,
06/30/2009,532.172,341.027,118.45,11.815,22.514,-28.0,17.301,58.228,58.228,,-394.396,-160.808,0.0,,,-160.808,-130.878,-29.93,0.0,,,0.0,0.0,0.0,0.0,-233.461,643.363,-79.202,737.731,1.621,736.207,-0.097,-5.716,24.192,-29.908,-9.45,7.75,788.889,,
09/30/2009,658.889,317.22,112.358,94.438,7.59,81.668,5.18,143.494,143.494,,-358.886,-259.533,0.0,,,-259.533,-231.128,-28.405,,,,51.022,51.022,0.0,0.0,-144.59,-241.71,-78.969,2.594,-0.409,3.025,-0.022,-165.335,13.245,-178.58,0.0,4.35,62.643,,
12/31/2009,394.52,316.376,123.751,-135.262,35.32,1.709,-172.291,78.576,78.576,,-141.829,-136.293,0.0,,0.0,-136.293,-110.797,-25.496,0.0,0.0,0.0,-274.756,0.0,-274.756,0.0,269.988,-466.673,-89.889,-197.337,-197.309,,-0.028,-179.447,11.686,-191.133,0.0,2.044,-211.938,,
03/31/2010,292.015,297.631,128.276,99.04,17.147,12.416,69.477,-220.488,-220.488,,-330.462,-143.673,0.0,,,-143.673,-118.8,-24.873,0.0,,,-6.611,0.0,-6.611,0.0,-180.946,-310.955,-84.343,-4.908,-4.887,,-0.021,-221.704,37.163,-258.867,0.0,-2.216,-351.618,,
06/30/2010,507.709,306.908,130.978,21.605,16.65,-7.037,11.992,47.885,47.885,,-406.977,-128.132,0.0,,,-128.132,-100.388,-27.744,-123.633,,,0.0,0.0,0.0,0.0,-155.212,-178.556,-86.112,1.729,1.748,,-0.019,-94.173,5.826,-99.999,0.0,-2.758,-80.582,,
09/30/2010,550.024,396.695,108.411,63.931,10.257,20.967,32.707,25.312,25.312,,173.642,-218.03,0.0,,,-218.03,-200.984,-17.046,0.963,0.963,,259.99,259.99,0.0,0.0,142.717,-266.503,-85.369,0.247,0.255,,-0.008,-181.381,18.62,-200.001,0.0,8.72,465.883,,
12/31/2010,466.109,315.937,123.192,60.905,34.081,-10.534,37.358,-28.63,-28.63,,-567.425,-97.508,0.0,0.0,0.0,-97.508,-79.842,-17.666,0.0,,,0.0,0.0,0.0,0.0,-469.842,135.987,-92.707,1023.084,31.826,991.265,-0.007,-794.39,42.501,-836.891,0.0,-1.305,33.366,,
03/31/2011,241.559,312.019,122.205,60.315,19.639,37.564,3.112,-256.438,-256.438,,-456.659,-129.9,0.0,,,-129.9,-113.846,-16.054,0.0,,,-204.97,0.0,-204.97,0.0,-121.776,-291.477,-90.159,4.954,4.961,0.0,-0.007,-206.272,14.628,-220.9,0.0,5.81,-500.767,,
06/30/2011,465.635,343.059,126.813,32.295,18.482,0.4,13.413,-29.614,-29.614,,193.0,-151.878,0.0,,0.0,-151.878,-127.58,-24.298,0.0,,,0.0,0.0,0.0,0.0,344.878,-252.763,-89.871,-3.189,-3.176,0.0,-0.013,-159.703,55.334,-215.037,0.0,3.577,409.449,,
09/30/2011,542.697,299.979,131.879,43.343,1.161,2.617,39.565,61.413,61.413,,-208.426,-225.971,0.0,,0.0,-225.971,-194.117,-31.854,1.144,,,-287.111,0.0,-287.111,0.0,303.597,-306.129,-88.462,0.632,0.64,0.0,-0.008,-218.299,8.874,-227.173,0.0,-10.897,17.245,,
12/31/2011,314.558,262.985,132.926,-3.718,34.355,29.171,-67.244,-80.19,-80.19,,-252.027,-114.916,0.0,0.0,0.0,-114.916,-102.413,-12.503,0.0,,,0.0,0.0,0.0,0.0,-135.758,959.167,-96.154,1456.452,-0.379,1488.285,-31.454,-396.137,3.736,-399.873,-4.994,-0.702,1020.996,,
03/31/2012,293.553,291.034,132.955,25.923,19.271,-10.292,16.944,-151.036,-151.036,,26.018,-129.453,0.0,,,-129.453,-112.103,-17.35,0.0,,,-50.891,0.0,-50.891,0.0,205.153,-681.656,-92.068,-5.793,2.053,0.0,-7.846,-588.789,11.345,-600.134,4.994,5.757,-356.328,,
06/30/2012,473.237,326.865,117.678,12.742,18.063,-24.553,19.232,113.407,113.407,,-422.161,-120.337,0.0,,,-120.337,-98.965,-21.372,0.0,,,0.0,0.0,0.0,0.0,-298.009,-333.864,-92.038,1.073,4.11,0.0,-3.037,-242.899,7.105,-250.004,0.0,-7.619,-290.407,,
09/30/2012,678.88,289.043,127.379,41.428,17.356,27.821,-3.749,114.342,114.342,,-251.942,-188.938,0.0,,,-188.938,-173.949,-14.989,0.0,,,-52.533,0.0,-52.533,0.0,-8.447,-313.819,-87.351,-4.198,-4.189,0.0,-0.009,-222.27,27.719,-249.989,0.0,8.503,121.622,,
12/31/2012,233.45,625.436,128.833,-69.751,36.835,-10.005,-96.581,-103.426,-103.426,,391.028,-95.219,0.0,,,-95.219,-80.385,-14.834,0.0,,,597.124,720.862,-123.738,0.0,-110.613,-378.817,-96.841,4.135,4.145,,-0.01,-286.111,13.888,-299.999,0.0,0.646,246.307,,
03/31/2013,209.454,275.637,136.644,64.794,21.428,9.108,34.258,-160.517,-160.517,,23.635,-134.559,0.0,,,-134.559,-116.948,-17.611,0.0,,,-15.173,-0.686,-14.487,0.0,173.32,-121.263,-96.572,-3.957,-3.952,,-0.005,-20.734,35.752,-56.486,0.0,-5.438,106.388,,
06/30/2013,392.983,301.55,138.204,-19.069,20.478,-28.095,-11.452,35.328,35.328,,-118.535,-158.408,0.0,,,-158.408,-141.691,-16.717,156.749,,,17.767,15.813,1.954,0.0,-134.643,-330.071,-96.192,-199.832,-199.829,,-0.003,-34.047,15.953,-50.0,0.0,-6.151,-61.774,,
09/30/2013,669.113,91.0,142.319,105.403,21.259,64.992,19.152,388.615,388.615,,-607.128,-199.814,0.0,,,-199.814,-182.976,-16.838,-156.749,,-156.749,1.282,1.011,0.271,0.0,-251.847,-137.849,-96.395,0.654,,,,-42.108,1.407,-43.515,0.0,3.943,-71.921,,
12/31/2013,355.0,271.0,142.0,17.0,42.0,-13.0,-12.0,-75.0,-75.0,0.0,-267.0,-118.0,0.0,0.0,0.0,-118.0,-99.0,-19.0,0.0,,,0.0,0.0,0.0,0.0,-149.0,-298.0,-106.0,-3.0,-3.0,0.0,0.0,-189.0,13.0,-202.0,0.0,-1.0,-211.0,,
03/31/2014,413.0,287.0,130.0,58.0,25.0,13.0,20.0,-38.0,-38.0,0.0,-231.0,-127.0,0.0,,,-127.0,-115.0,-12.0,0.0,,,-40.0,0.0,-40.0,0.0,-64.0,-124.0,-105.0,-4.0,3.0,0.0,-7.0,-15.0,6.0,-21.0,0.0,-6.0,52.0,,
06/30/2014,1207.0,326.0,413.0,582.0,91.0,-53.0,544.0,-114.0,-114.0,0.0,-730.0,-380.0,0.0,,,-380.0,-339.0,-41.0,0.0,,,-40.0,0.0,-40.0,0.0,-310.0,-701.0,-316.0,-3.0,-3.0,0.0,0.0,-382.0,25.0,-407.0,0.0,-5.0,-229.0,,
09/30/2014,539.0,301.0,149.0,92.0,22.0,21.0,49.0,-3.0,-3.0,0.0,-218.0,-273.0,0.0,0.0,0.0,-273.0,-253.0,-20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,-106.0,-105.0,-1.0,-1.0,0.0,0.0,0.0,,,0.0,-15.0,200.0,,
12/31/2014,286.0,236.0,139.0,20.0,48.0,-2.0,-26.0,-109.0,-109.0,0.0,368.0,-114.0,0.0,0.0,0.0,-114.0,-105.0,-9.0,0.0,,,-106.0,0.0,-106.0,0.0,588.0,6033.0,-116.0,6163.0,-1.0,6164.0,0.0,-14.0,31.0,-45.0,0.0,-8.0,6679.0,,
03/31/2015,228.0,216.0,138.0,20.0,44.0,-11.0,-13.0,-146.0,-146.0,0.0,-8197.0,-155.0,0.0,,,-155.0,-147.0,-8.0,0.0,,,-8201.0,0.0,-8201.0,0.0,159.0,1359.0,-116.0,1500.0,1503.0,0.0,-3.0,-25.0,9.0,-34.0,0.0,-18.0,-6628.0,,
06/30/2015,539.0,62.0,299.0,-35.0,46.0,-124.0,43.0,213.0,213.0,0.0,-174.0,-144.0,0.0,,,-144.0,-135.0,-9.0,0.0,,,-27.0,0.0,-27.0,0.0,-3.0,-726.0,-126.0,-657.0,-656.0,0.0,-1.0,57.0,,,0.0,9.0,-352.0,,
09/30/2015,678.0,181.0,315.0,-134.0,28.0,-199.0,37.0,316.0,316.0,0.0,-315.0,-220.0,0.0,,,-220.0,-209.0,-11.0,0.0,,,-80.0,0.0,-80.0,0.0,-15.0,-477.0,-127.0,-352.0,-349.0,0.0,-3.0,30.0,,,-28.0,-21.0,-135.0,,
