Date,Revenue,Rental Income,Real Estate Sales,Com & Fee Earn/Inc from REO,Mortgage Income,Other Operating Income,Operating Expenses,Property Operating Expenses,Real Estate Tax,Other Property Expense,General & Administrative,Depreciation & Amortization,Provision for Loan Losses,Cost of Real Estate Sold,Other Operating Expenses,Operating Income (Loss),Non-Operating (Income) Loss,Interest Expense,(Income) Loss from Affiliates,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",FFO Reconciliation,D&A of Con Real Estate,D&A of Uncon Real Estate,D&A of Non-Real Estate Assets,D&A from Disc Ops,Impairment of Assets,Disposal of Con Assets,Disposal of Uncon Assets,Disposal of Assets from Disc Ops,Income Taxes,Other FFO Adjustments,Funds from Operations,Other Abnormal Gains/(Losses),Adjusted Funds from Operations,Recurring Capital Expenditure,Accounting Adjustments,Funds Available For Distribution,AFFO Per Diluted Share,FAD Per Diluted Share,Dividend Per Share,AFFO Payout Ratio,FAD Payout Ratio,FFO Payout Ratio,Source: Bloomberg
09/30/1997,203.354004,192.181,,1.254,6.81,3.109,-120.883998,73.713997,,,3.831,43.339001,0.0,,0.0,82.470001,-32.150002,32.441002,0.0,-0.291,50.319999,0.0,,0.0,,,50.319999,,47.234001,,,30.886002,30.886002,,147.514008,0.21,0.21,0.21,164.649994,0.205,0.205,0.205,,,,,,,,,,,,73.039001,,73.039001,,,73.039001,0.443602,0.443602,0.3125,70.446093,70.446093,64.005531,
12/31/1997,237.641006,224.753006,,1.333,5.545,6.012,-143.779998,88.223,,,5.027,50.529999,0.0,,0.0,93.863003,-29.347001,39.262001,0.0,-9.915,64.516002,0.0,,0.0,,,64.516002,,60.687,,,38.962,38.962,,156.100006,0.25,0.25,0.25,174.658005,0.245,0.245,0.245,,,,,,,,,,,,78.333,,78.333,,,78.333,0.448494,0.448494,0.335,74.694488,74.694488,104.554914,
03/31/1998,286.341003,277.226013,,1.36,4.931,2.824,-176.057002,106.787003,,,4.88,64.389999,0.0,,0.0,110.283997,-49.008998,50.877998,0.0,-1.869,61.274998,0.0,,0.0,,,61.274998,,57.587002,,,35.895002,35.895002,,186.722,0.19,0.19,0.19,208.199997,0.19,0.19,0.19,,,,,,,,,,,,97.263,,97.263,,,97.263,0.467161,0.467161,0.335,71.709695,71.709695,66.374673,
06/30/1998,307.049988,294.144012,,1.43,5.29,6.186,-187.867997,114.957001,,,5.391,67.519997,0.0,,0.0,119.181999,-46.825001,56.048,0.0,-9.223,72.356998,0.0,,0.0,,,72.356998,,67.735001,,,46.043001,46.043001,,194.809998,0.235,0.235,0.235,216.457993,0.235,0.235,0.235,,,,,,,,,,,,103.004997,,103.004997,,,103.004997,0.475866,0.475866,0.335,70.397972,70.397972,63.660016,
09/30/1998,339.299011,329.71701,,1.414,4.184,3.984,-214.643002,132.832001,,,5.327,76.484001,0.0,,0.0,124.656002,-63.554001,65.179001,0.0,-1.625,61.102001,0.0,,0.0,,,61.102001,,56.571999,,,34.880999,34.880999,,194.177994,0.18,0.18,0.18,220.632004,0.18,0.18,0.18,,,,,,,,,,,,108.269997,,108.269997,,,108.269997,0.490727,0.490727,0.335,68.266117,68.266117,59.148428,
12/31/1998,404.759003,392.472992,,1.418,4.159,6.709,-254.507001,154.912003,,,6.12,93.474998,0.0,,0.0,150.251999,-68.250999,77.237,0.0,-8.986,82.000999,0.0,,0.0,,,82.000999,,76.311996,,,48.469997,48.469997,,226.880005,0.215,0.215,0.215,254.852005,0.21,0.21,0.21,,,,,,,,,,,,131.774002,,131.774002,,,131.774002,0.517061,0.517061,0.355,68.65729,68.65729,63.386555,
03/31/1999,416.136993,406.062012,,1.234,2.895,6.046,-256.930995,154.162994,,,5.867,96.901001,0.0,,0.0,159.306,-58.626,80.042,0.0,-21.416,100.68,0.0,,0.0,,,100.68,,93.554001,,,64.177,64.177,,237.912002,0.27,0.27,0.27,237.912002,0.27,0.27,0.27,,,,,,,,,,,,174.735992,,174.735992,,,174.735992,0.734456,0.734456,0.355,48.335068,48.335068,47.459599,
06/30/1999,422.321991,413.115997,0.0,1.18,2.749,5.277,-262.093997,156.813995,,,5.047,100.233002,0.0,,0.0,160.227997,-55.726995,80.117996,0.0,-24.391001,104.501001,0.0,,0.451,,,104.050001,,96.662003,,,68.928003,68.928003,,241.115997,0.285,0.2875,0.285,268.772003,0.285,0.2865,0.285,,,,,,,,,,,,151.166,,151.166,,,151.166,0.562432,0.562432,0.355,63.118729,63.118729,57.412382,
09/30/1999,435.187988,424.779999,0.0,1.018,2.858,6.532,-266.635998,161.242996,,,5.022,100.371002,0.0,,0.0,168.551995,-65.620999,84.128998,0.0,-18.507999,102.930996,0.0,,0.0,,,102.930996,,95.890999,,,67.883999,67.883999,,244.623992,0.28,0.28,0.28,244.623992,0.275,0.275,0.275,,,,,,,,,,,,183.251007,,183.251007,,,183.251007,0.749113,0.749113,0.38,50.726661,50.726661,50.726598,
12/31/1999,479.367188,467.779999,0.0,1.538,4.057,5.996,-295.850997,178.307999,,,6.36,111.182999,0.0,,0.0,183.520004,-67.764002,96.984001,0.0,-29.219999,115.756002,0.0,,0.0,,,115.756002,,107.774002,,,79.696003,79.696003,,253.576004,0.315,0.315,0.315,278.971985,0.315,0.315,0.315,,,,,,,,,,,,195.912003,,195.912003,,,195.912003,0.702264,0.702264,0.38,54.110698,54.110698,49.267015,
03/31/2000,481.187012,473.546997,0.0,1.4,2.762,3.478,-300.766009,182.182007,,,6.698,111.886002,0.0,,0.0,180.421005,-72.231004,96.452003,-4.223,-19.997999,108.190001,0.0,,0.0,,,108.190001,,101.139,,,72.751,72.751,,255.595994,0.285,0.285,0.285,281.37201,0.285,0.285,0.285,,,,,,,,,,,,180.011993,,180.011993,,,180.011993,0.639765,0.639765,0.38,59.3968,59.3968,53.955293,
06/30/2000,493.113007,479.192993,,1.334,2.737,9.849,-299.67,180.526001,,,6.518,112.625999,0.0,,0.0,193.443001,-24.019001,96.514,-4.841,-67.653999,169.424,0.0,,0.0,,,169.424,,152.658997,,,125.392996,125.392996,,258.144012,0.485,0.485,0.485,293.01999,0.48,0.48,0.48,,,,,,,,,,,,189.820007,,189.820007,,,189.820007,0.647806,0.647806,0.38,58.659568,58.659568,51.648929,
09/30/2000,531.729004,501.278992,0.0,1.876,2.783,25.791,-335.60901,218.376007,,,6.138,110.328003,0.0,,0.767,196.119995,-13.535997,96.433998,-5.525,-77.373001,182.583998,0.0,,0.0,,,182.583998,,169.315994,,,141.372993,141.372993,,262.824006,0.54,0.54,0.54,304.988006,0.53,0.53,0.53,,,,,,,,,,,,193.789001,,193.789001,,,193.789001,0.635399,0.635399,0.408,64.211646,64.211646,55.266809,
12/31/2000,524.310977,501.027018,0.0,1.91,2.91,18.464,-325.262981,185.763985,,,7.031,111.126996,0.0,,21.341,199.047999,-62.573998,82.694999,12.28,-32.401001,136.474001,0.0,,5.592,,,130.882001,,126.337009,,0.0,97.993011,97.993011,,259.495988,0.485,0.485,0.49,285.683994,0.44,0.44,0.445,,,,,,,,,,,,196.988984,,196.988984,,,196.988984,0.689535,0.689535,0.407,59.025324,59.025324,53.648496,
03/31/2001,521.893005,510.674988,0.0,1.972,2.744,6.502,-323.725995,204.483994,,,6.754,111.845001,0.0,,0.643,198.167,-52.026999,91.294998,-0.35,-38.917999,146.140001,0.0,,0.959,,,145.181001,,135.279999,,0.0,106.754,106.754,,265.197998,0.4,0.41,0.28,297.18399,0.4,0.405,0.275,,,,,,,,,,,,199.653,,199.653,,,199.653,0.671816,0.671816,0.4075,60.656477,60.656477,54.127912,
06/30/2001,522.638977,509.428009,0.0,2.168,6.019,5.024,-349.283994,227.617996,,,7.325,113.349998,0.0,,0.991,195.126999,-85.179997,96.519997,-6.553,-4.787,109.947002,0.0,,0.205,,,109.742002,,102.931,,0.0,74.038,74.038,,266.358002,0.28,0.26,0.26,293.940002,0.275,0.255,0.255,,,,,,,,,,,,202.548004,,202.548004,,,202.548004,0.689079,0.689079,0.4075,59.13687,59.13687,53.58779,
09/30/2001,525.95,518.096,0.0,1.665,0.023,6.166,-330.8,207.394,,,9.525,113.881,0.0,,0.0,195.15,-91.004,90.736,-0.925,1.193,104.146,0.0,,2.818,,,101.328,,93.851,,0.0,69.511,69.511,,268.252014,0.26,0.27,0.27,296.390992,0.26,0.27,0.27,,,,,,,,,,,,208.755997,,208.755997,,,208.755997,0.704326,0.704326,0.433,61.47718,61.47718,61.477039,
12/31/2001,584.153011,533.299983,0.0,1.693,0.0,49.16,-339.488006,161.526001,,,11.81,118.015005,0.0,,48.137,258.582001,-44.515007,69.424004,14.607,-39.515997,214.066994,0.0,,-3.028,,,217.094994,,141.523002,,0.0,117.163002,117.163002,,200.737504,0.71,0.71,1.07,200.737504,0.71,0.71,1.07,,,,,,,,,,,,213.781029,,213.781029,,,213.781029,1.064978,1.064978,0.4325,40.611167,40.611167,48.741523,
03/31/2002,490.962,485.144,0.0,1.718,0.0,4.1,-315.493,193.701,,,10.8,110.992,0.0,,0.0,175.469,-80.124,85.716,-0.226,-5.366,95.345,0.0,,-12.78,,,108.125,,100.878,,0.0,76.353,76.353,,271.094,0.28,0.23,0.23,297.229,0.28,0.23,0.23,,,,,,,,,,,,192.07,,192.07,,,192.07,0.646202,0.646202,0.4325,66.929527,66.929527,61.044492,
06/30/2002,484.216,476.418,0.0,2.592,0.0,5.206,-310.567,188.576,,,11.527,110.464,0.0,,0.0,173.649,-88.851,88.157,-0.007,0.701,84.798,0.0,,-36.361,,,121.159,,113.297,,0.0,89.041,89.041,,273.146,0.33,0.2,0.2,299.494,0.32,0.2,0.2,,,,,,,,,,,,196.858002,,196.858002,,,196.858002,0.657302,0.657302,0.4325,65.799284,65.799284,60.010588,
09/30/2002,471.256989,466.378998,0.0,2.647,2.231,0.0,-311.205005,191.201004,,,10.673,109.331001,0.0,,0.0,160.052002,-109.749001,84.485001,7.851,17.413,50.303001,0.0,,-43.900002,,,94.203003,,88.661003,,0.0,64.473003,64.473003,,273.942993,0.24,0.09,0.15,299.057007,0.23,0.08,0.14,,,,,,,,,,,,169.914001,,169.914001,,,169.914001,0.568166,0.568166,0.433,76.210132,76.210132,69.729394,
12/31/2002,451.127014,445.209015,0.0,2.625,3.293,0.0,-302.527003,181.520004,,,13.492,107.514999,0.0,,0.0,148.599998,-79.228,82.666,-3.728,0.29,69.371998,0.0,,-57.182999,,,126.554997,,118.476997,,0.0,94.294998,94.294998,,269.705994,0.35,0.15,0.15,294.713989,0.35,0.15,0.15,,,,,,,,,,,,181.529999,,181.529999,,,181.529999,0.615953,0.615953,0.433,70.297558,70.297558,70.370185,
03/31/2003,441.627991,435.803009,0.0,2.488,0.0,3.337,-300.853994,183.899994,,,11.176,105.778,0.0,,0.0,140.773998,-79.726997,80.754997,-1.319,0.291,61.047001,0.0,,-83.525002,,,144.572003,,135.347,,0.0,111.167,111.167,,270.678,0.41,0.13,0.13,294.507996,0.41,0.13,0.13,,,,,,,,,,,,169.852997,,169.852997,,,169.852997,0.576735,0.576735,0.433,75.077841,75.077841,68.923129,
06/30/2003,443.907013,434.733002,0.0,5.39,0.0,3.784,-296.459007,181.563004,,,8.97,105.926003,0.0,,0.0,147.447998,-83.484,84.806,-1.612,0.29,63.963998,0.0,,-81.725998,,,145.689996,,136.391006,,0.0,112.154006,112.154006,,271.380005,0.41,0.13,0.13,299.21701,0.41,0.13,0.13,,,,,,,,,,,,170.229004,,170.229004,,,170.229004,0.568915,0.568915,0.433,76.109806,76.109806,69.029366,
09/30/2003,445.380005,435.687988,0.0,3.083,0.0,6.609,-301.424008,186.139008,,,9.133,106.152,0.0,,0.0,143.956001,-85.157999,83.014999,1.852,0.291,58.798002,0.0,,-87.461998,,,146.26,,132.139008,,0.0,112.575009,112.575009,,272.786987,0.41,0.12,0.12,297.94101,0.41,0.12,0.12,,,,,,,,,,,,168.475998,,168.475998,,,168.475998,0.565468,0.565468,0.433,76.57379,76.57379,70.027781,
12/31/2003,424.958995,419.051008,0.0,3.412,0.0,9.607999,-218.363986,134.358001,,,9.531001,74.474984,0.0,,0.0,122.454006,-84.024012,77.479012,6.255,0.29,38.429994,0.0,,-136.437004,,,174.866998,,119.43396,,-20.237,90.742961,90.742961,,274.457,0.34,-0.11,-0.11,299.516,0.32,-0.12,-0.12,,,,,,,,,,,,,,,,,,,,0.431,,,,
03/31/2004,464.769,459.654,0.0,3.007,0.0,2.108,-323.345,197.747,,,9.988,115.61,0.0,,0.0,141.424,-86.256,81.284,7.406,-2.434,55.168,0.0,,-69.684,,,124.852,,117.065,,0.0,98.308999,98.308999,,277.498,0.35,0.12,0.12,301.781006,0.35,0.12,0.12,,,,,,,,,,,,156.106995,,156.106995,,,156.106995,0.517286,0.517286,0.433,83.706163,83.706163,76.881883,
06/30/2004,491.502,485.062,0.0,3.534,0.0,2.906,-347.81,210.781,,,13.048,123.981,0.0,,0.0,143.692,-86.674,88.254,0.391,-1.971,57.018,0.0,,-77.927,,,134.945,,127.29,,0.0,113.637,113.637,,278.949005,0.39,0.12,0.12,302.200989,0.39,0.11,0.11,,,,,,,,,,,,14.465011,,14.465011,,,14.465011,0.047866,0.047866,0.433,904.617551,904.617551,834.047046,
09/30/2004,456.564,454.128,0.0,2.436,0.0,0.0,-341.232,213.101,,,11.961,116.17,0.0,,0.0,115.332,-80.657,83.643,-0.331,-2.655,34.675,0.0,,-63.682,,,98.357,,87.509,,0.0,74.163,74.163,,280.167,0.26,0.05,0.05,304.028,0.26,0.05,0.05,,,,,,,,,,,,153.225,,153.225,,,153.225,0.503983,0.503983,0.4325,85.816355,85.816355,79.081238,
12/31/2004,451.944,449.416,0.0,2.528,0.0,0.0,-425.685,308.147,,,14.32,103.218,0.0,,0.0,112.307,-80.237,86.048,-0.141,-5.67,32.07,0.0,,-132.153,,,164.223,,150.633,,0.0,142.642,142.642,,282.329,0.5,0.05,0.05,306.841,0.48,0.05,0.05,,,,,,,,,,,,174.291,,174.291,,,174.291,0.568017,0.568017,0.4315,75.965995,75.965995,72.410378,
03/31/2005,443.964,441.392,0.0,2.572,0.0,0.0,-325.828,192.527,,,18.07,115.231,0.0,,0.0,118.136,-21.31,91.198,0.058,-69.946,96.826,0.0,,-139.778,,,236.604,,227.039,,0.0,214.014,214.014,,284.511,0.75,0.26,0.26,308.576,0.74,0.26,0.26,,,,,,,,,,,,229.817,,229.817,,,229.817,0.744766,0.744766,0.4325,58.071909,58.071909,53.54304,
06/30/2005,415.23,412.207,0.0,3.023,0.0,0.0,-298.967,177.377,,,13.758,107.832,0.0,,0.0,116.263,-88.102,90.733,0.157,-2.788,28.161,0.0,,-116.962,,,145.123,,141.344,,0.0,128.326,128.326,,285.283,0.45,0.04,0.04,309.979,0.44,0.04,0.04,,,,,,,,,,,,173.488,,173.488,,,173.488,0.559677,0.559677,0.4325,77.276767,77.276767,71.120134,
09/30/2005,430.758,428.357,0.0,2.401,0.0,0.0,-321.681,195.869,,,14.442,111.37,0.0,,0.0,109.077,-91.618,93.937,0.235,-2.554,17.459,0.0,,-252.691,,,270.15,,267.524,,,250.247,250.247,,286.182,0.87,-0.01,-0.01,286.182,0.87,-0.01,-0.01,,,,,,,,,,,,175.192,,175.192,,,175.192,0.61217,0.61217,0.4325,70.650324,70.650324,70.650324,
12/31/2005,396.307,390.462,0.0,2.244,0.0,3.601,-302.105,172.809,,,24.135,105.161,0.0,,0.0,94.202,-71.59,92.982,-2.25,-19.142,22.612,0.0,,-205.039,,,227.651,,225.886,,-4.359,215.205,215.205,,287.064,0.75,0.035,0.035,313.903,0.685,0.03,0.03,,,,,,,,,,,,206.129,,206.129,,,206.129,0.656665,0.656665,0.4425,67.385995,67.385995,61.618103,
03/31/2006,462.458,459.971,0.0,2.487,0.0,0.0,-335.658,193.942,,,13.04,128.676,0.0,,0.0,126.8,-105.408,107.293,0.23,-2.115,21.392,0.0,377.815,-360.26,,,381.652,1.412,377.815,-10.095,0.0,367.72,367.72,,288.88,1.27,0.03,0.03,314.049,1.25,0.03,0.03,,128.676,1.55,-1.796,18.047,,,-0.329,-340.826,,,174.454,,174.454,-28.05,,146.404,0.554375,0.465238,0.4425,79.81964,95.112534,73.273986,
06/30/2006,467.533,465.213,0.0,2.32,0.0,0.0,-327.212,177.722,,,9.584,139.906,0.0,,0.0,140.321,-103.752,105.887,0.145,-2.28,36.569,0.0,537.972,-126.274,,,162.843,3.448,160.157,-20.168,0.0,150.084,150.084,,289.46,0.52,0.08,0.08,314.698,0.51,0.08,0.08,,271.924,2.563,-3.682,25.429,,,-0.352,-450.693,,,366.441,,366.441,-30.852,,335.589,1.163179,1.065247,0.4425,38.042289,41.539665,34.954072,
09/30/2006,465.35,463.279,0.0,2.071,0.0,0.0,-324.566,166.863,,,14.448,143.255,0.0,,0.0,140.784,-102.025,112.093,0.172,-10.24,38.759,0.0,69.811,-33.385,,,72.144,2.336,69.811,-25.741,,56.356,56.356,,290.036,0.19,0.08,0.08,315.886,0.19,0.08,0.08,,131.683,0.91,-1.885,11.524,,,-0.018,-5.495,,-13.455,195.411,,195.411,-33.831,5.4,166.98,0.616872,0.527122,0.4425,71.732821,83.946474,65.677434,
12/31/2006,321.67,319.447,0.0,2.223,0.0,0.0,-148.094,135.549,,,12.545,95.671,0.0,,0.0,98.363,-136.552,102.659,-0.286,34.179,13.088,0.0,465.061,-500.996,,,514.084,-0.284,465.061,-7.455,-3.965,457.606,457.606,,291.669,1.57,-0.15,-0.04,317.076,1.44,-0.15,-0.04,,137.033,0.865,-2.225,14.877,,,,-461.586,8.005,,154.501,,154.501,-31.175,,123.326,0.486433,0.388282,0.4625,95.079805,119.114582,87.298872,
03/31/2007,475.849,473.582,0.0,2.267,0.0,0.0,-355.282,206.384,,,9.369,138.932,0.0,,0.597,120.567,-110.904,112.877,0.229,-2.202,9.663,0.0,126.237,-117.483,,,127.146,0.929,126.237,-7.424,0.0,118.813,118.813,,292.251,0.41,0.01,0.01,316.265,0.4,0.01,0.01,,152.821,0.943,-2.035,1.853,,,,-100.118,-0.187,,173.019,,173.019,-29.945,,143.074,0.546156,0.451631,0.4625,84.682737,102.406604,78.122107,
06/30/2007,491.56,489.124,0.0,2.436,0.0,0.0,-355.618,200.715,,,11.447,143.456,0.0,,0.0,135.942,-117.398,125.4,0.134,-8.136,18.544,-0.101,282.401,-265.027,,,283.47,1.231,282.401,-7.416,0.0,274.985,274.985,,284.424,0.97,0.04,0.04,307.631,0.95,0.03,0.03,,143.456,1.138,-2.138,13.611,,,,-247.666,,,184.617,,184.617,-29.067,,155.55,0.599151,0.504818,0.4625,77.192559,91.617221,71.253514,
09/30/2007,501.102,498.868,0.0,2.234,0.0,0.0,-362.078,205.725,,,12.366,143.987,0.0,,0.0,139.024,-120.861,130.245,-3.177,-6.207,18.163,-0.77,457.707,-440.952,,,458.345,,457.707,-3.628,-6.144,447.246,447.246,,272.086,1.64,0.02,0.02,294.331,1.62,0.02,0.02,,143.987,1.181,-1.964,10.307,,,-2.629,-426.957,,-5.808,172.196,,172.196,-29.092,,143.104,0.584074,0.485396,0.4625,79.185224,95.283002,73.079383,
12/31/2007,505.017,502.771,0.0,2.246,0.0,0.0,-337.722,183.534,,,10.911,143.277,0.0,,0.0,167.295,-116.502,124.888,-0.147,-8.239,50.793,-1.053,123.277,-91.345,,,141.085,2.709,123.277,-3.645,-0.01,119.632,119.632,,269.197,0.44,0.1,0.1,290.658,0.44,0.1,0.1,,143.277,1.117,-2.142,7.102,,,,-78.043,,,193.835,,193.835,-26.863,,166.972,0.665805,0.573533,0.4825,72.46872,84.127724,67.034982,
03/31/2008,502.641,500.347,,2.294,0.0,0.0,-221.937,209.52,,,12.417,141.195,0.0,,0.0,139.509,-118.58,121.678,0.095,-3.193,20.929,-2.995,147.528,-129.594,,,147.528,-0.272,138.123,-3.633,0.0,134.49,134.49,1.442,268.784,0.5,0.018215,0.02858,289.317,0.5,0.018215,0.0272,,141.195,1.034,-2.051,6.385,,,,-122.517,,0.366,168.035,,168.035,-26.725,,141.31,0.579909,0.487678,0.4825,83.202715,98.938279,77.179326,
06/30/2008,513.283,510.567,0.0,2.716,0.0,0.0,-215.115,203.341,,,11.774,139.812,0.0,,0.0,158.356,-117.58,121.689,0.095,-4.204,40.776,-1.628,139.993,-100.845,,,139.993,-1.394,130.251,-3.626,0.0,126.625,126.625,0.0,269.608,0.47,0.119,0.119,290.445,0.46,0.117,0.117,,139.812,1.006,-2.03,6.782,,,,-92.28,,-3.456,184.807,,184.807,-27.149,,157.658,0.635342,0.542007,0.4825,75.943354,89.020941,70.390115,
09/30/2008,511.006,508.619,0.0,2.387,0.0,0.0,-217.449,207.6,,,9.849,145.382,0.0,0.0,0.0,148.175,-120.764,124.755,-0.25,-3.741,27.411,-1.317,187.125,-161.031,,,187.125,-0.11,175.874,-3.628,0.0,172.246,172.246,0.0,270.345,0.64,0.041484,0.041484,290.795,0.63,0.041484,0.041484,,145.382,1.063,-1.976,8.38,,,,-150.255,,0.447,186.428,,186.428,-29.702,,156.726,0.640173,0.53818,0.4825,75.370243,89.65407,69.968815,
12/31/2008,501.119,497.801,0.0,3.318,0.0,0.0,-206.587,195.676,,,10.911,146.718,0.0,,0.0,147.814,-226.151,132.045,-2.709,96.815,-78.337,0.653,-38.233,-39.451,,,-38.233,-0.889,-36.626,-3.62,0.0,-40.246,-40.246,,271.293,-0.15,-0.29,0.14,271.293,-0.15,-0.29,0.14,,146.718,1.054,-2.212,8.254,,,-2.876,-27.805,,-1.289,79.102,,79.102,-26.501,,52.601,0.273226,0.181689,0.4825,176.593585,265.563502,165.481116,
