Date,Last Price,Period-over-Period % Change,Open Price,High Price,Low Price,Market Capitalization,Current Shares Outstanding,Equity Float,Source: Bloomberg
03/31/2004,13.541379,5.552203,13.022641,15.61633,11.969681,752.3673,55.574822,47.04783,
06/30/2004,13.61106,0.51458,13.510409,15.082108,9.523097,756.203689,55.561129,55.305136,
09/30/2004,14.114313,3.697383,13.765907,15.445998,12.550357,784.181659,55.558548,55.298162,
12/31/2004,31.178464,120.899616,14.122056,32.262393,14.122056,1744.074894,55.559321,55.307461,
03/31/2005,25.673649,-17.655823,30.96942,31.704944,20.749511,1437.263264,55.943572,55.694165,
06/30/2005,32.905009,28.166466,25.983343,38.711775,23.27739,1850.24362,55.982062,55.71651,
09/30/2005,53.205464,61.694118,33.098568,55.164279,31.410734,3058.809136,56.229789,50.397457,
12/31/2005,50.325308,-5.413271,53.306114,53.78614,43.666882,2901.419449,57.490518,51.674846,
03/31/2006,73.521403,46.092308,50.325308,76.881585,49.589784,4253.642465,57.713319,51.897646,
06/30/2006,56.464995,-23.199242,74.125307,94.22446,50.580805,3271.6398,57.85578,57.588034,
09/30/2006,47.04,-16.691749,57.34,57.45,43.68,4226.502297,89.849098,88.9608,
12/31/2006,54.8,16.496599,47.23,58.5,46.0,4924.601883,89.849098,88.9606,
03/31/2007,46.68,-14.817518,55.95,58.74,46.22,4618.005048,98.0961,87.8485,
06/30/2007,49.04,5.055698,46.72,52.75,45.43,4852.132582,98.929001,88.5307,
09/30/2007,37.55,-23.429853,49.0,50.13,35.42,3719.041131,98.942299,87.1272,
12/31/2007,35.79,-4.687084,37.8,40.54,34.69,3721.15788,99.042397,85.0246,
03/31/2008,36.82,2.877899,35.94,38.38,29.71,3647.713069,99.055397,83.1528,
06/30/2008,29.57,-19.690386,36.76,40.25,29.48,2929.685511,99.068802,83.1803,
09/30/2008,25.6,-13.425769,29.0,35.0,23.12,2538.33257,99.076302,83.2122,
12/31/2008,8.04,-68.59375,25.14,26.39,5.5,835.93488,99.156898,83.2896,
03/31/2009,7.61,-5.348259,8.06,12.47,4.16,754.994705,99.178802,82.846,
06/30/2009,10.07,32.325887,7.49,17.88,7.17,999.103771,99.210899,82.9204,
09/30/2009,17.18,70.60576,10.26,19.88,8.71,1705.840322,99.215897,82.9113,
12/31/2009,14.05,-18.218859,17.19,17.93,12.45,1460.8066,99.292198,82.9817,
03/31/2010,17.16,22.135231,14.22,17.63,11.21,1707.089996,99.300201,82.6407,
06/30/2010,12.08,-29.60373,17.27,25.59,12.0,1202.224105,99.480797,82.8532,
09/30/2010,13.19,9.188742,12.08,14.42,11.34,1356.879913,99.521896,82.7686,
12/31/2010,16.83,27.596664,13.48,17.32,11.46,1731.40308,102.871902,86.1486,
03/31/2011,16.66,-1.010101,17.15,19.9065,15.38,1719.231765,102.875603,86.2193,
06/30/2011,14.34,-13.92557,16.8,16.81,12.915,1509.869255,103.195198,86.5442,
09/30/2011,6.73,-53.06834,14.34,14.71,6.55,708.725505,105.290703,88.6532,
12/31/2011,10.16,50.965825,6.65,10.99,5.75,1070.14264,105.308403,88.7183,
03/31/2012,17.2,69.291339,10.55,19.44,10.23,1820.418691,105.792,88.9099,
06/30/2012,19.05,10.755814,17.17,19.35,13.12,2044.780289,105.838303,88.9684,
09/30/2012,21.95,15.223097,18.97,24.23,15.25,2357.737717,107.337502,90.4636,
12/31/2012,28.07,27.881549,22.15,28.52,20.84,3027.3495,107.414001,90.6195,
03/31/2013,26.44,-5.806911,29.14,30.97,25.8,2868.822413,107.874702,91.099,
06/30/2013,23.05,-12.821483,26.42,29.44,21.35,2502.613989,108.50312,91.70872,
09/30/2013,28.58,23.991323,23.28,29.2,22.55,3106.47312,108.573273,91.77225,
12/31/2013,28.38,-0.69979,28.54,29.06,24.98,3896.97132,108.693954,91.8852,
03/31/2014,32.72,15.292459,28.63,36.22,28.335,4510.679764,137.44136,120.7694,
06/30/2014,30.13,-7.915648,32.86,33.58,28.57,4356.338005,137.856964,121.2223,
09/30/2014,27.49,-8.762031,30.2,30.47,26.09,3978.680701,144.584732,127.9772,
12/31/2014,27.99,1.818843,27.47,29.86,24.53,4052.05632,144.731934,129.0065,
03/31/2015,26.7,-4.608789,28.15,31.38,24.61,3876.6798,144.846863,89.95499,
06/30/2015,27.79,4.082397,26.62,29.35,25.52,4042.02771,145.381714,90.52483,
09/30/2015,26.62,-4.210148,28.03,32.879,25.67,3877.0699,145.448853,90.5429,
12/31/2015,24.29,-8.752817,26.66,28.03,22.75,3538.25143,145.645279,90.74597,
03/31/2016,24.81,2.140799,23.99,24.99,15.85,3618.61293,145.846588,90.86282,
06/30/2016,26.96,8.665861,24.62,29.98,24.3,3934.91984,145.852997,91.01374,
09/30/2016,25.85,-4.117211,26.98,30.84,25.31,3776.14215,145.953995,91.12574,
12/31/2016,28.88,11.72147,25.66,32.26,23.71,4221.30296,146.079422,91.25922,
03/31/2017,31.8,10.110803,29.29,34.67,28.14,4636.1856,146.235825,91.38644,
06/30/2017,29.02,-8.742138,31.91,32.97,27.89,4071.70914,145.792158,91.155006,
09/30/2017,32.65,12.508615,29.21,32.96,25.6,4454.66805,143.409835,88.784065,
12/31/2017,38.56,18.101072,32.07,38.91,31.701,5434.72352,141.47453,86.829529,
03/31/2018,40.42,4.823651,38.66,41.18,32.09,5644.760477,141.056498,81.932785,
06/30/2018,43.12,6.679861,40.4,43.4,38.94,6014.945706,139.462508,80.657967,
09/30/2018,43.31,0.440631,43.13,43.47,42.95,6052.824564,139.748196,85.354622,
12/31/2018,42.66,-1.500808,43.3,43.42,41.82,5975.42886,139.75582,85.304588,
