Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Pensions,Other Post-Ret Benefits,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
09/30/2007,85.488998,74.279,15.176,59.103001,0.171,0.171,,1.035,0.774,0.122,0.139,0.0,1.598,,,77.083,5.058,,,0.0,3.348,0.0,0.0,0.0,3.348,8.406,,2.088,2.088,,,1.375,1.375,0.0,0.0,,,2.644,,,2.644,6.107,61.375,61.375,0.0,0.0,,0.683,,,,,0.683,62.058,68.165,0.0,181.313004,,,0.0,-164.022995,0.033997,17.324005,0.0,17.324005,85.489005,
12/31/2007,77.259003,64.323,23.115,41.208,0.215,0.215,,1.139,0.649,0.13,0.36,0.0,1.614,,,67.291,6.649,14.157,-7.508,0.0,3.319,0.0,0.0,0.0,3.319,9.968,,4.535,4.535,,,1.375,1.375,0.0,0.0,,,2.537,,,2.537,8.447,61.030998,61.030998,0.0,0.0,,0.666,,,,,0.666,61.696998,70.143998,0.0,183.354004,,,0.0,-176.251999,0.013,7.115005,0.0,7.115005,77.259003,
03/31/2008,68.962,50.584,23.952,26.632,0.321,0.321,,1.824,1.063,0.212,0.549,0.0,1.118,,,53.847,6.854,,,0.0,8.261,,,,8.261,15.115,,1.281,1.281,,,2.275,,,,,,4.541,,,4.541,8.097,62.788,,,,,0.969,,,,,0.969,63.757,71.854,0.0,186.279,,,,-189.224,0.053,-2.892,0.0,-2.892,68.962,
06/30/2008,57.053,37.859,4.963,32.896,0.568,0.568,,2.771,1.338,0.283,1.15,0.0,1.757,,,42.955,6.543,,,0.0,7.555,,,,7.555,14.098,,1.239,1.239,,,2.275,,,,,,5.095,,,5.095,8.609,62.219,,,,,0.933,,,,,0.933,63.152,71.761,0.0,188.635,,,0.0,-203.298,-0.045,-14.708,0.0,-14.708,57.053,
09/30/2008,43.075,25.383,4.642,20.741,0.429,0.429,,2.59,1.552,0.148,0.89,0.0,1.382,,,29.784,6.442,,,0.0,6.849,,,,6.849,13.291,,1.229,1.229,,,2.275,,,,,,4.323,,,4.323,7.827,61.65,,,,,0.891,,,,,0.891,62.541,70.368,0.0,190.774,,,0.0,-217.986,-0.081,-27.293,0.0,-27.293,43.075,
12/31/2008,43.882,27.068,12.7,14.368,1.118,1.118,,2.446,1.426,0.198,0.822,0.0,1.426,,,32.058,6.105,16.65,-10.545,0.0,5.719,0.0,,,5.719,11.824,,4.599,4.599,,,1.931,,,,,,8.466,,,8.466,14.996,41.796,,,,,6.558,,,,,6.558,48.354,63.35,0.0,218.166,,,0.0,-237.684,0.05,-19.468,0.0,-19.468,43.882,
03/31/2009,77.946,61.452,9.276,52.176,1.345,1.345,0.0,2.365,1.104,0.245,1.016,0.0,1.344,,1.344,66.506,6.403,,,0.0,5.037,,,,5.037,11.44,,5.961,1.368,0.119,4.474,1.588,0.0,,,,1.588,7.448,4.173,,0.0,14.997,42.706,42.706,,,,5.089,,,,,0.916,47.795,62.792,0.0,265.967,0.046,265.921,,-250.826,0.013,15.154,0.0,15.154,77.946,
06/30/2009,65.101,48.874,4.208,44.666,2.067,2.067,0.0,1.363,0.699,0.26,0.404,0.0,1.819,,1.819,54.123,6.495,,,0.0,4.483,,,,4.483,10.978,,7.276,0.956,0.831,5.489,1.244,0.0,,,,1.244,8.104,1.953,,0.0,16.624,43.667,43.667,,,,2.833,,,,,0.88,46.5,63.124,0.0,268.07,0.046,268.024,,-266.156,0.063,1.977,0.0,1.977,65.101,
09/30/2009,53.956,37.718,6.362,31.356,2.487,2.487,0.0,1.932,0.977,0.207,0.748,0.0,1.239,,1.239,43.376,6.731,,,0.0,3.849,,,,3.849,10.58,,7.933,2.024,0.119,5.79,0.9,0.0,,,,0.9,8.702,,,0.0,17.535,44.683,44.683,,,,0.839,,,,,0.839,45.522,63.057,0.0,270.542,0.046,270.496,,-279.679,0.036,-9.101,0.0,-9.101,53.956,
12/31/2009,46.948,28.016,3.577,24.439,3.49,3.49,0.0,2.641,1.613,0.398,0.63,0.0,2.773,0.0,2.773,36.92,6.422,19.221,-12.799,0.0,3.606,0.0,0.0,0.0,3.606,10.028,,10.151,2.6,0.831,6.72,0.9,0.0,0.0,0.0,,0.9,7.745,0.0,0.0,0.0,18.796,45.757,45.757,0.0,0.0,,0.84,0.0,0.0,0.0,0.0,0.84,46.597,65.393,0.0,272.776,0.046,272.73,,-291.208,-0.013,-18.445,0.0,-18.445,46.948,
03/31/2010,68.314,49.921,10.7,39.221,3.801,3.801,0.0,3.851,1.778,0.271,1.802,0.0,1.436,,1.436,59.009,6.88,,,0.0,2.425,,,,2.425,9.305,,9.16,2.173,0.012,6.975,0.9,0.0,,,,0.9,5.768,,,0.0,15.828,4.968,4.968,,,,0.791,,,,,0.791,5.759,21.587,0.0,358.248,0.058,358.19,,-311.481,-0.04,46.727,0.0,46.727,68.314,
06/30/2010,60.565,40.081,6.09,33.991,4.661,4.661,0.0,4.087,2.105,0.353,1.629,0.0,1.614,,1.614,50.443,7.775,,,0.0,2.347,,,,2.347,10.122,,10.567,2.212,0.055,8.3,0.9,0.0,,,,0.9,4.047,,,0.0,15.514,3.283,3.283,,,,0.75,,,,,0.75,4.033,19.547,0.0,364.191,0.058,364.133,,-323.168,-0.005,41.018,0.0,41.018,60.565,
09/30/2010,54.105,29.909,5.529,24.38,5.102,5.102,0.0,6.353,3.934,0.529,1.89,0.0,3.124,,3.124,44.488,9.24,,,0.0,0.377,,,,0.377,9.617,,12.698,4.138,,8.56,0.75,0.0,,,,0.75,3.56,0.881,,0.0,17.008,0.0,0.0,,,,1.853,,,,,0.972,1.853,18.861,0.0,371.849,0.06,371.789,,-336.566,-0.039,35.244,0.0,35.244,54.105,
12/31/2010,77.164,47.113,4.889,42.224,6.671,6.671,0.0,8.112,5.041,0.575,2.496,0.0,3.465,0.0,3.465,65.361,10.763,25.787,-15.024,0.0,1.04,0.0,0.0,0.0,1.04,11.803,,11.08,1.758,,9.322,0.525,0.0,0.0,0.0,,0.525,3.524,0.0,0.0,0.0,15.129,0.0,0.0,0.0,0.0,,1.042,0.0,0.0,0.0,0.0,1.042,1.042,16.171,0.0,407.437,0.062,407.375,,-346.378,-0.066,60.993,0.0,60.993,77.164,
03/31/2011,66.555,37.331,3.805,33.526,7.158,7.158,0.0,6.425,3.24,0.458,2.727,0.0,3.518,,3.518,54.432,11.748,,,0.0,0.375,,,,0.375,12.123,,8.937,2.001,,6.936,0.3,0.0,,,,0.3,2.358,0.571,,0.0,11.595,0.0,0.0,,,,1.598,,,,,1.027,1.598,13.193,0.0,411.673,0.063,411.61,,-358.228,-0.083,53.362,0.0,53.362,66.555,
06/30/2011,136.369,105.028,33.889,71.139,8.694,8.694,0.0,6.258,2.46,0.74,3.058,0.0,4.0,,4.0,123.98,12.016,,,0.0,0.373,,,,0.373,12.389,,11.368,2.083,,9.285,0.075,0.0,,,,0.075,2.333,,,0.0,13.776,0.0,0.0,,,,1.018,,,,,1.018,1.018,14.794,0.0,487.271,0.068,487.203,,-365.595,-0.101,121.575,0.0,121.575,136.369,
09/30/2011,128.793,97.317,17.523,79.794,9.003,9.003,0.0,6.455,3.139,1.42,1.896,0.0,2.457,,2.457,115.232,12.524,,,0.0,1.037,,,,1.037,13.561,,13.006,2.652,,10.354,0.0,0.0,,,,0.0,1.737,,,0.0,14.743,0.0,0.0,,,,0.985,,,,,0.985,0.985,15.728,0.0,492.032,0.068,491.964,,-378.873,-0.094,113.065,0.0,113.065,128.793,
12/31/2011,120.475,81.911,2.553,79.358,12.547,12.547,0.0,8.171,4.577,0.601,2.993,0.0,1.781,0.0,1.781,104.41,15.019,31.563,-16.544,0.0,1.046,0.0,0.0,0.0,1.046,16.065,,13.15,2.807,,10.343,0.0,0.0,0.0,0.0,,,1.591,0.281,0.0,0.0,14.741,0.0,0.0,0.0,0.0,,1.244,0.0,0.0,0.0,0.0,0.963,1.244,15.985,0.0,495.694,0.068,495.626,,-391.124,-0.08,104.49,0.0,104.49,120.475,
03/31/2012,117.962,70.184,5.119,65.065,12.543,12.543,0.0,8.044,4.294,0.931,2.819,0.0,2.051,,2.051,92.822,16.206,,,0.0,8.934,7.772,3.162,4.61,1.162,25.14,,14.231,1.952,,12.279,1.845,0.0,,,,1.845,0.0,0.834,,0.0,16.076,0.0,0.0,,,,2.335,,,,,1.501,2.335,18.411,0.0,504.842,0.069,504.773,,-405.188,-0.103,99.551,0.0,99.551,117.962,
06/30/2012,110.522,61.188,5.985,55.203,12.9,12.9,0.0,7.378,4.177,0.933,2.268,0.0,2.527,,2.527,83.993,17.768,,,0.0,8.761,7.624,3.162,4.462,1.137,26.529,,15.462,2.021,,13.441,1.499,0.0,,,,1.499,0.0,0.702,,0.0,16.961,0.0,0.0,,,,2.253,,,,,1.551,2.253,19.214,0.0,511.275,0.069,511.206,,-419.879,-0.088,91.308,0.0,91.308,110.522,
09/30/2012,102.796,53.385,4.744,48.641,12.357,12.357,0.0,7.141,3.551,1.203,2.387,0.0,2.688,,2.688,75.571,18.613,,,0.0,8.612,7.475,3.162,4.313,1.137,27.225,,19.182,3.796,,15.386,1.222,0.0,,,,1.222,0.0,0.569,,0.0,20.404,0.0,0.0,,,,2.139,,,,,1.57,2.139,22.543,0.0,517.488,0.07,517.418,,-437.142,-0.093,80.253,0.0,80.253,102.796,
12/31/2012,106.0,48.7,8.1,40.6,19.5,19.5,0.0,7.4,2.5,0.4,4.5,0.0,2.0,0.0,2.0,77.6,18.9,40.0,-21.1,0.0,9.5,7.4,3.2,4.2,2.1,28.4,,17.9,3.9,,14.0,0.2,0.0,0.0,0.0,,0.2,1.4,0.6,0.0,0.0,19.5,6.8,6.8,0.0,0.0,,2.7,0.0,0.0,0.0,0.0,2.1,9.5,29.0,0.0,522.7,0.1,522.6,,-445.6,-0.1,77.0,0.0,77.0,106.0,
03/31/2013,98.8,45.3,18.9,26.4,16.3,16.3,0.0,7.5,2.9,0.6,4.0,0.0,2.2,,2.2,71.3,18.3,,,0.0,9.2,7.2,3.2,4.0,2.0,27.5,,14.7,2.2,,12.5,0.7,0.0,,,,0.7,0.8,0.0,,0.0,16.2,6.3,6.3,,,,2.7,,,,,2.7,9.0,25.2,0.0,530.4,0.1,530.3,,-456.7,-0.1,73.6,0.0,73.6,98.8,
06/30/2013,102.3,46.4,28.2,18.2,17.7,17.7,0.0,7.3,3.1,0.7,3.5,0.0,2.8,,2.8,74.2,19.1,,,0.0,9.0,7.1,3.2,3.9,1.9,28.1,,19.2,2.8,,16.4,1.2,0.0,,,,1.2,0.7,,,0.0,21.1,5.8,5.8,,,,3.1,,,,,3.1,8.9,30.0,0.0,539.2,0.1,539.1,,-466.8,-0.1,72.3,0.0,72.3,102.3,
09/30/2013,110.1,47.6,33.4,14.2,21.6,21.6,0.0,10.0,3.5,1.3,5.2,0.0,2.5,,2.5,81.7,19.7,,,0.0,8.7,6.9,3.2,3.7,1.8,28.4,,25.0,3.8,,21.2,1.8,0.0,,,,1.8,0.6,0.0,,0.0,27.4,5.2,5.2,,,,2.8,,,,,2.8,8.0,35.4,0.0,547.6,0.1,547.5,,-472.8,-0.1,74.7,0.0,74.7,110.1,
12/31/2013,122.5,54.6,43.2,11.4,26.1,26.1,0.0,9.0,4.8,0.3,3.9,0.0,3.4,0.0,3.4,93.1,20.7,47.3,-26.6,0.0,8.7,6.8,3.2,3.6,1.9,29.4,,29.2,4.2,,25.0,2.2,0.0,0.0,0.0,,2.2,0.7,0.0,0.0,0.0,32.1,4.6,4.6,0.0,0.0,,1.7,0.0,0.0,0.0,0.0,1.7,6.3,38.4,0.0,559.6,0.1,559.5,,-475.4,-0.1,84.1,0.0,84.1,122.5,
03/31/2014,124.9,57.4,45.7,11.7,23.8,23.8,0.0,8.9,4.5,0.9,3.5,0.0,3.5,,3.5,93.6,22.9,,,0.0,8.4,6.6,3.2,3.4,1.8,31.3,,26.9,4.8,,22.1,2.2,0.0,,,,2.2,0.6,,,0.0,29.7,4.1,4.1,,,,1.1,,,,,1.1,5.2,34.9,0.0,578.0,0.1,577.9,0.0,-487.9,-0.1,90.0,0.0,90.0,124.9,
06/30/2014,139.7,61.3,49.5,11.8,28.6,28.6,0.0,11.6,5.1,1.0,5.5,0.0,4.0,,4.0,105.5,26.0,,,0.0,8.2,6.5,3.2,3.3,1.7,34.2,,33.0,7.0,,26.0,2.3,0.0,,,,2.3,0.3,,,0.0,35.6,3.5,3.5,,,,1.0,,,,,1.0,4.5,40.1,0.0,593.7,0.1,593.6,,-493.9,-0.2,99.6,0.0,99.6,139.7,
09/30/2014,159.4,74.9,63.2,11.7,31.4,31.4,0.0,14.3,6.2,1.2,6.9,0.0,2.8,,2.8,123.4,28.0,,,0.0,8.0,6.3,3.2,3.1,1.7,36.0,,37.7,7.9,,29.8,2.3,0.0,,,,2.3,0.6,,,0.0,40.6,2.9,2.9,,,,0.9,,,,,0.9,3.8,44.4,0.0,614.2,0.1,614.1,,-499.1,-0.1,115.0,0.0,115.0,159.4,
12/31/2014,184.6,83.6,71.8,11.8,42.4,42.4,0.0,16.0,7.6,1.0,7.4,0.0,3.9,0.0,3.9,145.9,31.2,64.0,-32.8,0.0,7.5,5.9,3.2,2.7,1.6,38.7,,37.6,9.9,,27.7,2.3,0.0,0.0,0.0,,2.3,0.7,0.0,0.0,0.0,40.6,2.3,2.3,0.0,0.0,,1.5,0.0,0.0,0.0,0.0,1.5,3.8,44.4,0.0,638.1,0.1,638.0,,-497.8,-0.1,140.2,0.0,140.2,184.6,
03/31/2015,189.3,83.8,54.2,29.6,40.2,40.2,0.0,18.4,6.3,1.3,10.8,0.0,3.8,,3.8,146.2,35.7,,,0.0,7.4,5.8,3.2,2.6,1.6,43.1,,33.3,10.9,,22.4,2.4,0.0,,,,2.4,1.3,,,0.0,37.0,1.7,1.7,,,,2.0,,,,,2.0,3.7,40.7,0.0,659.6,0.1,659.5,,-510.7,-0.3,148.6,0.0,148.6,189.3,
06/30/2015,218.4,97.5,67.7,29.8,45.5,45.5,0.0,22.4,9.1,0.7,12.6,0.0,5.0,,5.0,170.4,40.6,,,0.0,7.4,6.2,3.7,2.5,1.2,48.0,,41.0,11.7,,29.3,2.4,0.0,,,,2.4,0.8,,,0.0,44.2,1.1,1.1,,,,2.4,,,,,2.4,3.5,47.7,0.0,685.4,0.1,685.3,,-514.4,-0.3,170.7,0.0,170.7,218.4,
09/30/2015,256.7,113.3,85.3,28.0,55.8,55.8,0.0,30.6,10.7,2.5,17.4,0.0,4.0,,4.0,203.7,46.6,,,0.0,6.4,6.1,3.7,2.4,0.3,53.0,,54.7,16.7,,38.0,2.5,0.0,,,,2.5,1.6,,,0.0,58.8,0.4,0.4,,,,4.2,,,,,4.2,4.6,63.4,0.0,750.5,0.1,750.4,,-556.9,-0.3,193.3,0.0,193.3,256.7,
12/31/2015,292.0,115.2,86.1,29.1,74.1,74.1,0.0,35.2,16.0,2.6,16.6,0.0,6.8,0.0,6.8,231.3,54.7,92.9,-38.2,0.0,6.0,5.9,3.7,2.2,0.1,60.7,,63.8,19.0,,44.8,2.3,0.0,0.0,0.0,,2.3,0.8,0.0,0.0,0.0,66.9,0.0,0.0,0.0,0.0,,3.9,0.0,0.0,0.0,0.0,3.9,3.9,70.8,0.0,776.9,0.1,776.8,,-555.4,-0.3,221.2,0.0,221.2,292.0,
03/31/2016,299.4,106.5,77.9,28.6,67.3,67.3,0.0,46.1,23.4,2.9,19.8,0.0,7.5,,7.5,227.4,65.9,,,0.0,6.1,5.7,3.7,2.0,0.4,72.0,,61.8,21.5,,40.3,1.7,0.0,,,,1.7,0.6,,,0.0,64.1,0.0,0.0,,,,4.1,,,,,4.1,4.1,68.2,0.0,806.1,0.1,806.0,,-574.6,-0.3,231.2,0.0,231.2,299.4,
06/30/2016,332.8,115.6,87.5,28.1,73.8,73.8,0.0,42.9,18.4,3.4,21.1,0.0,8.7,,8.7,241.0,77.0,,,0.0,14.8,13.6,11.8,1.8,1.2,91.8,,73.2,22.4,,50.8,0.0,0.0,,,,0.0,0.7,,,0.0,73.9,0.0,0.0,,,,12.5,,,,,12.5,12.5,86.4,0.0,841.9,0.1,841.8,,-594.8,-0.7,246.4,0.0,246.4,332.8,
09/30/2016,361.9,127.3,97.7,29.6,76.8,76.8,0.0,44.7,17.5,2.6,24.6,0.0,9.8,,9.8,258.6,88.4,,,0.0,14.9,13.4,11.8,1.6,1.5,103.3,,85.6,26.3,,59.3,0.0,0.0,,,,0.0,0.5,,,0.0,86.1,0.0,0.0,,,,14.0,,,,,14.0,14.0,100.1,0.0,876.1,0.1,876.0,,-613.6,-0.7,261.8,0.0,261.8,361.9,
12/31/2016,402.8,123.7,94.5,29.2,101.7,101.7,0.0,45.4,20.1,2.3,23.0,0.0,9.2,0.0,9.2,280.0,109.4,156.6,-47.2,0.0,13.4,11.5,11.3,0.2,1.9,122.8,,101.5,24.5,,77.0,0.0,0.0,0.0,0.0,,0.0,0.9,0.0,0.0,0.0,102.4,0.0,0.0,0.0,0.0,,16.6,0.0,0.0,0.0,0.0,16.6,16.6,119.0,0.0,905.8,0.1,905.7,,-621.0,-1.0,283.8,0.0,283.8,402.8,
03/31/2017,467.2,181.1,153.5,27.6,85.9,85.9,0.0,46.5,17.5,3.7,25.3,0.0,17.0,,17.0,330.5,123.4,,,0.0,13.3,11.4,11.4,0.0,1.9,136.7,,95.5,17.9,,77.6,75.0,75.0,,,,,1.2,,,0.0,171.7,0.0,0.0,,,,17.7,,,,,17.7,17.7,189.4,0.0,942.4,0.1,942.3,,-663.3,-1.3,277.8,0.0,277.8,467.2,
06/30/2017,795.6,496.6,395.9,100.7,101.7,101.7,0.0,42.8,16.3,4.1,22.4,0.0,15.7,,15.7,656.8,125.0,173.7,-48.7,0.0,13.8,11.9,11.9,0.0,1.9,138.8,,103.6,16.8,,86.8,0.0,,,,,,1.5,,,0.0,105.1,320.5,320.5,,,,16.3,,,,,16.3,336.8,441.9,0.0,1015.7,0.1,1015.6,,-660.4,-1.6,353.7,0.0,353.7,795.6,
09/30/2017,842.9,525.8,402.1,123.7,110.5,110.5,0.0,43.3,19.2,8.3,15.8,0.0,13.3,,13.3,692.9,136.1,188.4,-52.3,0.0,13.9,12.0,12.0,0.0,1.9,150.0,,115.9,23.3,,92.6,0.0,0.0,,,,0.0,2.3,,,0.0,118.2,324.0,324.0,,,,16.7,,,,,16.7,340.7,458.9,0.0,1048.6,0.1,1048.5,,-662.4,-2.2,384.0,0.0,384.0,842.9,
12/31/2017,904.1,548.6,441.5,107.1,134.3,134.3,0.0,45.2,20.0,8.2,17.0,0.0,16.6,0.0,16.6,744.7,145.6,200.4,-54.8,0.0,13.8,12.1,12.1,0.0,1.7,159.4,,135.7,46.7,,89.0,0.0,0.0,0.0,0.0,,,3.2,0.0,0.0,0.0,138.9,327.6,327.6,0.0,0.0,,18.2,0.0,0.0,0.0,0.0,18.2,345.8,484.7,0.0,1093.8,0.1,1093.7,,-671.8,-2.6,419.4,0.0,419.4,904.1,
03/31/2018,896.8,533.9,420.4,113.5,123.9,123.9,0.0,51.6,22.9,9.0,19.7,0.0,19.9,,19.9,729.3,152.4,211.3,-58.9,0.0,15.1,12.3,12.3,0.0,2.8,167.5,,122.2,38.9,,83.3,0.0,0.0,,,,,2.9,,,0.0,125.1,331.3,331.3,,,,18.7,,,,,18.7,350.0,475.1,0.0,1122.6,0.1,1122.5,,-696.0,-4.9,421.7,0.0,421.7,896.8,
06/30/2018,1007.5,606.1,300.2,305.9,162.0,162.0,0.0,46.2,21.7,9.7,14.8,0.0,21.7,,21.7,836.0,156.8,222.3,-65.5,0.0,14.7,11.9,11.9,0.0,2.8,171.5,,164.0,59.9,,104.1,0.0,0.0,,,,,6.8,,,0.0,170.8,335.0,335.0,,,,19.6,,,,,19.6,354.6,525.4,0.0,1149.2,0.1,1149.1,,-665.8,-1.3,482.1,0.0,482.1,1007.5,
09/30/2018,1114.3,668.7,367.4,301.3,169.8,169.8,0.0,55.2,21.8,10.6,22.8,0.0,20.4,,20.4,914.1,169.6,241.9,-72.3,0.0,30.6,18.4,18.4,0.0,12.2,200.2,,190.4,57.7,,132.7,0.0,0.0,,,,,3.5,,,0.0,193.9,338.8,338.8,,,,19.4,,,,,19.4,358.2,552.1,0.0,1181.7,0.1,1181.6,,-619.2,-0.3,562.2,0.0,562.2,1114.3,
12/31/2018,1916.0,1385.6,1137.0,248.6,226.7,226.7,0.0,70.7,30.8,11.2,28.7,0.0,16.5,,16.5,1699.5,183.1,262.9,-79.8,0.0,33.4,18.7,18.7,0.0,14.7,216.5,,219.5,75.5,,144.0,0.0,0.0,0.0,0.0,,,2.9,,,0.0,222.4,1010.3,1010.3,0.0,0.0,,20.0,,,,,20.0,1030.3,1252.7,0.0,1560.7,0.1,1560.6,-100.0,-798.9,1.5,663.3,0.0,663.3,1916.0,
