Date,Returns,Return on Common Equity,Return on Assets,Return on Capital,Margins,Operating Margin,Incremental Operating Margin,Pretax Margin,Income before XO Margin,Net Income Margin,Net Income to Common Margin,Additional,Effective Tax Rate,Dvd Payout Ratio,Sustainable Growth Rate,Source: Bloomberg
12/31/2010,,5.001992,0.505506,1.90574,,10.10453,833.333333,10.10453,9.45122,9.059233,9.059233,,6.465517,50.0,2.500996,
03/31/2011,,5.157351,0.531897,1.999486,,14.357179,,14.357179,11.705853,11.255628,11.255628,,18.466899,52.444444,2.452607,
06/30/2011,,5.645185,0.604339,2.211207,,19.523587,,19.523587,15.273237,14.339094,14.339094,,21.770335,36.306189,3.595634,
09/30/2011,,6.468215,0.68081,2.600577,,20.845204,,20.845204,17.616334,17.378917,17.378917,,15.489749,31.420765,4.435852,
12/31/2011,,7.615053,0.777302,3.070893,,20.387532,323.076923,20.387532,16.8492,16.470093,16.470093,,17.355372,28.526527,5.442743,
03/31/2012,,8.684035,0.90117,3.485706,,27.481578,112.662338,27.481578,19.28912,18.682271,18.682271,,29.810726,32.482599,5.863235,
06/30/2012,,9.625578,1.009949,3.899771,,30.024712,108.362369,30.024712,22.158155,21.334432,21.004942,,26.200274,27.45098,6.983262,
09/30/2012,,9.928609,1.048905,4.34486,,27.514309,68.823529,27.514309,20.278005,20.196239,19.174162,,26.300149,29.811983,6.968694,
12/31/2012,,10.673797,1.102267,4.713539,,30.288462,222.95082,30.288462,21.995192,21.474359,20.272436,,27.380952,27.651621,7.722319,
03/31/2013,,9.336528,1.005655,4.233913,,30.416839,88.793103,30.416839,10.565415,9.905076,8.666942,,65.264586,76.666667,2.178523,
06/30/2013,,9.22135,1.01311,4.206964,,32.385209,206.060606,32.385209,23.40512,22.754978,22.226737,,27.728984,29.433272,6.507205,
09/30/2013,,8.021171,0.903955,3.749099,,32.687339,,32.687339,13.307494,13.135228,11.541774,,59.288538,60.820896,3.142623,
12/31/2013,,8.100189,0.913719,3.77342,,35.406902,,35.406902,25.053259,24.456753,22.880273,,29.241877,30.167598,5.656557,
03/31/2014,,9.410327,1.079105,4.399574,,36.455585,,36.455585,25.197889,23.438874,21.811785,,30.880579,32.862903,6.31782,
06/30/2014,,8.529775,1.010932,4.126201,,28.602812,-78.918919,28.602812,21.001757,20.29877,18.673111,,26.574501,40.606871,5.0661,
09/30/2014,,9.663635,1.155209,4.519171,,30.415755,-172.972973,30.415755,24.551422,24.376368,22.757112,,19.280576,33.236169,6.451813,
12/31/2014,,9.554415,1.157245,4.436833,,37.335596,490.0,37.335596,25.583369,24.946966,23.377174,,31.477273,31.397459,6.554572,
03/31/2015,,9.281003,1.140476,4.312026,,34.127328,,34.127328,23.689909,22.737116,21.13469,,30.583756,35.45082,5.990811,
06/30/2015,,9.231828,1.140282,4.330589,,24.924925,,24.924925,21.492921,21.063921,19.476619,,13.769363,42.951542,5.266615,
09/30/2015,,8.609473,1.077733,4.168655,,30.791191,35.928144,30.791191,21.737357,21.574225,20.065253,,29.403974,41.950701,4.997738,
12/31/2015,,8.372797,1.050454,4.001583,,31.480746,,31.480746,21.516475,21.39738,19.928543,,31.651955,41.966229,4.85905,
03/31/2016,,8.401217,1.057184,4.03016,,32.062868,11.864407,32.062868,22.396857,22.1611,20.707269,,30.147059,40.037951,5.037542,
06/30/2016,,8.423375,1.073446,4.135784,,30.54241,62.019231,30.54241,21.368766,21.259556,19.694212,,30.035757,42.144177,4.873413,
09/30/2016,,8.431323,1.079663,4.193124,,32.984859,49.689441,32.984859,23.143475,23.143475,21.593367,,29.836066,40.693873,5.000291,
12/31/2016,,8.794674,1.130415,4.522264,,34.10341,65.865385,34.10341,23.579025,23.322332,21.708838,,30.860215,41.077348,5.182055,
03/31/2017,,8.133999,1.054732,4.22151,,19.064748,,19.064748,15.323741,15.143885,13.597122,,19.622642,64.285714,2.905,
06/30/2017,,8.19199,1.07166,4.188656,,34.255692,128.703704,34.255692,23.607706,23.642732,22.101576,,31.083845,38.351823,5.050213,
09/30/2017,,8.207311,1.070972,4.138003,,33.48738,69.230769,33.48738,23.035905,22.751511,21.222894,,31.210191,43.920291,4.602636,
12/31/2017,,8.339751,1.085916,4.32881,,30.533287,,30.533287,23.248519,22.93482,21.401185,,23.858447,42.124124,4.826704,
03/31/2018,,9.708592,1.251501,5.005762,,34.731603,1354.545455,34.731603,28.119445,28.012798,26.484181,,19.037871,39.194631,5.903345,
06/30/2018,,10.15487,1.308933,5.060578,,35.567906,191.666667,35.567906,28.55158,28.447378,26.919069,,19.726562,37.419355,6.354983,
09/30/2018,,11.081414,1.397484,5.133016,,35.850991,94.690265,35.850991,28.673958,28.434723,26.96514,,20.019066,39.670469,6.685365,
12/31/2018,,11.601614,1.447225,5.551105,,34.353741,188.732394,34.353741,27.380952,27.142857,25.646259,,20.29703,41.091547,6.834331,
03/31/2019,,11.328839,1.445546,5.427833,,33.643892,,33.643892,27.536232,27.329193,25.845411,,18.153846,38.985314,6.912256,
06/30/2019,,11.358571,1.458705,5.401062,,36.78501,58.282209,36.78501,29.092702,29.125575,27.679158,,20.911528,36.817102,7.176674,
09/30/2019,,11.303374,1.436357,5.020781,,34.831835,,34.831835,27.572428,27.472527,24.475524,,20.8413,46.938776,5.997709,
12/31/2019,,7.043662,0.922758,3.456468,,24.248276,,24.248276,20.027586,19.889655,19.365517,,17.406143,59.15641,2.876885,
03/31/2020,,7.519576,0.951613,3.34521,,22.937088,11.500184,22.937088,18.94493,18.891463,17.572625,,17.404817,61.359026,2.905637,
06/30/2020,,7.373568,0.968705,3.875633,,19.644384,1.068757,19.644384,16.378868,16.327577,15.42144,,16.623151,67.073171,2.427882,
