Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Other ST Assets,Derivative & Hedging Assets,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Deferred Tax Assets,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Deferred Tax Liabilities,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
12/31/2012,1954.1,71.2,71.2,0,394.1,394.1,,741.5,46.3,,,1253.1,472.3,636.9,-164.6,0,228.7,154.0,96.6,57.4,,74.7,701.0,,196.3,196.3,,,,35.3,35.3,0.0,0.0,,,224.8,,,,224.8,456.4,1270.1,1270.1,0.0,0.0,,519.8,,,519.8,1789.9,2246.3,0,189.9,,,0.0,-234.4,-252.1,-296.6,4.4,-292.2,1954.1,
12/31/2013,1951.8,74.4,74.4,0,381.9,381.9,0.0,733.0,50.0,0.0,50.0,1239.3,441.7,638.9,-197.2,0,270.8,142.8,91.6,51.2,97.4,30.6,712.5,,292.3,207.3,0.0,19.3,65.7,32.3,0.0,,,,32.3,136.0,0.0,0.0,,13.6,460.6,1262.5,1262.5,,,,337.5,0.0,305.0,32.5,1600.0,2060.6,0,189.9,,,-6.6,-107.1,-188.2,-112.0,3.2,-108.8,1951.8,
03/31/2014,1989.5,97.4,97.4,0,433.5,433.5,0.0,706.2,51.2,,51.2,1288.3,436.8,641.3,-204.5,0,264.4,141.3,91.6,49.7,94.7,28.4,701.2,,365.4,261.7,,,103.7,32.5,0.0,,,,32.5,135.8,,,,0.0,533.7,1242.5,1242.5,,,,327.8,,,327.8,1570.3,2104.0,0,189.9,0.2,189.7,-6.6,-105.6,-195.2,-117.5,3.0,-114.5,1989.5,
06/30/2014,2001.1,82.9,82.9,0,462.7,462.7,0.0,723.0,39.6,,39.4,1308.2,433.1,646.9,-213.8,0,259.8,139.8,91.6,48.2,93.2,26.8,692.9,,409.8,319.3,,,90.5,29.8,0.0,,,,29.8,133.8,,,,13.5,573.4,1225.0,1225.0,,,,311.2,,,311.2,1536.2,2109.6,0,189.9,0.2,189.7,-6.6,-102.9,-191.8,-111.4,2.9,-108.5,2001.1,
09/30/2014,2006.2,80.5,80.5,0,467.1,467.1,0.0,736.0,39.0,,39.0,1322.6,423.2,641.7,-218.5,0,260.4,138.3,91.6,46.7,98.4,23.7,683.6,,410.8,296.0,,,114.8,29.7,0.0,,,,29.7,132.6,,,,13.5,573.1,1198.1,1198.1,,,,273.2,,,273.2,1471.3,2044.4,0,302.3,0.3,302.0,-6.6,-137.6,-199.2,-41.1,2.9,-38.2,2006.2,
12/31/2014,1872.6,60.0,60.0,0,400.8,400.8,0.0,738.9,41.7,,41.6,1241.4,428.2,654.5,-226.3,0,203.0,153.6,102.7,50.9,27.4,22.0,631.2,,316.5,220.8,0.0,17.1,78.6,66.6,0.0,,,,66.6,12.4,,,,11.1,395.5,1192.5,1192.5,,,,408.1,0.0,368.0,40.1,1600.6,1996.1,0,302.3,0.3,302.0,-6.6,-130.4,-291.4,-126.1,2.6,-123.5,1872.6,
03/31/2015,1903.2,70.8,70.8,0,412.7,412.7,0.0,663.3,35.3,,35.3,1182.1,420.1,656.7,-236.6,0,301.0,150.5,101.3,49.2,130.7,19.8,721.1,,328.6,226.9,,,101.7,32.0,0.0,,,,32.0,115.2,,,,11.0,475.8,1170.4,1170.4,,,,392.0,,,392.0,1562.4,2038.2,0,302.3,0.3,302.0,-6.6,-135.3,-297.7,-137.3,2.3,-135.0,1903.2,
06/30/2015,1855.4,66.0,66.0,0,390.8,390.8,0.0,655.1,41.7,,41.6,1153.6,415.4,660.6,-245.2,0,286.4,148.9,101.3,47.6,119.0,18.5,701.8,,325.4,243.6,,,81.8,25.0,0.0,,,,25.0,122.0,,,,11.0,472.4,1120.0,1120.0,,,,377.9,,,377.9,1497.9,1970.3,0,302.3,0.3,302.0,-6.6,-119.5,-293.1,-116.9,2.0,-114.9,1855.4,
09/30/2015,1793.9,48.3,48.3,0,373.8,373.8,0.0,643.2,41.5,,41.4,1106.8,404.3,650.6,-246.3,0,282.8,150.7,103.2,47.5,114.7,17.4,687.1,,343.7,247.7,,,96.0,22.9,0.0,,,,22.9,119.9,,,,11.0,486.5,1071.3,1071.3,,,,355.2,,,355.2,1426.5,1913.0,0,302.8,0.3,302.5,-6.6,-112.8,-304.3,-120.9,1.8,-119.1,1793.9,
12/31/2015,1556.2,63.2,63.2,0,305.7,305.7,0.0,555.8,34.0,,33.9,958.7,400.3,654.5,-254.2,0,197.2,149.4,103.2,46.2,31.8,16.0,597.5,,281.1,206.3,0.0,15.6,59.2,22.0,0.0,,,,22.0,12.6,,,,9.1,315.7,1012.5,1012.5,,,,368.8,0.0,312.0,56.8,1381.3,1697.0,0,302.9,0.3,302.6,-6.6,-130.9,-307.0,-141.6,0.8,-140.8,1556.2,
03/31/2016,1582.8,70.5,70.5,0,343.0,343.0,0.0,571.1,30.2,,28.7,1014.8,397.8,661.1,-263.3,0,170.2,147.9,103.2,44.7,17.1,5.2,568.0,,357.9,265.9,,,92.0,20.8,0.0,,,,20.8,11.1,,,,9.2,389.8,955.8,955.8,,,,355.9,,,355.9,1311.7,1701.5,0,303.1,0.3,302.8,-6.6,-117.4,-298.6,-119.5,0.8,-118.7,1582.8,
06/30/2016,1630.0,74.5,74.5,0,360.9,360.9,0.0,599.9,33.8,,28.7,1069.1,394.4,662.2,-267.8,0,166.5,146.6,103.2,43.4,14.7,5.2,560.9,,361.4,281.3,,,80.1,18.5,0.0,,,,18.5,9.6,,,,9.2,389.5,1009.9,1009.9,,,,342.7,,,342.7,1352.6,1742.1,0,303.6,0.3,303.3,-6.6,-111.8,-298.2,-113.0,0.9,-112.1,1630.0,
09/30/2016,1643.3,73.2,73.2,0,360.1,360.1,0.0,625.2,28.4,,22.8,1086.9,393.3,667.3,-274.0,0,163.1,145.3,103.2,42.1,12.5,5.3,556.4,,360.4,265.0,,,95.4,20.0,0.0,,,,20.0,10.1,,,,9.2,390.5,957.9,957.9,,,,328.1,,,328.1,1286.0,1676.5,0,375.5,0.4,375.1,-6.6,-103.6,-299.6,-34.3,1.1,-33.2,1643.3,
12/31/2016,1558.7,80.7,80.7,0,326.0,326.0,0.0,563.4,27.7,,25.7,997.8,388.2,668.7,-280.5,0,172.7,144.0,103.2,40.8,24.4,4.3,560.9,,304.7,230.4,0.0,9.8,64.5,19.2,0.0,,,,19.2,8.5,0.0,,,8.3,332.4,944.3,944.3,,,,331.3,0.0,283.0,48.3,1275.6,1608.0,0,375.8,0.4,375.4,-6.6,-112.2,-307.8,-50.8,1.5,-49.3,1558.7,
03/31/2017,1738.9,72.1,72.1,0,413.7,413.7,0.0,624.1,27.6,,24.9,1137.5,418.1,708.0,-289.9,0,183.3,166.5,115.7,50.8,12.6,4.2,601.4,,428.2,337.0,,,91.2,23.8,0.0,,,,23.8,9.3,,,,8.3,461.3,968.7,968.7,,,,341.6,,,341.6,1310.3,1771.6,0,376.1,0.4,375.7,-6.6,-97.4,-306.8,-34.7,2.0,-32.7,1738.9,
06/30/2017,1787.8,76.9,76.9,0,434.2,434.2,0.0,648.0,29.4,,27.0,1188.5,419.9,718.6,-298.7,0,179.4,165.3,115.3,50.0,9.7,4.4,599.3,,425.4,349.4,,,76.0,23.3,0.0,,,,23.3,9.7,,,,8.3,458.4,1012.7,1012.7,,,,339.3,,,339.3,1352.0,1810.4,0,376.9,0.4,376.5,-6.6,-96.8,-298.3,-24.8,2.2,-22.6,1787.8,
09/30/2017,1817.3,73.6,73.6,0,425.4,425.4,0.0,691.7,32.0,,29.8,1222.7,417.9,727.6,-309.7,0,176.7,163.8,115.3,48.5,8.6,4.3,594.6,,460.1,362.5,,,97.6,20.2,0.0,,,,20.2,10.7,,,,8.3,491.0,1021.4,1021.4,,,,319.3,,,319.3,1340.7,1831.7,0,377.3,0.4,376.9,-6.6,-95.1,-292.4,-16.8,2.4,-14.4,1817.3,
12/31/2017,1711.9,77.4,77.4,0,376.3,376.3,0.0,616.5,33.7,,29.8,1103.9,422.9,742.7,-319.8,0,185.1,162.2,115.3,46.9,17.9,5.0,608.0,,369.8,275.0,0.0,10.0,84.8,21.3,0.0,,,,21.3,11.6,0.0,,,7.7,402.7,1024.4,1024.4,,,,292.2,0.0,227.0,65.2,1316.6,1719.3,0,378.0,0.4,377.6,-6.6,-95.1,-286.3,-10.0,2.6,-7.4,1711.9,
03/31/2018,1852.1,67.7,67.7,0,473.6,473.6,0.0,669.5,38.6,,36.7,1249.4,422.4,752.9,-330.5,0,180.3,160.6,115.3,45.3,13.7,6.0,602.7,,524.3,402.5,,,121.8,30.3,0.0,,,,30.3,7.7,,,,7.7,562.3,1004.2,1004.2,,,,280.4,,,280.4,1284.6,1846.9,0,378.7,0.4,378.3,-6.6,-81.4,-288.3,2.4,2.8,5.2,1852.1,
06/30/2018,1905.9,27.6,27.6,0,505.6,505.6,0.0,701.1,49.4,,47.2,1283.7,441.3,777.9,-336.6,0,180.9,166.2,120.3,45.9,8.4,6.3,622.2,,553.0,430.1,,,122.9,29.9,0.0,,,,29.9,7.7,,,,7.7,590.6,1023.0,1023.0,,,,271.1,,,271.1,1294.1,1884.7,0,379.8,0.4,379.4,-6.6,-63.9,-290.6,18.7,2.5,21.2,1905.9,
09/30/2018,2296.8,30.6,30.6,0,610.9,610.9,0.0,910.2,56.5,2.3,55.3,1608.2,501.6,843.4,-341.8,0,187.0,180.4,120.3,60.1,0.0,4.3,688.6,,612.6,460.2,,,152.4,33.2,0.0,,,,33.2,10.1,,,,7.7,655.9,1228.6,1228.6,,,,310.2,,,310.2,1538.8,2194.7,0,380.7,0.4,380.3,-6.6,13.6,-288.2,99.5,2.6,102.1,2296.8,
12/31/2018,2086.3,23.2,23.2,0,521.0,521.0,0.0,806.3,62.6,,60.9,1413.1,489.0,838.4,-349.4,0,184.2,178.4,120.3,58.1,0.0,5.8,673.2,,533.8,390.2,,9.9,133.7,27.3,0.0,,,,27.3,7.9,,,,7.9,569.0,1126.0,1126.0,,,,315.4,,244.0,71.4,1441.4,2010.4,0,381.4,0.4,381.0,-6.6,14.2,-315.8,73.2,2.7,75.9,2086.3,
03/31/2019,2289.7,22.0,22.0,0,590.4,590.4,0.0,876.9,58.0,,57.0,1547.3,560.6,919.3,-358.7,0,181.8,176.6,120.3,56.3,0.0,5.2,742.4,,604.6,483.5,,,121.1,49.8,0.0,31.1,13.7,17.4,18.7,7.9,,,,7.9,662.3,1231.8,1137.8,94.0,25.9,68.1,282.8,,,282.8,1514.6,2176.9,0,382.2,0.4,381.8,-6.6,46.7,-312.4,109.9,2.9,112.8,2289.7,
06/30/2019,2195.6,22.8,22.8,0,552.5,552.5,0.0,823.6,50.9,,50.6,1449.8,566.7,936.6,-369.9,0,179.1,174.7,120.3,54.4,,4.4,745.8,,534.9,427.9,,,107.0,46.7,0.0,31.3,13.5,17.8,15.4,8.1,,,,7.9,589.7,1194.8,1100.3,94.5,23.3,71.2,280.0,,,280.0,1474.8,2064.5,0,380.1,0.4,379.7,-6.6,63.1,-311.4,125.2,5.9,131.1,2195.6,
09/30/2019,2122.0,21.8,21.8,0,506.6,506.6,0.0,812.9,46.4,,46.3,1387.7,558.1,933.4,-375.3,0,176.2,172.8,120.3,52.5,0.0,3.4,734.3,,520.4,399.9,,,120.5,97.8,57.8,30.9,13.2,17.7,9.1,8.9,,,56.0,7.9,627.1,1060.6,971.7,88.9,20.7,68.2,293.2,,,237.2,1353.8,1980.9,0,380.9,0.4,380.5,-6.6,73.2,-312.3,135.2,5.9,141.1,2122.0,
12/31/2019,2021.5,11.0,11.0,0,425.1,425.1,0.0,742.9,101.0,0.0,95.9,1280.0,567.9,934.7,-366.8,0,173.6,170.9,120.3,50.6,0.0,2.7,741.5,,392.8,311.3,,9.4,72.1,82.5,0.0,33.3,12.4,20.9,49.2,16.6,0.0,0.0,65.2,7.0,491.9,1064.1,932.6,131.5,18.7,112.8,286.9,0.0,203.0,18.7,1351.0,1842.9,0,381.6,0.4,381.2,-6.6,99.6,-302.0,172.6,6.0,178.6,2021.5,
03/31/2020,2219.3,188.3,188.3,0,490.7,490.7,0.0,742.8,70.6,,70.6,1492.4,555.2,929.7,-374.5,0,171.7,169.0,120.3,48.7,0.0,2.7,726.9,,479.2,377.5,,,101.7,64.4,0.0,33.1,11.9,21.2,31.3,6.9,,,79.5,6.9,550.5,1188.6,1064.8,123.8,17.6,106.2,294.8,,,215.3,1483.4,2033.9,0,382.2,0.4,381.8,-6.6,116.0,-312.2,179.4,6.0,185.4,2219.3,
06/30/2020,1848.6,99.9,99.9,0,373.1,373.1,0.0,599.3,60.3,,59.6,1132.6,546.3,929.3,-383.0,0,169.7,167.1,120.3,46.8,,2.6,716.0,,327.3,260.1,,,67.2,45.5,0.0,32.3,11.1,21.2,13.2,15.3,,,77.0,7.0,388.1,1008.7,890.6,118.1,16.4,101.7,288.1,,,211.1,1296.8,1684.9,0,382.6,0.4,382.2,-6.6,90.4,-308.5,157.9,5.8,163.7,1848.6,
