Date,Revenue,Sales & Services Revenue,Other Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Depreciation & Amortization,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Foreign Exch (Gain) Loss,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
09/30/2006,1566,,,-778,,788,0.0,-632,224.0,,408.0,156,-617,,137.0,,480.0,-461,136,-325,688,,,-1013,0.0,-1013,0.0,0.0,-1013,-1013.0,,100.6,-10.07,-3.23,-0.13,100.6,-10.07,-3.23,-0.13,
12/31/2006,1332,,,-684,,648,,-512,,,,136,-144,,29.0,0.0,115.0,-8,12,4,1,,,3,,3,0.0,0.0,3,3.0,,101.1,0.02,0.04,0.35,101.6,0.02,0.04,0.35,
03/31/2007,1365,,,-711,,654,0.0,-545,159.0,,386.0,109,-98,,104.0,0.0,0.0,11,1,12,-1,,,13,0.0,13,0.0,0.0,13,13.0,,101.6,0.13,0.12,0.08,103.0,0.12,0.12,0.08,
06/30/2007,1516,,,-785,,731,0.0,-590,168.0,,422.0,141,-106,,103.0,,0.0,35,-12,23,-1,,,24,,24,0.0,0.0,24,24.0,,103.4,0.23,0.22,0.24,104.8,0.23,0.22,0.24,
09/30/2007,1719,,,-835,,884,0.0,-638,176.0,,462.0,246,-130,,127.0,0.0,3.0,116,-53,63,-40,,,103,0.0,103,0.0,0.0,103,103.0,,103.9,1.0,0.6,0.62,105.0,0.99,0.6,0.62,
12/31/2007,1386,,,-702,,684,0.0,-540,155.0,,385.0,144,-1298,,108.0,0.0,1190.0,-1154,109,-1045,11,,,-1056,0.0,-1056,0.0,0.0,-1056,-1056.0,,104.0,-10.16,-10.05,0.27,104.0,-10.16,-10.05,0.27,
03/31/2008,1445,,,-778,,667,0.0,-569,167.0,,402.0,98,-116,,116.0,0.0,,-18,6,-12,0,,,-12,0.0,-12,0.0,0.0,-12,-12.0,,102.8,-0.11,-0.11,-0.17,102.8,-0.11,-0.11,-0.17,
06/30/2008,1577,,,-811,,766,0.0,-634,173.0,,461.0,132,-107,,106.0,0.0,1.0,25,-10,15,0,,,15,0.0,15,0.0,0.0,15,15.0,,101.4,0.15,0.15,0.16,101.4,0.15,0.15,0.16,
09/30/2008,1701,,,-847,,854,0.0,-667,171.0,,496.0,187,-1373,,105.0,0.0,1268.0,-1186,180,-1006,0,,,-1006,0.0,-1006,0.0,0.0,-1006,-1006.0,,101.6,-9.91,-9.91,-1.77,101.6,-9.91,-9.91,-1.77,
12/31/2008,1261,,,-711,,550,0.0,-570,144.0,,426.0,-20,-144,,123.0,0.0,21.0,-164,43,-121,0,,,-121,0.0,-121,0.0,0.0,-121,-121.0,,101.7,-1.2,-1.2,-1.09,101.7,-1.2,-1.2,-1.09,
03/31/2009,1194,919.0,275.0,-640,640.0,554,0.0,-517,133.0,22.0,362.0,37,-107,,107.0,,0.0,-70,21,-49,0,0.0,0.0,-49,0.0,-49,0.0,0.0,-49,-45.0,4.0,101.8,-0.48,-0.48,-0.442043,101.8,-0.48,-0.48,-0.442043,
06/30/2009,1312,995.0,317.0,-648,648.0,664,0.0,-558,133.0,24.0,401.0,106,-108,,108.0,,0.0,-2,-4,-6,0,0.0,0.0,-6,0.0,-6,0.0,0.0,-6,-2.0,4.0,102.2,-0.06,-0.06,-0.019569,102.2,-0.06,-0.06,-0.020861,
09/30/2009,1465,1123.0,342.0,-731,731.0,734,0.0,-539,155.0,26.0,358.0,195,-112,,112.0,,0.0,83,-26,57,0,0.0,0.0,57,0.0,57,0.0,0.0,57,69.0,12.0,102.3,0.55,0.55,0.674487,104.5,0.54,0.54,0.654833,
12/31/2009,1160,869.0,291.0,-617,617.0,543,0.0,-511,130.0,24.0,357.0,32,-120,,120.0,,0.0,-88,39,-49,0,0.0,0.0,-49,0.0,-49,0.0,0.0,-49,-27.0,22.0,102.3,-0.47,-0.47,-0.26393,102.3,-0.47,-0.47,-0.26393,
03/31/2010,1153,866.0,287.0,-612,612.0,541,0.0,-452,131.0,23.0,298.0,89,-155,,115.0,,40.0,-66,28,-38,0,0.0,0.0,-38,0.0,-38,0.0,0.0,-38,-13.0,25.0,102.6,-0.37,-0.37,-0.126706,102.6,-0.37,-0.37,-0.126706,
06/30/2010,1294,961.0,333.0,-639,639.0,655,0.0,-509,145.0,23.0,341.0,146,-117,,117.0,,0.0,29,-3,26,0,0.0,0.0,26,0.0,26,0.0,0.0,26,29.0,3.0,103.1,0.25,0.25,0.28128,126.6,0.22,0.22,0.243697,
09/30/2010,1512,1145.0,367.0,-705,705.0,807,0.0,-543,161.0,24.0,358.0,264,-120,,120.0,,0.0,144,-54,90,0,0.0,0.0,90,0.0,90,0.0,0.0,90,97.0,7.0,103.2,0.88,0.88,0.939922,126.6,0.73,0.73,0.785292,
12/31/2010,1226,910.0,316.0,-660,660.0,566,0.0,-467,146.0,20.0,301.0,99,-134,,122.0,,12.0,-35,11,-24,0,0.0,0.0,-24,0.0,-24,0.0,0.0,-24,-6.0,18.0,103.3,-0.23,-0.23,-0.058083,103.3,-0.23,-0.23,-0.058083,
03/31/2011,1235,918.0,317.0,-659,659.0,576,0.0,-455,156.0,23.0,276.0,121,-110,,110.0,,0.0,11,-4,7,0,0.0,0.0,7,0.0,7,0.0,0.0,7,12.0,5.0,104.6,0.07,0.07,0.114723,106.8,0.06,0.06,0.106816,
06/30/2011,1412,1034.0,378.0,-725,725.0,687,0.0,-483,169.0,21.0,293.0,204,-115,,115.0,,0.0,89,-37,52,0,0.0,0.0,52,0.0,52,0.0,0.0,52,79.0,27.0,105.4,0.49,0.49,0.749526,129.0,0.42,0.42,0.629302,
09/30/2011,1623,1211.0,412.0,-783,783.0,840,0.0,-582,190.0,22.0,370.0,258,-122,,122.0,,0.0,136,-54,82,0,0.0,0.0,82,0.0,82,0.0,0.0,82,129.0,47.0,105.4,0.78,0.78,1.223909,128.9,0.65,0.65,1.014624,
12/31/2011,1630,1175.0,455.0,-858,858.0,772,0.0,-814,243.0,29.0,542.0,-42,-158,,158.0,,0.0,-200,30,-170,0,0.0,0.0,-170,0.0,-170,0.0,0.0,-170,-17.65,152.35,105.5,-1.62,-1.62,-0.167299,105.5,-1.62,-1.62,-0.175924,
03/31/2012,1623,1168.0,455.0,-893,893.0,730,0.0,-582,219.0,32.0,331.0,148,-174,,147.0,,27.0,-26,3,-23,0,0.0,0.0,-23,0.0,-23,0.0,0.0,-23,10.0,33.0,105.9,-0.22,-0.22,0.094429,105.9,-0.22,-0.22,0.091615,
06/30/2012,1866,1334.0,532.0,-953,953.0,913,0.0,-612,233.0,29.0,350.0,301,-172,,149.0,,23.0,129,-50,79,0,0.0,0.0,79,0.0,79,0.0,0.0,79,110.0,31.0,106.7,0.74,0.74,1.030928,121.9,0.66,0.66,0.914307,
09/30/2012,2170,1582.0,588.0,-1036,1036.0,1134,0.0,-728,244.0,30.0,454.0,406,-146,,144.0,,2.0,260,20,280,0,0.0,0.0,280,0.0,280,0.0,0.0,280,296.0,16.0,106.8,2.62,2.62,2.771536,118.0,2.38,2.38,2.515593,
12/31/2012,1698,1213.0,485.0,-942,942.0,756,0.0,-671,229.0,34.0,408.0,85,-148,,125.0,,23.0,-63,17,-46,0,0.0,0.0,-46,0.0,-46,0.0,0.0,-46,-8.0,38.0,106.9,-0.43,-0.43,-0.074836,106.9,-0.43,-0.43,-0.074836,
03/31/2013,1691,1217.0,474.0,-931,931.0,760,0.0,-662,224.0,34.0,404.0,98,-155,,115.0,,40.0,-57,11,-46,0,0.0,0.0,-46,0.0,-46,0.0,0.0,-46,6.0,52.0,107.7,-0.43,-0.43,0.05571,107.7,-0.43,-0.43,0.052823,
06/30/2013,2002,1438.0,564.0,-1007,1007.0,995,0.0,-821,274.0,37.0,510.0,174,-212,,121.0,,91.0,-38,10,-28,0,0.0,0.0,-28,0.0,-28,0.0,0.0,-28,54.0,82.0,108.4,-0.26,-0.26,0.498155,108.4,-0.26,-0.26,0.496458,
09/30/2013,2395,1734.0,661.0,-1142,1142.0,1253,0.0,-894,274.0,39.0,581.0,359,-129,,129.0,,0.0,230,-112,118,0,0.0,0.0,118,0.0,118,0.0,0.0,118,167.0,49.0,108.3,1.09,1.09,1.542013,116.2,1.02,1.02,1.441687,
12/31/2013,1849,1318.0,531.0,-994,994.0,855,0.0,-750,248.0,42.0,460.0,105,-143,,127.0,,16.0,-38,10,-28,0,0.0,0.0,-28,0.0,-28,0.0,0.0,-28,13.0,41.0,107.1,-0.26,-0.26,0.121382,107.1,-0.26,-0.26,0.121382,
03/31/2014,1862,1329.0,533.0,-1000,1000.0,862,0.0,-737,248.0,41.0,448.0,125,-120,,120.0,,0.0,5,-1,4,0,0.0,0.0,4,0.0,4,0.0,0.0,4,14.0,10.0,106.6,0.03,0.03,0.131332,108.6,0.03,0.03,0.122081,
06/30/2014,2194,1553.0,641.0,-1105,1105.0,1089,0.0,-858,287.0,45.0,526.0,231,-183,,127.0,,56.0,48,-22,26,0,0.0,0.0,26,0.0,26,0.0,0.0,26,69.0,43.0,105.1,0.25,0.25,0.656518,111.0,0.24,0.24,0.627387,
09/30/2014,2542,1810.0,732.0,-1168,1168.0,1374,0.0,-941,298.0,46.0,597.0,433,-127,,127.0,,0.0,306,-114,192,0,0.0,0.0,192,0.0,192,0.0,0.0,192,204.0,12.0,103.9,1.84,1.84,1.963426,109.9,1.74,1.74,1.84919,
12/31/2014,1887,1334.0,553.0,-978,978.0,909,0.0,-759,247.0,48.0,464.0,150,-117,,117.0,,0.0,33,-10,23,0,0.0,0.0,23,0.0,23,0.0,0.0,23,18.0,-5.0,106.2,0.22,0.22,0.169492,108.3,0.21,0.21,0.163832,
03/31/2015,1850,1319.0,531.0,-985,985.0,865,0.0,-761,248.0,49.0,464.0,104,-120,,120.0,,0.0,-16,7,-9,0,0.0,0.0,-9,0.0,-9,0.0,0.0,-9,12.65,21.65,106.1,-0.09,-0.09,0.119227,106.1,-0.09,-0.09,0.114053,
06/30/2015,2173,1533.0,640.0,-1092,1092.0,1081,0.0,-856,281.0,56.0,519.0,225,-143,,120.0,,23.0,82,61,143,0,0.0,0.0,143,0.0,143,0.0,0.0,143,80.0,-63.0,105.5,1.36,1.36,0.758294,106.7,1.34,1.34,0.74956,
09/30/2015,2577,1832.0,745.0,-1202,1202.0,1375,0.0,-939,314.0,56.0,569.0,436,-124,,124.0,,0.0,312,-128,184,0,0.0,0.0,184,0.0,184,0.0,0.0,184,196.0,12.0,102.7,1.8,1.8,1.908471,104.0,1.77,1.77,1.885385,
12/31/2015,1902,1342.0,560.0,-1005,1005.0,897,0.0,-774,250.0,57.0,467.0,123,-119,,119.0,,0.0,4,-9,-5,0,0.0,0.0,-5,0.0,-5,0.0,0.0,-5,9.0,14.0,99.5,-0.06,-0.06,0.090452,99.5,-0.06,-0.06,0.080704,
03/31/2016,1881,1328.0,553.0,-1040,1040.0,841,0.0,-812,269.0,61.0,482.0,29,-115,,115.0,,0.0,-86,35,-51,0,0.0,0.0,-51,0.0,-51,0.0,0.0,-51,-27.25,23.75,96.3,-0.53,-0.53,-0.28297,96.3,-0.53,-0.53,-0.283375,
06/30/2016,2243,1573.0,670.0,-1122,1122.0,1121,0.0,-919,312.0,65.0,542.0,202,-139,,129.0,,10.0,63,-27,36,0,0.0,0.0,36,0.0,36,0.0,0.0,36,53.9,17.9,93.9,0.39,0.39,0.574015,95.1,0.38,0.38,0.568223,
09/30/2016,2656,1871.0,785.0,-1219,1219.0,1437,0.0,-964,315.0,63.0,586.0,473,-128,,128.0,,0.0,345,-136,209,0,0.0,0.0,209,0.0,209,0.0,0.0,209,224.8,15.8,90.4,2.32,2.32,2.486726,91.8,2.28,2.28,2.452113,
12/31/2016,1879,1309.0,570.0,-1001,1001.0,878,0.0,-789,238.0,64.0,487.0,89,-132,,115.0,,17.0,-43,12,-31,0,0.0,0.0,-31,0.0,-31,0.0,0.0,-31,12.1,43.1,87.4,-0.35,-0.35,0.138444,87.4,-0.35,-0.35,0.138444,
03/31/2017,1839,1286.0,553.0,-1049,1049.0,790,0.0,-839,262.0,63.0,514.0,-49,-116,,113.0,,3.0,-165,58,-107,0,0.0,0.0,-107,0.0,-107,0.0,0.0,-107,-80.9,26.1,85.7,-1.25,-1.25,-0.943991,85.7,-1.25,-1.25,-0.945449,
06/30/2017,2238,1563.0,675.0,-1108,1108.0,1130,0.0,-998,293.0,65.0,640.0,132,-121,,121.0,,0.0,11,-8,3,0,0.0,0.0,3,0.0,3,0.0,0.0,3,23.75,20.75,84.0,0.04,0.04,0.282738,85.2,0.04,0.04,0.282738,
09/30/2017,2752,1949.0,803.0,-1256,1256.0,1496,0.0,-1009,320.0,66.0,623.0,487,-123,,123.0,,0.0,364,-119,245,0,0.0,0.0,245,0.0,245,0.0,0.0,245,260.4,15.4,82.6,2.96,2.96,3.152542,84.0,2.91,2.91,3.093333,
12/31/2017,2019,1421.0,598.0,-1059,1059.0,960,0.0,-842,245.0,65.0,532.0,118,-117,,117.0,,0.0,1,219,220,0,0.0,0.0,220,0.0,220,0.0,0.0,220,37.45,-182.55,81.3,2.7,2.7,0.46064,82.7,2.65,2.65,0.442624,
03/31/2018,1968,1968.0,,-1092,1092.0,876,0.0,-882,296.0,61.0,525.0,-6,-123,,118.0,,5.0,-129,42,-87,0,0.0,0.0,-87,0.0,-87,0.0,0.0,-87,-69.0,18.0,81.0,-1.08,-1.08,-0.851852,81.0,-1.08,-1.08,-0.857778,
06/30/2018,2328,2328.0,,-1175,1175.0,1153,0.0,-986,321.0,67.0,598.0,167,-129,,129.0,,0.0,38,-12,26,0,0.0,0.0,26,0.0,26,0.0,0.0,26,48.01,22.01,80.7,0.33,0.33,0.594919,81.5,0.32,0.32,0.590061,
09/30/2018,2778,2778.0,,-1294,1294.0,1484,0.0,-1000,336.0,62.0,602.0,484,-129,,129.0,,0.0,355,-142,213,0,0.0,0.0,213,0.0,213,0.0,0.0,213,265.06,52.06,78.8,2.71,2.71,3.363706,79.5,2.68,2.68,3.334843,
12/31/2018,2050,2050.0,,-1078,1078.0,972,0.0,-829,267.0,66.0,496.0,143,-140,,126.0,,14.0,3,10,13,0,0.0,0.0,13,0.0,13,0.0,0.0,13,42.85,29.85,76.9,0.16,0.16,0.557217,77.6,0.16,0.16,0.544665,
03/31/2019,1920,1920.0,,-1071,1071.0,849,0.0,-862,284.0,67.0,511.0,-13,-123,,123.0,,0.0,-136,45,-91,0,0.0,0.0,-91,0.0,-91,0.0,0.0,-91,-63.89,27.11,75.8,-1.2,-1.2,-0.842876,75.8,-1.2,-1.2,-0.842876,
06/30/2019,2337,2337.0,,-1172,1172.0,1165,0.0,-946,313.0,66.0,567.0,219,-138,,138.0,,0.0,81,-19,62,0,0.0,0.0,62,0.0,62,0.0,0.0,62,62.06,0.06,76.0,0.81,0.81,0.816579,76.4,0.81,0.81,0.810785,
09/30/2019,2753,2753.0,,-1291,1291.0,1462,0.0,-985,350.0,62.0,573.0,477,-149,,139.0,,10.0,328,-139,189,0,0.0,0.0,189,0.0,189,0.0,0.0,189,223.27,34.27,75.2,2.52,2.52,2.969016,75.7,2.5,2.5,2.952708,
12/31/2019,2162,2162.0,,-1164,1164.0,998,0.0,-860,290.0,68.0,502.0,138,-124,,122.0,,2.0,14,128,142,0,0.0,0.0,142,0.0,142,0.0,0.0,142,45.0,-97.0,73.9,1.92,1.92,0.608931,74.4,1.9,1.9,0.596237,
03/31/2020,1753,1753.0,,-1058,1058.0,695,0.0,-825,251.0,69.0,505.0,-130,-135,,131.0,,4.0,-265,107,-158,0,0.0,0.0,-158,0.0,-158,0.0,0.0,-158,-118.0,40.0,72.9,-2.16,-2.16,-1.618656,72.9,-2.16,-2.16,-1.618656,
06/30/2020,760,760.0,,-622,622.0,138,0.0,-606,132.0,71.0,403.0,-468,-141,,138.0,,3.0,-609,128,-481,0,0.0,0.0,-481,0.0,-481,0.0,0.0,-481,-456.46,24.54,69.6,-6.91,-6.91,-6.558333,69.6,-6.91,-6.91,-6.558333,
