Date,Cash from Operating Activities,Net Income,Depreciation & Amortization,Non-Cash Items,Stock-Based Compensation,Other Non-Cash Adj,Chg in Non-Cash Work Cap,Inc (Dec) in Other,Net Cash From Disc Ops,Cash from Investing Activities,Change in Fixed & Intang,Disp in Fixed & Intang,Disp of Fixed Prod Assets,Disp of Intangible Assets,Acq of Fixed & Intang,Acq of Fixed Prod Assets,Acq of Intangible Assets,Net Change in LT Investment,Dec in LT Investment,Inc in LT Investment,Net Cash From Acq & Div,Cash from Divestitures,Cash for Acq of Subs,Cash for JVs,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Cash From (Repayment) Debt,Cash From (Repay) ST Debt,Cash From LT Debt,Repayments of LT Debt,Cash (Repurchase) of Equity,Increase in Capital Stock,Decrease in Capital Stock,Other Financing Activities,Effect of Foreign Exchange Rates,Net Changes in Cash,Cash Paid for Taxes,Cash Paid for Interest,Source: Bloomberg
09/30/1997,636.880997,9.989004,7.682,594.322005,,594.322005,24.888,24.888,,40.153002,-9.659,0.0,,,-9.659,,,0.0,0.0,0.0,,,,,49.812002,-712.336991,-2.988,-246.301999,,,,-23.014002,0.575,-23.589002,-440.03299,,-35.303001,,,
12/31/1997,-638.690002,16.174999,8.582,-680.409973,,-680.409973,16.962999,16.962999,,653.265991,-11.426,0.0,,,-11.426,,,0.0,0.0,0.0,,,,,664.691991,-53.706,-2.891,-0.048,,,,-51.08,0.302,-51.382,0.313,,-39.130001,,,
03/31/1998,-2.552,10.178,6.617,-3.716,,-3.716,-15.631,-15.631,,-10.716,-4.628,0.0,,,-4.628,,,0.0,0.0,0.0,,,,,-6.088,-22.341001,-2.751,0.641,,,,-20.231001,0.0,-20.231001,0.0,,-35.609001,,,
06/30/1998,7.006,12.629,6.617,0.678,,0.678,-12.918,-12.918,,-9.142,-4.628,0.0,,,-4.628,,,0.0,0.0,0.0,,,,,-4.514,-8.479,-2.674,-1.447,,,,-4.358,0.271,-4.629,0.0,,-10.615,,,
09/30/1998,47.891,10.974,8.61,6.721,,6.721,21.586,21.586,,-136.088,-10.877,0.0,,,-10.877,,,0.0,0.0,0.0,,,,,-125.211,14.716,-2.832,25.806,,,,-8.422999,,-8.422999,0.164999,,-73.480999,,,
12/31/1998,20.218,10.71,6.615,-7.194,,-7.194,10.087,10.087,,-5.385,-4.627,0.0,,,-4.627,,,0.0,0.0,0.0,,,,,-0.758,-3.358,-2.794,-0.562,,,,-0.17,0.0,-0.17,0.168,,11.475,,,
03/31/1999,-5.98,11.402,7.846,-11.368,,-11.368,-13.86,-13.86,,-9.026,-8.657,0.0,,,-8.657,,,0.0,0.0,0.0,,,,,-0.369,-5.108,-2.795,0.332,,,,-2.649,0.042,-2.691,0.004,,-20.114,,,
06/30/1999,18.929,26.169,15.817,-13.62,,-13.62,-9.437,-9.437,,-16.76,-15.978,0.0,,,-15.978,,,0.0,0.0,0.0,,,,,-0.782,-8.132,-5.578,0.009,,,,-2.613,0.078,-2.691,0.05,,-5.963,,,
09/30/1999,20.876,12.366,7.922,-2.159,,-2.159,2.747,2.747,,-253.97,-2.823,0.0,,,-2.823,,,0.0,0.0,0.0,,,,,-251.147,211.47,-2.786,213.142,,,,0.372,0.426,-0.054,0.742,,-21.624,,,
12/31/1999,-2.432,4.739,9.823,8.225,,8.225,-25.219,-25.219,,-1.8,-7.95,0.0,,,-7.95,,,0.0,0.0,0.0,,,,,6.15,8.914,-2.808,11.897,,,,-0.175,0.0,-0.175,0.0,,4.682,,,
03/31/2000,-3.678,14.611,11.32,-3.932,,-3.932,-25.677,-25.677,,-12.02,-11.66,0.0,,,-11.66,,,0.0,0.0,0.0,,,,,-0.36,11.409,-2.807,14.178,,,,0.038,0.038,0.0,0.0,,-4.289,,,
06/30/2000,33.923,17.561,11.449,-2.093,,-2.093,7.006,7.006,,-9.271,-9.073,0.0,,,-9.073,,,0.0,0.0,0.0,,,,,-0.198,-26.816,-2.81,-20.629,,,,0.0,0.0,0.0,-3.377,,-2.164,,,
09/30/2000,41.796,8.836,11.379,2.992,,2.992,18.589,18.589,,-9.585,-9.381,0.0,,,-9.381,,,0.0,0.0,0.0,,,,,-0.204,-32.023,-3.044,-23.138,,,,0.57,0.57,0.0,-6.411,,0.188,,,
12/31/2000,3.135,-11.255,10.911,-0.166,,-0.166,3.645,3.645,,-9.64,-10.402,0.0,,,-10.402,,,0.0,0.0,0.0,,,,,0.762,13.296,-3.059,-3.79,,,,0.208,0.208,0.0,19.937,,6.791,,,
03/31/2001,30.917,8.529,11.411,38.587002,,38.587002,-27.610001,-27.610001,,-9.52,-9.52,0.0,,,-9.52,,,0.0,0.0,0.0,,,,,0.0,-23.626,-3.061,-20.666,,,,0.101,0.101,0.0,0.0,,-2.229,,,
06/30/2001,30.514999,10.693,11.569,-42.235001,,-42.235001,50.487999,50.487999,,-6.435,-5.978,0.0,,,-5.978,,,0.0,0.0,0.0,,,,,-0.457,-21.951001,-3.078,-19.818001,,,,0.945,0.945,0.0,0.0,,2.129,,,
09/30/2001,65.314,0.386,11.854,32.772,,32.772,20.302,20.302,,-7.44,-7.897,0.0,,,-7.897,,,,,,,,,,0.457,-60.308,-3.089,-13.237,,,,,,,-43.982,,-2.434,,,
12/31/2001,6.982,-5.106,12.242,-18.404,,-18.404,18.25,18.25,,-129.299,-11.923,0.0,,,-11.923,,,0.0,0.0,0.0,,,,,-117.376,130.235,-3.091,133.157,,,,0.169,0.169,0.0,0.0,,7.918,,,
03/31/2002,27.299,12.122,12.297,-0.144,,-0.144,3.024,3.024,,-9.13,-7.08,0.0,,,-7.08,,,0.0,0.0,0.0,,,,,-2.05,-17.077,-3.094,-14.798,,,,0.815,0.815,0.0,0.0,,1.092,,,
06/30/2002,27.209,17.992001,12.833,1.745,,1.745,-5.361,-5.361,,-9.402,-9.283,0.0,,,-9.283,,,0.0,0.0,0.0,,,,,-0.119,-13.214999,-3.102,-137.623001,,,,127.510002,127.510002,0.0,0.0,,4.592,,,
09/30/2002,47.55,10.022,12.598,0.476,,0.476,24.454,24.454,,-19.039,-9.451,0.0,,,-9.451,,,0.0,0.0,0.0,,,,,-9.588,-22.012,-4.026,-22.485,,,,4.499,4.499,0.0,0.0,,6.499,,,
12/31/2002,13.109,11.209,12.965,4.361,,4.361,-15.426,-15.426,,-28.282,-16.658,0.0,,,-16.658,,,0.0,0.0,0.0,,,,,-11.624,15.078,-4.056,18.724,,,,0.41,0.41,0.0,0.0,,-0.095,,,
03/31/2003,-10.2,13.7,12.8,-0.7,,-0.7,-36.0,-36.0,,-5.4,-5.4,0.0,,,-5.4,,,0.0,0.0,0.0,,,,,0.0,10.3,-4.1,14.4,,,,0.0,0.0,0.0,0.0,,-5.3,,,
06/30/2003,4.3,19.8,13.0,-2.1,,-2.1,-26.4,-26.4,,-9.4,-9.4,0.0,,,-9.4,,,0.0,0.0,0.0,,,,,0.0,12.4,-4.0,14.9,,,,1.5,1.5,0.0,0.0,,7.3,,,
09/30/2003,31.9,6.0,12.9,-0.4,,-0.4,13.4,13.4,,-16.4,-13.3,0.0,,,-13.3,,,0.0,0.0,0.0,,,,,-3.099999,-14.9,-4.4,-11.6,,,,1.1,1.1,0.0,0.0,,0.6,,,
12/31/2003,2.9,12.7,13.4,6.0,,6.0,-29.2,-29.2,,-22.2,-20.5,0.0,,,-20.5,,,0.0,0.0,0.0,,,,,-1.7,2.6,-4.3,6.9,,,,0.0,0.0,0.0,0.0,,-16.7,,,
03/31/2004,-11.1,10.8,13.3,-1.7,,-1.7,-33.5,-33.5,,-10.5,-10.5,0.0,,,-10.5,,,0.0,0.0,0.0,,,,,0.0,11.0,-4.4,12.9,,,,2.5,2.5,0.0,0.0,,-10.6,,,
06/30/2004,22.6,17.3,13.5,2.1,,2.1,-10.3,-10.3,,-11.6,-9.3,0.0,,,-9.3,,,0.0,0.0,0.0,,,,,-2.3,-2.9,-4.4,1.0,,,,0.5,0.5,0.0,0.0,,8.1,,,
09/30/2004,15.6,3.0,13.2,-1.2,,-1.2,0.6,0.6,,-11.0,-11.0,0.0,,,-11.0,,,0.0,0.0,0.0,,,,,0.0,1.0,-4.7,5.7,,,,0.0,0.0,0.0,0.0,,5.6,,,
12/31/2004,39.5,4.3,13.9,2.2,,2.2,19.1,19.1,,-17.6,-17.6,0.0,,,-17.6,,,0.0,0.0,0.0,,,,,0.0,-18.6,-4.7,-13.9,,,,0.0,0.0,0.0,0.0,,3.3,,,
03/31/2005,12.4,14.3,13.1,-1.3,,-1.3,-13.7,-13.7,,-7.4,-7.4,0.0,,,-7.4,,,0.0,0.0,0.0,,,,,0.0,-20.0,-4.7,-15.3,,,,0.0,0.0,0.0,0.0,,-15.0,,,
06/30/2005,38.299999,6.5,12.9,4.5,,4.5,14.4,14.4,,-9.0,-9.0,0.0,,,-9.0,,,0.0,0.0,0.0,,,,,0.0,-27.5,-4.7,-22.8,,,,0.0,0.0,0.0,0.0,,1.8,,,
09/30/2005,87.199997,9.7,12.9,4.7,,4.7,59.900002,59.900002,,-14.7,-14.7,0.0,,,-14.7,,,0.0,0.0,0.0,,,,,0.0,-31.800001,-4.8,-34.700001,,,,0.0,0.0,0.0,7.7,,40.700001,,,
12/31/2005,48.8,16.0,13.9,0.8,,0.8,18.1,18.1,,-38.8,-19.5,0.0,,,-19.5,,,0.0,0.0,0.0,,,,,-19.3,-38.6,-4.8,-39.0,,,,12.9,12.9,0.0,-7.7,,-28.6,,,
03/31/2006,-4.7,15.5,12.4,-0.1,,-0.1,-32.5,-32.5,,-10.3,-8.9,0.0,,,-8.9,,,0.0,0.0,0.0,,,,,-1.400001,28.300001,-4.9,29.100001,,,,4.1,4.1,0.0,0.0,,13.3,,,
06/30/2006,36.0,25.1,18.5,-9.5,,-9.5,1.9,1.9,,-331.200012,-15.9,0.0,,,-15.9,,,0.0,0.0,0.0,,,,,-315.300013,303.200006,-4.8,307.800006,,,,2.3,2.3,0.0,-2.1,,8.0,,,
09/30/2006,32.099998,17.0,13.4,12.1,,12.1,-10.4,-10.4,,-29.6,-16.299999,0.0,,,-16.299999,,,0.0,0.0,0.0,,,,,-13.300001,-15.4,-5.2,-13.2,,,,0.9,0.9,0.0,2.1,,-12.9,,,
12/31/2006,66.6,18.9,16.6,11.5,,11.5,19.6,19.6,,-14.2,-27.1,0.0,,,-27.1,,,0.0,0.0,0.0,,,,,12.9,-59.0,-5.2,-54.8,,,,1.0,1.0,0.0,0.0,,-6.6,37.3,,
03/31/2007,-17.0,19.5,16.1,6.4,,6.4,-59.0,-59.0,,-11.0,-11.0,0.0,,,-11.0,,,0.0,0.0,0.0,,,,,0.0,23.3,-5.2,25.8,,,,2.7,2.7,0.0,0.0,,-4.7,,,
06/30/2007,55.3,27.0,18.1,0.1,,0.1,10.1,10.1,,-17.3,-17.3,0.0,,,-17.3,,,0.0,0.0,0.0,,,,,0.0,-29.0,-5.2,-21.1,,,,-2.7,2.5,-5.2,0.0,,9.0,,,
09/30/2007,56.5,24.700001,16.200001,-8.0,,-8.0,23.6,23.6,,-13.2,-13.2,0.0,,,-13.2,,,0.0,0.0,0.0,,,,,0.0,-37.099998,-5.5,-34.099998,,,,2.5,5.1,-2.6,0.0,,6.2,,,
12/31/2007,95.7,17.0,17.1,9.9,,9.9,51.7,51.7,,-29.9,-29.9,0.0,,,-29.9,,,0.0,0.0,0.0,,,,,0.0,-64.9,-5.6,-31.6,,,,-27.7,1.1,-28.8,0.0,,0.9,14.1,26.7,
03/31/2008,-14.9,21.9,16.9,-1.1,,-1.1,-52.599998,-52.599998,,-9.8,-9.8,0.0,,,-9.8,,,0.0,0.0,0.0,,,,,0.0,34.099998,-5.4,39.499999,,,,0.0,0.0,0.0,0.0,,9.4,,,
06/30/2008,38.3,31.9,16.7,3.2,,3.2,-13.5,-13.5,,-3.6,-15.6,0.0,,,-15.6,,,0.0,0.0,0.0,,,,,12.0,-56.5,-5.4,-51.1,,,,0.0,0.0,0.0,0.0,,-21.8,,,
09/30/2008,55.6,21.4,16.7,-7.3,,-7.3,24.8,24.8,,-19.0,-19.0,0.0,,,-19.0,,,0.0,0.0,0.0,,,,,0.0,-33.8,-5.8,-28.9,,,,0.9,0.9,0.0,0.0,,2.8,,,
12/31/2008,27.6,6.6,16.0,-1.9,,-1.9,6.9,6.9,,-21.7,-21.7,0.0,,,-21.7,,,12.0,12.0,0.0,,,,,-12.0,-4.9,-5.7,-0.4,,,,1.2,1.2,0.0,0.0,,1.8,,,
03/31/2009,3.2,2.7,16.4,5.3,,5.3,-21.2,-21.2,0.0,-10.0,-12.5,0.0,,0.0,-12.5,-12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,16.2,-3.9,20.1,0.0,26.6,-6.5,0.0,0.0,0.0,0.0,0.0,9.4,,,
06/30/2009,87.9,21.3,17.1,0.6,,0.6,48.9,48.9,0.0,-16.6,-6.6,2.5,2.5,0.0,-9.1,-9.1,0.0,0.0,0.0,0.0,-0.4,0.0,-0.4,0.0,-9.6,-78.5,-5.7,-65.7,0.0,0.0,-65.7,0.0,0.0,0.0,-7.1,0.0,-7.2,,,
09/30/2009,93.2,34.6,17.2,-26.3,,-26.3,67.7,67.7,0.0,-9.2,-18.8,0.0,0.0,0.0,-18.8,-18.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.6,-68.3,-5.9,-65.9,,,-65.9,3.5,3.5,0.0,0.0,0.0,15.7,,,
12/31/2009,78.6,22.7,,-6.4,,-6.4,-48.6,-48.6,0.0,-90.1,-4.8,0.0,0.0,0.0,-4.8,-4.8,,8.9,8.9,0.0,-71.0,0.0,-71.0,0.0,-9.4,18.6,-5.9,20.4,0.0,20.4,0.0,4.1,4.1,0.0,0.0,0.0,7.1,,,
03/31/2010,-14.4,30.9,10.1,5.4,,5.4,-42.8,-42.8,,-10.3,-7.7,0.0,0.0,0.0,-7.7,-7.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.2,-5.9,31.5,31.5,0.0,0.0,2.6,2.6,0.0,0.0,0.0,3.5,,,
06/30/2010,65.1,16.6,9.2,-5.1,,-5.1,44.8,44.8,0.0,-7.0,-8.4,0.0,,0.0,-8.4,-8.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.6,-43.9,-6.0,-39.4,-39.4,0.0,0.0,1.5,1.5,0.0,0.0,0.0,14.2,,,
09/30/2010,18.2,32.0,10.0,-16.2,,-16.2,-15.5,-15.5,0.0,-27.2,-21.1,0.0,,0.0,-21.1,-21.1,0.0,0.0,0.0,0.0,-5.6,0.0,-5.6,0.0,0.0,24.1,-6.4,30.1,7.9,40.8,-18.6,0.4,0.4,0.0,0.0,0.0,15.1,,,
12/31/2010,55.9,32.2,11.5,2.7,,2.7,-8.1,-8.1,,-22.0,-16.3,0.0,0.0,0.0,-16.3,-16.3,0.0,4.6,4.6,0.0,-6.2,0.0,-6.2,0.0,-1.6,-24.1,-6.4,-17.2,,,,-0.5,,,0.0,0.0,9.8,,,
03/31/2011,-52.2,41.0,10.8,-41.5,,-41.5,-45.8,-45.8,,-15.5,-12.4,0.0,0.0,0.0,-12.4,-12.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,-6.4,77.2,0.0,77.2,0.0,2.2,7.9,-5.7,0.0,0.0,5.3,,,
06/30/2011,-35.0,50.3,11.0,-52.7,,-52.7,-39.4,-39.4,,-10.5,-11.9,0.0,0.0,0.0,-11.9,-11.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.5,-6.5,35.4,0.0,51.2,-15.8,0.6,0.6,0.0,0.0,0.0,-16.0,,,
09/30/2011,17.8,182.3,11.4,-20.8,,-20.8,19.4,19.4,,299.0,-12.4,0.0,0.0,0.0,-12.4,-12.4,0.0,0.0,0.0,0.0,-418.1,0.0,-418.1,0.0,0.0,15.6,-7.4,21.7,0.0,24.5,-2.8,1.3,1.3,0.0,0.0,0.0,332.4,,,
12/31/2011,128.1,32.1,13.8,9.8,,9.8,73.8,73.8,,-147.4,-16.8,0.0,0.0,0.0,-16.8,-16.8,0.0,0.0,0.0,0.0,-3.0,0.0,-3.0,0.0,0.0,42.1,-7.4,65.9,0.0,65.9,,-16.4,1.4,-17.8,0.0,0.0,22.8,,,
03/31/2012,-3.5,47.5,13.4,-24.5,,-24.5,-21.4,-21.4,0.0,48.9,-13.1,0.0,0.0,0.0,-13.1,-13.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,-141.6,-7.3,-143.1,0.0,0.0,-143.1,8.8,8.8,0.0,0.0,0.0,-96.2,,,
06/30/2012,7.1,35.0,13.1,2.3,,2.3,-35.2,-35.2,0.0,-66.7,-17.2,0.0,0.0,0.0,-17.2,-17.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-49.5,-48.0,-7.5,-34.0,0.0,0.0,-34.0,-6.5,3.2,-9.7,0.0,0.0,-107.6,,,
09/30/2012,70.2,37.0,13.9,8.4,,8.4,11.3,11.3,0.0,-36.7,-14.2,0.0,0.0,0.0,-14.2,-14.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-22.5,-13.4,-9.2,-6.0,0.0,0.0,-6.0,1.8,1.8,0.0,0.0,0.0,20.1,,,
12/31/2012,70.1,39.3,14.2,5.0,,5.0,8.7,8.7,0.0,-32.3,-25.4,0.0,0.0,0.0,-25.4,-25.4,0.0,0.0,0.0,0.0,-13.5,0.0,-13.5,0.0,6.6,-50.5,-9.2,-35.7,0.0,0.0,-35.7,-5.6,6.7,-12.3,0.0,0.0,-12.7,,,
03/31/2013,33.3,39.0,14.1,9.9,,9.9,-28.9,-28.9,0.0,29.3,-18.4,0.0,0.0,0.0,-18.4,-18.4,0.0,0.0,0.0,0.0,-3.6,0.0,-3.6,0.0,51.3,-22.6,-9.4,-15.5,0.0,0.0,-15.5,2.3,5.8,-3.5,0.0,0.0,40.0,,,
06/30/2013,71.7,42.1,13.9,1.2,,1.2,15.1,15.1,0.0,26.9,-19.8,0.0,0.0,0.0,-19.8,-19.8,0.0,0.0,0.0,0.0,-0.4,0.0,-0.4,0.0,47.1,-39.4,-11.1,-18.9,0.0,0.0,-18.9,-9.4,1.1,-10.5,0.0,0.0,59.2,,,
09/30/2013,83.0,46.2,14.2,11.9,,11.9,11.1,11.1,0.0,-31.3,-27.5,0.0,0.0,0.0,-27.5,-27.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.8,-43.7,-11.1,17.9,,,,-50.5,2.0,-52.5,0.0,0.0,8.0,,,
12/31/2013,112.1,42.4,17.5,9.3,,9.3,43.7,43.7,0.0,-33.1,-32.0,0.0,0.0,0.0,-32.0,-32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1,-51.9,-11.0,-35.0,0.0,0.0,-35.0,-5.9,1.3,-7.2,0.0,0.0,27.1,,,
03/31/2014,11.8,46.7,14.8,7.5,,7.5,-56.7,-56.7,0.0,-25.4,-25.3,0.0,0.0,0.0,-25.3,-25.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,2.7,-13.8,36.2,0.0,36.2,0.0,-19.7,1.6,-21.3,0.0,0.0,-10.9,,,
06/30/2014,78.0,57.3,14.8,4.9,,4.9,1.6,1.6,0.0,-25.3,-25.5,0.0,0.0,0.0,-25.5,-25.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,-28.8,-13.6,22.3,0.0,22.3,0.0,-37.5,2.0,-39.5,0.0,0.0,23.9,,,
09/30/2014,74.0,50.6,14.8,7.7,,7.7,1.3,1.3,0.0,-34.7,-15.2,0.0,0.0,0.0,-15.2,-15.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-19.5,-32.5,-13.6,5.8,0.0,5.8,0.0,-24.7,1.1,-25.8,0.0,0.0,6.8,,,
12/31/2014,100.2,53.2,15.4,15.7,,15.7,16.2,16.2,0.0,-120.6,-20.1,0.0,0.0,0.0,-20.1,-20.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-100.5,-60.7,-13.4,-30.1,0.0,0.0,-30.1,-17.2,0.0,-17.2,0.0,0.0,-81.1,,,
03/31/2015,-0.4,58.4,15.6,-6.2,5.7,-11.9,-68.0,-68.0,0.0,-82.8,-14.9,0.0,0.0,0.0,-14.9,-14.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-67.9,47.9,-17.1,81.9,0.0,81.9,0.0,-16.9,3.8,-20.7,0.0,0.0,-35.3,,,
06/30/2015,61.6,71.1,16.0,1.2,1.1,0.1,-26.3,-26.3,0.0,-29.8,-16.1,0.0,0.0,0.0,-16.1,-16.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-13.7,-67.8,-16.9,-24.7,0.0,0.0,-24.7,-26.2,0.4,-26.6,0.0,0.0,-36.0,,,
09/30/2015,175.9,73.6,15.7,-0.9,1.0,-1.9,87.9,87.9,0.0,-48.9,-22.1,0.0,0.0,0.0,-22.1,-22.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-26.8,-92.2,-16.9,-17.9,0.0,0.0,-17.9,-57.4,2.6,-60.0,0.0,0.0,34.8,,,
12/31/2015,114.6,79.8,15.7,-3.9,1.0,-4.9,23.2,23.2,0.0,-24.6,-19.6,0.0,0.0,0.0,-19.6,-19.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.0,-49.3,-16.9,-11.2,0.0,0.0,-11.2,-21.2,2.6,-23.8,0.0,0.0,40.7,,,
03/31/2016,26.5,73.5,16.2,6.5,5.1,1.4,-69.7,-69.7,0.0,-30.5,-19.4,0.0,0.0,0.0,-19.4,-19.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11.1,-14.1,-21.2,37.4,0.0,37.4,0.0,-30.3,0.2,-30.5,0.0,0.0,-18.1,,,
