Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Assets Held-for-Sale,Deferred Tax Assets,Discontinued Operations,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Prepaid Pension Costs,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Deferred Tax Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
09/26/1992,632.622986,42.481998,42.481998,0.0,49.356998,,,361.274994,,,,,11.922,,,,,,465.036011,156.029999,202.643005,-46.612999,0.0,,11.557,,,,,11.557,167.586999,,206.212006,206.212006,,,,2.953,,,,,,63.616,,,63.616,272.781006,4.276,,,,,5.125,,,,5.125,9.401,282.182006,0.0,301.462006,,,-1.75,,50.729,350.441006,0.0,350.441006,632.623012,
12/26/1992,848.372986,130.192001,130.192001,0.0,62.012001,,,456.252014,,,,,15.556,,,,,,664.012024,168.468002,219.938995,-51.471001,0.0,,15.893,,,,,15.893,184.361002,,237.384995,237.384995,,,,2.948,,,,,,66.227003,,,66.227003,306.559998,154.565994,,,,,4.8,,,,4.8,159.365994,465.925992,0.0,319.742004,,,-1.75,,64.455002,382.447006,0.0,382.447006,848.372998,
03/27/1993,834.94397,185.257996,185.257996,0.0,41.105999,,,401.606995,,,,,12.316,,,,,,640.286987,178.886002,236.190002,-57.304001,0.0,,15.771,,,,,15.771,194.657001,,205.401993,205.401993,,,,2.919,,,,,,66.051993,,,66.051993,274.372986,155.873001,,,,,3.619,,,,3.619,159.492001,433.864987,0.0,324.283997,,,-1.75,,78.544998,401.078995,0.0,401.078995,834.943982,
06/26/1993,893.747986,143.283997,143.283997,0.0,38.995998,,,475.791992,,,,,13.715,,,,,,671.786987,190.462006,253.695999,-63.234001,0.0,,31.499001,,,,,31.499001,221.961006,,223.994995,223.994995,,,,5.067,,,,,,72.397996,,,72.397996,301.459991,157.089005,,,,,3.545,,,,3.545,160.634005,462.093996,0.0,343.873993,,,-1.75,,89.529999,431.653992,0.0,431.653992,893.747988,
09/25/1993,1190.521973,84.546997,84.546997,0.0,113.008003,,,509.380005,,,,,27.545,,,,,,734.47998,235.604004,306.057007,-70.453003,0.0,,220.438004,,,,,220.438004,456.042007,,243.345993,243.345993,,,,3.43,,,,,,123.745003,,,123.745003,370.520996,128.240005,,,,,159.358002,,,,159.358002,287.598007,658.119003,0.0,427.273987,,,-1.75,,106.878998,532.402985,0.0,532.402985,1190.521988,
12/25/1993,1531.092041,142.470993,142.470993,0.0,201.988998,,,663.146973,,,,,31.235001,,,,,,1038.842041,268.165985,354.942993,-86.777,0.0,,224.084,,,,,224.084,492.249985,,412.490997,412.490997,,,,9.304,,,,,,145.93303,,,145.93303,567.728027,367.60199,,,,,5.478,,,,5.478,373.07999,940.808017,0.0,430.381989,,,-1.75,,161.651993,590.283982,0.0,590.283982,1531.091999,
04/01/1994,1530.237061,98.875,98.875,0.0,174.731995,,,705.400024,,,,,32.719002,,,,,,1011.726013,294.752014,384.644989,-89.892998,0.0,,223.759003,,,,,223.759003,518.511017,,414.596008,414.596008,,,,2.922,,,,,,140.825986,,,140.825986,558.343994,369.743011,,,,,6.114,,,,6.114,375.857011,934.201005,0.0,434.118011,,,-1.75,,163.667999,596.036011,0.0,596.036011,1530.237016,
06/25/1994,1527.641968,79.959999,79.959999,0.0,186.716003,,,682.033997,,,,,35.193001,,,,,,983.903015,317.584015,420.837006,-103.252998,0.0,,226.154999,,,,,226.154999,543.739014,,384.277008,384.277008,,,,2.664,,,,,,133.43802,,,133.43802,520.379028,373.373993,,,,,2.36,,,,2.36,375.733993,896.113021,0.0,438.542999,,,-1.75,,194.735992,631.528992,0.0,631.528992,1527.642013,
09/24/1994,1692.151001,62.741001,62.741001,0.0,270.412994,,,737.898987,,,,,38.306,,,,,,1109.359009,352.363007,467.783997,-115.420998,0.0,,230.429001,,,,,230.429001,582.792007,,446.687988,446.687988,,,,9.161,,,,,,174.648021,,,174.648021,630.497009,376.931,,,,,5.58,,,,5.58,382.511,1013.008009,0.0,459.769012,,,-1.75,,221.123993,679.143005,0.0,679.143005,1692.151014,
12/31/1994,1903.983032,32.405998,32.405998,0.0,266.628998,,,936.047974,,,,,39.139,,,,,,1274.222046,397.229004,524.349976,-127.121002,0.0,,232.531998,,,,,232.531998,629.761002,,609.914001,609.914001,,,,4.03,,,,,,172.944976,,,172.944976,786.888977,393.799988,,,,,8.023,,,,8.023,401.822988,1188.711965,0.0,454.631989,,,-1.75,,262.389008,715.270997,0.0,715.270997,1903.982962,
04/01/1995,2012.167969,28.195,28.195,0.0,268.638,,,1005.768982,,,,,47.056,,,,,,1349.657959,431.708008,571.653992,-139.945999,0.0,,230.802002,,,,,230.802002,662.51001,,612.757019,612.757019,,,,1.392,,,,,,175.020964,,,175.020964,789.169983,462.101013,,,,,6.986,,,,6.986,469.087013,1258.256996,0.0,460.453003,,,-1.75,,295.208008,753.911011,0.0,753.911011,2012.168007,
07/01/1995,2056.686035,30.277,30.277,0.0,290.571014,,,984.947021,,,,,47.445999,,,,,,1353.240967,468.345001,622.044983,-153.699997,0.0,,235.100006,,,,,235.100006,703.445007,,517.809998,517.809998,,,,0.778,,,,,,160.193985,,,160.193985,678.781982,578.588989,,,,,10.659,,,,10.659,589.24799,1268.029972,0.0,467.03299,,,-1.75,,323.372986,788.655975,0.0,788.655975,2056.685947,
09/30/1995,2151.156006,63.131001,63.131001,0.0,326.871002,,,973.390015,,,,,40.882,,,,,,1404.274048,509.464996,677.560974,-168.095993,0.0,,237.417007,,,,,237.417007,746.882004,,606.25,606.25,,,,0.515,,,,,,181.425002,,,181.425002,788.190002,390.89801,,,,,14.23,,,,14.23,405.12801,1193.318012,0.0,598.156982,,,-1.75,,361.431,957.837982,0.0,957.837982,2151.155994,
12/30/1995,2531.217041,61.993,61.993,0.0,380.431,,,1258.412964,,,,,30.162001,,,,,,1730.999023,565.08197,747.926025,-182.843994,0.0,,235.136002,,,,,235.136002,800.217972,,841.588989,841.588989,,,,3.309,,,,,,177.117026,,,177.117026,1022.015015,494.910004,,,,,11.297,,,,11.297,506.207004,1528.222019,0.0,607.455994,,,-1.75,,397.289001,1002.994995,0.0,1002.994995,2531.217014,
03/30/1996,2506.61792,36.462002,36.462002,0.0,346.253998,,,1266.901001,,,,,39.050999,,,,,,1688.667969,581.27002,,,0.0,,236.679993,,,,,236.679993,817.950013,,758.059021,758.059021,,,,2.4,,,,,,196.930994,,,196.930994,957.390015,486.825012,,,,,16.620001,,,,16.620001,503.445013,1460.835028,0.0,616.788025,,,-1.75,,430.744995,1045.78302,0.0,1045.78302,2506.618048,
06/29/1996,2499.650879,17.589001,17.589001,0.0,337.375,,,1252.5,,,,,38.396,,,,,,1645.859985,614.395996,,,0.0,,239.395004,,,,,239.395004,853.791,,613.549011,613.549011,,,,2.441,,,,,,198.577982,,,198.577982,814.567993,588.91803,,,,,18.127001,,,,18.127001,607.045031,1421.613024,0.0,620.745972,,,-1.75,,459.041992,1078.037964,0.0,1078.037964,2499.650988,
09/28/1996,2590.816895,35.574001,35.574001,0.0,393.355988,,,1236.276001,,,,,39.803001,,,,,,1705.009033,643.366028,,,0.0,,242.442001,,,,,242.442001,885.808029,,716.03302,716.03302,,,,2.438,,,,,,202.069996,,,202.069996,920.541016,524.874023,,,,,29.177,,,,29.177,554.051023,1474.592039,0.0,627.354004,,,-1.75,,490.621002,1116.225006,0.0,1116.225006,2590.817045,
12/28/1996,2740.316895,51.397999,51.397999,0.0,401.899994,,,1324.505981,,,,,43.792,,,,,,1821.595947,671.64801,925.53302,-253.884995,0.0,,247.072998,,,,,247.072998,918.721008,,781.963013,781.963013,,,,142.339005,,,,,,203.499007,,,203.499007,1127.801025,416.756989,,,,,39.813999,,,,39.813999,456.570988,1584.372013,0.0,631.643005,,,-1.75,,526.052002,1155.945007,0.0,1155.945007,2740.31702,
03/29/1997,2656.125977,84.584999,84.584999,0.0,365.980988,,,1241.370972,,,,,42.757999,,,,,,1734.694946,671.034973,,,0.0,,250.395996,,,,,250.395996,921.430969,,743.284973,743.284973,,,,2.373,,,,,,245.618028,,,245.618028,991.276001,420.523987,,,,,46.513,,,,46.513,467.036987,1458.312988,0.0,635.643982,,,-1.75,,563.919006,1197.812988,0.0,1197.812988,2656.125977,
06/28/1997,2574.615967,69.904999,69.904999,0.0,382.781006,,,1154.704956,,,,,48.164001,,,,,,1655.555054,667.033997,963.98999,-296.955994,0.0,,252.026993,,,,,252.026993,919.060989,,641.163025,641.163025,,,,2.393,,,,,,228.099981,,,228.099981,871.656006,424.506989,,,,,46.672001,,,,46.672001,471.178989,1342.834995,0.0,639.335022,,,-1.75,,594.195984,1231.781006,0.0,1231.781006,2574.616001,
09/27/1997,2833.032959,194.093002,194.093002,0.0,444.497986,,,1203.776978,,,,,56.245998,,,,,,1898.614014,682.419006,1000.893005,-318.473999,0.0,,252.0,,,,,252.0,934.419006,,778.822998,778.822998,,,,2.639,,,,,,274.065956,,,274.065956,1055.527954,452.345001,,,,,46.405998,,,,46.405998,498.750999,1554.278953,0.0,642.700012,,,-1.75,,637.804016,1278.754028,0.0,1278.754028,2833.032981,
12/27/1997,3520.819092,257.744999,239.876999,17.868,652.786011,,,1397.265991,,,,,73.281998,,,,,,2381.079102,846.676025,1240.743042,-394.066986,0.0,,293.063995,,,,,293.063995,1139.740021,,988.737976,988.737976,,,,2.473,,,,,,296.404991,,,296.404991,1287.615967,447.019989,,,,,68.544998,,,,68.544998,515.564987,1803.180954,0.0,765.362,,,-1.75,,954.026001,1717.638,0.0,1717.638,3520.818954,
03/28/1998,3056.783936,390.019012,390.019012,0.0,422.514008,,,1228.657959,0.0,0.0,1228.657959,0.0,53.486,,,,,,2094.677002,688.726013,1048.837036,-360.110992,0.0,,273.381012,,,,,273.381012,962.107025,,853.137024,853.137024,,,,2.487,,,,,,275.062988,,,275.062988,1130.687012,450.959015,,,,,80.194,,,,80.194,531.153015,1661.840027,0.0,658.106995,,,-1.75,,738.586975,1394.94397,0.0,1394.94397,3056.783997,
06/27/1998,3003.582031,327.485992,327.485992,0.0,447.957001,,,1162.001953,0.0,0.0,1162.001953,0.0,59.306999,,,,,,1996.751953,716.671021,1099.126953,-382.455994,0.0,,290.158997,,,,,290.158997,1006.830018,,726.406006,726.406006,,,,2.532,,,,,,269.19798,,,269.19798,998.135986,462.86499,,,,,91.466003,,,,91.466003,554.330993,1552.466979,0.0,672.062988,,,-1.75,,780.802002,1451.11499,0.0,1451.11499,3003.581969,
09/26/1998,3779.775879,603.981002,542.966003,61.014999,659.635986,,,1192.269043,0.0,0.0,1192.269043,0.0,87.792,,,,,,2543.677979,903.359009,1369.666016,-466.307007,0.0,,332.739014,209.916,,,,122.823014,1236.098023,,947.150024,947.150024,,,,3.483,,,,,,325.283968,,,325.283968,1275.916992,466.143005,,,,,93.615997,,,,93.615997,559.759002,1835.675994,0.0,816.174988,,,-1.75,,1129.675049,1944.100037,0.0,1944.100037,3779.776031,
12/26/1998,4025.283,714.965,704.541,10.424,721.446,721.446,,1258.355,,,,,85.669,,,,,,2780.435,891.471,1434.864,-543.393,0.0,,353.377,227.964,227.964,0.0,,125.413,1244.848,,1027.591,1027.591,,,,2.834,,,,,,456.64,,,456.64,1487.065,470.711,,,,,38.628,,,,38.628,509.339,1996.404,0.0,841.86,,,-1.75,1209.721,-20.952,2028.879,0.0,2028.879,4025.283,
03/27/1999,4275.465,909.986,900.639,9.347,659.2,659.2,,1234.407,0.0,0.0,1234.407,0.0,100.732,,,,,,2904.325,1010.913,1543.105,-532.192,0.0,,360.227,225.417,225.417,0.0,,134.81,1371.14,,1066.013,1066.013,,,,4.83,,,,,,507.472,,,507.472,1578.315,485.01,,,,,50.386,,,,50.386,535.396,2113.711,0.0,887.328,,,-1.75,1310.297,-34.121,2161.754,0.0,2161.754,4275.465,
06/26/1999,4293.5,729.983,622.152,107.831,742.693,742.693,,1280.596,0.0,0.0,1280.596,0.0,100.094,,,,,,2853.366,1078.93,1609.677,-530.747,0.0,,361.204,244.437,244.437,0.0,,116.767,1440.134,,1001.68,1001.68,,,,7.335,,,,,,482.63,,,482.63,1491.645,509.194,,,,,48.81,,,,48.81,558.004,2049.649,0.0,899.127,,,-1.75,1384.413,-37.939,2243.851,0.0,2243.851,4293.5,
09/25/1999,4240.269,575.353,503.34,72.013,810.212,810.212,,1215.943,,0.0,1215.943,0.0,120.972,,,,,,2722.48,1136.216,1695.178,-558.962,0.0,,381.573,246.17,246.17,0.0,,135.403,1517.789,,1174.785,1174.785,,,,7.858,,,,,,601.423,,,601.423,1784.066,532.834,,,,,55.254,,,,55.254,588.088,2372.154,0.0,913.26,,,-392.741,1383.34,-35.744,1868.115,0.0,1868.115,4240.269,
12/25/1999,4276.183,218.784,218.784,0.0,849.478,849.478,,1436.879,0.0,0.0,1436.879,0.0,125.911,,,,,,2631.052,1145.628,1723.013,-577.385,0.0,,499.503,240.166,240.166,0.0,,259.337,1645.131,,1239.301,1239.301,,,,250.466,242.98,7.486,7.486,,,454.278,,,454.278,1944.045,321.099,259.146,61.953,61.953,,103.319,,,,103.319,424.418,2368.463,0.0,930.057,,,-501.361,1467.359,11.665,1907.72,0.0,1907.72,4276.183,
03/25/2000,4170.456,344.035,344.035,0.0,796.417,796.417,,1256.163,0.0,0.0,1256.163,0.0,125.836,,,,,,2522.451,1158.683,1776.504,-617.821,0.0,,489.322,238.818,238.818,0.0,,250.504,1648.005,,1132.916,1132.916,,,,254.253,,,,,,473.105,,,473.105,1860.274,339.665,,,,,94.112,,,,94.112,433.777,2294.051,0.0,936.037,,,-645.686,1576.395,9.659,1876.405,0.0,1876.405,4170.456,
06/24/2000,4025.665,213.123,213.123,0.0,773.089,773.089,,1294.401,0.0,0.0,1294.401,0.0,121.786,,,,,,2402.399,1178.182,1823.263,-645.081,0.0,,445.084,445.084,445.084,0.0,,0.0,1623.266,,1079.646,1079.646,,,,256.685,,,,,,453.447,,,453.447,1789.778,341.628,,,,,70.198,,,,70.198,411.826,2201.604,0.0,940.92,,,-701.818,1634.332,-49.373,1824.061,0.0,1824.061,4025.665,
09/23/2000,4195.331,225.683,225.683,0.0,852.094,852.094,,1390.245,0.0,0.0,1390.245,0.0,128.963,,,,,,2596.985,1181.697,1854.349,-672.652,0.0,,416.649,232.933,232.933,0.0,,183.716,1598.346,,1242.767,1242.767,,,,258.576,,,,,,489.101,,,489.101,1990.444,344.821,,,,,87.981,,,,87.981,432.802,2423.246,0.0,943.773,,,-781.739,1684.954,-74.903,1772.085,0.0,1772.085,4195.331,
12/30/2000,4196.334,151.482,151.482,0.0,896.333,896.333,,1420.825,0.0,0.0,1420.825,0.0,230.449,,,,,,2699.089,1119.306,1884.506,-765.2,0.0,,377.939,219.971,219.971,0.0,,157.968,1497.245,,1136.994,1136.994,,,,7.259,0.0,7.259,7.259,,,618.084,,,618.084,1762.337,744.499,678.006,66.493,66.493,,88.247,,,,88.247,832.746,2595.083,0.0,943.001,,,-802.158,1516.691,-56.283,1601.251,0.0,1601.251,4196.334,
03/31/2001,3737.549,134.386,134.386,0.0,796.842,796.842,,1114.403,0.0,0.0,1114.403,0.0,216.077,,,,,,2261.708,1098.445,,,0.0,,377.396,216.742,216.742,0.0,,160.654,1475.841,,1009.378,1009.378,,,,7.699,,,,,,575.418,,,575.418,1592.495,412.109,,,,,92.384,,,,92.384,504.493,2096.988,0.0,948.124,,,-802.158,1573.02,-78.425,1640.561,0.0,1640.561,3737.549,
06/30/2001,3729.046,189.609,189.609,0.0,783.614,783.614,,1114.054,0.0,0.0,1114.054,0.0,176.274,,,,,,2263.551,1092.862,,,0.0,,372.633,221.872,221.872,0.0,,150.761,1465.495,,918.707,918.707,,,,7.925,,,,,,607.161,,,607.161,1533.793,459.741,,,,,50.557,,,,50.557,510.298,2044.091,0.0,957.266,,,-802.158,1614.994,-85.147,1684.955,0.0,1684.955,3729.046,
09/29/2001,4181.865,539.876,539.876,0.0,821.527,821.527,,1100.398,0.0,0.0,1100.398,0.0,174.812,,,,,,2636.613,1098.578,,,0.0,,446.674,268.923,268.923,0.0,,177.751,1545.252,,1028.719,1028.719,,,,92.741,,,,,,663.52,,,663.52,1784.98,551.633,,,,,66.335,,,,66.335,617.968,2402.948,0.0,971.046,,,-802.142,1677.454,-67.441,1778.917,0.0,1778.917,4181.865,
12/29/2001,4331.643,565.388,565.388,0.0,774.175,781.476,,1253.42,0.0,0.0,1253.42,0.0,230.398,,,,,,2823.381,1099.618,1894.902,-795.284,0.0,,408.644,242.762,242.762,0.0,,165.882,1508.262,,1058.436,1058.436,,,,318.521,308.035,10.486,10.486,,,724.557,,,724.557,2101.514,317.552,247.581,69.971,69.971,,64.139,,,,64.139,381.691,2483.205,0.0,1010.943,,,-806.388,1717.734,-73.851,1848.438,0.0,1848.438,4331.643,
03/30/2002,4363.993,844.628,844.628,0.0,763.953,763.953,,1025.793,0.0,0.0,1025.793,0.0,212.217,,,,,,2846.591,1102.879,1935.801,-832.922,0.0,,414.523,244.162,244.162,0.0,,170.361,1517.402,,922.799,922.799,,,,324.795,,,,,,747.263,,,747.263,1994.857,315.712,,,,,68.686,,,,68.686,384.398,2379.255,0.0,1061.395,,,-818.535,1820.443,-78.565,1984.738,0.0,1984.738,4363.993,
06/29/2002,4585.813,967.401,967.401,0.0,756.004,756.004,,1096.333,0.0,0.0,1096.333,0.0,209.346,,,,,,3029.084,1109.624,,,0.0,,447.105,264.519,264.519,0.0,,182.586,1556.729,,1015.726,1015.726,,,,254.659,,,,,,710.612,,,710.612,1980.997,402.083,,,,,65.718,,,,65.718,467.801,2448.798,0.0,1114.252,,,-830.373,1877.388,-24.252,2137.015,0.0,2137.015,4585.813,
09/28/2002,4593.266,940.187,940.187,0.0,792.508,792.508,,1090.705,0.0,0.0,1090.705,0.0,252.006,,,,,,3075.406,1093.869,,,0.0,,423.991,256.555,256.555,0.0,,167.436,1517.86,,1105.208,1105.208,,,,17.54,,,,,,781.032,,,781.032,1903.78,412.533,,,,,67.673,,,,67.673,480.206,2383.986,0.0,1116.592,,,-842.885,1965.56,-29.987,2209.28,0.0,2209.28,4593.266,
12/28/2002,4765.812,883.523,877.088,6.435,771.632,771.632,,1305.589,0.0,0.0,1305.589,0.0,248.971,,,,,,3209.715,1118.062,2062.522,-944.46,0.0,,438.035,257.797,257.797,0.0,,180.238,1556.097,,1173.973,1173.973,,,,16.115,1.646,14.469,14.469,,,801.921,,,801.921,1992.009,411.97,346.875,65.095,65.095,,64.721,,,,64.721,476.691,2468.7,0.0,1121.967,,,-853.167,2028.442,-0.13,2297.112,0.0,2297.112,4765.812,
03/29/2003,4659.623,980.645,978.863,1.782,752.296,752.296,,1138.904,0.0,0.0,1138.904,0.0,248.309,,,,,,3120.154,1107.074,2097.48,-990.406,0.0,,432.395,258.527,258.527,0.0,,173.868,1539.469,,1017.04,1017.04,,,,15.479,,,,,,761.417,,,761.417,1793.936,408.778,,,,,62.678,,,,62.678,471.456,2265.392,0.0,1124.123,,,-853.15,2107.638,15.62,2394.231,0.0,2394.231,4659.623,
06/28/2003,5492.785,460.028,460.028,0.0,1068.753,1068.753,,1257.56,0.0,0.0,1257.56,0.0,218.905,,,,,,3005.246,1205.862,2229.893,-1024.031,0.0,,1281.677,833.191,833.191,0.0,,448.486,2487.539,,1129.701,1129.701,,,,13.365,,,,,,1121.899,,,1121.899,2264.965,435.958,,,,,267.616,,,,267.616,703.574,2968.539,0.0,1131.777,,,-853.201,2167.267,78.403,2524.246,0.0,2524.246,5492.785,
09/27/2003,5801.687,822.961,822.961,0.0,1088.935,1088.935,,1193.772,0.0,0.0,1193.772,0.0,204.025,,,,,,3309.693,1204.55,2279.283,-1074.733,0.0,,1287.444,836.538,836.538,0.0,,450.906,2491.994,,1185.688,1185.688,,,,18.181,,,,,,820.508,,,820.508,2024.377,831.865,,,,,273.307,,,,273.307,1105.172,3129.549,0.0,1169.197,,,-853.483,2258.933,97.491,2672.138,0.0,2672.138,5801.687,
12/27/2003,6145.242,891.123,790.889,100.234,1112.417,1112.417,,1336.341,0.0,0.0,1336.341,0.0,236.847,,,,,,3576.728,1244.295,2417.084,-1172.789,0.0,,1324.219,1004.122,1004.122,0.0,,320.097,2568.514,,1323.179,1323.179,,,,12.916,1.697,11.219,11.219,,,941.158,,,941.158,2277.253,829.302,759.935,69.367,69.367,,244.6,,,,244.6,1073.902,3351.155,0.0,1179.485,,,-903.537,2257.771,260.368,2794.087,0.0,2794.087,6145.242,
03/27/2004,6209.953,1075.245,974.287,100.958,1094.31,1094.31,,1182.769,0.0,0.0,1182.77,0.0,258.673,,,,,,3610.997,1256.517,,,0.0,,1342.439,1002.25,1002.25,0.0,,340.189,2598.956,,1200.532,1200.532,,,,13.561,,,,,,995.008,,,995.008,2209.101,846.098,,,,,251.941,,,,251.941,1098.039,3307.14,0.0,1203.022,,,-903.755,2420.3,183.246,2902.813,0.0,2902.813,6209.953,
