Date,Revenue,Rental Income,Base Rent,Recoveries from Tenants,Percentage Rent,Other Rental Income,Real Estate Sales,Com & Fee Earn/Inc from REO,Mortgage Income,Other Operating Income,Operating Expenses,Property Operating Expenses,Real Estate Tax,Maintenance Expense,Other Property Expense,General & Administrative,Depreciation & Amortization,Provision for Loan Losses,Cost of Real Estate Sold,Other Operating Expenses,Operating Income (Loss),Non-Operating (Income) Loss,Interest Expense,(Income) Loss from Affiliates,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",FFO Reconciliation,D&A of Con Real Estate,D&A of Uncon Real Estate,D&A of Non-Real Estate Assets,D&A from Disc Ops,Impairment of Assets,Disposal of Con Assets,Disposal of Uncon Assets,Other FFO Adjustments,Funds from Operations,Other Abnormal Gains/(Losses),Adjusted Funds from Operations,Straight-Line Rent,Stock-Based Compensation,Amortization of Financing Costs,Recurring Capital Expenditure,Accounting Adjustments,Tenant Improv & Leasing Com,Funds Available For Distribution,AFFO Per Diluted Share,FAD Per Diluted Share,Dividend Per Share,AFFO Payout Ratio,FAD Payout Ratio,FFO Payout Ratio,Source: Bloomberg
09/30/2006,71.037,70.673,,,,,0.0,0.0,0.0,0.364,-52.222,22.862,,,,4.986,23.767,0.0,,0.607,18.815,-13.832,13.792,0.0,0.04,4.983,0.0,11.342,-10.461,,,15.444,8.462,14.787,,,11.342,11.342,,36.114253,0.31,0.02,0.02,37.446893,0.3,0.02,0.02,,24.453,,,,,-18.016,,,26.241,,26.241,,,,,,,26.241,0.407486,0.407486,0.265,65.032869,65.032869,36.470703,
12/31/2006,82.461,81.848,,,,,0.0,0.0,0.0,0.613,-61.101,27.102,,,,6.535,27.291,0.0,,0.173,21.36,-13.93,14.102,-0.177,0.005,7.43,0.0,2.978,-0.198,,,7.628,1.263,6.423,,,2.978,2.978,,47.332515,0.06,0.06,0.06,48.940617,0.06,0.06,0.06,,28.056,0.796,,,,-0.08,,,33.013,,33.013,,,,,,,33.013,0.476975,0.476975,0.28625,60.013592,60.013592,40.495166,
03/31/2007,89.48,88.967,,,,,,,,0.513,-67.002,30.205,,,,7.21,29.399,0.0,,0.188,22.478,-16.049,16.594,-0.545,0.0,6.429,0.0,18.641,-16.158,,,22.587,3.762,22.086,,,18.641,18.641,,56.5112,0.33,0.04,0.04,58.424427,0.32,0.04,0.04,,29.399,1.036,-0.135,0.379,,-18.049,,,35.033,,35.033,,,,,,,35.033,0.501685,0.501685,0.28625,57.057669,57.057669,46.174553,
06/30/2007,96.115,95.336,,,,,0.0,0.0,0.0,0.779,-73.042,32.626,,,,8.456,31.832,0.0,,0.128,23.073,-15.048,15.264,-0.216,0.0,8.025,0.0,2.85,-0.038,,,8.063,0.294,7.758,,,2.591,2.591,,60.69774,0.04,0.04,0.04,62.970291,0.04,0.04,0.04,,31.708,1.01,,,,,,,35.619,,35.619,,,,,,,35.619,0.507184,0.507184,0.28625,56.439038,56.439038,48.779382,
09/30/2007,105.415,104.64,,,,,0.0,0.0,0.0,0.775,-83.369,39.754,,,,7.775,35.345,0.0,,0.495,22.046,-16.92,16.683,0.237,0.0,5.126,0.0,-0.224,0.016,,,5.11,-0.027,5.135,,,-0.224,-0.224,,60.717153,0.0,0.0,0.0,60.717153,0.0,0.0,0.0,,35.216,0.969,,,,,,,35.934,,35.934,,,,,,,35.934,0.513803,0.513803,0.28625,55.712047,55.712047,48.367243,
12/31/2007,106.524,105.663,,,,,0.0,0.0,0.0,0.861,-84.945,38.867,,,,8.159,37.818,0.0,,0.101,21.579,-15.938,15.863,0.075,0.0,5.641,0.0,21.262,0.0,,,5.641,4.073,5.613,,,0.254,0.254,,64.098942,0.0,0.0,0.0,66.288996,0.0,0.0,0.0,,134.394,3.934,-0.533,0.379,,-18.049,,,145.46,,145.46,,,,,,,145.46,2.054351,2.054351,0.31,15.089922,15.089922,13.660575,
03/31/2008,114.547,114.533,,,,,0.0,0.0,0.0,0.014,-49.793,41.01,,,,8.783,39.153,0.0,,0.307,25.294,-14.389,15.202,-0.158,-0.655,10.905,-0.089,2.319,0.0,,,10.816,0.239,10.577,,,2.319,2.319,0.0,65.431586,0.04,0.04,0.04,67.142783,0.03,0.04,0.04,,39.153,0.894,-0.159,,,,,,42.446,,47.259,,,,,,,47.259,0.57267,0.57267,0.31,54.132419,54.132419,47.787287,
06/30/2008,123.776,123.664,,,,,0.0,0.0,0.0,0.112,-55.349,45.663,,,,9.686,39.591,0.0,,0.002,28.834,-14.558,14.956,-0.173,-0.225,14.276,-0.726,3.094,0.0,0.0,0.0,13.55,0.354,13.196,6.658,,3.094,3.094,0.182,65.889122,0.05,0.05,0.05,68.0686,0.05,0.05,0.05,,39.414,0.872,,,,,,,50.392,,50.392,,,,,,,50.392,0.583472,0.583472,0.31,53.130227,53.130227,40.533473,
09/30/2008,142.016,132.331,,,,,0.0,0.0,0.0,9.685,-61.061,49.8,,,,11.261,46.548,0.0,,0.749,33.658,-15.085,15.716,-0.178,-0.453,18.573,-0.154,7.484,0.0,0.0,0.0,18.419,0.637,17.586,6.658,,7.484,7.484,0.0,70.916019,0.11,0.11,0.11,73.338871,0.1,0.1,0.1,,46.359,0.859,,,,,,,61.997,,61.997,,,,,,,61.997,0.679725,0.679725,0.31,45.606707,45.606707,35.459725,
12/31/2008,147.106,141.534,,,,,,0.0,0.0,5.572,-59.425,50.764,,,,8.661,47.086,,0.0,0.026,40.569,-15.296,17.747,-1.86,-0.591,25.273,-0.14,13.793,0.0,0.0,0.0,25.133,1.149,23.895,6.658,,13.793,13.793,0.0,73.011453,0.19,0.19,0.19,73.205628,0.19,0.19,0.19,,46.89,-0.286,,,,,,,68.204,,68.204,,,,,,,68.204,0.748483,0.748483,0.33,44.089188,44.089188,35.326051,
03/31/2009,149.134,149.116,0.0,31.027,0.0,118.089,0.0,0.0,0.0,0.018,-109.931,53.24,9.211,,44.029,10.102,46.304,,0.0,0.285,39.203,-17.578,18.937,-1.116,-0.243,21.625,-0.436,10.295,0.0,0.0,0.0,21.189,0.793,20.396,,,10.295,10.295,0.0,74.703755,0.14,0.14,0.14,74.895168,0.14,0.14,0.14,,46.087,0.646,,,,,,,57.821,0.0,64.477,-11.308,1.52,2.621,-0.496,-1.922,-5.554,49.338,0.696514,0.532975,0.33,47.378802,61.916636,42.635442,
06/30/2009,155.007,154.924,0.0,29.544,0.0,125.38,0.0,0.0,0.0,0.083,-112.161,52.938,9.149,,43.789,10.04,49.183,,0.0,0.0,42.846,-21.351,22.495,-0.741,-0.403,21.495,-0.292,20.566,0.0,0.0,0.0,21.203,1.624,20.372,,,10.271,10.271,0.0,76.12138,0.13,0.13,0.13,76.851202,0.13,0.13,0.13,,94.987,1.504,,,,,,,118.681,,134.883,-11.089,2.13,2.87,-7.161,-1.835,-3.881,115.917,1.405588,1.207947,0.33,23.477725,27.319082,21.166029,
09/30/2009,163.227,163.114,0.0,32.236,0.0,130.878,0.0,0.0,0.0,0.113,-117.571,56.068,9.295,,46.773,10.66,50.439,,0.0,0.404,45.656,-21.378,22.559,-1.091,-0.09,24.278,-0.333,12.406,0.0,0.0,0.0,23.945,0.898,22.507,,,12.406,12.406,0.0,76.301577,0.16,0.16,0.16,77.674137,0.16,0.16,0.16,,50.163,0.543,,,,,,,64.01,,74.716,-11.669,2.185,3.106,-2.98,-1.677,-3.74,59.941,0.736176,0.590598,0.36,48.901333,60.955139,42.912932,
12/31/2009,169.774,168.926,0.0,32.501,0.0,136.425,0.0,0.0,0.0,0.848,-119.69,56.107,8.349,,47.758,11.363,52.126,,0.0,0.094,50.084,-25.21,24.451,0.776,-0.017,24.874,0.023,14.286,0.0,0.0,0.0,24.897,0.984,24.387,,,14.286,14.286,0.0,76.649529,0.19,0.19,0.19,78.496296,0.18,0.18,0.18,,51.821,2.335,,,,,,,69.426,,80.132,-11.275,2.273,3.262,-3.011,-1.525,-6.006,63.85,0.785008,0.625502,0.45,57.32429,71.942208,49.68209,
03/31/2010,191.779,190.365,0.0,39.059,0.0,151.306,0.0,0.0,0.0,1.414,-136.584,67.698,12.721,,54.977,10.519,57.532,,0.0,0.835,55.195,-28.893,30.902,-1.978,-0.031,26.302,-0.716,14.744,0.0,0.0,0.0,25.586,0.973,24.845,,,14.744,14.744,0.0,77.770691,0.19,0.19,0.19,80.74211,0.18,0.18,0.18,,57.175,0.773,,,,,,,73.665,-0.794,83.577,-11.099,2.188,3.431,-2.024,0.357,-5.043,71.387,0.802529,0.685478,0.48,59.810905,70.024178,50.675262,
06/30/2010,197.464,196.428,0.0,39.597,0.0,156.831,0.0,0.0,0.0,1.036,-143.314,69.0,12.748,,56.252,12.574,59.86,,0.0,1.88,54.15,-33.714,33.162,-0.955,1.507,20.436,-0.534,9.091,0.0,0.0,0.0,19.902,0.56,19.192,,,9.091,10.632,1.541,80.542329,0.11,0.11,0.132005,83.021817,0.11,0.11,0.128561,,59.517,0.688,,,,,,,69.856,2.296,82.858,-10.56,3.229,4.011,-0.178,0.343,-6.892,72.811,0.778843,0.684404,0.48,61.629873,70.134018,55.342874,
09/30/2010,237.486,237.179,0.0,52.975,0.0,184.204,0.0,0.0,0.0,0.307,-177.085,90.354,14.03,,76.324,11.878,70.128,,0.0,4.725,60.401,-36.432,36.737,-1.061,0.756,23.969,-0.343,9.639,0.0,0.0,0.0,23.626,0.537,23.036,,,9.639,10.722,1.083,87.908953,0.11,0.11,0.121967,90.136912,0.11,0.11,0.121967,,69.81,1.058,,,,,,,81.044,9.787,101.534,-11.861,2.942,3.496,-0.735,0.318,-4.685,91.009,0.896666,0.803718,0.53,59.107836,65.943533,57.489444,
12/31/2010,238.672,238.301,0.0,46.451,0.0,191.85,0.0,0.0,0.0,0.371,-166.112,77.28,4.933,,72.347,12.225,76.383,,0.0,0.224,72.56,-36.004,36.583,-1.26,0.681,36.556,-0.258,24.865,0.0,0.0,0.0,36.298,1.336,35.221,,2.748,24.865,25.77,0.905,90.698033,0.27,0.27,0.28413,92.44883,0.27,0.27,0.279789,,75.983,0.724,,,,,,,102.908,0.905,114.516,-11.948,2.803,3.343,-2.667,-1.413,-6.727,100.655,0.990469,0.870582,0.53,53.510025,60.878784,46.711585,
03/31/2011,250.741,248.629,0.0,51.834,0.0,196.795,0.0,0.0,0.0,2.112,-176.076,88.982,13.471,,75.511,12.405,73.918,,0.0,0.771,74.665,-35.225,36.082,-1.208,0.351,39.44,-0.428,30.98,0.0,0.0,0.0,39.012,1.652,37.502,,,30.98,31.595,0.615,91.428355,0.34,0.34,0.345571,92.600215,0.33,0.33,0.336641,,73.506,0.892,,,,,,,107.03,1.175,118.777,-12.749,2.963,3.449,-0.687,-1.402,-5.472,104.879,1.026329,0.906239,0.68,66.255588,75.035422,58.087715,
06/30/2011,267.881,254.117,0.0,51.311,0.0,202.806,0.0,0.0,0.0,13.764,-191.161,99.496,13.962,,85.534,14.077,76.848,,0.0,0.74,76.72,-38.259,39.334,-1.058,-0.017,38.461,-0.233,31.99,0.0,0.0,0.0,38.228,1.582,36.703,,,31.99,32.353,0.363,96.295585,0.33,0.33,0.335976,97.511811,0.33,0.33,0.333723,,76.405,0.893,,,,,,,110.87,1.098,120.731,-14.305,3.739,3.259,-0.777,-1.417,-9.207,102.023,1.02449,0.865739,0.68,66.374502,78.545622,59.061061,
09/30/2011,273.476,263.502,0.0,56.656,0.0,206.846,0.0,0.0,0.0,9.974,-201.85,104.571,13.055,,91.516,14.6,79.047,,0.0,3.632,71.626,-33.476,37.078,-1.39,-2.212,38.15,-0.461,31.908,0.0,0.0,0.0,37.689,1.421,36.344,,,31.908,31.914,0.006,100.588235,0.32,0.32,0.317274,101.912342,0.31,0.31,0.310059,,78.55,0.918,,,,,,,112.797,1.096,122.379,-14.166,3.56,2.526,-2.65,-1.492,-8.084,102.073,1.017832,0.848946,0.68,66.808684,80.099341,60.63991,
12/31/2011,270.612,266.274,0.0,52.01,0.0,214.264,0.0,0.0,0.0,4.338,-189.313,95.558,9.458,,86.1,12.542,80.612,,0.0,0.601,81.299,-35.266,36.856,-1.296,-0.294,46.033,1.164,35.99,0.0,0.0,0.0,47.197,1.53,45.716,,-2.61,35.99,36.094,0.104,105.134719,0.34,0.34,0.343312,105.584344,0.34,0.34,0.340985,,80.086,0.985,,,,,,,118.591,0.594,127.035,-15.089,3.167,2.453,-3.525,-1.748,-6.401,103.282,1.02551,0.83376,0.68,66.308498,81.558258,60.284177,
03/31/2012,283.148,280.696,0.0,57.862,0.0,222.834,0.0,0.0,0.0,2.452,-197.232,98.31,16.042,,82.268,14.25,83.995,,0.0,0.677,85.916,-35.932,38.03,-1.389,-0.709,49.984,-0.721,39.211,0.0,0.0,0.0,49.263,1.586,48.042,,,39.211,39.211,0.0,107.099856,0.37,0.37,0.37,107.584856,0.36,0.36,0.36,,82.993,0.905,,,,,,,124.695,0.677,133.222,-15.902,3.407,2.461,-3.147,-1.237,-7.52,111.284,1.061682,0.886852,0.68,64.049301,76.675677,58.404829,
06/30/2012,303.704,295.345,0.0,60.422,0.0,234.923,0.0,0.0,0.0,8.359,-215.255,106.201,15.769,,90.432,15.109,89.0,,0.0,4.945,88.449,-33.275,37.681,-3.493,-0.913,55.174,-1.206,42.021,0.0,0.0,0.0,53.968,1.661,52.334,,,42.021,42.324,0.303,109.761017,0.38,0.38,0.385601,110.166082,0.38,0.38,0.38275,,88.186,0.866,,,,,-2.325,,130.409,-2.273,134.58,-19.649,3.775,2.049,-6.128,-2.057,-7.535,105.035,1.069589,0.834777,0.68,63.575806,81.458866,57.23339,
09/30/2012,342.479,338.93,0.0,78.878,0.0,260.052,0.0,0.0,0.0,3.549,-245.404,127.728,17.982,,109.746,14.409,101.84,,0.0,1.427,97.075,-39.444,41.047,-1.52,-0.083,57.631,-0.71,45.615,0.0,0.0,0.0,56.921,1.574,55.392,,,45.615,45.615,0.0,122.026421,0.37,0.37,0.37,122.353511,0.37,0.37,0.37,,100.994,0.71,,,,,,,148.893,0.375,155.041,-20.221,2.741,2.588,-3.562,-1.487,-13.34,121.76,1.129181,0.886791,0.73,64.648654,82.319251,59.82772,
12/31/2012,349.736,348.053,0.0,75.147,0.0,272.906,0.0,0.0,0.0,1.683,-255.098,128.608,19.682,,108.926,13.441,107.718,,0.0,5.331,94.638,-38.733,40.35,-1.733,0.116,55.905,-0.01,44.815,0.0,0.0,0.0,55.895,1.336,54.566,,,44.815,44.815,0.0,123.824957,0.36,0.36,0.36,124.14559,0.36,0.36,0.36,,106.797,0.727,,,,,,,153.675,4.122,163.544,-20.004,2.709,2.699,-6.272,-1.898,-14.045,126.733,1.189324,0.921628,0.73,61.379384,79.207704,58.82038,
03/31/2013,358.37,357.316,0.0,75.917,0.0,281.399,0.0,0.0,0.0,1.054,-259.784,130.411,21.042,,109.369,15.951,111.623,,0.0,1.799,98.586,-45.702,48.078,-2.335,-0.041,52.884,-1.203,42.657,0.0,0.0,0.0,51.681,0.824,50.711,,,42.657,42.657,0.0,126.445285,0.34,0.34,0.34,126.738339,0.34,0.34,0.34,,110.69,0.833,,,,,,,155.004,2.851,161.905,-21.169,2.888,3.036,-4.613,-2.112,-10.725,129.21,1.175951,0.938481,0.78,66.329267,83.113072,66.131197,
06/30/2013,363.502,362.634,0.0,76.681,0.0,285.953,0.0,0.0,0.0,0.868,-263.508,128.242,19.374,,108.868,17.891,115.867,,0.0,1.508,99.994,-40.163,47.589,-2.33,-5.096,59.831,-0.21,89.734,0.0,0.0,0.0,59.621,1.76,58.476,,,47.077,41.981,-5.096,128.419745,0.37,0.37,0.326905,128.623076,0.37,0.37,0.326905,,225.603,1.63,,,,,,,318.727,-4.098,322.729,-19.892,3.58,2.889,-13.429,-2.087,-8.117,285.673,2.34412,2.074966,0.78,33.274754,37.59098,31.427836,
09/30/2013,379.456,378.771,0.0,88.059,0.0,290.712,0.0,0.0,0.0,0.685,-294.279,156.56,26.074,,130.486,16.275,121.198,,0.0,0.246,85.177,68.655,47.869,-2.174,-114.35,153.832,-0.352,138.872,0.0,0.0,0.0,153.48,2.757,150.598,,,138.872,139.576,0.704,128.427444,1.08,1.08,1.086808,135.301765,1.06,1.06,1.065203,,120.006,0.788,,,,,-115.054,,147.369,9.351,160.77,-9.673,3.647,3.249,-12.895,-1.554,-7.001,136.543,1.166259,0.990511,0.78,66.8805,78.747193,67.974544,
12/31/2013,380.931,379.616,0.0,82.629,0.0,296.987,0.0,0.0,0.0,1.315,-282.876,139.449,23.831,,115.618,15.536,126.776,,0.0,1.115,98.055,-42.861,45.996,-2.957,-0.178,55.194,0.473,42.977,0.0,0.0,0.0,55.667,0.849,54.703,,,42.977,43.585,0.608,128.444744,0.33,0.33,0.339329,128.64147,0.33,0.33,0.334726,,125.671,1.387,,,,,-0.555,,170.329,-0.026,174.353,-21.858,2.183,3.263,-17.025,-1.782,-8.649,130.485,1.264426,0.946291,0.78,61.688058,82.427084,58.819637,
03/31/2014,390.59,389.407,0.0,83.621,0.0,305.786,0.0,0.0,0.0,1.183,-300.583,142.607,22.125,,120.482,30.678,130.62,,0.0,-3.322,90.007,-41.452,47.374,-2.581,-3.341,48.555,-1.838,34.186,0.0,0.0,0.0,46.717,0.693,45.912,,,34.186,31.075,-3.111,128.535995,0.27,0.27,0.241761,129.136961,0.26,0.26,0.235909,,129.496,1.628,,,,,-1.906,,164.097,8.196,176.343,-20.471,8.985,2.442,-8.685,-1.663,-11.561,145.39,1.27635,1.052315,0.83,65.02921,78.873691,66.654479,
06/30/2014,401.446,399.107,0.0,85.687,0.0,313.42,0.0,0.0,0.0,2.339,-308.993,149.408,20.595,,128.813,20.321,137.092,,0.0,2.172,92.453,-30.1,49.229,-3.477,-15.652,62.353,-1.021,41.51,0.0,0.0,0.0,61.332,0.873,60.339,,,41.51,42.569,1.059,133.802622,0.31,0.31,0.318148,133.977885,0.31,0.31,0.317904,,135.938,1.802,,,,-15.945,,,164.178,1.852,166.705,-19.099,3.656,2.761,-11.355,-1.399,-11.723,129.546,1.208778,0.939338,0.83,68.664383,88.360088,68.436088,
09/30/2014,412.186,409.273,0.0,92.209,0.0,317.064,0.0,0.0,0.0,2.913,-329.814,158.864,25.765,,133.099,20.709,137.474,,0.0,12.767,82.372,48.967,48.169,-3.455,-93.681,131.339,-1.178,109.314,0.0,0.0,0.0,130.161,2.272,127.769,,,109.314,120.544,11.23,135.492618,0.81,0.81,0.889672,135.946533,0.8,0.8,0.882606,,136.289,1.934,,12.5,0.0,0.0,-93.498,,168.811,0.297,169.108,-17.71,2.849,2.762,-11.481,-1.185,-10.129,134.214,1.218691,0.967224,0.83,68.105861,85.812553,66.621843,
12/31/2014,412.216,408.533,0.0,88.717,0.0,319.816,0.0,0.0,0.0,3.683,-418.382,152.82,23.053,31.783,97.984,21.48,133.327,,0.0,110.755,-6.166,-27.428,46.396,-3.776,-15.192,-33.594,-1.201,-52.289,0.0,0.0,0.0,-34.795,-1.074,-33.834,,,-52.289,57.69,109.979,135.544597,-0.39,-0.39,0.425616,135.544597,-0.39,-0.39,0.421386,,132.1,2.173,,,113.97,0.0,0.0,,194.88,-20.35,174.53,-18.558,2.53,2.728,-21.04,-1.046,-11.925,127.219,1.25781,0.916847,0.83,65.987687,90.527602,57.728867,
03/31/2015,406.609,403.633,0.0,85.829,0.0,317.804,0.0,0.0,0.0,2.976,-257.291,149.981,23.263,,126.718,19.798,129.073,,0.0,-41.561,149.318,-25.318,45.466,-4.618,-15.53,124.0,-1.675,101.728,0.0,0.0,0.0,122.325,2.026,120.183,,,101.728,42.27,-59.458,135.704525,0.75,0.75,0.311486,136.1288,0.75,0.75,0.311486,,127.823,2.603,,,,-17.82,,,216.36,-40.002,176.358,-13.295,2.795,2.798,-18.066,-0.517,-3.854,146.219,1.270307,1.053216,0.85,66.912955,80.705209,53.313388,
06/30/2015,420.295,416.785,0.0,87.572,0.0,329.213,0.0,0.0,0.0,3.51,-313.242,152.593,20.9,,131.693,24.312,131.524,,0.0,4.813,107.053,33.559,46.114,-3.383,-76.29,140.612,-2.615,117.055,0.0,0.0,0.0,137.997,2.377,135.511,,,117.055,42.187,-74.868,135.81006,0.86,0.86,0.310632,136.499004,0.86,0.86,0.310632,,130.198,3.187,,,0.0,-76.669,,,176.148,4.22,180.368,-14.407,4.518,2.615,-23.708,0.033,-2.932,146.487,1.295217,1.051918,0.85,65.626081,80.804747,66.927243,
09/30/2015,435.989,432.163,0.0,95.484,0.0,336.679,0.0,0.0,0.0,3.826,-331.859,162.631,19.953,,142.678,26.431,136.974,,0.0,5.823,104.13,-44.534,48.138,-4.169,0.565,59.596,-1.754,38.522,0.0,0.0,0.0,57.842,0.747,56.978,,,38.522,38.643,0.121,135.832503,0.28,0.28,0.28449,138.259936,0.28,0.28,0.280875,,135.613,2.76,,,0.0,0.207,,,177.849,5.243,183.092,-13.499,3.831,2.633,-14.716,-0.133,-3.488,157.72,1.315392,1.133111,0.85,64.619536,75.01471,64.918907,
12/31/2015,500.443,456.817,0.0,90.99,0.0,365.827,0.0,0.0,0.0,43.626,-459.172,186.216,28.472,32.063,125.681,29.862,172.956,,0.0,70.138,41.271,-57.576,61.717,-3.321,-0.82,-16.305,-0.268,-40.039,0.0,0.0,0.0,-16.573,-0.708,-15.983,,,-40.039,-48.591,-8.552,145.561559,-0.28,-0.28,-0.333818,145.561559,-0.28,-0.28,-0.338752,,170.095,2.867,,,0.0,-0.322,,-14.355,117.538,88.396,205.934,-3.832,0.604,2.732,-35.386,-0.375,-4.023,165.654,1.38118,1.111026,0.85,61.541562,76.50585,105.265808,
