Date,Revenue,Sales & Services Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",General & Administrative,Research & Development,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,(Income) Loss from Affiliates,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
09/27/1998,1798.0,,,,,,-1555.0,,,,,243.0,0.0,3.0,,,,,-3.0,243.0,-84.0,159.0,,,,159.0,,159.0,,,159.0,159.0,,399.885986,0.395,0.395,0.395,405.029999,0.39,0.39,0.39,
12/31/1998,2208.0,,,,,,-1953.0,,,,,255.0,-9.0,,,,0.0,,9.0,246.0,-86.0,160.0,0.0,,,160.0,0.0,160.0,0.0,,160.0,160.0,,398.399994,0.405,0.405,0.405,403.799988,0.395,0.395,0.395,
04/04/1999,2002.0,,,,,,-1761.0,,,,,241.0,3.0,6.0,6.0,,0.0,,-9.0,244.0,79.0,323.0,0.0,,,323.0,0.0,323.0,0.0,0.0,323.0,323.0,,398.916,0.81,0.81,0.81,404.48,0.8,0.8,0.8,
07/04/1999,2087.0,,,,,,-1808.0,,,,,279.0,-9.0,5.0,5.0,,0.0,,4.0,270.0,-95.0,175.0,0.0,,,175.0,0.0,175.0,0.0,0.0,175.0,175.0,,398.398,0.44,0.44,0.44,404.632,0.43,0.43,0.43,
10/03/1999,2215.0,,,,,,-1860.0,,,,,355.0,-50.0,6.0,6.0,,0.0,,44.0,305.0,-121.0,184.0,0.0,,,184.0,0.0,184.0,0.0,0.0,184.0,184.0,,400.586,0.46,0.46,0.46,405.224,0.455,0.455,0.455,
12/31/1999,2655.0,,,,,,-2327.0,,,,,328.0,-21.0,17.0,36.0,,0.0,,4.0,307.0,-109.0,198.0,0.0,,,198.0,0.0,198.0,0.0,0.0,198.0,198.0,,400.0,0.495,0.495,0.495,404.079987,0.49,0.49,0.49,
04/02/2000,2546.0,,-2083.0,,463.0,,-157.0,,,,,306.0,-20.0,19.0,19.0,,0.0,,1.0,286.0,-102.0,184.0,0.0,,,184.0,0.0,184.0,0.0,0.0,184.0,184.0,,401.792,0.46,0.46,0.46,404.562,0.455,0.455,0.455,
07/02/2000,2617.0,,-2119.0,,498.0,,-163.0,,,,,335.0,-17.0,16.0,16.0,,0.0,,1.0,318.0,-114.0,204.0,0.0,,,204.0,0.0,204.0,0.0,0.0,204.0,204.0,,400.208,0.51,0.51,0.51,403.684,0.505,0.505,0.505,
10/01/2000,2502.0,,-2010.0,,492.0,,-155.0,,,,,337.0,-20.0,17.0,17.0,,0.0,,3.0,317.0,-23.0,294.0,0.0,,,294.0,0.0,294.0,0.0,0.0,294.0,294.0,,397.35,0.74,0.74,0.74,401.174,0.735,0.735,0.735,
12/31/2000,2691.0,,-2168.0,,523.0,,-172.0,,,,,351.0,-10.0,-4.0,8.0,-12.0,0.0,,14.0,341.0,-122.0,219.0,0.0,,,219.0,0.0,219.0,0.0,0.0,219.0,219.0,,399.6,0.545,0.545,0.545,400.8,0.545,0.545,0.545,
04/01/2001,2673.0,,-2157.0,,516.0,,-182.0,,,,,334.0,-4.0,17.0,17.0,,0.0,,-13.0,330.0,-90.0,240.0,0.0,,,240.0,0.0,240.0,0.0,0.0,240.0,240.0,,400.802,0.6,0.6,0.53,404.35,0.595,0.595,0.525,
07/01/2001,2962.0,,-2382.0,,580.0,,-209.0,,,,,371.0,-18.0,17.0,17.0,,0.0,,1.0,353.0,-126.0,227.0,0.0,,,227.0,0.0,227.0,0.0,0.0,227.0,227.0,,402.058014,0.565,0.565,0.565,406.019989,0.56,0.56,0.56,
09/30/2001,3020.0,,-2458.0,,562.0,,-186.0,,,,,376.0,-18.0,15.0,15.0,,0.0,,3.0,358.0,-128.0,230.0,0.0,,,230.0,0.0,230.0,0.0,0.0,230.0,230.0,,402.903992,0.57,0.57,0.57,407.140015,0.565,0.565,0.565,
12/31/2001,3399.0,,-2763.0,,636.0,,-231.0,,,,,405.0,-21.0,7.0,19.0,,0.0,,14.0,384.0,-138.0,246.0,0.0,,,246.0,0.0,246.0,0.0,0.0,246.0,246.0,,403.6,0.61,0.61,0.68,406.0,0.605,0.605,0.675,
03/31/2002,3102.0,,-2514.0,,588.0,,-219.0,,,,,369.0,-15.0,12.0,15.0,-3.0,,,3.0,354.0,-122.0,232.0,3.0,,,229.0,,229.0,,,229.0,229.0,,401.986,0.57,0.575,0.575,405.406,0.565,0.57,0.57,
06/30/2002,3506.0,,-2862.0,,644.0,,-221.0,,,,,423.0,-8.0,11.0,14.0,-3.0,,,-3.0,415.0,-143.0,272.0,9.0,,,263.0,,263.0,,,263.0,263.0,,403.654,0.65,0.675,0.675,407.672,0.645,0.67,0.67,
09/29/2002,3284.0,,-2671.0,,613.0,,-189.0,,,,,424.0,-3.0,11.0,16.0,-5.0,,,-8.0,421.0,-143.0,278.0,10.0,,,268.0,,268.0,,,268.0,268.0,,403.254,0.665,0.69,0.69,406.242,0.66,0.685,0.685,
12/31/2002,3908.0,,-3235.0,,673.0,,-274.0,,,,,399.0,28.0,11.0,13.0,-2.0,0.0,,-39.0,427.0,-136.0,291.0,-134.0,,,425.0,0.0,157.0,0.0,0.0,157.0,157.0,,402.2,0.39,0.725,0.725,403.6,0.39,0.72,0.72,
03/30/2003,3421.0,,-2867.0,,554.0,,-236.0,,,,,318.0,-7.0,11.0,13.0,-2.0,,,-4.0,311.0,-90.0,221.0,,,,221.0,,221.0,,,221.0,221.0,,397.756,0.555,0.555,0.555,399.436,0.555,0.555,0.555,
06/29/2003,3935.0,,-3299.0,,636.0,,-258.0,,,,,378.0,-17.0,19.0,22.0,-3.0,,,-2.0,361.0,-119.0,242.0,,,,242.0,,242.0,,,242.0,242.0,,394.448,0.615,0.615,0.615,397.158,0.61,0.61,0.61,
09/28/2003,4427.0,,-3797.0,,630.0,,-273.0,,,,,357.0,-32.0,29.0,30.0,-1.0,,,3.0,325.0,-70.0,255.0,-7.0,,,262.0,,262.0,,,262.0,262.0,,394.622,0.665,0.645,0.645,398.044,0.66,0.64,0.64,
12/31/2003,4731.0,,-4087.0,,644.0,,-333.0,,,,,414.0,-39.0,,37.0,-4.0,0.0,,6.0,375.0,-96.0,279.0,0.0,,,279.0,0.0,279.0,0.0,0.0,279.0,279.0,,395.399994,0.705,0.705,0.705,399.200012,0.7,0.7,0.7,
04/04/2004,4646.0,,-3921.0,,725.0,,-289.0,,,,,436.0,-39.0,38.0,39.0,-1.0,0.0,,1.0,397.0,-132.0,265.0,-4.0,,,269.0,0.0,269.0,0.0,0.0,269.0,269.0,,396.877991,0.68,0.67,0.67,400.605988,0.67,0.66,0.66,
07/04/2004,4652.0,,-3894.0,,758.0,,-273.0,,,,,485.0,-51.0,37.0,39.0,-2.0,0.0,,14.0,434.0,-144.0,290.0,-10.0,,,300.0,0.0,300.0,0.0,0.0,300.0,300.0,,398.39801,0.755,0.73,0.73,402.036011,0.745,0.72,0.72,
10/03/2004,4647.0,,-3871.0,,776.0,,-283.0,,,,,493.0,-30.0,33.0,39.0,-6.0,0.0,,-3.0,463.0,-143.0,320.0,-2.0,,,322.0,,322.0,0.0,0.0,322.0,322.0,,399.928009,0.805,0.8,0.8,403.70401,0.8,0.795,0.795,
12/31/2004,5174.0,,-4289.0,,885.0,,-355.0,,,,,530.0,-36.0,,40.0,0.0,0.0,,-4.0,494.0,-164.0,330.0,-6.0,,,336.0,0.0,336.0,0.0,0.0,336.0,336.0,,401.2,0.835,0.82,0.82,405.2,0.83,0.815,0.815,
04/03/2005,4800.0,,-4031.0,,769.0,,-309.0,,,,,460.0,-35.0,34.0,38.0,-4.0,0.0,,1.0,425.0,-72.0,353.0,17.0,,,336.0,0.0,336.0,0.0,0.0,336.0,336.0,,401.115,0.84,0.88,0.88,404.048,0.83,0.87,0.87,
07/03/2005,5137.0,,-4282.0,,855.0,,-316.0,,,,,539.0,-28.0,29.0,38.0,-9.0,0.0,,-1.0,511.0,-173.0,338.0,-7.0,,,345.0,0.0,345.0,0.0,0.0,345.0,345.0,,401.416,0.86,0.84,0.84,404.398,0.85,0.83,0.83,
10/02/2005,5302.0,,-4410.0,,892.0,,-317.0,,,,,575.0,-34.0,30.0,37.0,-7.0,0.0,,4.0,541.0,-177.0,364.0,-10.0,,,374.0,0.0,374.0,0.0,0.0,374.0,374.0,,402.121,0.93,0.91,0.91,405.607,0.92,0.9,0.9,
12/31/2005,5764.0,,-4794.0,,970.0,,-358.0,,,,,612.0,7.0,,5.0,-16.0,0.0,,4.0,619.0,-201.0,398.0,-8.0,,,426.0,0.0,406.0,0.0,0.0,406.0,406.0,,401.9,1.01,0.99,0.99,405.3,1.01,0.98,0.98,
04/02/2006,5546.0,,-4587.0,,959.0,,-363.0,,,,,596.0,-17.0,17.0,35.0,-18.0,0.0,,0.0,579.0,-192.0,387.0,13.0,,,374.0,0.0,374.0,0.0,0.0,374.0,374.0,,401.469,0.93,0.96,0.96,404.503,0.92,0.95,0.95,
07/02/2006,5934.0,,-4900.0,,1034.0,,-385.0,,,,,649.0,-21.0,23.0,41.0,-18.0,0.0,,-2.0,628.0,-208.0,420.0,-216.0,,,636.0,0.0,636.0,0.0,0.0,636.0,636.0,,403.518,1.58,1.04,1.04,406.958,1.56,1.03,1.03,
10/01/2006,6069.0,,-5021.0,,1048.0,,-371.0,,,,,677.0,-33.0,34.0,42.0,-8.0,0.0,,-1.0,644.0,-204.0,440.0,2.0,,,438.0,0.0,438.0,0.0,0.0,438.0,438.0,,403.723,1.09,1.09,1.09,407.177,1.08,1.08,1.08,
12/31/2006,6514.0,,-5430.0,,1084.0,,-381.0,,,,,703.0,-27.0,,38.0,-11.0,0.0,,0.0,676.0,-213.0,463.0,55.0,,,408.0,0.0,408.0,0.0,0.0,408.0,408.0,,404.986,1.01,1.14,1.14,408.67,1.0,1.13,1.13,
04/01/2007,6300.0,,-5226.0,,1074.0,,-393.0,,,,,681.0,-25.0,26.0,32.0,-6.0,0.0,,-1.0,656.0,-216.0,440.0,6.0,,,434.0,0.0,434.0,0.0,0.0,434.0,434.0,,405.596,1.07,1.08,1.08,409.435,1.06,1.07,1.07,
07/01/2007,6591.0,,-5414.0,,1177.0,,-417.0,,,,,760.0,-20.0,21.0,34.0,-13.0,0.0,,-1.0,740.0,-222.0,518.0,5.0,,,513.0,0.0,513.0,0.0,0.0,513.0,513.0,,405.15,1.27,1.28,1.28,408.9,1.26,1.27,1.27,
09/30/2007,6834.0,,-5626.0,,1208.0,,-407.0,,,,,801.0,-10.0,12.0,32.0,-20.0,0.0,,-2.0,791.0,-247.0,544.0,-2.0,,,546.0,0.0,546.0,0.0,0.0,546.0,546.0,,403.669,1.35,1.35,1.35,407.321,1.34,1.34,1.34,
12/31/2007,7515.0,,-6261.0,,1254.0,0.0,-383.0,,,,,871.0,-11.0,11.0,33.0,-22.0,0.0,,0.0,860.0,-282.0,578.0,-1.0,,,579.0,0.0,579.0,0.0,0.0,579.0,579.0,,403.3,1.43,1.43,1.43,406.9,1.42,1.42,1.42,
03/30/2008,7005.0,,-5714.0,,1291.0,,-430.0,,,,,861.0,-16.0,19.0,38.0,-19.0,0.0,,-3.0,845.0,-272.0,573.0,1.0,,,572.0,0.0,572.0,0.0,0.0,572.0,572.0,,400.759,1.43,1.43,1.43,403.858,1.42,1.42,1.42,
06/29/2008,7303.0,,-5931.0,,1372.0,,-451.0,,,,,921.0,-12.0,12.0,33.0,-21.0,0.0,,0.0,909.0,-268.0,641.0,0.0,,,641.0,0.0,641.0,0.0,0.0,641.0,641.0,,398.491,1.61,1.61,1.52,401.771,1.6,1.6,1.51,
09/28/2008,7140.0,,-5793.0,,1347.0,,-414.0,,,,,933.0,-11.0,11.0,27.0,-16.0,0.0,,0.0,922.0,-288.0,634.0,0.0,,,634.0,0.0,634.0,0.0,0.0,634.0,634.0,,396.748,1.6,1.6,1.6,399.777,1.59,1.59,1.59,
12/31/2008,7852.0,,-6509.0,,1343.0,,-405.0,,,,,938.0,-10.0,24.0,35.0,-11.0,0.0,,-14.0,928.0,-298.0,630.0,18.0,,,612.0,0.0,612.0,0.0,0.0,612.0,612.0,,389.0,1.57,1.62,1.62,389.6,1.57,1.62,1.62,
04/05/2009,8264.0,8264.0,-6849.0,6849.0,1415.0,0.0,-510.0,510.0,510.0,,0.0,905.0,-36.0,39.0,42.0,-3.0,,,-3.0,869.0,-276.0,593.0,3.0,3.0,0.0,590.0,0.0,590.0,0.0,0.0,590.0,593.0,0.0,385.845,1.53,1.54,1.54,386.541,1.53,1.54,1.54,
07/05/2009,8100.0,8100.0,-6646.0,6646.0,1454.0,0.0,-509.0,509.0,509.0,,0.0,945.0,-38.0,38.0,43.0,-5.0,,,0.0,907.0,-286.0,621.0,3.0,3.0,0.0,618.0,0.0,618.0,0.0,0.0,618.0,621.0,0.0,385.035,1.6,1.61,1.61,387.013,1.6,1.61,1.61,
10/04/2009,7719.0,7719.0,-6393.0,6393.0,1326.0,0.0,-452.0,452.0,452.0,,0.0,874.0,-46.0,40.0,42.0,-2.0,,,6.0,828.0,-253.0,575.0,3.0,3.0,0.0,572.0,0.0,572.0,0.0,0.0,572.0,575.0,0.0,385.243,1.48,1.49,1.49,388.088,1.47,1.48,1.48,
12/31/2009,7898.0,7898.0,-6464.0,6464.0,1434.0,0.0,-483.0,483.0,483.0,,0.0,951.0,-42.0,43.0,44.0,-1.0,,,-1.0,909.0,-291.0,618.0,4.0,4.0,0.0,614.0,0.0,614.0,0.0,0.0,614.0,618.0,0.0,385.8,1.59,1.6,1.6,390.1,1.57,1.58,1.58,
04/04/2010,7750.0,7750.0,-6346.0,6346.0,1404.0,0.0,-486.0,486.0,486.0,,0.0,918.0,-44.0,44.0,47.0,-3.0,,,0.0,874.0,-275.0,599.0,2.0,2.0,0.0,597.0,0.0,597.0,0.0,0.0,597.0,599.0,0.0,384.823,1.55,1.56,1.56,388.984,1.53,1.54,1.54,
07/04/2010,8104.0,8104.0,-6641.0,6641.0,1463.0,0.0,-478.0,478.0,478.0,,0.0,985.0,-40.0,42.0,45.0,-3.0,,,-2.0,945.0,-294.0,651.0,3.0,3.0,0.0,648.0,0.0,648.0,0.0,0.0,648.0,651.0,0.0,384.304,1.69,1.7,1.7,388.532,1.67,1.68,1.68,
