Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Assets Held-for-Sale,Deferred Tax Assets,Taxes Receivable,Discontinued Operations,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Pensions,Other Post-Ret Benefits,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
06/30/1999,94.404999,1.04,1.04,0.0,43.432999,,,31.962,21.635,2.558,7.769,0.0,4.95,,,,,,,81.385002,8.731,,,0.0,,4.289,0.0,0.0,0.0,4.289,13.02,,7.562,7.562,,,,5.626,5.626,0.0,0.0,,,16.875,,,16.875,30.063,0.0,0.0,0.0,0.0,,0.491,,,,,0.491,0.491,30.554,0.0,28.24,,,-5.967,,41.578,63.851,0.0,63.851,94.405,
09/30/1999,92.976997,1.032,1.032,0.0,38.530998,,,33.366001,21.308001,3.286,8.772,0.0,6.792,,,,,,,79.721001,9.054,,,0.0,,4.202,0.0,0.0,0.0,4.202,13.256,,5.71,5.71,,,,7.823,7.823,0.0,0.0,,,14.384,,,14.384,27.917,0.0,0.0,0.0,0.0,,0.483,,,,,0.483,0.483,28.4,0.0,28.261,,,-5.967,,42.283002,64.577002,0.0,64.577002,92.977001,
12/31/1999,88.107002,0.953,0.953,0.0,37.436001,,,28.164,18.514999,2.763,6.886,0.0,5.617,,,,,,,72.169998,11.47,35.838001,-24.368,0.0,,4.467,0.0,0.0,0.0,4.467,15.937,,7.8,7.8,,,,4.984,4.984,0.0,0.0,,,12.720999,,,12.720999,25.504999,0.0,0.0,0.0,0.0,,0.459,,,,,0.459,0.459,25.963999,0.0,28.261,,,-7.545,,41.427,62.143,0.0,62.143,88.106999,
03/31/2000,84.499001,1.325,1.325,0.0,27.118,,,32.16,19.690001,3.122,9.348,0.0,8.441,,,,,,,69.043999,11.069,,,0.0,,4.386,0.0,0.0,0.0,4.386,15.455,,2.866,2.866,,,,11.176,11.176,0.0,0.0,,,13.003,,,13.003,27.045,0.0,0.0,0.0,0.0,,0.43,,,,,0.43,0.43,27.475,0.0,28.261,,,-8.106,,36.869,57.024,0.0,57.024,84.499,
06/30/2000,83.161003,0.364,0.364,0.0,28.864,,,28.694,18.91,2.706,7.078,0.0,10.113,,,,,,,68.035004,10.882,,,0.0,,4.244,0.0,0.0,0.0,4.244,15.126,,4.445,4.445,,,,10.199,10.199,0.0,0.0,,,13.061999,,,13.061999,27.705999,2.348,2.348,0.0,0.0,,0.379,,,,,0.379,2.727,30.432999,0.0,28.261,,,-8.711,,33.177999,52.727999,0.0,52.727999,83.160998,
09/30/2000,86.125999,0.555,0.555,0.0,31.042,,,28.566999,18.715,2.654,7.198,0.0,11.062,,,,,,,71.225998,10.828,,,0.0,,4.072,0.0,0.0,0.0,4.072,14.9,,6.377,6.377,,,,12.841,12.841,0.0,0.0,,,13.339999,,,13.339999,32.557999,2.336,2.336,0.0,0.0,,0.139,,,,,0.139,2.475,35.032999,0.0,28.261,,,-8.969,,31.801001,51.093,0.0,51.093,86.125999,
12/31/2000,84.936,1.199,1.199,0.0,30.4,30.4,,26.776,17.395,2.956,6.425,0.0,6.179,,,,,,,64.554,10.098,34.858,-24.76,0.0,,10.284,0.0,0.0,0.0,10.284,20.382,,8.8,8.8,,,,13.856,13.856,0.0,0.0,,,13.125,,,13.125,35.781,2.323,2.323,0.0,0.0,,0.0,,,,,0.0,2.323,38.104,0.0,28.261,,,-8.969,28.743,-1.203,46.832,0.0,46.832,84.936,
03/31/2001,81.671997,2.423,2.423,0.0,27.962,,,24.610001,16.906,2.262,5.442,0.0,6.65,,,,,,,61.645,9.748,,,0.0,,10.279,0.0,0.0,0.0,10.279,20.027,,6.259,6.259,,,,13.382,13.382,0.0,0.0,,,13.204001,,,13.204001,32.845001,2.309,2.309,0.0,0.0,,0.0,,,,,0.0,2.309,35.154001,0.0,28.261,,,-8.969,,27.226,46.518,0.0,46.518,81.672001,
06/30/2001,80.376,0.691,0.691,0.0,30.163,30.163,,23.517,16.506,1.896,5.115,0.0,6.657,,,,,,,61.028,9.399,,,0.0,,9.949,0.0,0.0,0.0,9.949,19.348,,6.255,6.255,,,,11.475,11.475,0.0,0.0,,,13.61,,,13.61,31.34,2.296,2.296,0.0,0.0,,0.0,,,,,0.0,2.296,33.636,0.0,28.261,,,-8.969,29.019,-1.571,46.74,0.0,46.74,80.376,
09/30/2001,81.773,1.362,1.362,,30.429,30.429,,23.998,16.113,1.87,6.015,0.0,7.194,,,,,,,62.983,9.041,,,,,9.749,,,,9.749,18.79,,7.13,7.13,,,,12.514,,,,,,12.955,,,12.955,32.599,2.282,,,,,,,,,,,2.282,34.881,,28.261,,,-8.969,29.099,-1.499,46.892,,46.892,81.773,
12/31/2001,89.024,0.879,0.879,0.0,36.934,36.934,,24.469,17.187,1.868,5.414,0.0,6.293,,,,,,,68.575,9.471,36.237,-26.766,0.0,,10.978,0.0,0.0,0.0,10.978,20.449,,11.29,11.29,,,,14.686,,,,,,13.193,,,13.193,39.169,2.268,,,,,0.0,,,,,0.0,2.268,41.437,0.0,28.734,,,-8.969,29.263,-1.441,47.587,0.0,47.587,89.024,
03/31/2002,84.499001,0.838,0.838,0.0,30.849001,,,27.570999,20.427999,1.753,5.39,0.0,5.228,,,,,,,64.486,9.224,,,0.0,,10.789,0.0,0.0,0.0,10.789,20.013,,9.735,9.735,,,,12.136,12.136,0.0,0.0,,,12.378001,,,12.378001,34.249001,2.253,2.253,0.0,0.0,,0.0,,,,,0.0,2.253,36.502001,0.0,28.733999,,,-8.969,,28.232,47.997,0.0,47.997,84.499,
06/30/2002,84.633,0.416,0.416,0.0,30.359,30.359,,28.699,20.652,1.931,6.116,0.0,5.891,,,,,,,65.365,9.104,,,0.0,,10.164,0.0,0.0,0.0,10.164,19.268,,8.115,8.115,,,,12.338,12.338,0.0,0.0,,,12.952,,,12.952,33.405,2.239,2.239,0.0,0.0,,0.0,,,,,0.0,2.239,35.644,0.0,28.783,,,-8.969,30.203,-1.028,48.989,0.0,48.989,84.633,
09/30/2002,85.046997,0.992,0.992,0.0,29.198,,,29.131001,21.326,1.714,6.091,0.0,6.925,,,,,,,66.246002,8.953,,,0.0,,9.848,0.0,0.0,0.0,9.848,18.801,,6.693,6.693,,,,12.828,12.828,0.0,0.0,,,14.226002,,,14.226002,33.747002,2.224,2.224,0.0,0.0,,0.0,,,,,0.0,2.224,35.971002,0.0,28.783001,,,-8.969,,29.261999,49.076,0.0,49.076,85.047002,
12/31/2002,85.122002,0.49,0.49,0.0,25.843,,,34.273998,21.681999,1.7,10.892,0.0,8.463,,,,,,,69.07,8.455,36.853001,-28.398001,0.0,,7.597,0.0,0.0,0.0,7.597,16.052,,8.371,8.371,,,,9.634,9.634,0.0,0.0,,,13.738,,,13.738,31.743,2.181,2.181,0.0,0.0,,0.0,,,,,0.0,2.181,33.924,0.0,29.121,,,-7.053,,29.13,51.198,0.0,51.198,85.122,
03/31/2003,83.387001,1.578,1.578,0.0,24.242001,,,33.640999,22.715,1.355,9.571,0.0,8.415,,,,,,,67.875999,8.089,,,0.0,,7.422,0.0,0.0,0.0,7.422,15.511,,5.853,5.853,,,,10.145,10.145,0.0,0.0,,,13.629,,,13.629,29.627001,2.159,2.159,0.0,0.0,,0.0,,,,,0.0,2.159,31.786001,0.0,29.188999,,,-7.053,,29.465001,51.601,0.0,51.601,83.387001,
06/30/2003,80.806,1.517,1.517,0.0,23.462,,,32.535,24.618999,0.922,6.994,0.0,8.385,,,,,,,65.899002,7.719,,,0.0,,7.188,0.0,0.0,0.0,7.188,14.907,,4.533,4.533,,,,9.461,9.461,0.0,0.0,,,12.383001,,,12.383001,26.377001,2.137,2.137,0.0,0.0,,0.0,,,,,0.0,2.137,28.514001,0.0,29.378,,,-7.053,30.483,-0.516,52.292,0.0,52.292,80.806001,
09/30/2003,85.556,1.572,1.572,0.0,29.57,,,32.062,22.68,0.986,8.396,0.0,8.117,,,,,,,71.320999,7.559,,,0.0,,6.676,0.0,0.0,0.0,6.676,14.235,,6.613,6.613,,,,10.348,10.348,0.0,0.0,,,13.353,,,13.353,30.313999,2.114,2.114,0.0,0.0,,0.0,,,,,0.0,2.114,32.427999,0.0,29.396999,,,-7.053,31.296,-0.511999,53.128,0.0,53.128,85.556,
12/31/2003,87.167,1.467,1.467,0.0,31.875999,,,31.893999,22.841,1.623,7.43,0.0,8.978,,,,,,,74.214996,7.24,36.57,-29.33,0.0,,5.712,0.0,0.0,0.0,5.712,12.952,,8.301,8.301,,,,7.078,7.078,0.0,0.0,,,14.457001,,,14.457001,29.836,2.092,2.092,0.0,0.0,,0.0,,,,,0.0,2.092,31.928,0.0,29.959999,,,-7.053,32.375,-0.043001,55.238998,0.0,55.238998,87.166999,
03/31/2004,84.112,2.377,2.377,0.0,26.528,,,31.74,22.825001,1.18,7.735,0.0,10.186,,,,,,,70.831001,7.251,,,0.0,,6.03,0.0,0.0,0.0,6.03,13.281,,8.999,8.999,,,,2.698,2.698,0.0,0.0,,,14.394,,,14.394,26.091,2.068,2.068,0.0,0.0,,0.0,,,,,0.0,2.068,28.159,0.0,30.101,,,-7.053,33.111,-0.206001,55.952999,0.0,55.952999,84.111999,
06/30/2004,83.670998,2.619,2.619,0.0,29.462,,,30.379,22.062,1.554,6.763,0.0,8.406,,,,,,,70.865997,7.416,,,0.0,,5.389,0.0,0.0,0.0,5.389,12.805,,10.162,10.162,,,,0.092,0.092,0.0,0.0,,,13.808001,,,13.808001,24.062,2.045,2.045,0.0,0.0,,0.0,,,,,0.0,2.045,26.107,0.0,30.471001,,,-7.053,34.423,-0.277,57.564001,0.0,57.564001,83.671001,
09/30/2004,85.573997,5.505,5.505,0.0,28.052,28.052,,31.086,22.459999,1.376,7.25,0.0,8.76,,,,,,,73.403,7.307,,,0.0,,4.864,0.0,0.0,0.0,4.864,12.171,,10.081,10.081,,,,0.087,0.087,0.0,0.0,,,13.998999,,,13.998999,24.167,2.027,2.027,0.0,0.0,,0.0,,,,,0.0,2.027,26.194,0.0,30.511,,,-7.053,36.157001,-0.235002,59.379999,0.0,59.379999,85.573999,
12/31/2004,111.752,8.696,8.696,0.0,32.702,32.702,,27.047,21.006,1.296,4.745,0.0,9.251,,,,,,,77.696,8.123,38.104,-29.981,0.0,,25.933,24.614,15.379,9.235,1.319,34.056,,9.486,9.486,,,,10.336,10.336,0.0,0.0,,,25.337,,,25.337,45.159,2.005,2.005,0.0,0.0,,1.014,,,,,1.014,3.019,48.178,0.0,31.763,,,-6.018,38.01,-0.181,63.574,0.0,63.574,111.752,
03/31/2005,107.601997,3.362,3.362,0.0,33.292,33.292,,27.450001,21.427999,1.175,4.847,0.0,9.474,,,,,,,73.578003,7.972,,,0.0,,26.052,24.379999,15.379,9.000999,1.672001,34.024,,10.869,10.869,,,,2.623,2.623,0.0,0.0,,,25.236,,,25.236,38.728001,2.008,2.008,0.0,0.0,,1.782,,,,,1.782,3.79,42.518,0.0,32.104,,,-6.018,39.316002,-0.318002,65.084,0.0,65.084,107.602,
06/30/2005,113.512001,3.045,3.045,0.0,36.758999,36.758999,,28.263,21.403999,1.719,5.14,0.0,11.466,,,,,,,79.532997,8.051,,,0.0,,25.927999,24.131001,15.379,8.752001,1.796999,33.978999,,11.315,11.315,,,,1.958,1.958,0.0,0.0,,,25.691001,,,25.691001,38.964001,2.003,2.003,0.0,0.0,,1.8,,,,,1.8,3.803,42.767001,0.0,35.641998,,,-6.018,41.667,-0.545999,70.744999,0.0,70.744999,113.512,
09/30/2005,114.848999,4.894,4.894,0.0,36.820999,36.820999,,29.631001,7.02,1.484,4.998,16.129,9.677,,,,,,,81.023003,8.141,,,0.0,,25.684999,23.788,15.379,8.409,1.896999,33.825999,,12.42,12.42,,,,0.082,0.082,0.0,0.0,,,24.747,,,24.747,37.249001,1.962,1.962,0.0,0.0,,1.914,,,,,1.914,3.876,41.125001,0.0,36.118999,,,-6.018,44.209999,-0.586999,73.723999,0.0,73.723999,114.849,
12/31/2005,125.149,4.982,4.982,0.0,40.781,40.781,,29.562,20.471,1.874,7.217,0.0,9.167,,,,,,,84.492,8.044,30.324,-22.28,0.0,,32.613,30.526,20.622,9.904,2.087,40.657,,12.703,12.703,,,,3.576,3.576,0.0,0.0,,,27.382,,,27.382,43.661,1.948,1.948,0.0,0.0,,1.048,,,,,1.048,2.996,46.657,0.0,37.589,,,-5.928,47.442,-0.611,78.492,0.0,78.492,125.149,
03/31/2006,127.908997,2.322,2.322,0.0,46.494999,46.494999,,29.922001,20.774,1.679,7.469,0.0,8.641,,,,,,,87.379997,8.009,,,0.0,,32.52,30.082001,20.620001,9.462,2.438,40.529,,11.384,11.384,,,,7.202,7.202,0.0,0.0,,,24.958998,,,24.958998,43.544998,1.926,1.926,0.0,0.0,,1.679,,,,,1.679,3.605,47.149998,0.0,37.777,,,-5.928,49.450001,-0.540002,80.758999,0.0,80.758999,127.908997,
06/30/2006,133.145996,2.068,2.068,0.0,50.243,50.243,,32.199001,21.495001,1.614,9.09,0.0,8.108,,,,,,,92.617996,7.931,,,0.0,,32.597,30.059,20.854,9.205,2.538,40.528,,12.472,12.472,,,,8.165,8.165,0.0,0.0,,,25.05,,,25.05,45.687,1.909,1.909,0.0,0.0,,2.124,,,,,2.124,4.033,49.72,0.0,38.055,,,-5.928,51.789001,-0.490003,83.425999,0.0,83.425999,133.145999,
