Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Other ST Assets,Derivative & Hedging Assets,Deferred Tax Assets,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Investments in Affiliates,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Pensions,Other Post-Ret Benefits,Deferred Tax Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
09/30/2016,6772.8,118.3,118.3,0,2019.8,2019.8,0.0,451.6,408.1,,,408.1,2997.8,162.5,,,0.0,3612.5,3578.5,2467.9,1110.6,,34.0,3775.0,,1928.2,1475.4,42.9,17.5,392.4,18.5,0,,,,18.5,180.1,,,0.0,2126.8,3222.9,3222.9,,,,432.6,,,,,393.2,39.4,3655.5,5782.3,0.0,2845.2,1.6,2843.6,0.0,-1738.9,-115.8,990.5,0.0,990.5,6772.8,
12/31/2016,6948.4,263.7,263.7,0,2168.6,2168.6,0.0,452.0,353.8,0.0,,353.8,3238.1,163.7,348.0,-184.3,0.0,3546.6,3510.6,2455.0,1055.6,,36.0,3710.3,,2089.6,1653.3,38.0,25.1,373.2,18.5,0,0.0,0.0,,18.5,172.6,0.0,0.0,0.0,2280.7,3215.9,3215.9,0.0,0.0,,406.3,0.0,0.0,0.0,0.0,369.2,37.1,3622.2,5902.9,0.0,2858.9,1.6,2857.3,0.0,-1673.8,-139.6,1045.5,0.0,1045.5,6948.4,
03/31/2017,6774.7,251.7,251.7,0,1985.8,1985.8,0.0,493.4,366.7,,,366.7,3097.6,162.4,,,0.0,3514.7,3474.2,2459.1,1015.1,,40.5,3677.1,,1999.2,1509.3,72.7,15.2,402.0,18.5,0,,,,18.5,205.1,,,0.0,2222.8,3262.0,3262.0,,,,382.6,,,,,350.4,32.2,3644.6,5867.4,0.0,2876.2,1.6,2874.6,0.0,-1835.4,-133.5,907.3,0.0,907.3,6774.7,
06/30/2017,7041.6,79.0,79.0,0,2335.3,2335.3,0.0,513.6,468.8,,,468.8,3396.7,160.7,,,0.0,3484.2,3445.9,2469.3,976.6,,38.3,3644.9,,2355.8,1888.0,44.4,21.6,401.8,18.5,0,,,,18.5,180.9,,,0.0,2555.2,3277.8,3277.8,,,,359.5,,,,,329.5,30.0,3637.3,6192.5,0.0,2892.0,1.5,2890.5,0.0,-1927.1,-115.8,849.1,0.0,849.1,7041.6,
09/30/2017,7101.8,97.9,97.9,0,2311.3,2311.3,0.0,549.0,534.3,,,534.3,3492.5,162.5,,,0.0,3446.8,3414.7,2477.6,937.1,,32.1,3609.3,,2288.8,1765.9,61.8,15.4,445.7,41.5,0,,,,41.5,228.4,,,0.0,2558.7,3388.4,3388.4,,,,348.2,,,,,315.9,32.3,3736.6,6295.3,0.0,2905.4,1.5,2903.9,0.0,-1997.2,-101.7,806.5,0.0,806.5,7101.8,
12/31/2017,6966.7,144.2,144.2,0,2329.3,2329.3,0.0,411.5,511.3,0.0,,511.3,3396.3,161.1,362.9,-201.8,0.0,3409.3,3376.6,2479.6,897.0,,32.7,3570.4,,2094.4,1815.7,60.0,,218.7,25.5,0,0.0,0.0,,25.5,402.2,0.0,0.0,208.2,2522.1,3210.0,3210.0,0.0,0.0,,249.0,0.0,0.0,0.0,0.0,196.3,52.7,3459.0,5981.1,0.0,2913.1,1.5,2911.6,0.0,-1831.6,-95.9,985.6,0.0,985.6,6966.7,
03/31/2018,7027.9,221.0,221.0,0,2274.0,2274.0,0.0,485.8,499.1,,,499.1,3479.9,153.1,,,0.0,3394.9,3347.8,2488.8,859.0,,47.1,3548.0,,2363.1,1812.2,98.7,15.9,436.3,25.8,0,,,,25.8,193.6,,,193.6,2582.5,3209.7,3209.7,,,,238.8,,,,,188.9,49.9,3448.5,6031.0,0.0,2930.0,1.5,2928.5,0.0,-1854.6,-78.5,996.9,0.0,996.9,7027.9,
06/30/2018,7330.1,100.7,100.7,0,2612.2,2612.2,0.0,576.9,554.9,,,554.9,3844.7,150.3,,,0.0,3335.1,3274.8,2472.5,802.3,,60.3,3485.4,,2611.5,2081.2,60.4,21.9,448.0,38.6,0,,,,38.6,169.9,,,169.9,2820.0,3201.7,3201.7,,,,239.5,,,,,172.9,66.6,3441.2,6261.2,0.0,2954.8,1.5,2953.3,0.0,-1780.8,-105.1,1068.9,0.0,1068.9,7330.1,
09/30/2018,7375.4,255.1,255.1,0,2650.5,2650.5,0.0,481.1,562.8,,,562.8,3949.5,147.8,,,0.0,3278.1,3227.7,2469.5,758.2,,50.4,3425.9,,2374.2,2017.5,45.8,15.9,295.0,32.0,0,,,,32.0,397.7,,,397.7,2803.9,3187.4,3187.4,,,,223.4,,,,,158.4,65.0,3410.8,6214.7,0.0,2972.4,1.5,2970.9,0.0,-1703.5,-108.2,1160.7,0.0,1160.7,7375.4,
12/31/2018,7167.7,205.8,205.8,0,2671.2,2671.2,0.0,454.3,465.5,0.0,,465.5,3796.8,156.1,371.9,-215.8,0.0,3214.8,3175.0,2462.8,712.2,,39.8,3370.9,,2367.5,2006.4,55.5,,305.6,25.3,0,0.0,0.0,,25.3,410.3,0.0,0.0,410.3,2803.1,3183.3,3183.3,0.0,0.0,,206.1,0.0,0.0,0.0,0.0,141.9,64.2,3389.4,6192.5,0.0,2998.4,1.5,2996.9,0.0,-1892.6,-130.6,975.2,0.0,975.2,7167.7,
03/31/2019,7679.5,285.0,285.0,0,2725.1,2725.1,0.0,590.7,531.7,,,531.7,4132.5,287.3,,,0.0,3259.7,3224.2,2528.2,696.0,,35.5,3547.0,,2573.3,2245.4,101.3,,226.6,102.8,0,77.1,,77.1,25.7,538.9,,,538.9,3215.0,3350.7,3257.7,93.0,,93.0,186.5,,,,,132.7,53.8,3537.2,6752.2,0.0,3026.8,1.5,3025.3,0.0,-1972.0,-127.5,927.3,0.0,927.3,7679.5,
06/30/2019,7921.9,194.5,194.5,0,2967.3,2967.3,0.0,652.2,611.3,,,611.3,4425.3,280.7,,,0.0,3215.9,3185.2,2524.7,660.5,,30.7,3496.6,,2810.9,2521.5,59.8,,229.6,97.8,0,72.3,,72.3,25.5,551.6,,,350.8,3460.3,3339.9,3253.3,86.6,,86.6,185.6,,,,,123.1,62.5,3525.5,6985.8,0.0,3049.1,1.5,3047.6,0.0,-1973.6,-139.4,936.1,0.0,936.1,7921.9,
09/30/2019,7703.1,166.9,166.9,0,2899.5,2899.5,0.0,603.6,625.3,,,625.3,4295.3,255.3,,,0.0,3152.5,3132.0,2515.9,616.1,,20.5,3407.8,,2681.9,2311.7,51.4,,318.8,56.0,0,30.6,,30.6,25.4,503.1,,,503.1,3241.0,3340.7,3259.0,81.7,,81.7,186.3,,,,,111.3,75.0,3527.0,6768.0,0.0,3074.6,1.4,3073.2,0.0,-1985.4,-154.1,935.1,0.0,935.1,7703.1,
12/31/2019,7999.4,154.0,154.0,0,3002.2,3002.2,0.0,611.2,566.7,0.0,,566.7,4334.1,494.9,752.0,-257.1,0.0,3170.4,3147.1,2553.0,594.1,,23.3,3665.3,,2683.6,2264.9,88.6,,330.1,64.2,0,30.1,0.0,30.1,34.1,743.6,0.0,,491.4,3491.4,3414.3,3283.2,131.1,0.0,131.1,133.4,0.0,0.0,0.0,0.0,62.4,71.0,3547.7,7039.1,0.0,3096.7,1.4,3095.3,0.0,-2018.6,-117.8,960.3,0.0,960.3,7999.4,
03/31/2020,8222.4,214.4,214.4,0,3149.4,3149.4,0.0,672.1,629.9,,,629.9,4665.8,461.4,,,0.0,3095.2,3069.7,2529.5,540.2,,25.5,3556.6,,2807.9,2312.6,135.4,,359.9,33.7,0,,,,33.7,805.6,,,548.0,3647.2,3567.7,3438.5,129.2,,129.2,117.8,,,,,62.8,55.0,3685.5,7332.7,0.0,3116.3,1.4,3114.9,0.0,-2067.3,-159.3,889.7,0.0,889.7,8222.4,
06/30/2020,8749.5,958.4,958.4,0,3029.0,3029.0,0.0,694.8,553.6,,,553.6,5235.8,463.8,,,0.0,3049.9,3025.0,2532.1,492.9,,24.9,3513.7,,2741.9,2288.1,145.4,,308.4,37.9,0,,,,37.9,781.7,,,506.3,3561.5,3999.6,3861.6,138.0,,138.0,132.8,,,,,67.6,65.2,4132.4,7693.9,0.0,3139.7,1.4,3138.3,0.0,-1932.5,-151.6,1055.6,0.0,1055.6,8749.5,
