Date,Revenue,Sales & Services Revenue,Cost of Revenue,Cost of Goods & Services,Depreciation & Amortization,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Research & Development,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Current Income Tax,Deferred Income Tax,Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
03/31/2006,1238,,-660,,,578,,-505,,,,73,-16,-6.0,2.0,-8.0,1.0,21,57,-19,,,38,,,,38,,38,,,38,38.0,,466.0,0.08,0.08,0.11,472.0,0.08,0.08,0.11,
06/30/2006,1297,,-709,,,588,,-538,,,,50,-17,-9.0,0.0,-9.0,1.0,25,33,11,,,44,0.0,,,44,0.0,44,0.0,0.0,44,44.0,,459.0,0.1,0.1,0.1,465.0,0.1,0.1,0.1,
09/30/2006,1364,,-729,,,635,,-498,,,,137,-54,,0.0,-23.0,0.0,77,83,-35,,,48,0.0,,,48,0.0,48,0.0,0.0,48,48.0,,454.0,0.11,0.11,0.18,459.0,0.1,0.1,0.17,
12/31/2006,1280,,-681,,,599,,-503,,,,96,0,-11.0,0.0,-11.0,0.0,11,96,-25,,,71,0.0,,,71,0.0,71,0.0,0.0,71,71.0,,454.0,0.16,0.16,0.14,459.0,0.15,0.15,0.13,
03/31/2007,1294,,-696,,,598,,-507,,,,91,-3,-11.0,0.0,-11.0,0.0,14,88,-31,,,57,0.0,,,57,0.0,57,0.0,0.0,57,57.0,,453.0,0.13,0.13,0.15,457.0,0.13,0.13,0.14,
06/30/2007,1276,,-679,,,597,,-514,,,,83,-4,-12.0,1.0,-13.0,1.0,15,79,-24,,,55,0.0,,,55,0.0,55,0.0,0.0,55,55.0,,452.0,0.12,0.12,0.15,459.0,0.12,0.12,0.15,
09/30/2007,1429,,-751,,,678,,-539,,,,139,-87,,,,0.0,87,52,-17,,,35,0.0,,,35,0.0,35,0.0,0.0,35,35.0,,457.0,0.08,0.08,0.19,467.0,0.08,0.08,0.19,
12/31/2009,1060,,-550,,,510,,-497,366.0,,131.0,13,-146,,102.0,0.0,0.0,44,-133,-3,,,-136,0.0,,,-136,-1.0,-137,0.0,0.0,-137,-137.0,31.2,,,,,,,,,
03/31/2010,1320,,-784,,,536,,-640,467.0,,173.0,-104,-196,126.0,127.0,-1.0,0.0,70,-300,19,,,-281,0.0,,,-281,-1.0,-282,0.0,0.0,-282,-282.0,45.5,,,,,,,,,
06/30/2010,1332,,-777,,,555,,-608,447.0,,161.0,-53,-178,126.0,127.0,-1.0,0.0,52,-231,-9,,,-240,0.0,,,-240,0.0,-240,0.0,0.0,-240,-240.0,33.8,,,,,,,,,
09/30/2010,1348,,-777,,,571,,-601,,,,-30,-159,118.0,131.0,-13.0,0.0,41,-189,-25,,,-214,0.0,,,-214,-1.0,-215,0.0,0.0,-215,-215.0,,,,,,,,,,
12/31/2010,1366,,-747,,,619,,-632,461.0,,171.0,-13,-145,,127.0,0.0,,18,-158,-22,,,-180,0.0,,,-180,0.0,-180,0.0,0.0,-180,-180.0,16.9,,,,,,,,,
03/31/2011,1390,,-748,,,642,,-647,470.0,,177.0,-5,-408,112.0,113.0,-1.0,0.0,296,-413,-19,,,-432,0.0,,,-432,0.0,-432,0.0,0.0,-432,-432.0,187.2,,,,,,,,,
06/30/2011,1372,,-719,,,653,,-643,472.0,,171.0,10,-214,110.0,111.0,-1.0,0.0,104,-204,52,,,-152,0.0,,,-152,0.0,-152,0.0,0.0,-152,-152.0,,,,,,,,,,
09/30/2011,1419,,-701,,,718,,-610,,,,108,-128,106.0,109.0,-3.0,0.0,22,-20,-79,,,-99,0.0,,,-99,0.0,-99,0.0,0.0,-99,-99.0,,,,,,,,,,
12/31/2011,1387,,-683,,,704,,-600,,,,104,-132,108.0,109.0,-1.0,0.0,24,-28,2,,,-26,0.0,,,-26,0.0,-26,0.0,0.0,-26,-26.0,21.65,,,,,,,,,
03/31/2012,1257,,-644,,,613,,-587,,,,26,-212,107.0,108.0,-1.0,0.0,105,-186,24,,,-162,0.0,,,-162,0.0,-162,0.0,0.0,-162,-162.0,59.8,,,,,,,,,
06/30/2012,1250,,-627,,,623,,-579,,,,44,-122,107.0,107.0,,0.0,15,-78,-88,,,-166,0.0,,,-166,0.0,-166,0.0,0.0,-166,-166.0,18.55,,,,,,,,,
09/30/2012,1277,,-631,,,646,,-555,,,,91,-135,107.0,107.0,,0.0,28,-44,54,,,10,0.0,,,10,0.0,10,0.0,0.0,10,10.0,9.75,,,,,,,,,
12/31/2012,1240,,-574,,,666,,-559,,,,107,-201,107.0,108.0,-1.0,0.0,94,-94,9,,,-85,0.0,,,-85,0.0,-85,0.0,0.0,-85,-85.0,85.95,,,,,,,,,
03/31/2013,1086,,-507,,,579,0.0,-549,379.0,,170.0,30,-135,116.0,116.0,0.0,0.0,19,-105,-7,,,-112,0.0,,,-112,-80.0,-192,0.0,0.0,-192,-192.0,22.5,,,,,,,,,
06/30/2013,1116,,-498,,,618,,-548,379.0,,169.0,70,-191,,122.0,,0.0,69,-121,3,,,-118,-8.0,,,-110,0.0,-110,0.0,0.0,-110,-110.0,63.65,,,,,,,,,
09/30/2013,1200,,-519,,,681,,-533,,,,148,-161,,121.0,,0.0,40,-13,36,,,23,0.0,,,23,0.0,23,0.0,0.0,23,23.0,-6.6,,,,,,,,,
12/31/2013,1131,,-491,,,640,,-546,393.0,,153.0,94,-125,,119.0,,0.0,6,-31,-26,,,-57,-3.0,,,-54,0.0,-54,0.0,0.0,-54,-54.0,4.55,,,,,,,,,
06/30/2014,1054,,-447,,,607,,-514,365.0,,149.0,93,-165,,112.0,,0.0,53,-72,8,,,-64,-2.0,,,-62,0.0,-62,0.0,0.0,-62,-62.0,45.65,,,,,,,,,
09/30/2014,1099,,-449,,,650,,-521,374.0,,147.0,171,-150,,112.0,,0.0,38,21,-31,,,-79,-60.0,,,50,27.0,-19,0.0,0.0,-19,-19.0,29.1005,,,,,,,,,
12/31/2014,1079,1079.0,-441,432.0,57.0,638,0.0,-534,374.0,88.0,15.0,104,-98,,112.0,,,-14,6,-3,,,3,0.0,0.0,0.0,3,0.0,3,0.0,0.0,3,12.75,9.75,,,,,,,,,
03/31/2015,995,995.0,-403,396.0,57.0,592,0.0,-509,356.0,86.0,10.0,83,-111,109.0,110.0,-1.0,,2,-28,6,,,-22,0.0,0.0,0.0,-22,0.0,-22,0.0,0.0,-22,-15.5,6.5,,,,,,,,,
06/30/2015,999,999.0,-415,405.0,55.0,584,0.0,-500,356.0,82.0,7.0,84,-130,113.0,113.0,0.0,,17,-46,-3,,,-49,0.0,0.0,0.0,-49,0.0,-49,0.0,0.0,-49,-40.55,8.45,,,,,,,,,
09/30/2015,1008,1008.0,-392,383.0,57.0,616,0.0,-516,346.0,82.0,31.0,100,-106,117.0,117.0,0.0,0.0,-11,-6,-70,41.0,29.0,-76,0.0,0.0,0.0,-76,0.0,-76,0.0,0.0,-76,-54.55,21.45,,,,,,,,,
12/31/2015,958,958.0,-379,371.0,57.0,579,0.0,-488,333.0,75.0,23.0,91,-114,,118.0,,-6.0,2,-23,-4,,,-27,0.0,0.0,0.0,-27,0.0,-27,0.0,0.0,-27,-12.05,14.95,,,,,,,,,
03/31/2016,904,904.0,-363,356.0,56.0,541,0.0,-524,377.0,70.0,21.0,17,-115,117.0,117.0,0.0,-3.0,1,-98,-5,,,-103,0.0,0.0,0.0,-103,0.0,-103,0.0,0.0,-103,-55.55,47.45,,,,,,,,,
06/30/2016,882,882.0,-340,333.0,57.0,542,0.0,-484,317.0,66.0,44.0,58,-116,116.0,117.0,-1.0,-1.0,1,-58,-57,,,-115,0.0,0.0,0.0,-115,0.0,-115,0.0,0.0,-115,-84.45,30.55,,,,,,,,,
