Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Assets Held-for-Sale,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Marketable Securities,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Deferred Tax Assets,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Deferred Tax Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
09/30/2009,7271,387,387,0,729,729,0.0,695,194.0,0.0,501,0,139,1.0,,139.0,1950,2790,3523,-733,0.0,,2531,2301,1125,1176,38.0,191,5321,,969.0,,,38.0,931.0,22,12.0,,,,10.0,0,,10.0,0,991,2192,2192.0,,,,1206,-10.0,610.0,424.0,172,3398,4389,0,3834,1.0,3833.0,-101,-718,-165,2850,32,2882,7271,
12/31/2009,7167,564,564,0,552,552,0.0,615,182.0,0.0,433,0,123,0.0,,123.0,1854,2806,3605,-799,0.0,,2507,2293,1124,1169,31.0,183,5313,,923.0,418.0,0.0,8.0,497.0,20,11.0,,,,9.0,0,0.0,0.0,0,943,2177,2177.0,,,,1194,0.0,635.0,386.0,173,3371,4314,0,3848,1.0,3847.0,-104,-739,-185,2820,33,2853,7167,
03/31/2010,7255,463,463,0,743,743,0.0,623,0.0,0.0,414,209,122,,,121.0,1951,2780,3645,-865,0.0,,2524,2290,1124,1166,24.0,210,5304,,972.0,,,,972.0,8,1.0,,,,7.0,0,,25.0,0,980,2184,2184.0,,,,1164,,633.0,394.0,112,3348,4328,0,3854,1.0,3853.0,-106,-691,-194,2863,64,2927,7255,
06/30/2010,7282,30,30,0,740,740,0.0,623,0.0,0.0,403,220,175,,,159.0,1568,2711,3619,-908,0.0,,3003,2282,1123,1159,499.0,222,5714,,943.0,,,,943.0,10,4.0,,,,6.0,0,,8.0,0,953,1667,1667.0,,,,832,,623.0,73.0,128,2499,3452,0,3862,1.0,3861.0,-106,246,-237,3765,65,3830,7282,
09/30/2010,7365,35,35,0,625,625,0.0,687,0.0,0.0,486,201,190,34.0,18.0,172.0,1537,2751,3734,-983,0.0,,3077,2282,1124,1158,514.0,247,5828,,931.0,,,,931.0,7,3.0,,,,4.0,9,,9.0,9,947,1721,1721.0,,,,856,,616.0,75.0,156,2577,3524,0,3869,1.0,3868.0,-207,304,-163,3803,38,3841,7365,
12/31/2010,7158,52,52,0,546,546,0.0,620,0.0,0.0,452,168,190,0.0,16.0,157.0,1408,2754,3771,-1017,0.0,,2996,2178,1088,1090,529.0,289,5750,,935.0,474.0,0.0,0.0,461.0,6,1.0,,,,5.0,7,0.0,6.0,7,955,1629,1629.0,,,,888,0.0,676.0,75.0,131,2517,3472,0,3877,1.0,3876.0,-229,194,-194,3648,38,3686,7158,
03/31/2011,7484,61,61,0,750,750,0.0,665,0.0,0.0,477,188,213,,18.0,184.0,1689,2807,3893,-1086,0.0,,2988,2179,1088,1091,524.0,285,5795,,981.0,,,,981.0,10,5.0,,,,5.0,7,,3.0,7,998,1919,1919.0,,,,810,,605.0,72.0,130,2729,3727,0,3888,1.0,3887.0,-234,218,-153,3719,38,3757,7484,
06/30/2011,7573,51,51,0,825,825,0.0,688,0.0,0.0,489,199,203,20.0,,203.0,1767,2867,4026,-1159,0.0,,2939,2171,1088,1083,497.0,251,5806,,954.0,,,,954.0,225,221.0,,,,4.0,0,,3.0,0,1179,1725,1725.0,,,,846,,625.0,70.0,148,2571,3750,0,3896,1.0,3895.0,-277,296,-132,3783,40,3823,7573,
09/30/2011,7666,50,50,0,783,783,0.0,746,0.0,0.0,537,209,214,41.0,,212.0,1793,2839,4030,-1191,0.0,,3034,2224,1145,1079,517.0,252,5873,,960.0,,,,960.0,224,221.0,,,,3.0,0,,4.0,0,1184,1832,1832.0,,,,869,-4.0,606.0,60.0,203,2701,3885,0,3901,1.0,3900.0,-362,420,-217,3742,39,3781,7666,
12/31/2011,7527,52,52,0,610,610,0.0,795,0.0,0.0,597,198,179,3.0,,179.0,1636,2904,4148,-1244,0.0,,2987,2217,1144,1073,538.0,229,5891,,876.0,488.0,0.0,8.0,380.0,32,28.0,,,,4.0,0,0.0,6.0,0,908,1930,1930.0,,,,948,-6.0,702.0,51.0,195,2878,3786,0,3908,1.0,3907.0,-362,470,-315,3701,40,3741,7527,
03/31/2012,7833,58,58,0,889,889,0.0,800,0.0,0.0,574,226,188,,,186.0,1935,2922,4249,-1327,0.0,,2976,2210,1144,1066,529.0,237,5898,,937.0,,,,937.0,26,22.0,,,,4.0,0,,,0,963,2202,2202.0,,,,945,,694.0,53.0,198,3147,4110,0,3918,1.0,3917.0,-367,424,-294,3681,42,3723,7833,
06/30/2012,7715,54,54,0,804,804,0.0,815,0.0,0.0,584,231,173,,,172.0,1846,2904,4284,-1380,0.0,,2965,2198,1143,1055,525.0,242,5869,,895.0,,,,895.0,32,24.0,,,,8.0,5,,,0,932,2205,2205.0,,,,927,,682.0,48.0,197,3132,4064,0,3925,1.0,3924.0,-444,463,-334,3610,41,3651,7715,
09/30/2012,7692,51,51,0,770,770,0.0,793,0.0,0.0,578,215,155,,,154.0,1769,2912,4335,-1423,0.0,,3011,2194,1144,1050,564.0,253,5923,,867.0,,,,867.0,25,19.0,,,,6.0,0,,,0,892,2191,2191.0,,,,929,,679.0,43.0,207,3120,4012,0,3918,1.0,3917.0,-475,507,-305,3645,35,3680,7692,
12/31/2012,7568,55,55,0,600,600,0.0,786,0.0,0.0,554,232,176,0.0,,175.0,1617,2903,4381,-1478,0.0,,3048,2188,1143,1045,604.0,256,5951,,907.0,498.0,0.0,11.0,398.0,9,5.0,,,,4.0,0,0.0,0.0,0,916,2076,2076.0,,,,1001,0.0,754.0,38.0,209,3077,3993,0,3926,1.0,3925.0,-475,451,-364,3538,37,3575,7568,
03/31/2013,7817,62,62,0,884,884,0.0,776,0.0,0.0,526,250,195,,,192.0,1917,2865,4393,-1528,0.0,,3035,2181,1143,1038,603.0,251,5900,,920.0,,,,920.0,14,10.0,,,,4.0,0,,,0,934,2301,2301.0,,,,988,,733.0,36.0,219,3289,4223,0,3942,1.0,3941.0,-483,473,-375,3557,37,3594,7817,
06/30/2013,7785,72,72,0,789,789,0.0,820,0.0,0.0,571,249,245,,,244.0,1926,2881,4450,-1569,0.0,,2978,2218,1167,1051,561.0,199,5859,,918.0,,,,918.0,24,21.0,,,,3.0,0,,,0,942,2250,2250.0,,,,964,,722.0,35.0,207,3214,4156,0,3954,1.0,3953.0,-484,522,-399,3593,36,3629,7785,
09/30/2013,7727,51,51,0,758,758,0.0,834,0.0,0.0,584,250,270,,,269.0,1913,2905,4543,-1638,0.0,,2909,2212,1166,1046,482.0,215,5814,,938.0,,,,938.0,11,8.0,,,,3.0,0,,,0,949,2175,2175.0,,,,952,,717.0,35.0,200,3127,4076,0,3962,1.0,3961.0,-538,573,-382,3615,36,3651,7727,
12/31/2013,7647,57,57,0,683,683,0.0,810,0.0,0.0,580,230,298,0.0,29.0,268.0,1848,2932,4547,-1615,0.0,,2867,2206,1166,1040,436.0,225,5799,,988.0,547.0,0.0,8.0,433.0,4,1.0,,,,3.0,0,0.0,0.0,0,992,2024,2024.0,,,,801,0.0,578.0,23.0,200,2825,3817,0,3939,1.0,3938.0,-504,-297,655,3793,37,3830,7647,
03/31/2014,7966,65,65,0,942,942,0.0,910,0.0,0.0,659,251,306,,8.0,295.0,2223,2898,4564,-1666,0.0,,2845,2205,1166,1039,420.0,220,5743,,954.0,,,,954.0,29,25.0,,,,4.0,3,,,0,986,2358,2358.0,,,,723,,562.0,27.0,134,3081,4067,0,3937,1.0,3936.0,-521,756,-310,3862,37,3899,7966,
06/30/2014,7796,81,81,0,848,848,0.0,886,0.0,0.0,642,244,245,,14.0,230.0,2060,2913,4637,-1724,0.0,,2823,2192,1166,1026,406.0,225,5736,,879.0,,,,879.0,21,4.0,,,,17.0,5,,,4,905,2271,2271.0,,,,709,,550.0,28.0,131,2980,3885,0,3940,1.0,3939.0,-524,-301,758,3873,38,3911,7796,
09/30/2014,7695,51,51,0,904,904,0.0,823,0.0,0.0,582,241,239,,16.0,223.0,2017,2892,4588,-1696,0.0,,2786,2193,1168,1025,372.0,221,5678,,933.0,,,,933.0,26,22.0,,,,4.0,0,,,0,959,2171,2171.0,,,,668,,515.0,20.0,133,2839,3798,0,3948,1.0,3947.0,-524,791,-356,3859,38,3897,7695,
12/31/2014,7542,67,67,0,674,674,0.0,817,0.0,0.0,568,249,249,0.0,16.0,232.0,1807,2899,4623,-1724,0.0,,2836,2185,1168,1017,444.0,207,5735,,947.0,542.0,0.0,28.0,377.0,34,31.0,,,,3.0,2,0.0,0.0,0,983,1978,1978.0,,,,851,0.0,699.0,22.0,130,2829,3812,0,3955,1.0,3954.0,-518,805,-550,3692,38,3730,7542,
03/31/2015,7696,77,77,0,844,844,0.0,825,0.0,0.0,580,245,249,14.0,14.0,231.0,1995,2851,4603,-1752,0.0,,2850,2181,1168,1013,434.0,221,5701,,888.0,,,,888.0,17,14.0,,,,3.0,7,,,0,912,2274,2274.0,,,,827,,673.0,22.0,132,3101,4013,0,3947,1.0,3946.0,-515,-591,803,3644,39,3683,7696,
06/30/2015,7679,80,80,0,853,853,0.0,786,0.0,0.0,550,236,261,2.0,13.0,244.0,1980,2891,4686,-1795,0.0,,2808,2178,1168,1010,403.0,225,5699,,921.0,,,,921.0,12,9.0,,,,3.0,4,,,0,937,2165,2165.0,,,,829,,661.0,27.0,141,2994,3931,0,3951,1.0,3950.0,-533,-584,874,3708,40,3748,7679,
09/30/2015,7511,62,62,0,861,861,0.0,701,0.0,0.0,477,224,251,4.0,14.0,231.0,1875,2885,4702,-1817,0.0,,2751,2171,1167,1004,352.0,224,5636,,958.0,,,,958.0,21,18.0,,,,3.0,5,,,0,984,1979,1979.0,,,,774,,618.0,18.0,138,2753,3737,0,3960,1.0,3959.0,-574,-617,966,3735,39,3774,7511,
12/31/2015,7380,96,96,0,709,709,0.0,644,0.0,0.0,436,208,89,10.0,12.0,73.0,1538,2956,4811,-1855,0.0,,2886,2166,1167,999,492.0,218,5842,,948.0,535.0,0.0,28.0,385.0,169,6.0,3.0,3.0,,160.0,0,0.0,0.0,0,1117,1702,1669.0,33.0,33.0,,782,0.0,637.0,8.0,137,2484,3601,0,3966,1.0,3965.0,-612,1055,-670,3739,40,3779,7380,
03/31/2016,7455,54,54,0,785,785,0.0,708,0.0,0.0,497,211,63,0.0,13.0,45.0,1610,2988,4920,-1932,0.0,,2857,2163,1167,996,475.0,219,5845,,890.0,,,,890.0,166,3.0,,,,163.0,3,,,0,1059,1785,1785.0,,,,783,,621.0,9.0,153,2568,3627,0,3957,1.0,3956.0,-636,1091,-625,3787,41,3828,7455,
06/30/2016,7977,67,67,0,879,879,0.0,753,0.0,0.0,525,228,76,2.0,13.0,55.0,1775,3059,5035,-1976,0.0,,3143,2496,1344,1152,411.0,234,6202,,974.0,,,,974.0,177,0.0,,,,177.0,5,,,0,1156,2099,2099.0,,,,817,,613.0,32.0,172,2916,4072,0,3966,1.0,3965.0,-675,1208,-635,3864,41,3905,7977,
09/30/2016,7876,110,110,0,796,796,0.0,729,0.0,0.0,495,234,67,0.0,13.0,47.0,1702,3090,5068,-1978,0.0,,3084,2484,1338,1146,369.0,231,6174,,998.0,,,,998.0,4,1.0,,,,3.0,1,,,0,1003,2160,2160.0,,,,778,,558.0,36.0,184,2938,3941,0,3974,1.0,3973.0,-748,1299,-632,3893,42,3935,7876,
12/31/2016,7741,112,112,0,678,678,0.0,710,0.0,0.0,482,228,86,0.0,12.0,69.0,1586,3112,5131,-2019,0.0,,3043,2474,1336,1138,375.0,194,6155,,958.0,615.0,,34.0,309.0,3,0.0,3.0,3.0,,0.0,2,0.0,0.0,0,963,2099,2069.0,30.0,30.0,,790,0.0,588.0,36.0,166,2889,3852,0,3985,1.0,3984.0,-803,1377,-710,3849,40,3889,7741,
03/31/2017,7966,101,101,0,918,918,0.0,726,0.0,0.0,478,248,88,6.0,12.0,68.0,1833,3117,5208,-2091,0.0,,3016,2470,1337,1133,349.0,191,6133,,972.0,,,,972.0,3,0.0,,,,3.0,0,,,0,975,2256,2224.0,32.0,32.0,,789,,582.0,36.0,171,3045,4020,0,3980,1.0,3979.0,-854,1455,-676,3905,41,3946,7966,
06/30/2017,8690,199,199,0,915,915,0.0,792,0.0,0.0,521,271,82,0.0,10.0,68.0,1988,3336,5503,-2167,0.0,,3366,2845,1484,1361,321.0,200,6702,,1110.0,,,,1110.0,3,0.0,,,,3.0,3,,10.0,0,1116,2686,2655.0,31.0,31.0,,873,,612.0,75.0,176,3559,4675,0,3989,1.0,3988.0,-908,1529,-634,3976,39,4015,8690,
09/30/2017,8656,168,168,0,916,916,0.0,793,0.0,0.0,528,265,86,0.0,12.0,71.0,1963,3314,5565,-2251,0.0,,3379,2880,1513,1367,297.0,202,6693,,1179.0,,,,1179.0,5,2.0,,,,3.0,1,,,0,1185,2539,2508.0,31.0,31.0,,818,,555.0,65.0,198,3357,4542,0,3996,1.0,3995.0,-920,1603,-605,4074,40,4114,8656,
12/31/2017,8632,246,246,0,806,806,0.0,841,0.0,0.0,562,279,92,0.0,12.0,71.0,1985,3425,5756,-2331,0.0,,3222,2867,1507,1360,144.0,211,6647,,1265.0,834.0,,,431.0,5,0.0,1.0,1.0,,4.0,12,0.0,0.0,0,1282,2405,2375.0,30.0,30.0,,741,0.0,481.0,37.0,223,3146,4428,0,4012,1.0,4011.0,-911,1575,-514,4162,42,4204,8632,
03/31/2018,10213,140,140,0,1061,1061,0.0,943,0.0,0.0,630,313,84,,3.0,71.0,2228,3755,6162,-2407,0.0,,4230,3834,1962,1872,155.0,241,7985,,1378.0,,,,1378.0,5,1.0,,,,4.0,1,,,0,1384,3762,3731.0,31.0,31.0,,926,,482.0,143.0,301,4688,6072,0,4000,1.0,3999.0,-1003,1631,-530,4098,43,4141,10213,
06/30/2018,10050,149,149,0,948,948,0.0,984,0.0,0.0,664,320,119,,5.0,103.0,2200,3722,6165,-2443,0.0,,4128,3779,1968,1811,115.0,234,7850,,1373.0,,,,1373.0,5,1.0,,,,4.0,3,,,0,1381,3636,3607.0,29.0,29.0,,866,,468.0,127.0,271,4502,5883,0,4010,1.0,4009.0,-1013,1729,-600,4126,41,4167,10050,
09/30/2018,10046,136,136,0,955,955,0.0,1032,0.0,0.0,691,341,118,,5.0,55.0,2241,3741,6249,-2508,0.0,,4064,3759,1960,1799,71.0,234,7805,,1379.0,,,,1379.0,5,1.0,,,,4.0,2,,,0,1386,3669,3641.0,28.0,28.0,,785,,434.0,124.0,227,4454,5840,0,4018,1.0,4017.0,-1110,1867,-610,4165,41,4206,10046,
12/31/2018,9771,78,78,0,794,794,0.0,1072,0.0,0.0,730,342,76,,3.0,63.0,2020,3811,6386,-2575,0.0,,3940,3728,1949,1779,43.0,169,7751,,-9.0,,,,-9.0,0,,,,,,1287,0.0,0.0,1278,1278,3362,3335.0,27.0,27.0,,807,0.0,458.0,141.0,208,4169,5447,0,4029,1.0,4028.0,-1103,2013,-656,4283,41,4324,9771,
03/31/2019,10265,82,82,0,1040,1040,0.0,1109,0.0,0.0,767,342,102,,3.0,72.0,2333,4011,6633,-2622,0.0,,3921,3693,1935,1758,44.0,184,7932,,-4.0,,,,-4.0,71,0.0,71.0,4.0,67.0,,1208,,,1204,1275,3879,3695.0,184.0,16.0,168.0,809,,445.0,169.0,195,4688,5963,0,4026,1.0,4025.0,-1150,2033,-647,4262,40,4302,10265,
06/30/2019,10183,92,92,0,986,986,0.0,1058,0.0,0.0,720,338,103,,3.0,77.0,2239,4023,6717,-2694,0.0,,3921,3693,1940,1753,40.0,188,7944,,-6.0,,,,-6.0,72,0.0,72.0,5.0,67.0,,1259,,,1253,1325,3559,3387.0,172.0,17.0,155.0,854,,439.0,202.0,213,4413,5738,0,4035,1.0,4034.0,-1141,2146,-635,4405,40,4445,10183,
09/30/2019,9955,35,35,0,977,977,0.0,1031,0.0,0.0,705,326,87,9.0,,55.0,2130,3966,6711,-2745,0.0,,3859,3625,1909,1716,36.0,189,7825,,0.0,,,,0.0,71,0.0,71.0,6.0,65.0,,1190,,,1190,1261,3323,3160.0,163.0,20.0,143.0,849,,407.0,247.0,195,4172,5433,0,4044,1.0,4043.0,-1140,2272,-693,4483,39,4522,9955,
12/31/2019,10006,172,172,0,770,770,0.0,1033,0.0,0.0,715,318,86,1.0,,65.0,2061,4058,6898,-2840,0.0,,3887,3653,1932,1721,46.0,187,7945,,0.0,,,,,73,0.0,73.0,7.0,66.0,,1256,0.0,0.0,1248,1329,3124,2967.0,157.0,19.0,138.0,882,0.0,410.0,272.0,200,4006,5335,0,4052,1.0,4051.0,-1130,2319,-610,4631,40,4671,10006,
03/31/2020,9151,234,234,0,931,931,0.0,1062,0.0,0.0,725,337,105,38.0,,80.0,2332,3937,6781,-2844,0.0,,2882,2614,959,1655,31.0,199,6819,,,,,,,0,0.0,0.0,0.0,,,1430,,,1421,1430,3342,3213.0,129.0,,129.0,853,,384.0,274.0,195,4195,5625,0,4047,1.0,4046.0,-1210,1376,-726,3487,39,3526,9151,
06/30/2020,9370,582,582,0,986,986,0.0,951,0.0,0.0,620,331,85,12.0,,76.0,2604,3884,6825,-2941,0.0,,2882,2616,966,1650,32.0,222,6766,,0.0,,,,,0,0.0,,,,,1393,,2.0,1387,1393,3425,3314.0,111.0,,111.0,889,,381.0,304.0,202,4314,5707,0,4055,1.0,4054.0,-1201,1445,-675,3624,39,3663,9370,
