Date,Revenue,Sales & Services Revenue,Other Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",General & Administrative,Depreciation & Amortization,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,(Income) Loss from Affiliates,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Zakat Expenses,Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
03/31/1993,245.537003,,,-129.216995,,116.320007,,-52.745998,,,,,63.574001,-7.932,,8.701,,0.0,,-0.769,55.642001,-19.621,,36.021,0.898,,,35.123001,0.0,35.123001,-0.174,,34.949001,34.949001,,159.380005,0.22,0.225,,159.380005,0.22,0.225,0.225,
06/30/1993,131.656006,,,-56.762001,,74.894005,,-48.702,,,,,26.191999,-7.351,,8.28,,0.0,,-0.929,18.841,-2.812,,16.028999,0.764,,,15.265,0.0,15.265,-0.174,,15.091,15.091,,159.835999,0.0925,0.0975,,159.835999,0.0925,0.0975,0.0975,
09/30/1993,100.239998,,,-35.967999,,64.271999,,-49.558998,,,,,14.713,-6.884,,8.304,,0.0,,-1.42,7.829,-0.859,,6.97,1.11,,,5.86,0.0,5.86,-0.174,,5.686,5.686,,160.207993,0.035,0.0425,,160.207993,0.035,0.0425,0.0425,
12/31/1993,182.996994,,,-89.310997,,93.685997,,-49.870998,,,,,43.814999,-8.185,,8.699,,0.0,,-0.514,35.629998,-10.186,,25.444,0.0,,,25.443998,0.0,25.444,-0.173,,25.271,25.271,,160.207993,0.16,0.16,,160.207993,0.16,0.16,0.16,
03/31/1994,223.309006,,,-115.658997,,107.650009,,-52.174999,,,,,55.474998,-7.391,,8.97,,0.0,,-1.579,48.083998,-16.990999,,31.093,0.0,,,31.092999,0.0,31.093,-0.15,,30.943,30.943,,160.796005,0.1925,0.1925,,160.796005,0.1925,0.1925,0.1925,
06/30/1994,135.397003,,,-54.702,,80.695004,,-54.463001,,,,,26.232,-7.966,,9.39,,0.0,,-1.424,18.266,-4.338,,13.928,0.0,,,13.928,0.0,13.928,-0.15,,13.778,13.778,,161.076004,0.085,0.085,,161.076004,0.085,0.085,0.085,
09/30/1994,110.431,,,-38.986,,71.445,,-53.75,,,,,17.695,-8.832,,9.869,,0.0,,-1.037,8.862999,0.17,,9.033,-38.125999,,,47.158999,0.0,47.159,-0.15,,47.009,47.009,,161.311996,0.2925,0.055,,161.311996,0.2925,0.055,0.055,
12/31/1994,201.181,,,-96.218002,,104.962997,,-49.707001,,,,,55.256001,-72.408,,11.582,,0.0,,60.826,-17.151999,12.515,,-4.637,0.0,,,-4.636999,0.0,-4.637,-0.141,,-4.778,-4.778,,161.535995,-0.03,-0.03,,161.535995,-0.03,-0.03,-0.03,
03/31/1995,215.932007,,,-110.037003,,105.895004,,-55.542999,,,,,50.352001,-9.542,,11.257,,0.0,,-1.715,40.810001,-13.737,,27.073,0.0,,,27.073001,0.0,27.073,-0.121,,26.952,26.952,,161.820007,0.1675,0.1675,,161.820007,0.1675,0.1675,0.1675,
06/30/1995,138.569,,,-59.342999,,79.226002,,-54.262001,,,,,24.964001,-6.503,,10.825,,0.0,,-4.322,18.461001,-3.899,,14.562,0.0,,,14.562001,0.0,14.562,-0.121,,14.441,14.441,,162.115997,0.0875,0.0875,,162.115997,0.0875,0.0875,0.0875,
09/30/1995,111.921997,,,-45.992001,,65.929996,,-49.797001,,,,,16.132999,-1.776,,10.349,,0.0,,-8.573,14.356999,-2.417,,11.94,0.0,,,11.939999,0.0,11.94,-0.121,,11.819,11.819,,162.352005,0.0725,0.0725,,162.352005,0.0725,0.0725,0.0725,
12/31/1995,182.863998,,,-80.338997,,102.525002,,-51.948002,,,,,50.577,-7.68,,10.384,,0.0,,-2.704,42.897,-12.686,,30.211,0.0,,,30.211,0.0,30.211,-0.12,,30.091,30.091,,162.587997,0.185,0.185,,162.587997,0.185,0.185,0.185,
03/31/1996,225.723007,,,-106.189003,,119.534004,,-58.473,,,,,61.061001,-7.089,,11.125,,0.0,,-4.036,53.972001,-19.375999,,34.596001,0.0,,,34.596001,0.0,34.596001,-0.097,,34.499001,34.499001,,162.884003,0.2125,0.2125,0.2125,164.744003,0.21,0.21,0.21,
06/30/1996,148.968002,,,-67.652,,81.316002,,-56.146999,,,,,25.169001,-3.284,,9.195,,0.0,,-5.911,21.885001,-5.817,,16.068001,0.0,,,16.068001,0.0,16.068001,-0.097,,15.971001,15.971001,,163.156006,0.0975,0.0975,0.0975,163.156006,0.0975,0.0975,0.0975,
09/30/1996,145.951996,,,-69.412003,,76.539993,,-53.271999,,,,,23.268,-6.834,,9.206,,0.0,,-2.372,16.433999,-3.647,,12.787,0.0,,,12.786999,0.0,12.787,-0.097,,12.69,12.69,,163.440002,0.0775,0.0775,0.0775,163.440002,0.0775,0.0775,0.0775,
12/31/1996,301.791992,,,-180.681,,121.110992,,-58.986,,,,,62.125,-10.909,,11.557,,0.0,,-0.648,51.216,-16.521999,,34.694,0.0,,,34.694,0.0,34.694,-0.1,,34.594,34.594,,163.824005,0.21,0.21,0.21,163.824005,0.21,0.21,0.21,
03/31/1997,358.377991,,,-219.276001,,139.10199,,-67.18,,,,,71.921997,-9.039,,10.887,,0.0,,-1.848,62.882997,-21.909,,40.973999,0.0,,,40.973997,0.0,40.973999,-0.048,,40.925999,40.925999,,164.212006,0.25,0.25,0.25,164.940002,0.25,0.25,0.25,
06/30/1997,151.453003,,,-67.222,,84.231003,,-60.783001,,,,,23.448,-5.788,,10.599,,0.0,,-4.811,17.66,-4.053,,13.607,0.0,,,13.607,0.0,13.607,-0.048,,13.559,13.559,,164.352005,0.08,0.08,0.08,165.268005,0.08,0.08,0.08,
09/30/1997,138.632004,,,-63.957001,,74.675003,,-54.333,,,,,20.341999,1.033,,10.676,,0.0,,-11.709,21.374999,-5.649,,15.726,0.0,,,15.725999,0.0,15.726,-0.048,,15.678,15.678,,164.507996,0.095,0.095,0.095,165.675995,0.095,0.095,0.095,
12/31/1997,287.873993,,,-167.522995,,120.350998,,-65.907997,,,,,54.443001,-5.964,,11.604,,0.0,,-5.64,48.479001,-13.991,,34.487999,0.0,,,34.488,0.0,34.487999,-0.048,,34.439999,34.439999,,164.324005,0.21,0.21,0.21,165.524002,0.21,0.21,0.21,
03/31/1998,300.083008,,,-172.113998,,127.969009,,-60.912998,,,,,67.056,-4.834,,11.514,,0.0,,-6.68,62.222,-21.34,,40.882,0.0,,,40.881999,0.0,40.882,0.0,,40.882,40.882,,164.416,0.25,0.25,0.235,165.735992,0.244999,0.245,0.23,
06/30/1998,179.156998,,,-88.586998,,90.57,,-65.486,,,,,25.084,-3.209,,10.946,,0.0,,-7.737,21.875,-5.679,,16.195999,0.0,,,16.196,0.0,16.195999,0.0,,16.195999,16.195999,,164.615997,0.095,0.095,0.095,165.727997,0.095,0.095,0.095,
09/30/1998,150.281998,,,-72.948997,,77.333,,-59.16,,,,,18.173,-9.031,,12.214,,0.0,,-3.183,9.142001,-0.907,,8.235,0.0,,,8.235001,0.0,8.235,0.0,,8.235,8.235,,164.834,0.05,0.05,0.05,165.322006,0.05,0.05,0.05,
12/31/1998,276.734009,,,-156.675003,,120.059006,,-63.591,,,,,56.467999,-43.778001,,13.297,,0.0,,30.481001,12.689998,-1.104,,11.586,0.0,,,11.585998,0.0,11.586,0.0,,11.586,11.586,,165.102005,0.07,0.07,0.195,165.798004,0.07,0.07,0.195,
03/31/1999,277.814,,,-149.637,,128.177,,-60.815,,,,,67.362,0.557,0.903,12.971,-12.068,0.0,,-1.46,67.919,-24.555,,43.364,0.0,,,43.364,0.0,43.364,0.0,,43.364,43.364,,165.31,0.26,0.26,0.225,165.544,0.26,0.26,0.225,
06/30/1999,177.858,,,-88.6,,89.258,,-58.709,,,,,30.549,2.414,-4.0,12.428,-16.428,0.0,,1.586,32.963,-9.893,,23.07,0.0,,,23.07,0.0,23.07,0.0,,23.07,23.07,,165.356,0.14,0.14,0.105,165.74,0.14,0.14,0.105,
09/30/1999,183.07,,,-89.839,,93.231,,-65.835,,,,,27.396,-6.603,,8.565,-8.565,0.0,,6.603,20.793,-5.691,,15.102,0.0,,,15.102,0.0,15.102,0.0,,15.102,15.102,,165.244,0.095,0.095,0.07,165.654,0.09,0.09,0.065,
12/31/1999,285.477,,,-151.797,,133.68,,-79.069,,,,,54.611,-29.668,-17.659,19.98,-37.639,0.0,,47.327,24.943,-7.649,,17.294,0.0,,,17.294,0.0,17.294,0.0,,17.294,17.294,31.3,164.35546,0.105,0.105,0.295,164.356,0.105,0.105,0.295,
03/31/2000,336.702,,,-180.384,,156.318,,-74.178,,,,,82.14,-2.129,3.348,15.56,-12.212,0.0,,-1.219,80.011,-29.781,,50.23,0.0,,,50.23,0.0,50.23,0.0,0.0,50.23,50.23,,161.564,0.31,0.31,0.275,161.564,0.31,0.31,0.275,
06/30/2000,232.542,,,-117.393,,115.149,,-70.1,,,,,45.049,-4.969,5.451,16.282,-10.831,0.0,,-0.482,40.08,-13.875,,26.205,0.0,,,26.205,0.0,26.205,0.0,0.0,26.205,26.205,,160.156,0.165,0.165,0.135,160.704,0.165,0.165,0.135,
09/30/2000,245.117,,,-91.614,,153.503,0.0,-109.983,,,,,43.52,-3.464,,,-11.398,,-1.151,16.013,40.056,-13.65,,26.406,,,,26.406,,26.406,0.0,0.0,26.406,26.406,,160.446,0.165,0.165,0.165,161.724,0.165,0.165,0.165,
12/31/2000,451.792,,,-137.822,,313.97,0.0,-238.536,,,,,75.434,5.022,,,-5.022,,,14.511,65.945,-20.166,,45.779,0.0,,,45.779,,45.779,0.0,0.0,45.779,45.779,,161.13,0.284112,0.284112,0.284112,163.328,0.280288,0.280288,0.280288,
03/31/2001,562.638,,,-351.97,,210.668,0.0,-100.282,,,,,110.386,-0.309,,,-15.169,,-0.114,15.592,110.077,-41.262,,68.815,0.0,,,68.815,0.445,69.26,0.0,0.0,69.26,69.26,0.3575,161.464,0.43,0.43,0.43,163.038,0.425,0.425,0.425,
06/30/2001,285.138,,,-135.993,,149.145,0.0,-100.096,,,,,49.049,-11.779,,,-3.757,,1.206,14.33,37.27,-13.319,,23.951,0.0,,,23.951,0.552,24.503,0.0,0.0,24.503,24.503,,161.728,0.15,0.15,0.16,163.276,0.15,0.15,0.16,
09/30/2001,225.142,,,-61.385,,163.757,0.0,-116.712,,,,,47.045,-14.147,,,-2.577,,-0.367,17.091,32.898,-11.513,,21.385,,,,21.385,0.457,21.842,0.0,0.0,21.842,21.842,,162.54,0.135,0.135,0.14,163.2,0.135,0.135,0.14,
12/31/2001,376.081,,,-140.723,,235.358,,-152.911,,,,,82.447,-17.961,-60.351,,-13.338,0.0,,31.299,64.486,-22.176,,42.31,0.0,,,42.31,0.271,42.581,0.0,0.0,42.581,42.581,,163.044,0.26,0.26,0.27,163.75,0.26,0.26,0.27,
03/31/2002,402.533,,,-189.937,,212.596,0.0,-122.391,,,,,90.205,-11.973,12.63,20.036,-7.406,,-0.657,0.0,78.232,-28.25,,49.982,15.297,,,34.685,0.17,34.855,0.0,0.0,34.855,34.855,0.1989,163.172,0.215,0.31,0.31,164.196,0.21,0.305,0.305,
06/30/2002,224.614,,,-59.753,,164.861,0.0,-111.47,,,,,53.391,-8.098,11.203,20.362,-9.159,,-3.105,0.0,45.293,-16.049,,29.244,,,,29.244,0.127,29.371,0.0,0.0,29.371,29.371,0.48685,163.508,0.18,0.18,0.185,164.808,0.18,0.18,0.185,
09/30/2002,190.67,,,-27.657,,163.013,0.0,-116.834,,,,,46.179,-12.831,19.159,20.488,-1.329,,-6.328,0.0,33.348,-9.995,,23.353,,,,23.353,0.004,23.357,,0.0,23.357,23.357,0.91715,163.684,0.14,0.14,0.14,164.796,0.14,0.14,0.14,
12/31/2002,382.85,,,-152.328,,230.522,0.0,-137.385,,,,,93.137,11.508,,,-77.546,0.0,-1.687,67.725,104.645,-36.832,,67.813,0.0,,,67.813,0.2,68.013,0.0,0.0,68.013,68.013,,163.9,0.415,0.415,0.415,165.676,0.41,0.41,0.41,
03/31/2003,469.804,,,-266.439,,203.365,0.0,-75.49,,,,,127.875,-15.287,16.323,18.916,-2.593,,-1.036,0.0,112.588,-42.463,,70.125,5.58,,,64.545,0.077,64.622,0.0,0.0,64.622,64.622,0.31395,164.444,0.395,0.426905,0.426905,166.906,0.385,0.418432,0.418432,
06/30/2003,270.669,,,-155.541,,115.128,0.0,-69.233,,,,,45.895,-13.984,15.306,17.512,-2.206,,-1.322,0.0,31.911,-11.692,,20.219,,,,20.219,0.053,20.272,0.0,0.0,20.272,20.272,0.3198,165.356,0.12,0.12,0.12,168.548,0.12,0.12,0.12,
09/30/2003,273.503,,,-163.612,,109.891,0.0,-51.046,,,,,58.845,-14.159,15.488,17.306,-1.818,,-1.329,0.0,44.686,-16.033,,28.653,,,,28.653,0.038,28.691,,0.0,28.691,28.691,0.70655,165.792,0.175,0.175,0.175,168.796,0.17,0.17,0.17,
12/31/2003,449.212,,,-504.178,,-54.966,0.0,162.181,,,,,107.215,-14.863,16.184,17.002,-0.818,,-1.321,0.0,92.352,-32.375,,59.977,0.0,,,59.977,0.054,60.031,0.0,0.0,60.031,60.031,1.35785,165.984,0.361667,0.361667,0.369848,169.27,0.354646,0.354646,0.362668,
03/31/2004,558.946,,,-345.82,,213.126,,-79.516,,,,,133.61,-11.202,15.692,17.516,-1.824,0.0,,-4.49,122.408,-46.005,,76.403,0.0,,,76.403,-0.27,76.133,0.0,0.0,76.133,76.133,,166.748,0.455,0.455,0.455,170.336,0.445,0.445,0.445,
06/30/2004,364.463989,,,-208.029999,,156.43399,,-77.682999,,,,,78.750999,-10.909,15.719,17.055,-1.336,-6.146,,1.336,67.841999,-25.285999,,42.556,0.0,,,42.556,0.0,42.556,0.0,0.0,42.556,42.556,,167.302002,0.255,0.255,0.255,170.889999,0.25,0.25,0.25,
09/30/2004,360.225,,,-283.136,,77.089,,-2.441,,,,,74.648,-16.745,14.918,16.753,-1.835,0.0,,1.827,57.903,-20.962,,36.941,0.0,,,36.941,0.0,36.941,0.0,0.0,36.941,36.941,2.848,167.728,0.22,0.22,0.235,171.764,0.215,0.215,0.23,
12/31/2004,623.45,,,-601.952,,21.498,,,,,,,148.895,89.23,15.502,17.105,-1.603,6.146,,-110.878,238.125,-37.327,,73.401,0.0,,,200.798,0.27,73.671,0.0,0.0,73.671,73.671,,168.294,0.44,0.44,0.465,172.786,0.425,0.425,0.45,
03/31/2005,680.324,,,-480.762,,199.562,,-34.456,,,,,165.106,-13.93,14.071,16.722,-2.651,0.0,,-0.141,151.176,-56.005,,95.171,0.0,,,95.171,0.0,95.171,0.0,0.0,95.171,95.171,0.88445,168.834,0.565,0.565,0.57,173.456,0.55,0.55,0.555,
06/30/2005,520.209,,,-374.946,,145.263,,-35.123,,,,,110.14,-13.539,13.721,16.643,-2.922,0.0,,-0.182,96.601,-35.874,,60.727,0.0,,,60.727,0.0,60.727,0.0,0.0,60.727,60.727,0.9385,169.358,0.355,0.355,0.36,174.102,0.35,0.35,0.355,
12/31/2005,937.791,,,-711.128,,226.663,,-31.33,,,,,195.333,-32.935,14.995,18.061,-3.066,0.0,,17.94,162.398,-58.372,,104.026,0.0,,,104.026,0.0,104.026,0.0,0.0,104.026,104.026,,170.26,0.61,0.61,0.685,174.8,0.595,0.595,0.665,
03/31/2006,911.4,,,-643.2,,268.2,,-35.6,,,,,232.6,-14.8,14.8,17.4,-2.6,0.0,,0.0,217.8,-80.6,,137.2,0.0,,,137.2,0.0,137.2,0.0,0.0,137.2,137.2,1.134,170.4,0.805,0.805,0.81,174.8,0.785,0.785,0.79,
06/30/2006,596.23,,,-388.231,,207.999,,-40.393,,,,,167.606,-23.554,16.052,19.762,-3.71,0.0,,7.502,144.052,-53.69,,90.362,0.0,,,90.362,0.0,90.362,0.0,0.0,90.362,90.362,,170.704,0.53,0.53,0.57,174.984,0.515,0.515,0.555,
09/30/2006,555.2,,,-359.9,,195.3,,-50.9,,,,,144.4,5.9,14.0,17.8,-3.8,0.0,-1.8,-18.1,150.3,-55.3,,95.0,0.0,,,95.0,0.0,95.0,0.0,0.0,95.0,95.0,,171.1,0.28,0.28,0.46,175.4,0.27,0.27,0.205,
12/31/2006,778.125,,,-534.326,,243.799,,-42.507,,,,,201.292,-13.844,15.848,18.638,-2.79,0.0,,-2.004,187.448,-65.91,,121.538,0.0,,,121.538,0.0,121.538,0.0,0.0,121.538,121.538,-4.225,170.8,0.705,0.705,0.695,175.2,0.695,0.695,0.675,
03/31/2007,872.1,,,-591.0,,281.1,,-39.2,,,,,241.9,-2.6,15.0,18.0,-3.0,0.0,,-12.4,239.3,-88.2,,151.1,0.0,,,151.1,0.0,151.1,0.0,0.0,151.1,151.1,-6.43,171.6,0.88,0.88,0.845,175.6,0.86,0.86,0.825,
06/30/2007,556.7,,,-312.1,,244.6,,-45.2,,,,,199.4,-21.2,14.8,17.7,-2.9,0.0,,6.4,178.2,-66.0,,112.2,0.0,,,112.2,0.0,112.2,0.0,0.0,112.2,112.2,5.418,172.0,0.65,0.65,0.68,175.9,0.64,0.64,0.67,
09/30/2007,509.2,,,-283.4,,225.8,,-41.2,,,,,184.6,-4.7,13.6,17.3,-3.7,0.0,,-8.9,179.9,-66.6,,113.3,0.0,,,113.3,0.0,113.3,0.0,0.0,113.3,113.3,2.426,172.2,0.66,0.66,0.67,175.9,0.64,0.64,0.65,
12/31/2007,782.8,,,-493.5,,289.3,,-61.8,,,,,227.5,-26.9,14.5,19.2,-4.7,0.0,,12.4,200.6,-69.8,,130.8,0.0,,,130.8,0.0,130.8,0.0,0.0,130.8,130.8,9.454,172.3,0.76,0.76,0.81,176.0,0.74,0.74,0.79,
03/31/2008,1000.5,,,-491.9,,508.6,0.0,-197.3,,,,,311.3,-12.4,23.6,25.6,-2.0,,-0.2,-11.0,298.9,-110.7,,188.2,0.0,,,188.2,-2.4,185.8,0.0,0.0,185.8,185.8,1.69,172.4,1.08,1.08,1.089802,176.2,1.05,1.05,1.059591,
06/30/2008,825.8,,,-317.2,,508.6,0.0,-213.3,,,,,295.3,-18.4,24.2,32.5,-8.3,,-0.2,-5.6,276.9,-102.2,,174.7,0.0,,,174.7,-2.1,172.6,0.0,0.0,172.6,172.6,,172.7,1.0,1.0,0.98,176.3,0.98,0.98,0.96,
09/30/2008,760.0,,,-225.8,,534.2,0.0,-213.6,,,,,320.6,7.2,26.1,32.8,-6.7,,-0.9,-32.4,327.8,-121.2,,206.6,0.0,,,206.6,-2.4,204.2,0.0,0.0,204.2,204.2,-35.69,172.9,1.18,1.18,0.97,176.1,1.16,1.16,0.96,
12/31/2008,878.8,,,-513.1,,365.7,,-57.7,,,,,308.0,-140.8,18.9,28.6,-9.7,,,121.9,167.2,-43.9,,123.3,0.0,,,123.3,-2.1,121.2,0.0,0.0,121.2,121.2,90.221,173.0,0.7,0.7,1.22,175.7,0.69,0.69,1.2,
03/31/2009,922.5,922.5,,-444.6,444.6,477.9,0.0,-207.4,41.2,41.2,161.3,4.9,270.5,-164.1,,31.8,,,-1.6,133.9,106.4,-38.7,,67.7,0.0,0.0,0.0,67.7,-0.5,67.2,0.0,0.0,67.2,151.905,84.705,173.8,0.39,0.39,0.874022,175.9,0.38,0.38,0.861552,
06/30/2009,185.6,185.6,,-65.1,65.1,120.5,0.0,-59.0,23.7,23.7,35.5,-0.2,61.5,-10.4,,14.7,,,-0.9,-3.4,51.1,-18.1,,33.0,-45.5,-45.5,0.0,78.5,-0.6,77.9,0.0,0.0,77.9,32.27,-0.13,174.1,0.44,0.18,0.185353,176.1,0.44,0.18,0.179262,
09/30/2009,130.9,130.9,,-41.8,41.8,89.1,22.1,-59.8,23.7,23.7,36.2,-0.1,51.4,-10.5,11.4,14.4,-3.0,,-0.9,0.0,40.9,-14.1,,26.8,-71.4,-71.4,0.0,98.2,,98.2,0.0,0.0,98.2,26.735,-0.065,174.3,0.57,0.16,0.153385,176.3,0.56,0.16,0.153385,
12/31/2009,344.0,344.0,,-181.5,181.5,162.5,0.0,-62.6,23.6,23.6,38.8,0.2,99.9,-10.1,11.1,14.4,-3.3,,-1.0,0.0,89.8,-34.4,,55.4,-94.6,-94.6,0.0,150.0,,150.0,0.0,0.0,150.0,55.53,0.13,174.4,0.86,0.31,0.318406,176.7,0.85,0.31,0.310736,
03/31/2010,414.6,414.6,,-224.7,224.7,189.9,0.0,-65.1,26.2,26.2,38.9,0.0,124.8,-10.5,11.5,14.3,-2.8,,-1.0,0.0,114.3,-42.1,,72.2,-78.1,-78.1,0.0,150.3,,150.3,0.0,0.0,150.3,72.135,-0.065,174.9,0.86,0.41,0.412436,177.2,0.85,0.41,0.409633,
06/30/2010,201.1,201.1,,-70.9,70.9,130.2,0.0,-73.9,25.0,25.0,37.4,11.5,56.3,-10.5,11.4,14.0,-2.6,,-0.9,0.0,45.8,-17.1,,28.7,-68.8,-68.8,0.0,97.5,,97.5,0.0,0.0,97.5,36.175,7.475,175.1,0.56,0.17,0.206596,177.6,0.55,0.16,0.202089,
09/30/2010,145.2,145.2,,-48.7,48.7,96.5,23.2,-65.3,27.2,27.2,38.2,-0.1,54.4,-10.3,11.2,14.1,-2.9,,-0.9,0.0,44.1,-16.4,,27.7,0.0,0.0,0.0,27.7,,27.7,0.0,0.0,27.7,27.635,-0.065,175.5,0.15,0.15,0.157464,178.2,0.15,0.15,0.149635,
12/31/2010,362.7,362.7,,-186.2,186.2,176.5,0.0,-68.7,30.1,30.1,38.9,-0.3,107.8,-10.3,11.3,14.7,-3.4,,-1.0,0.0,97.5,-33.8,,63.7,0.0,0.0,0.0,63.7,0.0,63.7,0.0,0.0,63.7,63.505,-0.195,176.2,0.36,0.36,0.360414,178.8,0.36,0.36,0.358909,
03/31/2011,470.0,470.0,,-274.9,274.9,195.1,0.0,-72.3,33.0,33.0,39.4,-0.1,122.8,-12.2,,16.0,,,-0.9,-2.9,110.6,-40.7,,69.9,0.0,0.0,0.0,69.9,0.0,69.9,0.0,0.0,69.9,69.835,-0.065,177.0,0.4,0.4,0.394548,178.5,0.39,0.39,0.389636,
06/30/2011,222.9,222.9,,-84.1,84.1,138.8,0.0,-65.1,26.2,26.2,38.9,0.0,73.7,-11.5,12.5,14.8,-2.3,,-1.0,0.0,62.2,-21.9,,40.3,0.0,0.0,0.0,40.3,,40.3,,0.0,40.3,40.3,0.0,177.5,0.22,0.22,0.22,178.8,0.22,0.22,0.22,
