Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Prepaid Expenses,Derivative & Hedging Assets,Assets Held-for-Sale,Deferred Tax Assets,Discontinued Operations,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Investments in Affiliates,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Pensions,Other Post-Ret Benefits,Deferred Compensation,Deferred Tax Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
06/30/1992,39331,2244,2244,,6064,,,4525.0,,,,,380,,,,,,,13213,21258,45694,-24436,,4860,,,,,4860.0,26118,,2724.0,2724.0,,,,3660,,,,,,3359.0,,,3359.0,9743,7177.0,,,,,5078,,,,,,,5078,12255.0,21998.0,237.0,4906.0,,,,,12020,17163.0,170.0,17333.0,39331.0,
09/30/1992,39577,2307,2307,,5706,,,4542.0,,,,,430,,,,,,,12985,21643,46571,-24928,,4949,,,,,4949.0,26592,,2724.0,2724.0,,,,3948,,,,,,3066.0,,,3066.0,9738,7035.0,,,,,5277,,,,,,,5277,12312.0,22050.0,237.0,4923.0,,,,,12196,17356.0,171.0,17527.0,39577.0,
12/31/1992,38870,1674,1674,0.0,4234,,,4401.0,,,,,1919,,,,,,,12228,21882,47235,-25353,397.0,4363,,,,,4363.0,26642,,1913.0,1913.0,,,,4189,,,,,,4124.0,,,4124.0,10226,7193.0,,,,,9509,,,,,,,9509,16702.0,26928.0,237.0,4956.0,,,0.0,,6572,11765.0,177.0,11942.0,38870.0,
03/31/1993,40198,2470,2470,0.0,5549,,,4464.0,,,,,987,,,,,,,13470,21877,47676,-25799,,4851,,,,,4851.0,26728,,2748.0,2748.0,,,,4223,,,,,,3632.0,,,3632.0,10603,7778.0,,,,,9644,,,,,,,9644,17422.0,28025.0,237.0,4987.0,,,0.0,,6765,11989.0,184.0,12173.0,40198.0,
06/30/1993,40226,2815,2815,0.0,5418,,,4285.0,,,,,920,,,,,,,13438,21951,47914,-25963,0.0,4837,,,,,4837.0,26788,,2545.0,2545.0,,,,4412,,,,,,3454.0,,,3454.0,10411,7746.0,,,,,9644,,,,,,,9644,17390.0,27801.0,237.0,5022.0,,,0.0,,6981,12240.0,185.0,12425.0,40226.0,
09/30/1993,38775,2091,2091,0.0,5411,,,4109.0,,,,,1039,,,,,,,12650,21538,48197,-26659,0.0,4587,,,,,4587.0,26125,,2358.0,2358.0,,,,3820,,,,,,4524.0,,,4524.0,10702,7137.0,,,,,9482,,,,,,,9482,16619.0,27321.0,237.0,5033.0,,,0.0,,6001,11271.0,183.0,11454.0,38775.0,
12/31/1993,37053,1240,1240,0.0,4020,,,3818.0,,,,,1821,,,,,,,10899,21423,47926,-26503,474.0,4257,,,,,4257.0,26154,,1675.0,1675.0,,,,3060,,,,,,4704.0,,,4704.0,9439,6531.0,,,,,9666,,,,,,,9666,16197.0,25636.0,237.0,5067.0,,,0.0,,5926,11230.0,187.0,11417.0,37053.0,
03/31/1994,38512,2512,2512,0.0,5216,,,3970.0,,,,,962,,,,,,,12660,21282,48303,-27021,0.0,4570,,,,,4570.0,25852,,2408.0,2408.0,,,,3929,,,,,,4218.0,,,4218.0,10555,6414.0,,,,,9720,,,,,,,9720,16134.0,26689.0,237.0,5126.0,,,0.0,,6267,11630.0,193.0,11823.0,38512.0,
06/30/1994,38286,2290,2290,0.0,5537,,,3832.0,,,,,802,,,,,,,12461,21166,48554,-27388,0.0,4659,,,,,4659.0,25825,,2530.0,2530.0,,,,2878,,,,,,4104.0,,,4104.0,9512,6543.0,,,,,9897,,,,,,,9897,16440.0,25952.0,237.0,5146.0,,,0.0,,6757,12140.0,194.0,12334.0,38286.0,
09/30/1994,37914,2402,2402,0.0,5109,,,3965.0,,,,,730,,,,,,,12206,20959,48941,-27982,0.0,4749,,,,,4749.0,25708,,2470.0,2470.0,,,,2081,,,,,,4285.0,,,4285.0,8836,6517.0,,,,,9888,,,,,,,9888,16405.0,25241.0,237.0,5154.0,,,0.0,,7082,12473.0,200.0,12673.0,37914.0,
12/31/1994,36892,1109,856,253.0,4244,,,3969.0,,,,,1786,,,,,,,11108,21120,48838,-27718,508.0,4156,,,,,4156.0,25784,,1847.0,1847.0,,,,1613,,,,,,4105.0,,,4105.0,7565,6376.0,,,,,9932,,,,,,,9932,16308.0,23873.0,237.0,5179.0,,,0.0,,7406,12822.0,197.0,13019.0,36892.0,
03/31/1995,38691,1952,1681,271.0,5810,,,4283.0,,,,,789,,,,,,,12834,21022,49020,-27998,0.0,4835,,,,,4835.0,25857,,2688.0,2688.0,,,,1897,,,,,,3938.0,,,3938.0,8523,6277.0,,,,,10166,,,,,,,10166,16443.0,24966.0,237.0,5237.0,,,0.0,,8042,13516.0,209.0,13725.0,38691.0,
06/30/1995,38117,1191,937,254.0,5876,,,4361.0,,,,,719,,,,,,,12147,21142,49520,-28378,0.0,4828,,,,,4828.0,25970,,2717.0,2717.0,,,,7842,,,,,,3682.0,,,3682.0,14241,5850.0,,,,,10228,,,,,,,10228,16078.0,30319.0,237.0,9093.0,,,-8786.0,,7039,7583.0,215.0,7798.0,38117.0,
09/30/1995,37991,1541,1424,117.0,5115,,,4183.0,,,,,765,,,,,,,11604,21269,49970,-28701,0.0,5118,,,,,5118.0,26387,,2382.0,2382.0,,,,7100,,,,,,3994.0,,,3994.0,13476,5971.0,,,,,10266,,,,,,,10266,16237.0,29713.0,237.0,9081.0,,,-8789.0,,7533,8062.0,216.0,8278.0,37991.0,
12/31/1995,37312,1455,1408,47.0,4292,,,3737.0,,,,,1471,,,,,,,10955,21341,50385,-29044,554.0,4462,,,,,4462.0,26357,,1761.0,1761.0,,,,6157,,,,,,4813.0,,,4813.0,12731,5678.0,,,,,10237,,,,,,,10237,15915.0,28646.0,237.0,9130.0,,,-8789.0,,7858,8436.0,230.0,8666.0,37312.0,
03/31/1996,38651,1808,1497,311.0,5636,,,3948.0,,,,,922,,,,,,,12314,21039,49696,-28657,0.0,5298,,,,,5298.0,26337,,2650.0,2650.0,,,,6212,,,,,,4226.0,,,4226.0,13088,5586.0,,,,,10280,,,,,,,10280,15866.0,28954.0,237.0,9282.0,,,-8789.0,,8430,9160.0,537.0,9697.0,38651.0,
06/30/1996,38486,2165,1927,238.0,5670,,,3621.0,,,,,876,,,,,,,12332,20635,48988,-28353,0.0,5519,,,,,5519.0,26154,,2485.0,2485.0,,,,5249,,,,,,4523.0,,,4523.0,12257,5515.0,,,,,10258,,,,,,,10258,15773.0,28030.0,237.0,9171.0,,,-8789.0,,9236,9855.0,601.0,10456.0,38486.0,
09/30/1996,38761,2446,2050,396.0,5180,,,3769.0,,,,,720,,,,,,,12115,20755,49537,-28782,0.0,5891,,,,,5891.0,26646,,2387.0,2387.0,,,,5325,,,,,,4606.0,,,4606.0,12318,5533.0,,,,,10306,,,,,,,10306,15839.0,28157.0,237.0,6933.0,,,0.0,,2823,9993.0,611.0,10604.0,38761.0,
12/31/1996,37987,1319,1066,253.0,4216,,,3706.0,,,,,1862,,,,,,,11103,21213,50549,-29336,586.0,5085,,,,,5085.0,26884,,1926.0,1926.0,,,,3910,,,,,,5151.0,,,5151.0,10987,5087.0,,,,,10584,,,,,,,10584,15671.0,26658.0,237.0,7023.0,,,0.0,,3449,10709.0,620.0,11329.0,37987.0,
03/31/1997,39892,2055,1478,577.0,5856,,,4075.0,,,,,1022,,,,,,,13008,21012,50590,-29578,0.0,5872,,,,2413.0,3459.0,26884,,2656.0,2656.0,,,,5334,,,,,,4287.0,,,4287.0,12277,5070.0,,,,,10629,,,,,,,10629,15699.0,27976.0,237.0,7038.0,,,,5517.0,-1516,11276.0,640.0,11916.0,39892.0,
06/30/1997,41409,2194,1637,557.0,6082,,,3967.0,,,,,1000,,,,,,,13243,22083,51963,-29880,0.0,6083,,,,,6083.0,28166,,2566.0,2566.0,,,,6430,,,,,,4177.0,,,4177.0,13173,4767.0,,,,,10785,,,,,,,10785,15552.0,28725.0,237.0,7304.0,,,0.0,,4537,12078.0,606.0,12684.0,41409.0,
09/30/1997,42352,2193,1485,708.0,5858,,,4005.0,,,,,991,,,,,,,13047,21994,51615,-29621,0.0,7311,,,,3597.0,3714.0,29305,,2571.0,2571.0,,,,6271,,,,,,4656.0,,,4656.0,13498,5786.0,,,,,10795,,,,,,,10795,16581.0,30079.0,237.0,7197.0,,,,5871.0,-1637,11668.0,605.0,12273.0,42352.0,
12/31/1997,36689,1146,1004,142.0,3438,,,2792.0,659.0,827.0,2115.0,-809.0,1731,,,,,,,9107,12601,32911,-20310,185.0,14796,1270.0,,,2372.0,11154.0,27582,,1074.0,1074.0,,,,6152,6148.0,4.0,4.0,,,3991.0,,,3991.0,11217,5897.0,,,,,7944,,,,,,,7944,13841.0,25058.0,237.0,8337.0,,,0.0,4389.0,-1693,11270.0,361.0,11631.0,36689.0,
03/31/1998,45627,2260,2024,236.0,5963,,,4533.0,,,4533.0,,1040,,,,,,,13796,24075,54514,-30439,,7756,,,,3622.0,4134.0,31831,,2808.0,2808.0,,,,8391,,,,,,4624.0,,,4624.0,15823,6434.0,,,,,11050,,,,,,,11050,17484.0,33307.0,237.0,8412.0,,,,4671.0,-1691,11629.0,691.0,12320.0,45627.0,
06/30/1998,47770,3894,3371,523.0,6125,,,4492.0,,,4492.0,,896,,,,,,,15407,24434,55147,-30713,,7929,,,,3835.0,4094.0,32363,,2712.0,2712.0,,,,9938,,,,,,4683.0,,,4683.0,17333,6109.0,,,,,11229,,,,,,,11229,17338.0,34671.0,237.0,8417.0,,,0.0,5234.0,-1490,12398.0,701.0,13099.0,47770.0,
09/30/1998,42563,2021,1730,291.0,5409,,,3292.0,,,3292.0,,851,,,,,,,11573,13730,34322,-20592,,17260,,,,2170.0,15090.0,30990,,1620.0,1620.0,,,,12543,,,,,,4093.0,,,4093.0,18256,4524.0,,,,,8252,,,,,,,8252,12776.0,31032.0,237.0,8000.0,,,,3884.0,-975,11146.0,385.0,11531.0,42563.0,
12/31/1998,38536,1069,1059,10.0,3591,,,3129.0,749.0,836.0,2209.0,-665.0,1447,,,,,,,9236,14131,34728,-20597,84.0,15085,2566.0,,,1796.0,10723.0,29300,,1206.0,1206.0,,,,6629,6624.0,5.0,5.0,,,3775.0,,,3775.0,11610,4495.0,,,,,8070,,,,,,,8070,12565.0,24175.0,237.0,8196.0,,,0.0,6705.0,-1184,13954.0,407.0,14361.0,38536.0,
03/31/1999,41967,1014,1003,11.0,5399,,,3566.0,846.0,826.0,2567.0,-673.0,812,,,,,,,10791,14817,35469,-20652,,16359,,,,1801.0,14558.0,31176,,1900.0,1900.0,,,,9232,,,,,,3531.0,,,3531.0,14663,4566.0,,,,,8141,,,,,,,8141,12707.0,27370.0,237.0,8208.0,,,,6933.0,-1245,14133.0,464.0,14597.0,41967.0,
06/30/1999,37315,1540,1501,39.0,5446,,,3388.0,813.0,840.0,2408.0,-673.0,763,,,,,,,11137,14888,35636,-20748,,11290,,,,1988.0,9302.0,26178,,1844.0,1844.0,,,,3536,,,,,,3534.0,,,3534.0,8914,4934.0,,,,,8253,,,,,,,8253,13187.0,22101.0,237.0,8259.0,,,0.0,7453.0,-1209,14740.0,474.0,15214.0,37315.0,
09/30/1999,34436,2599,2305,294.0,5200,,,3595.0,826.0,892.0,2547.0,-670.0,713,,,,,,,12107,14601,35542,-20941,,7728,,,,1955.0,5773.0,22329,,1942.0,1942.0,,,,5227,,,,,,3485.0,,,3485.0,10654,4622.0,,,,,8370,,,,,,,8370,12992.0,23646.0,237.0,8130.0,,,-12051.0,14637.0,-668,10285.0,505.0,10790.0,34436.0,
12/31/1999,40777,1582,1466,116.0,5318,,,5057.0,823.0,1518.0,3322.0,-606.0,696,,,,,,,12653,14871,35416,-20545,,13253,3829.0,3829.0,0.0,1459.0,7965.0,28124,,2780.0,2780.0,,,,4941,,,,,,3507.0,,,3507.0,11228,6625.0,,,,,9532,,,,,,,9532,16157.0,27385.0,237.0,8283.0,,,-6727.0,11699.0,-617,12875.0,517.0,13392.0,40777.0,
03/31/2000,42484,3069,2844,225.0,6203,,,4545.0,872.0,1281.0,3004.0,0.0,688,,,,,,,14505,14544,34976,-20432,,13435,,,,,13435.0,27979,,2310.0,2310.0,,,,6709,,,,,,3655.0,,,3655.0,12674,6677.0,,,,,9390,,,,,,,9390,16067.0,28741.0,237.0,8130.0,,,-6727.0,12121.0,-551,13210.0,533.0,13743.0,42484.0,
06/30/2000,40237,1758,1715,43.0,5937,,,4112.0,889.0,1038.0,2818.0,-633.0,678,,,,,,,12485,14171,34481,-20310,,13581,,,,2263.0,11318.0,27752,,2001.0,2001.0,,,,5005,,,,,,3650.0,,,3650.0,10656,6638.0,,,,,9326,,,,,,,9326,15964.0,26620.0,237.0,8044.0,,,-6727.0,12238.0,-545,13247.0,370.0,13617.0,40237.0,
09/30/2000,40049,1748,1689,59.0,5531,,,4466.0,948.0,1364.0,2803.0,-649.0,726,,,,,,,12471,14173,34621,-20448,,13405,,,,2164.0,11241.0,27578,,2151.0,2151.0,,,,4488,,,,,,3711.0,,,3711.0,10350,6668.0,,,,,9419,,,,,,,9419,16087.0,26437.0,237.0,7980.0,,,-6727.0,12258.0,-513,13235.0,377.0,13612.0,40049.0,
12/31/2000,39426,1617,1540,77.0,3634,,,4658.0,907.0,1504.0,2818.0,-571.0,1747,,,,,,,11656,14182,34650,-20468,215.0,13373,8365.0,,,,5008.0,27770,,1900.0,1900.0,,,,3247,,,,,,4108.0,,,4108.0,9255,6658.0,,,,,9834,,,,,,,9834,16492.0,25747.0,237.0,7998.0,,,-6727.0,,11791,13299.0,380.0,13679.0,39426.0,
03/31/2001,40421,1360,1345,15.0,5360,,,4737.0,971.0,1014.0,3332.0,-580.0,951,,,,,,,12408,14114,34877,-20763,,13899,8277.0,,,2198.0,3424.0,28013,,2150.0,2150.0,,,,4349,,,,,,3427.0,,,3427.0,9926,6531.0,,,,,10173,,,,,,,10173,16704.0,26630.0,237.0,7932.0,,,-6727.0,12240.0,-264,13418.0,373.0,13791.0,40421.0,
06/30/2001,39134,1499,1481,18.0,5532,,,4191.0,931.0,898.0,2951.0,-589.0,1042,,,,,,,12264,13701,34319,-20618,,13169,8118.0,,,,5051.0,26870,,1809.0,1809.0,,,,4374,,,,,,3359.0,,,3359.0,9542,6219.0,,,,,9664,,,,,,,9664,15883.0,25425.0,237.0,7916.0,,,-6727.0,,11273,12699.0,1010.0,13709.0,39134.0,
09/30/2001,40983,3014,2444,570.0,5289,,,4301.0,926.0,1126.0,2846.0,-597.0,1564,,,,,,,14168,13596,34234,-20638,,13219,8014.0,,,,5205.0,26815,,2050.0,2050.0,,,,5797,,,,,,3306.0,,,3306.0,11153,6270.0,,,,,10159,,,,,,,10159,16429.0,27582.0,237.0,7905.0,,,-6727.0,,10963,12378.0,1023.0,13401.0,40983.0,
12/31/2001,40319,5848,5763,85.0,3903,,,4215.0,844.0,1185.0,2652.0,-466.0,835,,,,,,,14801,13287,33778,-20491,156.0,12075,6897.0,3746.0,3151.0,,5178.0,25518,,2219.0,2219.0,,,,1464,1461.0,3.0,3.0,,,4384.0,,,4384.0,8067,5350.0,5303.0,47.0,47.0,,10026,,,,,,,10026,15376.0,23443.0,237.0,7698.0,,,-6727.0,,13244,14452.0,2424.0,16876.0,40319.0,
03/31/2002,38661,3561,3245,316.0,4862,,,4052.0,883.0,882.0,2761.0,-474.0,776,,,,,,,13251,13192,33910,-20718,,12218,6814.0,3805.0,3009.0,2013.0,3391.0,25410,,2172.0,2172.0,,,,1622,,,,,,3077.0,,,3077.0,6871,5144.0,,,,,10059,,,,,,,10059,15203.0,22074.0,237.0,7674.0,,,-6727.0,13252.0,-240,14196.0,2391.0,16587.0,38661.0,
06/30/2002,36384,3625,3129,496.0,5451,,,3759.0,901.0,786.0,2555.0,-483.0,769,,,,,,,13604,13126,33872,-20746,,9654,4042.0,1076.0,2966.0,,5612.0,22780,,2056.0,2056.0,,,,2199,,,,,,3196.0,,,3196.0,7451,4917.0,,,,,10157,,,,,,,10157,15074.0,22525.0,237.0,7681.0,,,-6727.0,,10259,11450.0,2409.0,13859.0,36384.0,
09/30/2002,36451,3829,3460,369.0,4813,,,4099.0,906.0,975.0,2713.0,-495.0,828,,,,,,,13569,13037,33611,-20574,,9845,4017.0,1034.0,2983.0,2096.0,3732.0,22882,,2193.0,2193.0,,,,2270,,,,,,2995.0,,,2995.0,7458,4810.0,,,,,10200,,,,,,,10200,15010.0,22468.0,237.0,7679.0,,,-6727.0,10619.0,-237,11571.0,2412.0,13983.0,36451.0,
12/31/2002,34621,4143,3678,465.0,3884,,,4409.0,880.0,1239.0,2734.0,-444.0,1023,,,,,,,13459,13286,33732,-20446,,7876,4276.0,1167.0,3109.0,2047.0,1553.0,21162,,2727.0,2727.0,,,,1185,,,,,,3184.0,,,3184.0,7096,5647.0,,,,,10392,,,,,,,10392,16039.0,23135.0,237.0,7701.0,,,-6727.0,10619.0,-2767,9063.0,2423.0,11486.0,34621.0,
03/31/2003,36084,4387,4073,314.0,5273,,,4322.0,953.0,976.0,2885.0,-492.0,1056,,,,,,,15038,13163,33802,-20639,,7883,4281.0,1175.0,3106.0,,3602.0,21046,,2568.0,2568.0,,,,2424,,,,,,2986.0,,,2986.0,7978,5784.0,,,,,10549,,,,,,,10549,16333.0,24311.0,237.0,7769.0,,,-6727.0,,8054,9333.0,2440.0,11773.0,36084.0,
06/30/2003,38197,4091,3926,165.0,6149,,,4290.0,1254.0,553.0,3019.0,-536.0,984,,,,,,,15514,13722,34712,-20990,,8961,5359.0,2086.0,3273.0,,3602.0,22683,,2829.0,2829.0,,,,5860,5858.0,2.0,2.0,,,3026.0,,,3026.0,11715,5497.0,,,,,10693,,,,,,,10693,16190.0,27905.0,237.0,7790.0,,,-6727.0,11127.0,-2711,9716.0,576.0,10292.0,38197.0,
09/30/2003,37386,3863,3766,97.0,5163,,,3826.0,796.0,952.0,2390.0,-312.0,6641,,,,,,,19493,9752,29263,-19511,,8141,4838.0,1850.0,2988.0,,3303.0,17893,,1884.0,1884.0,,,,6664,6660.0,4.0,4.0,,,4217.0,,,4217.0,12765,5269.0,,,,,10014,,,,,,,10014,15283.0,28048.0,237.0,7810.0,,,-6727.0,9903.0,-2386,8837.0,501.0,9338.0,37386.0,
12/31/2003,37039,3298,3273,25.0,4218,,,4107.0,767.0,1241.0,2401.0,-302.0,6839,,,,,,,18462,9892,24149,-14257,,8685,4925.0,1939.0,2986.0,1304.0,2456.0,18577,,2412.0,2412.0,,,,5914,,,,,,4717.0,,,4717.0,13043,4301.0,,,,,9417,,,,,,,9417,13718.0,26761.0,237.0,7847.0,,,-6727.0,10185.0,-1761,9781.0,497.0,10278.0,37039.0,
03/31/2004,38827,3770,3733,37.0,5576,,,4054.000244,756.0,912.0,2692.0,-306.0,6847,,,,,,,20247,9814,24338,-14524,,8766,4911.0,1968.0,2943.0,,3855.0,18580,,2214.000244,2214.000244,,,,7423,,,,,,4560.999756,,,4560.999756,14198,4348.000488,,,,,9581,,,,,,,9581,13929.000488,28127.000488,237.0,7939.999512,,,-6727.0,10501.0,-1748,10202.999512,497.0,10699.999512,38827.0,
06/30/2004,36012,5710,5694,16.0,6626,,,3994.0,787.0,759.0,2784.0,-336.0,1242,,,,,,,17572,10288,24867,-14579,,8152,4936.0,1955.0,2981.0,1207.0,2009.0,18440,,2350.0,2350.0,,,,4090,,,,,,3404.0,,,3404.0,9844,5654.0,,,,,8984,,,,,,,8984,14638.0,24482.0,237.0,7977.0,,,-6727.0,10591.0,-1595,10483.0,1047.0,11530.0,36012.0,
09/30/2004,36590,5905,5839,66.0,6134,,,4189.0,760.0,986.0,2807.0,-364.0,1596,,,,,,,17824,10381,24775,-14394,,8385,5020.000488,1984.0,3036.000488,,3364.999512,18766,,2361.999756,2361.999756,,,,5122,5119.0,3.0,3.0,,,3410.000244,,,3410.000244,10894,5614.0,,,,,8716,,,,,,,8716,14330.0,25224.0,237.0,7964.000488,,,-6727.0,10374.0,-1591,10257.000488,1108.999878,11366.000366,36590.000366,
12/31/2004,35632,3536,3369,167.0,4889,4889.0,,4489.0,743.0,1355.0,2773.0,-382.0,2297,,,,,,,15211,10224,23978,-13754,0.0,10197,4930.0,2082.0,2848.0,,5267.0,20421,,2753.0,2753.0,,,,936,933.0,3.0,3.0,,,4250.0,,,4250.0,7939,5548.0,5518.0,30.0,30.0,,9658,,,,,,,9658,15206.0,23145.0,237.0,8108.0,,,-6727.0,10182.0,-423,11377.0,1110.0,12487.0,35632.0,
03/31/2005,37445,4651,4437,214.0,6299,,,4502.0,805.0,906.0,3210.0,-419.0,1790,,,,,,,17242,10179,24173,-13994,,10024,4902.0,2096.0,2806.0,1063.0,4059.0,20203,,2626.0,2626.0,,,,3455,,,,,,3218.0,,,3218.0,9299,5484.0,,,,,9653,,,,,,,9653,15137.0,24436.0,237.0,8405.0,,,-6727.0,10451.0,-466,11900.0,1109.0,13009.0,37445.0,
06/30/2005,37520,5054,4831,223.0,6978,,,4277.0,825.0,811.0,3061.0,-420.0,1351,,,,,,,17660,10169,24554,-14385,0.0,9691,4889.0,2112.0,2777.0,844.0,3958.0,19860,,2424.0,2424.0,,,,3932,,,,,,3140.0,,,3140.0,9496,5547.0,,,,,9482,,,,,,,9482,15029.0,24525.0,237.0,8470.0,,,-6727.0,11010.0,-534,12456.0,539.0,12995.0,37520.0,
09/30/2005,38417,5338,5147,191.0,6331,,,4454.0,879.0,1128.0,2918.0,-471.0,1512,,,,,,,17635,10182,24601,-14419,,10600,4853.0,2118.0,2735.0,863.0,4884.0,20782,,2282.0,2282.0,,,,5266,,,,,,3184.0,,,3184.0,10732,5429.0,,,,,9698,,,,,,,9698,15127.0,25859.0,237.0,8502.0,,,-6727.0,10557.0,-541,12028.0,530.0,12558.0,38417.0,
