Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Unbilled Revenues,Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Assets Held-for-Sale,Deferred Tax Assets,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Investments in Affiliates,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Deferred Tax Liabilities,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
09/30/2007,3750,231,231,0,883,883,,,823,371,362,187,-97,232,,,,,2169,607,1455.0,-848.0,0,,974,691,544,147,,283,1581,,395,395,,,,0.0,0.0,0.0,0.0,,1064,,,,1064,1459,223,223.0,0.0,0.0,495,,,495,718,2177,0,1355,,,-979,1533.0,-336,1573,0,1573,3750,
12/31/2007,3848,171,171,0,858,858,,,922,387,404,183,-52,250,,,,,2201,608,1477.0,-869.0,0,,1039,702,545,157,,337,1647,,357,357,,,,190.0,,,,,1029,,,,1029,1576,228,,,,540,,,540,768,2344,0,1361,,,-1178,1652.0,-331,1504,0,1504,3848,
03/31/2008,3943,198,198,0,923,923,,,918,406,421,183,-92,231,,,,,2270,624,1511.0,-887.0,0,,1049,707,550,157,,342,1673,,370,370,,,,361.0,,,,,963,,,,963,1694,233,,,,523,,,523,756,2450,0,1368,,,-1342,1790.0,-323,1493,0,1493,3943,
06/30/2008,4115,187,187,0,911,911,,,960,384,448,209,-81,227,,,,,2285,637,1530.0,-893.0,0,,1193,818,622,196,,375,1830,,368,368,,,,429.0,,,,,997,,,,997,1794,228,,,,517,,,517,745,2539,0,1374,,,-1401,1922.0,-319,1576,0,1576,4115,
09/30/2008,4144,175,175,0,950,950,,,970,362,436,244,-72,243,,,,,2338,680,1581.0,-901.0,0,,1126,807,609,198,,319,1806,,419,419,,,,287.0,287.0,0.0,0.0,,1034,,,,1034,1740,228,228.0,0.0,0.0,768,,,768,996,2736,0,1380,,,-1452,2058.0,-578,1408,0,1408,4144,
12/31/2008,4193,200,200,0,613,613,0.0,239.0,1026,382,479,228,-63,229,,,142.0,88.0,2307,680,1597.0,-917.0,98,98.0,1108,855,628,227,11.0,100,1886,,546,310,62.0,,174.0,441.0,441.0,,,,729,,,,729,1716,235,235.0,,,755,,587.0,168,990,2706,0,1381,2.0,1379.0,-1453,2149.0,-590,1487,0,1487,4193,
03/31/2009,4171,190,190,0,675,675,0.0,227.0,993,367,273,213,140,229,9.0,,121.0,80.0,2314,685,1618.0,-933.0,87,87.0,1085,856,626,230,11.0,88,1857,,519,325,7.0,,187.0,385.0,385.0,,,,735,,0.0,,723,1639,233,233.0,,,668,,497.0,171,901,2540,0,1387,2.0,1385.0,-1427,2264.0,-593,1631,0,1631,4171,
06/30/2009,4372,218,218,0,664,664,0.0,243.0,998,372,282,193,151,269,7.0,,112.0,107.0,2392,714,1661.0,-947.0,89,89.0,1177,947,688,259,10.0,101,1980,,534,350,10.0,,174.0,117.0,117.0,,,,776,,0.0,,766,1427,530,530.0,,,681,,490.0,191,1211,2638,0,1393,2.0,1391.0,-1446,2359.0,-572,1734,0,1734,4372,
09/30/2009,4645,235,235,0,696,696,0.0,217.0,943,341,262,177,163,271,8.0,,371.0,109.0,2362,719,1679.0,-960.0,97,97.0,1467,964,695,269,10.0,114,2283,,569,366,4.0,0.0,199.0,0.0,0.0,0.0,0.0,,790,0.0,0.0,,779,1359,532,532.0,0.0,0.0,1459,0.0,1254.0,205,1991,3350,0,1397,2.0,1395.0,-1469,2444.0,-1080,1292,3,1295,4645,
12/31/2009,4649,206,206,0,582,582,0.0,243.0,1022,355,294,176,197,251,6.0,,350.0,89.0,2304,714,1696.0,-982.0,82,82.0,1549,1068,761,307,11.0,114,2345,,551,339,27.0,,185.0,62.0,62.0,,,,766,,,,757,1379,529,529.0,,,1357,,1141.0,216,1886,3265,0,1391,2.0,1389.0,-1459,2524.0,-1075,1381,3,1384,4649,
03/31/2010,4665,246,246,0,585,585,0.0,257.0,1011,337,291,186,197,233,7.0,,334.0,85.0,2332,718,1717.0,-999.0,85,85.0,1530,1063,753,310,11.0,115,2333,,593,360,18.0,,215.0,0.0,0.0,,,,753,,2.0,,742,1346,527,527.0,,,1296,,1121.0,173,1823,3169,0,1400,2.0,1398.0,-1453,2622.0,-1076,1493,3,1496,4665,
06/30/2010,4736,303,303,0,656,656,0.0,261.0,980,341,275,174,190,226,18.0,,304.0,83.0,2426,709,1720.0,-1011.0,82,82.0,1519,1064,756,308,11.0,122,2310,,601,388,2.0,,211.0,22.0,22.0,,,,743,,,,730,1366,516,516.0,,,1273,,1102.0,171,1789,3155,0,1411,2.0,1409.0,-1465,2715.0,-1084,1577,4,1581,4736,
09/30/2010,5064,435,435,0,685,685,0.0,339.0,1004,336,242,162,264,226,26.0,,389.0,88.0,2689,707,1744.0,-1037.0,27,27.0,1641,1072,766,306,10.0,144,2375,,687,420,8.0,0.0,259.0,24.0,24.0,0.0,0.0,,741,0.0,0.0,,733,1452,525,525.0,0.0,0.0,1601,0.0,1420.0,181,2126,3578,0,1422,2.0,1420.0,-1497,2816.0,-1259,1482,4,1486,5064,
12/31/2010,4904,263,263,0,578,578,0.0,381.0,1093,342,278,169,304,231,13.0,,374.0,97.0,2546,703,1762.0,-1059.0,28,28.0,1627,1085,767,318,9.0,146,2358,,587,371,21.0,,195.0,12.0,12.0,,,,717,,,,713,1316,512,512.0,,,1597,,1403.0,194,2109,3425,0,1417,2.0,1415.0,-1615,2930.0,-1256,1476,3,1479,4904,
03/31/2011,5020,236,236,0,631,631,0.0,390.0,1172,349,292,175,356,223,10.0,,350.0,87.0,2652,718,1799.0,-1081.0,30,30.0,1620,1102,786,316,6.0,152,2368,,737,453,21.0,,263.0,28.0,28.0,,,,675,,,,667,1440,509,509.0,,,1494,,1293.0,201,2003,3443,0,1423,2.0,1421.0,-1651,3041.0,-1240,1573,4,1577,5020,
06/30/2011,5113,268,268,0,612,612,0.0,417.0,1212,347,294,189,382,245,15.0,,334.0,116.0,2754,729,1820.0,-1091.0,34,34.0,1596,1101,787,314,7.0,139,2359,,700,421,12.0,,267.0,70.0,70.0,,,,670,,,,662,1440,514,514.0,,,1488,,1280.0,208,2002,3442,0,1432,2.0,1430.0,-1679,3153.0,-1239,1667,4,1671,5113,
09/30/2011,5389,530,530,0,565,565,0.0,404.0,1195,340,265,180,410,195,29.0,,448.0,81.0,2889,754,1853.0,-1099.0,32,32.0,1714,1088,780,308,11.0,138,2500,,937,485,,,452.0,0.0,0.0,0.0,0.0,,558,0.0,0.0,12.0,549,1495,528,528.0,0.0,0.0,1838,0.0,1633.0,193,2366,3861,0,1439,2.0,1437.0,-1707,3288.0,-1497,1523,5,1528,5389,
12/31/2011,5168,286,286,0,480,480,0.0,421.0,1302,367,284,190,461,204,29.0,,435.0,96.0,2693,746,1863.0,-1117.0,29,29.0,1700,1079,777,302,13.0,144,2475,,645,403,42.0,,200.0,48.0,48.0,,,,657,,,,649,1350,777,777.0,,,1779,,1563.0,216,2556,3906,0,1440,2.0,1438.0,-2059,3372.0,-1496,1257,5,1262,5168,
03/31/2012,5207,297,297,0,472,472,0.0,426.0,1365,368,293,212,492,197,26.0,,401.0,104.0,2757,751,1877.0,-1126.0,31,31.0,1668,1078,780,298,15.0,148,2450,,815,414,,,401.0,97.0,97.0,,,,541,,,,536,1453,774,774.0,,,1646,,1483.0,163,2420,3873,0,1448,2.0,1446.0,-2132,3489.0,-1476,1329,5,1334,5207,
06/30/2012,5148,265,265,0,529,529,0.0,438.0,1353,357,270,201,525,168,30.0,,355.0,92.0,2753,750,1876.0,-1126.0,29,29.0,1616,1068,775,293,16.0,147,2395,,784,400,,,384.0,201.0,201.0,,,,500,,,,493,1485,778,778.0,,,1607,,1461.0,146,2385,3870,0,1455,2.0,1453.0,-2313,3609.0,-1478,1273,5,1278,5148,
09/30/2012,5314,335,335,0,605,605,0.0,366.0,1332,343,254,168,567,149,31.0,,455.0,84.0,2787,773,1918.0,-1145.0,34,34.0,1720,1071,780,291,19.0,144,2527,,918,475,,,443.0,0.0,0.0,0.0,0.0,0.0,522,0.0,0.0,1.0,514,1440,779,779.0,0.0,0.0,1831,0.0,1693.0,137,2610,4050,0,1462,2.0,1460.0,-2304,3708.0,-1607,1259,5,1264,5314,
12/31/2012,5313,337,337,0,510,510,0.0,396.0,1403,348,268,190,597,147,25.0,,453.0,91.0,2793,767,1938.0,-1171.0,34,34.0,1719,1074,781,293,21.0,146,2520,,785,393,,,392.0,549.0,345.0,,,204.0,581,,,,576,1915,573,573.0,,,1768,,1624.0,144,2341,4256,0,1460,2.0,1458.0,-2603,3793.0,-1598,1052,5,1057,5313,
03/31/2013,5353,337,337,0,582,582,0.0,372.0,1444,352,276,181,635,139,22.0,,429.0,98.0,2874,758,1944.0,-1186.0,32,32.0,1689,1067,778,289,24.0,147,2479,,838,394,,,444.0,588.0,385.0,,,203.0,534,,,,527,1960,570,570.0,,,1698,,1547.0,151,2268,4228,0,1465,2.0,1463.0,-2657,3911.0,-1599,1120,5,1125,5353,
06/30/2013,5397,354,354,0,551,551,0.0,418.0,1509,362,286,182,679,113,15.0,,407.0,93.0,2945,757,1948.0,-1191.0,31,31.0,1664,1065,778,287,24.0,153,2452,,817,379,,,438.0,602.0,400.0,,,202.0,516,,,,509,1935,563,563.0,,,1691,,1534.0,157,2254,4189,0,1473,2.0,1471.0,-2705,4027.0,-1592,1203,5,1208,5397,
09/30/2013,5400,391,391,0,626,626,0.0,432.0,1518,358,273,181,706,127,15.0,17.0,245.0,84.0,3094,773,1974.0,-1201.0,32,32.0,1501,1067,779,288,22.0,152,2306,,940,463,,,477.0,436.0,235.0,0.0,0.0,201.0,605,0.0,0.0,2.0,592,1981,563,563.0,0.0,0.0,1233,0.0,1078.0,153,1796,3777,0,1471,2.0,1469.0,-2729,4163.0,-1287,1618,5,1623,5400,
12/31/2013,7093,439,439,0,630,630,0.0,477.0,1601,378,275,203,745,282,13.0,152.0,84.0,108.0,3429,842,2089.0,-1247.0,34,34.0,2788,2503,1828,675,17.0,171,3664,,834,442,,,392.0,917.0,917.0,,,0.0,735,,,,727,2486,1658,1658.0,,,1219,,1023.0,196,2877,5363,0,1466,2.0,1464.0,-2721,4255.0,-1275,1725,5,1730,7093,
03/31/2014,7083,410,410,0,614,614,0.0,512.0,1674,392,275,211,796,207,13.0,69.0,50.0,124.0,3417,829,2088.0,-1259.0,34,34.0,2803,2549,1834,715,17.0,174,3666,,907,465,,,442.0,866.0,866.0,,,0.0,627,,,,621,2400,1658,1658.0,,,1173,,1005.0,168,2831,5231,0,1476,2.0,1474.0,-2722,4362.0,-1269,1847,5,1852,7083,
06/30/2014,7253,450,450,0,596,596,0.0,535.0,1707,377,287,207,836,223,18.0,69.0,64.0,140.0,3511,888,2165.0,-1277.0,29,29.0,2825,2553,1865,688,12.0,178,3742,,892,467,,,425.0,855.0,855.0,,,0.0,685,,,,680,2432,1663,1663.0,,,1205,,986.0,219,2868,5300,0,1482,2.0,1480.0,-2759,4479.0,-1255,1947,6,1953,7253,
09/30/2014,7063,323,323,0,548,548,0.0,485.0,1709,361,262,218,868,139,18.0,15.0,101.0,109.0,3204,919,2192.0,-1273.0,84,84.0,2856,2551,1863,688,8.0,178,3859,,993,535,,,458.0,504.0,504.0,0.0,0.0,0.0,701,0.0,0.0,1.0,635,2198,1663,1663.0,0.0,0.0,1313,0.0,1096.0,216,2976,5174,0,1491,2.0,1489.0,-2846,4605.0,-1366,1884,5,1889,7063,
12/31/2014,7140,315,315,0,588,588,0.0,456.0,1779,375,273,232,899,150,24.0,17.0,92.0,118.0,3288,919,2213.0,-1294.0,84,84.0,2849,2541,1856,685,8.0,184,3852,,857,461,,,396.0,831.0,831.0,,,,675,,,,662,2363,1670,1670.0,,,1237,,1012.0,225,2907,5270,0,1488,2.0,1486.0,-2983,4732.0,-1373,1864,6,1870,7140,
03/31/2015,7172,284,284,0,652,652,0.0,431.0,1800,370,263,235,932,138,32.0,0.0,67.0,119.0,3305,924,2236.0,-1312.0,97,97.0,2846,2548,1865,683,14.0,185,3867,,890,472,,,418.0,785.0,785.0,,,,668,,,,651,2343,1678,1678.0,,,1198,,977.0,221,2876,5219,0,1500,2.0,1498.0,-3020,4849.0,-1382,1947,6,1953,7172,
06/30/2015,7230,294,294,0,684,684,0.0,428.0,1844,365,274,238,967,128,21.0,0.0,56.0,111.0,3378,933,2265.0,-1332.0,98,98.0,2821,2540,1868,672,14.0,190,3852,,923,430,,,493.0,745.0,745.0,,,,674,,,,661,2342,1667,1667.0,,,1166,,956.0,210,2833,5175,0,1510,2.0,1508.0,-3082,4983.0,-1362,2049,6,2055,7230,
09/30/2015,7304,252,252,0,635,635,0.0,403.0,1824,353,250,216,1005,110,34.0,,165.0,103.0,3224,964,2318.0,-1354.0,109,109.0,3007,2607,1904,703,13.0,188,4080,,992,487,,,505.0,448.0,448.0,0.0,0.0,0.0,620,0.0,0.0,3.0,609,2060,1680,1680.0,0.0,0.0,1684,0.0,1466.0,215,3364,5424,0,1521,2.0,1519.0,-3071,5124.0,-1699,1875,5,1880,7304,
12/31/2015,7471,334,334,0,601,601,0.0,435.0,1938,388,263,248,1039,138,24.0,,141.0,130.0,3446,973,,,92,92.0,2960,2596,1903,693,11.0,188,4025,,895,443,,,452.0,1105.0,805.0,,,300.0,575,,,,565,2575,1370,1370.0,,,1621,,1381.0,240,2991,5566,0,1522,2.0,1520.0,-3145,5215.0,-1693,1899,6,1905,7471,
03/31/2016,7541,300,300,0,611,611,0.0,477.0,1968,387,257,248,1076,134,37.0,,103.0,125.0,3490,991,,,110,110.0,2950,2613,1920,693,11.0,186,4051,,906,460,,,446.0,1120.0,820.0,,,300.0,547,,,,539,2573,1383,1383.0,,,1596,,1356.0,240,2979,5552,0,1486,1.0,1485.0,-824,2991.0,-1670,1983,6,1989,7541,
06/30/2016,7675,307,307,0,706,706,0.0,478.0,1975,376,249,236,1114,148,41.0,,104.0,135.0,3614,999,,,122,122.0,2940,2596,1918,678,10.0,189,4061,,986,483,,,503.0,1112.0,812.0,,,300.0,517,,,,504,2615,1387,1387.0,,,1559,,1324.0,235,2946,5561,0,1496,1.0,1495.0,-878,3162.0,-1672,2108,6,2114,7675,
09/30/2016,7699,340,340,0,655,655,0.0,439.0,1939,354,236,210,1139,117,35.0,,219.0,106.0,3490,1035,2451.0,-1416.0,146,146.0,3028,2586,1919,667,10.0,178,4209,,1042,527,,,515.0,740.0,440.0,0.0,0.0,300.0,564,0.0,0.0,1.0,551,2346,1374,1374.0,0.0,0.0,1895,0.0,1660.0,234,3269,5615,0,1507,1.0,1506.0,-858,3327.0,-1898,2078,6,2084,7699,
12/31/2016,7709,308,308,0,561,561,0.0,466.0,2011,376,254,245,1136,143,17.0,,197.0,130.0,3489,1032,,,180,180.0,3008,2608,1926,682,8.0,178,4220,,913,461,,,452.0,920.0,920.0,,,0.0,508,,,,490,2341,1356,1356.0,,,1804,,1564.0,240,3160,5501,0,1503,1.0,1502.0,-824,3429.0,-1906,2202,6,2208,7709,
03/31/2017,7780,281,281,0,630,630,0.0,505.0,2013,381,237,246,1149,150,15.0,,143.0,139.0,3579,1042,,,175,175.0,2984,2600,1928,672,8.0,218,4201,,899,486,,,413.0,855.0,855.0,,,0.0,497,,,,487,2251,1354,1354.0,,,1773,,1533.0,240,3127,5378,0,1515,1.0,1514.0,-800,3554.0,-1873,2396,6,2402,7780,
06/30/2017,18351,578,578,0,1159,1159,0.0,485.0,2506,702,340,306,1158,167,15.0,,29.0,158.0,4895,1328,2816.0,-1488.0,199,199.0,11929,11599,8602,2997,7.0,279,13456,,1390,787,,,603.0,511.0,362.0,,,149.0,973,,,417.0,967,2874,7268,7268.0,,,2600,,1523.0,660,9868,12742,0,4544,2.0,4542.0,-814,3679.0,-1806,5603,6,5609,18351,
09/30/2017,17997,703,703,0,965,965,0.0,461.0,2451,677,347,259,1168,180,14.0,0.0,21.0,172.0,4760,1398,2924.0,-1526.0,211,211.0,11628,11287,9158,2129,7.0,299,13237,,1599,927,,,672.0,479.0,329.0,,,149.0,991,0.0,0.0,331.0,991,3069,6676,6676.0,,,2202,0.0,1208.0,663,8878,11947,0,4561,2.0,4559.0,-781,3838.0,-1575,6043,7,6050,17997,
12/31/2017,18052,583,583,0,1021,1021,0.0,492.0,2557,741,364,271,1181,173,10.0,,21.0,168.0,4826,1408,,,204,204.0,11614,11268,9206,2062,6.0,309,13226,,1266,758,,,508.0,877.0,728.0,,,149.0,951,,,250.0,951,3094,6498,6498.0,,,2099,,1124.0,725,8597,11691,0,4558,2.0,4556.0,-720,4064.0,-1548,6354,7,6361,18052,
03/31/2018,18300,668,668,0,1088,1088,0.0,552.0,2633,801,373,279,1180,202,4.0,,21.0,195.0,5143,1408,,,229,229.0,11520,11187,9195,1992,6.0,302,13157,,1351,799,,,552.0,908.0,759.0,,,149.0,934,,2.0,231.0,924,3193,6456,6456.0,,,2011,,1098.0,680,8467,11660,0,4574,2.0,4572.0,-702,4247.0,-1486,6633,7,6640,18300,
06/30/2018,18359,621,621,0,1190,1190,0.0,621.0,2641,819,376,293,1153,324,1.0,66.0,22.0,253.0,5397,1402,,,206,206.0,11354,11014,9103,1911,6.0,311,12962,,1459,832,,,627.0,864.0,715.0,,,149.0,951,,,277.0,938,3274,6317,6317.0,,,1970,,1046.0,647,8287,11561,0,4591,2.0,4589.0,-692,4468.0,-1576,6791,7,6798,18359,
09/30/2018,19026,738,738,0,1513,1513,0.0,596.0,2649,828,381,289,1151,282,1.0,91.0,16.0,191.0,5778,1429,3111.0,-1682.0,185,185.0,11634,11299,9107,2192,5.0,313,13248,,1377,821,,,556.0,2248.0,1500.0,,,748.0,1061,0.0,0.0,346.0,1061,4686,5681,5681.0,,,1545,0.0,525.0,674,7226,11912,0,4606,2.0,4604.0,-682,4654.0,-1471,7107,7,7114,19026,
