Date,Cash from Operating Activities,Net Income,Depreciation & Amortization,Non-Cash Items,Stock-Based Compensation,Deferred Income Taxes,Other Non-Cash Adj,Chg in Non-Cash Work Cap,Inc (Dec) in Other,Net Cash From Disc Ops,Cash from Investing Activities,Change in Fixed & Intang,Disp in Fixed & Intang,Disp of Fixed Prod Assets,Disp of Intangible Assets,Acq of Fixed & Intang,Acq of Fixed Prod Assets,Acq of Intangible Assets,Net Change in LT Investment,Dec in LT Investment,Inc in LT Investment,Net Cash From Acq & Div,Cash from Divestitures,Cash for Acq of Subs,Cash for JVs,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Cash From (Repayment) Debt,Cash (Repurchase) of Equity,Increase in Capital Stock,Decrease in Capital Stock,Other Financing Activities,Effect of Foreign Exchange Rates,Net Changes in Cash,Cash Paid for Taxes,Cash Paid for Interest,Source: Bloomberg
03/31/1996,691.0,713.0,112.0,-46.0,,,-46.0,-88.0,-88.0,,,-145.0,,,,-145.0,,,,,,,,,,145.0,,,,,,,,,,,,
06/30/1996,954.0,1050.0,123.0,-6.0,,,-6.0,-213.0,-213.0,,-235.0,-235.0,,,,-235.0,,,,,,,,,,0.0,,,,,,,,,719.0,,,
09/30/1996,1202.0,967.0,239.0,-90.0,,,-90.0,86.0,86.0,,-302.0,-302.0,,,,-302.0,,,,,,,,,,0.0,,,,,,,,,900.0,,,
12/31/1996,616.0,762.0,159.0,-402.0,,,-402.0,97.0,97.0,,-990.0,-990.0,,,,-990.0,,,,,,,,,,0.0,,,,,,,,,-374.0,,,
03/31/1997,904.0,987.0,138.0,-452.0,,,-452.0,231.0,231.0,,552.0,-194.0,15.0,,,-209.0,,,871.0,1052.0,-181.0,,,,,-125.0,-954.0,0.0,-688.0,-183.0,35.0,-218.0,-83.0,,502.0,,,
06/30/1997,1224.0,1314.0,163.0,-353.0,,,-353.0,100.0,100.0,,-457.0,-234.0,29.0,,,-263.0,,,245.0,245.0,,,,,,-468.0,-150.0,-347.0,69.0,-146.0,41.0,-187.0,274.0,,617.0,,,
09/30/1997,1316.0,1011.0,149.0,-243.0,,,-243.0,399.0,399.0,,168.0,-294.0,10.0,,,-304.0,,,608.0,695.0,-87.0,,,,,-146.0,-1926.0,-348.0,-768.0,-519.0,33.0,-552.0,-291.0,,-442.0,,,
12/31/1997,589.0,817.0,176.0,373.0,,,373.0,-777.0,-777.0,,-763.0,-300.0,17.0,,,-317.0,,,-184.0,41.0,-225.0,,,,,-279.0,-199.0,-692.0,54.0,-264.0,41.0,-305.0,703.0,,-373.0,,,
03/31/1998,511.0,857.0,152.0,55.0,,,55.0,-553.0,-553.0,,-485.0,-179.0,6.0,,,-185.0,,,-79.0,28.0,-107.0,,,,,-227.0,125.0,-356.0,738.0,-223.0,71.0,-294.0,-34.0,,151.0,,,
06/30/1998,1136.0,1191.0,168.0,-171.0,,,-171.0,-52.0,-52.0,,-293.0,-211.0,14.0,,,-225.0,,,204.0,376.0,-172.0,,,,,-286.0,-704.0,-373.0,195.0,-519.0,66.0,-585.0,-7.0,,139.0,,,
09/30/1998,957.0,888.0,151.0,-59.0,,,-59.0,-23.0,-23.0,,-346.0,-193.0,9.0,,,-202.0,,,372.0,458.0,-86.0,,,,,-525.0,-892.0,-360.0,-18.0,-521.0,59.0,-580.0,7.0,,-281.0,,,
12/31/1998,829.0,597.0,174.0,-20.0,,,-20.0,78.0,78.0,,-1037.0,-226.0,25.0,,,-251.0,,,-71.0,174.0,-245.0,,,,,-740.0,110.0,-391.0,493.0,2.0,106.0,-104.0,6.0,,-98.0,,,
03/31/1999,337.0,747.0,190.0,211.0,,,211.0,-811.0,-811.0,,-512.0,-222.0,6.0,,,-228.0,,,-50.0,35.0,-85.0,,,,,-240.0,120.0,-338.0,520.0,43.0,48.0,-5.0,-105.0,,-55.0,,,
06/30/1999,1414.0,942.0,210.0,88.0,,,88.0,174.0,174.0,,-954.0,-298.0,6.0,,,-304.0,,,-91.0,15.0,-106.0,,,,,-565.0,160.0,-414.0,555.0,44.0,48.0,-4.0,-25.0,,620.0,,,
09/30/1999,1145.0,787.0,209.0,-18.0,,,-18.0,167.0,167.0,,-1475.0,-244.0,12.0,,,-256.0,,,-139.0,36.0,-175.0,,,,,-1092.0,-381.0,-388.0,14.0,24.0,24.0,0.0,-31.0,,-711.0,,,
12/31/1999,987.0,-45.0,183.0,936.0,,,936.0,-87.0,-87.0,,-480.0,-260.0,21.0,,,-281.0,,,90.0,90.0,0.0,,,,,-310.0,-398.0,-440.0,-133.0,42.0,48.0,-6.0,133.0,,109.0,,,
03/31/2000,169.0,-58.0,217.0,711.0,,,711.0,-701.0,-701.0,,-395.0,-224.0,3.0,,,-227.0,,,-113.0,24.0,-137.0,,,,,-58.0,1069.0,0.0,1098.0,-24.0,84.0,-108.0,-5.0,,843.0,,,
06/30/2000,1062.0,926.0,226.0,25.0,,-75.0,100.0,-115.0,-115.0,,-524.0,-184.0,8.0,,,-192.0,,,-111.0,6.0,-117.0,,,,,-229.0,-149.0,-420.0,250.0,51.0,66.0,-15.0,-30.0,,389.0,,,
09/30/2000,1348.0,1067.0,129.0,-64.0,,,-64.0,216.0,216.0,,-17.0,-146.0,6.0,,,-152.0,,,64.0,81.0,-17.0,,,,,65.0,-1229.0,-421.0,-340.0,86.0,93.0,-7.0,-554.0,,102.0,,,
12/31/2000,1006.0,242.0,201.0,815.0,,,815.0,-252.0,-252.0,,-229.0,-134.0,28.0,,,-162.0,,,-58.0,179.0,-237.0,,,,,-37.0,-1903.0,-844.0,-1593.0,85.0,88.0,-3.0,449.0,,-1126.0,,,
03/31/2001,717.0,863.0,186.0,0.0,,-46.0,46.0,-332.0,-332.0,,-399.0,-120.0,17.0,,,-137.0,,,-168.0,16.0,-184.0,,,,,-111.0,479.0,0.0,453.0,18.0,85.0,-67.0,8.0,,797.0,,,
06/30/2001,1378.0,1118.0,199.0,-38.0,,-84.0,46.0,99.0,99.0,,-196.0,-138.0,38.0,,,-176.0,,,-32.0,124.0,-156.0,,,,,-26.0,-1199.0,-448.0,-669.0,-25.0,40.0,-65.0,-57.0,,-17.0,,,
09/30/2001,-255.0,,,-255.0,,-45.0,-210.0,,,,-840.0,-458.0,70.0,,,-528.0,,,,,,,,,,-382.0,,,,,,,,,676.0,,,
12/31/2001,1057.0,914.0,232.0,55.0,,,55.0,-144.0,-144.0,,-348.0,-220.0,21.0,,,-241.0,,,185.0,276.0,-91.0,,,,,-313.0,-1338.0,-894.0,-361.0,-49.0,9.0,-58.0,-34.0,,-629.0,,,
03/31/2002,961.0,-194.0,195.0,1086.0,,-62.0,1148.0,-126.0,-126.0,,-329.0,-153.0,22.0,,,-175.0,,,16.0,74.0,-58.0,,,,,-192.0,-230.0,0.0,-66.0,-153.0,30.0,-183.0,-11.0,,402.0,,,
06/30/2002,1195.0,1290.0,203.0,-168.0,,-145.0,-23.0,-130.0,-130.0,,-257.0,-186.0,13.0,,,-199.0,,,-32.0,,-32.0,,,,,-39.0,-535.0,-497.0,-17.0,-63.0,55.0,-118.0,42.0,,403.0,,,
09/30/2002,1249.0,1161.0,201.0,23.0,,-56.0,79.0,-136.0,-136.0,,-145.0,-188.0,20.0,,,-208.0,,,-25.0,,-25.0,,,,,68.0,-1128.0,-497.0,-454.0,-165.0,12.0,-177.0,-12.0,,-24.0,,,
12/31/2002,1337.0,930.0,207.0,215.0,,40.0,175.0,-15.0,-15.0,,-456.0,-255.0,14.0,,,-269.0,,,41.0,115.0,-74.0,,,,,-242.0,-1434.0,-993.0,-219.0,-203.0,10.0,-213.0,-19.0,,-553.0,0.0,,
03/31/2003,599.0,835.0,198.0,57.0,,-103.0,160.0,-491.0,-491.0,,-185.0,-188.0,7.0,,,-195.0,,,,,,,,,,3.0,449.0,,715.0,-330.0,12.0,-342.0,64.0,,863.0,,,
06/30/2003,1531.0,1362.0,213.0,18.0,,-116.0,134.0,-62.0,-62.0,,-332.0,-163.0,40.0,,,-203.0,,,,,,,,,,-169.0,-896.0,-545.0,-397.0,-79.0,12.0,-91.0,125.0,,303.0,,,
09/30/2003,1991.0,1223.0,211.0,233.0,,150.0,83.0,324.0,324.0,,-366.0,-160.0,7.0,,,-167.0,,,0.0,0.0,0.0,,,,,-206.0,-1324.0,-541.0,-204.0,-481.0,24.0,-505.0,-98.0,,301.0,,,
12/31/2003,1335.0,927.0,228.0,119.0,,,119.0,61.0,61.0,,-130.0,-214.0,33.0,,,-247.0,,,,,,,,,,84.0,-1633.0,-1080.0,-112.0,-452.0,50.0,-502.0,11.0,,-428.0,0.0,,
03/31/2004,1160.0,1127.0,213.0,81.0,,-47.0,128.0,-261.0,-261.0,,-219.0,-148.0,22.0,,,-170.0,,,0.0,0.0,0.0,,,,,-71.0,-9.0,-602.0,981.0,-442.0,61.0,-503.0,54.0,,932.0,,,
06/30/2004,1796.0,1584.0,207.0,2.0,,-10.0,12.0,3.0,3.0,,-156.0,-164.0,18.0,,,-182.0,,,0.0,0.0,0.0,,,,,8.0,-892.0,-617.0,168.0,-402.0,81.0,-483.0,-41.0,,748.0,,,
09/30/2004,1634.0,935.0,210.0,409.0,,13.0,396.0,80.0,80.0,,-252.0,-152.0,16.0,,,-168.0,,,0.0,0.0,0.0,,,,,-100.0,-1059.0,-590.0,-16.0,-457.0,29.0,-486.0,4.0,,323.0,,,
12/31/2004,1378.0,1201.0,263.0,353.0,,206.0,147.0,-439.0,-439.0,,124.0,50.0,285.0,,,-235.0,,,0.0,0.0,0.0,,,,,74.0,-160.0,-620.0,581.0,-245.0,22.0,-267.0,124.0,,1342.0,,,
03/31/2005,1372.0,1002.0,226.0,210.0,,-5.0,215.0,-66.0,-66.0,,-159.0,-151.0,14.0,,,-165.0,,,0.0,0.0,0.0,,,,,-8.0,-955.0,-660.0,-182.0,-87.0,9.0,-96.0,-26.0,,258.0,,,
07/01/2005,2162.0,1723.0,223.0,150.0,,46.0,104.0,66.0,66.0,,-489.0,-199.0,12.0,,,-211.0,,,0.0,0.0,0.0,,,,,-290.0,-3686.0,-671.0,-2021.0,-919.0,42.0,-961.0,-75.0,,-2013.0,,,
09/30/2005,1746.0,1283.0,227.0,-222.0,,-115.0,-107.0,458.0,458.0,,-569.0,-195.0,62.0,,,-257.0,,,0.0,0.0,0.0,,,,,-374.0,-1178.0,-15.0,-635.0,-452.0,86.0,-538.0,-76.0,,-1.0,,,
12/31/2005,1143.0,864.0,256.0,51.0,,-14.0,65.0,-28.0,-28.0,,-279.0,-266.0,0.0,,,-266.0,,,0.0,0.0,0.0,,,,,-13.0,-1114.0,-1332.0,556.0,-367.0,93.0,-460.0,29.0,,-250.0,,,
03/31/2006,707.0,1106.0,209.0,125.0,,-28.0,153.0,-733.0,-733.0,,-503.0,-244.0,12.0,,,-256.0,,,0.0,0.0,0.0,,,,,-259.0,-541.0,0.0,-74.0,-508.0,1.0,-509.0,41.0,,-337.0,,,
06/30/2006,2055.0,1836.0,224.0,-92.0,,39.0,-131.0,87.0,87.0,,-194.0,-331.0,39.0,,,-370.0,,,0.0,0.0,0.0,,,,,137.0,-2221.0,-754.0,-832.0,-656.0,0.0,-656.0,21.0,,-360.0,,,
09/29/2006,1872.0,1460.0,233.0,-86.0,,-43.0,-43.0,265.0,265.0,,-845.0,-313.0,21.0,,,-334.0,,,0.0,0.0,0.0,,,,,-532.0,-1643.0,-706.0,-871.0,-40.0,7.0,-47.0,-26.0,,-616.0,,,
12/31/2006,1323.0,678.0,272.0,607.0,,-3.0,610.0,-234.0,-234.0,,-158.0,-407.0,40.0,,,-447.0,,,0.0,0.0,0.0,,,,,249.0,-2113.0,-1451.0,319.0,-1064.0,140.0,-1204.0,83.0,,-948.0,,,
03/30/2007,949.0,1262.0,241.0,-110.0,,-95.0,-15.0,-444.0,-444.0,,-795.0,-261.0,89.0,,,-350.0,,,0.0,0.0,0.0,,,,,-534.0,1038.0,0.0,1632.0,-625.0,93.0,-718.0,31.0,,1192.0,,,
06/29/2007,2346.0,1851.0,274.0,72.0,,51.0,21.0,149.0,149.0,,-3251.0,-358.0,62.0,,,-420.0,,,0.0,0.0,0.0,,,,,-2893.0,1637.0,-787.0,2050.0,310.0,550.0,-240.0,64.0,,732.0,,,
09/28/2007,2162.0,1654.0,279.0,-138.0,,-23.0,-115.0,367.0,367.0,,-566.0,-293.0,28.0,,,-321.0,,,0.0,0.0,0.0,,,,,-273.0,-1344.0,-788.0,-187.0,-371.0,370.0,-741.0,2.0,,252.0,,,
12/31/2007,1693.0,1214.0,369.0,176.0,313.0,176.0,-313.0,-66.0,-66.0,,-2107.0,-497.0,60.0,,,-557.0,,,0.0,0.0,0.0,,,,,-1610.0,-109.0,-1574.0,846.0,467.0,606.0,-139.0,152.0,,-523.0,,,
03/28/2008,1120.0,1500.0,307.0,8.0,75.0,-8.0,-59.0,-695.0,-695.0,,-557.0,-372.0,14.0,,,-386.0,,,0.0,0.0,0.0,,,,,-185.0,1543.0,0.0,1379.0,62.0,316.0,-254.0,102.0,,2106.0,,,
06/27/2008,2098.0,1422.0,330.0,817.0,,-214.0,1031.0,-471.0,-471.0,,-677.0,-478.0,32.0,,,-510.0,,,0.0,0.0,0.0,,,,,-199.0,-1049.0,-884.0,460.0,-634.0,143.0,-777.0,9.0,,372.0,,,
09/26/2008,2450.0,1890.0,306.0,-154.0,,1.0,-155.0,408.0,408.0,,-560.0,-474.0,0.0,,,-474.0,,,0.0,0.0,0.0,,,,,-86.0,-664.0,-880.0,258.0,63.0,111.0,-48.0,-105.0,,1226.0,,,
12/31/2008,1903.0,995.0,285.0,553.0,,-139.0,692.0,70.0,70.0,,-569.0,-515.0,83.0,,,-598.0,,,0.0,0.0,0.0,,,,,-54.0,-4430.0,-1757.0,-2068.0,16.0,16.0,0.0,-621.0,,-3096.0,1942.0,460.0,
04/03/2009,873.0,1348.0,283.0,252.0,53.0,-20.0,219.0,-1010.0,-1010.0,0.0,-599.0,-460.0,7.0,7.0,0.0,-467.0,-467.0,0.0,0.0,0.0,0.0,-179.0,0.0,-179.0,0.0,40.0,1817.0,-950.0,2757.0,10.0,10.0,0.0,0.0,24.0,2115.0,,,
07/03/2009,2789.0,2037.0,302.0,-163.0,54.0,-63.0,-154.0,613.0,613.0,0.0,-565.0,-488.0,25.0,25.0,0.0,-513.0,-513.0,0.0,0.0,0.0,0.0,-69.0,0.0,-69.0,0.0,-8.0,-1675.0,-949.0,-786.0,60.0,64.0,-4.0,0.0,282.0,831.0,,,
10/02/2009,2608.0,1896.0,320.0,1.0,35.0,109.0,-143.0,391.0,391.0,0.0,-396.0,-417.0,2.0,2.0,0.0,-419.0,-419.0,0.0,0.0,0.0,0.0,-38.0,0.0,-38.0,0.0,59.0,-1026.0,-951.0,-230.0,156.0,158.0,-2.0,-1.0,13.0,1199.0,,,
12/31/2009,1916.0,1543.0,331.0,600.0,99.0,327.0,174.0,-558.0,-558.0,0.0,-2589.0,-524.0,70.0,70.0,0.0,-594.0,-594.0,0.0,0.0,0.0,0.0,-14.0,0.0,-14.0,0.0,-2051.0,-1409.0,-950.0,622.0,-1082.0,430.0,-1512.0,1.0,257.0,-1825.0,,,
04/02/2010,1326.0,1614.0,295.0,204.0,53.0,34.0,117.0,-787.0,-787.0,0.0,-1368.0,-377.0,16.0,16.0,0.0,-393.0,-393.0,0.0,0.0,0.0,0.0,-6.0,0.0,-6.0,0.0,-985.0,-1043.0,-1015.0,-149.0,119.0,121.0,-2.0,2.0,-252.0,-1337.0,,,
07/02/2010,2984.0,2369.0,316.0,-50.0,61.0,-1.0,-110.0,349.0,349.0,0.0,30.0,-451.0,49.0,49.0,0.0,-500.0,-500.0,0.0,0.0,0.0,0.0,-138.0,0.0,-138.0,0.0,619.0,-832.0,-1015.0,99.0,86.0,86.0,0.0,-2.0,-131.0,2051.0,,,
10/01/2010,2914.0,2055.0,323.0,-194.0,71.0,13.0,-278.0,730.0,730.0,0.0,-1375.0,-413.0,29.0,29.0,0.0,-442.0,-442.0,0.0,0.0,0.0,0.0,-1654.0,0.0,-1654.0,0.0,692.0,990.0,-1004.0,1678.0,327.0,328.0,-1.0,-11.0,245.0,2774.0,,,
12/31/2010,2308.0,5771.0,509.0,-4050.0,195.0,571.0,-4816.0,78.0,78.0,0.0,-1692.0,-840.0,40.0,40.0,0.0,-880.0,-880.0,0.0,0.0,0.0,0.0,-713.0,0.0,-713.0,0.0,-139.0,-2580.0,-1034.0,220.0,-1827.0,1131.0,-2958.0,61.0,-28.0,-1992.0,,,
04/01/2011,458.0,1903.0,486.0,127.0,76.0,-24.0,75.0,-2058.0,-2058.0,0.0,-1047.0,-566.0,23.0,23.0,0.0,-589.0,-589.0,0.0,0.0,0.0,0.0,-189.0,0.0,-189.0,0.0,-292.0,986.0,-1065.0,2718.0,-689.0,440.0,-1129.0,22.0,161.0,558.0,,,
07/01/2011,3184.0,2800.0,471.0,27.0,105.0,206.0,-284.0,-114.0,-114.0,0.0,-1281.0,-578.0,23.0,23.0,0.0,-601.0,-601.0,0.0,0.0,0.0,0.0,-71.0,0.0,-71.0,0.0,-632.0,-956.0,-1078.0,18.0,120.0,362.0,-242.0,-16.0,144.0,1091.0,,,
09/30/2011,3158.0,2224.0,466.0,-28.0,87.0,17.0,-132.0,496.0,496.0,0.0,-1086.0,-705.0,20.0,20.0,0.0,-725.0,-725.0,0.0,0.0,0.0,0.0,-50.0,0.0,-50.0,0.0,-331.0,1146.0,-16.0,2792.0,-1657.0,580.0,-2237.0,27.0,-702.0,2516.0,,,
12/31/2011,2674.0,1657.0,531.0,703.0,86.0,834.0,-217.0,-217.0,-217.0,0.0,890.0,-970.0,35.0,35.0,0.0,-1005.0,-1005.0,0.0,0.0,0.0,0.0,-667.0,0.0,-667.0,0.0,2527.0,-3410.0,-2141.0,-563.0,-718.0,187.0,-905.0,12.0,-33.0,121.0,,,
03/30/2012,493.0,2054.0,447.0,-162.0,77.0,-103.0,-136.0,-1846.0,-1846.0,0.0,-4883.0,-565.0,27.0,27.0,0.0,-592.0,-592.0,0.0,0.0,0.0,0.0,-109.0,11.0,-120.0,0.0,-4209.0,1922.0,0.0,2523.0,-643.0,436.0,-1079.0,42.0,329.0,-2139.0,,,
06/29/2012,3685.0,2788.0,508.0,206.0,89.0,156.0,-39.0,183.0,183.0,0.0,-3677.0,-683.0,30.0,30.0,0.0,-713.0,-713.0,0.0,0.0,0.0,0.0,-635.0,0.0,-635.0,0.0,-2359.0,-774.0,-1155.0,1340.0,-972.0,559.0,-1531.0,13.0,-561.0,-1327.0,,,
09/28/2012,3662.0,2311.0,514.0,16.0,88.0,103.0,-175.0,821.0,821.0,0.0,-1839.0,-650.0,16.0,16.0,0.0,-666.0,-666.0,0.0,0.0,0.0,0.0,-410.0,0.0,-410.0,0.0,-779.0,-1547.0,-1149.0,235.0,-685.0,324.0,-1009.0,52.0,2.0,278.0,,,
12/31/2012,2805.0,1866.0,513.0,664.0,5.0,476.0,183.0,-238.0,-238.0,0.0,-1005.0,-739.0,70.0,70.0,0.0,-809.0,-809.0,0.0,0.0,0.0,0.0,-369.0,0.0,-369.0,0.0,103.0,-2948.0,-2291.0,120.0,-770.0,170.0,-940.0,-7.0,-25.0,-1173.0,,,
03/29/2013,478.0,1751.0,473.0,438.0,47.0,157.0,234.0,-2184.0,-2184.0,0.0,-1218.0,-463.0,35.0,35.0,0.0,-498.0,-498.0,0.0,0.0,0.0,0.0,662.0,690.0,-28.0,0.0,-1417.0,1435.0,0.0,2520.0,-1106.0,417.0,-1523.0,21.0,25.0,720.0,,,
06/28/2013,3478.0,2676.0,474.0,-101.0,45.0,-57.0,-89.0,429.0,429.0,0.0,-1490.0,-549.0,22.0,22.0,0.0,-571.0,-571.0,0.0,0.0,0.0,0.0,-280.0,0.0,-280.0,0.0,-661.0,-1299.0,-1249.0,805.0,-921.0,534.0,-1455.0,66.0,-445.0,244.0,,,
09/27/2013,3756.0,2447.0,497.0,-291.0,63.0,79.0,-433.0,1103.0,1103.0,0.0,-275.0,-549.0,7.0,7.0,0.0,-556.0,-556.0,0.0,0.0,0.0,0.0,161.0,179.0,-18.0,0.0,113.0,-1519.0,-1245.0,529.0,-786.0,128.0,-914.0,-17.0,-250.0,1712.0,,,
12/31/2013,2830.0,1710.0,533.0,867.0,72.0,469.0,326.0,-280.0,-280.0,0.0,-1231.0,-878.0,47.0,47.0,0.0,-925.0,-925.0,0.0,0.0,0.0,0.0,-24.0,3.0,-27.0,0.0,-329.0,-2362.0,-2475.0,857.0,-691.0,249.0,-940.0,-53.0,59.0,-704.0,,,
03/28/2014,1066.0,1619.0,473.0,404.0,39.0,13.0,352.0,-1430.0,-1430.0,0.0,-2213.0,-381.0,68.0,68.0,0.0,-449.0,-449.0,0.0,0.0,0.0,0.0,-85.0,0.0,-85.0,0.0,-1747.0,205.0,0.0,1359.0,-684.0,191.0,-875.0,-470.0,-341.0,-1283.0,,,
06/27/2014,3404.0,2595.0,494.0,60.0,73.0,-80.0,67.0,255.0,255.0,0.0,-915.0,-515.0,66.0,66.0,0.0,-581.0,-581.0,0.0,0.0,0.0,0.0,-247.0,0.0,-247.0,0.0,-153.0,-143.0,-1342.0,1786.0,-619.0,459.0,-1078.0,32.0,141.0,2487.0,,,
09/26/2014,3509.0,2114.0,510.0,211.0,31.0,-112.0,292.0,674.0,674.0,0.0,-3430.0,-572.0,16.0,16.0,0.0,-588.0,-588.0,0.0,0.0,0.0,0.0,62.0,73.0,-11.0,0.0,-2920.0,-258.0,-1338.0,1653.0,-602.0,408.0,-1010.0,29.0,-355.0,-534.0,,,
12/31/2014,2636.0,770.0,499.0,1305.0,66.0,139.0,1100.0,62.0,62.0,0.0,-948.0,-715.0,73.0,73.0,0.0,-788.0,-788.0,0.0,0.0,0.0,0.0,29.0,75.0,-46.0,0.0,-262.0,-3435.0,-2670.0,-86.0,-725.0,474.0,-1199.0,46.0,-379.0,-2126.0,,,
04/03/2015,1574.0,1557.0,473.0,733.0,60.0,8.0,665.0,-1189.0,-1189.0,0.0,-812.0,-495.0,21.0,21.0,0.0,-516.0,-516.0,0.0,0.0,0.0,0.0,-374.0,229.0,-603.0,0.0,57.0,-1177.0,-1441.0,618.0,-375.0,279.0,-654.0,21.0,-332.0,-747.0,,,
07/03/2015,3544.0,3108.0,488.0,-277.0,57.0,635.0,-969.0,225.0,225.0,0.0,-2944.0,-586.0,12.0,12.0,0.0,-598.0,-598.0,0.0,0.0,0.0,0.0,-1497.0,184.0,-1681.0,0.0,-861.0,47.0,-1436.0,1902.0,-513.0,131.0,-644.0,94.0,-53.0,594.0,,,
10/02/2015,3272.0,1449.0,482.0,723.0,54.0,-431.0,1100.0,618.0,618.0,0.0,-1657.0,-539.0,17.0,17.0,0.0,-556.0,-556.0,0.0,0.0,0.0,0.0,-202.0,3.0,-205.0,0.0,-916.0,-48.0,-1436.0,1619.0,-346.0,322.0,-668.0,115.0,-389.0,1178.0,,,
12/31/2015,2138.0,1237.0,527.0,185.0,65.0,-139.0,259.0,189.0,189.0,0.0,-773.0,-848.0,35.0,35.0,0.0,-883.0,-883.0,0.0,0.0,0.0,0.0,147.0,149.0,-2.0,0.0,-72.0,-3935.0,-1428.0,-1443.0,-1085.0,513.0,-1598.0,21.0,-104.0,-2674.0,,,
