Date,Basic Shares Outstanding,Diluted Weighted Avg Shares,Basic Weighted Avg Shares,Per Share Data Items,Revenue,Operating Income,Net Income to Common - Basic,Net Income before XO - Basic,Normalized Net Income - Basic,Net Income to Common - Diluted,Net Income before XO - Diluted,Normalized Net Income - Diluted,Dividends,Cash Flow,Cash & Equivalents,Book Value,Tangible Book Value,Source: Bloomberg
12/31/1995,135.979996,136.169998,136.169998,,11.150768,2.614379,0.77,0.77,0.76,0.77,0.77,0.76,0.25,1.747081,0.497132,29.305045,,
03/31/1996,135.356003,139.496002,136.074005,,9.249378,0.716522,0.815,0.685,0.685,0.795,0.67,0.67,,3.561297,0.802329,26.038003,,
06/30/1996,132.817993,137.432007,133.815994,,9.483171,0.826508,0.76,0.795,0.795,0.74,0.775,0.775,0.25,2.876338,0.69343,25.012424,,
09/30/1996,129.404007,133.779999,131.378006,,10.951605,1.367809,0.835,1.34,1.34,0.82,1.31,1.31,0.25,2.909163,0.750363,25.921146,,
12/31/1996,131.938004,134.481994,132.203994,,10.175941,0.860035,0.885,0.835,0.78,0.87,0.815,0.76,0.25,2.925025,3.341721,28.995437,,
03/31/1997,132.75,136.126007,132.339996,,10.367236,1.65105,0.56,0.56,0.52,0.55,0.55,0.51,,2.609944,1.60452,26.896422,,
06/30/1997,126.748001,136.742004,132.722,,10.790223,2.06974,2.92,0.85,0.82,2.84,0.83,0.8,0.25,6.908425,0.901,31.999716,,
09/30/1997,125.472,130.404007,126.033997,,11.292985,2.015329,1.19,1.18,1.24,1.15,1.14,1.2,0.25,-0.58635,0.764314,36.495792,,
12/31/1997,125.807999,130.522003,125.828003,,11.913882,2.666338,1.39,1.5,1.17,1.34,1.45,1.13,0.5,1.709476,1.056372,38.799599,35.437333,
03/31/1998,126.330002,131.136002,126.099998,,12.362411,2.647105,1.22,1.22,0.79,1.17,1.17,0.76,,2.647105,0.891316,40.242223,,
06/30/1998,124.888,130.649994,125.568001,,12.291348,2.738755,1.22,1.22,0.99,1.17,1.17,0.95,0.5,5.065781,1.746365,40.534718,,
09/30/1998,124.639999,129.25,124.853996,,11.931536,2.355551,0.99,0.99,0.98,0.96,0.96,0.95,,4.363497,1.565308,41.955231,,
12/31/1998,124.489998,128.537994,124.472,,14.755125,4.181663,2.22,2.22,1.01,2.15,2.15,0.98,0.5,2.941225,1.281227,45.834204,42.433127,
03/31/1999,124.634003,130.343994,124.570999,,12.748553,2.677188,1.36,1.36,1.03,1.3,1.3,0.99,0.25,-0.154129,0.768651,47.258371,43.836351,
