Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Assets Held-for-Sale,Deferred Tax Assets,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Investments,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Deferred Tax Liabilities,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
12/31/2008,12752.0,601.0,374.0,227.0,339.0,339.0,,,,,,,4488.0,,,,,5428.0,183.0,423.0,-240.0,,,7141.0,6075.0,4492.0,1583.0,1066.0,7324.0,,242.0,242.0,,225.0,,,,,,4610.0,,,,4610.0,5077.0,2299.0,,,,,1073.0,,,1073.0,3372.0,8449.0,0.0,3571.0,,,-10.0,1344.0,-619.0,4286.0,17.0,4303.0,12752.0,
03/31/2009,12453.0,557.0,333.0,224.0,355.0,355.0,0.0,0.0,0.0,0.0,0.0,0.0,4390.0,,,720.0,309.0,5302.0,165.0,,,0.0,,6986.0,5917.0,4381.0,1536.0,349.0,7151.0,,454.0,,454.0,225.0,0.0,,,,225.0,4281.0,157.0,,675.0,24.0,4960.0,2229.0,2229.0,,,,1007.0,,,175.0,3236.0,8196.0,0.0,3580.0,2.0,3578.0,-11.0,1438.0,-766.0,4241.0,16.0,4257.0,12453.0,
06/30/2009,11660.0,655.0,419.0,236.0,383.0,383.0,0.0,0.0,0.0,0.0,0.0,0.0,3399.0,,,615.0,323.0,4437.0,170.0,,,0.0,,7053.0,6172.0,4591.0,1581.0,266.0,7223.0,,443.0,,443.0,225.0,0.0,,,,225.0,3340.0,163.0,,688.0,114.0,4008.0,2090.0,2090.0,,,,1049.0,,,198.0,3139.0,7147.0,0.0,3595.0,2.0,3593.0,-11.0,1507.0,-600.0,4491.0,22.0,4513.0,11660.0,
09/30/2009,12342.0,568.0,311.0,257.0,379.0,379.0,0.0,0.0,0.0,0.0,0.0,0.0,3965.0,,,403.0,353.0,4912.0,165.0,,,0.0,,7265.0,6597.0,4922.0,1675.0,265.0,7430.0,,431.0,,431.0,169.0,0.0,,,,169.0,3771.0,159.0,,726.0,41.0,4371.0,1920.0,1920.0,,,,1065.0,,,180.0,2985.0,7356.0,15.0,3725.0,2.0,3723.0,-11.0,1567.0,-331.0,4965.0,21.0,4986.0,12342.0,
12/31/2009,10722.0,902.0,594.0,308.0,301.0,301.0,0.0,0.0,0.0,0.0,0.0,0.0,2251.0,0.0,,504.0,172.0,3454.0,164.0,491.0,-327.0,0.0,,7104.0,6431.0,4800.0,1631.0,169.0,7268.0,,323.0,,323.0,225.0,0.0,0.0,0.0,,225.0,2319.0,160.0,0.0,683.0,137.0,2867.0,1867.0,1867.0,0.0,0.0,,1029.0,0.0,58.3,127.7,2896.0,5763.0,15.0,3733.0,2.0,3731.0,-10.0,1610.0,-406.0,4942.0,17.0,4959.0,10722.0,
03/31/2010,10519.0,796.0,535.0,261.0,377.0,377.0,0.0,0.0,0.0,0.0,0.0,0.0,2048.0,,,523.0,180.0,3221.0,161.0,,,0.0,,7137.0,6377.0,4770.0,1607.0,237.0,7298.0,,317.0,,317.0,105.0,0.0,,,,105.0,2148.0,159.0,,676.0,57.0,2570.0,1986.0,1986.0,,,,1016.0,,,181.0,3002.0,5572.0,16.0,3745.0,2.0,3743.0,-58.0,1670.0,-438.0,4935.0,12.0,4947.0,10519.0,
06/30/2010,9910.0,836.0,526.0,310.0,361.0,361.0,0.0,0.0,0.0,0.0,0.0,0.0,1691.0,,,640.0,156.0,2888.0,154.0,,,0.0,,6868.0,6039.0,4526.0,1513.0,189.0,7022.0,,336.0,,336.0,140.0,0.0,,,,140.0,1858.0,157.0,,644.0,137.0,2334.0,1912.0,1912.0,,,,971.0,,,170.0,2883.0,5217.0,0.0,3776.0,2.0,3774.0,-212.0,1766.0,-647.0,4683.0,10.0,4693.0,9910.0,
09/30/2010,10355.0,679.0,336.0,343.0,308.0,308.0,0.0,0.0,0.0,0.0,0.0,0.0,1893.0,,,403.0,219.0,2880.0,160.0,,,0.0,,7315.0,6721.0,5041.0,1680.0,191.0,7475.0,,235.0,,235.0,140.0,0.0,,,,140.0,1992.0,169.0,,713.0,153.0,2367.0,1846.0,1846.0,,,,1064.0,,,182.0,2910.0,5277.0,0.0,3778.0,2.0,3776.0,-310.0,1867.0,-268.0,5067.0,11.0,5078.0,10355.0,
12/31/2010,16207.0,568.0,315.0,253.0,298.0,298.0,0.0,0.0,0.0,0.0,0.0,0.0,7644.0,0.0,,433.0,153.0,8510.0,164.0,528.0,-364.0,0.0,,7533.0,6846.0,5127.0,1719.0,254.0,7697.0,,264.0,,264.0,140.0,0.0,0.0,0.0,,140.0,7827.0,170.0,0.0,698.0,201.0,8231.0,2181.0,2181.0,0.0,0.0,,1066.0,0.0,63.0,135.0,3247.0,11478.0,0.0,3782.0,2.0,3780.0,-796.0,2004.0,-272.0,4718.0,11.0,4729.0,16207.0,
03/31/2011,18065.0,722.0,439.0,283.0,327.0,327.0,0.0,0.0,0.0,0.0,0.0,0.0,9126.0,,,358.0,168.0,10175.0,166.0,,,0.0,,7724.0,7112.0,5339.0,1773.0,254.0,7890.0,,222.0,,222.0,140.0,0.0,,,,140.0,9433.0,172.0,,716.0,219.0,9795.0,2150.0,2150.0,,,,1083.0,,,195.0,3233.0,13028.0,0.0,3786.0,2.0,3784.0,-786.0,2108.0,-82.0,5026.0,11.0,5037.0,18065.0,
06/30/2011,14217.0,898.0,578.0,320.0,344.0,344.0,0.0,0.0,0.0,0.0,0.0,0.0,5187.0,,,273.0,186.0,6429.0,165.0,,,0.0,,7623.0,7112.0,5345.0,1767.0,238.0,7788.0,,268.0,,268.0,140.0,0.0,,,,140.0,5511.0,170.0,,712.0,305.0,5919.0,2069.0,2069.0,,,,1069.0,,,187.0,3138.0,9057.0,0.0,3782.0,2.0,3780.0,-770.0,2200.0,-62.0,5150.0,10.0,5160.0,14217.0,
09/30/2011,13157.0,837.0,543.0,294.0,347.0,347.0,0.0,0.0,0.0,0.0,0.0,0.0,4493.0,,,385.0,177.0,5677.0,168.0,,,0.0,,7312.0,6703.0,5046.0,1657.0,224.0,7480.0,,280.0,,280.0,45.0,0.0,,,,45.0,4655.0,158.0,,678.0,181.0,4980.0,2168.0,2168.0,,,,1013.0,,,177.0,3181.0,8161.0,0.0,3792.0,2.0,3790.0,-769.0,2310.0,-346.0,4987.0,9.0,4996.0,13157.0,
12/31/2011,14091.0,785.0,506.0,279.0,308.0,308.0,0.0,0.0,0.0,0.0,0.0,0.0,5488.0,0.0,,392.0,161.0,6581.0,193.0,585.0,-392.0,0.0,,7317.0,6709.0,5061.0,1648.0,216.0,7510.0,,296.0,,296.0,45.0,0.0,0.0,0.0,,45.0,5697.0,154.0,0.0,670.0,235.0,6038.0,2072.0,2072.0,0.0,0.0,,995.0,0.0,65.0,106.0,3067.0,9105.0,0.0,3795.0,2.0,3793.0,-860.0,2391.0,-350.0,4976.0,10.0,4986.0,14091.0,
03/31/2012,9021.0,740.0,525.0,215.0,327.0,327.0,0.0,0.0,0.0,0.0,0.0,0.0,339.0,,,326.0,167.0,1406.0,195.0,,,0.0,,7420.0,6890.0,5210.0,1680.0,204.0,7615.0,,203.0,,203.0,45.0,0.0,,,,45.0,611.0,173.0,,684.0,189.0,859.0,1962.0,1962.0,,,,1039.0,,,182.0,3001.0,3860.0,0.0,3800.0,2.0,3798.0,-906.0,2476.0,-218.0,5152.0,9.0,5161.0,9021.0,
06/30/2012,8927.0,687.0,491.0,196.0,341.0,341.0,0.0,0.0,0.0,0.0,0.0,0.0,382.0,,,392.0,366.0,1410.0,198.0,,,0.0,,7319.0,6728.0,5103.0,1625.0,199.0,7517.0,,234.0,,234.0,45.0,0.0,,,,45.0,708.0,160.0,,661.0,480.0,987.0,1951.0,1951.0,,,,1019.0,,,198.0,2970.0,3957.0,0.0,3799.0,2.0,3797.0,-1017.0,2547.0,-368.0,4961.0,9.0,4970.0,8927.0,
09/30/2012,8920.0,595.0,438.0,157.0,327.0,327.0,0.0,0.0,0.0,0.0,0.0,0.0,407.0,,,303.0,391.0,1329.0,203.0,,,0.0,,7388.0,6931.0,5286.0,1645.0,154.0,7591.0,,235.0,,235.0,45.0,0.0,,,,45.0,525.0,160.0,,686.0,333.0,805.0,1941.0,1941.0,,,,1038.0,,,192.0,2979.0,3784.0,0.0,3806.0,2.0,3804.0,-1063.0,2614.0,-222.0,5135.0,1.0,5136.0,8920.0,
12/31/2012,9132.0,720.0,497.0,223.0,333.0,333.0,0.0,0.0,0.0,0.0,0.0,0.0,439.0,0.0,,294.0,406.0,1492.0,211.0,612.0,-401.0,0.0,,7429.0,6985.0,5335.0,1650.0,150.0,7640.0,,283.0,,283.0,136.0,0.0,0.0,0.0,,136.0,599.0,156.0,0.0,713.0,425.0,1018.0,1840.0,1840.0,0.0,0.0,,1065.0,0.0,66.0,130.0,2905.0,3923.0,0.0,3773.0,2.0,3771.0,-1058.0,2678.0,-185.0,5208.0,1.0,5209.0,9132.0,
03/31/2013,9188.0,809.0,591.0,218.0,317.0,317.0,0.0,0.0,0.0,0.0,0.0,0.0,482.0,,,291.0,436.0,1608.0,215.0,,,0.0,,7365.0,6928.0,5309.0,1619.0,146.0,7580.0,,276.0,,276.0,137.0,0.0,,,,137.0,701.0,148.0,,702.0,416.0,1114.0,1829.0,1829.0,,,,1042.0,,,192.0,2871.0,3985.0,0.0,3778.0,2.0,3776.0,-1059.0,2699.0,-218.0,5200.0,3.0,5203.0,9188.0,
06/30/2013,11953.0,549.0,379.0,170.0,362.0,362.0,0.0,0.0,0.0,0.0,0.0,0.0,1699.0,,,478.0,1648.0,2610.0,227.0,,,0.0,,9116.0,8431.0,6048.0,2383.0,207.0,9343.0,,336.0,,336.0,138.0,0.0,,,,138.0,1942.0,146.0,,689.0,1684.0,2416.0,2647.0,2647.0,,,,1027.0,,,192.0,3674.0,6090.0,0.0,4263.0,2.0,4261.0,-1027.0,2765.0,-139.0,5862.0,1.0,5863.0,11953.0,
09/30/2013,12486.0,490.0,300.0,190.0,372.0,372.0,0.0,0.0,0.0,0.0,0.0,0.0,2210.0,,,399.0,2156.0,3072.0,249.0,,,0.0,,9165.0,8600.0,6191.0,2409.0,166.0,9414.0,,370.0,,370.0,45.0,0.0,,,,45.0,2292.0,152.0,,716.0,2067.0,2707.0,2673.0,2673.0,,,,1050.0,,,182.0,3723.0,6430.0,0.0,4272.0,2.0,4270.0,-1023.0,2857.0,-51.0,6055.0,1.0,6056.0,12486.0,
12/31/2013,12577.0,587.0,398.0,189.0,393.0,393.0,0.0,0.0,0.0,0.0,0.0,0.0,2183.0,0.0,,404.0,2171.0,3163.0,268.0,727.0,-459.0,95.0,95.0,9051.0,8572.0,6186.0,2386.0,75.0,9414.0,,382.0,,382.0,45.0,0.0,0.0,0.0,,45.0,2373.0,143.0,0.0,708.0,2184.0,2800.0,2589.0,2589.0,0.0,0.0,,1004.0,0.0,49.0,104.0,3593.0,6393.0,0.0,4280.0,2.0,4278.0,-1005.0,2976.0,-67.0,6184.0,0.0,6184.0,12577.0,
03/31/2014,12978.0,581.0,384.0,197.0,434.0,434.0,0.0,0.0,0.0,0.0,0.0,0.0,2504.0,,,415.0,2487.0,3519.0,266.0,,,0.0,,9193.0,8535.0,6173.0,2362.0,243.0,9459.0,,323.0,,323.0,430.0,0.0,,,,430.0,2825.0,222.0,,707.0,2513.0,3578.0,2084.0,2084.0,,,,1076.0,,,147.0,3160.0,6738.0,0.0,4304.0,2.0,4302.0,-1026.0,3032.0,-71.0,6239.0,1.0,6240.0,12978.0,
06/30/2014,13116.0,517.0,314.0,203.0,395.0,395.0,0.0,0.0,0.0,0.0,0.0,0.0,2806.0,,,482.0,2784.0,3718.0,280.0,,,0.0,,9118.0,8381.0,6068.0,2313.0,255.0,9398.0,,288.0,,288.0,0.0,0.0,,,,0.0,3136.0,232.0,,697.0,2868.0,3424.0,2408.0,2408.0,,,,1077.0,,,148.0,3485.0,6909.0,0.0,4330.0,2.0,4328.0,-1117.0,3134.0,-142.0,6205.0,2.0,6207.0,13116.0,
09/30/2014,12692.0,455.0,286.0,169.0,370.0,370.0,0.0,0.0,0.0,0.0,0.0,0.0,2732.0,,,585.0,2702.0,3557.0,288.0,,,0.0,,8847.0,8015.0,5802.0,2213.0,247.0,9135.0,,292.0,,292.0,0.0,0.0,,,,0.0,2902.0,221.0,,677.0,2674.0,3194.0,2345.0,2345.0,,,,1035.0,,,137.0,3380.0,6574.0,0.0,4356.0,2.0,4354.0,-1145.0,3231.0,-325.0,6117.0,1.0,6118.0,12692.0,
