Date,Revenue,Rental Income,Base Rent,Recoveries from Tenants,Percentage Rent,Other Rental Income,Real Estate Sales,Com & Fee Earn/Inc from REO,Mortgage Income,Other Operating Income,Operating Expenses,Property Operating Expenses,Real Estate Tax,Other Property Expense,General & Administrative,Depreciation & Amortization,Provision for Loan Losses,Cost of Real Estate Sold,Other Operating Expenses,Operating Income (Loss),Non-Operating (Income) Loss,Interest Expense,(Income) Loss from Affiliates,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",FFO Reconciliation,D&A of Con Real Estate,Impairment of Assets,Impairment from Affiliates,Income from Uncon JVs,Disposal of Con Assets,Abnormal Losses/(Gains),Other FFO Adjustments,Funds from Operations,Other Abnormal Gains/(Losses),Adjusted Funds from Operations,Straight-Line Rent,Stock-Based Compensation,Amortization of Financing Costs,Recurring Capital Expenditure,Accounting Adjustments,Tenant Improv & Leasing Com,Funds Available For Distribution,AFFO Per Diluted Share,FAD Per Diluted Share,Dividend Per Share,AFFO Payout Ratio,FAD Payout Ratio,FFO Payout Ratio,Source: Bloomberg
09/30/1996,34.534,31.964001,,,,,,0.599,0.0,1.971,-15.803,6.953,,,2.276,6.574,0.0,,0.0,18.731,-5.804,7.943,,-2.139,12.927,0.0,,0.0,,,12.927,,12.927,,,9.377,9.377,,23.931198,0.388454,0.388454,0.388454,23.931198,0.388454,0.388454,0.388454,,,,,,,,,16.983,,16.983,,,,,,,16.983,0.709659,0.709659,0.271014,38.189367,38.189367,76.323382,
12/31/1996,33.834,32.089001,,,,,,0.888,0.0,0.857,-16.268,7.235,,,2.424,6.609,0.0,,0.0,17.566,-5.269,7.966,,-2.697,12.297,0.0,,0.0,,,12.297,,12.297,,,8.864,8.864,,23.956659,0.370386,0.370386,0.370386,23.956659,0.370386,0.370386,0.370386,,,,,,,,,16.559999,,16.559999,,,,,,,16.559999,0.691248,0.691248,0.271014,39.206525,39.206525,78.629229,
03/31/1997,37.452999,35.848999,,,,,,0.723,0.0,0.881,-17.83,7.958,,,2.466,7.406,0.0,,0.0,19.623,-1.804,8.047,-2.717,-3.526,17.819,0.0,,0.0,,,17.819,,17.554001,,,14.004001,14.004001,,27.136932,0.514927,0.514927,0.514927,27.604066,0.505894,0.505894,0.505894,,,,,,,,,19.134001,,19.134001,,,,,,,19.134001,0.693159,0.693159,0.284565,41.053385,41.053385,82.439634,
06/30/1997,40.866001,37.731998,,,,,,0.792,0.0,2.342,-18.851,8.384,,,2.667,7.8,0.0,,0.0,22.016,-5.814,8.431,-2.617,0.0,16.202,0.0,,0.0,,,16.202,,15.941,,,12.391,12.391,,27.855344,0.442657,0.442657,0.442657,28.352367,0.433623,0.433623,0.433623,,,,,,,,,21.556999,,21.556999,,,,,,,21.556999,0.760325,0.760325,0.284565,37.426801,37.426801,73.303338,
09/30/1997,42.673,40.243,,,,,,0.669,0.0,1.761,-19.883001,8.961,,,2.619,8.303,0.0,,0.0,22.789001,-5.781,8.982,-3.201,0.0,17.008,0.0,,0.0,,,17.008,,16.747,,,13.197,13.197,,29.399542,0.451691,0.451691,0.451691,29.969622,0.433623,0.433623,0.433623,,,,,,,,,22.296,,22.296,,,,,,,22.296,0.743953,0.743953,0.284565,38.250403,38.250403,74.623255,
12/31/1997,48.048,44.894001,,,,,,0.73,0.0,2.424,-22.766,10.659,,,3.303,8.804,0.0,,0.0,25.282,-7.74,10.098,-2.358,0.0,17.542,0.0,,0.0,,,17.542,,17.280001,,,13.730001,13.730001,,30.216474,0.451691,0.451691,0.451691,30.775484,0.442657,0.442657,0.442657,,,,,,,,,23.952,,23.952,,,,,,,23.952,0.778282,0.778282,0.284565,36.563252,36.563252,71.981461,
03/31/1998,49.540001,46.272999,,,,,,0.796,,2.471,-22.122,10.054,,,2.932,9.136,,,,27.418,-9.215,11.453,-2.238,,18.203,,,0.882,,,,,17.132,,,13.582,13.582,,61.435845,0.225845,0.234879,0.234879,62.799608,0.216812,0.225845,0.225845,,,,,,,,,25.003,,25.003,,,,,,,25.003,0.398139,0.398139,0.295857,74.309997,74.309997,72.696278,
06/30/1998,52.980999,50.327,,,,,,0.81,,1.844,-23.901999,10.747,,,3.071,10.084,,,,29.079,-9.841,13.314,-3.473,,19.238,,,,,,,,19.136999,,,15.586999,15.586999,,62.767507,0.243913,0.243913,0.243913,64.206544,0.243913,0.243913,0.243913,,,,,,,,,1.851,,1.851,,,,,,,1.851,0.028829,0.028829,0.295857,1026.255085,1026.255085,1003.254072,
09/30/1998,63.394001,59.901001,,,,,,0.964,,2.529,-28.77,13.109,,,3.244,12.417,,,,34.624001,-12.574,17.149,-4.611,0.036,22.05,,,,,,,,20.712,,,14.702,14.702,,31.69038,0.469758,0.469758,0.469758,32.525022,0.451691,0.451691,0.451691,,,,,,,,,3.215,,3.215,,,,,,,3.215,0.098847,0.098847,0.591715,598.617013,598.617013,583.255599,
12/31/1998,62.386002,57.498001,,,,,,1.217,3.018,0.653,-28.017001,12.803,,,3.671,11.543,0.0,,0.0,34.369,-11.744,15.28,-3.252,-0.284,22.625001,0.0,,0.0,,,22.625001,,20.941,,,14.098,14.098,,32.268761,0.433623,0.433623,,33.366859,0.415555,,,,,,,,,,,29.417,,29.417,,,,,,,29.417,0.881623,0.881623,0.0,0.0,0.0,68.236054,
03/31/1999,65.138,59.661999,,,,,,1.298,,4.178,-29.838,12.554,,,4.644,12.64,,,,35.299999,-11.045,17.274,-6.229,,24.254999,,,,,,,,21.868,,,15.053,15.053,,33.92919,0.451691,0.451691,0.451691,35.431324,0.433623,0.433623,0.433623,,,,,,,,,34.162998,,34.162998,,,,,,,34.162998,0.964203,0.964203,0.632367,65.584405,65.584405,62.803914,
06/30/1999,64.314003,58.740002,,,,,,1.308,,4.266,-28.675,11.787,,,4.563,12.325,,,,35.639,-12.095001,16.079,-5.737,1.753,23.543999,,,,,,,,21.142,,,14.326,14.326,,33.934172,0.415555,0.415555,0.415555,35.418042,0.397488,0.397488,0.397488,,,,,,,,,0.395,,0.395,,,,,,,0.395,0.011153,0.011153,0.632367,5670.177016,5670.177016,5432.620323,
09/30/1999,66.225998,60.639,,,,,,1.268,,4.319,-29.432001,12.649,,,4.037,12.746,,,,36.794001,-11.229001,16.728001,-5.499,,25.565,,,,,,,,22.636999,,,15.820999,15.820999,,33.943027,0.469758,0.469758,0.469758,35.670425,0.451691,0.451691,0.451691,,,,,,,,,0.853,,0.853,,,,,,,0.853,0.023913,0.023913,,,,0.0,
12/31/1999,68.254997,61.316002,,,,,0.0,1.442,0.0,5.497,-32.769001,14.906,,,4.53,13.333,0.0,,0.0,35.486,-9.644,17.941999,-8.209,-0.089,25.842,0.0,,0.0,,,25.842,,21.750999,,,14.935999,14.935999,,33.753739,0.451691,0.451691,0.451691,35.128019,0.433623,0.433623,0.433623,,,,,,,,,34.715,,34.715,,,,,,,34.715,0.988242,0.988242,0.632367,63.989051,63.989051,61.486387,
03/31/2000,68.806,64.171,,,,,,2.593,,2.042,-19.285,14.198,,,5.087,13.248,,,,36.273,5.832,18.124,-7.069,-16.887,42.105,,,,,,,,37.976,,,37.976,37.976,,32.673907,0.957584,0.957584,0.957584,35.318969,0.921449,0.921449,0.921449,,,,,,,,,,,,,,,,,,,,,0.650435,,,,
06/30/2000,71.998,65.643,,,,,,1.696,,4.659,-20.777,15.696,,,5.081,13.609,,,,37.612,-13.791,18.666,-4.673,-0.202,23.821,,,,,,,,18.713,,,18.713,18.713,,30.564056,0.397488,0.37942,0.397488,30.705193,0.37942,,0.37942,,,,,,,,,32.381,,32.381,,,,,,,32.381,1.054577,1.054577,0.650435,61.67728,61.67728,61.39378,
09/30/2000,72.104,64.827,,,,,,1.799,,5.478,-33.785,15.266,,,4.751,13.768,,,,38.319,-12.107,19.792,-5.795,-1.89,26.212,,,,,,,,21.025,,,21.025,21.025,,30.326615,0.469758,0.469758,0.469758,30.498192,0.469758,0.469758,0.469758,,,,,,,,,,,,,,,,,,,,,0.650435,,,,
12/31/2000,73.915,67.203,,,,,0.0,2.151,0.0,4.561,-35.398,16.291,,,5.531,13.576,0.0,,0.0,38.517,-11.317,20.448,-4.67,-4.461,27.2,0.0,,0.0,,,27.2,,23.118,,,16.303,16.303,,30.331596,0.542029,0.542029,0.542029,30.374214,0.542029,0.542029,0.542029,,,,,,,,,31.885,,31.885,,,,,,,31.885,1.049739,1.049739,0.650435,61.961549,61.961549,61.874611,
03/31/2001,74.77,67.457,,,,,0.0,3.38,0.0,3.933,-36.946,17.427,,,5.701,13.818,0.0,,0.0,37.824,-10.33,19.961,-7.889,-1.742,27.494,0.0,,-0.211,,,27.705,,22.517,,,15.702,15.702,,30.336577,0.523961,0.523961,0.523961,30.443398,0.523961,0.523961,0.523961,,,,,,,,,32.396,,32.396,,,,,,,32.396,1.064139,1.064139,0.0,0.0,0.0,0.0,
06/30/2001,77.94,70.08,,,,,,3.666,,4.194,-36.605,16.068,,,6.23,14.307,,,,41.335,-6.941,20.96,-3.014,-11.005,34.394,,,-0.167,,,,,29.306,,,22.49,22.49,,30.406869,0.740773,0.740773,0.740773,31.320658,0.722705,0.722705,0.722705,,,,,,,,,0.816,,0.816,,,,,,,0.816,0.026053,0.026053,0.668502,2565.922794,2565.922794,2491.061275,
09/30/2001,82.267,74.721,,,,,,3.496,,4.05,-42.891,17.427,,,5.907,16.662,,,2.895,39.376,-13.639,20.73,-4.076,-3.015,25.737,,,-0.161,,,,,20.352,,,13.537,13.537,,30.51369,0.451691,0.451691,0.451691,30.999642,0.433623,0.433623,0.433623,,,,,,,,,0.961,,0.961,,,,,,,0.961,0.031,0.031,0.668502,2156.433923,2156.433923,2122.629553,
12/31/2001,84.397,77.122,,,,,0.0,3.572,0.0,3.703,-42.531,19.948,,,6.537,18.941,0.0,,-2.895,38.971,-16.464,19.684,-3.579,0.359,25.402,0.0,,-0.307,,,25.709,,20.196,,,13.381,13.381,,30.996874,0.433623,0.421785,0.433623,31.478952,0.433623,0.421785,0.433623,,,,,,,,,35.701,,35.701,,,,,,,35.701,1.134123,1.134123,0.668502,58.944427,58.944427,58.041735,
03/31/2002,85.421,77.387,,,,,0.0,3.267,0.0,4.767,-46.775,19.283,,,6.488,21.004,0.0,,0.0,38.646,-12.213,18.939,-6.726,0.0,26.433,0.0,,-3.102,,,29.535,,23.931,,,16.936,16.936,,33.757613,0.505894,0.487826,0.487826,34.253528,0.487826,0.487826,0.487826,,,,,,,,,40.121,,40.121,,,,,,,40.121,1.171295,1.171295,0.68657,58.616286,58.616286,57.767653,
06/30/2002,84.774,78.665,,,,,0.0,2.9,0.0,3.209,-27.551,20.658,,,6.893,17.321,0.0,,0.0,39.902,-8.063,19.028,-10.89,-0.075,31.839,0.0,,3.0,,,28.839,,23.244,,,16.162,16.162,,35.667106,0.451691,0.542029,0.542029,36.304157,0.451691,0.542029,0.542029,,,,,,,,,1.087,,1.087,,,,,,,1.087,0.029941,0.029941,0.68657,2293.039558,2293.039558,2252.802208,
09/30/2002,91.623,85.807,,,,,0.0,3.663,0.0,2.153,-47.151,22.104,,,6.632,18.415,0.0,,0.0,44.472,-14.76,19.7,-4.781,-0.159,29.712,0.0,,-1.035,,,30.747,,25.177,,,25.177,25.177,,35.816544,0.523961,0.487826,0.487826,36.397141,0.505894,0.469758,0.469758,,,,,,,,,-0.605,,-0.605,,,,,,,-0.605,-0.016622,-0.016622,0.68657,,,,
12/31/2002,93.731,88.081,,,,,0.0,2.543,0.0,3.107,-54.633,24.788,,,9.38,20.465,0.0,,0.0,39.098,-8.048,18.859,-10.371,-0.44,31.05,0.0,,-3.367,,,34.417,,29.617,,,23.127,23.127,,35.991996,0.650435,0.54901,0.650435,36.511157,0.632367,0.540148,0.632367,,,,,,,,,43.050999,,43.050999,,,,,,,43.050999,1.179119,1.179119,0.68657,58.22736,58.22736,57.399412,
03/31/2003,102.525,94.578,,,,,,2.933,,5.014,-52.521,25.034,,,7.724,19.763,,,,50.004,-8.603,18.902,-10.099,-0.2,41.401,-0.239,,-0.287,,,41.449,,38.385,,,26.51,26.51,,38.791478,0.68657,0.68657,0.68657,39.41746,0.668502,0.668502,0.668502,,,,,,,,,49.293,,49.293,,,,,,,49.293,1.250537,1.250537,0.740773,59.236362,59.236362,58.29564,
06/30/2003,122.027,115.863,,,,,,2.872,,3.292,-40.527,29.338,,,11.189,23.97,,,,57.53,12.957,23.042,-6.797,-29.202,70.487,,,1.212,,,,,68.402,,,57.14,57.14,,47.063178,1.210531,1.228599,1.174396,48.521588,1.192463,1.210531,1.156328,,,,,,,,,9.277,,9.277,,,,,,,9.277,0.191193,0.191193,0.740773,387.447127,387.447127,375.80166,
09/30/2003,122.195,114.924,,,,,,2.904,0.0,4.367,-64.38,30.579,,,9.088,24.48,,,0.233,57.815,-14.427,23.308,-6.852,-2.029,43.388,-0.799,,-0.263,,,42.852,,41.988,,,24.525,24.525,,47.597283,0.523961,0.523961,0.523961,48.188948,0.505894,0.505894,0.505894,,,,,,,,,10.201,,10.201,,,,,,,10.201,0.211688,0.211688,0.740773,349.936869,349.936869,345.640329,
12/31/2003,125.446999,115.875,,,,,0.0,3.384,0.0,6.188,-82.530001,34.521,,,12.819,25.554001,0.0,,9.636,42.917,49.887999,24.069,-21.218,-52.738998,92.804998,-0.392,,0.364,,,92.048998,,91.486,,,80.881001,80.881001,,47.71296,1.698357,1.698357,1.698357,48.935035,1.662222,1.662222,1.662222,,,,,,,,,60.131001,,60.131001,,,,,,,60.131001,1.228792,1.228792,0.831111,67.636396,67.636396,65.947678,
03/31/2004,126.329,117.384,,,,,,3.302,,5.643,-67.68,32.135,,,10.444,25.101,,,,58.649,-2.343,24.934,-18.221,-4.37,56.306,-0.671,,3.704,,,51.931,,50.786,,,40.182,40.182,,47.789339,0.849179,0.918322,0.921449,48.509965,0.831111,0.907466,0.903381,,,,,,,,,73.411,,73.411,,,,,,,73.411,1.513318,1.513318,0.831111,54.91978,54.91978,54.103935,
06/30/2004,148.725,137.407,,,,,,4.196,0.0,7.122,-78.931,35.951,,,11.05,31.93,,,,69.794,18.205,30.734,-6.943,-41.996,87.999,-0.221,,0.0,,,87.778,,86.812,,,86.812,86.812,,52.59019,1.409275,1.409275,1.409275,53.916872,1.391207,1.391207,1.391207,,,,,,,,,20.717,,20.717,,,,,,,20.717,0.38424,0.38424,0.831111,216.30014,216.30014,210.977844,
09/30/2004,157.132,148.143,,,,,,4.691,,4.298,-84.832,36.335,,,11.486,35.584,,,1.427,72.3,-28.541,35.789,-5.322,-1.926,43.759,-0.881,,-2.637,,,45.515,,44.316,,,44.316,44.316,,56.498285,0.542029,0.487826,0.487826,57.024641,0.542029,0.487826,0.487826,,,,,,,,,256.219,,256.219,,,,,,,256.219,4.493128,4.493128,0.921449,20.507964,20.507964,20.318669,
12/31/2004,158.427,149.796,,,,,0.0,4.749,0.0,3.882,-91.466,41.253,,,14.145,35.748,0.0,,0.32,66.961,13.452,36.172,-10.409,-39.215,80.413,0.789,,-9.438,,,90.64,,87.848,,,74.055,74.055,,56.996413,1.300869,1.138261,1.138261,58.261106,1.282802,1.120193,1.120193,,,,,,,,,73.03,,73.03,,,,,,,73.03,1.253495,1.253495,0.921449,73.510393,73.510393,80.230042,
03/31/2005,171.912,162.166,,,,,,4.78,,4.966,-96.875,44.094,,,13.33,39.451,,,,75.037,30.915,40.65,-6.51,-65.055,105.952,-0.167,,-1.185,,,106.97,,105.55,,,91.758,91.758,,59.778184,1.535748,1.517681,1.517681,61.017417,1.517681,1.499613,1.499613,,,,,,,,,112.863,,112.863,,,,,,,112.863,1.849685,1.849685,0.975652,52.746923,52.746923,51.67566,
06/30/2005,176.275,166.375,,,,,,5.664,,4.236,-94.213,43.778,,,12.712,37.723,,,,82.062,-15.824,43.926,-8.055,-20.047,66.238,-0.398,,-3.292,,,69.132,,67.954,,,54.162,54.162,,59.928176,0.903381,0.849179,0.849179,60.341069,0.903381,0.849179,0.849179,,,,,,,,,92.535,,92.535,,,,,,,92.535,1.533533,1.533533,0.975652,63.621203,63.621203,63.185865,
09/30/2005,179.49,166.146,,,,,,5.446,,7.898,-98.77,44.318,,,14.146,39.646,,,0.66,80.72,-29.789,46.697,-11.418,-5.49,50.931,0.01,,-11.941,,,62.882,,60.277,,,60.277,60.277,,60.013411,0.776908,0.578164,0.578164,60.445123,0.776908,0.578164,0.578164,,,,,,,,,81.783,,81.783,,,,,,,81.783,1.353012,1.353012,0.975652,72.109607,72.109607,71.594586,
12/31/2005,195.571,178.292,,,,,0.0,6.969,0.0,10.31,-112.418,50.165,,,13.86,46.521,0.0,,1.872,83.153,-33.251,49.767,-8.89,-7.626,49.902,0.213,,-5.11,,,55.225,,48.862,,,21.277,21.277,,59.980203,0.813043,0.271014,0.271014,60.421877,0.813043,0.271014,0.271014,,,,,,,,,95.504,,95.504,,,,,,,95.504,1.58062,1.58062,0.975652,61.725917,61.725917,62.401638,
03/31/2006,199.329,181.115,,,,,0.0,6.359,0.0,11.855,-110.077,48.416,,,15.41,46.251,0.0,,0.0,89.252,-37.953,53.268,-5.469,-9.846,51.299,-0.449,35.935,-1.151,,,52.001,0.534,49.727,13.792,,35.935,35.935,,60.307861,0.596232,0.578164,0.578164,60.66596,0.596232,0.578164,0.578164,,45.032,,,-5.469,0.22,,9.94,99.984,0.0,99.984,-3.9,,,-2.5,2.668,-5.819,90.433,1.648107,1.490671,1.06599,64.679659,71.510743,64.297868,
06/30/2006,189.027,176.717,,,,,0.0,6.596,0.0,5.714,-109.592,48.953,,,15.422,45.217,0.0,,0.0,79.435,-4.24,52.812,-4.619,-43.953,75.195,2.793,64.943,-2.694,,,80.682,0.534,78.735,13.792,,64.943,64.943,,60.546409,1.06599,1.029855,1.029855,61.361679,1.06599,1.029855,1.029855,,45.804,,,-4.619,-6.22,,9.342,123.576,0.0,123.576,-4.4,,,-1.3,2.668,-3.724,116.82,2.013895,1.903794,1.06599,52.931751,55.992929,52.228483,
09/30/2006,194.2,180.063,,,,,0.0,8.366,0.0,5.771,-111.429,50.08,,,14.974,46.172,0.0,,0.203,82.771,-23.827,52.244,-12.868,-15.549,58.944,0.33,49.02,-5.821,,,65.095,0.534,62.812,13.792,,49.02,49.02,,60.39531,0.813043,0.722705,0.722705,60.699722,0.813043,0.722705,0.722705,,47.235,,,-12.868,-5.87,,13.682,105.525,0.0,105.525,-4.5,,,-3.9,2.598,-2.086,97.637,1.738476,1.608525,1.06599,61.317508,66.271291,61.009998,
12/31/2006,194.264,172.722,,,,,0.0,8.973,0.0,12.569,-109.137,49.654,,,14.873,44.367,0.0,,0.243,85.127,-31.079,50.188,-7.381,-11.728,54.048,-0.177,48.197,-11.564,,,65.435,0.515,61.99,13.792,,48.197,48.197,,60.070419,0.813043,0.614299,0.614299,60.070419,0.794976,0.596232,0.596232,,47.377,,,-7.381,-10.118,,11.51,103.892,0.0,103.892,-4.1,,,-2.5,2.602,-1.942,97.952,1.717241,1.619058,1.06599,62.075732,65.840126,62.318321,
03/31/2007,219.045,197.552,,,,,0.0,9.082,0.0,12.411,-126.766,53.152,,,21.518,52.096,0.0,,0.0,92.279,-44.723,60.471,-6.281,-9.467,47.556,15.061,48.744,-5.758,,,68.375,0.569,62.536,13.792,,48.744,48.744,,63.567281,0.75884,0.668502,0.668502,64.015597,0.75884,0.668502,0.668502,,52.449,,,-6.281,-2.857,,13.559,119.975,0.0,119.975,-3.3,,,-3.8,2.459,-2.232,113.102,1.874153,1.766788,1.192463,63.626806,67.493289,68.725985,
06/30/2007,252.103,232.14,,,,,0.0,11.996,0.0,7.967,-138.365,64.891,,,19.161,54.313,0.0,,0.0,113.738,4.335,73.554,-21.602,-56.287,118.073,0.711,111.429,-16.529,,,135.313,0.569,127.437,16.008,,111.429,111.429,,68.882866,1.626087,1.391207,1.391207,69.697029,1.608019,1.355072,1.355072,,54.136,,,-21.602,-16.587,,31.313,175.266,0.0,175.266,-3.7,,,-4.8,2.317,-5.076,164.007,2.514684,2.353142,1.192463,47.420013,50.675374,46.866078,
09/30/2007,231.547,210.5,,,,,0.0,13.827,0.0,7.22,-134.541,59.112,,,19.626,55.803,0.0,,0.0,97.006,-50.633,61.666,-6.003,-5.03,46.373,-0.483,32.716,0.403,,,45.487,0.569,43.283,10.567,,32.716,32.716,,68.259652,0.487826,0.487826,0.487826,68.479935,0.469758,0.469758,0.469758,,54.235,,,-6.003,0.43,,17.602,110.116,0.0,110.116,-3.2,,,-3.8,2.177,-3.871,101.422,1.608004,1.481047,1.192463,74.157997,80.514898,73.919449,
12/31/2007,235.545,213.945,,,,,0.0,15.934,0.0,5.666,-137.705,63.407,,,20.94,53.358,0.0,,0.0,97.84,-48.0,63.789,-9.343,-6.446,49.84,-0.663,32.224,1.795,,,47.382,0.569,42.791,10.567,,32.224,32.224,,66.852162,0.487826,0.505894,0.505894,67.027614,0.487826,0.505894,0.505894,,53.577,,,-9.343,1.057,,21.949,110.6,0.0,110.6,-3.1,,,-0.6,1.872,-3.16,105.612,1.650066,1.575649,1.192463,72.267613,75.680775,71.352224,
