Date,Revenue,Sales & Services Revenue,Other Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",General & Administrative,Depreciation & Amortization,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Other Investment (Inc) Loss,Foreign Exch (Gain) Loss,(Income) Loss from Affiliates,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
06/30/2009,375.786,364.382,11.404,-214.556,214.556,161.23,0.0,-99.898,26.906,26.906,51.162,21.83,61.332,-13.771,,8.532,,-1.156,,5.671,6.395,47.561,-17.901,35.331,0.0,0.0,0.0,35.331,-2.164,33.167,0.0,0.0,33.167,33.167,0.0,153.731,0.22,0.22,0.22,154.953,0.21,0.21,0.21,
09/30/2009,408.709,394.529,14.18,-233.29,233.29,175.419,0.0,-104.44,28.945,28.945,48.057,27.438,70.979,-13.356,,10.843,,-0.952,,5.611,3.465,57.623,-19.614,43.62,0.0,0.0,0.0,43.62,-2.768,40.852,0.0,0.0,40.852,43.9542,3.1022,153.779,0.27,0.27,0.285827,155.11,0.26,0.26,0.28,
12/31/2009,368.0,353.0,15.0,-212.0,212.0,156.0,0.0,-103.0,28.0,28.0,51.0,24.0,53.0,-20.0,,11.0,,,,1.0,9.0,33.0,-16.0,18.0,-12.0,-12.0,0.0,30.0,-2.0,28.0,0.0,0.0,28.0,16.9126,0.9126,154.0,0.18,0.11,0.109822,155.0,0.18,0.11,0.109822,
03/31/2010,367.693,342.144,25.549,-263.636,263.636,104.057,0.0,-108.438,26.19,26.19,48.438,33.81,-4.381,-18.61,,10.586,,-0.223,,-1.342,8.247,-22.991,9.882,-14.451,-9.718,-9.718,0.0,-4.733,-2.5,-7.233,0.0,0.0,-7.233,-15.54895,1.40205,153.894,-0.05,-0.1,-0.101037,153.894,-0.05,-0.1,-0.101037,
06/30/2010,393.377,367.429,25.948,-233.526,233.526,159.851,0.0,-109.555,28.197,28.197,46.398,34.96,50.296,-22.254,,10.693,,-0.173,-0.01,1.099,11.744,28.042,-12.889,16.252,-11.022,-11.022,0.0,27.274,-1.485,25.789,0.0,0.0,25.789,15.63865,0.87165,154.377,0.17,0.1,0.101302,155.026,0.17,0.1,0.101302,
09/30/2010,403.0,372.0,31.0,-218.0,218.0,185.0,0.0,-139.0,22.0,22.0,47.0,70.0,46.0,-20.0,,11.0,,-1.0,,1.0,10.0,26.0,-15.0,12.0,-11.0,-11.0,0.0,23.0,-3.0,20.0,0.0,0.0,20.0,29.15,20.15,153.0,0.13,0.07,0.190523,154.0,0.13,0.07,0.190523,
12/31/2010,419.0,374.0,45.0,-228.0,228.0,191.0,0.0,-128.0,27.0,27.0,48.0,53.0,63.0,-37.0,,13.0,,,,1.0,24.0,26.0,-6.0,21.0,-4.0,-4.0,0.0,25.0,-2.0,23.0,0.0,0.0,23.0,29.93625,10.93625,151.0,0.15,0.13,0.198253,152.0,0.15,0.13,0.198253,
03/31/2011,376.77,345.428,31.342,-271.248,271.248,105.522,0.0,-107.164,24.503,24.503,47.365,35.296,-1.642,-22.016,,16.761,,-0.261,,0.123,5.516,-23.658,9.986,-13.549,-148.942,-148.942,0.0,135.393,-1.9,133.493,0.0,0.0,133.493,-16.04635,-0.59735,146.859,0.91,-0.09,-0.109264,146.859,0.91,-0.09,-0.109264,
06/30/2011,411.535,374.148,37.387,-247.74,247.74,163.795,0.0,-111.434,25.274,25.274,47.215,38.945,52.361,-25.896,,16.811,,-0.118,-2.114,1.85,11.317,26.465,-10.564,17.751,-1.924,-1.924,0.0,19.675,-1.535,18.14,0.0,0.0,18.14,16.1302,-0.0858,143.97,0.13,0.12,0.112039,144.938,0.13,0.12,0.112039,
09/30/2011,432.0,382.0,50.0,-221.0,221.0,211.0,0.0,-124.0,24.0,24.0,48.0,52.0,87.0,-35.0,,16.0,,-1.0,,1.0,20.0,52.0,-2.0,51.0,7.0,7.0,0.0,44.0,-2.0,42.0,0.0,0.0,42.0,50.3,1.3,139.0,0.3,0.35,0.361871,140.0,0.3,0.35,0.359286,
12/31/2011,430.0,381.0,49.0,-222.0,222.0,208.0,0.0,-128.0,29.0,29.0,51.0,48.0,80.0,-28.0,,17.0,,,,2.0,11.0,52.0,-25.0,29.0,1.0,1.0,0.0,28.0,-2.0,26.0,0.0,0.0,26.0,23.78315,-3.21685,136.0,0.19,0.2,0.174876,137.0,0.19,0.2,0.174876,
03/31/2012,392.0,349.0,43.0,-267.0,267.0,125.0,0.0,-122.0,25.0,25.0,50.0,47.0,3.0,-23.0,,18.0,,,,1.0,5.0,-20.0,8.0,-11.0,0.0,0.0,0.0,-11.0,-1.0,-12.0,0.0,0.0,-12.0,-10.7,1.3,134.0,-0.09,-0.09,-0.079851,134.0,-0.09,-0.09,-0.080299,
06/30/2012,410.0,371.0,39.0,-243.0,243.0,167.0,0.0,-111.0,25.0,25.0,49.0,37.0,56.0,-31.0,,24.0,,,,5.0,7.0,25.0,-11.0,19.0,2.0,2.0,0.0,17.0,1.0,18.0,0.0,0.0,18.0,14.0,0.0,133.0,0.14,0.15,0.15,134.0,0.14,0.15,0.15,
09/30/2012,412.0,379.0,33.0,-225.0,225.0,187.0,0.0,-106.0,24.0,24.0,46.0,36.0,81.0,-31.0,,25.0,,,,4.0,6.0,50.0,-27.0,27.0,0.0,0.0,0.0,27.0,-1.0,26.0,0.0,0.0,26.0,21.05,-1.95,131.0,0.2,0.2,0.183588,132.0,0.19,0.19,0.175227,
12/31/2012,429.0,377.0,52.0,-227.0,227.0,202.0,0.0,-87.0,20.0,20.0,50.0,17.0,115.0,-33.0,,27.0,,-1.0,,,7.0,82.0,-4.0,78.0,-3.0,-3.0,0.0,81.0,1.0,82.0,0.0,0.0,82.0,51.05,-27.95,130.0,0.63,0.607692,0.392692,132.0,0.62,0.597273,0.38553,
03/31/2013,372.0,348.0,24.0,-280.0,280.0,92.0,0.0,-94.0,21.0,21.0,53.0,20.0,-2.0,-37.0,,29.0,,,,1.0,8.0,-39.0,16.0,-22.0,2.0,2.0,0.0,-24.0,-1.0,-25.0,0.0,0.0,-25.0,-22.35,0.65,130.0,-0.17,-0.19,-0.171923,130.0,-0.17,-0.19,-0.185,
06/30/2013,413.0,379.0,34.0,-252.0,252.0,161.0,0.0,-157.0,26.0,26.0,52.0,79.0,4.0,-36.0,,29.0,,,,1.0,7.0,-32.0,-7.0,-38.0,0.0,0.0,0.0,-38.0,,-38.0,0.0,0.0,-38.0,-4.55,34.45,129.0,-0.3,-0.3,-0.027519,129.0,-0.3,-0.3,-0.032946,
09/30/2013,425.0,391.0,34.0,-230.0,230.0,195.0,0.0,-114.0,20.0,20.0,52.0,42.0,81.0,-37.0,,30.0,,,,4.0,7.0,44.0,-20.0,28.0,0.0,0.0,0.0,28.0,,28.0,0.0,0.0,28.0,31.8,7.8,129.0,0.22,0.22,0.277519,130.0,0.22,0.22,0.277519,
12/31/2013,422.0,396.0,26.0,-232.0,232.0,190.0,0.0,-103.0,20.0,20.0,53.0,30.0,87.0,-33.0,,30.0,,,,2.0,3.0,54.0,-29.0,27.0,-1.0,-1.0,0.0,28.0,0.0,28.0,0.0,0.0,28.0,24.4,-2.6,129.0,0.22,0.21,0.189147,130.0,0.22,0.21,0.189147,
03/31/2014,401.0,382.0,19.0,-282.0,282.0,119.0,0.0,-104.0,21.0,21.0,53.0,30.0,15.0,-39.0,,29.0,,,,1.0,10.0,-24.0,14.0,-9.0,0.0,0.0,0.0,-9.0,0.0,-9.0,0.0,0.0,-9.0,-1.85,7.15,129.0,-0.07,-0.07,-0.014341,129.0,-0.07,-0.07,-0.014574,
06/30/2014,432.0,402.0,30.0,-268.0,268.0,164.0,0.0,-117.0,26.0,26.0,53.0,38.0,47.0,-38.0,,33.0,,,,2.0,5.0,9.0,-10.0,1.0,0.0,0.0,0.0,1.0,,1.0,0.0,0.0,1.0,6.85,5.85,130.0,0.0,0.0,0.052692,131.0,0.0,0.0,0.044656,
09/30/2014,414.0,398.0,16.0,-248.0,248.0,166.0,0.0,-147.0,26.0,26.0,51.0,70.0,19.0,-30.0,,30.0,,,,2.0,0.0,-11.0,16.0,7.0,0.0,0.0,0.0,7.0,,7.0,0.0,0.0,7.0,40.15,33.15,130.0,0.05,0.05,0.308846,131.0,0.05,0.05,0.303053,
12/31/2014,435.0,403.0,32.0,-257.0,257.0,178.0,0.0,-115.0,24.0,24.0,54.0,37.0,63.0,-33.0,,33.0,,-1.0,,5.0,1.0,30.0,-38.0,-3.0,0.0,0.0,0.0,-3.0,-1.0,-4.0,0.0,0.0,-4.0,-1.4,2.6,131.0,-0.03,-0.03,-0.010687,131.0,-0.03,-0.03,-0.010687,
03/31/2015,383.0,374.0,9.0,-289.0,289.0,94.0,0.0,-87.0,28.0,28.0,48.0,11.0,7.0,-37.0,35.0,35.0,0.0,,,3.0,2.0,-30.0,-10.0,-37.0,0.0,0.0,0.0,-37.0,,-37.0,0.0,0.0,-37.0,-20.7,16.3,132.0,-0.28,-0.28,-0.156818,132.0,-0.28,-0.28,-0.156818,
06/30/2015,408.0,392.0,16.0,-300.0,300.0,108.0,0.0,-123.0,23.0,23.0,50.0,50.0,-15.0,-34.0,33.0,33.0,0.0,,,3.0,1.0,-49.0,40.0,-6.0,0.0,0.0,0.0,-6.0,,-6.0,0.0,0.0,-6.0,10.9,16.9,132.0,-0.05,-0.05,0.082576,132.0,-0.05,-0.05,0.07803,
09/30/2015,422.0,407.0,15.0,-260.0,260.0,162.0,0.0,-88.0,20.0,20.0,50.0,18.0,74.0,-34.0,34.0,34.0,0.0,,,5.0,0.0,40.0,-11.0,34.0,0.0,0.0,0.0,34.0,,34.0,0.0,0.0,34.0,32.7,-1.3,132.0,0.26,0.26,0.247727,134.0,0.25,0.25,0.240299,
12/31/2015,432.0,413.0,19.0,-280.0,280.0,152.0,0.0,-108.0,22.0,22.0,50.0,36.0,44.0,-33.0,33.0,33.0,0.0,0.0,,2.0,0.0,11.0,65.0,78.0,0.0,0.0,0.0,78.0,-1.0,77.0,0.0,0.0,77.0,92.6,15.6,131.0,0.59,0.59,0.70687,133.0,0.58,0.58,0.697293,
