Date,Cash from Operating Activities,Net Income,Depreciation & Amortization,Provision for Loan Losses,Non-Cash Items,Deferred Income Taxes,Stock-Based Compensation,Other Non - Cash Adjusted,Net Ch in Operating Capital,Trading Assets & Liab,Net Ch of Investments,Net Ch in Operating Loans,Other Op Assets/Liab,Net Cash From Disc Ops,Cash from Investing Activities,Net Change in Fixed Assets,Disposal of Fixed Assets,Capital Expenditures/Prop Add,Net Change in Investments,Decrease in Investments,Increase in Investments,Net Ch in Loans & Interbank,Net Ch in Customer Loans,Net Ch in Interbank Assets,Net Ch in Loans,Net Cash from Acq & Div,Cash from Divestitures,Cash for Acq of Subs,Cash for JVs,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Cash From (Repayment) Debt,Cash From (Repay) ST Debt,Net Ch in Interbank Trans,Cash From LT Debt,Repayments of LT Debt,Cash (Repurchase) of Equity,Increase in Capital Stock,Decrease in Capital Stock,Net Change In Deposits,Other Financing Activities,Effect of Foreign Exchange Rates,Net Changes in Cash,Cash Paid for Taxes,Cash Paid for Interest,Source: Bloomberg
09/30/1996,86.125999,84.500999,10.529,,-19.697001,,,-19.697001,10.793,,,,,,,-24.441999,,-24.441999,,,,,,,,,,,,24.441999,,,,,,,,,,,,,,,,,
12/31/1996,145.255005,96.228996,24.239,,-10.866,,,-10.866,35.653,,,,,,,-9.957,,-9.957,,,,,,,,,,,,9.957,,,,,,,,,,,,,,,,,
03/31/1997,63.664001,101.411003,27.795,,0.204,,,0.204,-65.746002,,,,,,,-8.906,,-8.906,,,,,,,,,,,,8.906,,,,,,,,,,,,,,,,,
06/30/1997,100.457001,111.188004,16.271999,,-23.889,,,-23.889,-3.114,,,,,,,-37.672001,,-37.672001,,,,,,,,,,,,37.672001,,,,,,,,,,,,,,,,,
09/30/1997,119.153,125.235001,77.799004,,-117.789001,,,-117.789001,33.908001,,,,,,,-26.438,,-26.438,,,,,,,,,,,,26.438,,,,,,,,,,,,,,,,,
12/31/1997,130.326004,130.514999,42.448002,,-4.036,,,-4.036,-38.601002,,,,,,,-58.057999,,-58.057999,,,,,,,,,,,,58.057999,,,,,,,,,,,,,,,,,
03/31/1998,112.093002,126.668999,46.442001,,-1.494,,,-1.494,-59.523998,,,,,,,-22.295,,-22.295,,,,,,,,,,,,22.295,,,,,,,,,,,,,,,,,
06/30/1998,241.556,131.013,50.588001,,-98.242996,,,-98.242996,158.197998,,,,,,,-44.443001,,-44.443001,,,,,,,,,,,,44.443001,,,,,,,,,,,,,,,,,
09/30/1998,209.688004,112.252998,51.896,,-12.896,,,-12.896,58.435001,,,,,,,-37.384998,,-37.384998,,,,,,,,,,,,37.384998,,,,,,,,,,,,,,,,,
12/31/1998,55.558998,68.491997,51.553001,,-1.122,,,-1.122,-63.363998,,,,,,,-31.658001,,-31.658001,,,,,,,,,,,,31.658001,,,,,,,,,,,,,,,,,
03/31/1999,149.371002,102.471001,62.521,,-34.387001,,,-34.387001,18.766001,,,,,,,-16.181,,-16.181,,,,,,,,,,,,16.181,,,,,,,,,,,,,,,,,
06/30/1999,182.459,123.306999,35.903999,,9.873,,,9.873,13.375,,,,,,,-44.369999,,-44.369999,,,,,,,,,,,,44.369999,,,,,,,,,,,,,,,,,
09/30/1999,197.078003,132.440994,50.035999,,-21.527,,,-21.527,36.127998,,,,,,,-42.959,,-42.959,,,,,,,,,,,,42.959,,,,,,,,,,,,,,,,,
12/31/1999,134.145004,137.522003,48.762001,,-19.580999,,,-19.580999,-32.557999,,,,,,,-22.496,,-22.496,,,,,,,,,,,,22.496,,,,,,,,,,,,,,,,,
03/31/2000,193.589005,143.373993,50.787998,,-9.387,,,-9.387,8.814,,,,,,,-28.728001,,-28.728001,,,,,,,,,,,,28.728001,,,,,,,,,,,,,,,,,
06/30/2000,199.819,140.369995,49.342999,,22.056999,,,22.056999,-11.951,,,,,,,-29.6,,-29.6,,,,,,,,,,,,29.6,,,,,,,,,,,,,,,,,
09/30/2000,174.160004,140.822998,50.745998,,-14.06,,,-14.06,-3.349,,,,,,,-27.608,,-27.608,,,,,,,,,,,,27.608,,,,,,,,,,,,,,,,,
12/31/2000,118.078003,149.464996,50.333,,-31.572001,,,-31.572001,-50.147999,,,,,,,-18.055,,-18.055,,,,,,,,,,,,18.055,,,,,,,,,,,,,,,,,
03/31/2001,112.078003,131.684006,52.880001,,-20.594999,,,-20.594999,-51.890999,,,,,,,-26.610001,,-26.610001,,,,,,,,,,,,26.610001,,,,,,,,,,,,,,,,,
06/30/2001,200.862,119.703003,58.617001,,-0.36,,,-0.36,22.902,,,,,,,-37.254002,,-37.254002,,,,,,,,,,,,37.254002,,,,,,,,,,,,,,,,,
09/30/2001,122.169,83.869,62.016,,26.725,,,26.725,-50.441,,,,,,,-25.407,,-25.407,,,,,,,,,,,,25.407,,,,,,,,,,,,,,,,,
12/31/2001,226.044998,118.518997,45.398998,,-3.387,,,-3.387,65.514,,,,,,,-9.656,,-9.656,,,,,,,,,,,,9.656,,,,,,,,,,,,,,,,,
03/31/2002,191.582993,119.996002,45.735001,,-78.164001,,,-78.164001,104.015999,,,,,,,-8.802,,-8.802,,,,,,,,,,,,8.802,,,,,,,,,,,,,,,,,
06/30/2002,144.972,125.690002,47.370998,,10.009,,,10.009,-38.098,,,,,,,-6.616,,-6.616,,,,,,,,,,,,6.616,,,,,,,,,,,,,,,,,
09/30/2002,174.2,68.518,44.616,,136.834,,,136.834,-75.768,,,,,,-27.988,-27.988,,-27.988,,,,,,,,,,,,0.0,,,,,,,,,,,,,,146.212,,,
12/31/2002,81.620003,109.760002,43.494999,,-40.375,,,-40.375,-31.26,,,,,,,-15.835,,-15.835,,,,,,,,,,,,15.835,,,,,,,,,,,,,,,,,
03/31/2003,168.841003,109.602997,44.431,,-22.766001,,,-22.766001,37.573002,,,,,,,-20.216999,,-20.216999,,,,,,,,,,,,20.216999,,,,,,,,,,,,,,,,,
06/30/2003,144.106995,131.388,44.686001,,-100.516998,,,-100.516998,68.550003,,,,,,,-7.978,,-7.978,,,,,,,,,,,,7.978,,,,,,,,,,,,,,,,,
09/30/2003,153.457001,152.078995,44.807999,,-14.898,,,-14.898,-28.532,,,,,,-8.623,-8.623,,-8.623,,,,,,,,,,,,0.0,,,,,,,,,,,,,,144.834,,,
12/31/2003,104.319,172.296,45.014,,-16.473,,,-16.473,-96.518,,,,,,123.816,-7.747,0.0,-7.747,17.37,1238.62,-1221.25,154.959,,,,,,,,-40.766,70.946,-18.485,24.13,,,,,65.511,78.035,-12.524,-0.21,0.0,,299.081,,,
03/31/2004,115.072,172.791,47.117,,-32.0,,,-32.0,-72.836,,,,,,1000.216,0.302,0.302,0.0,1030.663,1191.39,-160.727,-34.098,,,,,,,,3.349,81.516,-21.123,19.609,,,,,31.414,33.587,-2.173,51.616,0.0,,1196.804,,,
06/30/2004,251.756,173.896,45.324,,-62.278,,,-62.278,94.814,,,,,,-161.977,-4.49,0.0,-4.49,-168.112,317.339,-485.451,10.625,,,,,,,,0.0,-158.943,-21.239,18.969,,,,,-30.273,5.461,-35.734,-126.4,0.0,,-69.164,,,
09/30/2004,472.211,187.681,45.982,,71.153,,,71.153,153.702,,,,,,763.484,4.375,4.375,,757.46,757.46,,,,,,,,,,1.649,318.929,,192.756,,,,,11.836,11.836,,,114.337,,436.772,,,
12/31/2004,155.582,239.989,48.704,,-136.083,29.667,-57.732,-108.018,2.972,,,,,,-53.074,-4.795,,-4.795,-69.444,198.772,-268.216,21.165,,,,,,,,0.0,18.671,-21.2,16.999,,,,,-76.598,41.13,-117.728,82.004,17.466,,121.179,,,
03/31/2005,145.419,221.274,49.678,,-1.4,,,-1.4,-124.133,,,,,,-82.273,-38.995,0.0,-38.995,-53.951,338.124,-392.075,10.71,,,,,,,,-0.037,28.737,-25.089,4.243,,,,,17.786,26.172,-8.386,1.907,29.89,,91.883,,,
06/30/2005,430.606,261.873,48.342,,186.627,,,186.627,-66.236,,,,,,-41.476,-14.083,0.0,-14.083,-62.797,305.445,-368.242,35.404,,,,,,,,0.0,-633.777,-527.08,-9.709,,,,,4.847,27.99,-23.143,-105.67,3.835,,-244.647,,,
09/30/2005,51.538,334.495,65.449,,-207.908,,,-207.908,-140.498,,,,,,-80.736,-17.052,0.0,-17.052,-67.596,244.466,-312.062,3.912,,,,,,,,0.0,228.911,-25.29,229.569,,,,,14.481,35.359,-20.878,-14.847,24.998,,199.713,,,
12/31/2005,546.617,317.969,53.767,,-77.278,85.299,-106.464,-56.113,252.159,,,,,,147.708,-11.036,,-11.036,157.482,226.86,-69.378,1.262,,,,,,,,0.0,-220.131,-25.268,-240.873,,,,,1.484,46.483,-44.999,16.1,28.426,,474.194,,,
03/31/2006,213.929,196.516,54.174,,233.032,141.243,1.869,89.92,-269.793,,,,,,-85.148,-14.69,0.0,-14.69,-90.663,110.546,-201.209,20.205,,,,,,,,0.0,-4.697,-30.979,69.938,,,,,4.133,43.545,-39.412,-121.488,73.699,,124.084,,,
06/30/2006,338.527,371.414,52.903,,6.308,119.591,16.518,-129.801,-92.098,,,,,,36.364,-10.823,0.0,-10.823,40.294,204.081,-163.787,2.944,,,,,,,,3.949,-712.132,-31.122,78.671,,,,,-834.116,16.564,-850.68,63.06,11.375,,-337.241,,,
09/30/2006,178.817,381.669,54.427,,-73.862,111.982,26.76,-212.604,-183.417,,,,,,-62.4,-32.501,0.0,-32.501,-16.724,322.988,-339.712,-13.021,,,,,,,,-0.154,83.522,-30.361,43.562,,,,,-20.938,29.886,-50.824,72.095,19.164,,199.939,450.1,33.0,
12/31/2006,551.271,426.8,52.539,,-84.124,106.651,-129.463,-61.312,156.056,,,,,,23.359,-17.589,,-17.589,16.071,141.976,-125.905,27.291,,,,,,,,-2.414,-181.716,-30.386,-128.381,,,,,-24.277,49.438,-73.715,-17.663,18.991,,392.914,,,
03/31/2007,311.866,440.866,56.26,,-21.14,,,-21.14,-164.12,,,,,,158.576,-26.105,0.0,-26.105,164.844,314.966,-150.122,19.837,,,,,,,,0.0,-497.323,-38.038,112.572,,,,,-514.668,15.2,-529.868,-88.589,31.4,,-26.881,,,
06/30/2007,670.715,468.364,58.559,,8.426,-7.724,26.935,-10.785,135.366,,,,,,-288.137,-25.728,0.0,-25.728,-159.693,237.83,-397.523,-16.005,,,,,,,,-86.711,-785.7,-37.439,-254.882,,,,,-508.605,13.165,-521.77,-3.307,18.533,,-403.122,,,
09/30/2007,139.781,436.908,31.261,,70.843,122.011,56.628,-107.796,-399.231,,,,,,-199.966,-24.722,0.0,-24.722,-148.995,244.683,-393.678,-23.067,,,,,,,,-3.182,68.322,-36.884,130.587,,,,,-141.459,21.845,-163.304,2.663,113.415,,8.137,586.6,28.8,
12/31/2007,204.008,518.316,52.284,2.606,-41.213,0.003,-10.301,-30.915,-327.985,,,,,,-335.101,-14.547,0.0,-14.547,-289.664,240.972,-530.636,-30.89,,,,,,,,0.0,-570.817,-36.791,99.484,,,,,-751.413,29.095,-780.508,74.325,43.578,,-701.91,97.283,15.593,
03/31/2008,273.098,366.096,52.824,3.424,28.885,13.443,19.937,-4.495,-178.131,,,,,,302.519,-19.825,0.0,-19.825,334.007,551.976,-217.969,-11.663,,,,,,,,0.0,205.817,-47.956,419.603,,,,,-358.005,2.879,-360.884,12.378,179.797,,781.434,278.499,7.767,
06/30/2008,934.372,403.312,51.709,,62.087,,30.823,31.264,417.264,,,,,,-472.05,-23.237,0.0,-23.237,-363.755,662.813,-1026.568,-91.775,,,,,,,,6.717,-1081.915,-47.274,-927.395,,,,,-173.347,2.486,-175.833,16.601,49.5,,-619.593,,,
09/30/2008,2.351,305.077,71.812,,41.928,,,41.928,-416.466,,,,,,-591.49,-12.606,0.0,-12.606,-550.494,0.0,-550.494,-28.39,,,,,,,,0.0,77.165,-47.012,-104.228,,,,,-219.324,6.762,-226.086,24.964,422.765,,-516.562,,,
12/31/2008,41.945,120.9,46.68,4.102,72.637,-3.472,15.707,60.402,-202.374,-33.452,,4.613,-173.535,0.0,160.105,-21.784,0.0,-21.784,167.036,680.665,-513.629,14.32,14.32,0.0,0.0,0.533,0.0,0.533,0.0,0.0,152.071,-46.54,4.514,22.815,0.0,49.25,-67.551,-34.582,6.096,-40.678,206.327,22.352,-44.876,309.245,64.265,3.035,
03/31/2009,204.664,110.806,42.463,1.095,31.274,-12.027,20.908,22.393,19.026,29.638,,6.741,-17.353,0.0,-342.13,-5.847,0.0,-5.847,-338.869,586.337,-925.206,2.586,2.586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-244.114,-48.935,-19.714,,,,,-61.304,6.989,-68.293,-130.607,16.446,-10.881,-392.461,179.293,2.205,
06/30/2009,242.401,297.716,40.854,0.755,-16.442,-8.221,21.918,-30.139,-80.482,-166.447,,4.268,81.697,0.0,-192.142,-4.797,0.0,-4.797,-235.003,284.063,-519.066,47.658,47.658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-162.51,-48.795,-40.588,,,,,-104.684,5.022,-109.706,0.608,30.949,38.58,-73.671,62.172,1.949,
09/30/2009,152.392,367.356,51.275,-0.163,32.503,36.902,20.987,-25.386,-298.579,-227.247,,,-71.332,0.0,664.106,-12.755,0.0,-12.755,690.205,810.786,-120.581,-13.344,-13.344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-86.055,-48.514,-24.048,,,,,-147.058,11.172,-158.23,17.973,115.592,3.343,733.786,89.821,2.193,
12/31/2009,317.075,355.603,66.001,1.053,7.554,-0.106,10.117,-2.457,-113.136,-74.237,,,-38.899,0.0,69.149,-9.59,0.0,-9.59,131.233,298.215,-166.982,-52.494,-52.494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-640.591,-732.97,201.451,192.451,0.0,9.0,0.0,-156.191,17.805,-173.996,24.665,22.454,0.224,-254.143,40.476,1.707,
03/31/2010,2836.862,356.685,65.193,2458.947,6.029,-1.986,19.836,-11.821,-49.992,-26.343,,1.308,-24.957,0.0,-100.122,-18.272,0.0,-18.272,-76.211,177.493,-253.704,-5.639,-5.639,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-93.369,-50.862,29.161,29.161,0.0,0.0,0.0,-111.949,5.546,-117.495,19.891,20.39,-12.519,2630.852,233.072,3587.293,
06/30/2010,-1814.0,360.495,69.61,-2457.278,46.965,0.094,21.72,25.151,166.208,-21.734,,1.076,186.866,0.0,21.599,-25.125,0.0,-25.125,49.578,235.044,-185.466,-2.854,-2.854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,319.34,-50.061,590.914,-286.122,0.0,943.036,-66.0,-196.222,16.049,-212.271,-39.344,14.053,-17.477,-1490.538,109.662,,
09/30/2010,311.102,372.906,66.641,0.53,-32.838,-10.059,18.318,-41.097,-96.137,-20.723,,,-75.414,0.0,-23.294,-4.416,0.0,-4.416,-15.64,73.691,-89.331,-3.238,-3.238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-180.299,-49.646,29.985,29.985,0.0,0.0,0.0,-157.911,14.081,-171.992,-14.044,11.317,25.585,133.094,150.124,1.492,
12/31/2010,245.776,501.157,62.478,2.845,-21.601,5.957,9.728,-37.286,-299.103,-182.115,,,-116.988,0.0,244.102,-54.003,0.0,-54.003,236.333,455.982,-219.649,15.931,15.931,0.0,0.0,0.0,0.0,0.0,0.0,45.841,-292.712,-49.763,-92.488,-2.767,0.0,0.0,-89.721,-173.428,25.108,-198.536,21.61,1.357,0.148,197.314,82.917,26.614,
03/31/2011,242.568,503.1,61.149,0.758,-30.082,-3.239,21.728,-48.571,-292.357,-230.009,,,-62.348,0.0,309.595,-11.145,0.0,-11.145,349.815,649.774,-299.959,28.531,28.531,0.0,0.0,-57.606,0.0,-57.606,0.0,0.0,-221.109,-55.92,-87.712,2.735,0.0,0.0,-90.447,-198.172,16.83,-215.002,108.281,12.414,16.359,347.413,351.86,16.659,
06/30/2011,564.284,503.347,58.138,0.578,34.625,-6.189,21.9,18.914,-32.404,-127.173,,,94.769,0.0,-121.036,-19.568,0.0,-19.568,-123.516,494.785,-618.301,22.509,22.509,0.0,0.0,-0.461,0.0,-0.461,0.0,0.0,-355.938,-55.51,-79.431,-0.007,0.0,0.0,-79.424,-195.628,7.937,-203.565,-96.34,70.971,8.265,95.575,151.256,29.776,
09/30/2011,569.15,415.976,61.809,0.427,18.662,0.165,20.597,-2.1,72.276,20.932,,,51.344,0.0,3.252,-47.006,0.0,-47.006,-34.066,385.767,-419.833,60.078,60.078,0.0,0.0,-52.985,0.0,-52.985,0.0,77.231,-98.426,-55.149,-80.529,-0.012,0.0,20.0,-100.517,-322.606,14.463,-337.069,200.89,158.968,-39.381,434.595,175.87,18.933,
12/31/2011,167.7,480.8,52.6,,-20.0,,8.3,-28.3,-345.7,-58.7,-88.4,,-198.6,0.0,236.4,-26.8,0.0,-26.8,225.4,394.2,-168.8,37.8,37.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-681.4,-546.9,-114.3,-5.0,0.0,6.6,-115.9,-260.7,30.2,-290.9,138.2,102.3,-9.4,-286.7,94.6,29.7,
03/31/2012,310.609,503.219,55.726,5.322,-7.532,8.86,24.414,-40.806,-246.126,-174.397,,,-71.729,0.0,205.214,-18.517,0.0,-18.517,202.107,421.281,-219.174,21.624,21.624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-365.321,-0.469,-98.5,-0.01,0.0,16.157,-114.647,-110.307,15.62,-125.927,-191.275,35.23,16.781,167.283,347.48,18.266,
06/30/2012,407.483,455.267,54.13,0.43,0.359,-7.827,26.044,-17.858,-102.703,-117.813,,,15.11,0.0,168.083,-16.568,0.0,-16.568,150.32,439.672,-289.352,34.331,34.331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-243.958,-58.171,-56.835,-25.0,0.0,20.127,-51.962,-277.757,4.281,-282.038,88.503,60.302,-25.697,305.911,194.841,29.319,
09/30/2012,180.368,492.129,49.52,0.014,8.365,8.218,22.856,-22.709,-369.66,-138.493,,,-231.167,0.0,263.699,-16.547,0.0,-16.547,118.637,294.478,-175.841,-7.991,-7.991,0.0,0.0,0.0,0.0,0.0,0.0,169.6,205.807,-57.461,460.15,0.017,0.0,549.427,-89.294,-79.842,18.737,-98.579,-253.882,136.842,16.487,666.361,182.846,16.052,
12/31/2012,286.4,516.1,53.9,,-24.9,,21.9,-46.8,-258.7,-66.4,-10.5,,-181.8,0.0,34.5,-12.3,0.0,-12.3,63.4,426.7,-363.3,-24.9,-24.9,0.0,0.0,5.7,0.0,5.7,0.0,2.6,-1140.4,-757.9,-533.0,0.0,0.0,133.5,-666.5,-80.9,17.1,-98.0,213.5,17.9,10.8,-808.7,61.6,30.8,
03/31/2013,485.4,572.8,60.7,,-6.1,,23.5,-29.6,-142.0,-17.5,-58.8,,-65.7,0.0,63.5,-15.9,0.0,-15.9,37.8,316.9,-279.1,41.4,41.4,0.0,0.0,0.0,0.0,0.0,0.0,0.2,-209.5,-1.4,-65.4,0.0,0.0,167.6,-233.0,-1.4,21.9,-23.3,-211.0,69.7,-26.3,313.1,368.5,20.7,
06/30/2013,755.8,552.3,-44.1,,118.1,,24.8,93.3,129.5,13.9,-32.6,,148.2,0.0,79.6,-13.4,0.0,-13.4,102.6,349.0,-246.4,-9.0,-9.0,0.0,0.0,-1.8,0.0,-1.8,0.0,1.2,-157.9,-61.8,-54.1,0.0,0.0,103.7,-157.8,-99.3,5.8,-105.1,40.0,17.3,-1.2,676.3,192.6,30.6,
09/30/2013,508.1,509.0,161.0,,-106.9,,22.9,-129.8,-55.0,4.4,-44.0,,-15.4,0.0,55.3,-20.6,0.0,-20.6,113.9,475.0,-361.1,-24.3,-24.3,0.0,0.0,-3.1,0.0,-3.1,0.0,-10.6,-510.3,-61.6,-91.4,0.0,0.0,213.0,-304.4,-247.8,16.8,-264.6,-127.4,17.9,37.9,91.0,203.2,19.9,
12/31/2013,324.7,603.8,59.3,,-17.4,-10.4,28.1,-35.1,-321.0,-36.8,-230.4,,-53.8,0.0,115.8,-15.0,0.0,-15.0,133.9,354.2,-220.3,30.9,30.9,0.0,0.0,0.0,0.0,0.0,0.0,-34.0,-72.5,-64.1,-46.5,0.0,0.0,190.3,-236.8,-127.1,10.0,-137.1,66.5,98.7,8.6,376.6,68.0,14.2,
03/31/2014,314.7,561.0,57.8,,18.0,,31.2,-13.2,-322.1,-38.6,-207.4,-37.3,-38.8,0.0,-113.9,-13.4,0.0,-13.4,0.3,202.4,-202.1,14.1,14.1,0.0,0.0,0.0,0.0,0.0,0.0,-114.9,9.1,-75.8,-37.4,0.0,0.0,218.0,-255.4,-163.4,15.4,-178.8,19.7,266.0,1.3,211.2,469.1,18.3,
06/30/2014,771.5,578.9,53.0,,-23.5,,29.5,-53.0,163.1,-2.2,-11.1,-1.0,177.4,0.0,282.4,-9.8,0.0,-9.8,294.1,500.4,-206.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.9,-268.9,-75.4,-47.0,0.0,0.0,193.3,-240.3,-125.4,3.1,-128.5,-9.9,-11.2,1.7,786.7,230.2,23.0,
09/30/2014,727.1,640.6,52.3,,21.1,,26.7,-5.6,13.1,-2.6,-34.0,0.0,49.7,0.0,106.3,-14.9,0.0,-14.9,120.0,378.1,-258.1,1.2,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-863.0,-75.1,-49.1,0.0,0.0,192.0,-241.1,-161.5,16.3,-177.8,-663.8,86.5,-72.0,-101.6,212.0,16.4,
12/31/2014,572.4,566.4,55.1,,44.0,23.8,33.5,-13.3,-93.1,5.2,16.0,,-114.3,0.0,90.5,-16.1,0.0,-16.1,106.7,318.7,-212.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,-327.9,-75.8,-60.1,0.0,0.0,218.5,-278.6,-149.3,1.9,-151.2,-0.3,-42.4,-45.8,289.2,57.0,12.9,
03/31/2015,549.0,606.5,53.7,,10.8,-18.2,34.1,-5.1,-122.0,-10.7,0.6,,-111.9,0.0,16.6,-13.6,0.0,-13.6,31.9,175.6,-143.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.7,-217.1,-405.2,368.9,0.0,0.0,493.8,-124.9,-173.1,16.9,-190.0,0.0,-7.7,-111.4,237.1,461.4,23.2,
