Date,Cash from Operating Activities,Net Income,Depreciation & Amortization,Non-Cash Items,Deferred Income Taxes,Other Non-Cash Adj,Chg in Non-Cash Work Cap,(Inc) Dec in Accts Receiv,(Inc) Dec in Inventories,Inc (Dec) in Other,Net Cash From Disc Ops,Cash from Investing Activities,Change in Fixed & Intang,Disp in Fixed & Intang,Disp of Fixed Prod Assets,Disp of Intangible Assets,Acq of Fixed & Intang,Acq of Fixed Prod Assets,Acq of Intangible Assets,Net Change in LT Investment,Dec in LT Investment,Inc in LT Investment,Net Cash From Acq & Div,Cash from Divestitures,Cash for Acq of Subs,Cash for JVs,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Cash From (Repayment) Debt,Cash From (Repay) ST Debt,Cash From LT Debt,Repayments of LT Debt,Cash (Repurchase) of Equity,Increase in Capital Stock,Decrease in Capital Stock,Other Financing Activities,Effect of Foreign Exchange Rates,Net Changes in Cash,Cash Paid for Taxes,Cash Paid for Interest,Source: Bloomberg
06/30/1994,120,56,80,345,,345,-361,,,-361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/1994,112,90,79,-7,,-7,-50,,,-50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1994,114,90,77,67,,67,-120,,,-120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114.0,,,
03/31/1995,174,74,77,-72,,-72,95,,,95,,,-56.0,,,,-56.0,,,,,,,,,,56.0,,,,,,,,,,,,,,,
06/30/1995,172,81,84,-34,,-34,41,,,41,,,-86.0,,,,-86.0,,,,,,,,,,86.0,,,,,,,,,,,,,,,
09/30/1995,-62,85,80,-187,,-187,-40,,,-40,,,-82.0,,,,-82.0,,,,,,,,,,82.0,,,,,,,,,,,,,,,
12/31/1995,303,61,77,8,,8,157,,,157,,-100.0,-100.0,,,,-100.0,,,,,,,,,,0.0,,,,,,,,,,,,203.0,,,
03/31/1996,-13,46,78,-46,,-46,-91,,,-91,,,-56.0,,,,-56.0,,,,,,,,,,56.0,,,,,,,,,,,,,,,
06/30/1996,33,32,75,-69,,-69,-5,,,-5,,,-102.0,,,,-102.0,,,,,,,,,,102.0,,,,,,,,,,,,,,,
09/30/1996,-98,70,69,-25,,-25,-212,,,-212,,,-91.0,,,,-91.0,,,,,,,,,,91.0,,,,,,,,,,,,,,,
12/31/1996,164,125,70,-89,,-89,58,,,58,,-88.0,-88.0,,,,-88.0,,,,,,,,,,0.0,,,,,,,,,,,,76.0,,,
03/31/1997,213,87,74,-56,,-56,108,,,108,,-40.0,-45.0,5.0,,,-50.0,,,0.0,0.0,0.0,,,,,5.0,-180.0,-26.0,-165.0,,,,11.0,11.0,0.0,0.0,,-7.0,,,
06/30/1997,81,97,79,-46,,-46,-49,,,-49,,290.0,302.0,369.0,,,-67.0,,,0.0,0.0,0.0,,,,,-12.0,-371.0,-23.0,-358.0,,,,10.0,10.0,0.0,0.0,,0.0,,,
09/30/1997,59,116,72,-121,,-121,-8,,,-8,,-47.0,-43.0,16.0,,,-59.0,,,0.0,0.0,0.0,,,,,-4.0,-11.0,-23.0,4.0,,,,8.0,8.0,0.0,0.0,,1.0,,,
12/31/1997,117,152,78,-42,,-42,-71,,,-71,,-63.0,-55.0,30.0,,,-85.0,,,0.0,0.0,0.0,,,,,-8.0,-53.0,-24.0,-48.0,,,,19.0,19.0,0.0,0.0,,1.0,,,
03/31/1998,134,87,77,-43,,-43,13,,,13,,-118.0,-55.0,2.0,,,-57.0,,,0.0,0.0,0.0,,,,,-63.0,-22.0,-24.0,7.0,,,,2.0,2.0,0.0,-7.0,,-6.0,-16.0,23.0,
06/30/1998,108,136,72,-32,,-32,-68,,,-68,,-53.0,-66.0,13.0,,,-79.0,,,0.0,0.0,0.0,,,,,13.0,-51.0,-24.0,-57.0,,,,23.0,23.0,0.0,7.0,,4.0,,,
09/30/1998,51,65,71,-85,,-85,0,,,0,,-109.0,-90.0,2.0,,,-92.0,,,0.0,0.0,0.0,,,,,-19.0,65.0,-25.0,14.0,,,,22.0,30.0,-8.0,54.0,,7.0,,,
12/31/1998,79,76,63,-39,,-39,-21,,,-21,,-61.0,-78.0,4.0,,,-82.0,,,0.0,0.0,0.0,,,,,17.0,-32.0,-23.0,45.0,,,,0.0,0.0,0.0,-54.0,,-14.0,,,
03/31/1999,80,-14,71,10,,10,13,,,13,,-81.0,-77.0,2.0,,,-79.0,,,0.0,0.0,0.0,,,,,-4.0,10.0,-24.0,34.0,,,,0.0,0.0,0.0,0.0,,9.0,2.0,25.0,
06/30/1999,44,55,79,-53,,-53,-37,,,-37,,-77.0,-72.0,2.0,,,-74.0,,,0.0,0.0,0.0,,,,,-5.0,35.0,-25.0,60.0,,,,0.0,0.0,0.0,0.0,,2.0,3.0,17.0,
09/30/1999,34,-31,78,-8,,-8,-5,,,-5,,-65.0,-66.0,2.0,,,-68.0,,,0.0,0.0,0.0,,,,,1.0,17.0,-24.0,41.0,,,,0.0,0.0,0.0,0.0,,-14.0,0.0,21.0,
12/31/1999,-238,34,76,-40,,-40,-308,,,-308,,-71.0,-62.0,4.0,,,-66.0,,,0.0,0.0,0.0,,,,,-9.0,325.0,-24.0,351.0,,,,-2.0,0.0,-2.0,0.0,,16.0,-8.0,14.0,
03/31/2000,36,43,75,-24,,-24,-58,,,-58,,-42.0,-32.0,13.0,,,-45.0,,,0.0,0.0,0.0,,,,,-10.0,-11.0,-24.0,24.0,,,,-11.0,0.0,-11.0,0.0,,-17.0,-94.0,25.0,
06/30/2000,63,56,78,-23,,-23,-48,,,-48,,-45.0,-49.0,3.0,,,-52.0,,,0.0,0.0,0.0,,,,,4.0,-18.0,-24.0,7.0,,,,-1.0,0.0,-1.0,0.0,,0.0,9.0,16.0,
09/30/2000,-94,19,69,-4,,-4,-178,,,-178,,-50.0,-35.0,1.0,,,-36.0,,,0.0,0.0,0.0,,,,,-15.0,145.0,-24.0,169.0,,,,0.0,0.0,0.0,0.0,,1.0,0.0,27.0,
12/31/2000,-632,-139,138,-327,,-327,-304,,,-304,,-133.0,-107.0,4.0,,,-111.0,,,0.0,0.0,0.0,,,,,-26.0,978.0,-25.0,1002.0,,,,0.0,0.0,0.0,1.0,,213.0,4.0,3.0,
03/31/2001,236,9,73,-133,,-133,287,,,287,,-24.0,-37.0,0.0,,,-37.0,,,0.0,0.0,0.0,,,,,13.0,-251.0,-24.0,-226.0,,,,0.0,0.0,0.0,-1.0,,-39.0,-373.0,69.0,
06/30/2001,-11,-30,79,45,,45,-105,,,-105,,-98.0,-95.0,9.0,,,-104.0,,,0.0,0.0,0.0,,,,,-3.0,183.0,-11.0,194.0,,,,0.0,0.0,0.0,0.0,,74.0,-14.0,24.0,
09/30/2001,-46,-23,94,1,,1,-118,,,-118,,-48.0,-48.0,8.0,,,-56.0,,,0.0,0.0,0.0,,,,,0.0,315.0,-11.0,326.0,,,,0.0,0.0,0.0,0.0,,221.0,0.0,63.0,
12/31/2001,490,-174,98,53,,53,513,,,513,,-69.0,-63.0,27.0,,,-90.0,,,0.0,0.0,0.0,,,,,-6.0,-749.0,-11.0,-738.0,,,,0.0,0.0,0.0,0.0,,-328.0,0.0,26.0,
03/31/2002,19,-83,88,-82,,-82,96,,,96,,-70.0,-53.0,3.0,,,-56.0,,,0.0,0.0,0.0,,,,,-17.0,-39.0,-4.0,-1.0,,,,19.0,19.0,0.0,-53.0,,-90.0,1.0,51.0,
06/30/2002,-126,27,89,9,,9,-251,,,-251,,-78.0,-43.0,5.0,,,-48.0,,,0.0,0.0,0.0,,,,,-35.0,175.0,-5.0,-19.0,,,,199.0,199.0,0.0,0.0,,-29.0,2.0,13.0,
09/30/2002,183,106,89,8,,8,-20,,,-20,,-96.0,-42.0,4.0,,,-46.0,,,0.0,0.0,0.0,,,,,-54.0,-10.0,-5.0,-11.0,,,,5.0,5.0,0.0,1.0,,77.0,1.0,41.0,
12/31/2002,203,11,84,2,,2,106,,,106,,-65.0,-53.0,55.0,,,-108.0,,,0.0,0.0,0.0,,,,,-12.0,0.0,-5.0,-1.0,,,,4.0,4.0,0.0,2.0,,138.0,0.0,19.0,
03/31/2003,-44,-38,90,-34,,-34,-62,,,-62,,-75.0,-51.0,12.0,,,-63.0,,,0.0,0.0,0.0,,,,,-24.0,243.0,-5.0,0.0,,,,248.0,248.0,0.0,0.0,,124.0,1.0,34.0,
06/30/2003,212,-49,87,36,,36,138,,,138,,-853.0,-10.0,59.0,,,-69.0,,,0.0,0.0,0.0,,,,,-843.0,419.0,-11.0,428.0,,,,5.0,5.0,0.0,-3.0,,-222.0,2.0,35.0,
09/30/2003,164,-354,140,146,,146,232,,,232,,-137.0,-73.0,0.0,,,-73.0,,,0.0,0.0,0.0,,,,,-64.0,-12.0,-10.0,-1.0,,,,0.0,0.0,0.0,-1.0,,15.0,0.0,38.0,
12/31/2003,245,-22,46,213,,213,8,,,8,,-65.0,-83.0,23.0,,,-106.0,,,0.0,0.0,0.0,,,,,18.0,-24.0,-9.0,-30.0,,,,12.0,12.0,0.0,3.0,,156.0,2.0,38.0,
03/31/2004,97,58,98,19,,19,-78,,,-78,,14.0,10.0,80.0,,,-70.0,,,0.0,0.0,0.0,,,,,4.0,337.0,-9.0,8.0,,,,339.0,339.0,0.0,-1.0,,448.0,1.0,58.0,
06/30/2004,217,211,93,37,,37,-124,,,-124,,-95.0,-90.0,5.0,,,-95.0,,,0.0,0.0,0.0,,,,,-5.0,-296.0,-10.0,-284.0,,,,2.0,2.0,0.0,-4.0,,-174.0,20.0,72.0,
09/30/2004,608,354,96,120,264.0,-144,38,-431.0,32.0,437,,-194.0,-200.0,2.0,,,-202.0,,,0.0,0.0,0.0,,,,,6.0,58.0,-10.0,72.0,,,,7.0,7.0,0.0,-11.0,,472.0,8.0,26.0,
12/31/2004,469,451,95,14,96.0,-82,-91,-119.0,6.0,22,,-202.0,-204.0,8.0,,,-212.0,,,0.0,0.0,0.0,,,,,2.0,-292.0,-10.0,-292.0,,,,13.0,13.0,0.0,-3.0,,-25.0,9.0,47.0,
03/31/2005,296,459,98,-96,104.0,-200,-165,-141.0,-116.0,92,,-120.0,-119.0,3.0,,,-122.0,,,0.0,0.0,0.0,,,,,-1.0,-66.0,-13.0,-51.0,,,,6.0,6.0,0.0,-8.0,,110.0,4.0,25.0,
06/30/2005,207,249,88,79,54.0,25,-209,199.0,-123.0,-285,,-154.0,-150.0,7.0,,,-157.0,,,0.0,0.0,0.0,,,,,-4.0,42.0,-16.0,72.0,,,,1.0,1.0,0.0,-15.0,,95.0,200.0,79.0,
09/30/2005,381,93,88,-86,-73.0,-13,286,95.0,102.0,89,,-163.0,-179.0,15.0,,,-194.0,,,0.0,0.0,0.0,,,,,16.0,-66.0,-16.0,-8.0,,,,-32.0,20.0,-52.0,-10.0,,152.0,14.0,29.0,
12/31/2005,334,109,92,-16,-43.0,27,149,12.0,-17.0,154,,-271.0,-262.0,6.0,,,-268.0,,,0.0,0.0,0.0,,,,,-9.0,22.0,-15.0,265.0,,,,-201.0,1.0,-202.0,-27.0,,85.0,74.0,24.0,
03/31/2006,228,256,112,18,16.0,2,-158,-221.0,-16.0,79,,-119.0,-123.0,4.0,,,-127.0,,,0.0,0.0,0.0,,,,,4.0,-117.0,-15.0,-99.0,,,,4.0,4.0,0.0,-7.0,,-8.0,8.0,32.0,
06/30/2006,340,404,114,-54,27.0,-81,-124,-146.0,-14.0,36,,-126.0,-122.0,2.0,,,-124.0,,,0.0,0.0,0.0,,,,,-4.0,-208.0,-21.0,-70.0,,,,-110.0,7.0,-117.0,-7.0,,6.0,167.0,95.0,
09/30/2006,467,417,113,-41,81.0,-122,-22,32.0,-150.0,96,,-140.0,-146.0,0.0,,,-146.0,,,0.0,0.0,0.0,,,,,6.0,-394.0,-18.0,-103.0,,,,-272.0,7.0,-279.0,-1.0,,-67.0,75.0,29.0,
12/31/2006,646,297,102,-87,-67.0,-20,334,242.0,71.0,21,,-205.0,-195.0,20.0,,,-215.0,,,0.0,0.0,0.0,,,,,-10.0,-429.0,-23.0,-384.0,,,,-26.0,20.0,-46.0,4.0,,12.0,27.0,70.0,
03/31/2007,334,273,111,-14,41.0,-55,-36,-136.0,-8.0,108,,-107.0,-103.0,5.0,,,-108.0,,,0.0,0.0,0.0,,,,,-4.0,-97.0,-24.0,-53.0,,,,-17.0,8.0,-25.0,-3.0,,130.0,,,
06/30/2007,522,302,118,26,8.0,18,76,-161.0,116.0,121,,-2116.0,-129.0,13.0,,,-142.0,,,0.0,0.0,0.0,,,,,-1987.0,1145.0,-23.0,1187.0,,,,-18.0,15.0,-33.0,-1.0,,-449.0,,,
09/30/2007,554,269,124,42,64.0,-22,119,-3.0,135.0,-13,,-198.0,-201.0,9.0,,,-210.0,,,0.0,0.0,0.0,,,,,3.0,-56.0,-24.0,-9.0,,,,-29.0,0.0,-29.0,6.0,,300.0,,,
12/31/2007,322,35,153,206,69.0,137,-72,522.0,62.0,-656,,-2254.0,-217.0,15.0,,,-232.0,,,0.0,0.0,0.0,,,,,-2037.0,930.0,-24.0,978.0,,,,-26.0,4.0,-30.0,2.0,,-1002.0,,,
03/31/2008,237,235,156,-139,24.0,-163,-15,-267.0,-28.0,280,,-147.0,-123.0,4.0,,,-127.0,,,,,,,,,,-24.0,-37.0,-29.0,-3.0,,,,-26.0,7.0,-33.0,21.0,,53.0,,,
06/30/2008,226,668,159,-69,73.0,-142,-532,-786.0,-264.0,518,,-203.0,-210.0,3.0,,,-213.0,,,,,,,,,,7.0,-86.0,-30.0,-33.0,,,,-39.0,13.0,-52.0,16.0,,-63.0,,,
09/30/2008,868,919,149,64,165.0,-101,-264,-211.0,-186.0,133,,-315.0,-281.0,12.0,,,-293.0,,,0.0,0.0,0.0,,,,,-34.0,-151.0,-35.0,-8.0,,,,-129.0,0.0,-129.0,21.0,,402.0,,,
12/31/2008,327,290,141,-330,104.0,-434,226,974.0,102.0,-850,,-367.0,-258.0,5.0,,,-263.0,,,0.0,0.0,0.0,,,,,-109.0,-29.0,-35.0,-21.0,,,,-19.0,,-19.0,46.0,,-69.0,359.0,155.0,
03/31/2009,309,-439,158,-200,-165.0,-35,790,722.0,350.0,-282,0.0,116.0,185.0,303.0,303.0,0.0,-118.0,-118.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-69.0,-2.0,-35.0,-4.0,0.0,0.0,-4.0,0.0,0.0,0.0,37.0,-16.0,407.0,,,
06/30/2009,52,-392,159,-138,-83.0,-55,423,435.0,368.0,-380,0.0,-131.0,-145.0,36.0,36.0,0.0,-181.0,-181.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,888.0,-7.0,176.0,0.0,839.0,-663.0,666.0,666.0,0.0,53.0,10.0,819.0,,,
09/30/2009,-243,-303,167,-183,-10.0,-173,76,-273.0,147.0,202,0.0,-195.0,-149.0,1.0,1.0,0.0,-150.0,-150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-46.0,27.0,-7.0,-4.0,0.0,0.0,-4.0,1.0,1.0,0.0,37.0,4.0,-407.0,,,
12/31/2009,-179,-267,177,-8,102.0,-110,-81,58.0,-52.0,-87,0.0,-164.0,-144.0,26.0,26.0,0.0,-170.0,-170.0,0.0,0.0,0.0,0.0,-24.0,0.0,-24.0,0.0,4.0,25.0,-7.0,-2.0,0.0,127.0,-129.0,0.0,0.0,0.0,34.0,-7.0,-325.0,,,
03/31/2010,-59,-157,165,-108,15.0,-123,41,-426.0,-11.0,478,0.0,-64.0,-60.0,65.0,65.0,0.0,-125.0,-125.0,0.0,0.0,,,0.0,0.0,0.0,0.0,-4.0,302.0,-7.0,308.0,312.0,,-4.0,1.0,1.0,0.0,0.0,-11.0,168.0,,,
06/30/2010,-289,-25,162,81,26.0,55,-507,-456.0,-410.0,359,0.0,-121.0,-102.0,15.0,15.0,0.0,-117.0,-117.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-19.0,-18.0,-7.0,-681.0,-582.0,,-99.0,670.0,670.0,0.0,0.0,-11.0,-439.0,,,
09/30/2010,-130,-51,163,-87,-21.0,-66,-155,115.0,-291.0,21,0.0,-173.0,-161.0,23.0,23.0,0.0,-184.0,-184.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12.0,-11.0,-8.0,-4.0,-2.0,0.0,-2.0,1.0,1.0,0.0,0.0,10.0,-304.0,,,
12/31/2010,99,-249,168,268,186.0,82,-88,278.0,24.0,-390,0.0,-225.0,-184.0,66.0,66.0,0.0,-250.0,-250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-41.0,62.0,-7.0,67.0,1.0,68.0,-2.0,2.0,2.0,0.0,0.0,-1.0,-65.0,,,
03/31/2011,17,-86,169,-100,8.0,-108,34,-522.0,151.0,405,0.0,-172.0,-168.0,12.0,12.0,0.0,-180.0,-180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.0,-7.0,-7.0,-4.0,0.0,0.0,-4.0,4.0,4.0,0.0,0.0,5.0,-157.0,,,
06/30/2011,21,222,171,27,35.0,-8,-399,-69.0,-426.0,96,0.0,-207.0,-217.0,4.0,4.0,0.0,-221.0,-221.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,156.0,-7.0,163.0,173.0,0.0,-10.0,0.0,0.0,0.0,0.0,2.0,-28.0,,,
09/30/2011,70,22,172,-14,-33.0,19,-110,15.0,-236.0,111,0.0,-232.0,-225.0,0.0,0.0,0.0,-225.0,-225.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.0,44.0,-8.0,-24.0,-20.0,0.0,-4.0,0.0,0.0,0.0,76.0,-5.0,-123.0,,,
12/31/2011,60,-211,169,46,-78.0,124,56,152.0,51.0,-147,0.0,-202.0,-197.0,25.0,25.0,0.0,-222.0,-222.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.0,284.0,-7.0,-13.0,-8.0,193.0,-198.0,-1.0,,,305.0,-4.0,138.0,,,
03/31/2012,426,-219,163,219,44.0,175,263,-175.0,264.0,174,0.0,-56.0,-58.0,131.0,131.0,0.0,-189.0,-189.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,-129.0,-7.0,-122.0,-510.0,392.0,-4.0,0.0,0.0,0.0,0.0,3.0,244.0,,,
06/30/2012,435,101,164,129,63.0,66,41,16.0,-12.0,37,0.0,-199.0,-206.0,2.0,2.0,0.0,-208.0,-208.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,-318.0,-7.0,-311.0,0.0,0.0,-311.0,0.0,0.0,0.0,0.0,-5.0,-87.0,,,
09/30/2012,97,44,163,-48,-21.0,-27,-62,73.0,-84.0,-51,0.0,-211.0,-131.0,8.0,8.0,0.0,-139.0,-139.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-80.0,81.0,-8.0,469.0,380.0,93.0,-4.0,0.0,0.0,0.0,0.0,4.0,-29.0,-193.0,,
12/31/2012,177,-50,171,-54,-12.0,-42,110,332.0,24.0,-246,0.0,-136.0,-173.0,14.0,14.0,0.0,-187.0,-187.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,-7.0,-7.0,380.0,380.0,0.0,0.0,0.0,0.0,0.0,-380.0,0.0,34.0,,,
03/31/2013,233,-73,171,20,4.0,16,115,-203.0,166.0,152,0.0,-92.0,-116.0,0.0,0.0,0.0,-116.0,-116.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,29.0,-7.0,36.0,0.0,578.0,-542.0,0.0,0.0,0.0,0.0,-7.0,163.0,,,
06/30/2013,151,-78,170,15,-6.0,21,44,139.0,38.0,-133,0.0,-112.0,-104.0,1.0,1.0,0.0,-105.0,-105.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.0,-9.0,-7.0,-2.0,,,,0.0,0.0,0.0,0.0,4.0,34.0,,,
09/30/2013,37,-1791,173,1655,5.0,1650,0,201.0,-189.0,-12,0.0,-105.0,-120.0,0.0,0.0,0.0,-120.0,-120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,-9.0,-8.0,-576.0,,,,0.0,0.0,0.0,575.0,7.0,-70.0,,,
12/31/2013,-16,-122,170,439,-389.0,828,-503,-23.0,-216.0,-264,0.0,-75.0,-125.0,3.0,3.0,0.0,-128.0,,,0.0,0.0,0.0,-12.0,0.0,-12.0,0.0,62.0,-7.0,-7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,-93.0,,,
03/31/2014,570,52,166,-39,4.0,-43,391,-232.0,260.0,363,0.0,-66.0,-71.0,19.0,19.0,0.0,-90.0,-90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,-7.0,-7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,495.0,,,
06/30/2014,783,-18,165,-3,12.0,-15,639,130.0,81.0,428,0.0,-81.0,-89.0,7.0,7.0,0.0,-96.0,-96.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,-329.0,-8.0,-322.0,0.0,0.0,-322.0,1.0,1.0,0.0,0.0,-1.0,372.0,,,
09/30/2014,-106,-207,158,444,-10.0,454,-501,-210.0,-278.0,-13,0.0,-87.0,-94.0,2.0,2.0,0.0,-96.0,-96.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,-7.0,-1.0,0.0,,-1.0,9.0,9.0,0.0,0.0,-22.0,-214.0,,,
12/31/2014,306,275,138,126,70.0,56,-233,113.0,-310.0,-36,0.0,-193.0,-197.0,1.0,1.0,0.0,-198.0,-198.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,-6.0,-7.0,-2.0,0.0,0.0,-2.0,3.0,3.0,0.0,0.0,-10.0,97.0,,,
03/31/2015,73,-75,144,-58,-166.0,108,62,237.0,33.0,-208,0.0,-108.0,-109.0,0.0,0.0,0.0,-109.0,-109.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-7.0,-7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-46.0,-88.0,,,
06/30/2015,78,-261,138,72,-179.0,251,129,134.0,109.0,-114,0.0,-123.0,-102.0,1.0,1.0,0.0,-103.0,-103.0,0.0,0.0,0.0,0.0,-25.0,0.0,-25.0,0.0,4.0,-25.0,-8.0,-18.0,0.0,0.0,-18.0,1.0,1.0,0.0,0.0,14.0,-56.0,,,
09/30/2015,38,-173,136,9,-40.0,49,66,158.0,-104.0,12,0.0,-76.0,-77.0,1.0,1.0,0.0,-78.0,-78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-7.0,-7.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-45.0,,,
12/31/2015,107,-1133,129,875,598.0,277,236,263.0,353.0,-380,0.0,-139.0,-144.0,2.0,2.0,0.0,-146.0,-146.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,-369.0,-7.0,-361.0,,0.0,-361.0,-1.0,,,0.0,-9.0,-410.0,,,
03/31/2016,113,-340,129,1,9.0,-8,323,-63.0,285.0,101,0.0,-152.0,-148.0,0.0,0.0,0.0,-148.0,-148.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.0,-24.0,-7.0,-17.0,0.0,0.0,-17.0,0.0,0.0,0.0,0.0,13.0,-50.0,,,
06/30/2016,200,-46,129,-10,-7.0,-3,127,-119.0,119.0,127,0.0,-82.0,-68.0,1.0,1.0,0.0,-69.0,-69.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-14.0,5.0,-8.0,13.0,0.0,958.0,-945.0,0.0,0.0,0.0,0.0,-8.0,115.0,,,
09/30/2016,267,51,126,20,7.0,13,70,55.0,-65.0,80,0.0,-48.0,-46.0,5.0,5.0,0.0,-51.0,-51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,404.0,-7.0,-57.0,,0.0,-57.0,483.0,483.0,0.0,-15.0,2.0,625.0,,,
12/31/2016,174,-105,123,70,0.0,70,86,-55.0,152.0,-11,0.0,-33.0,-32.0,6.0,6.0,0.0,-38.0,-38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-53.0,-9.0,-74.0,,0.0,-74.0,30.0,30.0,0.0,0.0,-15.0,73.0,,,
03/31/2017,-135,-180,137,64,2.0,62,-156,-146.0,-140.0,130,0.0,-48.0,-47.0,0.0,0.0,0.0,-47.0,-47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-4.0,-9.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,1.0,-186.0,,,
06/30/2017,378,261,121,12,0.0,12,-16,-26.0,15.0,-5,0.0,-72.0,-73.0,0.0,0.0,0.0,-73.0,-73.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-119.0,-9.0,-108.0,0.0,0.0,-108.0,-2.0,0.0,-2.0,0.0,9.0,196.0,,,
