Date,Revenue,Rental Income,Base Rent,Recoveries from Tenants,Percentage Rent,Other Rental Income,Real Estate Sales,Com & Fee Earn/Inc from REO,Mortgage Income,Other Operating Income,Operating Expenses,Property Operating Expenses,Real Estate Tax,Other Property Expense,General & Administrative,Depreciation & Amortization,Provision for Loan Losses,Cost of Real Estate Sold,Other Operating Expenses,Operating Income (Loss),Non-Operating (Income) Loss,Interest Expense,(Income) Loss from Affiliates,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Current Income Tax,Deferred Income Tax,Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",FFO Reconciliation,D&A of Con Real Estate,D&A of Uncon Real Estate,D&A of Non-Real Estate Assets,Income from Uncon JVs,Disposal of Con Assets,Disposal of Uncon Assets,Abnormal Losses/(Gains),Net Income to Partners,Other FFO Adjustments,Funds from Operations,Other Abnormal Gains/(Losses),Adjusted Funds from Operations,Straight-Line Rent,Stock-Based Compensation,Recurring Capital Expenditure,Accounting Adjustments,Tenant Improv & Leasing Com,Funds Available For Distribution,AFFO Per Diluted Share,FAD Per Diluted Share,Dividend Per Share,AFFO Payout Ratio,FAD Payout Ratio,FFO Payout Ratio,Source: Bloomberg
12/31/1998,64.896004,60.145,,,,,0.0,0.0,2.017,2.734,-35.935,20.212,,,3.06,12.663,0.0,,0.0,28.960999,-15.389,15.389,0.0,0.0,13.572,0.0,,,,0.0,,,13.572,,12.783,,,10.796,10.796,,39.348,0.27,0.27,0.27,40.456001,0.26,0.26,0.26,,,,,,,,,,,23.023001,,23.023001,,,,,,23.023001,0.569087,0.569087,0.44,77.31677,77.31677,67.906004,
03/31/1999,63.583,59.432999,,,,,,,,4.15,-34.195,19.66,,,2.254,12.281,,,,29.388,-15.133,15.133,,,14.255,,,,,,,,,,13.554,,,11.566,11.566,,39.435001,0.29,0.29,0.29,40.544998,0.29,0.29,0.29,,,,,,,,,,,23.676001,,23.676001,,,,,,23.676001,0.583944,0.583944,,,,0.0,
06/30/1999,64.195,59.674,,,,,,,,4.521,-34.122001,18.311001,,,3.16,12.651,,,,30.073,-22.435,15.385,,7.05,7.638,,,,,,,,,,6.815,,,4.828,4.828,,39.542999,0.12,0.12,0.12,40.681999,0.12,0.12,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/1999,67.254997,61.971001,,,,,,,,5.284,-37.282,19.427,,,5.474,12.381,,,,29.973001,-14.989,14.989,,,14.984,,,,,,,,,,14.186,,,12.198,12.198,,39.633999,0.31,0.31,0.31,40.701,0.3,0.3,0.3,,,,,,,,,,,72.278,,72.278,,,,,,72.278,1.775829,1.775829,,,,0.0,
12/31/1999,69.68,64.754997,,,,,,,,4.925,-38.229999,21.299999,,,4.232,12.698,,,,31.45,-15.985,15.985,,0.0,15.465,,,,,,,,,,13.888,,,11.901,11.901,,39.574001,0.3,0.3,0.3,40.638,0.31,0.31,0.31,,,,,,,,,,,24.517,,24.517,,,,,,24.517,0.603302,0.603302,0.45,74.589467,74.589467,72.636537,
03/31/2000,69.104,64.232,,,,,,,,4.872,-36.654,21.077,,,2.922,12.655,,,,32.45,-16.493,16.493,,,15.957,,,,,,,,,,14.139,,,12.151,12.151,,39.444,0.31,0.31,0.31,40.595,0.31,0.31,0.31,,,,,,,,,,,25.081,,25.081,,,,,,25.081,0.617835,0.617835,,,,0.0,
06/30/2000,68.806,64.250999,,,,,,,,4.555,-36.150001,19.944,,,2.868,13.338,,,,32.655999,-13.354999,17.035999,,-3.681,19.301,,,,,,,,,,18.073999,,,16.086999,16.086999,,38.601002,0.42,0.42,0.42,39.782001,0.41,0.41,0.41,,,,,,,,,,,50.624001,,50.624001,,,,,,50.624001,1.272535,1.272535,,,,0.0,
09/30/2000,68.581001,64.100998,,,,,,,,4.48,-36.441,19.756001,,,3.245,13.44,,,,32.14,-15.992,15.992,,,16.148001,,,,,,,,,,14.421,,,12.432999,12.432999,,38.695,0.32,0.32,0.32,39.773998,0.32,0.32,0.32,,,,,,,,,,,76.460999,,76.460999,,,,,,76.460999,1.922387,1.922387,,,,0.0,
12/31/2000,72.790001,68.099998,,,,,,,,4.69,-40.231999,22.122999,,,4.283,13.826,,,,32.558,-16.896999,16.896999,,,15.661,,,,,,,,,,13.889,,,11.902,11.902,,38.796001,0.31,0.31,0.31,39.91,0.31,0.31,0.31,,,,,,,,,,,25.712,,25.712,,,,,,25.712,0.64425,0.64425,0.47,72.953096,72.953096,70.916768,
03/31/2001,71.703,67.136,,,,,,,,4.567,-38.942,21.665,,,3.133,14.144,,,,32.761,-17.15,17.15,,,15.611,,,,,,,,,,14.233,,,12.245,12.245,,38.822,0.32,0.32,0.32,39.856,0.32,0.32,0.32,,,,,,,,,,,26.379,,26.379,,,,,,26.379,0.661858,0.661858,,,,0.0,
06/30/2001,73.398003,68.458,,,,,,,,4.94,-40.170999,22.035999,,,3.322,14.813,,,,33.227,-9.632001,17.530001,,-7.898,23.594999,,,,,,,,,,22.167,,,20.18,20.18,,38.984001,0.51,0.51,0.51,40.027,0.51,0.51,0.51,,,,,,,,,,,53.638,,53.638,,,,,,53.638,1.340045,1.340045,,,,0.0,
09/30/2001,75.524002,69.542999,,,,,,,,5.981,-41.477,22.808001,,,3.516,15.153,,,,34.047001,-17.68,17.68,,,16.367001,,,,,,,,,,15.182,,,13.194,13.194,,39.347,0.34,0.34,0.34,40.492001,0.33,0.33,0.33,,,,,,,,,,,81.924004,,81.924004,,,,,,81.924004,2.023215,2.023215,,,,0.0,
12/31/2001,79.876999,74.797997,,,,,,,,5.079,-45.857999,25.743999,,,4.31,15.804,,,,34.018999,-16.952999,16.952999,,,17.066,,,,,,,,,,17.174,,,14.103,14.103,,39.164001,0.35,0.35,0.35,40.265999,0.36,0.36,0.36,,,,,,,,,,,28.507999,,28.507999,,,,,,28.507999,0.707992,0.707992,0.48,67.797388,67.797388,65.94191,
03/31/2002,76.318,71.575,,,,,,,,4.743,-42.439,23.454,,,2.999,15.986,,,,33.879,-34.776,16.64,,18.136,-0.897,,,,,-0.263,,,,,-1.331,,,-6.187,-6.187,,39.702,-0.15,-0.15,-0.15,40.942,-0.15,-0.15,-0.15,,,,,,,,,,,19.032,,19.032,,,,,,19.032,0.464853,0.464853,0.48,103.258512,103.258512,100.131148,
06/30/2002,75.828,71.466,,,,,,,,4.362,-43.317,23.893,,,3.497,15.927,,,,32.511,3.968,15.133,,-19.101,36.479,,,,,-0.435,,,,,35.335,,,30.479,30.479,,40.798,0.75,0.75,0.75,42.136,0.74,0.74,0.74,,,,,,,,,,,46.781,,46.781,,,,,,46.781,1.110238,1.110238,0.48,43.233963,43.233963,41.861097,
09/30/2002,78.333,72.277,,,,,,,,6.056,-45.149,25.362,,,3.713,16.074,,,,33.184,-13.54,13.54,,,19.644,,,,,0.059,,,,,18.504,,,13.648,13.648,,42.802,0.32,0.32,0.32,44.036,0.31,0.31,0.31,,,,,,,,,,,76.481,,76.481,,,,,,76.481,1.736784,1.736784,0.485,27.925184,27.925184,27.14265,
12/31/2002,85.161,79.698,,,,,0.0,0.0,5.156,0.307,-50.813,30.968,,,3.581,16.264,0.0,,0.0,34.822,-42.979,19.745,0.0,23.234,-8.157,0.0,,,,-11.691,,,3.534,,2.779,,,-2.078,-2.078,,41.624,-0.06,-0.35,0.19,42.882,-0.05,-0.33,0.19,,,,,,,,,,,14.022,,14.022,,,,,,14.022,0.32699,0.32699,0.485,148.322422,148.322422,149.303594,
03/31/2003,85.306,79.996,,,,,,,,5.31,-50.281,29.558,,,3.274,17.449,,,,35.025,-17.579,17.579,,,17.446,,,,,,,,,,16.376,,,11.52,11.52,,44.271,0.26,0.26,0.26,45.354,0.26,0.26,0.26,,,,,,,,,,,28.878,,28.878,,,,,,28.878,0.636724,0.636724,0.485,76.171099,76.171099,74.352223,
06/30/2003,86.409,80.564,,,,,,,,5.845,-31.317,28.17,,,3.147,18.125,,,,36.967,-17.701,18.252,,-0.551,19.266,,,,,0.006,,,,,18.126,,,13.636,13.636,,47.161,0.29,0.289264,0.29,48.376,0.29,0.289264,0.29,,,,,,,,,,,571.075,,571.075,,,,,,571.075,11.804924,11.804924,0.485,4.108455,4.108455,4.005268,
09/30/2003,87.229,81.387,,,,,,,,5.842,-50.055,28.124,,,3.221,18.71,,,,37.174,-11.547,18.719,,-7.172,25.627,,,,,-0.021,,,,,24.595,,,21.726,21.726,,48.935,0.44,0.44,0.44,50.216,0.44,0.44,0.44,,,,,,,,,,,898.871,,898.871,,,,,,898.871,17.900092,17.900092,0.49,2.737416,2.737416,2.667585,
12/31/2003,98.932,92.75,,,,,0.0,0.0,5.379,0.803,-55.174,32.191,,,2.178,20.805,0.0,,0.0,43.758,-20.682,20.682,0.0,,23.076,0.0,,,,,,,23.076,,35.4,,,32.531,32.531,,47.379,0.61,0.16,0.16,48.619,0.6,0.16,0.16,,,,,,,,,,,-767.614,,-767.614,,,,,,-767.614,-15.788354,-15.788354,0.49,,,,
03/31/2004,96.173,89.643,,,,,,,,6.53,-56.428,31.624,,,4.182,20.622,,,,39.745,-21.319,21.319,,,18.426,,,,,-0.009,,,,,17.246,,,14.377,14.377,,49.163,0.29,0.29,0.29,50.613,0.28,0.28,0.28,,,,,,,,,,,34.779,,34.779,,,,,,34.779,0.687155,0.687155,0.49,71.308462,71.308462,69.265563,
06/30/2004,100.268997,92.144997,,,,,0.0,0.0,1.216,6.908,-59.858,32.035,,,4.588,23.235001,0.0,,0.0,40.411001,-21.391001,21.391001,0.0,0.0,19.02,0.0,,,,-8.504,,,27.524,,26.332001,,,23.463001,23.463001,,51.359001,0.46,0.29,0.29,52.681,0.45,0.29,0.29,,,,,,,,,,,38.638,,38.638,,,,,,38.638,0.733433,0.733433,0.49,66.809074,66.809074,65.132771,
09/30/2004,99.293,97.604,,,,,0.0,0.0,1.23,0.459,-60.09,32.125,,,4.673,23.292,0.0,,0.0,39.203,-21.106,21.125,-0.019,0.0,18.097,0.0,,,,-1.499,,,19.596,,18.66,,,15.791,15.791,,51.64,0.3,0.27,0.27,52.934,0.3,0.27,0.27,,,,,,,,,,,111.697,,111.697,,,,,,111.697,2.110118,2.110118,0.505,23.932308,23.932308,23.34727,
12/31/2004,101.115,94.548,,,,,0.0,0.0,1.266,5.301,-62.269,34.725,,,4.721,22.823,0.0,,0.0,38.856,-21.05,21.233,-0.183,0.0,17.806,0.0,,,,-4.965,,,22.771,,21.918,,,19.049,19.049,,51.87,0.37,0.37,0.27,52.372,0.36,0.27,0.27,,,,,,,,,,,37.124,,37.124,,,,,,37.124,0.708852,0.708852,0.505,71.241946,71.241946,71.74604,
03/31/2005,101.909,98.307,,,,,,,1.281,2.321,-59.225,32.794,,,4.502,21.929,,,,42.684,-21.992,22.063,-0.071,,20.692,,,,23.997,-4.821,,,,,23.997,-2.869,,21.128,21.128,,52.19,0.4,0.31,0.31,52.742,0.4,0.31,0.31,,20.519,0.156,1.626,,-4.282,,,,0.158,39.305,,39.305,,,,,,39.305,0.739108,0.739108,0.505,68.325646,68.325646,67.054955,
06/30/2005,100.554,95.762,,,,,0.0,0.0,1.449,3.343,-55.33,28.106,,,4.982,22.242,0.0,,0.0,45.224,-21.674,21.827,-0.153,0.0,23.55,0.0,,,24.807,-2.536,,,26.086,,24.807,-2.869,,21.938,21.938,,52.333,0.42,0.37,0.37,52.876,0.41,0.36,0.36,,20.735,0.157,1.802,,-3.602,,,,0.194,41.224,,41.224,,,,,,41.224,0.949687,0.949687,0.555,58.440326,58.440326,70.456081,
09/30/2005,100.773,99.209,,,,,0.0,0.0,1.31,0.254,-56.764,29.714,,,4.957,22.093,,,,44.009,-21.538,21.664,-0.126,0.0,22.471,0.0,,,,-9.417,,,31.888,,30.68,,,27.811,27.811,,52.618,0.53,0.35,0.35,53.149,0.52,0.34,0.34,,,,,,,,,,,40.994,,40.994,,,,,,40.994,0.771303,0.771303,0.555,71.956128,71.956128,71.23723,
12/31/2005,107.448,100.27,,,,,0.0,0.0,1.33,5.848,-61.625,33.494,,,5.468,22.663,0.0,,0.0,45.823,-22.869,23.012,-0.143,0.0,22.954,0.0,,,35.128,-13.405,,,36.359,,35.128,-2.869,,32.26,32.26,,52.991,0.61,0.36,0.36,53.433,0.605,0.36,0.36,,20.992,0.159,1.776,,-13.402,,,,0.228,42.012,,42.012,,,,,,42.012,0.78385,0.78385,0.755,96.319468,96.319468,94.971568,
03/31/2006,108.643,104.964,,,,,0.0,0.0,1.322,2.357,-61.023,32.616,,,4.501,23.906,0.0,,0.0,47.62,-24.132,24.28,-0.148,0.0,23.488,0.0,,,31.031,-8.616,,,32.104,,31.031,-2.869,1.3,28.162,28.162,,52.731,0.53,0.37,0.37,53.254,0.53,0.37,0.37,,21.874,0.165,1.739,,-8.737,,,,0.233,43.436,,43.436,-1.4,,-0.215,-0.5,-1.933,40.688,0.809437,0.758227,0.76,93.892439,100.233779,92.263468,
06/30/2006,108.875,105.329,,,,,0.0,0.0,1.349,2.197,-59.965,30.808,,,4.981,24.176,0.0,,0.0,48.91,-17.123,24.754,-0.19,-7.441,31.787,0.0,,,38.256,-7.793,,,39.58,,38.256,-2.869,1.281,35.387,35.387,,52.842,0.67,0.52,0.52,53.315,0.66,0.52,0.52,,22.01,0.151,1.825,,-15.034,,,,0.245,44.584,,44.584,-1.7,,-0.792,-0.5,-4.521,38.352,0.830088,0.714057,0.555,66.860421,77.72489,65.779899,
09/30/2006,112.265,109.371,,,,,0.0,0.0,1.107,1.787,-62.357,32.37,,,6.265,23.722,0.0,,0.0,49.908,-24.385,26.076,-0.196,-1.495,25.523,0.0,,,24.984,-0.547,,,26.07,,24.984,-2.869,1.744,22.115,22.115,,53.187,0.42,0.41,0.41,53.676,0.41,0.4,0.4,,21.57,0.236,1.814,,-0.095,,,,0.182,45.822,,45.822,-1.5,,-2.577,-0.6,-4.491,38.398,0.84752,0.710206,0.575,67.845031,80.96242,66.742013,
12/31/2006,99.794,95.315,,,,,0.0,0.0,1.317,3.162,-56.749,30.167,,,5.593,20.989,0.0,,0.0,43.045,-21.497,20.124,-7.563,8.936,25.205,0.0,,,24.441,-3.763,,,28.968,,24.441,-1.817,1.544,17.849,17.849,,55.092,0.32,0.28,0.28,55.576,0.32,0.28,0.28,,23.196,0.214,2.013,,-0.09,,-4.775,,0.88,43.271,,43.272,-1.1,,-3.735,-0.9,-3.447,35.634,0.773529,0.636993,0.575,74.334616,90.267932,73.511128,
03/31/2007,115.488,111.763,,,,,0.0,0.0,1.13,2.595,-40.474,34.866,,,5.608,24.912,0.0,,0.0,50.102,-27.053,27.337,-0.284,0.0,23.049,0.0,,,23.136,-1.383,,,24.432,,23.136,-0.036,1.621,23.1,23.1,,55.422,0.42,0.39,0.39,55.921,0.41,0.39,0.39,,23.942,0.268,2.07,,,,,,0.245,49.625,,49.625,-1.7,,-2.01,-0.8,-3.807,42.929,0.880735,0.761895,0.575,65.286398,75.469671,65.255416,
06/30/2007,119.161,115.281,,,,,0.0,0.0,1.127,2.753,-66.323,34.716,,,6.114,25.493,0.0,,0.0,52.838,-27.815,28.178,-0.363,0.0,25.023,0.0,,,26.718,-3.079,,,28.102,,26.718,-0.135,1.563,26.583,26.583,,56.168,0.47,0.42,0.42,56.591,0.47,0.42,0.42,,24.317,0.323,2.107,,-1.849,,,,0.399,51.88,,51.88,-2.7,,-2.01,-0.4,-5.901,42.432,0.907802,0.74248,0.61,67.195239,82.157075,66.041789,
09/30/2007,123.564,117.801,,,,,0.0,0.0,1.129,4.634,-69.472,37.255,,,7.172,25.045,0.0,,0.0,54.092,-28.067,28.732,-0.473,-0.192,26.025,0.0,,,23.515,0.881,,,25.144,,23.515,-0.136,1.601,23.379,23.379,2.9,56.302,0.42,0.43,0.43,56.69,0.41,0.43,0.43,,23.651,0.324,1.945,,2.9,,,,0.279,52.478,,52.478,-1.8,,-2.594,-0.9,-5.099,43.686,0.918282,0.764436,0.61,66.42837,79.797372,65.444986,
12/31/2007,126.586,122.128,,,,,0.0,0.0,1.174,3.284,-73.41,39.508,,,7.687,26.215,0.0,,0.0,53.176,-26.545,27.118,-0.275,-0.298,26.631,0.0,,,122.168,-96.818,,,123.449,,122.168,-0.135,2.45,122.033,122.033,,56.526,2.16,0.45,0.45,56.955,2.14,0.44,0.44,,23.656,0.326,2.361,,-95.819,,,,0.232,52.789,,52.779,-0.2,,-4.667,-0.7,-3.048,46.614,0.920521,0.812997,0.575,62.464617,70.725962,65.596336,
03/31/2008,126.369,121.867,,,,,,0.0,1.116,3.386,-46.593,39.651,,,6.942,25.389,,,,54.387,-23.683,24.353,-0.331,-0.339,30.704,0.0,,,29.986,0.0,,0.0,31.318,,29.986,-0.135,,29.851,29.851,0.0,58.503,0.51,0.499752,0.51,58.78,0.51,0.499554,0.51,,22.95,0.33,2.022,-0.196,,,,,0.232,55.189,0.0,55.189,-1.5,1.872,-21.73,-0.6,-3.807,29.424,0.932861,0.497355,0.61,65.390223,122.648892,64.66294,
06/30/2008,128.712,122.97,,,,,,0.0,1.118,4.624,-47.413,40.295,,,7.118,27.784,,,,53.515,-23.826,24.476,-0.442,-0.208,29.689,0.0,,,28.974,0.0,,0.0,30.383,,28.974,-0.136,,28.839,28.839,0.0,58.636,0.49,0.479995,0.49,58.906,0.49,0.478219,0.49,,25.05,0.331,2.283,0.196,,,,,0.231,56.929,,56.929,-1.4,1.702,-2.819,-0.7,-3.974,49.738,0.959839,0.838597,0.61,63.552337,72.740581,62.829068,
