Date,Revenue,Sales & Services Revenue,Financing Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Research & Development,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Foreign Exch (Gain) Loss,(Income) Loss from Affiliates,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Current Income Tax,Deferred Income Tax,Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
04/30/1995,1640.0,,,-1366.0,,274.0,,-177.0,,,,83.0,-9.0,,23.0,,,-14.0,74.0,-28.0,,,46.0,0.0,,,46.0,0.0,46.0,-7.0,,39.0,39.0,,74.400002,0.52,0.52,0.52,74.400002,0.52,0.52,0.52,
07/31/1995,1505.0,,,-1253.0,,252.0,,-176.0,,,,76.0,-13.0,,22.0,,,-9.0,63.0,-24.0,,,39.0,0.0,,,39.0,0.0,39.0,-8.0,,31.0,31.0,,74.300003,0.43,0.43,0.43,74.300003,0.43,0.43,0.43,
10/31/1995,1745.0,,,-1471.0,,274.0,,-190.0,,,,98.0,-9.0,,22.0,,,-13.0,89.0,-33.0,,,56.0,0.0,,,56.0,0.0,56.0,-7.0,,49.0,49.0,,74.0,0.66,0.66,0.66,74.0,0.66,0.66,0.66,
01/31/1996,1417.0,,,-1199.0,,218.0,,-180.0,,,,38.0,-3.0,,18.0,,,-15.0,35.0,-13.0,,,22.0,0.0,,,22.0,0.0,22.0,-7.0,,15.0,15.0,,73.800003,0.2,0.2,0.2,73.800003,0.2,0.2,0.2,
04/30/1996,1469.0,,,-1230.0,,239.0,,-185.0,,,,54.0,-12.0,,23.0,,,-11.0,42.0,-16.0,,,26.0,0.0,,,26.0,0.0,26.0,-7.0,,19.0,19.0,,73.800003,0.26,0.26,0.26,73.800003,0.26,0.26,0.26,
07/31/1996,1378.0,,,-1159.0,,219.0,,-182.0,,,,37.0,-9.0,,22.0,,,-13.0,28.0,-11.0,,,17.0,0.0,,,17.0,0.0,17.0,-7.0,,10.0,10.0,,73.800003,0.13,0.13,0.13,73.800003,0.13,0.13,0.13,
10/31/1996,1430.0,,,-1239.0,,191.0,,-192.0,,,,-1.0,1.0,,20.0,,,-21.0,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,-15.0,,-15.0,-15.0,,73.699997,-0.01,-0.01,-0.01,73.699997,-0.01,-0.01,-0.01,
01/31/1997,1285.0,,,-1076.0,,209.0,,-179.0,,,,30.0,-6.0,,17.0,,,-11.0,24.0,-9.0,,,15.0,0.0,,,15.0,0.0,15.0,-7.0,,8.0,8.0,,73.599998,0.1,0.1,0.1,73.699997,0.1,0.1,0.1,
04/30/1997,1536.0,,,-1297.0,,239.0,,-185.0,,,,54.0,-5.0,,20.0,,,-15.0,49.0,-19.0,,,30.0,0.0,,,30.0,0.0,30.0,-7.0,,23.0,23.0,,73.599998,0.31,0.31,0.31,73.699997,0.31,0.31,0.31,
07/31/1997,1571.0,,,-1320.0,,251.0,,-190.0,,,,61.0,-5.0,,20.0,,,-15.0,56.0,-21.0,,,35.0,0.0,,,35.0,0.0,35.0,-7.0,,28.0,28.0,,72.900002,0.38,0.38,0.38,73.599998,0.38,0.38,0.38,
10/31/1997,1929.0,,,-1599.0,,330.0,,-209.0,,,,121.0,-8.0,,17.0,,,-9.0,113.0,-43.0,,,70.0,0.0,,,70.0,0.0,70.0,-8.0,,62.0,62.0,,73.400002,0.87,0.87,0.87,73.400002,0.85,0.85,0.85,
01/31/1998,1717.0,,,-1454.0,,263.0,,-195.0,,,,68.0,-7.0,,17.0,,,-10.0,61.0,-23.0,,,38.0,0.0,,,38.0,0.0,38.0,-7.0,,31.0,31.0,,71.599998,0.43,0.43,0.43,72.5,0.42,0.42,0.42,
04/30/1998,2028.0,,,-1710.0,,318.0,,-195.0,,,,123.0,-15.0,,29.0,,,-14.0,108.0,-41.0,,,67.0,0.0,,,67.0,0.0,67.0,-4.0,,63.0,63.0,,69.199997,0.9,0.9,0.9,70.5,0.89,0.89,0.89,
07/31/1998,1861.0,,,-1550.0,,311.0,,-212.0,,,,99.0,-18.0,,31.0,,,-13.0,81.0,-31.0,,,50.0,0.0,,,50.0,0.0,50.0,0.0,,50.0,50.0,,68.599998,0.73,0.73,0.73,69.5,0.72,0.72,0.72,
10/31/1998,2224.0,,,-1784.0,,440.0,,-270.0,,,,170.0,-10.0,,28.0,,,-18.0,160.0,-16.0,,,144.0,0.0,,,144.0,0.0,144.0,0.0,,144.0,144.0,,66.900002,2.16,2.16,2.16,67.400002,2.14,2.14,2.14,
01/31/1999,1899.0,,,-1544.0,,355.0,,-233.0,,,,122.0,-23.0,32.0,32.0,,,-9.0,99.0,-38.0,,,61.0,0.0,,,61.0,0.0,61.0,0.0,,61.0,61.0,,66.4,0.92,0.92,0.92,67.1,0.91,0.91,0.91,
04/30/1999,2274.0,,,-1824.0,,450.0,,-254.0,,,,196.0,-42.0,35.0,35.0,,,7.0,154.0,-58.0,,,96.0,0.0,,,96.0,0.0,96.0,0.0,,96.0,96.0,,66.2,1.44,1.44,1.44,67.5,1.42,1.42,1.42,
07/31/1999,1864.0,,,-1480.0,,384.0,,-230.0,,,,154.0,-29.0,32.0,32.0,,,-3.0,125.0,130.0,,,255.0,0.0,,,255.0,0.0,255.0,0.0,,255.0,255.0,-178.0,64.9,3.94,3.94,1.25,66.2,3.86,3.86,1.17,
10/31/1999,2545.0,,,-2014.0,,531.0,,-266.0,,,,265.0,-52.0,36.0,36.0,,,16.0,213.0,-81.0,,,132.0,0.0,,,132.0,0.0,132.0,0.0,,132.0,132.0,,63.9,2.08,2.08,2.08,64.9,2.04,2.04,2.04,
01/31/2000,2155.0,,,-1748.0,,407.0,,-243.0,,,,164.0,-51.0,35.0,35.0,,,16.0,113.0,-43.0,,,70.0,0.0,,,70.0,0.0,70.0,0.0,,70.0,70.0,,62.6,1.12,1.12,1.12,63.7,1.1,1.1,1.1,
04/30/2000,2377.0,,,-1908.0,,469.0,,-263.0,,,,206.0,-48.0,33.0,33.0,,,15.0,158.0,-60.0,,,98.0,0.0,,,98.0,0.0,98.0,0.0,0.0,98.0,98.0,,61.0,1.61,1.61,1.61,61.9,1.58,1.58,1.58,
07/31/2000,1913.0,,,-1528.0,,385.0,,-221.0,,,,164.0,-42.0,37.0,37.0,,,5.0,122.0,-26.0,,,96.0,0.0,,,96.0,0.0,96.0,0.0,0.0,96.0,96.0,-19.833,59.4,1.62,1.62,1.28,60.1,1.6,1.6,1.27,
10/31/2000,1962.0,,,-1590.0,,372.0,,-187.0,,,,185.0,-354.0,41.0,41.0,,,313.0,-169.0,64.0,,,-105.0,0.0,,,-105.0,0.0,-105.0,0.0,,-105.0,-105.0,,59.4,-1.77,-1.77,1.41,59.4,-1.77,-1.77,1.41,
01/31/2001,1509.0,,,-1285.0,,224.0,,-232.0,,,,-8.0,-48.0,41.0,41.0,,,7.0,-56.0,21.0,,,-35.0,0.0,,,-35.0,0.0,-35.0,0.0,0.0,-35.0,-35.0,,59.5,-0.58,-0.58,-0.58,59.5,-0.58,-0.58,-0.58,
04/30/2001,1787.0,,,-1495.0,,292.0,,-249.0,,,,43.0,-38.0,42.0,42.0,,,-4.0,5.0,-2.0,,,3.0,0.0,,,3.0,0.0,3.0,0.0,0.0,3.0,3.0,,59.5,0.05,0.05,0.05,59.9,0.05,0.05,0.05,
07/31/2001,1586.0,,,-1318.0,,268.0,,-237.0,,,,31.0,-38.0,42.0,42.0,,,-4.0,-7.0,9.0,,,2.0,0.0,,,2.0,0.0,2.0,0.0,0.0,2.0,2.0,,59.5,0.03,0.03,0.03,60.2,0.03,0.03,0.03,
10/31/2001,1814.0,,,-1521.0,,293.0,,-249.0,,,,44.0,-19.0,36.0,36.0,,,-17.0,25.0,-4.0,,,21.0,14.0,,,7.0,0.0,7.0,0.0,0.0,7.0,7.0,,59.5,0.12,0.35,0.35,60.4,0.11,0.35,0.35,
01/31/2002,1465.0,,,-1248.0,,217.0,,-255.0,,,,-38.0,-49.0,39.0,39.0,,,10.0,-87.0,34.0,,,-53.0,3.0,,,-56.0,0.0,-56.0,0.0,0.0,-56.0,-56.0,-0.609,59.8,-0.93,-0.88,-0.89,59.8,-0.93,-0.88,-0.89,
04/30/2002,1672.0,,,-1382.0,,290.0,,-251.0,,,,39.0,-44.0,38.0,38.0,,,6.0,-5.0,3.0,,,-2.0,2.0,,,-4.0,0.0,-4.0,0.0,0.0,-4.0,-4.0,,60.4,-0.07,-0.04,-0.04,60.4,-0.07,-0.04,-0.04,
07/31/2002,1591.0,,,-1355.0,,236.0,,-234.0,,,,2.0,-41.0,39.0,39.0,,,2.0,-39.0,23.0,,,-16.0,0.0,,,-16.0,0.0,-16.0,0.0,0.0,-16.0,-16.0,18.786,60.6,-0.27,-0.26,0.05,60.6,-0.27,-0.26,0.05,
10/31/2002,2036.0,,,-1839.0,,197.0,,-266.0,,,,-69.0,-565.0,38.0,38.0,,,527.0,-634.0,233.0,,,-400.0,60.0,,,-461.0,0.0,-460.0,0.0,0.0,-460.0,-460.0,,60.6,-7.58,-6.67,-0.98,60.6,-7.58,-6.67,-0.98,
01/31/2003,1578.0,,,-1420.0,,158.0,,-264.0,,,,-106.0,-49.0,38.0,38.0,,,11.0,-155.0,57.0,,,-98.0,1.0,,,-99.0,0.0,-99.0,0.0,0.0,-99.0,-99.0,,66.4,-1.49,-1.47,-1.47,66.4,-1.49,-1.47,-1.47,
04/30/2003,1864.0,,,-1588.0,,276.0,,-254.0,,,,22.0,-40.0,33.0,33.0,,,7.0,-18.0,6.0,,,-12.0,2.0,,,-14.0,0.0,-14.0,0.0,0.0,-14.0,-14.0,,68.4,-0.21,-0.18,-0.18,68.4,-0.21,-0.18,-0.18,
07/31/2003,1894.0,,,-1579.0,,315.0,,-248.0,,,,67.0,-35.0,33.0,33.0,,,2.0,32.0,-13.0,,,19.0,1.0,,,18.0,0.0,18.0,0.0,0.0,18.0,18.0,,68.5,0.26,0.27,0.27,74.8,0.25,0.26,0.26,
10/31/2003,2004.0,,,-1651.0,,353.0,,-260.0,,,,93.0,3.0,32.0,32.0,,,-35.0,96.0,-19.0,,,77.0,0.0,,,77.0,0.0,77.0,0.0,0.0,77.0,77.0,,68.8,1.12,1.12,1.12,77.0,1.0,1.0,1.0,
01/31/2004,1859.0,,,-1603.0,,256.0,,-251.0,,,,5.0,-42.0,31.0,31.0,,,11.0,-37.0,14.0,,,-23.0,0.0,,,-23.0,0.0,-23.0,0.0,0.0,-23.0,-23.0,2.488,69.2,-0.34,-0.34,-0.304,69.2,-0.34,-0.34,-0.304,
04/30/2004,2331.0,,,-1976.0,,355.0,,-251.0,,,,104.0,-39.0,30.0,30.0,,,9.0,65.0,-24.0,,,41.0,0.0,,,41.0,0.0,41.0,0.0,0.0,41.0,41.0,,69.8,0.59,0.59,0.59,80.6,0.54,0.54,0.54,
07/31/2004,2360.0,,,-1984.0,,376.0,,-267.0,,,,109.0,-24.0,29.0,29.0,,,-5.0,85.0,-29.0,,,56.0,0.0,,,56.0,0.0,56.0,0.0,0.0,56.0,56.0,-3.294,69.9,0.8,0.8,0.75,80.0,0.73,0.73,0.69,
10/31/2004,3033.0,,,-2686.0,,347.0,,-408.0,,,,-62.0,-107.0,,144.0,,,-37.0,-169.0,36.0,,,-132.0,0.0,,,-133.0,0.0,-132.0,0.0,0.0,-132.0,-132.0,,69.7,-1.89,-1.89,-1.82,69.7,-1.89,-1.89,-1.82,
01/31/2005,2558.0,,,-2177.0,,381.0,,-312.0,,,,69.0,-42.0,33.0,33.0,,,9.0,27.0,-9.0,,,18.0,0.0,,,18.0,0.0,18.0,0.0,0.0,18.0,18.0,,70.1,0.25,0.25,0.25,76.3,0.24,0.24,0.24,
04/30/2005,2970.0,,,-2498.0,,472.0,,-348.0,,,,124.0,-43.0,38.0,38.0,,,5.0,81.0,-28.0,,,53.0,0.0,,,53.0,0.0,53.0,0.0,0.0,53.0,53.0,,70.1,0.76,0.76,0.76,80.1,0.7,0.7,0.7,
07/31/2005,2994.0,,,-2474.0,,520.0,,-360.0,,,,160.0,-63.0,51.0,51.0,,,12.0,97.0,-33.0,,,64.0,0.0,,,64.0,0.0,64.0,0.0,0.0,64.0,64.0,,70.1,0.91,0.91,0.91,79.9,0.83,0.83,0.83,
10/31/2005,3487.0,,,-3101.0,,386.0,,-345.0,,,,41.0,-27.0,156.0,186.0,,,-129.0,14.0,64.0,,,78.0,0.0,,,78.0,0.0,78.0,0.0,0.0,78.0,78.0,,70.27,1.11,1.11,1.0915,75.73,1.03,1.03,1.0128,
01/31/2006,2820.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,-36.0,,,-36.0,-36.0,,70.199997,-0.52,-0.52,-0.52,70.199997,-0.52,-0.52,-0.52,
04/30/2006,3457.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.0,,,99.0,99.0,,70.199997,1.41,1.41,1.41,75.900002,1.33,1.33,1.33,
07/31/2006,3667.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,134.0,,,134.0,134.0,,70.300003,1.9,1.9,1.9,75.800003,1.78,1.78,1.78,
10/31/2006,4256.0,,,-3490.0,,766.0,,-527.0,,,,239.0,-103.0,122.0,122.0,,,-19.0,136.0,-32.0,,,104.0,0.0,,,104.0,0.0,104.0,0.0,0.0,104.0,104.0,,70.3,1.49,1.49,1.49,70.3,1.49,1.49,1.49,
01/31/2007,3148.0,,,-2605.0,,543.0,0.0,-400.0,297.0,,103.0,143.0,-118.0,,111.0,0.0,-22.0,29.0,25.0,-13.0,,,12.0,0.0,,,12.0,0.0,12.0,0.0,0.0,12.0,12.0,,70.3,0.17,0.17,0.17,70.9,0.17,0.17,0.17,
04/30/2007,2990.0,,,-2472.0,,518.0,0.0,-440.0,345.0,,95.0,78.0,-97.0,,131.0,0.0,-18.0,-16.0,-19.0,-6.0,,,-25.0,0.0,,,-25.0,0.0,-25.0,0.0,0.0,-25.0,-25.0,,70.3,-0.36,-0.36,-0.36,70.3,-0.36,-0.36,-0.36,
07/31/2007,2956.0,,,-2428.0,,528.0,0.0,-454.0,368.0,,86.0,74.0,-69.0,,125.0,0.0,-22.0,-34.0,5.0,-9.0,,,-4.0,0.0,,,-4.0,0.0,-4.0,0.0,0.0,-4.0,-4.0,,70.3,-0.05,-0.05,-0.05,70.3,-0.05,-0.05,-0.05,
10/31/2007,3201.0,,,-2626.0,,575.0,,-549.0,,,,26.0,-110.0,,135.0,0.0,,-25.0,-84.0,-19.0,,,-103.0,0.0,,,-103.0,0.0,-103.0,0.0,0.0,-103.0,-103.0,,70.55,-1.46,-1.46,-1.46,70.55,-1.46,-1.46,-1.46,
01/31/2008,2954.0,,,-2463.0,,491.0,,-403.0,321.0,,82.0,88.0,-142.0,,167.0,0.0,-24.0,-1.0,-54.0,-11.0,,,-65.0,0.0,,,-65.0,0.0,-65.0,0.0,0.0,-65.0,-65.0,,70.3,-0.92,-0.92,-0.92,70.3,-0.92,-0.92,-0.92,
04/30/2008,3949.0,,,-3200.0,,749.0,0.0,-463.0,364.0,,99.0,286.0,-77.0,,102.0,0.0,-21.0,-4.0,209.0,2.0,,,211.0,0.0,,,211.0,0.0,211.0,0.0,0.0,211.0,211.0,,70.3,3.0,3.0,3.0,73.2,2.88,2.88,2.88,
07/31/2008,3951.0,,,-3052.0,,899.0,,-494.0,,,,405.0,-64.0,88.0,88.0,0.0,,-24.0,341.0,-10.0,,,331.0,0.0,,,331.0,0.0,331.0,0.0,0.0,331.0,331.0,,70.8,4.68,4.68,4.68,74.0,4.47,4.47,4.47,
10/31/2008,3870.0,,,-3227.0,,643.0,,-461.0,,,,182.0,-487.0,,112.0,0.0,,375.0,-305.0,-38.0,,,-343.0,0.0,,,-343.0,0.0,-343.0,0.0,0.0,-343.0,-343.0,,71.3,-4.81,-4.81,0.59,71.3,-4.81,-4.81,0.59,
01/31/2009,2970.0,2895.0,75.0,-2323.0,2323.0,647.0,0.0,-542.0,376.0,108.0,58.0,105.0,122.0,,93.0,,-17.0,-198.0,227.0,7.0,,,234.0,0.0,0.0,0.0,234.0,0.0,234.0,,0.0,234.0,148.2,-85.8,71.5,3.28,3.28,2.072727,71.6,3.27,3.27,2.071676,
04/30/2009,2808.0,2741.0,67.0,-2295.0,2295.0,513.0,0.0,-427.0,300.0,130.0,-3.0,86.0,-65.0,,57.0,,-14.0,22.0,21.0,-9.0,,,12.0,0.0,0.0,0.0,12.0,0.0,12.0,,0.0,12.0,30.85,18.85,70.8,0.16,0.16,0.435734,71.3,0.16,0.16,0.424376,
07/31/2009,2506.0,2433.0,73.0,-2119.0,2119.0,387.0,0.0,-410.0,309.0,101.0,0.0,-23.0,25.0,,56.0,,-25.0,-56.0,2.0,-30.0,,,-28.0,-23.0,0.0,-23.0,-5.0,-7.0,-12.0,,0.0,-12.0,-46.7,-11.7,70.8,-0.16,-0.49,-0.659605,70.8,-0.16,-0.49,-0.659605,
10/31/2009,3285.0,3231.0,54.0,-2629.0,2629.0,656.0,0.0,-488.0,359.0,94.0,35.0,168.0,-59.0,,45.0,,10.0,4.0,109.0,-5.0,,,104.0,0.0,0.0,0.0,104.0,-18.0,86.0,,0.0,86.0,119.15,33.15,71.1,1.21,1.21,1.675809,72.3,1.19,1.19,1.648506,
01/31/2010,2809.0,2758.0,51.0,-2262.0,2262.0,547.0,0.0,-428.0,336.0,109.0,-17.0,119.0,-79.0,,67.0,,6.0,6.0,40.0,-8.0,,,32.0,0.0,0.0,0.0,32.0,-13.0,19.0,,0.0,19.0,7.95,-11.05,71.2,0.27,0.27,0.111657,72.1,0.26,0.26,0.106741,
04/30/2010,2743.0,2690.0,53.0,-2189.0,2189.0,554.0,0.0,-478.0,359.0,116.0,3.0,76.0,-30.0,,64.0,,13.0,-47.0,46.0,10.0,,,56.0,0.0,0.0,0.0,56.0,-13.0,43.0,,0.0,43.0,44.95,1.95,71.4,0.61,0.61,0.629552,72.8,0.6,0.6,0.626786,
07/31/2010,3221.0,3162.0,59.0,-2525.0,2525.0,696.0,0.0,-484.0,380.0,113.0,-9.0,212.0,-64.0,,58.0,,13.0,-7.0,148.0,-19.0,,,129.0,0.0,0.0,0.0,129.0,-12.0,117.0,,0.0,117.0,111.15,-5.85,72.0,1.61,1.61,1.54375,74.3,1.56,1.56,1.481265,
10/31/2010,3372.0,3316.0,56.0,-2765.0,2765.0,607.0,0.0,-470.0,336.0,126.0,8.0,137.0,-86.0,,64.0,,18.0,4.0,51.0,-6.0,,,45.0,0.0,0.0,0.0,45.0,-6.0,39.0,,0.0,39.0,44.2,5.2,72.2,0.55,0.55,0.612188,73.6,0.54,0.54,0.610652,
01/31/2011,2743.0,2693.0,50.0,-2199.0,2199.0,544.0,0.0,-469.0,318.0,129.0,22.0,75.0,-69.0,,63.0,,17.0,-11.0,6.0,0.0,,,6.0,0.0,0.0,0.0,6.0,-12.0,-6.0,,0.0,-6.0,8.3,14.3,72.5,-0.08,-0.08,0.114483,72.5,-0.08,-0.08,0.114483,
04/30/2011,3355.0,3298.0,57.0,-2701.0,2701.0,654.0,0.0,-493.0,354.0,137.0,2.0,161.0,-68.0,,62.0,,16.0,-10.0,93.0,-5.0,,,88.0,0.0,0.0,0.0,88.0,-14.0,74.0,,0.0,74.0,75.3,1.3,73.0,1.01,1.01,1.031507,78.6,0.93,0.93,0.946539,
07/31/2011,3537.0,3490.0,47.0,-2930.0,2930.0,607.0,0.0,-595.0,334.0,141.0,120.0,12.0,-66.0,,62.0,,22.0,-18.0,-54.0,1463.0,,,1409.0,0.0,0.0,0.0,1409.0,-9.0,1400.0,,0.0,1400.0,1478.0,78.0,73.3,19.1,19.1,20.163711,76.8,18.24,18.24,19.255625,
10/31/2011,4323.0,4277.0,46.0,-3432.0,3432.0,891.0,0.0,-565.0,428.0,125.0,12.0,326.0,-51.0,,60.0,,16.0,-25.0,275.0,0.0,,,275.0,0.0,0.0,0.0,275.0,-20.0,255.0,,0.0,255.0,262.8,7.8,72.5,3.52,3.52,3.624828,73.2,3.48,3.48,3.586557,
01/31/2012,3009.0,2965.0,44.0,-2650.0,2650.0,359.0,0.0,-490.0,355.0,135.0,0.0,-131.0,-76.0,,61.0,,7.0,8.0,-207.0,76.0,,,-131.0,9.0,9.0,0.0,-140.0,-13.0,-153.0,,0.0,-153.0,-138.8,5.2,69.9,-2.19,-2.06,-1.985694,69.9,-2.19,-2.06,-1.985694,
